Tamil,Telugu
செயல்படுத்தப்பட்ட இழை,సక్రియం చేయబడిన ఫిలమెంట్
செயலில்,క్రియాశీల
செயலில் உள்ள பகுதி,క్రియాశీల ప్రాంతం
செயலில் சாளரம்,క్రియాశీల విండో
தகவமைப்பு,అనుకూలత
அடாப்டர் (அடாப்டர்),అడాప్టర్
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
முகவரி புத்தகம்,చిరునామా పుస్తకం
முகவரி பஸ்,చిరునామా బస్సు
முகவரி தீர்மானம்,చిరునామా తీర్మానం
அருகிலுள்ள சேனல் குறுக்கீடு,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
அருகிலுள்ள சேனல் தேர்வு,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
அருகிலுள்ள அதிர்வெண்,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
அருகிலுள்ள அதிர்வெண் சேனல்,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
அருகிலுள்ள படம் கேரியர்,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
அருகிலுள்ள ஒலி கேரியர்,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
அருகிலுள்ள நிலையம்,ప్రక్కనే ఉన్న స్టేషన్
சரிசெய்யக்கூடியது,సర్దుబాటు
சரிசெய்யக்கூடிய மின்தேக்கி,సర్దుబాటు కండెన్సర్
அழுத்தம் சரிசெய்தல்,సర్దుబాటు ఒత్తిడిని
குறடு சரிசெய்தல்,రెంచ్ సర్దుబాటు
சரிசெய்தல்,సర్దుబాటు
நிர்வாகி,నిర్వాహకుడు
மேம்பட்ட தொழில்நுட்பம்,అధునాతన సాంకేతిక పరిజ్ఞానం
வான்வழி,ఆకాశయాన
வான்வழி வரிசை,వైమానిక శ్రేణి
வான்வழி பூஸ்டர்,వైమానిక బూస్టర్
வான்வழி மின்னோட்டம்,వైమానిక ప్రవాహం
வான்வழி பூமி சுவிட்ச்,వైమానిక ఎర్తింగ్ స్విచ్
வான்வழி செயல்திறன்,వైమానిక సామర్థ్యం
வான்வழி மின்மறுப்பு,వైమానిక ఇంపెడెన్స్
வான்வழி தூண்டல்,వైమానిక ఇండక్టెన్స్
வான்வழி இன்சுலேட்டர்,వైమానిక అవాహకం
வான்வழி ஏற்றுதல் சுருள்,వైమానిక లోడింగ్ కాయిల్
வான்வழி புகைப்படம்,వైమానిక ఫోటోగ్రఫీ
வான்வழி சக்தி,వైమానిక శక్తి
வான்வழி கதிர்வீச்சு,వైమానిక రేడియేషన్ రీస్టెన్స్
வான்வழி எதிர்வினை,వైమానిక ప్రతిచర్య
ஏரோடைனமிக்ஸ்,ఏరోడైనమిక్స్
ஏஜென்சி,ఏజెన్సీ
காற்று அழுத்தி,వాయువుని కుదించునది
ஏர் மின்தேக்கி,ఎయిర్ కండెన్సర్
குளிா்ந்த காற்று,గాలి చల్లబడింది
காற்று கோர்ட் சுருள்,ఎయిర్ కోర్డ్ కాయిల్
ஏர் கண்டிஷனிங்,ఎయిర్ కండిషనింగ్
ஆல்பெடோ,ఆల్బెడో
வழிமுறை,అల్గోరిథం
மாற்றுப்பெயர்ச்சி,అలియాసింగ్
சீரமைத்தல்,సమలేఖనం
சீரமைப்பு,అమరిక
அனைத்து அலை வான்வழி,అన్ని వేవ్ వైమానిక
ஒதுக்கீடு,కేటాయింపు
அகரவரிசை,అక్షరాలు
எண்ணெழுத்து,ఆల్ఫాన్యూమరిక్
எண்ணெழுத்து எழுத்து,ఆల్ఫాన్యూమరిక్ పాత్ర
எண்ணெழுத்து தகவல்,ఆల్ఫాన్యూమరిక్ సమాచారం
மாற்று மின்னோட்டம் (ஏ.சி.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
மாற்று,ప్రత్యామ్నాయం
மின்மாற்றி,ఆల్టర్నేటర్
உயரம்,ఎత్తు
அப்போஜியின் உயரம்,పొక్కు ఎత్తు
பெரிஜியின் உயரம்,మూత యొక్క ఎత్తు
அமெச்சூர் வானொலி தொடர்பு,Te త్సాహిక రేడియో కమ్యూనికేషన్
சூழ்நிலை,వాతావరణం
சுற்றுப்புற மைக்ரோஃபோன்,వాతావరణ మైక్రోఫోన్
சுற்றுப்புற நிலை,పరిసర పరిస్థితి
சுற்றுப்புற விளக்குகள்,పరిసర లైటింగ్
சுற்றுப்புற சத்தம்,పరిసర శబ్దం
சுற்றுப்புற வெப்பநிலை,పరిసర ఉష్ణోగ్రత
அமெரிக்கன் ஸ்டாண்டர்ட் கோட்,అమెరికన్ స్టాండర్డ్ కోడ్
ஆம்பியர்,Ampere
ஆம்பியர் மீட்டர்,ఆంపియర్ మీటర్
பெருக்கம்,విస్తరణ
பெருக்க காரணி,యాంప్లిఫికేషన్ కారకం
பெருக்கி,యాంప్లిఫైయర్
பெருக்கி ஆதாயம்,యాంప్లిఫైయర్ లాభం
பெருக்கி சத்தம்,యాంప్లిఫైయర్ శబ్దం
உபகரணங்கள் பெருக்குதல்,పరికరాలను విస్తరించడం
கிளிஸ்ட்ரான் பெருக்குதல்,క్లైస్ట్రాన్ విస్తరించడం
பெருக்குதல் அலகு,యాంప్లిఫైయింగ్ యూనిట్
வீச்சு,వ్యాప్తి
வீச்சு விலகல்,వ్యాప్తి వక్రీకరణ
வீச்சு உல்லாசப் பயணம்,వ్యాప్తి విహారయాత్ర
வீச்சு காரணி,వ్యాప్తి కారకం
அலைவீச்சு வரம்பு,వ్యాప్తి పరిమితి
வீச்சு பண்பேற்றப்பட்டது,వ్యాప్తి మాడ్యులేటెడ్
வீச்சு பண்பேற்றம்,యాంప్లిట్యూడ్ మాడ్యులేషన్
ஒப்புமை (அனலாக்),అనలాగ్ (అనలాగ్)
அனலாக் சுற்று,అనలాగ్ సర్క్యూట్
அனலாக் கணினி,అనలాగ్ కంప్యూటర్
அனலாக் ரேடியோ அதிர்வெண் சேனல்,ఫ్రీక్వెన్సీ ఛానల్
அனலாக் பிரதிநிதித்துவம்,అనలాగ్ ప్రాతినిధ్యం
அனலாக் சிக்னல்,అనలాగ్ సిగ్నల్
டிஜிட்டலுக்கு அனலாக்,డిజిటల్‌కు అనలాగ్
டிஜிட்டல் மாற்றிக்கு அனலாக்,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
அனலாக் வீடியோ,అనలాగ్ వీడియో
ஒப்பீட்டு,సారూప్యత
ஒப்புமை,సారూప్యత
பகுப்பாய்வு,విశ్లేషణ
தரவின் பகுப்பாய்வு,డేటా యొక్క విశ్లేషణ
பகுப்பாய்வு அடர்த்தி,విశ్లేషణాత్మక సాంద్రత
பகுப்பாய்வு செய்யுங்கள்,విశ్లేషించడానికి
பகுப்பாய்வி,ఎనలైజర్
துணை உபகரணங்கள்,సహాయక పరికరాలు
மற்றும் வாயில்,మరియు గేట్
மோதலின் கோணம்,కొలిమేషన్ యొక్క కోణం
துருவமுனைப்பு கோணம்,ధ్రువణ కోణం
சுழற்சியின் கோணம்,భ్రమణ కోణం
ஆங்ஸ்ட்ரோம் (Å),గోరు
கோண,కోణీయ
கோண முடுக்கம்,కోణీయ త్వరణం
கோண ஒருங்கிணைப்புகள்,కోణీయ సమన్వయాలు
கோண அழிவு,కోణీయ విక్షేపం
கோண சிதறல்,కోణీయ చెదరగొట్టడం
கோண இடப்பெயர்ச்சி,కోణీయ స్థానభ్రంశం
கோண பிழை,కోణీయ లోపం
கோண அதிர்வெண்,కోణీయ పౌన .పున్యం
கோண உந்தம்,కోణీయ మొమెంటం
கோண இயக்கம்,కోణీయ కదలిక
கோண வேகம்,కోణీయ వేగం
இயங்குபடம்,యానిమేషన్
நேர்மறை,యానోడ్
நேர்மறை பேட்டரி,యానోడ్ బ్యాటరీ
நேர்மறை பண்பு,యానోడ్ లక్షణం
நேர்மறை சுற்று,యానోడ్ సర్క్యూట్
அனோட் சிதறல்,యానోడ్ వెదజల్లడం
அனோட் செயல்திறன்,యానోడ్ సామర్థ్యం
அனோட் உள்ளீட்டு சக்தி,యానోడ్ ఇన్పుట్ శక్తి
அனோட் மாடுலேஷன்,యానోడ్ మాడ్యులేషన్
ஆண்டெனா,యాంటెన్నా
ஆண்டெனா பீம் அகலம்,యాంటెన్నా బీమ్విడ్త్
ஆண்டெனா பூஸ்டர்,యాంటెన్నా బూస్టర్
ஆண்டெனா மாற்ற சுவிட்ச்,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ஆண்டெனா சுருள்,యాంటెన్నా కాయిల్
ஆண்டெனா உள்ளமைவு,యాంటెన్నా కాన్ఫిగరేషన్
ஆண்டெனா கப்ளர்,యాంటెన్నా కప్లర్
ஆண்டெனா குறுக்கு துருவ முறை,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ஆண்டெனா நடப்பு,యాంటెన్నా కరెంట్
ஆண்டெனா டைரக்டிவிட்டி ஆதாயம்,యాంటెన్నా డైరెక్టివిటీ లాభం
ஆண்டெனா டூப்ளெக்சர்,యాంటెన్నా డ్యూప్లెక్సర్
ஆண்டெனா பயனுள்ள பகுதி,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ஆண்டெனா செயல்திறன்,యాంటెన్నా సామర్థ్యం
ஆண்டெனா ஊட்டம்,యాంటెన్నా ఫీడ్
ஆண்டெனா கால் அச்சு,యాంటెన్నా ఫుట్ ప్రింట్
ஆண்டெனா ஆதாயம்,యాంటెన్నా లాభం
ஆண்டெனா உயரம்,యాంటెన్నా ఎత్తు
ஆண்டெனா மின்மறுப்பு,యాంటెన్నా ఇంపెడెన్స్
ஆண்டெனா தூண்டல்,యాంటెన్నా ఇండక్టెన్స్
ஆண்டெனா முறை,యాంటెన్నా నమూనా
ஆண்டெனா பிளெக்ஸர்,యాంటెన్నా ప్లెక్సర్
ஆண்டெனா துருவமுனைப்பு,యాంటెన్నా ధ్రువణత
ஆண்டெனா சக்தி,యాంటెన్నా శక్తి
ஆண்டெனா சக்தி ஆதாயம்,యాంటెన్నా శక్తి లాభం
ஆண்டெனா கதிர்வீச்சு எதிர்ப்பு,యాంటెన్నా రేడియేషన్ నిరోధకత
ஆண்டெனா எதிர்வினை,యాంటెన్నా రియాక్టెన్స్
ஆண்டெனா பிரதிபலிப்பாளர்,యాంటెన్నా రిఫ్లెక్టర్
ஆண்டெனா எதிர்ப்பு,యాంటెన్నా నిరోధకత
ஆண்டெனா அதிர்வு அதிர்வெண்,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ஆண்டெனா இடைவெளி,యాంటెన్నా స్పేసింగ్
ஆண்டெனா மாறுதல் அறை,యాంటెన్నా స్విచింగ్ రూమ్
ஆண்டெனா டியூனிங் சுருள்,యాంటెన్నా ట్యూనింగ్ కాయిల్
ஆண்டெனா ட்யூனிங் ஹட்,యాంటెన్నా ట్యూనింగ్ హట్
துவாரம்,ఎపర్చరు
Apogee,అపోజీ
அபோஜி ராக்கெட்,అపోజీ రాకెట్
கருவி,ఉపకరణం
தோன்றும்,స్పష్టంగా
Applet,ఆప్లెట్
விண்ணப்பம்,అప్లికేషన్
தோராயமான,సుమారు
நீர்வாழ் தீர்வு,అక్వేస్ ద్రావణం
வில்,ఆర్క్
கட்டிடக்கலை,వాస్తుశిల్పం
ஒலி பதிவின் காப்பக பரிமாற்றம்,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
காப்பகங்கள்,ఆర్కైవ్స్
எண்கணித குறியீட்டு முறை,అంకగణిత కోడింగ్
ஆர்மேச்சர்,ఆర్మేచర్
ஆர்மேச்சர் முறுக்கு,ఆర్మేచర్ వైండింగ్
வரிசை,అమరిక
கைது செய்பவர்,అరేస్టర్
வெளிப்பாடு,ఉచ్చారణ
கலைப்பொருள் (= கலைப்பொருள்),(= కళాఖండము
ஏறுதல்,ఆరోహణ
விகிதம்,కారక నిష్పత్తి
அசெம்பிளர்,సమీకరించేవాడు
கூற்று,వాదన
ஒதுக்கீடு,అప్పగింత
ஒதுக்கீட்டு சேனல்,అసైన్‌మెంట్ ఛానల్
சமச்சீரற்ற,అసమాన
ஒத்திசைவற்ற,అసమకాలిక
வளிமண்டலம்,వాతావరణం
வளிமண்டல இழப்பு,వాతావరణ నష్టం
வளிமண்டல சத்தம்,వాతావరణ శబ్దం
வளிமண்டல அழுத்தம்,వాతావరణ పీడనం
வளிமண்டல பரவல்,వాతావరణ ప్రచారం
வளிமண்டல வானொலி-அலை,వాతావరణ రేడియో-వేవ్
வளிமண்டலங்கள்,వాతావరణం
அணு,అణువు
அணு அமைப்பு,అణు నిర్మాణం
இணைப்பு,అటాచ్మెంట్
விழிப்புணர்வு,అటెన్యుయేషన్
விழிப்புணர்வு இழப்பு,అటెన్యుయేషన్ నష్టం
ஒலி அலைகளின் விழிப்புணர்வு,ధ్వని తరంగాల యొక్క అటకన
அட்டென்யூட்டர்,అటెన్యూయేటర్
அட்டென்யூட்டர்-பேட்,అటెన్యూయేటర్-ప్యాడ్
கேட்கக்கூடிய வாசல்,విడిబిలిటీ థ్రెషోల్డ్
கேட்கக்கூடியது,వినగల
கேட்கக்கூடிய அதிர்வெண்,వినగల ఫ్రీక్వెన్సీ
கேட்கக்கூடிய தொனி,వినగల స్వరం
கேட்கக்கூடிய-ஸ்பெக்ட்ரம்,వినగల-స్పెక్ట్రం
பார்வையாளர்கள்,ప్రేక్షకులు
ஆடியோ,ఆడియో
ஆடியோ பெருக்கி,ఆడియో యాంప్లిఫైయర్
ஆடியோ பகுப்பாய்வி,ఆడియో ఎనలైజర్
ஆடியோ ஒளிபரப்பு,ఆడియో ప్రసారం
ஆடியோ கேபிள்,ఆడియో కేబుల్
ஆடியோ சங்கிலி,ఆడియో గొలుసు
ஆடியோ கோடெக்,ఆడియో కోడెక్
ஆடியோ சுருக்கம்,ఆడియో కుదింపు
ஆடியோ அமுக்கி,ఆడియో కంప్రెసర్
ஆடியோ கன்சோல்,ఆడియో కన్సోల్
ஆடியோ விலகல்,ఆడియో వక్రీకరణ
ஆடியோ டைனமிக் வரம்பு,ఆడియో డైనమిక్ పరిధి
ஆடியோ கோப்பு வடிவம்,ఆడియో ఫైల్ ఫార్మాట్
ஆடியோ பிரேம் வடிவம்,ఆడియో ఫ్రేమ్ ఫార్మాట్
ஆடியோ அதிர்வெண் பெருக்கி,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
ஆடியோ அதிர்வெண் ஜெனரேட்டர்,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
ஆடியோ அதிர்வெண் வரம்பு,ఆడియో ఫ్రీక్వెన్సీ పరిధి
ஆடியோ அதிர்வெண் பதில்,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
ஆடியோ லிமிட்டர்,ఆడియో పరిమితి
ஆடியோ வரி,ఆడియో లైన్
ஆடியோ மிக்சர்,ఆడియో మిక్సర్
ஆடியோ பண்பேற்றம்,ఆడియో మాడ్యులేషన్
ஆடியோ ஆஸிலேட்டர்,ఆడియో ఓసిలేటర్
ஆடியோ வெளியீடு,ఆడియో అవుట్పుట్
ஆடியோ சக்தி,ఆడియో శక్తి
ஆடியோ தரம்,ఆడియో నాణ్యత
ஆடியோ சிக்னல்,ఆడియో సిగ్నల్
ஆடியோ சிக்னல் செயலாக்கம்,ఆడియో సిగ్నల్ ప్రాసెసింగ్
ஆடியோ ஸ்பெக்ட்ரம்,ఆడియో స్పెక్ట్రం
ஆடியோ சேமிப்பு,ఆడియో నిల్వ
ஆடியோ துணை கேரியர்,ఆడియో సబ్ క్యారియర్
ஆடியோ மின்மாற்றி,ఆడియో ట్రాన్స్ఫార్మర్
ஆடியோ டிரான்ஸ்மிட்டர்,ఆడియో ట్రాన్స్మిటర్
ஆடியோ/வீடியோ சுருக்க,శ్రవణ/వీడియో కుదింపు
ஆடியோ-அதிர்வெண் ஆஸிலேட்டர்,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
ஆடியோ-அதிர்வெண் சமிக்ஞை,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
ஆடியோமெட்ரி,ఆడియోమెట్రీ
ஆடியோ காட்சி உதவி,ఆడియో-విజువల్ ఎయిడ్
செவிவழி கருத்து,శ్రవణ అవగాహన
அங்கீகார,ప్రామాణీకరణ
அங்கீகரிக்கப்பட்ட கேரியர் அதிர்வெண்,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
ஆட்டோ கேட்,ఆటో క్యాడ్
ஆட்டோ கண்டறிதல்,ఆటో డయాగ్నస్టిక్స్
தானியங்கி,ఆటోమేటిక్
தானியங்கி கட்டுப்பாடு,స్వయంచాలక నియంత్రణ
தானியங்கி கண்டறிதல்,ఆటోమేటిక్ డిటెక్షన్
தானியங்கி உபகரணங்கள்,స్వయంచాలక పరికరాలు
தானியங்கி அதிர்வெண் கட்டுப்பாடு,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
தானியங்கி வரம்பு,ఆటోమేటిక్ లిమిటర్
தானியங்கி இயந்திரம்,ఆటోమేటిక్ మెషిన్
தானியங்கி கட்டக் கட்டுப்பாடு,ఆటోమేటిక్ ఫేసే నియంత్రణ
தானியங்கி பட பரிமாற்றம்,ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్
தானியங்கி பிளேபேக்,ఆటోమేటిక్ ప్లేబ్యాక్
தானியங்கி சக்தி கட்டுப்பாடு,ఆటోమేటిక్ పవర్ కంట్రోల్
தானியங்கி நிரலாக்க,ఆటోమేటిక్ ప్రోగ్రామింగ్
தானியங்கி பதிவு,ఆటోమేటిక్ రికార్డింగ్
தானியங்கி மீட்டமைப்பு,ఆటోమేటిక్ రీసెట్
தானியங்கி ஷட்டர்,ఆటోమేటిక్ షట్టర్
தானியங்கி அமைப்பு,ఆటోమేటిక్ సిస్టమ్
தானியங்கி தொலைபேசி,ఆటోమేటిక్ టెలిఫోన్
தானியங்கி வெப்பநிலை கட்டுப்பாடு,స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ
தானியங்கி மின்னழுத்த சீராக்கி,ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్
தானியங்கி தொகுதி அமுக்கி,ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్
தானியங்கி தொகுதி கட்டுப்பாடு,ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్
தானியங்கி தொகுதி விரிவாக்கம்,ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్
தானியங்கு,ఆటోమేషన్
ஆட்டோமேஷன் கட்டுப்பாடு,ఆటోమేషన్ నియంత్రణ
ஆட்டோமேஷன் அதிர்வெண் கட்டுப்படுத்தி,ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్
துணை,సహాయక
துணை ஆடியோ பஸ்,సహాయక ఆడియో బస్సు
கிடைக்கும் சக்தி,అందుబాటులో ఉన్న శక్తి
பனிச்சரிவு முறிவு,హిమపాతం విచ్ఛిన్నం
சராசரி வாழ்க்கை,సగటు జీవితం
சராசரி அழுத்தம்,సగటు పీడనం
சராசரி வேகம்,సగటు వేగం
சுழல் அச்சு,స్పిన్ యొక్క అక్షం
அசிமுத்,అజిముత్
அஜிமுத் கோணம்,అజిముత్ కోణం
அஜிமுத் பிழை,అజిముత్ లోపం
பின் ஒளி,బ్యాక్ లైట్
பின் திட்டம்,బ్యాక్ ప్రొజెక్షన్
பின் மின்னழுத்தம் (= தலைகீழ் மின்னழுத்தம்),వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్)
பின்னணி (வில் மீண்டும்),బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్)
பின்னணி ஒளி,నేపథ్య కాంతి
பின்னணி இரைச்சல்,వెనుకవైపు శబ్ధం
பின்னணி திட்டம்,నేపథ్య ప్రొజెక్షన్
காப்புப்பிரதி,బ్యాకప్
தடுப்பு,అడ్డుపడే
பேக்கிங்,బేకింగ్
சீரான ஆடியோ,సమతుల్య ఆడియో
சீரான ஆடியோ வரி,సమతుల్య ఆడియో లైన్
சீரான பரிமாற்ற வரி,సమతుల్య ప్రసార రేఖ
சமநிலைப்படுத்துதல்,బ్యాలెన్సింగ్
நிலைப்படுத்தல்,బ్యాలస్ట్
நிலைப்படுத்தும் காரணி,బ్యాలస్ట్ కారకం
பலூன்,బలున్
பேண்ட்,బ్యాండ్
பேண்ட் பாஸ் வடிகட்டி,బ్యాండ్ పాస్ ఫిల్టర్
இசைக்குழு தேர்வாளர்,బ్యాండ్ సెలెక్టర్
பேண்ட் பிரித்தல்,బ్యాండ్ విభజన
பேண்ட் ஸ்டாப் வடிகட்டி,బ్యాండ్ స్టాప్ ఫిల్టర్
பேண்ட் சுவிட்ச்,బ్యాండ్ స్విచ్
பேண்ட் ட்யூனிங்,బ్యాండ్ ట్యూనింగ్
அலைவரிசை,బ్యాండ్‌విడ్త్
மதுக்கூடம்,బార్
பார் குறியீடு,బార్ కోడ్
பார் தரவு,బార్ డేటా
வெற்று இசைக்குழு,బేర్ బ్యాండ్
வெற்று விளக்கு,బేర్ లాంప్
கொட்டகையின் கதவு,బార్న్ డోర్
தள இசைக்குழு,బేస్ బ్యాండ్
அடிப்படை இசைக்குழு சமிக்ஞை,బేస్ బ్యాండ్ సిగ్నల్
அடிப்படை இசைக்குழு அமைப்பு,బేస్ బ్యాండ్ వ్యవస్థ
அடிப்படை உலாவி,బేస్ బ్రౌజర్
அடிப்படை சேகரிப்பான் சந்தி,బేస్ కలెక్టర్ జంక్షన్
அடிப்படை இன்சுலேட்டர்,బేస్ ఇన్సులేటర్
பாஸ்,బాస్
பாஸ் இழப்பீடு,బాస్ పరిహారం
பாஸ் ஒலிபெருக்கி (வூஃபர்),బాస్ లౌడ్‌స్పీకర్ (వూఫర్)
தொகுதி ஸ்கேனிங்,బ్యాచ్ స్కానింగ్
பேட்டரி சார்ஜிங்,బ్యాటరీ ఛార్జింగ్
உத்திரம்,బీమ్
அடி,బీట్
அதிர்வெண் ஆஸிலேட்டரை வெல்லுங்கள்,బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్
பெல்,బెల్
சார்பு,బయాస్
சார்பு சுற்று,బయాస్ సర్క్యూట్
சார்பு அதிர்வெண்,బయాస్ ఫ్రీక్వెన్సీ
சார்பு மின்னழுத்தம்,బయాస్ వోల్టేజ్
முன்னோக்கி திசையில் பக்கச்சார்பானது,ఫార్వర్డ్ దిశలో పక్షపాతం
இரு திசை மைக்ரோஃபோன்,ద్వి-దిశాత్మక మైక్రోఫోన్
விளம்பர பலகை,బిల్‌బోర్డ్
விளம்பர பலகை விண்ணப்பம்,బిల్‌బోర్డ్ అప్లికేషన్
இரு-உலோக உறுப்பு,ద్వి-మెటాలిక్ మూలకం
இரும,బైనరీ
பைனரி குறியீட்டு தசம,బైనరీ కోడెడ్ దశాంశం
ஈராண்டின் இலக்கியம் (பிட்),బైనరీ అంకెలు
இரும எண்,బైనరీ సంఖ్య
பைனரல் விசாரணை,బైనరల్ హియరింగ్
தொலைநோக்கி,బైనాక్యులర్
பயோமெட்ரிக்,బయోమెట్రిక్
இருமுனை டிரான்சிஸ்டர்,బైపోలార్ ట్రాన్సిస్టర్
பிட் ஒதுக்கீடு,బిట్ కేటాయింపు
பிட் வீதம்,బిట్ రేటు
கருப்பு & வெள்ளை டிவி,బ్లాక్ & వైట్ టీవీ
வெற்று,ఖాళీ
வெற்று இடைவெளி,ఖాళీ విరామం
வெற்று நிலை,బ్లాంకింగ్ స్థాయి
ரத்தான் எதிர்ப்பு,బ్లీడర్ రెసిస్టెన్స్
பிளம்பட் கேமரா,బ్లింపెడ్ కెమెరా
கண்மூடித்தனமான கண்ணை கூசும்,బ్లైండింగ్ గ్లేర్
கண் சிமிட்டுங்கள்,బ్లింక్
ஒளிரும்,బ్లింకింగ్
தொகுதி குறியீடு,బ్లాక్ కోడ్
தொகுதி வரைபடம்,బ్లాక్ రేఖాచిత్రం
தொகுதி இடைக்கணிப்பு,బ్లాక్ ఇంటర్‌లీవ్
மின்தேக்கியைத் தடுக்கும்,కెపాసిటర్ నిరోధించడం
ஆஸிலேட்டரைத் தடுக்கும்,ఓసిలేటర్‌ను నిరోధించడం
பூக்கும்,బ్లూమ్
விளக்கு ஊது,బ్లో లాంప్
குழாய் குழாய்,బ్లో పైప్
ஊதுகுழல்,బ్లోవర్
புளூடூத்,బ్లూటూత్
