Punjabi,Hindi
ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ,उपांत बिंदु क्रोमोसोम
ਅਗਾਂਹਵਧੂ,अग्राभिसारी
acrosome,ऐक्रोसोम
ਐਕਟਿਨੋਮਾਈਸੀਟਸ,एक्टिनोमाइसिटीज
ਸਰਗਰਮ ਕੋਰ,सक्रिय मूलक्षेत्र
1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ,1.उग्र 2. तीव्र
ਅਨੁਕੂਲਤਾ,अनुकूलनशीलता
ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ,अनुकूलन
1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ,1. आसंजन 2. अभिलाग
sebaceous,वसामय
ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ,समायोजन समीकरण
ਅਡੋਬ ਮਿੱਟੀ,ऐडोब मृदा
ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ,अपमिश्रक
ਐਕਟੋਪਿਕ,अपस्थानिक
ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ,इसीडियोस्पोर इसीडियम बीजाणु
ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ,वातोढ़ प्रक्रिया
ਵੈਂਟ੍ਰਲ,वातोढ़
ਹਵਾ ਦੇਣ ਲਈ,वातन करना
1. ਹਵਾ 2. ਆਕਾਸ਼ੀ,1. वायव 2. आकाशी
1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
ਐਰੋਸੋਲ,ऐरोसोल
1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ,रोग हेतु विज्ञान
ਜੰਗਲਾਤ,वनरोपण
1. ਅੰਦੋਲਨ 2. ਗੜਬੜ,1. विलोडन 2. प्रक्षोभन
ਐਗਮਾਰਕ,ऐगमार्क
1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ,1. भूमि संबंधी 2. कृषि संबंधी
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,कृषि निदानालय
1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ,1. कृषि श्रम 2. खेतिहर मजदूर
ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ,कृषि विपणन
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,कृषि प्रद्योगिकी
1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ,कृषि वनवर्धन
ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ,कृषि जैविक विविधता
ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ,कृषि जैविक दोष
ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ,कृषि जैविकी
ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ,कृषि जलवायुवीय विविधता
ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ,कृषिजलवायुवीय जोन निर्माण
ਖੇਤੀ ਜੰਗਲਾਤ,कृषिवानिकी
ਖੇਤੀ ਵਿਗਿਆਨ,सस्य मृदा विज्ञान
ਖੇਤੀ ਵਿਗਿਆਨਕ,सस्य विज्ञान
ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ,कृषि पशुचारणिक
ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ,फसल प्रसंस्करण
ਘਾਹ ਵਿਗਿਆਨ,घास विज्ञान
ਫਸਲ ਦੀ ਕਿਸਮ,सस्य प्ररूप
epiphyte,अधिपादप
aikiochi ਮਿੱਟੀ,ऐकिओची मृदा
ਰੰਗ ਅੰਨ੍ਹਾਪਨ,वर्णकहीनता
alfisol,एल्फिसॉल
ਐਲਗੀ,शैवाल
ਐਲਗੀ ਰੋਗ,शैवाल रोग
ਖਾਰੀ ਪਾਣੀ,क्षार जल
ਖਾਰੀ,क्षारीय
ਵਿਕਲਪਕ,विकल्पी
ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ,एलीलो रसायन
ਐਲੀਲ,युग्मविकल्पी
ਐਲੇਲੋਪੈਥੀ,एलीलोपैथी
ਵੇਥੀ ਦੀ ਫਸਲ,वीथी सस्यन
ਸੰਪੂਰਨਤਾ,परनिषेक-फलता
ਗਰੱਭਧਾਰਣ ਕਰਨਾ,परनिषेचन
1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ,1. सापेक्षमिति 2. ऐलोमैट्री
multiploidy,परबहुगुणित
1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ,1. परयुग्मन 2. अपायुग्लन
1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ,1. एकातंर वर्ष फलन 2. एकांतरित फलन
ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,वैकल्पिक भूमि उपयोग
ਵਾਤਾਵਰਣ,परिवेश
ਸੁਧਾਰਕ,सुधारक
ਮਾਈਟੋਸਿਸ,असूत्रीविभाजन
ਆਮੀਨ,ऐमीनन
ਐਮੋਨੀਅਨ,अमोनियन
amniferous,अमोनीकारक
1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ,1.अप्रभावी रूप  2.अरूपी
amphibian ਮਿਸ਼ਰਣ,उभय मिश्रण
ਐਮਫੋਟੇਰਿਕ,उभयधर्मी
ਭੰਡਾਰ,उपचय
1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ,1. अवायुजीव 2. अनाक्सी जीव
ਹੈਪਲੋਇਡ,असुगुणित
ਕੋਣੀ ਲਾਉਣਾ,कोणीय रोपण
ਪਸ਼ੂ ਪਾਲਣ,पशुपालन
ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ,पशु उच्छिष्ट
ਜੀਵਤ ਊਰਜਾ,सजीव ऊर्जा
ਅਸਧਾਰਨ,असमगुणित
ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ,एकवर्षीय पादप
ਸਾਲਾਨਾ,वार्षिक
1. ਅਨੰਦ 2. ਚਮਕ,1. परागोद्भव 2. प्रफुल्लन
ਐਂਥ੍ਰੈਕਸ,ऐन्थ्रेक्स
ਮਾਨਵ-ਜਨਕ ਕਾਰਕ,मानवजनिक कारक
ਬਚਾਅ,प्रतिजीविता
1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ,1.प्रतिजैविक2.  ऐन्टीबायोटिक
ਘਿਣਾਉਣੀ,प्रतिकारक
ਐਂਟੀਆਕਸੀਡੈਂਟ,प्रतिऑक्सीकारक
ਐਂਟੀਟੌਕਸਿਨ,प्रतिआविष
ਰਿੰਗ ਉਂਗਲ,वलयिका
1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ,1. ऐफिड 2. माहू 3. चेपा
ਚੋਟੀ ਦੇ ਮੁਕੁਲ,शीर्ष कलिका
ਸਿਖਰ ਪ੍ਰਭਾਵ,शिखाग्र प्रभाविता
ਮਧੂ ਮੱਖੀ ਪਾਲਣ,मधुमक्खी पालन
ਅਲੌਕਿਕਤਾ,असंगजनन
apoptosis,एपोप्टोसिस
ਜੋੜ,उपांग
ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ,क्षुधावर्धक
ਲਾਗੂ ਕੀਤਾ,अनुप्रयुक्त
ਜਲਜੀ ਬੂਟੀ,जलीय खरपतवार
1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ,1. वृक्षीय 2. वृक्षवासी
ਬ੍ਰਾਂਚਿੰਗ,शाखायन
ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,आद्य वानस्पतिक अभिलेख
ਜ਼ੋਨ ਨੰਬਰ,क्षेत्रांकड़
1. ਖੇਤਰ 2. ਖੇਤਰ,1. क्षेत्र 2. क्षेत्रफल
ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ,शुष्क पारितंत्र
cotyledon,बीजचोल
ਸੌਰਭ,सौरभ
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,सुगंधी पादप
ਸੁਗੰਧਿਤ ਚੌਲ,सुगंधित चावल
ਇਕੁ ਪੁਸ਼ਪੰ ॥,इक्षु पुष्पन
ਅਸੈਪਟਿਕ,अपूति
1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ,1.अपूतित 2. अजर्म
ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ,अलैंगिक प्रवर्धन
ਆਕਾਰ,आमाप
ਸੰਪਤੀ,परिसंपत्ति
1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ,1. स्वांगीकरण 2. आत्मसात्करण
1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ,1. साहचर्य 2. संघ
1. ਕਾਲਮ 2. astringency,1. स्तंभक 2. कषाय
heterozygosity,असूत्रयुग्मन
1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ,1. पूर्वजता 2. ऐटाविज्म
ਕਣ,कणित्र
1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ,1.अपुष्टि 2. क्षीणता
ਸਵੈ ਜੋੜਾ,स्वयुग्मन
autolysis,स्वलयन
1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ,1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन
ਸਵੈ ਮਲਟੀਪਲੈਕਸ,स्वबहुगुणित
auxin,ऑक्सिन
1. ਹਿਲਾ 2. ਟੌਡ,1. शूक 2. तूड़
ਸਜ਼ਾ ਵਾਇਰਸ,दंड विषाणु
1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ,1. दंडाणु 2. बैसिलस
1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ,1. जीवाणु 2. बैक्टीरिया
ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ,जीवाणु आविष
ਬੈਗਾਸ,खोई
ਸੰਤੁਲਨ ਸ਼ੀਟ,तुलन-पत्र
ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ,संतुलित उर्वरक उपयोग
ਬਾਰ ਗ੍ਰਾਫ,दंड आरेख
ਸੱਕ,छाल
1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ,1. वायुदाबमापी 2. बैरोमीटर
1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ,1. बजर 2. अकृष्य 3. बांझ
1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ,1. आधार 2. बेस 3. कपांग
1. ਤਾਲਾ 2. ਬੇਸਿਨ,1.थाला 2. द्रोणी
ਤਾਲਾਬੀਸਰੀ,तलाभिसारी
1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ,1. बेसिस्टर्नम 2. मूलाधारक
ਖਾੜੀ ਮਾਨਸੂਨ,खाड़ी मानसून
ਫਲ ਪੌਦਾ,फलदायी पौधा
ਬਿਸਤਰਾ,क्यारी
ਬੈੱਡ ਪੌਦਾ,क्यारी - पौधा
ਬਿਸਤਰਾ,क्यारी बनाना
ਚੁਕੰਦਰ ਗੁੜ,चुकंदर शीरा
ਘੰਟੀ,धौंकनी
1. ਪੱਟੀ 2. ਭੂਮੀ,1. पट्टी 2. इलाका
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,लाभ-लागत विश्लेषण
ਚਾਹਵਾਨ (ਨਮੂਨਾ),अभिनत (प्रतिचयन)
ਦੋ-ਸਾਲਾ ਪੌਦੇ,द्विवर्षीय पादप
ਬਾਇਨੋਮੀਅਲ,द्विपद
ਬਾਇਓਫੈਕਟਰ,जैवकारक
ਜੈਵਿਕ ਜਲਵਾਯੂ,जीव जलवायु
ਬਾਇਓ ਊਰਜਾ,जैव ऊर्जा
ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ,जीव पारिस्थितिकी
1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ,1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर
ਜੀਵ-ਮੰਡਲ,जीव-मंडल
ਬਾਇਓਟਿਕ,जीवीय
ਜੀਵ-ਜੰਤੂ,जीव प्ररूप
ਡਿਵਿਲਿੰਗੀ,दविलिंगी
ਧਵਲਨ,धवलन
1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ,1.  प्रध्वसं (रोग) 2.  झोंका रोग
ਮਿਲਾਉਣਾ,संमिश्रण
1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ),1. अंगमारी (रोग) 2.  ब्लाइट (रोग)
1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ,1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर
ਨੀਲੀ ਕ੍ਰਾਂਤੀ,नीली क्रांति
ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ,तलीय ताप चैंबर
ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ,तलीय ताप तकनीक
ਬਰੈਨ,चोकर
ਬ੍ਰਾਂਚਿੰਗ,शाखन
1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ,1. टहनी 2. उपशाखा
ਨਸਲ,नस्ल
ਪ੍ਰਜਨਨ,प्रजनन
ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ,शीघ्र अंकुरण उपचार
1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ,1. शाव 2. अंड 3. भ्रूण
ਉਭਰਦਾ,कलिकायन
ਬਜਟ,बजट
1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ,1.उभयप्रतिरोधी 2. बफर
ਮਿਠਾ ਆਲੂ,शल्ककंद
ਬੰਟ (ਰੋਗ),बंट (रोग)
1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ,1. उपजात 2. उपोत्पाद
c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ,c नमी विशिष्टता वक्र
ਤੇਲ ਕੇਕ,खली
1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ,1. चूनेदार 2.कैल्सियमी
ਕੈਲਸੀਓਨ,कैल्सीयन
ਫਾਸਫੇਟ ਹਟਾਉਣ,फॉस्फेट का निस्तापन
1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ,1. किणता 2. कैलसता
1. ਕੈਲਸ 2. ਕਿਰਨ,1.कैलस 2. किण
1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ,1. बाह्यदल पुंज 2.कैलिक्स
ਬਾਹਰੀ ਅੰਤ,वाह्यदल अंत
ਏਡਾ,एधा
ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ),कैंकर (जीवाणु रोग)
ਕੈਨਿੰਗ,डिब्बाबंदी
ਅਸਮਾਨ,वितान
ਵਿੱਤ,पूंजी
ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ),परागण (अंजीर का)
1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ,1. संपुट 2. संपुटिका 3. कैप्सूल
ਕਾਰਬਨਾਈਜ਼ਡ,कार्बोनीकृत
ਕਾਰਬਨਾਨ,कार्बनन
carapace,अंडप
ਬਰੇਸਲੈੱਟ,मणिबंध
1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ),1. ढलाई (लोहे की) 2. क्षिप्ति (कीट)
catabolism,अपचय
ਪ੍ਰੇਰਣਾ,उत्प्रेरण
1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ,1. इल्ली 2. सूंडी
c d. ਐਨ. a ਸੰਗ੍ਰਹਿ,सी ड़ी. एन. ए. संग्रह
ਸੀਮਾ,सीमा
1. ਸੈੱਲ 2. ਸੈੱਲ,1. कोशिका 2. कोष्ठिका
ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ,केंद्रीय अग्रग प्रणाली
1. ਪੁਆਇੰਟ 2. ਫੋਕਸ,1. सबिंदु 2. सकेंद्र
centrifugation,अपकेंद्रण
ਸੈਂਟਰਿਫਿਊਜ,अपकेंद्रक
ਸਟਾਰ ਸੈਂਟਰ,तारककेंद्र
epigenetic,केंद्रजनिक
ਕੇਂਦਰਜਾ,केंद्रजा
ਲੂਮ,लूम
1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ,1. धान्य 2. सीरियल
1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ,1. प्रमाणीकरण 2. प्रमाणन
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,प्रमाणित बीज
1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ,1. भूसा 2. कुट्टी 3. शल्क सहपत्र
1. ਨਿਭਾਗ 2. ਕੈਲਜਾ,1. निभाग 2. कैलाजा
ਕਾਇਮੋਗ੍ਰਾਫੀ,रसानुवर्तन
1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ,1. किआज्मा 2. व्यत्यस्त
ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ,अतिशीतन घंटे
ਠੰਡ ਦਾ ਨੁਕਸਾਨ,शीतज क्षति
1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ,1.  विचित्रोतकी 2. काइमेरा
ਹਰਾ ਦਲੀਆ,हरित दली
1. ਪੱਤੇ 2. ਹਰੇ,1. पर्णहरित 2. हरितक
ਸਾਇਨੋਸਿਸ,हरिमाहीनता
ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ,जीव वितरण विज्ञान
1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼,1. क्रोमैटिड 2. अर्धगुणसूत्र
chromatin,क्रोमैटिन
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,वर्णलेखन
chromatinlation,क्रोमोटिनलयन
ਅਟਲ ਬਿੰਦੂ,परिसूत्र बिंदु
chromatogenesis,वर्णजनन
1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ,1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन
1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼,1. गुणसूत्र 2. क्रोमोसोम
1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ,1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना
citrange,सिट्रेंज
ਪਤਝੜ ਤਿਉਹਾਰ,पर्णाभपर्व
ਵਰਗੀਕਰਨ,वर्गीकरण
1. ਮਿੱਟੀ 2. ਮਿੱਟੀ,1.मृत्तिका 2. चिकनी मिट्टी
1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ,1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन
ਲਗਾਤਾਰ ਪਰਾਗਣ,अनुन्मील्य परागण
cruciferous ਫਲ,क्रतिक श्वसनी फल
ਜਲਵਾਯੂ,जलवायु
ਜਲਵਾਯੂ ਵਿਗਿਆਨ,जलवायु विज्ञान
ਕੱਟਣਾ,कतरनी
ਗੰਢ (ਮਿੱਟੀ),ढेला (मिट्टी का)
ਕਲੋਨ,क्लोन
1. ਬੱਦਲ 2. ਬੱਦਲ,1.मेघ 2. बादल
ਝੁੰਡ,पुंज (क्लंप
ਝੁੰਡ,गुच्छ
1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ,1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत
1. ਕਵਰ 2. ਚਮੜਾ,1. आवरण 2.  चर्मावरण
ਕੋਯਾ,कोया
1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ,1. कोएन्जाइम 2. सह-एन्जाइम
ਤਾਲਮੇਲ,संसंजन
1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ,1. रेशा (जूट पटसन) 2. नारियल जटा
ਮੁਲੰਕੁਰ ਚੋਲਾ,मूलांकुर चोल
,
ਕੋਲਾਇਡ (ਮਿੱਟੀ),कोलॉइड (मृदा)
1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ,1.स्तंभिका 2. कॉलुमेला
1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ,1.दंड 2. स्तंभ 3. कॉलम
ਸਾਂਝ,सहभोजिता
ਵਪਾਰਕ ਬੈਂਕ,वाणिज्यिक बैंक
1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ,1. जिंस 2. पण्य वस्तु
ਭਾਈਚਾਰਾ,समुदाय
ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ),संहनन (मृदा का)
1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ,1. सुसंगति 2. संगतता
ਅਨੁਕੂਲਤਾ,सुसंगतता
1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ,1. क्षतिपूर्ति 2. मुआवजा
ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ,स्पर्धी अन्योन्यक्रिया
ਪੂਰਕ ਫਸਲ,पूरक सस्य
1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ,1.सम्मिश्र 2. जटिल
ਸੰਵਿਧਾਨਕ,घटक
ਰਚਨਾ,संघटन
ਖਾਦ,कंपोस्ट
ਮਿਸ਼ਰਿਤ ਵਿਆਜ,चक्रवृद्धि ब्याज
ਗਣਨਾ,अभिकलन
1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ,1.अभिकलित्र 2.कंप्यूटर
1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ,1. सांद्रण 2. संकेद्रण
1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ,1. अनुकूलक 2. पुनरुद्धारक
ਚਾਲਕਤਾ,चालकता
1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ,1. विन्यास 2. संरूपण
1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ,1. अनुरूपता 2. समविन्यास 3. संरूपता
1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ,1.समाकुलन 2. संकरण
ਸੰਜੋਗ,संयुग्मन
1. ਜੋੜਨ ਵਾਲਾ 2. ਜੋੜਨ ਵਾਲਾ,1. योजी 2. संयोजी
ਸੁਰੱਖਿਆ,सरंक्षण
ਏਕੀਕਰਨ,चकबंदी
1. ਸਮੱਗਰੀ 2. ਸਮੱਗਰੀ,1.संघटक 2. अवयव
ਖਪਤਕਾਰ,उपभोक्ता
ਖਪਤ,उपभोग
ਗੰਦਗੀ,संदूषण
ਕੰਟੂਰ ਲਾਉਣਾ,समोच्च रोपण
ਕੰਟੋਰ ਲਾਈਨ,समोच्च रेखा
