Punjabi,Tamil
ਅਦੁਲਾਮਾਈਟਸ,அதுலமைட்டுகள்
ਵਿਰੋਧੀ,எதிரி
ਵਿਰੋਧੀ,எதிரி
ਏਯੋਨ,ஏயோன்
ਏਰੈਰੀਅਮ,ஏரேரியம்
ਹਵਾਈ ਜੰਗ,வான்வழிப் போர்
ਏਟੋਲੀਅਨ ਲੀਗ,ஏட்டோலியன் லீக்
ਉਮਰ,வயது
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),முதுமை (=வயதான)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,வயதான செயல்முறை
ਅਗੇਲੈ,அகெலாய்
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,வீரத்தின் வயது
ਗਿਆਨ ਦੀ ਉਮਰ,அறிவாற்றல் வயது
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,பெரிக்கிள்ஸ் வயது
ਕਾਰਨ ਦੀ ਉਮਰ,பகுத்தறிவு வயது
ਖੇਤੀਵਾਦ,விவசாயம்
ਖੇਤੀ ਅੰਦੋਲਨ,விவசாய இயக்கம்
ਐਲਬੀਅਨ,அல்பியன்
ਐਲਬਮ,ஆல்பம்
ਐਲਡਰਮੈਨ,ஆல்டர்மேன்
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,கவர்ச்சியான ஆயுதங்கள்
ਦੋਸਤੀ,அமிட்டி
Amphictyonic ਕੌਂਸਲ,ஆம்ஃபிக்டியோனிக் கவுன்சில்
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,ஆம்ஃபிக்டியோனிக் லீக்
ਅਖਾੜਾ,ஆம்பிதியேட்டர்
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),அம்ரி நல் குழு (மட்பாண்டங்கள்)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,அனாக்ரோனிசம்
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,காலமற்ற
ਪੂਰਵਜ,மூதாதையர்
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,முன்னோர் வழிபாடு
ਵੰਸ਼,பரம்பரை
ਵੰਸ਼,பரம்பரை
ਵੰਸ਼,பரம்பரை
ਵੰਸ਼,பரம்பரை
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,பண்டைய ஆட்சி
ਪ੍ਰਾਚੀਨ,பண்டைய
ਪ੍ਰਾਚੀਨ ਗੀਤ,பழங்கால பாலாட்
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,பண்டைய நம்பிக்கை
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,பண்டைய வழக்கம்
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,பண்டைய வரலாறு
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,பழங்கால நினைவுச்சின்னங்கள்
ਕਿੱਸਾ,சிறுகதை
ਐਂਜਲੋਟ,ஏஞ்சலோட்
ਐਂਜਲਸ,ஏஞ்சலஸ்
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),ஆஞ்செவின் (=அஞ்செவின்)
ਕੋਣ,கோணங்கள்
ਐਂਗਲੀਕਨ,ஆங்கிலிகன்
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,ஆங்கிலிகன் ஒற்றுமை
ਐਂਗਲੀਕਨਵਾਦ,ஆங்கிலிக்கனிசம்
ਐਂਗਲੋ-ਫੋਬ,ஆங்கிலோ-போப்
ਐਂਗਲੋ-ਫੋਬੀਆ,ஆங்கிலோ-ஃபோபியா
ਐਂਗਲੋ-ਸੈਕਸਨ,ஆங்கிலோ-சாக்சன்
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,ஆங்கிலோ-சாக்சோனிசம்
ਐਨਾਲਿਸਟ,அன்னாலிஸ்ட்
ਇਤਿਹਾਸ,அன்னல்
ਅਨੇਕਸ਼ਨ,இணைப்பு
ਐਂਟੀ-ਬੇਲਮ,ஆன்டி-பெல்லம்
ਪਿਛਲੀ ਤਾਰੀਖ,முன் தேதி
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,மதகுருத்துவத்திற்கு எதிரானது
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,மதகுருவுக்கு எதிரான சட்டம்
ਪੁਰਾਤਨਤਾ,பழமை
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,எதிர்ப்பு வாடகை
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,எதிர்ப்பு வாடகை
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,யூத எதிர்ப்பு
ਐਨਜ਼ੈਕ,அன்சாக்
ਅਪੇਲਾ,அப்பெல்லா
ਅਰਲੂ,அரலு
ਆਰਕ ਬਿਸ਼ਪ,பேராயர்
ਆਰਕ ਡਚੀ,ஆர்ச் டச்சி
ਆਰਕ ਡਿਊਕ,ஆர்ச் டியூக்
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),காப்பகம் (=காப்பக சேகரிப்பு)
ਆਰਚੀਪੀਸਕੋਪੇਟ,ஆர்க்கிபிஸ்கோபேட்
ਕੁਲੀਨ,பிரபுத்துவம்
ਰਈਸ,பிரபு
ਕੁਲੀਨ ਸਨੋਬਰੀ,பிரபுத்துவ ஸ்னோபரி
ਅਰਿਸਟੋਟਲੀਅਨ,அரிஸ்டாட்டிலியன்
ਆਰਮਾਡਾ,அர்மடா
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),அர்மடா (=ஸ்பானிய அர்மடா)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),கவசக்காரர் (=கவசக்காரர்)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),கவசம் (=கவசம்)
ਸ਼ਸਤਰਧਾਰਕ,ஆயுதக்கடைக்காரர்
ਆਰੀਅਨ,ஆர்யன்
ਆਰੀਅਨ,ஆர்யன்
ਅਸਕਰੀ,அஸ்காரி
ਅਸਾਈਨੈਟ,ஒதுக்கு
ਅਸਾਈਜ਼,உதவு
ਅਸਾਈਜ਼,உதவு
ਅਸਾਈਜ਼,உதவு
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,ஆயுதச் சட்டம்
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,நாவல் Disseisin Assize
ਅੱਤਿਆਚਾਰ,கொடுமை
ਹਮਲਾ,தாக்குதல்
ਔਲਿਕ ਕੌਂਸਲ,ஆலிக் கவுன்சில்
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
ਬਾਬਲ,பாபிலோன்
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
ਬਚਨਲ ਭਗਤ,பச்சனல் பக்தர்
ਬਚਨਲਿਆ,பச்சனாலியா
ਕੁਆਰਾ,இளங்கலை
ਬਗਦਾਦ ਸਮਝੌਤਾ,பாக்தாத் ஒப்பந்தம்
ਬਾਲਕਨ ਲੀਗ,பால்கன் லீக்
ਬਾਲਕਨ ਸਮਝੌਤਾ,பால்கன் ஒப்பந்தம்
ਬਾਲਕਨ ਯੁੱਧ,பால்கன் போர்கள்
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,பால்டிக் ஒப்பந்தம்
ਡਾਕੂ,கொள்ளைக்காரன்
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,பாண்டுங் மாநாடு
ਦੇਸ਼ ਨਿਕਾਲੇ,நாடுகடத்தல்
ਬੈਨਰ,பதாகை
ਵਹਿਸ਼ੀ,காட்டுமிராண்டித்தனம்
ਬਾਰਬੀਕਨ,பார்பிகன்
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,பர்தோலி சத்தியாகிரகம்
ਬਾਰਨ ਬਰਨਰ,பார்ன் பர்னர்ஸ்
ਬੈਰਨ,பரோன்
ਬੈਰੋਨੇਜ,பாரோனேஜ்
ਬੈਰੋਨਸ ਮੇਜਰਸ,பரோன்ஸ் மேஜர்கள்
ਬੈਰੋਨਸ ਨਾਬਾਲਗ,பரோன்ஸ் மைனர்கள்
ਬੈਰੋਨੇਸ,பரோனஸ்
ਬੈਰੋਨੇਟ,பரோனெட்
ਬੈਰੋਨੇਟੇਜ,பரோனேடேஜ்
ਬੈਰੋਨੇਟੇਜ,பரோனேடேஜ்
ਬੈਰੋਨੇਟਸੀ,பேரோனெட்டி
ਬੈਰੋਨੀ,பேரோனி
ਬੈਰਾਕੂਨ,பாராகூன்
ਬੈਰਾਕੂਨ,பாராகூன்
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),தடுப்பு (=பேரிகாடோ)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),தடுப்பு (=பேரிகாடோ)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),தடுப்பு (=பேரிகாடோ)
ਬੇਸ ਕੈਂਪ,அடிப்படை முகாம்
ਬੇਸਿਲਿਕਾ,பேராலயம்
ਬੇਸਿਲਿਕਾ,பேராலயம்
ਬਸਤੀਲਾ,பஸ்திலா
ਬੈਸਟਿਲ,பாஸ்டில்
ਬੈਸਟਿਲ,பாஸ்டில்
ਬੈਟਰੀ,மின்கலம்
ਲੜਾਈ,போர்
ਬੈਟਲੇ-ਐਰੇ,போர்-வரிசை
ਲੜਾਈ ਦਾ ਰੋਣਾ,யுத்த அழுகுரல்
ਲੜਾਈ ਦੀਨ,போர் டின்
ਲੜਾਈ ਦਾ ਮੈਦਾਨ,போர்க்களம்
ਲੜਾਈ ਦਾ ਭਜਨ,போர் பாடல்
ਸਪਰਸ ਦੀ ਲੜਾਈ,ஸ்பர்ஸ் போர்
ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ,ஸ்டாண்டர்ட் போர்
ਬੈਟਲਸ਼ਿਪ,போர்க்கப்பல்
ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ,போர்க்கப்பல்-வலிமை
Bayeux tapestry,பேயுக்ஸ் சீலை
ਬੀਕਨ,கலங்கரை விளக்கம்
ਬੀਕਨ ਟਾਵਰ,கலங்கரை விளக்கம் கோபுரம்
ਬੀਵਰ,பீவர்
ਬੀਵਰ,பீவர்
ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ,கடலின் பிச்சைக்காரர்கள்
ਬੇਲੀਕੋਜ਼,பெல்லிகோஸ்
ਬੇਲੀਕੋਸ,பெல்லிகோஸ்
ਬੇਲੀਕੋਜ਼,பெல்லிகோஸ்
ਬੇਲੀਕੋਸਿਟੀ,பெல்கோசிட்டி
ਬੇਲੋਨਾ,பெல்லோனா
ਲਾਭ,நன்மை
ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ,குருமார்களின் பலன்
ਬੇਨੇਲਕਸ,பெனலக்ஸ்
ਬਰਲਿਨ ਫ਼ਰਮਾਨ,பெர்லின் ஆணை
ਬੇਸਰਕਰ,பெர்சர்கர்
ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ),பெசன்ட் (=பெசண்ட்)
ਬੈਥਲ,பெத்தேல்
ਬਾਈਬਲੀਓਲੇਟਰ,நூலாசிரியர்
ਬਿਬਲਿਓਲਾਟਰੀ,புத்தக வழிபாடு
ਵੱਡੀ ਬਰਥਾ,பெரிய பெர்தா
ਬਿਗੌਟ,மதவெறி
ਬਿਲੀਟਿੰਗ,பில்லெட்டிங்
ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ,பில்
ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ,உரிமைகள் மசோதா
ਜੀਵਨੀਕਾਰ,வாழ்க்கை வரலாற்றாசிரியர்
ਜਨਮ ਕਹਾਣੀਆਂ,பிறப்பு கதைகள்
ਬਿਵੁਆਕ,Bivouac
ਬਿਵੁਆਕ,Bivouac
ਬਿਵੁਆਕ,Bivouac
ਬਿਜੋਨੀਆ,பிசோனியா
ਕਾਲਾ ਪੰਛੀ,கருப்பு பறவைகள்
ਕਾਲਾ ਝੰਡਾ,கருப்பு கொடி
ਕਾਲਾ ਮੋਰੀ,கருந்துளை
ਕਾਲਾ ਮੋਰੀ,கருந்துளை
ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ),கருப்பு கால் (=சிரங்கு)
ਕਾਲੀ ਕਮੀਜ਼,கருப்பு சட்டை
ਬਲੇਜ਼ਨ,பிளேசன்
ਬਲੇਜ਼ਨ,பிளேசன்
ਧਮਾਕੇਦਾਰ,பிரகாசம்
ਧਮਾਕੇਦਾਰ,பிரகாசம்
ਬਲਿਟਜ਼ਕਰੀਗ,பிளிட்ஸ்கிரீக்
ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ),இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி)
ਬਲੱਡਵਾਈਟ,இரத்தம் கொண்டவர்
ਖੂਨੀ ਮੈਰੀ,ப்ளடி மேரி
ਨੀਲਾ,நீலம்
ਨੀਲਾ ਖੂਨ,நீல இரத்தம்
ਨੀਲੀ ਕਿਤਾਬ,நீல புத்தகம்
ਨੀਲਾ ਰਿਬਨ,நீல தலைப்பட்டை
ਨੀਲਾ ਰਿਬਨ,நீல தலைப்பட்டை
ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ),ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்)
ਨੀਲੀ ਕਮੀਜ਼,நீல நிற சட்டை
ਬਲੂ ਵਾਟਰ ਸਕੂਲ,நீல நீர் பள்ளி
ਕੰਟਰੋਲ ਬੋਰਡ,கட்டுப்பாட்டு வாரியம்
ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ,உடல் கவசம்
ਬੋਅਰ,போயர்
ਲੁੱਟ,கொள்ளை
ਬੋਰੋ,பெருநகரம்
ਬੁਲੇਉਟੇਰੀਅਨ,பவுல்யூடெரியன்
ਬੋਰਬਨ,போர்பன்
ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ,குத்துச்சண்டை வீரர் கிளர்ச்சி
ਬ੍ਰੇਸ,பிரேஸ்
ਬ੍ਰਾਸਾਰਡ,பிராசர்ட்
ਬ੍ਰਾਸਾਰਡ,பிராசர்ட்
ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ,ரொட்டி காலனிகள்
ਛਾਤੀ ਪਲੇਟ,மார்பக தட்டு
ਛਾਤੀ ਦਾ ਕੰਮ,மார்பக வேலை
ਬਰੇਟਵਾਲਡਾ,ப்ரெட்வால்டா
ਬ੍ਰਿਗੈਂਡ,பிரிகாண்ட்
ਬ੍ਰਿਗੇਂਡੇਜ,பிரிகாண்டேஜ்
ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼,பிரிட்டிஷ் காமன்வெல்த் நாடுகள்
ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ),பிரவுன் ஷர்ட்ஸ் (=நாஜிக்கள்)
ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ),பிரஸ்ஸல்ஸ் உடன்படிக்கை (ஒப்பந்தம்) அமைப்பு (=மேற்கு ஐரோப்பிய ஒன்றியம்)
ਮੱਝ,பஃப்
ਮੱਝ,பஃப்
ਮੱਝ-ਕੋਟ,பஃப்-கோட்
ਮੱਝਾਂ,பஃப்ஸ்
ਬੁਲੇ (=ਕੌਂਸਲ),புலே (=சபை)
ਬਰਗੇਜ,பர்கேஜ்
ਬਰਗੇਸ,பர்கெஸ்
ਬਿਜ਼ੰਤੀਨੀ,பைசண்டைன்
ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ,பைசண்டைன் தேவாலயம்
ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ,பைசண்டைன் பேரரசு
ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ,பைசண்டைன் சகாப்தம்
ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ,பைசண்டைன் வரலாற்றாசிரியர்கள்
ਕਾਬਲ,கபால்
ਕੈਸਰਵਾਦ,சீசரிசம்
ਖਲੀਫਾ,கலீஃபா
ਕੈਲੀਗ੍ਰਾਫਰ,எழுத்தாளன்
ਕੈਲੀਗ੍ਰਾਫਿਸਟ,கையெழுத்து எழுதுபவர்
ਕੈਲੀਗ੍ਰਾਫੀ,எழுத்துக்கலை
ਕੈਲਟ੍ਰੋਪ,கால்ட்ராப்
ਦੋਸਤੀ,தோழமை
ਕੈਮਰਿਲਾ,கேமரிலா
ਕੈਮਰਿਲਾ,கேமரிலா
ਕੈਮਲੌਕਮ,கேமலாகம்
ਕੈਮੋਫਲੇਜ,உருமறைப்பு
ਮੁਹਿੰਮ,பிரச்சாரம்
ਕੈਂਪ ਫਾਲੋਅਰ,முகாம் பின்பற்றுபவர்
ਕੈਂਪੋ ਸੈਂਟੋ,காம்போ சாண்டோ
ਕੈਂਪਸ ਮਾਰਟੀਅਸ,மார்டியஸ் வளாகம்
ਕੈਨੇਫੋਰਾ,கேனபோரா
ਕੈਂਗੂ,கங்கு
ਕੈਨੋਨੇਡ,பீரங்கி
ਤੋਪ ਚਾਰਾ,பீரங்கி தீவனம்
ਕੈਨਨ,நியதி
ਕੈਨਨ ਕਾਨੂੰਨ,நியதி சட்டம்
ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ,கனோபஸ் ஆணை
ਕੈਂਟਿੰਗ ਹਥਿਆਰ,ஆயுதங்களை ஏந்துதல்
ਬੰਦੀ,கைதி
ਕੈਪਟਰ,பிடிப்பவன்
ਕਾਰਡੀਨਲ,கார்டினல்
ਕਾਰਲ,கார்ல்
ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼,கரோலிங்கியன் வம்சம்
ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ,கார்த்தூசியன் பிரிவு
ਕਾਰਟੋਸਾ,கார்டோசா
ਕੈਸਟਲੀਅਨ,காஸ்ட்லியன்
ਕੈਸਟਲੀਅਨ,காஸ்ட்லியன்
ਜਾਤ ਪ੍ਰਣਾਲੀ,சாதி அமைப்பு
ਕਿਲ੍ਹਾ,கோட்டை
ਕਿਲ੍ਹਾ,கோட்டை
ਕੈਸਲ ਸ਼ਹਿਰ,கோட்டை நகரம்
ਕਾਸਟਰਾ,காஸ்ட்ரா
ਕਾਸਟਰਾ,காஸ்ட்ரா
ਕੈਥੇਡਰਾ,கதீட்ரா
ਗਿਰਜਾਘਰ,கதீட்ரல்
ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼,கேட்டோ ஸ்ட்ரீட் சதி
ਕਾਉਡੀਲੋ,காடிலோ
ਕੈਵਲੀਅਰ,காவலர்
ਕੈਵਲੀਅਰ,காவலர்
ਕੈਵਲੀਅਰ ਸੰਸਦ,கவாலியர் பாராளுமன்றம்
ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ,அதுலாம் குகை
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,குகை ஓவியம்
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,குகை ஓவியம்
ਸੇਂਟਮਵੀਰ,சென்டம்விர்
ਸੈਂਚੁਰੀਅਨ,செஞ்சுரியன்
ਸਦੀ,நூற்றாண்டு
ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ),சங்கிலி கவசம் (=செயின் மெயில்)
ਛੰਤਰੀ,சாந்த்ரி
ਛੰਤਰੀ,சாந்த்ரி
ਚੈਪ ਕਿਤਾਬ,அத்தியாய புத்தகம்
ਪਾਦਰੀ,சாப்ளின்
ਅਧਿਆਇ,அத்தியாயம்
ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ,விபத்துகளின் அத்தியாயம்
ਚਾਰਜ,கட்டணம்
ਚਾਰਜ ਡੀ,பொறுப்பாளர்கள்
ਚਾਰਜ ਵਿਭਾਜਨ,கட்டணம் பிரித்தல்
ਚਾਰਜਰ,சார்ஜர்
ਰੱਥ,தேர்
ਰੱਥ,தேரோட்டி
ਰੱਥ,தேரோட்டி
ਰੱਥ,தேரோட்டி
ਚੈਰਿਟੀ ਰਸੋਈ,தொண்டு சமையலறை
ਚਾਰਟਰ,சாசனம்
ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ),சார்டிஸ்ட் இயக்கம் (=சார்டிசம்)
ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ,சார்ட்டோபிலாசியம்
Chateau,அரட்டை
ਚੈੱਕ ਪੋਸਟ,செக் போஸ்ட்
ਰਸਾਇਣਕ ਯੁੱਧ,இரசாயனப் போர்
ਚੈਸਟਰ,செஸ்டர்
ਮੁੱਖ,முதல்வர்
ਸਰਦਾਰ,தலைவன்
ਸਰਦਾਰ,தலைவன்
ਸਰਦਾਰ,தலைவன்
ਸ਼ਿਫੋਨ,சிஃப்பான்
ਸ਼ਿਸ਼ਟਾਚਾਰ,வீரம்
ਚੁਣੇ ਹੋਏ ਲੋਕ,தேர்ந்தெடுக்கப்பட்ட மக்கள்
ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ,கிறிஸ்மோகிராஃபியன்
ਈਸਾਈ-ਜਗਤ,கிறிஸ்தவமண்டலம்
ਈਸਾਈ ਯੁੱਗ,கிறிஸ்தவ சகாப்தம்
ਈਸਾਈ ਸਮਾਜਵਾਦ,கிறிஸ்தவ சோசலிசம்
ਇਤਹਾਸ,நாளாகமம்
ਇਤਿਹਾਸਕਾਰ,க்ரோனிக்லர்
Chryse Chersonese,கிரைஸ் செர்சோனீஸ்
ਸਿਮਲੀਅਮ,சிமிலியம்
Cinquecento ਸ਼ੈਲੀ,Cinquecento உடை
ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ,சுற்றறிக்கை
ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ,சிஸ்டர்சியன் துறவி
ਕਿਲਾ,கோட்டை
ਹਵਾਲਾ,மேற்கோள்
ਹਵਾਲਾ,மேற்கோள்
ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ,கீழ்ப்படியாமை
ਸਿਵਲ ਯੁੱਧ,உள்நாட்டுப் போர்
ਸਿਵਿਸ ਰੋਮਨਸ,சிவிஸ் ரோமானஸ்
ਕਲਾਸੀਕਲ ਉਮਰ,கிளாசிக்கல் வயது
ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ),கிளெஃப்ட் (=கிளெஃப்ட்)
ਕਲਰਕਵਾਦ,மதகுருத்துவம்
ਕਲਰਚ,மதகுரு
ਕਲੀਨਿਕ ਅੰਦੋਲਨ,க்ளூனியாக் இயக்கம்
ਕੋਟ ਸ਼ਸਤ੍ਰ,கோட் கவசம்
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,கோட் ஆஃப் ஆர்ம்ஸ்
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,கோட் ஆஃப் ஆர்ம்ஸ்
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,கோட் ஆஃப் ஆர்ம்ஸ்
ਡਾਕ ਦਾ ਕੋਟ,அஞ்சல் கோட்
ਸਮੂਹ,கோஹார்ட்
ਕੋਮੀਟੀਆ,கொமிடியா
Comitia Centuriata,கொமிடியா செஞ்சுரியாட்டா
Comitia Curiata,கொமிடியா குரியாட்டா
ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ,கமிட்டியா திரிபுட்டா
ਯਾਦਗਾਰੀ arch,நினைவு வளைவு
ਯਾਦਗਾਰੀ ਸਿੱਕਾ,நினைவு நாணயம்
ਯਾਦਗਾਰੀ ਮੋਹਰ,நினைவு முத்திரை
ਆਮ ਖੇਤਰ,பொதுவான புலம்
Communard,கம்யூனார்ட்
ਕਨਕੋਰਡੈਟ,கான்கார்டாட்
ਕਨਕੋਰਡੈਟ,கான்கார்டாட்
ਕੰਡੋਟੀਏਰ,காண்டோட்டியர்
ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ,உறுதிப்படுத்தல் கார்டரம்
ਟਕਰਾਅ,மோதல்
ਮੰਡਲੀ,சபை
ਜਿੱਤਣ ਵਾਲਾ ਰਾਜ,மாநிலத்தை வென்றது
