Malayalam,Punjabi
എയറോഡൈനാമിക്സ്,ਐਰੋਡਾਇਨਾਮਿਕਸ
എയറോനോട്ടിക്കൽ,ਏਅਰੋਨੌਟਿਕਲ
എയറോനോട്ടിക്സ്,ਐਰੋਨਾਟਿਕਸ
എയർ പൾസ്,ਹਵਾ ਦੀ ਨਬਜ਼
"അന്തരീക്ഷം, വാതകമണ്ഡലം","ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ"
ഫോക്കസ് സിസ്റ്റം,ਫੋਕਸ ਸਿਸਟਮ
തിരികെ ജ്വലനം,ਵਾਪਸ ਇਗਨੀਸ਼ਨ
ബാക്ക് ലൈറ്റ്,ਵਾਪਸ ਰੋਸ਼ਨੀ
ഞെട്ടൽ,ਉਲਝਣ
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ"
സമയം ബാധിച്ചു,ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ
"വാർദ്ധക്യം, വാർദ്ധക്യം","ਬੁਢਾਪਾ, ਬੁਢਾਪਾ"
സമയ പ്രഭാവം,ਸਮਾਂ ਪ੍ਰਭਾਵ
സമയ ഫല പരിശോധന,ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
ഗുരുത്വാകർഷണമില്ലാത്ത,ਗੰਭੀਰਤਾ ਰਹਿਤ
അനുരഞ്ജനം,ਸੁਲ੍ਹਾ
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ"
എയർ റെസ്പിറേറ്റർ,ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ
എയർ കണ്ടീഷനിംഗ്,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
എയർക്രൂ ട്രാൻസ്ഫോർമർ,ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ
വിമാനം,ਜਹਾਜ਼
വിന്യാസം,ਅਲਾਈਨਮੈਂਟ
വിന്യാസ പിശക്,ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ
ലൈവ് സർക്യൂട്ട്,ਲਾਈਵ ਸਰਕਟ
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ
മുഴുവൻ മെറ്റൽ ട്യൂബ്,ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ
പരിഹരിക്കാൻ,ਠੀਕ ਕਰਨ ਲਈ
"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)","ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)"
മിശ്രത്വൻ,ਮਿਸ਼ਰਤਵਨ
സർവ്വവ്യാപിയായ മാധ്യമം,ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ
ഓമ്‌നി ആന്റിന,ਓਮਨੀ ਐਂਟੀਨਾ
പഞ്ചഭൂതം,ਅਲਮੈਨਕ
ആൽഫ,ਅਲਫ਼ਾ
ആൽഫ പ്രവർത്തനം,ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ
ആൽഫാന്യൂമെറിക്,ਅੱਖਰ ਅੰਕੀ
ആൽഫാ റേ,ਅਲਫ਼ਾ ਰੇ
മാറ്റുക,ਬਦਲੋ
"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്","ਬਦਲਵਾਂ, ਬਦਲਵਾਂ"
ആൾട്ടർനേറ്റർ,ਅਲਟਰਨੇਟਰ
ആൾട്ടിമീറ്റർ,ਅਲਟੀਮੀਟਰ
ആൾട്ടിമീറ്റർ,ਅਲਟੀਮੀਟਰ
ആൾട്ടിമെട്രി,ਅਲਟਾਈਮੇਟਰੀ
"ഉയരം, ഉയരം, ഉയരം, ഉയരം","ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ"
അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU),ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU)
ഒരു ഭരണം,amaget ਨਿਯਮ
പരിസ്ഥിതി,ਵਾਤਾਵਰਣ
അമ്ക്രോൺ,amicron
അമ്മീറ്റർ,ammeter
ആമ്പിയർ,ਐਂਪੀਅਰ
ആമ്പിയർ നിയമം,ਐਂਪੀਅਰ-ਲਾਅ
ഉഭയജീവി അയോൺ,amphibian ion
ആംപ്ലിഫിക്കേഷൻ,ਵਾਧਾ
ആംപ്ലിഫയർ,ਐਂਪਲੀਫਾਇਰ
"ആംഗിൾ, അളവ്","ਕੋਣ, ਮਾਪ"
എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്),a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
അനുയോജ്യം,ਅਨੁਕੂਲ
സാമ്യം,ਸਮਾਨਤਾ
അനലിസ്റ്റ്,ਵਿਸ਼ਲੇਸ਼ਕ
വിശകലനം,ਵਿਸ਼ਲੇਸ਼ਣ
വിശകലനാത്മകമായ,ਵਿਸ਼ਲੇਸ਼ਣੀ
നോൺ-പോയിന്റ്,ਗੈਰ-ਪੁਆਇੰਟ
അസാധാരണമായ,ਅਸਧਾਰਨ
വാതിലും,ਅਤੇ ਦਰਵਾਜ਼ਾ
നോൺ-അക്കോസ്റ്റിക്,ਗੈਰ-ਧੁਨੀ
അസാധാരണമായ ഇലാസ്തികത,ਅਸਧਾਰਨ ਲਚਕਤਾ
ജലരഹിതമായ,ਨਿਹਾਈਡ੍ਰਸ
കോൺ,ਕੋਣ
angstrom യൂണിറ്റ്,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
കോണിക,ਕੋਣੀ
പ്രൊട്രാക്ടർ വെർനിയർ,protractor vernier
തർക്കരഹിതമായ,ਵਿਵਾਦਪੂਰਨ
ബഹുമാനമില്ലാത്ത,ਬੇਇੱਜ਼ਤੀ
അക്രോമാറ്റിക് കാന്തികവൽക്കരണം,ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ
മന്ദത,ਢਿੱਲੀ
അയോൺ,anion
അസമമായ,ਅਸਮਿਤ
ഐസോട്രോപിക്,ਆਈਸੋਟ੍ਰੋਪਿਕ
ഐസോട്രോപിസം,isotropism
ഇല്ലാതാക്കൽ,ਮਿਟਾਉਣਾ
ഗൂഢാലോചനക്കാർ,ਸਾਜ਼ਿਸ਼ਕਰਤਾ
ആനോഡ്,ਐਨੋਡ
ആനോഡൈസേഷൻ,anodization
പൊരുത്തമില്ലാത്ത,ਅਸੰਗਤ
ഒപ്റ്റിക്കൽ സിസ്റ്റം,ਆਪਟੀਕਲ ਸਿਸਟਮ
ആന്റിന,ਐਂਟੀਨਾ
ആന്റിബെറിയോൺ,ਐਂਟੀਬੇਰੀਅਨ
ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്,ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ
കൌണ്ടർ ബോണ്ട്,ਵਿਰੋਧੀ ਬਾਂਡ
റിവേഴ്സ് പവർ,ਉਲਟ ਸ਼ਕਤੀ
ഡയമാഗ്നറ്റിക്,ਡਾਇਮੈਗਨੈਟਿਕ
ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ,ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ
വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്,ਸਾੜ ਵਿਰੋਧੀ
ആന്റിഗ്രാവിറ്റി,ਐਂਟੀਗ੍ਰੈਵਿਟੀ
ആന്റിലാംഡ കണിക,antilamda ਕਣ
അല്ലെലെപ്റ്റൺ,ਐਲੇਲੈਪਟਨ
ഡയമാഗ്നറ്റിക്,ਡਾਇਮੈਗਨੈਟਿਕ
പ്രതിദ്രവ്യം,ਐਂਟੀਮੈਟਰ
വിരുദ്ധ മിസൈൽ,ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ
ആന്റിന്യൂട്രോൺ,antineutron
സ്പന്ദിക്കുന്ന,pulsating
ആന്റി ന്യൂക്ലിയോൺ,antinucleon
ആന്റിപാർട്ടിക്കിൾ,ਵਿਰੋਧੀ ਕਣ
ആന്റിപ്രോട്ടോൺ,ਐਂਟੀਪ੍ਰੋਟੋਨ
ആന്റി റിഫ്ലെക്റ്റീവ്,ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ
ആന്റിസിമെട്രിക്,ਵਿਰੋਧੀ ਸਮਰੂਪ
ആവർത്തിക്കാത്ത,ਗੈਰ-ਆਵਰਤੀ
അനാക്രോണിസം,anachronism
സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്,perforated ਸਕੈਨਿੰਗ ਡਿਸਕ
ദ്വാരക്,ਦੁਆਰਕ
"മുകളിൽ, മുകളിൽ, മുൻഭാഗം","ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ"
"സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ","ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ"
ഉദാസീനമായ ലേസ്,ਉਦਾਸੀਨ ਕਿਨਾਰੀ
ദയനീയമല്ലാത്ത,ਗੈਰ ਤਰਸਯੋਗ
വൈകല്യമില്ലാത്തത്,ਗੈਰ-ਅਯੋਗਤਾ
വളരെ അക്രോമാറ്റിക്,ਬਹੁਤ ਅਕ੍ਰੋਮੈਟਿਕ
"ഭൂമി-ഉയരം, അപ്പോജി","ਜ਼ਮੀਨ-ਉੱਚਾ, apogee"
"ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള","ਗੈਰ-ਧਰੁਵੀ, ਚੱਕਰੀ"
പരധ്രുവത്വം,parapolarity
ഉപകരണം,ਡਿਵਾਈਸ
"വെർച്വൽ, വിഷ്വൽ","ਵਰਚੁਅਲ, ਵਿਜ਼ੂਅਲ"
ദൃശ്യ സൂര്യൻ,ਦਿਖਾਈ ਦੇਣ ਵਾਲਾ ਸੂਰਜ
ദൃശ്യ സമയം,ਵਿਜ਼ੂਅਲ ਸਮਾਂ
ഉയർന്നുവരുന്ന രൂപം,ਉਭਰਦੀ ਦਿੱਖ
അപേക്ഷ,ਐਪਲੀਕੇਸ਼ਨ
പ്രയോഗക്ഷമത,ਲਾਗੂ ਹੋਣ
അപേക്ഷിച്ചു,ਲਾਗੂ ਕੀਤਾ
നിരീക്ഷിക്കാവുന്നതാണ്,ਦੇਖਣਯੋਗ
സമീപനം,ਪਹੁੰਚ
"അടുത്ത്, ഏകദേശം","ਨੇੜੇ, ਲਗਭਗ"
ഏകദേശ കണക്ക്,ਲਗਭਗ
നീരാവി മർദ്ദം,ਭਾਫ਼ ਦਾ ਦਬਾਅ
സ്വമേധയാ,ਸਵੈ-ਇੱਛਤ
"ആർക്ക് ചൂള, ആർക്ക് ചൂള","ਚਾਪ ਭੱਠੀ, ਚਾਪ ਭੱਠੀ"
ആർക്കിമിഡീസിന്റെ നിയമം,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം,ਆਰਕੀਟੈਕਚਰਲ ਧੁਨੀ ਵਿਗਿਆਨ
ആർക്ക് ലാമ്പ്,ਚਾਪ ਲੈਂਪ
ആർക്ക്-സ്പെക്ട്രം,ਚਾਪ-ਸਪੈਕਟ੍ਰਮ
"പ്രദേശം, പ്രദേശം","ਖੇਤਰ, ਖੇਤਰ"
"പ്രാദേശിക, പ്രാദേശിക","ਖੇਤਰੀ, ਖੇਤਰੀ"
"ഭുജം, ഭുജം, ശാഖ","ਬਾਂਹ, ਬਾਂਹ, ਸ਼ਾਖਾ"
അമച്വർ,ਸ਼ੁਕੀਨ
"അറേ, അറേ","ਐਰੇ, ਐਰੇ"
റിസീവർ,ਪ੍ਰਾਪਤਕਰਤਾ
ഉച്ചാരണ വ്യക്തത,ਉਚਾਰਨ ਸਪਸ਼ਟਤਾ
സിന്തറ്റിക്,ਸਿੰਥੈਟਿਕ
കൃത്രിമ പരിവർത്തനം,ਨਕਲੀ ਤਬਦੀਲੀ
ആരോഹണം,ਚੜ੍ਹਦਾ
കയറ്റം,ਚੜ੍ਹਾਈ
കയറുന്നു,ਚੜ੍ਹਨਾ
അഗോലി,ਅਗੋਲੀ
സമാഹരണം,ਏਕੀਕਰਨ
കൂട്ടം,ਦਾ ਸੈੱਟ
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
കൃത്യമായ കണക്കുകൂട്ടൽ,ਸ਼ੁੱਧਤਾ ਅਨੁਮਾਨ
വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ,ਨਿਰਧਾਰਿਤ (ਕੁਆਂਟਮ ਸੰਖਿਆਵਾਂ ਦੀ) ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ
"ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത","ਸੰਬੰਧਿਤ, ਸਹਿਯੋਗੀ, ਸੰਯੁਕਤ"
സ്വരാക്ഷര ശബ്ദം,ਸਵਰ ਆਵਾਜ਼
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
ആസ്തെനിക്,ਅਸਥਨਿਕ
"വിട്ടുനിൽക്കൽ, astigmatism","ਪਰਹੇਜ਼, ਅਜੀਬਤਾ"
ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്,ਪੁਲਾੜ ਯਾਤਰਾ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
ജ്യോതിശാസ്ത്രം,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
ബഹിരാകാശ സഞ്ചാരി,ਪੁਲਾੜ ਯਾਤਰੀ
ജ്യോതിശാസ്ത്രജ്ഞൻ,ਖਗੋਲ ਵਿਗਿਆਨੀ
സ്വർഗ്ഗീയ,ਆਕਾਸ਼ੀ
ജ്യോതിശാസ്ത്രം,ਖਗੋਲ ਵਿਗਿਆਨ
ജ്യോതിശാസ്ത്രം,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
അസമമായ,ਅਸਮਿਤ
അസിംപ്റ്റോട്ടിക്,asymptotic
വഷളാക്കുന്നു,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
അസമന്വിത,ਅਸਿੰਕ੍ਰੋਨਸ
"അന്തരീക്ഷം, അന്തരീക്ഷം","ਮਾਹੌਲ, ਮਾਹੌਲ"
അന്തരീക്ഷം,ਵਾਯੂਮੰਡਲ
കാറ്റ് പ്രക്ഷുബ്ധത,ਹਵਾ ਦੀ ਗੜਬੜ
ആണവ,ਪ੍ਰਮਾਣੂ
ആറ്റോമിക,ਪਰਮਾਣੂ
ആറ്റോമിസിറ്റി,ਪਰਮਾਣੂ
ആണവ പിണ്ഡം,ਪ੍ਰਮਾਣੂ ਪੁੰਜ
ആറ്റോമിക നമ്പർ,ਪਰਮਾਣੂ ਨੰਬਰ
"ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ","ਪ੍ਰਮਾਣੂ ਰਿਐਕਟਰ, ਪ੍ਰਮਾਣੂ ਢੇਰ"
ആറ്റോമിക,ਪਰਮਾਣੂ
കണം,ਕਣ
കണം,ਕਣ
ശോഷണം,ਧਿਆਨ
"ശോഷണം, ശോഷണം","ਘਟਾਓਣਾ, ਘੱਟ ਕਰਨਾ"
ചാം,ਸੁਹਜ
ആകർഷണ ശക്തി,ਖਿੱਚ ਦੀ ਤਾਕਤ
ശ്രവണക്ഷമത,ਸੁਣਨਯੋਗਤਾ
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
കേൾക്കാവുന്ന,ਸੁਣਨਯੋਗ
ഓഡിയോ ജനറേറ്റർ,ਆਡੀਓ ਜਨਰੇਟਰ
ഓഡിബിലിറ്റി ഗ്രാഫ്,ਸੁਣਨਯੋਗਤਾ ਗ੍ਰਾਫ
കേൾവി ശാസ്ത്രം,ਸੁਣਨ ਵਿਗਿਆਨ
ഓഡിയോമീറ്റർ,ਆਡੀਓਮੀਟਰ
കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ,ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ ਔਸਿਲੇਟਰ
ശബ്ദ സിഗ്നൽ,ਧੁਨੀ ਸੰਕੇਤ
ദൃശ്യ-ശ്രാവ്യ,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ
"ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം","ਆਡੀਟੋਰੀਅਮ, ਆਡੀਟੋਰੀਅਮ"
OZ പ്രഭാവം,OZ ਪ੍ਰਭਾਵ
പ്രമോഷൻ,ਤਰੱਕੀ
എൻഹാൻസർ,ਵਧਾਉਣ ਵਾਲਾ
ധ്രുവജ്വാല,ਧਰੁਵੀ ਲਾਟ
ദക്ഷിണ ധ്രുവജ്വാല,ਦੱਖਣੀ ਧਰੁਵੀ ਲਾਟ
ഉത്തരധ്രുവ ജ്വാല,ਉੱਤਰੀ ਧਰੁਵੀ ਲਾਟ
യാന്ത്രിക മുന്നറിയിപ്പ്,ਆਟੋਮੈਟਿਕ ਚੇਤਾਵਨੀ
ഓട്ടോ പാരലലൈസർ,ਆਟੋ ਸਮਾਨੰਤਰ
"ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്","ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ"
"ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ","ਆਟੋਮੇਸ਼ਨ, ਆਟੋਮੇਸ਼ਨ"
"സഹായി, സഹകരണം, അധിക","ਸਹਾਇਕ, ਸਹਿਕਾਰੀ, ਵਾਧੂ"
"അവദവ, അവലാഞ്ചി","ਅਵਦਾਵਾ, ਅਵਦਾਵਾ"
"അർത്ഥം, അർത്ഥം","ਮਤਲਬ, ਮਤਲਬ"
പരിവാരൻ,ਪਰਿਵਾਰ
അച്ചുതണ്ട്,ਧੁਰੀ
അച്ചുതണ്ട്,ਧੁਰਾ
അസിമുത്ത്,ਅਜ਼ੀਮਥ
അസിമുത്ത്,ਅਜ਼ੀਮਥ
തിരികെ,ਵਾਪਸ
"പശ്ചാത്തലം, പശ്ചാത്തലം","ਪਿਛੋਕੜ, ਪਿਛੋਕੜ"
"പിന്നോട്ട്, പിന്നോട്ട്","ਪਿਛਾਂਹ, ਪਿਛੇ"
ടേൺ എറൗണ്ട്,ਵਾਪਸ ਭੇਜਣ ਦਾ ਸਮਾਂ
ബാക്ക് വോൾട്ടേജ് പൾസർ,ਵਾਪਸ ਵੋਲਟੇਜ ਪਲਸਰ
പോസ്റ്റ്-റിലേഷൻഷിപ്പ്,ਪੋਸਟ-ਰਿਸ਼ਤਾ
തിരിച്ചടവ്,ਅਦਾਇਗੀ
ആന്റി വോൾട്ടേജ്,ਵਿਰੋਧੀ ਵੋਲਟੇਜ
പിൻഭാഗം ചിതറിക്കൽ,ਪਿਛਲਾ ਖਿੰਡਾ
ഇന്റർസ്റ്റീഷ്യൽ വേവ്,ਵਿਚਕਾਰਲੀ ਲਹਿਰ
ഇൻസുലേറ്റർ,ਇੰਸੂਲੇਟਰ
