Telugu,Marathi
యాంటీ-బెల్లం,अँटी-बेलम
ముందు తేదీ,पूर्वीची तारीख
మత వ్యతిరేకత,कारकुनविरोधी
మతాధికారుల వ్యతిరేక చట్టం,कारकुनी विरोधी कायदा
ప్రాచీనకాలం,पुरातन वास्तू
వ్యతిరేక అద్దె,विरोधी भाडे
వ్యతిరేక అద్దె,विरोधी भाडे
సెమిటిజం వ్యతిరేకత,सेमिटिझम विरोधी
అంజాక్,अँझॅक
అపెల్లా,अपेला
అరలు,अरालू
ఆర్చ్ బిషప్,आर्च बिशप
ఆర్చ్ డచీ,आर्च डची
ఆర్చ్ డ్యూక్,आर्च ड्यूक
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),आर्काइफ (=अभिलेख संग्रह)
ఆర్కిపిస్కోపేట్,आर्किपिस्कोपेट
దొర,अभिजात वर्ग
దొర,कुलीन
కులీన స్నోబరీ,खानदानी स्नोबरी
అరిస్టాటిలియన్,अॅरिस्टोटेलियन
ఆర్మడ,आरमार
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),आरमार (=स्पॅनिश आरमार)
ఆయుధాగాడు (=ఆయుధాకారుడు),आर्मोरिस्ट (= आर्मरिस्ट)
కవచం (=కవచం),चिलखत (= चिलखत)
ఆయుధాగాడు,आर्मरिस्ट
ఆర్యన్,आर्यन
ఆర్యన్,आर्यन
అస్కారి,अस्करी
కేటాయించండి,नियुक्त करा
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,शस्त्रास्त्र कायद्याची मदत
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,डॅरेन प्रेझेंटमेंटची मदत
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,मॉर्ट &#39;डी&#39; पूर्वजांची मदत
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,कादंबरी Disseisin च्या Assize
దారుణం,अत्याचार
దాడి,हल्ला
ఆలిక్ కౌన్సిల్,ऑलिक कौन्सिल
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),देवीची कुर्‍हाड (= देवी कुर्हाड)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),अक्ष (=रोम-बर्लिन-टोकियो अक्ष)
బాబిలోన్,बॅबिलोन
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद)
బచ్చనాల్ భక్తుడు,बचनाल भक्त
బచ్చనాలియా,बचनालिया
బ్రహ్మచారి,बॅचलर
బాగ్దాద్ ఒప్పందం,बगदाद करार
బాల్కన్ లీగ్,बाल्कन लीग
బాల్కన్ ఒప్పందం,बाल्कन करार
బాల్కన్ యుద్ధాలు,बाल्कन युद्धे
బాల్టిక్ ఒప్పందం,बाल्टिक करार
బందిపోటు,डाकू
బాండుంగ్ కాన్ఫరెన్స్,बांडुंग परिषद
బహిష్కరణ,हद्दपार
బ్యానర్,बॅनर
బార్బేరియన్,रानटी
బార్బికన్,बार्बिकन
బార్డోలీ సత్యాగ్రహం,बारडोली सत्याग्रह
బార్న్ బర్నర్స్,धान्याचे कोठार बर्नर्स
బారన్,जहागीरदार
బారోనేజ్,बॅरोनेज
బారోన్స్ మేజర్లు,Barones majores
బారోన్స్ మైనర్లు,बॅरोन्स अल्पवयीन
బారోనెస్,जहागीरदार
బారోనెట్,बॅरोनेट
బారోనెటేజ్,बॅरोनेटेज
బారోనెటేజ్,बॅरोनेटेज
బారోనెట్సీ,बॅरोनेटसी
బారోనీ,बॅरोनी
బారకూన్,बॅराकून
బారకూన్,बॅराकून
బారికేడ్ (=బారికాడో),बॅरिकेड (= बॅरिकेडो)
బారికేడ్ (=బారికాడో),बॅरिकेड (= बॅरिकेडो)
బారికేడ్ (=బారికాడో),बॅरिकेड (= बॅरिकेडो)
మూల శిబిరం,बेस कॅम्प
బసిలికా,बॅसिलिका
బసిలికా,बॅसिलिका
బస్తీలా,बॅस्टिला
బాస్టిల్,बॅस्टिल
బాస్టిల్,बॅस्टिल
బ్యాటరీ,बॅटरी
యుద్ధం,लढाई
బాటిల్-అరే,Batlle-array
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,लढाई रडणे
బాటిల్ డిన్,लढाई दिन
యుద్ధ క్షేత్రం,युद्धक्षेत्र
యుద్ధ శ్లోకం,लढाई भजन
స్పర్స్ యుద్ధం,स्पर्सची लढाई
స్టాండర్డ్ యుద్ధం,स्टँडर्डची लढाई
యుద్ధనౌక,युद्धनौका
యుద్ధనౌక-బలం,युद्धनौका-शक्ती
Bayeux వస్త్రం,Bayeux टेपेस्ट्री
బెకన్,बीकन
బెకన్ టవర్,बीकन टॉवर
బీవర్,बीव्हर
బీవర్,बीव्हर
సముద్రపు బిచ్చగాళ్ళు,समुद्राचे भिकारी
బెల్లికోస్,बेलिकोज
బెల్లికోస్,बेलिकोज
బెల్లికోస్,बेलिकोज
బెల్లికోసిటీ,बेलिकोसिटी
బెలోనా,बेलोना
ప్రయోజనం,फायदा
మతపెద్దల వల్ల ప్రయోజనం,धर्मगुरूंचा लाभ
బెనెలక్స్,बेनेलक्स
బెర్లిన్ డిక్రీ,बर्लिन डिक्री
బెర్సెర్కర్,बेसरकर
బెసెంట్ (=బెజాంట్),बेझंट (=बेझंट)
బేతేలు,बेथेल
గ్రంథకర్త,बिब्लिओलेटर
గ్రంథారాధన,ग्रंथदिंडी
బిగ్ బెర్తా,मोठा बर्था
మతోన్మాదుడు,धर्मांध
బిల్లేటింగ్,बिलेटिंग
అటెయిండర్ బిల్లు,अटेंडरचे बिल
హక్కుల చట్టం,अधिकारांचे विधेयक
జీవిత చరిత్ర రచయిత,चरित्रकार
జన్మ కథలు,जन्मकथा
తాత్కాలిక శిబిరం,बिव्होक
తాత్కాలిక శిబిరం,बिव्होक
తాత్కాలిక శిబిరం,बिव्होक
బిజోనియా,बिझोनिया
బ్లాక్ బర్డింగ్,काळा पक्षी
నల్ల జండా,काळा झेंडा
కృష్ణ బిలం,कृष्ण विवर
కృష్ణ బిలం,कृष्ण विवर
నల్ల కాలు (=స్కాబ్),काळा पाय (= खरुज)
నల్ల చొక్కా,काळा शर्ट
బ్లజోన్,ब्लेझोन
బ్లజోన్,ब्लेझोन
బ్లేజోన్రీ,झगमगाट
బ్లజోన్రీ,झगमगाट
బ్లిట్జ్‌క్రీగ్,ब्लिट्झक्रीग
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),रक्तहीन क्रांती (=वैभवशाली क्रांती)
బ్లడ్వైట్,ब्लडवाईट
బ్లడీ మేరీ,ब्लडी मेरी
నీలం,निळा
నీలం రక్తం,निळे रक्त
నీలి పుస్తకం,निळे पुस्तक
నీలం రంగు రిబ్బన్,निळी फीत
నీలం రంగు రిబ్బన్,निळी फीत
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ब्लूज (=रॉयल हॉर्स गार्ड)
నీలం చొక్కా,निळा शर्ट
బ్లూ వాటర్ స్కూల్,ब्लू वॉटर स्कूल
బోర్డ్ ఆఫ్ కంట్రోల్,नियंत्रण मंडळ
శరీర కవచం,शरीर चिलखत
బోయర్,बोअर
దోపిడి,लूट
బరో,बरो
బౌల్యూటేరియన్,बुलेउटेरियन
బోర్బన్,बोरबॉन
బాక్సర్ తిరుగుబాటు,बॉक्सर बंडखोरी
బ్రేస్,ब्रेस
బ్రాస్సార్డ్,ब्रासर्ड
బ్రాస్సార్డ్,ब्रासर्ड
బ్రెడ్ కాలనీలు,ब्रेड वसाहती
బ్రెస్ట్ ప్లేట్,ब्रेस्ट प्लेट
రొమ్ము పని,स्तनाचे काम
బ్రెట్వాల్డా,ब्रेटवाल्डा
బ్రిగాండ్,ब्रिगेंड
బ్రిగేండేజ్,दलाल
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ब्रिटिश कॉमनवेल्थ ऑफ नेशन्स
బ్రౌన్ షర్ట్స్ (=నాజీలు),तपकिरी शर्ट (=नाझी)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ब्रुसेल्स ट्रीटी (पॅक्ट) संस्था (=वेस्टर्न युरोपियन युनियन)
యెదురు,बफ
యెదురు,बफ
బఫ్-కోటు,बफ-कोट
బఫ్స్,बफ्स
బులే (=మండలి),बुले (=परिषद)
బర్గేజ్,बर्गेज
బర్గెస్,बर्जेस
బైజాంటైన్,बायझँटाईन
బైజాంటైన్ చర్చి,बायझँटाईन चर्च
బైజాంటైన్ సామ్రాజ్యం,बायझँटाईन साम्राज्य
బైజాంటైన్ యుగం,बायझँटाईन युग
బైజాంటైన్ చరిత్రకారులు,बायझँटाईन इतिहासकार
కాబాల్,कॅबल
సీజరిజం,सीझरवाद
ఖలీఫ్,खलिफा
కాలిగ్రాఫర్,कॅलिग्राफर
కాలిగ్రాఫిస్ట్,कॅलिग्राफिस्ट
కాలిగ్రఫీ,कॅलिग्राफी
కాల్ట్రాప్,कॅल्ट्रॉप
సాహచర్యం,सौहार्द
కమరిల్లా,कॅमरिला
కమరిల్లా,कॅमरिला
కామెలాకమ్,कॅमेलॅकम
మభ్యపెట్టడం,क्लृप्ती
ప్రచారం,मोहीम
క్యాంపు అనుచరుడు,शिबिराचे अनुयायी
కాంపో శాంటో,कॅम्पो सॅंटो
క్యాంపస్ మార్టియస్,कॅम्पस मार्टियस
కనెఫోరా,कॅनेफोरा
కంగు,कॅंग्यू
ఫిరంగి,तोफखाना
ఫిరంగి మేత,तोफ चारा
కానన్,कॅनन
కానన్ చట్టం,कॅनन कायदा
కానోపస్ డిక్రీ,कॅनोपस डिक्री
ఆయుధాలు పట్టుకోవడం,कण्टिंग शस्त्र
బందీ,बंदिवान
కాప్టర్,कॅप्टर
కార్డినల్,कार्डिनल
కార్ల్,कार्ल
కరోలింగియన్ రాజవంశం,कॅरोलिंगियन राजवंश
కార్తుసియన్ శాఖ,कार्थुशियन पंथ
కార్టోసా,कार्टोसा
కాస్టేలియన్,कॅस्टेलियन
కాస్టేలియన్,कॅस्टेलियन
కుల వ్యవస్థ,जाती व्यवस्था
కోట,वाडा
కోట,वाडा
కోట పట్టణం,वाड्याचे शहर
కాస్ట్రా,कास्त्रा
కాస్ట్రా,कास्त्रा
కేథడ్రా,कॅथेड्रा
కేథడ్రల్,कॅथेड्रल
కాటో స్ట్రీట్ కుట్ర,केटो स्ट्रीट कट
కౌడిల్లో,कौडिल्लो
కావలీర్,घोडेस्वार
కావలీర్,घोडेस्वार
కావలీర్ పార్లమెంట్,घोडदळ संसद
అదుల్లాం గుహ,अदुल्लमची गुहा
గుహ పెయింటింగ్,गुहा चित्रकला
గుహ పెయింటింగ్,गुहा चित्रकला
సెంటంవిర్,सेंटमवीर
సెంచూరియన్,सेंच्युरियन
సెంచరీ,शतक
చైన్ ఆర్మర్ (=చైన్ మెయిల్),साखळी चिलखत (=साखळी मेल)
చాంట్రీ,चंत्री
చాంట్రీ,चंत्री
చాప్ పుస్తకం,चॅप बुक
చాప్లిన్,धर्मगुरू
అధ్యాయం,धडा
ప్రమాదాల అధ్యాయం,अपघातांचा अध्याय
ఆరోపణ,चार्ज करा
ఛార్జ్ డి&#39;ఎఫైర్స్,चार्ज डी अफेयर्स
ఛార్జ్ విడిపోవడం,चार्ज विभाजन
ఛార్జర్,चार्जर
రథము,रथ
రథసారధి,सारथी
రథసారధి,सारथी
రథసారధి,सारथी
ఛారిటీ వంటగది,धर्मादाय स्वयंपाकघर
చార్టర్,सनद
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),चार्टिस्ट चळवळ (=चार्टिझम)
చార్టోఫిలాసియం,चार्टोफिलेशियम
చాటౌ,Chateau
చెక్ పోస్ట్,चेक पोस्ट
రసాయన యుద్ధం,रासायनिक युद्ध
చెస్టర్,चेस्टर
చీఫ్,प्रमुख
అధిపతి,सरदार
అధిపతి,सरदार
అధిపతి,सरदार
షిఫాన్,शिफॉन
శూరత్వం,शौर्य
ఎంచుకున్న వ్యక్తులు,निवडलेले लोक
క్రిస్మోగ్రఫీ,ख्रिसमोग्राफीन
క్రైస్తవమత సామ్రాజ్యం,ख्रिस्ती धर्म
క్రైస్తవ యుగం,ख्रिश्चन युग
క్రిస్టియన్ సోషలిజం,ख्रिश्चन समाजवाद
క్రానికల్,क्रॉनिकल
క్రానికల్,क्रॉनिकलर
Chryse Chersonese,Chryse Chersonese
సిమిలియం,सिमेलियम
సింక్వెసెంటో స్టైల్,Cinquecento शैली
ప్రదక్షిణ,परिक्रमा
సిస్టెర్సియన్ సన్యాసి,सिस्टर्सियन साधू
కోట,किल्ला
అనులేఖనం,उद्धरण
అనులేఖనం,उद्धरण
శాసన ఉల్లంఘన,सविनय कायदेभंग
పౌర యుద్ధం,नागरी युद्ध
సివిస్ రోమనస్,सिव्हिस रोमनस
సాంప్రదాయ వయస్సు,शास्त्रीय वय
క్లెఫ్ట్ (=క్లెఫ్ట్),Clepht (=klepht)
మతాధికారం,कारकुनीवाद
క్లర్చ్,लिपिक
క్లినియాక్ ఉద్యమం,क्लुनियाक हालचाली
కోటు కవచం,कोट चिलखत
కోట్ ఆఫ్ ఆర్మ్స్,अंगरखा
కోట్ ఆఫ్ ఆర్మ్స్,अंगरखा
కోట్ ఆఫ్ ఆర్మ్స్,अंगरखा
కోట్ ఆఫ్ మెయిల్,मेलचा कोट
కోహోర్ట్,पलटण
కమిటియా,कॉमिटिया
కమిటియా సెంచురియాటా,Comitia Centuriata
కమిటియా క్యూరియాటా,Comitia Curiata
కమిటియా ట్రిబ్యూటా,कमिटीया ट्रिबुटा
స్మారక వంపు,स्मारक कमान
స్మారక నాణెం,स्मारक नाणे
స్మారక ముద్ర,स्मारक शिक्का
సాధారణ క్షేత్రం,सामान्य फील्ड
కమ్యూనార్డ్,Communard
కాంకోర్డాట్,कॉन्कॉर्डॅट
కాంకోర్డాట్,कॉन्कॉर्डॅट
కండోటియర్,कॉन्डोटिएरे
నిర్ధారణ కార్టరమ్,पुष्टीकरण कार्टारम
సంఘర్షణ,संघर्ष
సభ,मंडळी
రాష్ట్రాన్ని జయించడం,जिंकणारे राज्य
విజేత,जिंकणारा
విజేత,जिंकणारा
కన్సిలియం,कॉन्सिलियम
క్రమబద్ధమైన,कंसिस्टरी
కుట్ర,षडयंत्र
కుట్ర,षडयंत्र
కాన్సులేట్,वाणिज्य दूतावास
సలహా పుస్తకం,सल्लामसलत पुस्तक
ఖండాంతర వ్యవస్థ,खंडीय प्रणाली
కన్వెన్షన్ పార్లమెంట్,अधिवेशन संसद
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),कॉपरहेड्स (=पीस डेमोक्रॅट्स)
కాపీహోల్డ్,कॉपीहोल्ड
కార్డనింగ్,कोर्डनिंग
కరోనా,कोरोना
పట్టాభిషేకం,राज्याभिषेक
పట్టాభిషేక రాయి,राज्याभिषेक दगड
కార్పస్,कॉर्पस
కోర్సెయిర్,Corsair
కోర్సెయిర్,Corsair
కార్సెట్ (=కోర్సెలెట్),कॉर्सेट (=कॉर्सलेट)
కోర్టెస్,कोर्टेस
కోటార్ (=కోటియర్),कोटर (=कोटीर)
కోటార్ (=కోటియర్),कोटर (= cottier)
కౌంట్ పాలటినేట్,काउंट पॅलेटिनेट
పూరిల్లు,देशाचे घर
కౌంటీ,परगणा
కౌంటీ బరో,काउंटी बरो
కౌంటీ కోర్టులు,काउंटी न्यायालये
కౌంటీ పాలటైన్,काउंटी पॅलाटिन
కోర్టు,कोर्ट
కోర్టు,कोर्ट
కోర్టు సర్క్యులర్,न्यायालयाचे परिपत्रक
కోర్టు మర్యాదలు,न्यायालयीन शिष्टाचार
సభికుడు,दरबारी
కోర్ట్ ఆఫ్ కాసేషన్,कोर्ट ऑफ कॅसेशन
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),कोर्ट ऑफ डायरेक्टर्स (EIC)
యాజమాన్యాల న్యాయస్థానం,मालकांचे न्यायालय
ఆస్థాన కవి,दरबारी कवी
ఒప్పందం చేసుకున్న కామెరోనియన్లు,करार केला कॅमेरोनियन
కిరీటం,मुकुट
కిరీటం,मुकुट
కిరీటం,मुकुट
కిరీటం భూమి,मुकुट जमीन
కిరీటం భూమి,मुकुट जमीन
క్రౌన్ ప్రిన్స్,राजकुमार
క్రూసేడ్,धर्मयुद्ध
క్రూసేడర్,धर्मयुद्ध
క్రిప్టోగ్రామ్,क्रिप्टोग्राम
క్యూరాస్,कुइरास
క్యూరాసియర్,क्युरासियर
కల్ట్ దేవత,पंथ देवता
క్యూరియా,कुरिया
క్యూరియా,कुरिया
జారిజం,झारवाद
చీకటి ఖండం,गडद खंड
తీర్పు రోజు,न्यायाचा दिवस
తీర్పు రోజు,न्यायाचा दिवस
డీన్,डीन
దశాబ్దం,दशक
డెనారియస్,दिनारियस
పదవీచ్యుతుడైన చక్రవర్తి,पदच्युत सम्राट
పాడుచేయు,उध्वस्त करा
చెడిపోవడం,उध्वस्त
సింహాసనాన్ని తొలగించు,डिथ्रोन
డయాడెమ్,डायडेम
డయాడెమ్,डायडेम
డయాడెమ్,डायडेम
డయాసియా,डायशिया
డికాస్టీరియం,डिकॅस्टेरियम
డైలువియలిస్ట్,डिलुवालिस्ट
డియోసెస్,बिशपच्या अधिकारातील प्रदेश
డియోసెస్,बिशपच्या अधिकारातील प्रदेश
డైరెక్టరీ (=డైరెక్టరీ),डायरेक्टरी (=निर्देशिका)
డైరెక్టరీ (=డైరెక్టరీ),डायरेक्टरी (=निर्देशिका)
దిర్హమ్,दिरहाम
నమ్మకద్రోహం,अविश्वासू
నమ్మకద్రోహం,अविश्वासू
లోపము యొక్క సిద్ధాంతము,चूकीचा सिद्धांत
పత్రం,दस्तऐवज
డాక్యుమెంటరీ సాక్ష్యం,कागदोपत्री पुरावा
డోమ్స్‌డే బుక్,डोम्सडे बुक
కాన్స్టాంటైన్ విరాళం,कॉन्स्टंटाईनचे दान
డూమ్,नशिबात
వరవరపు రాణి,डोगर राणी
డ్రాగన్,ड्रॅगन
డ్రోమెడిరియన్,ड्रोमेडरियन
డ్రోమెడరీ,ड्रोमेडरी
డ్రోమండ్,ड्रोमंड
ద్వంద్వ,दुहेरी
ద్వంద్వ కూటమి,दुहेरी युती
ద్వంద్వ ఉద్దేశం,दुहेरी entente
ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం),दुहेरी प्रणाली (= दुहेरी सरकार)
డ్యూక్,सरदार
డూమా,ड्यूमा
వామన అవతారం,बटू अवतार
రాజవంశం,राजवंश
రాజవంశం,राजवंश
డేగ,गरुड
పెద్ద మనిషి,मोठा माणूस
ఎర్ల్,अर्ल
ఎర్ల్డమ్,अर्लडम
తొలి గుప్తులు,लवकर गुप्त
ప్రారంభ (చారిత్రక) సైట్లు,प्रारंभिक (ऐतिहासिक) साइट
ప్రారంభ వేద కాలం,प्रारंभिक वैदिक काळ
ఎక్లేసియా,उपदेशक
పునరుద్ధరణ శాసనం,पुनर्स्थापना आदेश
ఎనిమిది రెట్లు మార్గం,आठ पट मार्ग
పెద్దలు,वडीलधारे
పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో),ज्येष्ठ राजकारणी (= genro)
ఏనుగు మేడ,हत्तीचा गोडा
పదకొండు సంవత్సరాల నిరంకుశత్వం,अकरा वर्षांचा जुलूम
ఎలిసే (=ఎలీసీ),एलिसी (=एलिसी)
ఎన్‌క్లోజర్ ఉద్యమం,बंदिस्त चळवळ
ఎన్సైక్లికల్,एनसायकिकल
ఎన్సైక్లోపెడిస్ట్ ఉద్యమం,विश्वकोशवादी चळवळ
ఎంటెంటే,एंटेंट
ఎంటెంటే కార్డియాల్,एंटेंट कॉर्डियल
సింహాసనం,सिंहासन
పరివారం,दलाल
ఎఫోడ్,एफोद
ఎఫోర్,एफोर
పురాణ యుగం,महाकाव्य युग
పురాణ వీరుడు,महाकाव्य नायक
ఎపిగ్రాఫ్,एपिग्राफ
ఎపిస్కోపసీ,एपिस्कोपसी
ఎపిస్కోపేట్,एपिस्कोपेट
ఎపిసోడ్,भाग
యుగం,युग
యుగాన్ని సృష్టించే సంఘటన,युग निर्माण करणारी घटना
యుగపురుషుడు,युग निर्माण करणारा माणूस
పేరుపేరు,उपनाम
ఎక్వెరీ,इक्वरी
ఎక్వెరీ,इक्वरी
గుర్రపుస్వారీ విగ్రహం,अश्वारूढ पुतळा
యుగం,युग
ఎర్గస్టులం,एर्गस्टुलम
యూకారిస్ట్,युकेरिस्ट
సువార్తవాదం,इव्हेंजेलिकलिझम
సువార్త ఉద్యమం,इव्हँजेलिकल चळवळ
మత ప్రచారకుడు,प्रचारक
Exarch,Exarch
Exilarch,Exilarch
ఫలాంగిస్ట్,फालंगिस्ट
తండ్రి భూమి,वडिलांची जमीन
తండ్రి భూమి,वडिलांची जमीन
ఫెరియాయే,फेरी
ఫెటిష్,फेटिश
ఫ్యూడల్ హోల్డింగ్స్,जहागीरदार धारण
ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ),सरंजामशाही (=सामंत व्यवस्था)
భూస్వామ్య వ్యవస్థ,सरंजामशाही व्यवस्था
భూస్వామ్య,सामंत
ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్),फिदेई बचावकर्ता (=विश्वासाचा रक्षक)
ఫైఫ్,फिफ
ఫీల్డ్ సిస్టమ్,फील्ड सिस्टम
పదిహేనవ పన్ను,पंधरावा कर
ఫిగర్ హెడ్,आकृती डोके
ఫిన్ డి సైకిల్,फिन डी siecle
అగ్ని తినేవాడు,आग भक्षक
ఫైవ్ మైల్ చట్టం,पाच मैल कायदा
జెండా,झेंडा
ఫ్లేమెన్ డయాలిస్,फ्लेमेन डायलिस
ఫ్లేమెన్ మార్టియాలిస్,फ्लेमेन मार्शियलिस
జ్వలించే జ్యోతి,ज्वलंत मशाल
పార్శ్వము,पार्श्वभाग
పార్శ్వ కదలిక,flanking चळवळ
వర్ధిల్లుతున్న నాగరికత,भरभराट होत असलेली सभ्यता
ఫ్లూవియలిస్టిక్ నమ్మకం,प्रवाही विश्वास
జానపద దేవుడు,लोकदेवता
జానపద దేవత,लोकदेवता
జానపద జ్ఞాపకం,लोक स्मृती
జానపద పురాణం (=జానపదం),लोककथा (=लोककथा)
మేత వెదకడం,चारा
ఫోరే,धाड
ముందరివాడు,पूर्वापार
పూర్వీకుడు,पूर्वज
ముందున్నవాడు,अग्रदूत
చితికిపోయిన ఆశ,उदासीन आशा
నిర్మాణ దశ,निर्मितीचा टप्पा
కోట,किल्ला
కోట,तटबंदी
పటిష్టమైన పట్టణం,तटबंदी असलेले शहर
కోట,किल्ला
ఫార్చ్యూనా,फॉर्च्युना
ఫోరమ్ రోమనుమ్,फोरम रोमनम
ఫ్రాన్సిస్కాన్,फ्रान्सिस्कन
ఫ్రాంక్లిన్,फ्रँकलिन
భ్రాతృహత్య యుద్ధం,भ्रातृसंहारक युद्ध
ఉచిత చర్చి,मोफत चर्च
ఫ్రీహోల్డర్,फ्रीहोल्डर
స్వతంత్ర సైనికుడు,फ्रीलान्स सैनिक
స్వతంత్ర సైనికుడు,फ्रीलान्स सैनिक
ఫ్రీమాన్,फ्रीमॅन
ఫ్రీమాన్,फ्रीमॅन
ఫ్రీపాస్,मोफत पास
ఫ్రెంచ్ విప్లవం,फ्रेंच क्रांती
సన్యాసి,तपस्वी
ఫ్రైసియన్ కిరాయి సైనికులు,फ्रियाशियन भाडोत्री
సరిహద్దు మనిషి,सीमावर्ती माणूस
గాలియన్,गॅलिओन
