Punjabi,Telugu
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,అల్గోరిథమిక్ విశ్లేషణ
ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ,అల్గోరిథమిక్ విధానం
ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ,అల్గోరిథమిక్ భాష
ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ,అల్గోరిథమిక్ దినచర్య
ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ,అల్గోరిథమిక్ సిద్ధాంతం
ਉਪਨਾਮ,అలియాస్
ਅਲਾਇਸਿੰਗ,అలియాసింగ్
ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
ਅਲਾਈਨਮੈਂਟ,అమరిక
ਨਿਰਧਾਰਤ ਕਰੋ,కేటాయించండి
ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ,కేటాయింపు నిర్మాణం
ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ,ఆల్-పర్పస్ కంప్యూటర్
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,అక్షర పాత్ర
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ,అక్షర అక్షర సమితి
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ,అక్షర అక్షర ఉపసమితి
ਵਰਣਮਾਲਾ ਕੋਡ,అక్షర కోడ్
ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ,అక్షర షిఫ్ట్
ਵਰਣਮਾਲਾ ਸਤਰ,అక్షర స్ట్రింగ్
ਵਰਣਮਾਲਾ ਸ਼ਬਦ,అక్షర పదం
ਵਰਣਮਾਲਾ,వర్ణమాల
ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ,ఆల్ఫాజియోమెట్రిక్స్
ਅਲਫ਼ਾਮਿਕ,ఆల్ఫామెరిక్
ਅਲਫੋਮੋਸੈਕ,ఆల్ఫామోసాయిక్
ਅਲਫਾਨੁਮਿਕ,ఆల్ఫాన్యూమరిక్
ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
ਅੱਖਰ ਕੋਡ,ఆల్ఫాన్యూమరిక్ కోడ్
ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ,ఆల్ఫాన్యూమరిక్ డేటా
ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
ਅੱਖਰ ਛਾਂਟੀ,ఆల్ఫాన్యూమరిక్ విధమైన
ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ,మార్చగల మెమరీ
ਤਬਦੀਲੀ ਸਵਿੱਚ,మార్పు స్విచ్
ਬਦਲਣਾ,మార్చడం
ਬਦਲੋ,ఆల్టర్ మోడ్
ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ,ప్రత్యామ్నాయ రికవరీ
ਵਿਕਲਪੀ ਰਸਤੇ,ప్రత్యామ్నాయ మార్గం
ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ,ప్రత్యామ్నాయ రౌటింగ్
ਵਿਕਲਪਿਕ ਟਰੈਕ,ప్రత్యామ్నాయ ట్రాక్
ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
ਵਿਕਲਪਕ ਗੁਣ,ప్రత్యామ్నాయ లక్షణం
ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ,అస్పష్టత లోపం
ਅਸਪਸ਼ਟ ਹਵਾਲਾ,అస్పష్టమైన సూచన
ਐਨਾਲਾਗ,అనలాగ్
ਐਨਾਲਾਗ ਐਡਰਰ,అనలాగ్ యాడర్
ਐਨਾਲਾਗ ਚੈਨਲ,అనలాగ్ ఛానల్
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,అనలాగ్ కంప్యూటర్
ਐਨਾਲਾਗ ਕਨਵਰਟਰ,అనలాగ్ కన్వర్టర్
ਐਨਾਲਾਗ ਡੇਟਾ,అనలాగ్ డేటా
ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ,అనలాగ్ డివైడర్
ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ,అనలాగ్ ఫెసిలిటీ టెర్మినల్
"ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ
 ਜੇਨਰੇਟਰ","అనలాగ్ ఫంక్షన్
 జనరేటర్"
ਐਨਾਲਾਗ ਏਕੀਕਰਣ,అనలాగ్ ఇంటిగ్రేషన్
ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ,అనలాగ్ గుణకం
ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ,అనలాగ్ ప్రోగ్రామింగ్
ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ,అనలాగ్ స్కేలింగ్
ਐਨਾਲਾਗ ਸਿਗਨਲ,అనలాగ్ సిగ్నల్
ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ,అనలాగ్ అనుకరణ
ਐਨਾਲਾਗ ਸਵਿਚ,అనలాగ్ స్విచ్
ਐਨਾਲਾਗ ਸਿਸਟਮ,అనలాగ్ వ్యవస్థ
"ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਕਨਵਰਟਰ","డిజిటల్‌కు అనలాగ్
 కన్వర్టర్"
"ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਏਨਕੋਡਰ","డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్"
ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ,అనలాగ్ ట్రాన్స్మిషన్
ਐਨਾਲਾਗ ਕਿਸਮ,అనలాగ్ రకం
ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ,విశ్లేషణ బ్లాక్
ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ,విశ్లేషణ మోడ్
ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ,విశ్లేషణాత్మక ఇంజిన్
ਪੂਰਵਜ ਦਾ ਕੰਮ,పూర్వీకుల పని
ਸਹਾਇਕ ਉਪਕਰਣ,సహాయక పరికరాలు
ਅਤੇ,మరియు
ਅਤੇ ਸਰਕਟ,మరియు సర్క్యూట్
ਅਤੇ ਤੱਤ,మరియు మూలకం
ਅਤੇ ਗੇਟ,మరియు గేట్
ਅਤੇ ਮਾਸਕਿੰਗ,మరియు మాస్కింగ్
ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ),మరియు ఆపరేషన్ కాదు (= మినహాయింపు
ਅਤੇ ਓਪਰੇਸ਼ਨ,మరియు ఆపరేషన్
ਅਨੇਕਸ ਮੈਮੋਰੀ,అనెక్స్ మెమరీ
ਐਨੋਟੇਸ਼ਨ,ఉల్లేఖనం
ਐਨੀਨੀਸੀਆਟਰ,అనన్సియేటర్
ਵਾਪਸ ਜਵਾਬ,తిరిగి సమాధానం ఇవ్వండి
ਉੱਤਰ ਦੇਰੀ,సమాధానం ఆలస్యం
ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ,సమయం సమాధానం
ਦੀਵੇ ਦਾ ਜਵਾਬ,సమాధానం దీపం
ਜਵਾਬ ਸੂਚੀ,జవాబు జాబితా
ਜਵਾਬ ਸਿਰਫ,సమాధానం మాత్రమే
ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ,Ntic హించే మోడ్
ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ,ముందస్తు బఫరింగ్
