Hindi,Punjabi
अव्यावसायिक रेडियो संचार,ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ
परिवेश,ਮਾਹੌਲ
परिवेश माइक्रोफोन,ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ
परिवेशी दशा,ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ
परिवेश प्रकाश व्यवस्था,ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ
परिवेशी रव,ਅੰਬੀਨਟ ਸ਼ੋਰ
"परिवेशी ताप, परिवेश ताप",ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ
अमरीकी मानक कोड,ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ
ऐम्पियर,ਐਂਪੀਅਰ
ऐम्पियर मापी,ਐਂਪਰ ਮੀਟਰ
प्रवर्धन,ਸਹਾਇਕਤਾ
प्रवर्धन गुणक,ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ
प्रवर्धक,ਐਂਪਲੀਫਾਇਰ
प्रवर्धक लब्धि,ਐਂਪਲੀਫਾਇਰ ਲਾਭ
प्रवर्धक रव,ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ
प्रवर्धन उपस्कर,ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ
प्रवर्धन क्लाइस्ट्रॉन,ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ
प्रवर्धन एकक,ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ
"आयाम, कोणांक",ਐਪਲੀਟਿ .ਡ
आयाम विरूपण,ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ
आयाम प्रसार,ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ
आयाम गुणक,ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ
आयाम सीमक,ਐਪਲੀਟਿ .ਡ ਸੀਮਾ
आयाम मॉडुलित,ਐਪਲੀਟਿ .ਡ
आयाम मॉडुलन,ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ
"अनुरूप, एनालॉग",ਐਨਾਲਾਗ (ਐਨਾਲਾਗ)
अनुरूप परिपथ,ਐਨਾਲਾਗ ਸਰਕਿਟ
अनुरूप कंप्यूटर,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
अनुरूप रेडियो आवृत्ति चैनल,ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ
अनुरूप निरूपण,ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ
"अनुरूप संकेत, अनुरूप सिगनल",ਐਨਾਲਾਗ ਸਿਗਨਲ
अनुरूप से अंकीय,ਐਨਾਲਾਗ ਡਿਜੀਟਲ
अनुरूप-अंकीय परिवर्तक,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
अनुरूप वीडियो,ਐਨਾਲਾਗ ਵੀਡੀਓ
"अनुरूप, स–श",ਸਮਾਨ
अनुरूपता,ਸਮਾਨਤਾ
विष्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
आंकड़ा विष्लेषण,ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
विष्लेषी घनत्व,ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ
विष्लेषण करना,ਵਿਸ਼ਲੇਸ਼ਣ
विष्लेषक,ਵਿਸ਼ਲੇਸ਼ਕ
सहायक उपस्कर,Ancilliay ਉਪਕਰਣ
"ऐन्ड गेट, तथा द्वार, AND गेट",ਅਤੇ ਗੇਟ
समांतरण कोण,ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ
धुवण कोण,ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ
घूर्णन कोण,ਘੁੰਮਣ ਦਾ ਕੋਣ
ऐंग्स्ट्रम(Å),ਐਂਗਟਰੋਮ (å)
"कोणीय, d¨f.kd",ਕੋਣੀ
d¨.kh; त्वरण,ਕੋਣੀ ਪ੍ਰਵੇਗ
कोणीय निर्देशांक,ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ
कोणीय विक्षेपण,ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ
कोणीय परिक्षेपण,ਐਂਗੂਲਰ ਫੈਲਾਅ
कोणीय विस्थापन,ਕੋਣੀ ਵਿਸਥਾਪਨ
कोणीय त्रुटि,ਐਂਗਲੇਰ ਐਰਰ
कोणीय आवृत्ति,ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ
कोणीय संवेग,ਕੋਣੀ ਗਤੀ
कोणीय गति,ਕੋਣੀ ਮੋਸ਼ਨ
कोणीय वेग,ਐਂਗਲੇਰ ਵੇਗ
"ऐनीमेशन, सजीवन",ਐਨੀਮੇਸ਼ਨ
ऐनोड,ਐਨੋਡ
ऐनोड बैटरी,ਐਨੋਡ ਬੈਟਰੀ
ऐनोड अभिलक्षण,ਐਨੋਡ ਗੁਣ
ऐनोड परिपथ,ਅਨੋਡ ਸਰਕਟ
ऐनोड क्षय,ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ
ऐनोड दक्षता,ਐਨੋਡ ਕੁਸ਼ਲਤਾ
ऐनोड निवेश षक्ति,ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ
ऐनोड मॉडुलन,ਐਡੀਡ ਦੀ ਵਰਤੋਂ
ऐन्टेना,ਐਂਟੀਨਾ
ऐन्टेना किरणपुंज चौड़ाई,ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ
ऐन्टेना वर्धक,ਐਂਟੀਨਾ ਬੂਸਟਰ
ऐन्टेना परिवर्तन स्विच,ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ
ऐन्टेना कुंडली,ਐਂਟੀਨਾ ਕੋਇਲ
"ऐन्टेना विन्यास, ऐन्टेना संरूपण",ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ
ऐन्टेना युग्मक,ਐਂਟੀਨਾ ਕਪਲਰ
ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप,ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ
ऐन्टेना धारा,ਐਂਟੀਨਾ ਮੌਜੂਦਾ
ऐन्टेना दैशिकता लब्धि,ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ
ऐन्टेना द्वैध संकेतक,ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ
ऐन्टेना प्रभावी क्षेत्र,ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ
ऐन्टेना दक्षता,ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ
ऐन्टेना प्रभरण,ਐਂਟੀਨਾ ਫੀਡ
ऐन्टेना व्याप्ति,ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ
ऐन्टेना लब्धि,ਐਂਟੀਨਾ ਲਾਭ
ऐन्टेना ऊंचाई,ਐਂਟੀਨਾ ਉਚਾਈ
ऐन्टेना प्रतिबाधा,ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ
ऐन्टेना प्रेरकत्व,ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ
ऐन्टेना प्रतिरूप,ਐਂਟੀਨਾ ਪੈਟਰਨ
"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक",ਐਂਟੀਨਾ ਪਲੇਕਸਰ
ऐन्टेना धुवण,ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ
ऐन्टेना षक्ति,ਐਂਟੀਨਾ ਪਾਵਰ
ऐन्टेना षक्ति लब्धि,ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ
ऐन्टेना विकिरण प्रतिरोध,ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ
ऐन्टेना प्रतिघात,ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ
ऐन्टेना परावर्तक,ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ
ऐन्टेना प्रतिरोध,ਐਂਟੀਨਾ ਟਾਕਰੇ
ऐन्टेना अनुनादी आवृत्ति,ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ
ऐन्टेना अंतरालन,ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ
ऐन्टेना स्विचन कक्ष,ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ
ऐन्टेना समस्वरक कुंडली,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ
ऐन्टेना समस्वरक कुटीर,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ
द्वारक,ਅਪਰਚਰ
"भूमि उच्च, अपभू",ਅਪੋਜੀ
अपभू राकेट,ਅਪੋਜੀ ਰਾਕੇਟ
उपकरण,ਉਪਕਰਣ
आभासी,ਸਪੱਸ਼ਟ
ऐपलेट (जावा में प्रोग्राम),ਐਪਲਿਟ
"अनुप्रयोग, आवेदन",ਐਪਲੀਕੇਸ਼ਨ
"आसन्न, लगभग, सन्निकट",ਲਗਭਗ
जलीय घोल,Aquive ਹੱਲ
"चाप, आर्क",ਆਰਕ
"संरचना, स्थापत्यकला, वास्तुकला",ਆਰਕੀਟੈਕਚਰ
पुरालेखीय ध्वनि-अभिलेखन अंतरण,ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ
अभिलेखागार; पुरालेख,ਪੁਰਾਲੇਖ
अंकगणितीय कोडन,ਹਿਸਾਬ ਕੋਡਿੰਗ
आर्मेचर,ਆਰਮਚਰ
"आर्मेचर कुंडलन, आर्मेचर कुंडली",ਆਰਮਟਿ ure ਟਰ ਹਵਾ
"व्यूह, सरणी",ਐਰੇ
"प्रग्राही, निरोधक",ਅਰੈਸਟਰ
सुस्पष्ट उच्चारण,ਬਿਆਨ
शिल्पतथ्य; छविदोष,ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ)
आरोहण,ਚੜ੍ਹਨਾ
अभिमुखता अनुपात,ਆਕਾਰ ਅਨੁਪਾਤ
समायोजक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
निष्चयन,ਜ਼ੋਰ
"समनुदेशन, नियत कार्य",ਅਸਾਈਨਮੈਂਟ
नियतन चैनल,ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ
असममित,ਅਸਮੈਟ੍ਰਿਕਲ
अतुल्यकालिक,ਅਸਿੰਕਰੋਨਸ
वायुमंडल,ਵਾਤਾਵਰਣ
वायुमंडलीय हानि,ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ
वायुमंडलीय रव,ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ
वायुमंडलीय दाब,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
वायुमंडलीय संचरण,ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ
वायुमंडलीय रेडियो तरंग,ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ
वायु-वैद्युत् क्षोभ,ਵਾਯੂਮੰਡਲ
परमाणु,ਐਟਮ
परमाणु संरचना,ਪ੍ਰਮਾਣੂ ਬਣਤਰ
संलग्नक,ਲਗਾਵ
क्षीणन,ਪਟੀਸ਼ਨ
क्षीणन हानि,ਅਟੁੱਟ ਨੁਕਸਾਨ
ध्वनि तरंग क्षीणन,ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ
क्षीणकारी,Attetuator
क्षीणकारी पैड,ਐਟੀਟਨਿਟਰ-ਪੈਡ
श्रव्यता देहली,ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ
श्रव्य,ਸੁਣਨਯੋਗ
श्रव्य आवृत्ति,ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ
श्रव्य स्वरक,ਸੁਣਨਯੋਗ ਧੁਨ
श्रव्य स्पेक्ट्रम,ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ
"श्रोतागण, दर्शकगण, श्रोता समुदाय",ਹਾਜ਼ਰੀਨ
"श्रव्य, ऑडियो",ਆਡੀਓ
श्रव्य प्रवर्धक,ਆਡੀਓ ਅਮਲੀਫਾਇਰ
श्रव्य विष्लेषक,ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ
श्रव्य प्रसारण,ਆਡੀਓ ਪ੍ਰਸਾਰਣ
"श्रव्य केबल, ऑडियो केबल",ਆਡੀਓ ਕੇਬਲ
श्रव्य  शृंखला,ਆਡੀਓ ਚੇਨ
"श्रव्य कोडेक, श्रव्य कोडक-विकोडक",ਆਡੀਓ ਕੋਡਕ
श्रव्य संपीडन,ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ
श्रव्य संपीडक,ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ
श्रव्य कंसोल,ਆਡੀਓ ਕੰਸੋਲ
श्रव्य विरूपण,ਆਡੀਓ ਵਿਗਾੜ
"श्रव्य गतिक सीमा, श्रव्य गतिक परास",ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ
श्रव्य संचिका आरूप,ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ
श्रव्य फ्रेम आरूप,ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ
श्रव्य आवृत्ति प्रवर्धक,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
श्रव्य आवृत्ति जनित्र,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ
श्रव्य आवृत्ति परास,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ
श्रव्य आवृत्ति अनुक्रिया,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ
श्रव्य सीमक,ਆਡੀਓ ਸੀਮਾ
श्रव्य लाइन,ਆਡੀਓ ਲਾਈਨ
श्रव्य मिश्रक,ਆਡੀਓ ਮਿਕਸਰ
श्रव्य मॉडुलन,ਆਡੀਓ ਸੰਚਾਲਨ
"श्रव्य दोलक, श्रव्य दोलित्र",ਆਡੀਓ c ਸਿਲੇਟਰ
श्रव्य निर्गत,ਆਡੀਓ ਆਉਟਪੁੱਟ
श्रव्य षक्ति,ਆਡੀਓ ਪਾਵਰ
श्रव्य गुणवत्ता,ਆਡੀਓ ਕੁਆਲਟੀ
"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल",ਆਡੀਓ ਸਿਗਨਲ
श्रव्य संकेत प्रक्रमण,ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ
"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम",ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ
श्रव्य भंडारण,ਆਡੀਓ ਸਟੋਰੇਜ
श्रव्य (आवृत्ति) उपवाहक,ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ
श्रव्य रूपांतरक,ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ
श्रव्य प्रेषित्र,ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ
–श्य/श्रव्य संपीडन,ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ
श्रव्य आवृत्ति दोलक,ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ
"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल",ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ
श्रव्यमिति,ਆਡੀਓਮੈਟਰੀ
–ष्य-श्रव्य साधन,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ
श्रवण बोध,ਆਡੀਟਰੀ ਧਾਰਨਾ
"अधिप्रमाणन, प्रमाणीकरण",ਪ੍ਰਮਾਣਿਕਤਾ
"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति",ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ
"ऑटो कैड, ऑटो CAD",ਆਟੋ ਕੈਡ
स्वतः नैदानिकी,ਆਟੋ ਨਿਦਾਨ
"स्वचल, स्वचालित, स्वतः, स्व",ਆਟੋਮੈਟਿਕ
स्वतः नियंत्रण,ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ
स्वतः संसूचन,ਆਟੋਮੈਟਿਕ ਖੋਜ
स्वचालित उपस्कर,ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ
स्वतःआवृत्ति नियंत्रण,ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਨਿਯੰਤਰਣ
स्वचालित सीमक,ਆਟੋਮੈਟਿਕ ਸੀਮਾ
स्वचालित मशीन,ਆਟੋਮੈਟਿਕ ਮਸ਼ੀਨ
स्वतः कला नियंत्रण,ਆਟੋਮੈਟਿਕ ਫਾਸੇ ਕੰਟਰੋਲ
स्वतः चित्र प्रेषण,ਆਟੋਮੈਟਿਕ ਤਸਵੀਰ ਸੰਚਾਰ
"स्व प्रतिश्रवण, स्व प्रति–श्यण",ਆਟੋਮੈਟਿਕ ਪਲੇਅਬੈਕ
स्वतः षक्ति नियंत्रण,ਆਟੋਮੈਟਿਕ ਪਾਵਰ ਕੰਟਰੋਲ
