Punjabi,Odiya
ਅੱਖਰ ਅੰਕੀ,ବର୍ଣ୍ଣମାଳା
ਅਲਫ਼ਾ ਰੇ,ଆଲଫା ରଶ୍ମି |
ਬਦਲੋ,ପରିବର୍ତ୍ତନ କରନ୍ତୁ |
"ਬਦਲਵਾਂ, ਬਦਲਵਾਂ","ବିକଳ୍ପ, ବିକଳ୍ପ"
ਅਲਟਰਨੇਟਰ,ବିକଳ୍ପ
ਅਲਟੀਮੀਟਰ,ଉଚ୍ଚତା
ਅਲਟੀਮੀਟਰ,ଉଚ୍ଚତା
ਅਲਟਾਈਮੇਟਰੀ,ଉଚ୍ଚତା
"ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ","ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |"
ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU),ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU)
amaget ਨਿਯਮ,amaget ନିୟମ |
ਵਾਤਾਵਰਣ,ପରିବେଶ
amicron,ଆମିକ୍ରନ୍ |
ammeter,ଆମ୍ମିଟର
ਐਂਪੀਅਰ,ଆମ୍ପେର୍
ਐਂਪੀਅਰ-ਲਾਅ,ampere-law
amphibian ion,ଆମ୍ଫିବିଆନ୍ ଆୟନ |
ਵਾਧਾ,ବୃଦ୍ଧି
ਐਂਪਲੀਫਾਇਰ,ଏମ୍ପ୍ଲିଫାୟର୍
"ਕੋਣ, ਮਾਪ","କୋଣ, ପରିମାପ"
a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),a। M. U. (ପରମାଣୁ ମାସ ଏକକ)
ਅਨੁਕੂਲ,ସୁସଙ୍ଗତ
ਸਮਾਨਤਾ,ଅନୁରୂପ
ਵਿਸ਼ਲੇਸ਼ਕ,ବିଶ୍ଳେଷକ |
ਵਿਸ਼ਲੇਸ਼ਣ,ବିଶ୍ଳେଷଣ |
ਵਿਸ਼ਲੇਸ਼ਣੀ,ବିଶ୍ଳେଷଣାତ୍ମକ |
ਗੈਰ-ਪੁਆਇੰਟ,ଅଣ-ବିନ୍ଦୁ |
ਅਸਧਾਰਨ,ଅସନ୍ତୁଷ୍ଟ |
ਅਤੇ ਦਰਵਾਜ਼ਾ,ଏବଂ ଦ୍ୱାର
ਗੈਰ-ਧੁਨੀ,ଅଣ-ଆକାଶବାଣୀ |
ਅਸਧਾਰਨ ਲਚਕਤਾ,ଅନୋମାଲ୍ ଇଲାସ୍ଟିସିଟି |
ਨਿਹਾਈਡ੍ਰਸ,ଆନ୍ହାଇଡ୍ରସ୍
ਕੋਣ,କୋଣ
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
ਕੋਣੀ,କୋଣାର୍କ |
protractor vernier,ପ୍ରୋଟ୍ରାକ୍ଟର ଭର୍ନିଅର୍ |
ਵਿਵਾਦਪੂਰਨ,ବିବାଦୀୟ |
ਬੇਇੱਜ਼ਤੀ,ସମ୍ମାନଜନକ |
ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ,ଆକ୍ରୋମାଟିକ୍ ଚୁମ୍ବକୀୟକରଣ |
ਢਿੱਲੀ,ଅଳସୁଆ |
anion,ଆୟନ
ਅਸਮਿਤ,ଅସୀମିତ |
ਆਈਸੋਟ੍ਰੋਪਿਕ,ଆଇସୋଟ୍ରୋପିକ୍ |
isotropism,ଆଇସୋଟ୍ରୋପିଜିମ୍ |
ਮਿਟਾਉਣਾ,ବିଲୋପ
ਸਾਜ਼ਿਸ਼ਕਰਤਾ,ଷଡଯନ୍ତ୍ରକାରୀ
ਐਨੋਡ,anode
anodization,ଆନାଡାଇଜେସନ୍ |
ਅਸੰਗਤ,ଅସଙ୍ଗତ
ਆਪਟੀਕਲ ਸਿਸਟਮ,ଅପ୍ଟିକାଲ୍ ସିଷ୍ଟମ୍ |
ਐਂਟੀਨਾ,ଆଣ୍ଟେନା |
ਐਂਟੀਬੇਰੀਅਨ,ଆଣ୍ଟିବାୟର୍
ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ,ଆଣ୍ଟି-ବଣ୍ଡିଂ ଗୁଣ |
ਵਿਰੋਧੀ ਬਾਂਡ,କାଉଣ୍ଟର ବଣ୍ଡ |
ਉਲਟ ਸ਼ਕਤੀ,ଓଲଟା ଶକ୍ତି |
ਡਾਇਮੈਗਨੈਟਿਕ,ଡାଇମାଗ୍ନେଟିକ୍ |
ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ,ହୀରା ଚୁମ୍ବକୀୟ ପଦାର୍ଥ |
ਸਾੜ ਵਿਰੋਧੀ,ଆଣ୍ଟି-ଇନଫ୍ଲାମେଟୋରୀ |
ਐਂਟੀਗ੍ਰੈਵਿਟੀ,ଆଣ୍ଟିଗ୍ରାଭିଟି
antilamda ਕਣ,ଆଣ୍ଟିଲାମଡା କଣିକା |
ਐਲੇਲੈਪਟਨ,ଆଲେଲେପଟନ୍ |
ਡਾਇਮੈਗਨੈਟਿਕ,ଡାଇମାଗ୍ନେଟିକ୍ |
ਐਂਟੀਮੈਟਰ,ଆଣ୍ଟିମାଟର୍ |
ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ,ଆଣ୍ଟି ମିସାଇଲ୍
antineutron,ଆଣ୍ଟିନାଟ୍ରନ୍ |
pulsating,ପଲସିଂ
antinucleon,ଆଣ୍ଟିନ୍ୟୁକ୍ଲିଅନ୍ |
ਵਿਰੋਧੀ ਕਣ,ଆଣ୍ଟିପାର୍ଟିକଲ୍ |
ਐਂਟੀਪ੍ਰੋਟੋਨ,ଆଣ୍ଟିପ୍ରୋଟନ୍ |
ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ,ଆଣ୍ଟିରେଫ୍ଲେକ୍ଟିଭ୍ |
ਵਿਰੋਧੀ ਸਮਰੂਪ,ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ |
ਗੈਰ-ਆਵਰਤੀ,ପୁନରାବୃତ୍ତି ନୁହେଁ |
anachronism,ଆନାକ୍ରୋନିଜିମ୍ |
perforated ਸਕੈਨਿੰਗ ਡਿਸਕ,ଛିଦ୍ର ହୋଇଥିବା ସ୍କାନିଂ ଡିସ୍କ |
ਦੁਆਰਕ,ଦ୍ୱାରକ
"ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ","ଉପର, ଉପର, ଆଗ"
"ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ","ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ଆପସୋର୍ |"
ਉਦਾਸੀਨ ਕਿਨਾਰੀ,ଉଦାସୀନ ଲେସ୍ |
ਗੈਰ ਤਰਸਯੋਗ,ଅଣ-ଦୁ hetic ଖଦାୟକ |
ਗੈਰ-ਅਯੋਗਤਾ,ଅକ୍ଷମତା |
ਬਹੁਤ ਅਕ੍ਰੋਮੈਟਿਕ,ବହୁତ ଆକ୍ରୋମାଟିକ୍ |
"ਜ਼ਮੀਨ-ਉੱਚਾ, apogee","ଭୂମି ଉଚ୍ଚ, ଆପୋଜି |"
"ਗੈਰ-ਧਰੁਵੀ, ਚੱਕਰੀ","ଅଣପୋଲାର୍, ସର୍କମ୍ପୋଲାର୍ |"
parapolarity,ପାରାପୋଲାରିଟି |
ਡਿਵਾਈਸ,ଉପକରଣ
"ਵਰਚੁਅਲ, ਵਿਜ਼ੂਅਲ","ଭର୍ଚୁଆଲ୍, ଭିଜୁଆଲ୍ |"
ਦਿਖਾਈ ਦੇਣ ਵਾਲਾ ਸੂਰਜ,ଦୃଶ୍ୟମାନ ସୂର୍ଯ୍ୟ |
ਵਿਜ਼ੂਅਲ ਸਮਾਂ,ଭିଜୁଆଲ୍ ସମୟ |
ਉਭਰਦੀ ਦਿੱਖ,ଉଦୀୟମାନ ରୂପ
ਐਪਲੀਕੇਸ਼ਨ,ଆବେଦନ
ਲਾਗੂ ਹੋਣ,ପ୍ରଯୁଜ୍ୟତା |
ਲਾਗੂ ਕੀਤਾ,ପ୍ରୟୋଗ ହୋଇଛି |
ਦੇਖਣਯੋਗ,ପର୍ଯ୍ୟବେକ୍ଷଣଯୋଗ୍ୟ |
ਪਹੁੰਚ,ଉପାୟ
"ਨੇੜੇ, ਲਗਭਗ","ପାଖାପାଖି, ପାଖାପାଖି"
ਲਗਭਗ,ଆନୁମାନିକତା
ਭਾਫ਼ ਦਾ ਦਬਾਅ,ବାଷ୍ପ ଚାପ
ਸਵੈ-ਇੱਛਤ,ସ୍ବେଚ୍ଛାକୃତ
"ਚਾਪ ਭੱਠੀ, ਚਾਪ ਭੱਠੀ","ଆର୍କ ଫର୍ଣ୍ଣେସ୍, ଆର୍କ ଫର୍ଣ୍ଣେସ୍ |"
ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ,ଆର୍କିମିଡିସ୍ ନିୟମ |
ਆਰਕੀਟੈਕਚਰਲ ਧੁਨੀ ਵਿਗਿਆਨ,ସ୍ଥାପତ୍ୟ ଆକାଶବାଣୀ |
ਚਾਪ ਲੈਂਪ,ଆର୍କ ଦୀପ
ਚਾਪ-ਸਪੈਕਟ੍ਰਮ,ଆର୍କ-ସ୍ପେକ୍ଟ୍ରମ୍ |
"ਖੇਤਰ, ਖੇਤਰ","କ୍ଷେତ୍ର, କ୍ଷେତ୍ର"
"ਖੇਤਰੀ, ਖੇਤਰੀ","ଆଞ୍ଚଳିକ, ଆଞ୍ଚଳିକ"
"ਬਾਂਹ, ਬਾਂਹ, ਸ਼ਾਖਾ","ବାହୁ, ବାହୁ, ଶାଖା |"
ਸ਼ੁਕੀਨ,ଶ୍ରଦ୍ଧାଳୁ
"ਐਰੇ, ਐਰੇ","ଆରେ, ଆରେ"
ਪ੍ਰਾਪਤਕਰਤਾ,ରସିଦ
ਉਚਾਰਨ ਸਪਸ਼ਟਤਾ,ଉଚ୍ଚାରଣ ସ୍ୱଚ୍ଛତା |
ਸਿੰਥੈਟਿਕ,ସିନ୍ଥେଟିକ୍ |
ਨਕਲੀ ਤਬਦੀਲੀ,କୃତ୍ରିମ ସଂକ୍ରମଣ
ਚੜ੍ਹਦਾ,ଆରୋହଣ
ਚੜ੍ਹਾਈ,ଆରୋହଣ
ਚੜ੍ਹਨਾ,ଆରୋହଣ
ਅਗੋਲੀ,ଆଗୋଲି
ਏਕੀਕਰਨ,ଏକୀକରଣ
ਦਾ ਸੈੱਟ,ର ସେଟ୍
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |"
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |"
ਸ਼ੁੱਧਤਾ ਅਨੁਮਾਨ,ସଠିକତା ଆକଳନ
ਨਿਰਧਾਰਿਤ (ਕੁਆਂਟਮ ਸੰਖਿਆਵਾਂ ਦੀ) ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ,ନିର୍ଦ୍ଦିଷ୍ଟ (କ୍ୱାଣ୍ଟମ୍ ସଂଖ୍ୟା) ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
"ਸੰਬੰਧਿਤ, ਸਹਿਯੋਗੀ, ਸੰਯੁਕਤ","ସମ୍ବନ୍ଧୀୟ, ଆସୋସିଏଟିଭ୍, କଞ୍ଜୁଗେଟ୍ |"
ਸਵਰ ਆਵਾਜ਼,ସ୍ ow ର ଶବ୍ଦ
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ਅਸਥਨਿਕ,asthenic
"ਪਰਹੇਜ਼, ਅਜੀਬਤਾ","ନିବୃତ୍ତତା, astigmatism |"
ਪੁਲਾੜ ਯਾਤਰਾ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,ସ୍ପେସ୍ ଭ୍ରମଣ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |
ਪੁਲਾੜ ਯਾਤਰੀ,ମହାକାଶଚାରୀ
ਖਗੋਲ ਵਿਗਿਆਨੀ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ
ਆਕਾਸ਼ੀ,ସ୍ୱର୍ଗୀୟ
ਖਗੋਲ ਵਿਗਿਆਨ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |
ਅਸਮਿਤ,ଅସୀମିତ |
asymptotic,ଅସ୍ମିପଟୋଟିକ୍ |
ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ,ବୃଦ୍ଧି
ਅਸਿੰਕ੍ਰੋਨਸ,ଅସନ୍ତୁଳିତ |
"ਮਾਹੌਲ, ਮਾਹੌਲ","ପରିବେଶ, ପରିବେଶ"
ਵਾਯੂਮੰਡਲ,ବାୟୁମଣ୍ଡଳ
ਹਵਾ ਦੀ ਗੜਬੜ,ପବନ ଅଶାନ୍ତି |
ਪ੍ਰਮਾਣੂ,ପରମାଣୁ
ਪਰਮਾਣੂ,ପରମାଣୁ
ਪਰਮਾਣੂ,ପରମାଣୁ
ਪ੍ਰਮਾਣੂ ਪੁੰਜ,ଆଣବିକ ମାସ
ਪਰਮਾਣੂ ਨੰਬਰ,ପରମାଣୁ ସଂଖ୍ୟା
"ਪ੍ਰਮਾਣੂ ਰਿਐਕਟਰ, ਪ੍ਰਮਾਣੂ ਢੇਰ","ଆଣବିକ ରିଆକ୍ଟର, ଆଣବିକ ଗଦା |"
ਪਰਮਾਣੂ,ପରମାଣୁ
ਕਣ,କଣିକା
ਕਣ,କଣିକା
ਧਿਆਨ,ଆଘାତ
"ਘਟਾਓਣਾ, ਘੱਟ ਕਰਨਾ","ଆଘାତ, ଆଘାତ"
ਸੁਹਜ,ଚମତ୍କାର |
ਖਿੱਚ ਦੀ ਤਾਕਤ,ଆକର୍ଷଣର ଶକ୍ତି |
ਸੁਣਨਯੋਗਤਾ,ଶ୍ରବଣତା |
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |
ਸੁਣਨਯੋਗ,ଶ୍ରବଣଯୋଗ୍ୟ |
ਆਡੀਓ ਜਨਰੇਟਰ,ଅଡିଓ ଜେନେରେଟର
ਸੁਣਨਯੋਗਤਾ ਗ੍ਰਾਫ,ଶ୍ରବଣତା ଗ୍ରାଫ୍ |
ਸੁਣਨ ਵਿਗਿਆਨ,ବିଜ୍ଞାନ ଶୁଣିବା |
