Telugu,Odiya
అగ్రనాల్ క్లోరోప్లాస్ట్,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
అగ్రన్యులర్,ଆଗ୍ରାନୁଲାର୍
అగ్రనులోసైట్,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
వ్యవసాయం,କୃଷି
అగ్రోఫారెస్ట్రీ,Agroftry
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,Agrobacterium ମଧ୍ୟସ୍ଥି |
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,Agrobacterium tumfacienss |
వ్యవసాయ రసాయన,ଆଗ୍ରୋକେମିକାଲ୍ |
వ్యవసాయ రసాయన,ଆଗ୍ରୋକେମିକାଲ୍ |
అగ్రోక్లిమాటిక్ జోన్,Agrovillatatic ଜୋନ୍ |
వ్యవసాయ లక్షణం,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
వ్యవసాయ శాస్త్రం,କିରେନୋନୋମ୍ବନ
ఎయిడ్స్,ଏଡଡ୍ସ
గాలి మూత్రాశయం,ଏୟାର ବ୍ଲାଡର |
వాతానుకూలీన యంత్రము,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
గాలి మార్గం,ବାୟୁ ପାସ୍ |
వాయుకాలుష్యం,ବାୟୁ ପ୍ରଦୂଷଣ
ఎయిర్ శాక్,ଏୟାର ଥଳି
ఎయిర్ వాక్యూల్,ବାୟୁ ଶୂନ୍ୟ
గాలి-శ్వాస,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
అలైన్,ଅଲିନ୍ |
అలారి కండరం,ଆଲେରୀ ମାଂସପେଶୀ |
అలాస్కాన్ బ్రౌన్ బేర్,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
అల్బినో,ଆଲବିନୋ |
అల్బుగో,ଆଲବୁଗୋ |
అల్బుమిన్,ଆଲବମିନ |
అల్బుమినస్ సీడ్,ଆଲବମିନସ୍ ବିହନ |
అల్బుమినూరియా,ଆଲବୁମିନିରିଆ |
అల్బర్నమ్,ଆଲବର୍ନମ୍
ఆల్కే,ଆଲେଡା
ఆల్డెహీడ్,ଆଲଡେହେଡି
ఆల్డోస్టెరాన్ వ్యవస్థ,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
ఆల్డోస్టెరాన్,ଆଲଡୋଷ୍ଟେରୋନ୍ |
అల్యూరోన్ పొర,ଆଲେରୋନ୍ ସ୍ତର |
అల్యూరోప్లాస్ట్,ଆଲେରୋପ୍ଲେଷ୍ଟ |
అల్ఫాల్ఫా,Alfalfa
ఆల్గల్ బ్లూమ్,ଆଲଗାଲ୍ ଫୁଲ |
అల్జీన్,ଅପଗନ୍
గ్రహాంతర DNA,ଏଲିଏନ୍ ଡିଏନ୍
గ్రహాంతర జాతులు,ଏଲିଏନ୍ ପ୍ରଜାତି |
అమరిక,ପରିଚାଳିତ
అమరిక,ପରିଚାଳିତ
అలిమెంటరీ కెనాల్,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
అలిమెంటరీ సిస్టమ్,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
అలిస్మాసిస్,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
ఆల్కలాయిడ్,ଆଲକାଲାଇଡ୍ |
ఆల్కలీన్,କ୍ଷାରିକ |
అల్కాప్టోటోరియా,ଅଲକାପଟୋନେର୍ଜିଆ
అల్లాంటోయిస్,ଆଲାନ୍ସିଟ୍
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
యుగ్మ వికల్పం,ଆହେଲେ |
అల్లెలోమోర్ఫిక్ జత,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
అలెర్జీ,ଆଲ୍ରେଜେନ |
ఎలిగేటర్,ଆଲିଗେଟର୍ |
అల్లియం సెపా,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
అయోగాగమి,ଆଲଗଲାମି |
అల్లోగ్రాఫ్ట్,ଆଲିଗ୍ରାଫ୍ଟ |
అల్లోపాట్రిక్ స్పెసియేషన్,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
అల్లోపాలిప్లోయిడ్,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
అలోస్టెరిక్ ప్రభావం,ଆଲିସ୍ମିକ ପ୍ରଭାବ
అలోస్టెరిక్ ఎంజైమ్,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
అలోస్టెరిక్ ఇన్హిబిటర్,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
అలోస్టెరిక్ మాడ్యులేషన్,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
అలోస్టెరిక్ సైట్,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
అలోస్టెరిక్ నిరోధం,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
అలోటెట్రాప్లాయిడ్,Allototreplid
ఆల్నస్,Alnus
కలబంద,ଆଲୋ
ఆక్సాన్ వెంట,ଆକ୍ସନ୍ ସହିତ |
ఆల్ఫా-యాంటిట్రిప్సిన్,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
ఆల్ఫా-లాక్టల్బ్యూమిన్,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
ఆల్పైన్ వాతావరణ పరిస్థితి,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
ఆల్పైన్ మేడో,ଆଲପାଇନ୍ ମଟର |
ఆల్పైన్ జోన్,ଆଲପାଇନ୍ ଜୋନ୍
ఆల్స్టోనియా,ଆଲଷ୍ଟୋନିଆ
ఆల్టర్నేరియా,ସର୍ବୋଚ୍ଚame
ప్రత్యామ్నాయ,ବିକଳ୍ପ
తరం యొక్క ప్రత్యామ్నాయం,ପି generation ଼ିର ବିକଳ୍ପ
ఎత్తు రుగ్మత,ଉଚ୍ଚତା ରୋଗ
ఎత్తు,ଉଚ୍ଚତା
అల్వియోలార్ డక్ట్,ଆଲଭୋଲାର୍ ନଳୀ |
అలిట్స్,Aytes
అల్జీమర్స్ వ్యాధి,ଅଲଜାଇମର ରୋଗ |
అమాక్రిన్ సెల్,ଆମାକରାଇନ୍ ସେଲ୍ |
అమరాంతేసి,ଅମରନ୍ତାସିଦା |
అమరాంథస్,ଅମରାନ୍ତିନ |
పరిసర ఓస్మోటిక్ గా ration త,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
అంబిస్టోమా,ଅମ୍ବିଷ୍ଟୋମା |
అమైడ్,ବନ୍ଧୁତ୍ୱ
అమైనో ఆమ్లం,ଆମିନୋ ଏସିଡ୍ |
అమైనో యాసిడ్ అంగీకారం,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
అమైన్‌లాకారి,AminoicaL t rna syntHetase |
అమైనోఅసిలేషన్,ଆମିନୋଫାଇସନ୍ |
అమిటోసిస్,ଅମିତୋସାଇସ୍ |
అమ్మోనియా,ଆମୋନିଆ
అమ్మోనిఫికేషన్,ଆମୋନିଫିକେଟ୍
అమ్మోనోటెలిజం,ଆମାମୋଟେଲ୍ଜିମ୍ |
అమ్నియోసెంటెసిస్,ଆମନିଓସେଣ୍ଟେସିସ୍ |
అమ్నియోసెంటెసిస్ టెక్నిక్,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
అమ్నియోసైట్,ଆମନିଓକେଟ୍ |
అమ్నియోన్,ଆମନିଅନ୍
అమ్నియోటిక్ ద్రవం,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
అమ్నియోటిక్ పొర,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
అమ్నియోటిక్ శాక్,ଆମନିଓଟିକ୍ ଥଳି |
అమీబా,ଆମୋବା
అమీబోసైట్,ଆମୋବାଇଟିଟ୍ |
అమీబాయిడ్,ଆମୋବିଏଡ୍
అమీబోయిడ్ లింఫోసైట్,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
అమీబోయిడ్ కదలిక,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
నిరాకార,ଆମୋରଫସ୍ |
మొత్తం,ପରିମାଣ
యాంఫేటమిన్,ଆମ୍ଫେଟାମାଇନ୍ |
ఉభయచర,ଆମ୍ଫିବିଆ
ఉభయచర,ଆମ୍ଫିବିଆନ୍
ఉభయచర,ଆମ୍ଫିବିଆନ୍
యాంఫియోక్సస్,ଆମ୍ଫାଇଓକ୍ସସ୍ |
యాంఫియోక్సస్ లాన్సోలాటస్,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
యాంఫిపతిక్,ଆମ୍ଫିସିଚିକ୍ |
యాంఫిపతిక్ లిపిడ్,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
యాంఫిసార్కా,ଆମ୍ଫାଇସାର୍କା |
ఆంపిసిలిన్,Ampicilillin
అంపుల్లా,ଅମପୁଲାଲା |
అంపల్లరీ గ్రంథి,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
అమిగ్డాల్,ଆମିଜିଡାଲ୍ |
అమిగ్డేల్,ଆମିଗଡାଲେ |
అమిగ్డాలిన్,ଆମିଗାଡାଲିନ୍ |
అమిలేస్,ଆମିଲେଜ୍
అమిలోప్లాస్ట్,ଆମିଏଲପ୍ଲାଷ୍ଟ |
అనాబెనా,ଅବାନା
అనాబాస్,ଅରବା
అనాబాలిక్ మార్గాలు,ଆନାବୋଲିକ୍ ପଥ |
అనాబాలిజం,ଆନାବୋଲିଜିମ୍ |
అనాకార్డియాసి,ଆନାଚାର୍ଡସିଆନା |
రక్తహీనత,ରକ୍ତଦାତା
Anaerobe,ଆନାରୋବେ |
వాయురహిత ఇంధనం,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
వాయురహిత శ్వాసక్రియ,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
వాయురహిత బురద డైజెస్టర్,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
Anaerobic,ଆନାରକୋବର |
అనైమా,ଆନିମା
ఆసన,ଆନାଲ୍
ఆసన,ଆନାଲ୍
ఆసన ఎపర్చరు,ଆନାଲ୍ ଆପେଚର |
అనల్ సెర్సీ,ଆନାଲ୍ ccor
అనల్ లూప్,ଆନାଲ୍ ଲୁପ୍ |
ఆసన శైలి,ଆନାଲ୍ ଶ style ଳୀ
సారూప్యత,ଅନୁରୂପ
సారూప్యత,ଅନୁରୂପ
సారూప్యత,ଆନାଲୋଜି
సారూప్యత,ଆନାଲୋଜି
విశ్లేషణ,ବିଶ୍ଳେଷଣ |
అనాఫేస్,ଅଯାସୀ
శరీర నిర్మాణ అవరోధం,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
శరీర నిర్మాణ అంశం,ଆନାଟୋମିକାଲ୍ ଦିଗ |
శరీర నిర్మాణ శాస్త్రవేత్త,Anatomist-
శరీర నిర్మాణ శాస్త్రం,ଆନାଟୋମି |
పూర్వీకుల వారసుడు క్రమం,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
పూర్వీకుల వంశం,ପ ancest ତୃକ ରେଖା |
పూర్వీకుల క్రమం,ପ ancest ତୃକ କ୍ରମ |
అన్సైలోస్టోమా,ଏକସେଲୋସୋମା |
ఆండ్రోసియం,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
ఆండ్రోజెన్,ଆଣ୍ଡ୍ରୋଜେନ |
రక్తహీనత,ରକ୍ତଦାତା
ఎనిమోన్,ଆନିମୋନ୍ |
అనూప్లోయిడ్,ଆନୁପ୍ଲଏଡ୍ |
అనూప్లోయిడి,ଆନୁପ୍ଲୋଡି
ఆంజినా,ଆଞ୍ଜିନା
యాంజియోగ్రామ్,ଆଞ୍ଜିୟରମ୍ |
యాంజియోగ్రాఫ్,ଆଙ୍ଗିଓଗ୍ରାଗ୍
యాంజియోగ్రఫీ,ଆଙ୍ଗିଓଗ୍ରାଫି |
యాంజియోప్లాస్టీ,An anivoplasty
యాంజియోస్పెర్మ్,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
యాంజియోటెన్సిన్,Anigiotensin |
యాంజియోటెన్సినోజెన్,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
జాలరి చేప,ଅଙ୍ଗର ମାଛ |
అంగునా,ଆଞ୍ଜୁଆନା
అంగుయిస్,ଆଙ୍ଗୁଠି
జంతువు,ପଶୁ
జంతువు,ପଶୁ
జంతువుల పేడ,ପଶୁ ଗୋବର
పశుసంరక్షణ,ପଶୁ କୁମ୍ଭାରୀ
జంతువుల కార్యోటైపింగ్,ପଶୁ କାରିଟାଇପିଂ |
జంతు సామ్రాజ్యం,ପଶୁ ରାଜ୍ୟ
జంతువుల కణజాలం,ପଶୁ ଟିସୁ |
యానిమాలియా,ପଶୁ
అయాన్,ଆନାୟଣ
అనిసోట్రోపిక్ బ్యాండ్,ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |
ఎనియలింగ్,ଆନାଲିଟିଂ
అన్నెలిడ్,Annleled
అన్నెలిడా,ଆଙ୍କିଲଦା |
వార్షిక రింగ్,ବାର୍ଷିକ ରିଙ୍ଗ |
యాన్యులేటెడ్,ପୁର୍ଣ୍ଣିକ
యాన్యుల్,ନିନ୍ଦା
క్రమరహిత రకం,ଆନୋମାଲିୟ ପ୍ରକାର |
అనోఫిల్స్,ଅଧପତ୍ର
చీమ తినేవాడు,ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ
విరోధి,ବିରୋଧୀ |
అంటార్కిటిక్,ଅପବିତ୍ର
యాంటెన్నా,ଆଣ୍ଟେନା |
యాంటెన్నా కాంప్లెక్స్,ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |
యాంటెనల్ గ్రంథి,ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |
ముందరి (వెంట్రల్) బూడిద కొమ్ము,ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |
పూర్వ హైపోఫిసిస్,ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |
పూర్వ జోక్య సల్కస్,ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |
Anther,ଅଙ୍କନ
పూర్వ సంస్కృతి,ଆନାଥନ୍ ସଂସ୍କୃତି
ఆంథెరిడియం,ଆନିଚାଇଡିୟମ୍ |
అంటెరోజాయిడ్,ଆନ୍ଥ୍ରୋଜଏଡ୍ |
ఆంథోసెరోస్,ଆନ୍ଥୋକେସୋସ୍ |
ఆంథోసెరోటోప్సిడా,ଆନ୍ଫୋସିଆରୋଟୋସିଡା |
ఆంత్రాక్స్,ଆନ୍ଥ୍ରାକ୍ସ |
మానవ అంతరించిపోవడం,ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |
మానవ శాస్త్రం,ଆନ୍ଥ୍ରୋପୋଲୋଜି |
యాంటీ బాక్టీరియల్,ଆଣ୍ଟିବଜାର କଟୁ
యాంటీబయాటిక్ పెన్సిలిన్,ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |
యాంటీబయాటిక్ రెసిస్టెంట్,ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |
యాంటీబయాటిక్ (లు),ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ)
యాంటీబాడీ,ଆଣ୍ଟିବଡି |
యాంటీబాడీ జంట,ଆଣ୍ଟିବଡି ଦମ୍ପତି |
యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి,ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |
ప్రతిస్కందకం,ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |
యాంటికోడాన్ లూప్,ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |
యాంటిడిప్రెసెంట్,ପୃଥିବୀ ନିରାଶ
