ab initio,আৰম্ভৰপৰা
accede,"মান্তিহ, ৰাজিহ, সৈমানহ"
accept,"গ্রহণকৰ, স্বীকৃতিদে"
acceptance,"গ্রহণ, স্বীকৃতি"
acceptance of office,"পদ-গ্রহণ, পদ-স্বীকৃতি"
acceptance of tender,"নিবিদাগ্রহণ, নিবিদাৰস্বীকৃতি"
access,"প্রবেশাধিকাৰ, প্রবেশক্ষমতা"
accession,"অভিগমন, সমীপগমন, ৰাজ্যাৰোহণ"
accessory,"উপসহায়ক, গৌণ, আনুষঙ্গিকআহিলা/বস্তু"
accident,"দুর্ঘটনা, আকস্মিকঘটনা"
acclimatization,"অভ্যস্তকৰণ, সহ্যকৰিবপৰাকৰণ"
accommodation,"ব্যৱস্থাপন, সংস্থাপন, স্থান, থকাঠাই"
accompanist,সহগমনকাৰী
accord,"চুক্তি, প্রদানকৰ/দে"
accordance,"অনুৰূপতা, সাদৃশ্য, মিল"
accordingly,"অনুসাৰে, মতানুযায়ী"
account,"হিচাব, জমাখৰচ, গণনা"
account for,"কাৰণদর্শা, হিচাব-পাতিদে"
account head,গণনাশীর্ষ
accountability,"উত্তৰদায়িত্ব, জবাবদিহিৰদায়িত্ব"
accountable,"উত্তৰদায়ী, জবাবদিহি"
accountancy,"গণিতকবিদ্যা, জমাখৰচৰখাৰবিদ্যা"
accountant,"হিচাবৰক্ষক, গাণনিক"
accrued benefit,বর্দ্ধিতলাভ
accrued pension,বর্দ্ধিতকর্ম-নিবৃত্তিভাট্টা
accumulation,"পুঞ্জীকৰণ, সঞ্চয়ণ"
accuracy,"যথার্থতা, সত্যতা, সুনির্দিষ্টতা"
accurate,"যথার্থ, সত্য, সুনির্দিষ্ট"
accuse,"জগৰীয়াকৰ, অভিযোগকৰ"
accused,"অভিযুক্তব্যক্তি, পদকীয়া, আচামী"
achievement,"সিদ্ধি, সাফল্য"
acknowledgement,"স্বীকৃতি, প্রাপ্তিস্বীকাৰকৰণ"
acknowledgement due,স্বীকৃতিপ্রপত্র
acquaintance,"পৰিচয়, পৰিচিতব্যক্তি"
acquisition,"অধিগ্রহণ, আর্জন, উপার্জন, প্রাপ্তি"
acquittance,"ঋণমুক্তি, নিস্তাৰণ, অভিমুক্ত"
act,"অধিনিয়ম, আইন, কার্য"
act of God,দেৱকৃত্য
act of misconduct,অসদাচাৰ
acting allowance,কার্যকৰীভাট্টা
action,"কার্য, বাদগোচৰ, মোকর্দমা"
action plan,কার্যপৰিকল্পনা
active,সক্রিয়
actively,সক্রিয়ভাৱ
activist,"কর্মঠকার্যকর্ত্তা, সক্রিয়তাবাদী"
acts of commission and omission,ভুল-ভ্রান্তি
actual,"প্রকৃত, যথার্থ, যথাযথ"
actuals,"প্রকৃতপৰিসংখ্যা, যথার্থপৰিসংখ্যা, যথাযথপৰিসংখ্যা"
ad hoc,তদর্থ
ad hoc claim,তদর্থদাবী
ad hoc committee,তদর্থসমিতি
ad hoc increase,তদর্থবৃদ্ধি
ad hoc payment,"তদর্থপৰিশোধ, তদর্থশোধন"
ad valorem duty,মূল্যভিত্তিক শুল্ক
adaptation,"অনুকূলনঅভিযোজন, প্রতিযোজন"
addition,"যোগ, সংযোজন, পৰিবর্দ্ধন"
addition and alteration,পৰিবর্ত্তন-পৰিবর্দ্ধন
additional charge,অতিৰিক্তমাচুল/ভৰণি
additional fund,অতিৰিক্তপুঁজি
additional grant,অতিৰিক্তঅনুদান
additional information,অতিৰিক্ততথ্য
additional pay,অতিৰিক্তবেতন
address,"ঠিকনা, অভিভাষণ"
address of welcome,অভিনন্দনভাষণ
addressee,"পত্রপাঁওতা, পত্রপ্রাপক"
adequate,পর্যাপ্ত
adhere to,"অনুগতহৈথাক, বিশ্বস্তহৈথাক"
adjacent,"সন্নিহিত, নিকটৱর্তী, সমীপৱর্তী"
adjoining (=contiguous),"গাতলগা, স্পর্শকৰা"
adjournment,"স্থগন, নিলম্বন"
adjournment motion,সভাস্থগিতপ্রস্তাৱ
adjudge,"বিচাৰতনিষ্পত্তি, ফইচলাকৰ, সাব্যস্তকৰ, ৰায়দে, ডিক্রিদে"
adjudicate,"বিচাৰতনিষ্পত্তি কর, ফইচলাকৰ, সাব্যস্তকৰ, ৰায়দে, ডিক্রিদে"
adjudication,"বিচাৰকৰণ, ৰায়দান"
adjudicator,বিচাৰক
adjustment,"সমাযোজন, উপযোজন"
administer,"1. শাসন কৰ, প্রশাসন চলা 2. প্রয়োগ কৰ, ব্যৱহাৰ কৰ 3. খুৱা, লোৱা (যেনে, শপত)"
administer oath,শপত গ্রহণ কৰোৱা
administration,প্রশাসন
administration of justice,ন্যায় প্রশাসন
administrative,"প্রশাসনিক, প্রশাসনীয়"
administrative action,প্রশাসনিক কার্য্যব্যৱস্থা
administrative appraisal,প্রশাসনিক মূল্যাংকন
administrative approval,প্রশাসনিক অনুমোদন
administrative authority,"প্রশাসনিক প্রাধিকাৰী, প্রশাসনিক কর্ত্তৃত্ব"
administrative control,প্রশাসনিক নিয়ন্ত্রণ
administrative decision,প্রশাসনিকসিদ্ধান্ত
administrative department,প্রশাসনিক বিভাগ
administrative head,প্রশাসনিক মুৰব্বী
administrative headquarters,"প্রশাসনিক মুখ্যালয়, প্রশাসনিক সদৰ ঠাই"
administrative measures,প্রশাসনিক উপায়
administrative power,"প্রশাসনিক শক্তি, প্রশাসনিক ক্ষমতা"
administrative sanction,প্রশাসনিক মঞ্জুৰী
administrative technique,"প্রশাসনিক কৌশল, প্রশাসনিক প্রবিধি"
administrative tribunal,প্রশাসনিক ন্যায়াধিকৰণ
admissibility,"1.গ্রহণীয়তা, স্বীকার্যতা 2. অনুমোদনীয়তা"
admissible expenditure,অনুমোদনীয় ব্যয়
admit,"1.স্বীকাৰ কৰ 2. প্রবেশাধিকাৰ দে, ভর্ত্তি কৰ 3. অনুমতি দে, মঞ্জুৰ কৰ"
admit card,প্রবেশ পত্র
admitted,"1.প্রৱিষ্ট, ভর্ত্তি 2. স্বীকৃত, অনুমতিপ্রাপ্ত"
admonish,ভর্ৎসনা কৰ
adoptee,দত্তক
adoption,1.গ্রহণ 2. দত্তক গ্রহণ 3. আলম
adoptor,দত্তকগ্রহীতা
adult,"প্রাপ্তবয়স্ক, সাবালক, বয়ঃপ্রাপ্তি"
adult franchise,প্রাপ্তবয়স্ক মতাধিকাৰ
adulteration,ভেজালকৰণ
adultery,"পৰস্ত্রীগমন, পৰপুৰুষগমন"
advance,"আগধন, অগ্রিম ধন"
advance booking,অগ্রিম বুকিঙ
advance copy,অগ্রিম প্রতি
advance payment,অগ্রিম ধনদান
advanced increment,অগ্রিম (বেতন) বৃদ্ধি
adverse entry,প্রতিকূল প্রৱিষ্টি
adverse remarks,প্রতিকূল অভিমত
adverse report,প্রতিকূল প্রতিবেদন
advertisement,বিজ্ঞাপন
advice,"1.উপদেশ, পৰামর্শ, ব্যৱস্থা, বিধান 2. জাননী, বিজ্ঞপ্তি, সংবাদ"
advice of payment,ধনদান নির্দেশ
advisory committee,"উপদেষ্টা সমিতি, পৰামর্শদাতা সমিতি"
advisory council,"উপদেষ্টা পৰিষদ, পৰামর্শদাতা পৰিষদ"
advocate,"উকীল, অধিবক্তা"
affairs,পৰিক্রমা
affidavit,"শপতনামা, হলফনামা"
affiliation,সংবন্ধন
affirmation,1.নিশ্চয়োক্তি 2. সত্যবদ্ধ সাক্ষ্য
affirmative,সমর্থনসূচক
afford,"1.সমর্থ হ, পাৰগ হ 2. উৎপন্ন কৰ, উৎপাদন কৰ 3. দে, প্রদান কৰ"
aforesaid,পূর্বোক্ত
afresh,নতুন উদ্যমেৰে
against,"1.মুখামুখি 2. বিৰুদ্ধে, বিপক্ষে 3. বিকল্পে, বিপৰীতে 4. প্রতিৰোধার্থে 5. প্রতিকূলে"
age,1. বয়স 2. যুগ
age certificate,বয়সৰ প্রমাণপত্র
age for suffrage,মতাধিকাৰ বয়স
age limit,বয়সৰ সীমা
age of retirement,সেৱানিবৃর্ত্তিৰ বয়স
age of superannuation,অধিবর্ষিতাৰ বয়স
agency,"অভিকৰণ, এজেন্সি"
agenda,কার্য্যসূচী
aggregation,1.সমূহ 2. পুঞ্জীভূতকৰণ
aggrieved,"1.দুখিত, সন্তপ্ত 2. ক্ষতিগ্রস্ত 3. গুচৰীয়া, বাদী, ফৰিয়াদী"
agitation,1. আন্দোলন 2. অশান্তি
AGM (annual general meeting),"বার্ষিক মহাসভা, বার্ষিক সাধাৰণ সভা"
agreement,1. চুক্তি 2. মনৰ মিল
agreement form,চুক্তি প্রপত্র
agriculture,কৃষি
agro-industry,কৃষিভিত্তিক উদ্যোগ
aid,"1. সহায়, সাহায্য 2. সহায়কাৰী, সাহায্যকাৰী"
alarm,"1. বিপদ সংকেত 2. ভয়, ভীতি, শঙ্কা"
alertness,সজাগতা
alias,1.উপনাম 2. ওৰফে
all inclusive cost,সর্বসমাবেশী ব্যয়
All India Services,"অখিল ভাৰতীয় সেৱা, সর্বভাৰতীয় সেৱা"
all rights reserved,সর্বাধিকাৰ সুৰক্ষিত
allegation,অভিযোগ
allegiance,"আনুগত্য, নিষ্ঠা, বিশ্বস্ততা"
alliance,1.মৈত্রী 2. মিত্রযোঁট 3. আসক্তি
allied services,সংবদ্ধ সেৱাসমূহ
allocation,বণ্টন
allotment,আবণ্টন
allotment letter,আবণ্টন পত্র
allottee,"ভগিয়াৰ, অংশ, গ্রহিতা"
allow an appeal,আপীল মঞ্জুৰ কৰ
allowable,"অনুমোদনযোগ্য, অনুজ্ঞেয়"
allowable expenses,"অনুমোদনযোগ্য ব্যয়, অনুজ্ঞেয় ব্যয়"
allowance,ভাট্টা
alphabetic order,বর্ণক্রম
altercation,বাক্‌বিতণ্ডা
alternate,1.একান্তৰ 2. বিকল্প
alternative,"বিকল্প, বৈকল্পিক"
amalgamation,"সংমিশ্রণ, সংযোজন"
amended draft,সংশোধিত খচৰা
amendment,সংশোধন
amenity,সা-সুবিধা
amicable,সৌহাদ্যপূর্ণ
ammunition,খাৰ-বাৰুদ
amortization of debt,"ঋণ পৰিশোধ, ঋণমুক্তি"
amount,1. মুঠ 2. পৰিমাণ 3. সমান হ
amount of pension,"মুঠ পেন্সন, পেন্সনৰ ধনৰাশি"
analogous post,অনুৰূপ পদ
analysis,বিশ্লেষণ
analytical study,বিশ্লেষণাত্মক অধ্যয়ন
ancestor,"পুর্ব-পুৰুষ, পূর্বজ"
ancillary industry,আনুষঙ্গিক উদ্যোগ
animosity,"1.আক্রোশ 2. শত্রুতা, বৈৰীভাব"
annexure,সংযোজক
anniversary,বার্ষিকী
announcement,ঘোষণা
annoyance,"বিৰক্তি, বিতুষ্টি"
annual financial statement,বার্ষিক বিত্তীয় বিৱৰণ
annual report,বার্ষিক প্রতিবেদন
annuity,"(বছৰেকীয়া) বানচ, বৃত্তি, অনুদান বা ভাট্টা"
anonymous,বেনামী
anonymous complaint,বেনামী অভিযোগ
answer sheet,উত্তৰ পত্র
answerability,"জবাবদিহিতা, উত্তৰসাধ্যতা"
antagonist,বিৰোধী
antecedents,পূর্বৱর্ত্তিতা
anti-corruption measure,দুর্নীতি নিৰোধক উপায়
anti-dumping,"প্রতি পাটন, পাটন বিৰোধী"
anticipated expenditure,"প্রত্যাশিত ব্যয়, আনুমানিক ব্যয়"
anticipated income,"প্রত্যাশিত আয়, আনুমানিক আয়"
anticipation,1.প্রত্যাশা 2. পূর্বানুমান
anticipatory bail,অগ্রিম জামিন
antique,পুৰাতাত্ত্বিক দ্রব্য
apartheid,বর্ণবৈষম্য
apathy,উদাসীনতা
apex body,শীর্ষ নিকায়
apology,ক্ষমাপ্রার্থনা
appeal,"আপীল, আপীল কৰ"
appearance,"উপস্থিতি, হাজিৰা"
appeasement,তুষ্টি সাধন
appellate tribunal,আপীল সম্পর্কীয় ন্যায়াধিকৰণ
appendix,পৰিশিষ্ট
appliance,উপযন্ত্র
applicable,প্রযোজ্য
applicant,"আবেদক, আবেদনকাৰী"
application,"1.প্রয়োগ, অনুপ্রয়োগ 2. আবেদন, প্রার্থনা 3. প্রয়োগ কৰা দ্রব্য"
application form,"আবেদন পত্র, আর্জি"
applied,"ব্যৱহাৰিক, প্রায়োগিক"
apply,"1.প্রয়োগ কৰ 2. লগা, দে 3. আবেদন কৰ, আর্জি লেখ, দর্খাস্ত দে 4. প্রাসঙ্গিক হ, কার্য্যকৰী হ 5. নিয়োগ কৰ"
appointee,নিযুক্ত ব্যক্তি
appointing authority,নিযুক্তি প্রাধিকাৰী
appointment,নিযুক্তি
appointment letter,নিযুক্তি পত্র
Appointments Committee of the Cabinet,মন্ত্রীমণ্ডলীয় নিযুক্তি সমিতি
apportionment of wages,মজুৰী বিভাজন
Appraisal,"মূল্য নিৰূপণ, মূল্যাঙ্কন"
appraiser,মূল্য নির্ধাৰক
appreciation,"1.উপলব্ধি, বোধ 2. প্রশংসা 3. মূল্যবৃদ্ধি"
apprehension,"1.সংশয়, আশংকা 2. বোধ, ধাৰণা 3. গ্রেপ্তাৰ, আটক"
apprentice,"শিশিক্ষু, শিক্ষানবিচ"
approach,1.প্রবেশ পথ 2. কামৰ আৰম্ভণ 3. অভিগমন 4. দৃষ্টিভঙ্গী
appropriate,"1.যথাযথ, উপযুক্ত, উচিত 2. বিনিয়োজন কৰ"
appropriate action,যথাযথ কার্য্যব্যৱস্থা
appropriate head,উপযুক্ত শীর্ষ
appropriation,বিনিয়োজন
approval,অনুমোদন
approximate,"মোটামুটিভাৱে, সন্নিকট"
aptitude test,ব্যুৎপত্তি পৰীক্ষা
arbitrary,"স্বেচ্ছাচাৰী, মইমতীয়া"
arbitrate,"চালিছ হ, মধ্যস্থতা কৰ"
arbitration,"চালিছী, মধ্যস্থতা"
arbitration tribunal,চালিছী ন্যায়াধিকৰণ
arbitrator,"চালিছ, মধ্যস্থ"
architecture,স্থাপত্যবিদ্যা
archives,"অভিলেখাগাৰ, মহাপেচখানা"
area,"1. ক্ষেত্র, এলেকা 2. ক্ষেত্রফল"
area headquarter,"ক্ষেত্র মুখ্যালয়, ক্ষেত্রীয় মুখ্যালয়"
argument,1. বিতর্ক 2. যুক্তিবাদ 3. উকীলৰ পক্ষ সমর্থন বক্তৃতা
arise,"1. উঠ, উদয় হ 2. জাগৃত হ, উদ্ভুত হ 3. উধা"
armed forces,সশস্ত্র বাহিনী
arrangement,1.বিন্যাস 2. বন্দৱস্ত 3. যোগাৰ 4. ব্যৱস্থা
arrear,বকেয়া
arrear statement,বকেয়া বিৱৰণ
arrival report,আগমন ৰিপোর্ট
arrogance,"দম্ভ, মতগর্ব, ঔদ্ধত্য"
arsenal,"অস্ত্রাগাৰ, আয়ুধাগাৰ"
article,1.অনুচ্ছেদ 2. বস্তু 3. লেখ
articles,নিয়মাৱলী
articles of association,সংস্থাৰ অন্তর্নিয়ম
as is where is,যেনেকৈ আছে য’ত আছে
ascending order,আৰোহী ক্রম
ascertain,নিশ্চিত কৰ
aspect,"দিশ, দৃষ্টিকোণ"
aspersion,"নিন্দা, অপযশ, বিৰূপ সমালোচনা"
assassination,"হত্যা, হনন"
assault,আক্রমণ
assemble,1.থূপ খুৱা 2. গোট খা 3. সংযোজিত কৰ
assembly,"1.সভা, সমাজ, মণ্ডলী 2. ব্যৱস্থাপক সভা, বিধানসভা 3. যি ঠাইত যন্ত্রৰ অংশবোৰ সংযোজিত কৰা হয়"
assent,"সন্মতি, স্বীকৃতি"
assert,"দৃঢ়তাৰে ক, জোৰ দি ক"
assessee,নির্দ্ধাৰিতী
assessment,নির্দ্ধাৰণ
assessment year,নির্দ্ধাৰণ বর্ষ
assessor,কৰ নির্দ্ধাৰক
Assets,মুঠসম্পত্তি
assignee,স্বত্ব নিয়োগী
assignment,"1.কাম, দায়িত্ব 2. সম্পত্তি হস্তান্তৰ, স্বত্ব নিয়োগ"
assignor,স্বত্ব নিয়োগক
assistance,"সহায়তা, সাহায্য"
associate,"1. সহযোগিতা কৰ, অংশীদাৰ হ 2. সহ, সহযুক্ত"
association,"1.সংস্থা, সন্থা 2. সম্পর্ক, সম্বন্ধ 3. সংযোজন 4. আত্মীয়তা, সাহচর্য্য"
assumption of charge,কার্য্যভাৰ গ্রহণ
assurance,"1. প্রতিশ্রুতি, আশ্বাস 2. স্বস্তি 3. নিৰাপত্তা, নির্ভয়তা 4. দলীল পত্র, চুক্তি পত্র 5. বীমা 6.আত্মপ্র"
assurance company,বীমা কোম্পানী
assure,আশ্বস্ত কৰ
at discount,ৰেহাই মূল্যত
at par,সমমূল্যত
at premium,"বেছি মূল্যত, অধিমূল্যত"
atomic power,পাৰমাণৱিক শক্তি
attach,1.সংলগ্ন কৰ 2. বাজেয়াপ্ত কৰ
attached office,সংলগ্ন কার্য্যালয়
attachment,1. সংলগ্নক 2. বাজেয়াপ্তকৰণ
attachment order,ক্রোক কৰণ আদেশ
attainment,"প্রাপ্তি, লব্ধি"
attempt,"প্রযত্ন, প্রযত্ন কৰ"
attendance,"উপস্থিতি, হাজিৰী"
attendance register,উপস্থিতি পঞ্জী
attendance slip,উপস্থিতি ৰোকা
attention,"1.মনোযোগ, মনোনিৱেশ 2. যত্ন, পৰিচর্য্যা 3. নজৰ, দৃষ্টি 4. সমীহ ভঙ্গী"
attestation,"প্রত্যয়ণ কৰণ, অনুপ্রমাণন"
attested copy,"প্রত্যয়িত প্রতি, অংপ্রমাণিত প্রতি"
attitude,"দৃষ্টিভঙ্গী, অভিবৃত্তি"
attractive salary,আকর্ষণীয় বেতন
auction,"নিলাম, ডাক"
auction sale,নিলাম বিক্রী
auctioneer,নিলামকর্ত্তা
audience,1.শ্রোতা 2. দর্শক 3. শুনানী 4. দর্শন
audio-visual display,দৃশ্য-শ্রব্য প্রদর্শন
audio-visual publicity,দৃশ্য-শ্রব্য প্রচাৰ
audit,"লেখা পৰীক্ষা, হিচাপ পৰীক্ষা"
audit objection,লেখাপৰীক্ষা আপত্তি
audit paragraph,লেখাপৰীক্ষা পৰিচ্ছেদ
audit report,লেখাপৰীক্ষা ৰিপোর্ট
audited accounts,"পৰীক্ষিত লেখা, সংপৰীক্ষিত লেখা"
audited balance sheet,সংপৰীক্ষিত স্থিতিপত্র
auditing,লেখা পৰীক্ষণ
auditor's report,লেখাপৰীক্ষকৰ ৰিপোর্ট
auditorium,প্রেক্ষাগৃহ
austerity,ব্যয় সংকোচন
austerity measures,ব্যয় সংকোচন উপায়
authentic,"প্রামাণিক, বিস্বাসযোগ্য"
authorised representative,প্রাধিকৃত প্রতিনিধি
authoritative,1.কর্তৃত্বপূর্ণ 2. প্রামাণিক 3. প্রাধিকাৰিক
authority,"1.অধিকাৰ, কর্তৃত্ব, প্রাধিকাৰ 2. কর্তৃপক্ষ, চৰকাৰ, প্রশাসন প্রাধিকাৰী 3. প্রামাণিক গ্রন্থ 4. প্রমাণ"
authority letter,প্রাধিকাৰ পত্র
authorized,প্রাধিকৃত
authorized capital,"প্রাধিকৃত পুঁজি, প্রাধিকৃত মূলধন"
automatic,"স্বয়ংক্রিয়, স্বয়ংচালিত"
autonomous,"স্বায়ত্বশাসিত, স্বনিয়ন্ত্রিত"
autonomous body,স্বায়ত্বশাসিত নিকায়
autonomy,"স্বায়ত্বশাসন, স্বশাসন"
auxiliary,সহায়ক
available,"লভ্য, প্রাপ্তিসাধ্য"
average,"1.গড় 2. সাধাৰণ, মাজামাজি"
average leave,সাধাৰণ ছুটী
aversion,"ঘৃণা, বিদ্বেষ, বিতৃষ্ণা, বিৰুচি"
avert,প্রতিহত কৰ
avoid,"1.এৰাই ফুৰ, ফালৰি কাট 2. পৰিহাৰ কৰ 3. বাতিল কৰ, অনুমোদনহীন কৰ"
avoidance of tax,কৰ দিয়া এৰাই চলা
awaited,প্রতীক্ষিত
award,"1.ৰায়, আদালতৰ সিদ্ধান্ত 2. পুৰস্কাৰ, বঁটা, পাৰিতোষিক 3. প্রদান কৰ 4. অধিনির্ণয়"
awarding authority,অধিনির্ণয়ন প্রাধিকাৰী
awareness,"সচেতনতা, সজাগতা"
back log,"জমাকাম, কামৰবাকী"
back out,আঁতৰিঅহা
back reference,"পূর্বসন্দর্ভ, পূর্বপ্রসংগ"
back up,পূর্ত্তিকৰ
backdated,পূর্বদিনাংকিত
background,"পৃষ্ঠভূমি, পটভূমি"
backward classes,পিছপৰাশ্রেণী
backward tribe,পিছপৰাজনজাতি
bad bargain,"বেয়াদৰ-দাম, লোকছানহোৱাদৰ-দাম"
bad behaviour,বেয়াব্যৱহাৰ
bad character,"দুশ্চৰিত্র, অসৎচৰিত্র"
bad climate allowance,বিষমজলবায়ুভাট্টা
bad conduct,দুৰাচৰণ
bad debt,অপৰিশোধ্যঋণ
baggage,"মাল-পত্র, টালি-টোপোলা"
bail,জামিন
balance,"1.শেষ, বাকী2.ভাৰসাম্য, তর্জু3.মানসিকভাৰসাম্য"
balance brought down,অধোনীত শেষ
balance brought forward,অগ্রেনীত শেষ
balance sheet,"জমা-খৰচৰহিচাপ, স্থিতিপত্র, উদ্বত্তপত্র"
balanced budget,"সুসমবাজেট, সমীকৃতবাজেট"
ballot,"মতপত্র, বেলট, ভোটদান"
ballot box,বেলটবাকচ
ballot paper,বেলটকাগজ
ban,"নিষিদ্ধকৰ, নিষেধাজ্ঞা"
bank,"বেংক, অধিকোষ"
bank account,বেংকবহী
bank balance,"বেংকজমা, অধিকোষঅৱশেষ"
bank charges,বেংকমাচুল
bank guarantee,বেংকনিশ্চয়তা
bank holiday,বেংকঅৱকাশৰদিন
bank rate,বেংকহাৰ
bank reconciliation,বেংকসমাধান
bank security,বেংকআমানত
bank statement,বেংকবিৱৰণ
banking facility,বেংকিঙসুবিধা
banking hours,বেংকিঙকার্যসময়
banking transaction,বেংকলেন-দেন
bankrupt,"দেউলীয়া, নষ্টনিধি"
banquet,"ভোজমেল, প্রীতিভোজ"
bar council,উকীলপৰিষদ
bargain,দৰ-দাম
bargaining,দৰ-দামকৰণ
barren land,"অনুর্বৰভূমি, উবাৰভূমি, ছনমাটি"
barter,"বিনিময়বেহা, বিনিময়বাণিজ্য"
base,"ভেটি, ভিত্তি, ভূমি(জ্যামিতি), (বুনিয়াদ"
base year,আধাৰবর্ষ
baseless,ভিত্তিহীন
basement,ভূগর্ভস্থকক্ষ
basic,"মূল, মৌলিক, বুনিয়াদী"
basic intelligence,মূলবুদ্ধিমত্তা
basic pay,মূলবেতন
basic scale of pay,মূলবেতনমান
basic training,বুনিয়াদীপ্রশিক্ষণ
basically,মূলতঃ
basis,"ভেটি, ভিত্তি, মূল, বুনিয়াদ"
batch,"চাম, জাক, দল, বান"
batch number,"চামনম্বৰ, জাকনম্বৰ, দলনম্বৰ"
bearer cheque,"ধাৰকচেক, ধাৰকধনাদেশ"
before cited,পূর্ব-কথিত
behaviour,ব্যৱহাৰ
belief,বিশ্বাস
below par,অৱমূল্যত
bench,বিচাৰপীঠ
benchmark,"মাপক্রম, তলচিহ্ন"
beneficial,"লাভপ্রদ, লাভজনক, হিতকৰ"
beneficiary,"লাভার্থী, হিতাধিকাৰী"
benefit,"সহায়, সুবিধা, সুফল, লাভ"
benefit of doubt,সন্দেহলাভ
benevolence,"পৰোপকাৰিতা, হিতৈষণা, দয়াশীলতা"
benevolent fund,হিতৈষীপুঁজি
bequeath,"ইচ্ছাপত্রকৰা, এৰিযা, দিথৈযা, দানকৰিযা"
bequest,ইচ্ছাপত্র
bereaved,"শোকসন্তপ্ত, শোকগ্রস্ত, শোকাভিভূত"
best endeavours,সর্বোৎকৃষ্টপ্রয়াস
betterment,"উন্নতি, উৎকর্ষ"
bias,"পক্ষপাতিত্ব, পূর্বাগ্রহ"
biased opinion,"পক্ষপাতিত্বপূর্ণমত, পূর্বাগ্রহীমত"
bibliography,গ্রন্থপঞ্জী
bicameral,"দ্বিপক্ষযুক্ত, দ্বিসদন"
biennial,দ্বিবার্ষিক
bifurcate,দুটাশাখাতবিভক্তকৰ
bigamy,"দ্বিবিবাহপ্রথা, দ্বিপত্নীত্ব"
bilateral,"দ্বিপাক্ষিক, দ্বিপক্ষীয়"
bilingual,"দ্বিভাষিক, দ্বিভাষী(ব্যক্তি)"
bill,"বিধেয়ক, বিল, দেয়ক(বাণিজ্য)"
bill of exchange,"বিনিময়পত্র, হুণ্ডি, ধনাদানপত্র"
bimonthly report,"1.দ্বিমাসিক, দুমহীয়া2.পষেকীয়া"
binding,"অৱশ্যপালনীয়, অৱশ্যকৰণীয়, বাধ্যতামূলক, বন্ধন"
biodata,জীৱনবৃত্ত
bipartite,"দ্বিখণ্ডী, দ্বিপাক্ষিক"
bipartite agreement,দ্বিপাক্ষিকচুক্তি
birth anniversary,জন্মবার্ষিকী
birth certificate,জন্মপ্রমাণপত্র
birth control,জন্মনিয়ন্ত্রণ
birth date,"জন্মতিথি, জন্মৰতাৰিখ"
birth place,জন্মস্থান
birth rate,জন্মহাৰ
biweekly,"1.পষেকীয়া, দ্বিসাপ্তাহিক2.অর্ধসাপ্তাহিক, তিনিদিনীয়া"
black economy,ক’লাঅর্থব্যৱস্থা
black list,"ক’লাসূচী, বহিষ্কৃতৰতালিকা"
black market,ক’লাবজাৰ
blackmail,"ভীতিপ্রদর্শন, ভীতি-শোষণ"
blame,"দোষাৰোপকৰা, দায়ধৰা, নিন্দাকৰা"
blank cheque,"শুদাচেক, নিৰক্ষধনাদেশ"
blanket deal,ব্যাপকবুজাবুজি
blanket order,ব্যাপকআদেশ
blast,বিস্ফোৰণ
blending,সংমিশ্রণ
block,খণ্ড
block letter,"ডাঙৰহাতৰআখৰ, ডাঙৰছপাহৰফ"
blockade,"অৱৰোধ, প্রতিবন্ধকতা"
blocked capital,অৱৰুদ্ধপুঁজি
blood donation,ৰক্তদান
blood relations,ৰক্ত-সম্পর্কীয়
blue collar job,কায়িককার্য্য
