Bengali,Odiya
অ্যাম্ফিথিয়েটার,ଆମ୍ଫିଥେଟର
আমরি নল দল (মৃৎপাত্রের),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
অ্যানাক্রোনিজম,ଆନାକ୍ରୋନିଜିମ୍ |
অ্যানাক্রোনিস্টিক,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
পূর্বপুরুষ,ପୂର୍ବପୁରୁଷ
পূর্ব পুরুষের পুজা,ପୂର୍ବପୁରୁଷ ପୂଜା |
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
প্রাচীন শাসন,ପ୍ରାଚୀନ ଶାସନ
প্রাচীন,ପ୍ରାଚୀନ
প্রাচীন গীতিনাট্য,ପ୍ରାଚୀନ ବାଲାଡ୍ |
প্রাচীন বিশ্বাস,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
প্রাচীন রীতি,ପ୍ରାଚୀନ ପ୍ରଥା
প্রাচীন ইতিহাস,ପ୍ରାଚୀନ ଇତିହାସ
প্রাচীন স্মৃতিস্তম্ভ,ପ୍ରାଚୀନ ସ୍ମାରକୀ
উপাখ্যান,ଉପନ୍ୟାସ
অ্যাঞ্জেলট,ଆଞ୍ଜେଲଟ୍ |
এঞ্জেলাস,ଆଞ୍ଜେଲସ୍ |
অ্যাঞ্জেভিন (=এনজেভিন),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
কোণ,କୋଣ
অ্যাংলিকান,ଅଙ୍ଗଲିକାନ୍ |
অ্যাংলিকান কমিউনিয়ন,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
অ্যাংলিকানিজম,ଅଙ୍ଗଲିକାନିଜିମ୍ |
অ্যাংলো-ফোব,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
অ্যাংলো-ফোবিয়া,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
অ্যাংলো-স্যাক্সন,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
অ্যাংলো-স্যাক্সোনিজম,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
অ্যানালিস্ট,ଆନ୍ନାଲିଷ୍ଟ |
ইতিহাস,ବାର୍ଷିକ
সংযোজন,ସଂଲଗ୍ନ
এন্টে-বেলাম,ଆଣ୍ଟେ-ବେଲମ୍ |
তারিখের আগে,ଆଣ୍ଟେ ତାରିଖ |
করণিকবাদ বিরোধী,ଧର୍ମ-ବିରୋଧୀ
অ্যান্টি-ক্লারিক্যাল আইন,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
প্রাচীনত্ব,ପ୍ରାଚୀନତା
ভাড়া বিরোধী,ଆଣ୍ଟି-ଭଡା
ভাড়া বিরোধী,ଆଣ୍ଟି-ଭଡା
সেমিটিজম বিরোধী,ବିରୋଧୀ ଦଳ
আনজাক,ଅଞ୍ଜାକ |
আপেলা,ଆପେଲା |
আরালু,ଅରୁଲୁ |
আর্চ বিশপ,ଆର୍ ବିଶପ୍ |
আর্চ ডুচি,ଆର୍ ଡୁଚି |
আর্চ ডিউক,ଆର୍ ଡ୍ୟୁକ୍ |
আর্কিফ (= আর্কাইভাল সংগ্রহ),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
আর্কিপিস্কোপেট,ଆର୍କିପିସ୍କୋପେଟ୍ |
আভিজাত্য,ଆଭିମୁଖ୍ୟ
অভিজাত,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
আভিজাত্য স্নোবারি,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
এরিস্টটলীয়,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
আরমাডা,ଆର୍ମଡା |
আরমাদা (=স্প্যানিশ আরমাদা),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
আর্মোরিস্ট (= আর্মারিস্ট),ବାହୁବଳୀ (= ବାହୁବଳୀ)
বর্ম (= বর্ম),ବାହୁବଳୀ (= ବାହୁବଳୀ)
আর্মারিস্ট,ବାହୁବଳୀ |
আরিয়ান,ଆର୍ଯ୍ୟନ୍
আরিয়ান,ଆର୍ଯ୍ୟନ୍
আসকারী,ଆସ୍କାରି |
বরাদ্দ,ନ୍ୟସ୍ତ କରନ୍ତୁ |
সহায়তা,Assize
সহায়তা,Assize
সহায়তা,Assize
অস্ত্র আইনের সহায়তা,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
নভেল ডিসিসিনের অ্যাসাইজ,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
নৃশংসতা,ଅତ୍ୟାଚାର
আক্রমণ,ଆକ୍ରମଣ
অলিক কাউন্সিল,ଆୟୁଲିକ୍ ପରିଷଦ |
দেবীর কুঠার (=দেহী কুঠার),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
ব্যাবিলন,ବାବିଲ
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
বাচনাল ভক্ত,ବ୍ୟାଚାନାଲ ଭକ୍ତ
বাচনালিয়া,ବ୍ୟାଚାନାଲିଆ |
ব্যাচেলর,ଅବିବାହିତ
বাগদাদ চুক্তি,ବାଗଦାଦ ଚୁକ୍ତି |
বলকান লীগ,ବାଲକାନ୍ ଲିଗ୍ |
বলকান চুক্তি,ବାଲକାନ୍ ଚୁକ୍ତି |
বলকান যুদ্ধ,ବାଲକାନ ଯୁଦ୍ଧ |
বাল্টিক চুক্তি,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
দস্যু,ବୃନ୍ଦାବନ
বান্দুং সম্মেলন,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
নির্বাসন,ବହିଷ୍କାର |
ব্যানার,ବ୍ୟାନର |
অসভ্য,ବର୍ବର
বারবিকান,ବାର୍ବିକାନ୍ |
বারদোলী সত্যাগ্রহ,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
শস্যাগার বার্নার্স,ବାର୍ ବର୍ନର୍ସ |
ব্যারন,ବରୁଣ |
ব্যারোনেজ,ବରୁଣ
ব্যারনস মেজরস,ବାରୋନସ୍ ମେଜୋରସ୍ |
ব্যারোনস মাইনরস,ବାରୋନସ୍ ମାଇନୋରସ୍ |
ব্যারনেস,ବରୁଣେସ୍ |
ব্যারোনেট,ବରୁଣେଟ୍ |
ব্যারোনেটেজ,ବରୁଣେଟେଜ୍ |
ব্যারোনেটেজ,ବରୁଣେଟେଜ୍ |
ব্যারোনেটসি,ବାରୋନେଟସି |
ব্যারনি,ବାରୋନି |
ব্যারাকুন,ବାରାକୁନ୍ |
ব্যারাকুন,ବାରାକୁନ୍ |
ব্যারিকেড (=ব্যারিকেড),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ব্যারিকেড (=ব্যারিকেড),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ব্যারিকেড (=ব্যারিকেড),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
সেনাঘাঁটি,ବେସ୍ କ୍ୟାମ୍ପ୍ |
ব্যাসিলিকা,ବେସିଲିକା |
ব্যাসিলিকা,ବେସିଲିକା |
বাস্তিলা,ବସ୍ତିଲା |
বাস্তিল,ବସ୍ତିଲ୍ |
বাস্তিল,ବସ୍ତିଲ୍ |
ব্যাটারি,ବ୍ୟାଟେରୀ
যুদ্ধ,ଯୁଦ୍ଧ
ব্যাটলে-অ্যারে,ବଟଲ୍-ଆରେ |
যুদ্ধ কান্না,ଯୁଦ୍ଧ କାନ୍ଦ |
যুদ্ধ দিন,ଯୁଦ୍ଧ ଡିନ |
যুদ্ধক্ষেত্র,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
যুদ্ধের স্তব,ଯୁଦ୍ଧ ଭଜନ
স্পার্সের যুদ্ধ,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
স্ট্যান্ডার্ড যুদ্ধ,ମାନାଙ୍କ ଯୁଦ୍ଧ |
যুদ্ধজাহাজ,ଯୁଦ୍ଧ ଜାହାଜ |
যুদ্ধজাহাজ-শক্তি,ଯୁଦ୍ଧ-ଶକ୍ତି |
Bayeux ট্যাপেস্ট্রি,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
বীকন,ବିକନ୍ |
বীকন টাওয়ার,ବିକନ୍ ଟାୱାର୍ |
বিভার,ବିଭର୍ |
বিভার,ବିଭର୍ |
সমুদ্রের ভিক্ষুক,ସମୁଦ୍ରର ଭିକାରୀ |
বেলিকোস,ବେଲିକୋଜ୍ |
বেলিকোস,ବେଲିକୋଜ୍ |
বেলিকোস,ବେଲିକୋଜ୍ |
বেলিকোসিটি,ବେଲିକୋସିଟି |
বেলোনা,ବେଲୋନା |
উপকারিতা,ଉପକାର
যাজকদের সুবিধা,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
বেনেলাক্স,ବେନେଲକ୍ସ |
বার্লিন ডিক্রি,ବର୍ଲିନ୍ ଆଦେଶ |
বেসার,ବର୍ସରକର |
বেসান্ট (=বেজেন্ট),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
বেথেল,ବ Bethel ଥେଲ୍ |
বিবিলিওলেটর,Bibliolater
বিবিলিওলাট্রি,ଗ୍ରନ୍ଥସମୂହ
বিগ বার্থা,ବିଗ୍ ବର୍ଥା |
বিগট,ବିଗଟ୍ |
বিলেটিং,ବିଲିଂ
অ্যাটেন্ডারের বিল,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
অধিকার বিল,ଅଧିକାର ବିଲ୍ |
জীবনীকার,ଜୀବନୀ
জন্মের গল্প,ଜନ୍ମ କାହାଣୀ |
বিভাক,ବିଭିଆକ୍ |
বিভাক,ବିଭିଆକ୍ |
বিভাক,ବିଭିଆକ୍ |
বিজোনিয়া,ବିଜୋନିଆ |
কালো পাখি,କଳା ପକ୍ଷୀ
কালো পতাকা,କଳା ପତାକା
কৃষ্ণ গহ্বর,ବ୍ଲାକ୍ ହୋଲ୍ |
কৃষ্ণ গহ্বর,ବ୍ଲାକ୍ ହୋଲ୍ |
কালো পা (= স্ক্যাব),କଳା ଗୋଡ (= ସ୍କାବ)
কালো শার্ট,କଳା ସାର୍ଟ |
ব্লাজন,ବ୍ଲାଜନ୍
ব্লাজন,ବ୍ଲାଜନ୍
ব্লাজনরি,ବ୍ଲାଜୋନ୍ରି |
ব্লাজনরি,ବ୍ଲାଜୋନ୍ରି |
Blitzkrieg,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
ব্লাডওয়াইট,ରକ୍ତଚାପ
ব্লাডি মেরি,ରକ୍ତାକ୍ତ ମରିୟମ |
নীল,ନୀଳ
আভিজাত্য,ନୀଳ ରକ୍ତ
নীল বই,ନୀଳ ପୁସ୍ତକ |
নীল পটি,ନୀଳ ରିବନ୍ |
নীল পটি,ନୀଳ ରିବନ୍ |
ব্লুজ (=রয়্যাল হর্স গার্ড),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
নীল শার্ট,ନୀଳ ସାର୍ଟ |
ব্লু ওয়াটার স্কুল,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
নিয়ন্ত্রণ বোর্ড,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
শরীরবর্ম,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
বোয়ার,ବୋଇର୍
লুঠ,ବୁଟି
বরো,ବୋରୱୋ |
বুলিউটেরিয়ন,ବୁଲୁଟେରିଅନ୍ |
বোরবন,ବୋର୍ବନ୍ |
বক্সার বিদ্রোহ,ବକ୍ସର ବିଦ୍ରୋହ |
বন্ধনী,ବନ୍ଧନୀ
ব্রাসার্ড,ପିତ୍ତଳ |
ব্রাসার্ড,ପିତ୍ତଳ |
রুটি উপনিবেশ,ରୁଟି କଲୋନୀ |
ব্রেস্ট প্লেট,ସ୍ତନ ପ୍ଲେଟ୍ |
স্তনের কাজ,ସ୍ତନ କାମ
ব্রেটওয়াল্ডা,ବ୍ରେଟୱାଲଡା |
ব্রিগ্যান্ড,ବ୍ରିଗାଣ୍ଡ୍ |
ব্রিগ্যান্ডেজ,ବ୍ରିଗେଣ୍ଡେଜ୍
ব্রিটিশ কমনওয়েলথ অফ নেশনস,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
ব্রাউন শার্ট (=নাৎসি),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
বাফ,ବଫ୍ |
বাফ,ବଫ୍ |
বাফ-কোট,ବଫ୍-କୋଟ୍ |
বাফস,ବଫସ୍ |
বুলে (= পরিষদ),ବୁଲେ (= ପରିଷଦ)
বার্গেজ,ବନ୍ଧକ
বার্গেস,ବରଗଡ |
বাইজেন্টাইন,ବାଇଜାଣ୍ଟାଇନ
বাইজেন্টাইন গির্জা,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
বাইজেন্টাইন সাম্রাজ্য,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
বাইজেন্টাইন যুগ,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
বাইজেন্টাইন ইতিহাসবিদ,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
ক্যাবল,କ୍ୟାବଲ୍ |
সিজারিজম,କେଜରିଜିମ୍ |
খলিফা,ଖଲିଫ୍ |
ক্যালিগ্রাফার,କଲିଗ୍ରାଫର୍ |
ক্যালিগ্রাফিস্ট,କଲିଗ୍ରାଫିଷ୍ଟ |
ক্যালিগ্রাফি,କାଲିଗ୍ରାଫି |
ক্যালট্রপ,କାଲ୍ଟ୍ରପ୍ |
বন্ধুত্ব,କାମାଡେରି |
ক্যামারিলা,କାମାରିଲା |
ক্যামারিলা,କାମାରିଲା |
ক্যামেলাউকাম,କାମେଲାକମ୍ |
ছদ্মবেশ,କାମୁଫ୍ଲେଜ୍ |
প্রচারণা,ଅଭିଯାନ |
শিবিরের অনুসারী,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
ক্যাম্পো সান্টো,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
ক্যাম্পাস মার্টিয়াস,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
ক্যানেফোরা,କାନେଫୋରା |
ক্যাঙ্গু,କଙ୍ଗୁ
কামান,କାନନେଡ୍ |
কামানের খাদ্যরুপে পরিগণিত মানুষ,ତୋପ ଖାଇବା |
ক্যানন,କାନନ୍ |
ক্যানন আইন,କାନନ୍ ନିୟମ |
ক্যানোপাস ডিক্রি,କାନୋପସ୍ ଆଦେଶ |
ক্যান্টিং অস্ত্র,ବାହୁବଳୀ
বন্দী,ବନ୍ଦୀ
বন্দী,କ୍ୟାପ୍ଟର
মৌলিক,କାର୍ଡିନାଲ୍ |
কার্ল,କାର୍ଲ |
ক্যারোলিংজিয়ান রাজবংশ,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
কার্থুসিয়ান সম্প্রদায়,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
কার্টোসা,କାର୍ଟୋସା |
কাস্টেলীয়,କାଷ୍ଟେଲିଆନ୍ |
কাস্টেলীয়,କାଷ୍ଟେଲିଆନ୍ |
বর্ণপ্রথা,ଜାତି ପ୍ରଣାଳୀ |
দুর্গ,ଦୁର୍ଗ
দুর্গ,ଦୁର୍ଗ
দুর্গ শহর,ଦୁର୍ଗ ସହର
কাস্ত্রা,କାଷ୍ଟ୍ରା |
কাস্ত্রা,କାଷ୍ଟ୍ରା |
ক্যাথেড্রা,କ୍ୟାଥେଡ୍ରା |
ক্যাথিড্রাল,କ୍ୟାଥେଡ୍ରାଲ୍ |
ক্যাটো স্ট্রিট ষড়যন্ত্র,କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |
কাউডিলো,କାଉଡିଲୋ |
অশ্বারোহী,କାଭାଲିଅର୍ |
অশ্বারোহী,କାଭାଲିଅର୍ |
অশ্বারোহী সংসদ,କାଭାଲିଅର୍ ସଂସଦ |
আদুল্লামের গুহা,ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |
গুহাচিত্র,ଗୁମ୍ଫା ଚିତ୍ର
গুহাচিত্র,ଗୁମ୍ଫା ଚିତ୍ର
সেন্টুমভির,Centumvir
সেঞ্চুরিয়ান,ସେଞ୍ଚୁରିଅନ୍ |
সেঞ্চুরি,ଶତାବ୍ଦୀ
চেইন আর্মার (= চেইন মেইল),ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍)
চ্যানট্রি,ଚାନ୍ଟ୍ରି |
চ্যানট্রি,ଚାନ୍ଟ୍ରି |
চ্যাপ বই,ଅଧ୍ୟାୟ ପୁସ୍ତକ
চ্যাপলিন,ଚାପଲେନ୍ |
অধ্যায়,ଅଧ୍ୟାୟ
দুর্ঘটনার অধ্যায়,ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |
চার্জ,ଚାର୍ଜ
চার্জ ডি অ্যাফেয়ার্স,ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |
চার্জ বিভাজন,ଚାର୍ଜ ବିଭାଜନ |
চার্জার,ଚାର୍ଜର
রথ,ରଥ
সারথি,ରଥ
সারথি,ରଥ
সারথি,ରଥ
দাতব্য রান্নাঘর,ଚାରିଟି ରୋଷେଇ ଘର |
সনদ,ଚାର୍ଟର୍
চার্টিস্ট আন্দোলন (=চার্টিজম),ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍)
চার্টোফাইলাসিয়াম,ଚାର୍ଟୋଫିଲାସିୟମ୍ |
Chateau,Chateau |
চেক পোস্ট,ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |
রাসায়নিক যুদ্ধ,ରାସାୟନିକ ଯୁଦ୍ଧ |
চেস্টার,ଚେଷ୍ଟର୍ |
প্রধান,ମୁଖ୍ୟ
প্রধান,ମୁଖିଆ
প্রধান,ମୁଖିଆ
প্রধান,ମୁଖିଆ
শিফন,ଚିଫନ୍ |
বীরত্ব,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |
নির্বাচিত মানুষ,ମନୋନୀତ ଲୋକ
ক্রিসমোগ্রাফিয়ন,କ୍ରିସମୋଗ୍ରାଫିନ୍ |
খ্রিস্টধর্ম,ଖ୍ରୀଷ୍ଟଧର୍ମ
খ্রিস্টীয় যুগ,ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |
খ্রিস্টান সমাজতন্ত্র,ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |
ক্রনিকল,ଇତିହାସ
ক্রনিকলার,କ୍ରୋନିକଲର୍
Chryse Chersonese,କ୍ରିସ୍ ଚେରସୋନିସ୍ |
সিমেলিয়াম,ସିମେଲିୟମ୍ |
সিনকুয়েসেন্টো স্টাইল,ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |
পরিক্রমা,ସର୍କୁନାଭିଗେସନ୍ |
সিস্টারসিয়ান সন্ন্যাসী,ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |
সিটাডেল,ସୀତା
উদ্ধৃতি,ଉଦ୍ଧୃତ
উদ্ধৃতি,ଉଦ୍ଧୃତ
আইন অমান্য,ନାଗରିକ ଅବମାନନା |
গৃহযুদ্ধ,ଗୃହଯୁଦ୍ଧ |
সিভিস রোমানাস,ସିଭିସ୍ ରୋମାନସ୍ |
শাস্ত্রীয় বয়স,ଶାସ୍ତ୍ରୀୟ ବୟସ |
ক্লেফ্ট (=ক্লেফ্ট),କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ)
কেরানিবাদ,ଧର୍ମ ଧର୍ମ
ক্লারাচ,କ୍ଲାରଚ
ক্লুনিয়াক আন্দোলন,କ୍ଲୁନିୟକ୍ ଗତିବିଧି |
কোট বর্ম,କୋଟ ବାହୁ
অস্ত্রের কোট,କୋଟ୍
অস্ত্রের কোট,କୋଟ୍
অস্ত্রের কোট,କୋଟ୍
ডাকের কোট,କୋଟ୍ ମେଲ୍ |
সমদল,କୋହର୍ଟ |
কমিটিয়া,Comitia
Comitia Centuriata,Comitia Centuriata
কমিটিয়া কুরিয়াটা,Comitia Curiata
Comitia Tributa,Comitia Tributa
স্মারক খিলান,ସ୍ମରଣୀୟ ଆର୍
স্মারক মুদ্রা,ସ୍ମରଣୀୟ ମୁଦ୍ରା
স্মারক সীলমোহর,ସ୍ମରଣୀୟ ସିଲ୍ |
সাধারণ ক্ষেত্র,ସାଧାରଣ କ୍ଷେତ୍ର |
কমুনার্ড,କମ୍ୟୁନାର୍ଡ |
কনকর্ড্যাট,କନକର୍ଡେଟ୍ |
কনকর্ড্যাট,କନକର୍ଡେଟ୍ |
কনডোটিয়ের,କଣ୍ଡୋଟିଅର୍ |
নিশ্চিতকরণ Cartarum,ନିଶ୍ଚିତକରଣ କାର୍ଟାରମ୍ |
দ্বন্দ্ব,ଦ୍ୱନ୍ଦ୍ୱ |
ধর্মসভা,ମଣ୍ଡଳୀ
বিজয়ী রাষ্ট্র,ରାଜ୍ୟ ଜିତିବା |
বিজয়ী,ଜୟ
বিজয়ী,କନକ୍ୟୁଷ୍ଟାଡର୍ |
কনসিলিয়াম,କନସିଲିୟମ୍ |
কনসিস্টরি,ସ୍ଥିର
ষড়যন্ত্র,ଷଡଯନ୍ତ୍ର
ষড়যন্ত্র,ଷଡଯନ୍ତ୍ର
কনস্যুলেট,କନସୁଲେଟ୍ |
কনসুলেশন বই,କନସୁଲେସନ୍ ବୁକ୍ |
মহাদেশীয় ব্যবস্থা,କଣ୍ଟିନେଣ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |
কনভেনশন সংসদ,ସମ୍ମିଳନୀ ସଂସଦ |
কপারহেডস (=শান্তি গণতন্ত্রী),କପରହେଡ୍ସ (= ଶାନ୍ତି ଗଣତାନ୍ତ୍ରିକ)
কপিহোল্ড,କପିହୋଲ୍ଡ |
কর্ডনিং,କର୍ଡୋନିଂ |
করোনা,କରୋନା |
রাজ্যাভিষেক,କରୋନେସନ୍ |
রাজ্যাভিষেক পাথর,କରୋନେସନ୍ ପଥର |
কর্পাস,କର୍ପସ୍
কর্সেয়ার,କର୍ସାୟର୍ |
কর্সেয়ার,କର୍ସାୟର୍ |
কাঁচুলি (= কর্সেলেট),କର୍ସେଟ୍ (= କର୍ସଲେଟ୍)
কর্টেস,କର୍ଟସ୍ |
কোটার (=কোটিয়ার),କୁଟୀର (= କୁଟିଅର୍)
কোটার (=কোটিয়ার),କୁଟୀର (= କୁଟିଅର୍)
