Punjabi,Kannada
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,ಪ್ರವೇಶ ದೃಢೀಕರಣ
ਐਕਸੈਸ ਕੋਡ,ಪ್ರವೇಶ ಕೋಡ್
ਪਹੁੰਚ ਕੰਟਰੋਲ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ਐਕਸੈਸ ਸਕੈਨ,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
ਸਹਾਇਕ,ಪರಿಕರ
ਖਾਤਾ,ಖಾತೆ
ਖਾਤਾ ID,ಖಾತೆ ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ಸಂಚಯಕ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਪਹੁੰਚ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
ਐਕਸੈਸ ਇੰਡੈਕਸ,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
ਪਹੁੰਚ ਕੁੰਜੀ,ಪ್ರವೇಶ ಕೀ
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ਪਹੁੰਚ ਮੋਡ,ಪ್ರವೇಶ ಮೋಡ್
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,ಪ್ರವೇಶ ಸವಲತ್ತು
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,ಪ್ರವೇಶ ಭದ್ರತೆ
ਪਹੁੰਚ ਸਰਵਰ,ಪ್ರವೇಶ ಸರ್ವರ್
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ಪ್ರವೇಶ ಸಮಯ
ਮਾਨਤਾ,ಸ್ವೀಕೃತಿ
ਧੁਨੀ ਵਿਗਿਆਨ,ಅಕೌಸ್ಟಿಕ್ಸ್
ਸੰਖੇਪ ਸ਼ਬਦ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,ಕ್ರಿಯೆಯ ಸಂದೇಶ
ਸਰਗਰਮੀ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
acyclic,ಅಸೈಕ್ಲಿಕ್
acyclic ਗ੍ਰਾਫ਼,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
ਅਦਾ ਭਾਸ਼ਾ,ಅದಾ ಭಾಷೆ
ਅਡਾਪਟਰ,ಅಡಾಪ್ಟರ್
ਸ਼ਾਮਲ ਕਰੋ,ಸೇರಿಸಿ
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,ಕಡತವನ್ನು ಸೇರಿಸು
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
ਜੋੜਨ ਵਾਲਾ,ಸೇರಿಸುವವನು
ਪਤਾ,ವಿಳಾಸ
ਪਤਾ ਬੱਸ,ವಿಳಾಸ ಬಸ್
ਐਡਰੈੱਸ ਫਾਈਲ,ವಿಳಾಸ ಫೈಲ್
ਪਤਾ ਫਾਰਮੈਟ,ವಿಳಾಸ ಸ್ವರೂಪ
ਪਤਾ ਜਨਰੇਟਰ,ವಿಳಾಸ ಜನರೇಟರ್
ਐਡਰੈੱਸ ਲਾਈਨ,ವಿಳಾಸ ಸಾಲು
ਪਤਾ ਮੈਪਿੰਗ,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ਪਤਾ ਸੰਕੇਤਕ,ವಿಳಾಸ ಪಾಯಿಂಟರ್
ਪਤਾ ਰਜਿਸਟਰ,ವಿಳಾಸ ನೋಂದಣಿ
ਪਤਾ ਹੱਲ,ವಿಳಾಸ ನಿರ್ಣಯ
ਪਤਾ ਅਨੁਵਾਦ,ವಿಳಾಸ ಅನುವಾದ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
ਸੰਬੋਧਨ,ಉದ್ದೇಶಿಸಿ
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
adjoint,ಪಕ್ಕದ
ਪ੍ਰਸ਼ਾਸਨ,ಆಡಳಿತ
ਪ੍ਰਬੰਧਕ,ನಿರ್ವಾಹಕ
ਅਡੋਬ ਐਕਰੋਬੈਟ,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP)
ਉੱਨਤ ਡਾਟਾ,ಸುಧಾರಿತ ಡೇಟಾ
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
ਏਜੰਟ,ಏಜೆಂಟ್
ਏਕੀਕਰਨ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus ਪੇਜ ਮੇਕਰ,ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್
ਚੇਤਾਵਨੀ ਬਾਕਸ,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
ਐਲਗੋਲ,ಆಲ್ಗೋಲ್
ਐਲਗੋਰਿਦਮ,ಅಲ್ಗಾರಿದಮ್
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
ਉਪਨਾਮ,ಅಲಿಯಾಸ್
ਅਲਾਈਨਮੈਂਟ,ಜೋಡಣೆ
ਵੰਡ,ಹಂಚಿಕೆ
ਵਰਣਮਾਲਾ,ವರ್ಣಮಾಲೆಯ
ਅੱਖਰ ਅੰਕੀ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್
ਅਲਫ਼ਾ-ਟੈਸਟ,ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ
ਅਲਫ਼ਾ-ਵਰਜਨ,ಆಲ್ಫಾ-ಆವೃತ್ತಿ
alt ਕੁੰਜੀ,ಆಲ್ಟ್ ಕೀ
altavista,ಅಲ್ಟಾವಿಸ್ತಾ
ਅਸਪਸ਼ਟਤਾ,ಅಸ್ಪಷ್ಟತೆ
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII),ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII)
ਐਨਾਲਾਗ,ಅನಲಾಗ್
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
ਐਨਾਲਾਗ ਜੰਤਰ,ಅನಲಾಗ್ ಸಾಧನ
ਐਨਾਲਾਗ ਮਾਡਮ,ಅನಲಾಗ್ ಮೋಡೆಮ್
ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC),ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC)
ਅਤੇ,ಮತ್ತು
ਅਤੇ ਸਰਕਟ,ಮತ್ತು ಸರ್ಕ್ಯೂಟ್
ਅਤੇ ਗੇਟ,ಮತ್ತು ಗೇಟ್
ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
ਐਨੀਮੇਸ਼ਨ,ಅನಿಮೇಷನ್
ਐਨੋਟੇਸ਼ਨ,ಟಿಪ್ಪಣಿ
ਅਸੰਗਤਤਾ,ಅಸಂಗತತೆ
ਪੂਰਵ,ಪೂರ್ವಭಾವಿ
ਅਗਾਊਂ ਪੇਜਿੰਗ,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
ਵਿਰੋਧੀ ਸਮਰੂਪ,ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ
ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ,ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ
ਐਪਲਿਟ,ಆಪ್ಲೆಟ್
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API),ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ,ಅನ್ವಯಿಕ ಭಾಷೆ
ਅਨੁਮਾਨ ਥਿਊਰੀ,ಅಂದಾಜು ಸಿದ್ಧಾಂತ
ਆਰਕੀਟੈਕਚਰ,ವಾಸ್ತುಶಿಲ್ಪ
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,ಪ್ರದೇಶ ವರ್ಗಾವಣೆ
ਦਲੀਲ,ವಾದ
ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ,ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ
ਹਿਸਾਬ ਦੀ ਜਾਂਚ,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
ਅੰਕਿਤ ਸਥਿਰ,ಅಂಕಗಣಿತ ಸ್ಥಿರ
ਅੰਕਿਤ ਡੇਟਾ,ಅಂಕಗಣಿತದ ಡೇಟಾ
ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ,ಅಂಕಗಣಿತದ ಸೂಚನೆ
ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU),ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU)
ਅਰਪਨੇਟ,ಅರ್ಪಾನೆಟ್
ਐਰੇ,ಶ್ರೇಣಿ
ਐਰੇ ਕੈਸ਼,ರಚನೆಯ ಸಂಗ್ರಹ
ਐਰੇ ਕੰਪਿਊਟਰ,ಅರೇ ಕಂಪ್ಯೂಟರ್
ਐਰੇ ਤੱਤ,ರಚನೆಯ ಅಂಶ
ਐਰੇ ਨਾਮ,ರಚನೆಯ ಹೆಸರು
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
ਤੀਰ ਕੁੰਜੀਆਂ,ಬಾಣದ ಕೀಲಿಗಳು
ਉਚਾਰਨ,ಉಚ್ಚಾರಣೆ
ਬਿਆਨ ਬਿੰਦੂ,ಉಚ್ಚಾರಣಾ ಬಿಂದು
ਨਕਲੀ ਸੰਕੁਚਿਤ,ಕೃತಕ ಸಂಕೋಚನ
ਨਕਲੀ ਕੰਟਰੋਲ,ಕೃತಕ ನಿಯಂತ್ರಣ
ਬਣਾਵਟੀ ਗਿਆਨ,ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ
ਚੜ੍ਹਦਾ,ಆರೋಹಣ
ਵਧਦੀ ਲੜੀ,ಆರೋಹಣ ರೀತಿಯ
ASCII ਬੇਟਿਕਲ ਆਰਡਰ,ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್
ASCII ਕੰਟਰੋਲ ਅੱਖਰ,ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ
ASCII ਫਾਈਲ,ASCII ಫೈಲ್
ASCII ਫੌਂਟ,ASCII ಫಾಂಟ್
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII ವರ್ಗಾವಣೆ
ਆਕਾਰ ਅਨੁਪਾਤ,ಆಕಾರ ಅನುಪಾತ
ਏ.ਐਸ.ਪੀ.ਆਈ,ASPI
ASR ਟਾਈਮਰ,ASR ಟೈಮರ್
ਇਕੱਠਾ ਕਰਨਾ,ಜೋಡಿಸು
ਅਸੈਂਬਲਰ,ಅಸೆಂಬ್ಲರ್
ਅਸੈਂਬਲੀ,ಸಭೆ
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ,ಅಸೆಂಬ್ಲಿ ಭಾಷೆ
ਦਾਅਵਾ,ಪ್ರತಿಪಾದನೆ
ਅਸਾਈਨਮੈਂਟ,ನಿಯೋಜನೆ
ਐਸੋਸੀਏਸ਼ਨ,ಸಂಘ
ਸਹਿਯੋਗੀ ਪਤਾ,ಸಹಾಯಕ ವಿಳಾಸ
ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ,ಸಹಾಯಕ ಸ್ಮರಣೆ
ਤਾਰਾ,ಆಸ್ಟರಿಕ್
ਅਸਮਿਤ,ಅಸಮ್ಮಿತ
ਅਸਿੰਕ੍ਰੋਨਸ,ಅಸಮಕಾಲಿಕ
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
ਪਰਮਾਣੂ,ಪರಮಾಣು
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
ਨੱਥੀ ਫ਼ਾਈਲ,ಲಗತ್ತಿಸಲಾದ ಕಡತ
ਲਗਾਵ,ಬಾಂಧವ್ಯ
ਵਿਸ਼ੇਸ਼ਤਾ,ಗುಣಲಕ್ಷಣ
ਆਡੀਓ,ಆಡಿಯೋ
ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਆਡਿਟ ਟ੍ਰੇਲ,ಆಡಿಟ್ ಟ್ರಯಲ್
ਵਾਧਾ,ವರ್ಧನೆ
ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ,ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
ਲੇਖਕ ਪ੍ਰਣਾਲੀ,ಲೇಖಕ ವ್ಯವಸ್ಥೆ
ਅਧਿਕਾਰ,ಅಧಿಕಾರ
ਆਟੋ ਐਬਸਟਰੈਕਟ,ಸ್ವಯಂ ಅಮೂರ್ತ
ਆਟੋਬੂਟਿੰਗ,ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ
ਆਟੋਕੈਡ,ಆಟೋಕ್ಯಾಡ್
ਆਟੋਲੌਗ ਚਾਲੂ,ಸ್ವಯಂ ಲಾಗ್ ಆನ್
ਆਟੋਮੇਟਾ,ಸ್ವಯಂಚಾಲಿತ
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ,ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ
ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ,ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ
ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ,ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ,ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ
ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM),ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM)
ਆਟੋਮੇਸ਼ਨ,ಯಾಂತ್ರೀಕೃತಗೊಂಡ
ਸਵੈ ਚਾਲ,ಸ್ವಚಾಲಿತ
ਸਵੈ-ਸੰਭਾਲ,ಸ್ವಯಂ ಉಳಿಸಿ
ਸਹਾਇਕ,ಸಹಾಯಕ
ਸਹਾਇਕ ਮੈਮੋਰੀ,ಸಹಾಯಕ ಸ್ಮರಣೆ
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ
ਉਪਲਬਧ ਸੂਚੀ,ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ
ਉਪਲਬਧ ਸਮਾਂ,ಲಭ್ಯವಿರುವ ಸಮಯ
ਔਸਤ,ಸರಾಸರಿ
awk (ਭਾਸ਼ਾ),awk (ಭಾಷೆ)
ਬੈਕਐਂਡ,ಬ್ಯಾಕೆಂಡ್
ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ,ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್
ਬੈਕਫੇਸ ਹਟਾਉਣਾ,ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ
ਬੈਕਿੰਗ ਸਟੋਰ,ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ
ਬੈਕਪੈਚਿੰਗ,ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್
ਬੈਕਸਪੇਸ,ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್
ਬੈਕਟਰੈਕਿੰਗ,ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್
ਬੈਕ-ਅੱਪ,ಬ್ಯಾಕ್ ಅಪ್
ਬੈਕਅੱਪ ਮੈਮੋਰੀ,ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ
ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ,ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ
ਸੰਤੁਲਨ ਸ਼ੀਟ,ಆಯವ್ಯಯ ಪಟ್ಟಿ
ਜਥਾ,ಬ್ಯಾಂಡ್
ਬੈਂਡ ਚੌੜਾਈ,ಬ್ಯಾಂಡ್ ಅಗಲ
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್
ਬਾਰ ਕੋਡ,ಬಾರ್ ಕೋಡ್
ਬਾਰ ਕੋਡ ਸਕੈਨਰ,ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್
ਬਾਰ ਗ੍ਰਾਫ,ಬಾರ್ ಗ್ರಾಫ್
ਅਧਾਰ ਪਤਾ,ಮೂಲ ವಿಳಾಸ
ਅਧਾਰ ਬੈਂਡ,ಬೇಸ್ ಬ್ಯಾಂಡ್
ਅਧਾਰ ਨੰਬਰ,ಮೂಲ ಸಂಖ್ಯೆ
ਅਧਾਰ ਸਾਰਣੀ,ಬೇಸ್ ಟೇಬಲ್
ਬੇਸਿਕ,ಬೇಸಿಕ್
ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ,ಮೂಲ ನಿಯಂತ್ರಣ
ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ,ಮೂಲ ಇನ್ಪುಟ್
ਬੁਨਿਆਦੀ ਹਦਾਇਤ,ಮೂಲ ಸೂಚನೆ
ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ,ಮೂಲ ಔಟ್ಪುಟ್
ਬੁਨਿਆਦੀ ਕਦਮ,ಮೂಲ ಹಂತ
ਬੈਚ,ಬ್ಯಾಚ್
ਬੈਚ ਫਾਈਲ,ಬ್ಯಾಚ್ ಫೈಲ್
ਬੈਚ ਸਥਿਤੀ,ಬ್ಯಾಚ್ ಸ್ಥಾನ
ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ,ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ
ਬੈਚ ਸਿਸਟਮ,ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ
ਬੌਡ,ಬಾಡ್
ਬੌਡ ਦਰ,ಬೌಡ್ ದರ
ਬੀਮ,ಕಿರಣ
ਬੇਂਚਮਾਰਕ,ಮಾನದಂಡ
ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ,ದ್ವಿಮುಖ ಸಂವಹನ
ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ,ದ್ವಿಮುಖ ಲಿಂಕ್
ਬਾਈਨਰੀ ਕੋਡ,ಬೈನರಿ ಕೋಡ್
ਬਾਈਨਰੀ ਅੰਕ,ದ್ವಿಮಾನ ಅಂಕಿ
ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS),ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS)
ਬਾਈਨਰੀ ਨੰਬਰ,ಬೈನರಿ ಸಂಖ್ಯೆ
ਬਾਈਨਰੀ ਆਪਰੇਟਰ,ಬೈನರಿ ಆಪರೇಟರ್
ਬਾਈਨਰੀ ਸਬੰਧ,ದ್ವಿಮಾನ ಸಂಬಂಧ
ਬਾਈਨਰੀ ਖੋਜ,ಬೈನರಿ ಹುಡುಕಾಟ
