Odiya,Hindi
ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |,अनुरूप से अंकीय
ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |,अनुरूप-अंकीय परिवर्तक
ଆନାଗଲ୍ ଭିଡିଓ |,अनुरूप वीडियो
ଅନୁରୂପ,"अनुरूप, स–श"
ଆନାଲୋଜି,अनुरूपता
ବିଶ୍ଳେଷଣ |,विष्लेषण
ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,आंकड़ा विष्लेषण
ଆନାଲିଟିକାଲ୍ ଘନତା |,विष्लेषी घनत्व
ବିଶ୍ଳେଷଣ କର |,विष्लेषण करना
ଆନିପ୍ରିଣ୍ଟେଜର |,विष्लेषक
ଅର୍କିଲିଡିଆ ଉପକରଣ |,सहायक उपस्कर
ଏବଂ ଫାଟକ,"ऐन्ड गेट, तथा द्वार, AND गेट"
କଲିମିର କୋଣ |,समांतरण कोण
ପୋଲାରାଇଜେସନ୍ କୋଣ |,धुवण कोण
ଘୂର୍ଣ୍ଣନର କୋଣ |,घूर्णन कोण
Agtstom (å),ऐंग्स्ट्रम(Å)
କୋଣାର୍କ,"कोणीय, d¨f.kd"
କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |,d¨.kh; त्वरण
କୋଣାର୍କ ସମବେଦନା |,कोणीय निर्देशांक
କୋଣାର୍କ ବିବେକ |,कोणीय विक्षेपण
କୋଣାର୍କ ବିପରୀତ |,कोणीय परिक्षेपण
କୋଣାର୍କ ବିସ୍ଥାପନ |,कोणीय विस्थापन
କୋଣାର୍କ ତ୍ରୁଟି |,कोणीय त्रुटि
କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |,कोणीय आवृत्ति
କୋଣାର୍କ ଗତି |,कोणीय संवेग
କୋଣାର୍କ ଗତି,कोणीय गति
କୋଣାର୍କ ବେଗ |,कोणीय वेग
ଆନିମେସନ୍,"ऐनीमेशन, सजीवन"
Anode,ऐनोड
Anodod ବ୍ୟାଟେରୀ |,ऐनोड बैटरी
Andod ବ istic ଶିଷ୍ଟ୍ୟ |,ऐनोड अभिलक्षण
ଆନୋଡ ସର୍କିଟ୍ |,ऐनोड परिपथ
ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ,ऐनोड क्षय
ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |,ऐनोड दक्षता
ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |,ऐनोड निवेश षक्ति
ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |,ऐनोड मॉडुलन
ଆଣ୍ଟେନା |,ऐन्टेना
ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |,ऐन्टेना किरणपुंज चौड़ाई
ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |,ऐन्टेना वर्धक
ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |,ऐन्टेना परिवर्तन स्विच
ଆଣ୍ଟେନା କୋଇଲ୍ |,ऐन्टेना कुंडली
ଆଣ୍ଟେନା ବିନ୍ୟାସ,"ऐन्टेना विन्यास, ऐन्टेना संरूपण"
ଆଣ୍ଟେନା କପଟର୍ |,ऐन्टेना युग्मक
ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |,ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप
ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |,ऐन्टेना धारा
ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |,ऐन्टेना दैशिकता लब्धि
ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |,ऐन्टेना द्वैध संकेतक
ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |,ऐन्टेना प्रभावी क्षेत्र
ଆଣ୍ଟେନା ଦକ୍ଷତା |,ऐन्टेना दक्षता
ଆଣ୍ଟେନା ଫିଡ୍ |,ऐन्टेना प्रभरण
ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |,ऐन्टेना व्याप्ति
ଆଣ୍ଟେନା ଲାଭ,ऐन्टेना लब्धि
ଆଣ୍ଟେନା ଉଚ୍ଚତା |,ऐन्टेना ऊंचाई
ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |,ऐन्टेना प्रतिबाधा
ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |,ऐन्टेना प्रेरकत्व
ଆଣ୍ଟେନା ପାଟର୍ନ |,ऐन्टेना प्रतिरूप
ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |,"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक"
ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |,ऐन्टेना धुवण
ଆଣ୍ଟେନା ଶକ୍ତି |,ऐन्टेना षक्ति
ଆଣ୍ଟେନା ପାୱାର ଲାଭ |,ऐन्टेना षक्ति लब्धि
ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |,ऐन्टेना विकिरण प्रतिरोध
ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |,ऐन्टेना प्रतिघात
ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |,ऐन्टेना परावर्तक
ଆଣ୍ଟେନା ପ୍ରତିରୋଧ,ऐन्टेना प्रतिरोध
ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |,ऐन्टेना अनुनादी आवृत्ति
ଆଣ୍ଟେନା ବ୍ୟବଧାନ |,ऐन्टेना अंतरालन
ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |,ऐन्टेना स्विचन कक्ष
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |,ऐन्टेना समस्वरक कुंडली
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |,ऐन्टेना समस्वरक कुटीर
ଆପେଚର,द्वारक
ଆପୋଲେଜ୍,"भूमि उच्च, अपभू"
ଆପୋଲେ ରକେଟ୍ |,अपभू राकेट
ଉପକରଣ,उपकरण
ସ୍ପଷ୍ଟ,आभासी
ଆପଲେଟ୍,ऐपलेट (जावा में प्रोग्राम)
ପ୍ରୟୋଗ,"अनुप्रयोग, आवेदन"
ଆନୁମାନିକ,"आसन्न, लगभग, सन्निकट"
ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |,जलीय घोल
ଆର୍କ,"चाप, आर्क"
ସ୍ଥାପତ୍ୟ,"संरचना, स्थापत्यकला, वास्तुकला"
ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |,पुरालेखीय ध्वनि-अभिलेखन अंतरण
ଅଭିଲେଖାଗାର,अभिलेखागार; पुरालेख
ଗାଣିତିକ କୋଡିଂ |,अंकगणितीय कोडन
ଅର୍ଗର,आर्मेचर
ଅରତା ପବନ,"आर्मेचर कुंडलन, आर्मेचर कुंडली"
ଆରେ,"व्यूह, सरणी"
ଆରେଷ୍ଟ୍ରର୍,"प्रग्राही, निरोधक"
ଆର୍ଟଲେସନ୍,सुस्पष्ट उच्चारण
କଳାକୃତି (= କଳାକୃତି),शिल्पतथ्य; छविदोष
ଆରୋହଣ,आरोहण
ଆନୁମାନିକ ଅନୁପାତ,अभिमुखता अनुपात
ଏକତ୍ରିତ |,समायोजक
ଧାରଣା,निष्चयन
ଆସାଇନମେଣ୍ଟ,"समनुदेशन, नियत कार्य"
ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |,नियतन चैनल
ଅସମାନଗତ,असममित
ଅସନ୍ତୁଳିତ,अतुल्यकालिक
ବାୟୁମଣ୍ଡଳ,वायुमंडल
ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |,वायुमंडलीय हानि
ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |,वायुमंडलीय रव
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,वायुमंडलीय दाब
ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |,वायुमंडलीय संचरण
ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |,वायुमंडलीय रेडियो तरंग
ବାୟୁମଣ୍ଡଳ,वायु-वैद्युत् क्षोभ
ପରମାଣୁ,परमाणु
ପରମାଣୁ ଗଠନ,परमाणु संरचना
ସଂଲଗ୍ନ,संलग्नक
ସାଧନ,क्षीणन
ଆଟେନେସନ୍ କ୍ଷତି |,क्षीणन हानि
ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |,ध्वनि तरंग क्षीणन
ଆଟେଟୋଲେଟର୍ |,क्षीणकारी
ଆଟେନୁଏଟର୍-ପ୍ୟାଡ୍ |,क्षीणकारी पैड
ପରିମାପ ସୀମା,श्रव्यता देहली
ମୂଳଦୁଆ,श्रव्य
ଶରଣଯୋଗର ଫ୍ରିକ୍ୱେନ୍ସି |,श्रव्य आवृत्ति
ଶ୍ରବଣୀୟ ସ୍ୱର,श्रव्य स्वरक
ଶ୍ରୋଚନା-ସ୍ପେକ୍ଟ୍ରମ୍ |,श्रव्य स्पेक्ट्रम
ଦର୍ଶକ |,"श्रोतागण, दर्शकगण, श्रोता समुदाय"
ଅଡିଓ,"श्रव्य, ऑडियो"
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,श्रव्य प्रवर्धक
ଅଡିଓ ଆନାଲିଜର |,श्रव्य विष्लेषक
ଅଡିଓ ପ୍ରସାରଣକାରୀ |,श्रव्य प्रसारण
ଅଡିଓ କେବୁଲ୍ |,"श्रव्य केबल, ऑडियो केबल"
ଅଡିଓ ଶୃଙ୍ଖଳା,श्रव्य  शृंखला
ଅଡିଓ କୋଡେକ,"श्रव्य कोडेक, श्रव्य कोडक-विकोडक"
ଅଡିଓ ସଙ୍କୋଚନ |,श्रव्य संपीडन
ଅଡିଓ ସଙ୍କୋଚନ |,श्रव्य संपीडक
ଅଡିଓ କୋନସୋଲ |,श्रव्य कंसोल
ଅଡିଓ ବିକୃତ |,श्रव्य विरूपण
ଅଡିଓ ଗତିଶୀଳ ପରିସର |,"श्रव्य गतिक सीमा, श्रव्य गतिक परास"
ଅଡିଓ ଫାଇଲ୍ ଫର୍ମାଟ୍ |,श्रव्य संचिका आरूप
ଅଡିଓ ଫ୍ରେମ୍ ଫର୍ମାଟ୍ |,श्रव्य फ्रेम आरूप
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |,श्रव्य आवृत्ति प्रवर्धक
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଜେନେରେଟର |,श्रव्य आवृत्ति जनित्र
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ରେଞ୍ଜ |,श्रव्य आवृत्ति परास
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିକ୍ରିୟା |,श्रव्य आवृत्ति अनुक्रिया
ଅଡିଓ ସୀମା,श्रव्य सीमक
ଅଡିଓ ରେଖା |,श्रव्य लाइन
ଅଡିଓ ମିକ୍ସର୍ |,श्रव्य मिश्रक
ଅଡିଓ ମୋଣ୍ଟୁଲେସନ୍ |,श्रव्य मॉडुलन
ଅଡିଓ ଓସକ୍ଲଟର |,"श्रव्य दोलक, श्रव्य दोलित्र"
ଅଡିଓ ଆଉଟପୁଟ୍,श्रव्य निर्गत
ଅଡିଓ ଶକ୍ତି |,श्रव्य षक्ति
ଅଡିଓ ଗୁଣ,श्रव्य गुणवत्ता
ଅଡିଓ ସଙ୍କେତ,"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल"
ଅଡିଓ ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |,श्रव्य संकेत प्रक्रमण
ଅଡିଓ ସ୍ପେକ୍ଟ୍ରମ୍,"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम"
ଅଡିଓ ଷ୍ଟୋରେଜ୍ |,श्रव्य भंडारण
ଅଡିଓ ସବ୍-କ୍ୟାରିଅର୍ |,श्रव्य (आवृत्ति) उपवाहक
ଅଡିଓ ଟ୍ରାନ୍ସଫର୍ମର |,श्रव्य रूपांतरक
ଅଡିଓ ଟ୍ରାନ୍ସମିଟର |,श्रव्य प्रेषित्र
ଅଡିଓ / ଭିଡିଓ ସଙ୍କୋଚନ |,–श्य/श्रव्य संपीडन
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ଓସକ୍ଲୁଟର |,श्रव्य आवृत्ति दोलक
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ସିଗ୍ନାଲ୍ |,"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल"
ଅଡିଓମେଟ୍ରି |,श्रव्यमिति
ଅଡିଓ-ଭିଜୁଆଲ୍ ସାହାଯ୍ୟ |,–ष्य-श्रव्य साधन
ଅଡିଟୋରୀ ଧାରଣା |,श्रवण बोध
ପ୍ରାମାଣିକିକରଣ,"अधिप्रमाणन, प्रमाणीकरण"
ପ୍ରାଧିକୃତ ବାହକ ଫ୍ରିକ୍ୱେନ୍ସି |,"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति"
ଅଟୋ କ୍ୟାଡ୍,"ऑटो कैड, ऑटो CAD"
ଅଟୋ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |,स्वतः नैदानिकी
ସ୍ୱୟଂଚାଳିତ |,"स्वचल, स्वचालित, स्वतः, स्व"
ସ୍ୱୟଂଚାଳିତ ନିୟନ୍ତ୍ରଣ |,स्वतः नियंत्रण
ସ୍ୱୟଂଚାଳିତ ଚିହ୍ନଟ |,स्वतः संसूचन
ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ରପାତି |,स्वचालित उपस्कर
ସ୍ୱୟଂଚାଳିତ ଫ୍ରିକ୍ୱେନ୍ସି କଣ୍ଟ୍ରୋଲ୍ |,स्वतःआवृत्ति नियंत्रण
ସ୍ୱୟଂଚାଳିତ ସୀମା |,स्वचालित सीमक
ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ର,स्वचालित मशीन
ସ୍ୱୟଂଚାଳିତ ଫାସା ନିୟନ୍ତ୍ରଣ |,स्वतः कला नियंत्रण
ସ୍ୱୟଂଚାଳିତ ଚିତ୍ର ଟ୍ରାନ୍ସମିସନ୍ |,स्वतः चित्र प्रेषण
ସ୍ୱୟଂଚାଳିତ ପ୍ଲେକ୍ |,"स्व प्रतिश्रवण, स्व प्रति–श्यण"
ସ୍ୱୟଂଚାଳିତ ଶକ୍ତି ନିୟନ୍ତ୍ରଣ |,स्वतः षक्ति नियंत्रण
