Telugu,Hindi
ఎక్రోనిం,संक्षिप्त रूप
కార్యాచరణ ప్రాంతం,कार्य क्षेत्र
సక్రియం చేయబడిన ఫిలమెంట్,"सक्रियकृत तंतु, सक्रियित तंतु"
క్రియాశీల,सक्रिय
క్రియాశీల ప్రాంతం,सक्रिय क्षेत्र
క్రియాశీల విండో,सक्रिय विंडो
అనుకూలత,अनुकूलनीयता
అడాప్టర్,"अनुकूलक, अनुकूलित्र"
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,अनुकूली विभेदी स्पंद कोड मॉडुलन
చిరునామా పుస్తకం,"पता पुस्तिका, एड्रेस बुक"
చిరునామా బస్సు,"पता बस, एड्रेस बस"
చిరునామా తీర్మానం,"पता विभेदन, एड्रेस विभेदन"
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण"
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता"
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,आसन्न आवृत्ति
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,आसन्न आवृत्ति चैनल
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,"आसन्न चित्र वाहक, संलग्न वीडियो वाहक"
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,आसन्न ध्वनि वाहक
ప్రక్కనే ఉన్న స్టేషన్,"निकटवतब स्टेशन, निकटवतब केंद्र"
సర్దుబాటు,समायोज्य
సర్దుబాటు కండెన్సర్,समायोज्य संधारित्र
సర్దుబాటు ఒత్తిడిని,समायोज्य दाब
రెంచ్ సర్దుబాటు,समायोजी रिंच
సర్దుబాటు,समायोजन
నిర్వాహకుడు,"प्रशासक, नियंत्रक"
అధునాతన సాంకేతిక పరిజ్ఞానం,उन्नत प्रौद्योगिकी
ఆకాశయాన,"एरियल (ऐन्टेना), आकाशी, वायव, हवाई"
వైమానిక శ్రేణి,एरियल व्यूह
వైమానిక బూస్టర్,"एरियल वर्धक, ऐन्टेना वर्धक"
వైమానిక ప్రవాహం,ऐन्टेना धारा
వైమానిక ఎర్తింగ్ స్విచ్,ऐन्टेना भूसंपर्कक स्विच
వైమానిక సామర్థ్యం,ऐन्टेना दक्षता
వైమానిక ఇంపెడెన్స్,ऐन्टेना प्रतिबाधा
వైమానిక ఇండక్టెన్స్,ऐन्टेना प्रेरकत्व
వైమానిక అవాహకం,ऐन्टेना विद्तरोधी
వైమానిక లోడింగ్ కాయిల్,ऐन्टेना भारण कुंडली
వైమానిక ఫోటోగ్రఫీ,आकाषी फोटोग्राफी
వైమానిక శక్తి,ऐन्टेना षक्ति
వైమానిక రేడియేషన్ రీస్టెన్స్,आकाशी विकिरण प्रतिरोध
వైమానిక ప్రతిచర్య,ऐन्टेना प्रतिघात
ఏరోడైనమిక్స్,वायुगतिकी
ఏజెన్సీ,"एजेंसी, अभिकरण"
వాయువుని కుదించునది,वायु संपीडक
ఎయిర్ కండెన్సర్,वायु संधारित्र
గాలి చల్లబడింది,वायुशीतित
ఎయిర్ కోర్డ్ కాయిల్,वायु क्रोडित कुंडली
ఎయిర్ కండిషనింగ్,वातानुकूलन
ఆల్బెడో,ऐल्बीडो
అల్గోరిథం,"कलन विधि, एल्गोरिथ्म"
అలియాసింగ్,एलियासिंग
సమలేఖనం,संरेखण
అమరిక,संरेखण
అన్ని వేవ్ వైమానిక,सर्व तरंग एरियल
కేటాయింపు,नियतन
అక్షరాలు,"वर्णक्रमीय, वर्णक्रमिक"
ఆల్ఫాన్యూమరిక్,अक्षरांकीय
ఆల్ఫాన్యూమరిక్ పాత్ర,अक्षरांकीय संप्रतीक
ఆల్ఫాన్యూమరిక్ సమాచారం,अक्षरांकीय सूचना
ప్రత్యామ్నాయ కరెంట్ (a.c.),प्रत्यावतब धारा (ए सी)
ప్రత్యామ్నాయం,प्रत्यावर्तन
ఆల్టర్నేటర్,"प्रत्यावर्तक, प्रत्यावर्तित्र"
ఎత్తు,"तुंगता, उन्नतांश, शीर्षलंब"
పొక్కు ఎత్తు,अपभू-तुंगता
మూత యొక్క ఎత్తు,उपभू-तुंगता
Te త్సాహిక రేడియో కమ్యూనికేషన్,अव्यावसायिक रेडियो संचार
వాతావరణం,परिवेश
వాతావరణ మైక్రోఫోన్,परिवेश माइक्रोफोन
పరిసర పరిస్థితి,परिवेशी दशा
పరిసర లైటింగ్,परिवेश प्रकाश व्यवस्था
పరిసర శబ్దం,परिवेशी रव
పరిసర ఉష్ణోగ్రత,"परिवेशी ताप, परिवेश ताप"
అమెరికన్ స్టాండర్డ్ కోడ్,अमरीकी मानक कोड
Ampere,ऐम्पियर
ఆంపియర్ మీటర్,ऐम्पियर मापी
విస్తరణ,प्रवर्धन
యాంప్లిఫికేషన్ కారకం,प्रवर्धन गुणक
యాంప్లిఫైయర్,प्रवर्धक
యాంప్లిఫైయర్ లాభం,प्रवर्धक लब्धि
యాంప్లిఫైయర్ శబ్దం,प्रवर्धक रव
పరికరాలను విస్తరించడం,प्रवर्धन उपस्कर
క్లైస్ట్రాన్ విస్తరించడం,प्रवर्धन क्लाइस्ट्रॉन
యాంప్లిఫైయింగ్ యూనిట్,प्रवर्धन एकक
వ్యాప్తి,"आयाम, कोणांक"
వ్యాప్తి వక్రీకరణ,आयाम विरूपण
వ్యాప్తి విహారయాత్ర,आयाम प्रसार
వ్యాప్తి కారకం,आयाम गुणक
వ్యాప్తి పరిమితి,आयाम सीमक
వ్యాప్తి మాడ్యులేటెడ్,आयाम मॉडुलित
యాంప్లిట్యూడ్ మాడ్యులేషన్,आयाम मॉडुलन
అనలాగ్ (అనలాగ్),"अनुरूप, एनालॉग"
అనలాగ్ సర్క్యూట్,अनुरूप परिपथ
అనలాగ్ కంప్యూటర్,अनुरूप कंप्यूटर
ఫ్రీక్వెన్సీ ఛానల్,अनुरूप रेडियो आवृत्ति चैनल
అనలాగ్ ప్రాతినిధ్యం,अनुरूप निरूपण
అనలాగ్ సిగ్నల్,"अनुरूप संकेत, अनुरूप सिगनल"
డిజిటల్‌కు అనలాగ్,अनुरूप से अंकीय
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,अनुरूप-अंकीय परिवर्तक
అనలాగ్ వీడియో,अनुरूप वीडियो
సారూప్యత,"अनुरूप, स–श"
సారూప్యత,अनुरूपता
విశ్లేషణ,विष्लेषण
డేటా యొక్క విశ్లేషణ,आंकड़ा विष्लेषण
విశ్లేషణాత్మక సాంద్రత,विष्लेषी घनत्व
విశ్లేషించడానికి,विष्लेषण करना
ఎనలైజర్,विष्लेषक
సహాయక పరికరాలు,सहायक उपस्कर
మరియు గేట్,"ऐन्ड गेट, तथा द्वार, AND गेट"
కొలిమేషన్ యొక్క కోణం,समांतरण कोण
ధ్రువణ కోణం,धुवण कोण
భ్రమణ కోణం,घूर्णन कोण
గోరు,ऐंग्स्ट्रम(Å)
కోణీయ,"कोणीय, d¨f.kd"
కోణీయ త్వరణం,d¨.kh; त्वरण
కోణీయ సమన్వయాలు,कोणीय निर्देशांक
కోణీయ విక్షేపం,कोणीय विक्षेपण
కోణీయ చెదరగొట్టడం,कोणीय परिक्षेपण
కోణీయ స్థానభ్రంశం,कोणीय विस्थापन
కోణీయ లోపం,कोणीय त्रुटि
కోణీయ పౌన .పున్యం,कोणीय आवृत्ति
కోణీయ మొమెంటం,कोणीय संवेग
కోణీయ కదలిక,कोणीय गति
కోణీయ వేగం,कोणीय वेग
యానిమేషన్,"ऐनीमेशन, सजीवन"
యానోడ్,ऐनोड
యానోడ్ బ్యాటరీ,ऐनोड बैटरी
యానోడ్ లక్షణం,ऐनोड अभिलक्षण
యానోడ్ సర్క్యూట్,ऐनोड परिपथ
యానోడ్ వెదజల్లడం,ऐनोड क्षय
యానోడ్ సామర్థ్యం,ऐनोड दक्षता
యానోడ్ ఇన్పుట్ శక్తి,ऐनोड निवेश षक्ति
యానోడ్ మాడ్యులేషన్,ऐनोड मॉडुलन
యాంటెన్నా,ऐन्टेना
యాంటెన్నా బీమ్విడ్త్,ऐन्टेना किरणपुंज चौड़ाई
యాంటెన్నా బూస్టర్,ऐन्टेना वर्धक
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,ऐन्टेना परिवर्तन स्विच
యాంటెన్నా కాయిల్,ऐन्टेना कुंडली
యాంటెన్నా కాన్ఫిగరేషన్,"ऐन्टेना विन्यास, ऐन्टेना संरूपण"
యాంటెన్నా కప్లర్,ऐन्टेना युग्मक
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप
యాంటెన్నా కరెంట్,ऐन्टेना धारा
యాంటెన్నా డైరెక్టివిటీ లాభం,ऐन्टेना दैशिकता लब्धि
యాంటెన్నా డ్యూప్లెక్సర్,ऐन्टेना द्वैध संकेतक
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,ऐन्टेना प्रभावी क्षेत्र
యాంటెన్నా సామర్థ్యం,ऐन्टेना दक्षता
యాంటెన్నా ఫీడ్,ऐन्टेना प्रभरण
యాంటెన్నా ఫుట్ ప్రింట్,ऐन्टेना व्याप्ति
యాంటెన్నా లాభం,ऐन्टेना लब्धि
యాంటెన్నా ఎత్తు,ऐन्टेना ऊंचाई
యాంటెన్నా ఇంపెడెన్స్,ऐन्टेना प्रतिबाधा
యాంటెన్నా ఇండక్టెన్స్,ऐन्टेना प्रेरकत्व
యాంటెన్నా నమూనా,ऐन्टेना प्रतिरूप
యాంటెన్నా ప్లెక్సర్,"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक"
యాంటెన్నా ధ్రువణత,ऐन्टेना धुवण
యాంటెన్నా శక్తి,ऐन्टेना षक्ति
యాంటెన్నా శక్తి లాభం,ऐन्टेना षक्ति लब्धि
యాంటెన్నా రేడియేషన్ నిరోధకత,ऐन्टेना विकिरण प्रतिरोध
యాంటెన్నా రియాక్టెన్స్,ऐन्टेना प्रतिघात
యాంటెన్నా రిఫ్లెక్టర్,ऐन्टेना परावर्तक
యాంటెన్నా నిరోధకత,ऐन्टेना प्रतिरोध
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,ऐन्टेना अनुनादी आवृत्ति
యాంటెన్నా స్పేసింగ్,ऐन्टेना अंतरालन
యాంటెన్నా స్విచింగ్ రూమ్,ऐन्टेना स्विचन कक्ष
యాంటెన్నా ట్యూనింగ్ కాయిల్,ऐन्टेना समस्वरक कुंडली
యాంటెన్నా ట్యూనింగ్ హట్,ऐन्टेना समस्वरक कुटीर
ఎపర్చరు,द्वारक
అపోజీ,"भूमि उच्च, अपभू"
అపోజీ రాకెట్,अपभू राकेट
ఉపకరణం,उपकरण
స్పష్టంగా,आभासी
ఆప్లెట్,ऐपलेट (जावा में प्रोग्राम)
అప్లికేషన్,"अनुप्रयोग, आवेदन"
సుమారు,"आसन्न, लगभग, सन्निकट"
అక్వేస్ ద్రావణం,जलीय घोल
ఆర్క్,"चाप, आर्क"
వాస్తుశిల్పం,"संरचना, स्थापत्यकला, वास्तुकला"
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,पुरालेखीय ध्वनि-अभिलेखन अंतरण
ఆర్కైవ్స్,अभिलेखागार; पुरालेख
అంకగణిత కోడింగ్,अंकगणितीय कोडन
ఆర్మేచర్,आर्मेचर
ఆర్మేచర్ వైండింగ్,"आर्मेचर कुंडलन, आर्मेचर कुंडली"
అమరిక,"व्यूह, सरणी"
అరేస్టర్,"प्रग्राही, निरोधक"
ఉచ్చారణ,सुस्पष्ट उच्चारण
(= కళాఖండము,शिल्पतथ्य; छविदोष
ఆరోహణ,आरोहण
కారక నిష్పత్తి,अभिमुखता अनुपात
సమీకరించేవాడు,समायोजक
వాదన,निष्चयन
అప్పగింత,"समनुदेशन, नियत कार्य"
అసైన్‌మెంట్ ఛానల్,नियतन चैनल
అసమాన,असममित
అసమకాలిక,अतुल्यकालिक
వాతావరణం,वायुमंडल
వాతావరణ నష్టం,वायुमंडलीय हानि
వాతావరణ శబ్దం,वायुमंडलीय रव
వాతావరణ పీడనం,वायुमंडलीय दाब
వాతావరణ ప్రచారం,वायुमंडलीय संचरण
వాతావరణ రేడియో-వేవ్,वायुमंडलीय रेडियो तरंग
వాతావరణం,वायु-वैद्युत् क्षोभ
అణువు,परमाणु
అణు నిర్మాణం,परमाणु संरचना
అటాచ్మెంట్,संलग्नक
అటెన్యుయేషన్,क्षीणन
అటెన్యుయేషన్ నష్టం,क्षीणन हानि
ధ్వని తరంగాల యొక్క అటకన,ध्वनि तरंग क्षीणन
అటెన్యూయేటర్,क्षीणकारी
అటెన్యూయేటర్-ప్యాడ్,क्षीणकारी पैड
విడిబిలిటీ థ్రెషోల్డ్,श्रव्यता देहली
వినగల,श्रव्य
వినగల ఫ్రీక్వెన్సీ,श्रव्य आवृत्ति
వినగల స్వరం,श्रव्य स्वरक
వినగల-స్పెక్ట్రం,श्रव्य स्पेक्ट्रम
ప్రేక్షకులు,"श्रोतागण, दर्शकगण, श्रोता समुदाय"
ఆడియో,"श्रव्य, ऑडियो"
ఆడియో యాంప్లిఫైయర్,श्रव्य प्रवर्धक
ఆడియో ఎనలైజర్,श्रव्य विष्लेषक
ఆడియో ప్రసారం,श्रव्य प्रसारण
ఆడియో కేబుల్,"श्रव्य केबल, ऑडियो केबल"
ఆడియో గొలుసు,श्रव्य  शृंखला
ఆడియో కోడెక్,"श्रव्य कोडेक, श्रव्य कोडक-विकोडक"
ఆడియో కుదింపు,श्रव्य संपीडन
ఆడియో కంప్రెసర్,श्रव्य संपीडक
ఆడియో కన్సోల్,श्रव्य कंसोल
ఆడియో వక్రీకరణ,श्रव्य विरूपण
ఆడియో డైనమిక్ పరిధి,"श्रव्य गतिक सीमा, श्रव्य गतिक परास"
ఆడియో ఫైల్ ఫార్మాట్,श्रव्य संचिका आरूप
ఆడియో ఫ్రేమ్ ఫార్మాట్,श्रव्य फ्रेम आरूप
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,श्रव्य आवृत्ति प्रवर्धक
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,श्रव्य आवृत्ति जनित्र
ఆడియో ఫ్రీక్వెన్సీ పరిధి,श्रव्य आवृत्ति परास
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,श्रव्य आवृत्ति अनुक्रिया
ఆడియో పరిమితి,श्रव्य सीमक
ఆడియో లైన్,श्रव्य लाइन
ఆడియో మిక్సర్,श्रव्य मिश्रक
ఆడియో మాడ్యులేషన్,श्रव्य मॉडुलन
ఆడియో ఓసిలేటర్,"श्रव्य दोलक, श्रव्य दोलित्र"
ఆడియో అవుట్పుట్,श्रव्य निर्गत
ఆడియో శక్తి,श्रव्य षक्ति
ఆడియో నాణ్యత,श्रव्य गुणवत्ता
ఆడియో సిగ్నల్,"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल"
ఆడియో సిగ్నల్ ప్రాసెసింగ్,श्रव्य संकेत प्रक्रमण
ఆడియో స్పెక్ట్రం,"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम"
ఆడియో నిల్వ,श्रव्य भंडारण
ఆడియో సబ్ క్యారియర్,श्रव्य (आवृत्ति) उपवाहक
ఆడియో ట్రాన్స్ఫార్మర్,श्रव्य रूपांतरक
ఆడియో ట్రాన్స్మిటర్,श्रव्य प्रेषित्र
శ్రవణ/వీడియో కుదింపు,–श्य/श्रव्य संपीडन
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,श्रव्य आवृत्ति दोलक
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल"
ఆడియోమెట్రీ,श्रव्यमिति
ఆడియో-విజువల్ ఎయిడ్,–ष्य-श्रव्य साधन
శ్రవణ అవగాహన,श्रवण बोध
ప్రామాణీకరణ,"अधिप्रमाणन, प्रमाणीकरण"
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति"
ఆటో క్యాడ్,"ऑटो कैड, ऑटो CAD"
ఆటో డయాగ్నస్టిక్స్,स्वतः नैदानिकी
ఆటోమేటిక్,"स्वचल, स्वचालित, स्वतः, स्व"
స్వయంచాలక నియంత్రణ,स्वतः नियंत्रण
ఆటోమేటిక్ డిటెక్షన్,स्वतः संसूचन
స్వయంచాలక పరికరాలు,स्वचालित उपस्कर
ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్,स्वतःआवृत्ति नियंत्रण
ఆటోమేటిక్ లిమిటర్,स्वचालित सीमक
ఆటోమేటిక్ మెషిన్,स्वचालित मशीन
ఆటోమేటిక్ ఫేసే నియంత్రణ,स्वतः कला नियंत्रण
ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్,स्वतः चित्र प्रेषण
ఆటోమేటిక్ ప్లేబ్యాక్,"स्व प्रतिश्रवण, स्व प्रति–श्यण"
ఆటోమేటిక్ పవర్ కంట్రోల్,स्वतः षक्ति नियंत्रण
ఆటోమేటిక్ ప్రోగ్రామింగ్,"स्वतःप्रोग्रामन, स्वतः क्रमादेशन"
ఆటోమేటిక్ రికార్డింగ్,स्वतः अभिलेखन
ఆటోమేటిక్ రీసెట్,स्वतः पुनः स्थापन
ఆటోమేటిక్ షట్టర్,स्वचालित कपाट
ఆటోమేటిక్ సిస్టమ్,स्वचल तंत्र
ఆటోమేటిక్ టెలిఫోన్,स्वचालित टेलीफोन
స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ,स्वतः ताप-नियंत्रण
ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్,स्वतः वोल्टता नियामक
ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్,स्वतः प्रबलता संपीडक
ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్,स्वतः प्रबलता नियंत्रक
ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్,स्वतः प्रबलता विस्तारक
ఆటోమేషన్,स्वचालन
ఆటోమేషన్ నియంత్రణ,"स्वचालन नियंत्रण, स्वतः नियंत्रण, स्वनियंत्रण"
ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్,स्वतः आवृत्ति नियंत्रक
సహాయక,सहायक
సహాయక ఆడియో బస్సు,सहायक श्रव्य बस
అందుబాటులో ఉన్న శక్తి,उपलब्ध षक्ति
హిమపాతం విచ్ఛిన్నం,"ऐवेलांशी भंग, अवधाव भंग"
సగటు జీవితం,"औसत आयु, औसत जीवन"
సగటు పీడనం,औसत दाब
సగటు వేగం,औसत चाल
స్పిన్ యొక్క అక్షం,प्रचक्रण-अक्ष
అజిముత్,दिगंश
అజిముత్ కోణం,दिगंश कोण
అజిముత్ లోపం,दिगंश त्रुटि
బ్యాక్ లైట్,"पृष्ठ प्रकाश, पश्च प्रकाश"
బ్యాక్ ప్రొజెక్షన్,पश्च प्रक्षेपण
వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్),विरोधी वोल्टता
బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్),विपरीत आर्क
నేపథ్య కాంతి,पृष्ठभूमि प्रकाश
వెనుకవైపు శబ్ధం,पृष्ठभूमि रव
నేపథ్య ప్రొజెక్షన్,पृष्ठभूमि प्रक्षेपण
బ్యాకప్,"बैक-अप, पूर्तिकर, प्रतिपोषक"
అడ్డుపడే,"गतिरोधक, व्यारोध, बाधिका"
బేకింగ్,भर्जन
సమతుల్య ఆడియో,संतुलित श्रव्य
సమతుల్య ఆడియో లైన్,संतुलित श्रव्य लाइन
సమతుల్య ప్రసార రేఖ,संतुलित संचरण लाइन
బ్యాలెన్సింగ్,संतुलन
బ్యాలస్ట్,स्थिरक
బ్యాలస్ట్ కారకం,स्थिरण कारक
బలున్,बलून
బ్యాండ్,"बैंड, पट्टी"
బ్యాండ్ పాస్ ఫిల్టర్,"बैंड पारक फिल्टर, बैंड पारक निस्यंदक"
బ్యాండ్ సెలెక్టర్,बैंड वरक
బ్యాండ్ విభజన,बैंड विपाटन
బ్యాండ్ స్టాప్ ఫిల్టర్,"बैंड वर्जक फिल्टर, बैंड वर्जक निस्यंदक"
బ్యాండ్ స్విచ్,बैंड स्विच
బ్యాండ్ ట్యూనింగ్,"पट्टी समस्वरण, बैंड ट्यूनिंग"
బ్యాండ్‌విడ్త్,"बैंड विस्तार, बैंडविड्थ, बैंड चौड़ाई"
బార్,"बार, दंड"
బార్ కోడ్,बार कोड
బార్ డేటా,"बार डाटा, बार आंकड़ा"
బేర్ బ్యాండ్,खुली पट्टी
బేర్ లాంప్,अनावृत लैम्प
బార్న్ డోర్,बार्न द्वार
బేస్ బ్యాండ్,आधार बैंड
బేస్ బ్యాండ్ సిగ్నల్,आधार बैंड संकेत
బేస్ బ్యాండ్ వ్యవస్థ,आधार बैंड तंत्र
బేస్ బ్రౌజర్,आधार विचरक
బేస్ కలెక్టర్ జంక్షన్,आधार संग्राही संधि
బేస్ ఇన్సులేటర్,आधार विद्युत्रोधी
బాస్,"मन्द्रस्वर, बास"
బాస్ పరిహారం,मन्द्रस्वर क्षतिपूर्ति
బాస్ లౌడ్‌స్పీకర్ (వూఫర్),मन्द्रस्वर लाउडस्पीकर
బ్యాచ్ స్కానింగ్,समूह क्रमवीक्षण
బ్యాటరీ ఛార్జింగ్,बैटरी आवेशन
బీమ్,किरण पुंज
బీట్,विस्पंद
బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్,विस्पंद आवृत्ति दोलित्र
బెల్,बेल
బయాస్,"अभिनति, बायस"
బయాస్ సర్క్యూట్,"बायस परिपथ, अभिनति परिपथ"
బయాస్ ఫ్రీక్వెన్సీ,"अभिनति आवृत्ति, बायस-आवृत्ति"
బయాస్ వోల్టేజ్,बायस वोल्टता
ఫార్వర్డ్ దిశలో పక్షపాతం,"अग्रबायसित, अग्राभिनत"
ద్వి-దిశాత్మక మైక్రోఫోన్,उभयमुखी माइक्रोफोन
బిల్‌బోర్డ్,"बिलबोर्ड, विज्ञापन फलक"
బిల్‌బోర్డ్ అప్లికేషన్,बिलबोर्ड अनुप्रयोग
ద్వి-మెటాలిక్ మూలకం,द्विधात्विक अवयव
బైనరీ,द्विआधारी
బైనరీ కోడెడ్ దశాంశం,द्विआधारी कोडित दशमलव
బైనరీ అంకెలు,द्विआधारी अंक (बिट)
బైనరీ సంఖ్య,द्विआधारी संख्या
బైనరల్ హియరింగ్,द्विकणब श्रवण
బైనాక్యులర్,"द्विनेत्री, बाइनॉक्युलर"
బయోమెట్రిక్,"जैवमितीय, जैवमितिक"
బైపోలార్ ట్రాన్సిస్టర్,द्विधुवी ट्रांजिस्टर
బిట్ కేటాయింపు,बिट नियतन
బిట్ రేటు,बिट दर
బ్లాక్ & వైట్ టీవీ,श्वेत-श्याम टेलीविजन
ఖాళీ,"रिक्त, शून्य, विलोप"
ఖాళీ విరామం,विलोपन अंतराल
బ్లాంకింగ్ స్థాయి,विलोपन स्तर
బ్లీడర్ రెసిస్టెన్స్,स्रावी प्रतिरोध
బ్లింపెడ్ కెమెరా,ध्वनिरूद्ध कैमरा
బ్లైండింగ్ గ్లేర్,"अंधक चौंध, चकाचौंध"
బ్లింక్,टिमटिमाना
బ్లింకింగ్,टिमटिमाना
బ్లాక్ కోడ్,ब्लॉक कोड
బ్లాక్ రేఖాచిత్రం,ब्लॉक आरेख
బ్లాక్ ఇంటర్‌లీవ్,ब्लॉक अंतरापत्र
కెపాసిటర్ నిరోధించడం,अवरोधक संधारित्र
ఓసిలేటర్‌ను నిరోధించడం,अवरोधक दोलित्र
బ్లూమ్,प्रफुल्लन
బ్లో లాంప్,ब्लो लैम्प
బ్లో పైప్,फूंकनी
బ్లోవర్,"धौंकनी, ब्लोअर"
బ్లూటూత్,ब्लूटूथ
బాడీ కెపాసిటెన్స్,कायिक धारिता
బుక్‌మార్క్,"बुक मार्क, पृष्ठ स्मृति"
బూలియన్ బీజగణితం,बूलीय बीजगणित
