Punjabi,Tamil
ਪੂਰਨ ਗਤੀ ਸਰੀਰ,முழுமையான இயக்க உடல்
ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ,முழுமையான அலகு அமைப்பு
ਪੂਰਨ ਤਾਪਮਾਨ,முழுமையான வெப்பநிலை
ਪੂਰਾ ਸਮਾਂ,முழுமையான நேரம்
ਪੂਰਨ ਇਕਾਈਆਂ,முழுமையான அலகுகள்
ਸਹੀ ਮੁੱਲ,துல்லியமான மதிப்பு
ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ,முழு எண் கால்குலேட்டர்
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਪੂਰਨ ਲੇਸ,முழுமையான பாகுத்தன்மை
ਪੂਰਨ ਭਾਰ,முழுமையான எடை
ਪੂਰਨ ਜ਼ੀਰੋ*,முழுமையான பூஜ்ஜியம்*
ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
ਸੋਖਣਾ,உறிஞ்சி
ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*,உறிஞ்சுதல் குறியீடு*
ਲੀਨ ਊਰਜਾ,உறிஞ்சப்பட்ட ஆற்றல்
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","உறிஞ்சும், உறிஞ்சும்"
ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*,உறிஞ்சும் ஊடகம்*
ਸਮਾਈ ਸਮਰੱਥਾ,உறிஞ்சும் திறன்
ਸਮਾਈ,உறிஞ்சுதல்
ਸ਼ੋਸ਼ਣ ਮੀਟਰ*,உறிஞ்சும் அளவி*
ਸੋਖਣ ਗਣਿਤ*,உறிஞ்சும் அளவீடு*
ਸਮਾਈ,உறிஞ்சுதல்
ਸਮਾਈ - ਬੈਂਡ*,உறிஞ்சுதல் - இசைக்குழு*
ਸਮਾਈ ਸਰਕਟ,உறிஞ்சுதல் சுற்று
ਸਮਾਈ ਗੁਣਾਂਕ,உறிஞ்சுதல் குணகம்
ਸਮਾਈ ਕਾਲਮ,உறிஞ்சுதல் நெடுவரிசை
ਸਮਾਈ ਸਥਿਰ,உறிஞ்சுதல் மாறிலி
ਸਮਾਈ ਨਿਰੰਤਰਤਾ,உறிஞ்சுதல் தொடர்ச்சி
ਸਮਾਈ ਜ਼ੋਨ,உறிஞ்சுதல் மண்டலம்
ਸਮਾਈ ਮੌਜੂਦਾ,உறிஞ்சுதல் மின்னோட்டம்
ਸਮਾਈ ਕਰਵ*,உறிஞ்சுதல் வளைவு*
ਸਮਾਈ ਫ੍ਰੈਕਚਰ,உறிஞ்சுதல் முறிவு
ਸਮਾਈ ਕੋਰ,உறிஞ்சுதல் மைய
ਸਮਾਈ ਕਾਰਕ,உறிஞ்சுதல் காரணி
ਸਮਾਈ ਫਿਲਟਰ,உறிஞ்சுதல் வடிகட்டி
ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,உறிஞ்சும் ஹைக்ரோமீட்டர்
ਸਮਾਈ ਘਾਤਕ,உறிஞ்சுதல் அடுக்கு
ਸਮਾਈ ਮਾਮੂਲੀ,உறிஞ்சுதல் விளிம்பு
ਸਮਾਈ ਲਾਈਨ,உறிஞ்சுதல் வரி
ਸਮਾਈ ਨੁਕਸਾਨ,உறிஞ்சுதல் இழப்பு
ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ,உறிஞ்சுதல் பண்பேற்றம்
ਰੋਸ਼ਨੀ ਸਮਾਈ,ஒளி உறிஞ்சுதல்
ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
ਸਮਾਈ ਸਿਖਰ,உறிஞ்சுதல் உச்சம்
ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ,உறிஞ்சுதல் ஒளி அளவீடு
ਸਮਾਈ ਅਨੁਪਾਤ,உறிஞ்சுதல் விகிதம்
ਸਮਾਈ ਸੀਮਾ*,உறிஞ்சுதல் வரம்பு*
ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
"ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ","உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,உறிஞ்சும் ஹைக்ரோமீட்டர்
ਸੋਖਣ ਵਾਲਾ*,உறிஞ்சக்கூடிய*
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator,உறிஞ்சும் ஆவியாக்கி
ਸਮਾਈ ਕਾਨੂੰਨ*,உறிஞ்சுதல் சட்டம்*
ਸਮਾਈ ਮਾਧਿਅਮ,உறிஞ்சுதல் ஊடகம்
"ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*","உறிஞ்சும் திறன், உறிஞ்சுதல்*"
ਸਮਾਈ*,உறிஞ்சுதல்*
ਸਟੂਡੀਓ ਸਜਾਵਟ,ஸ்டூடியோ அலங்காரம்
ਗੁਣਾ ਅਨੁਪਾਤ,பன்மடங்கு விகிதம்
ਰੱਦ ਕਰਨਾ,கைவிடு
ਬਾਰੇ,பற்றி
ਤੇਜ਼ ਕਰੋ,முடுக்கி
ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ,முடுக்கம்-நிறுத்த தூரம்
ਜਲਦੀ,விரைந்தார்
ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,விரைவான நேர விளைவு சோதனை
ਤੇਜ਼ ਵਹਾਅ,விரைவான ஓட்டம்
ਤੇਜ਼ ਰਫ਼ਤਾਰ,விரைவான வேகம்
ਤੇਜ਼ ਸਰੀਰ,விரைவான உடல்
ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ,முடுக்கி எடை
ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*,முடுக்கி மின்முனை*
ਐਕਸਲੇਟਰ ਸਮਾਂ*,முடுக்கி நேரம்*
ਐਕਸਲੇਟਰ ਪੜਾਅ,முடுக்கி கட்டம்
ਐਕਸਲੇਟਰ ਦਰ,முடுக்கி விகிதம்
ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*,முடுக்கி மின்னழுத்தம்*
ਪ੍ਰਵੇਗ,முடுக்கம்
ਤੇਜ਼ ਬਲਨ,துரிதப்படுத்தப்பட்ட எரிப்பு
ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ,முடுக்கம் குணகம்
ਪ੍ਰਵੇਗ ਭਾਗ,முடுக்கம் கூறு
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,புவியீர்ப்பு காரணமாக முடுக்கம்
ਪ੍ਰਵੇਗ ਕਾਰਕ,முடுக்கம் காரணி
ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ,துரிதப்படுத்தப்பட்ட கட்டணம்
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ஈர்ப்பு முடுக்கம்
ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ,முடுக்கம் சாத்தியம்
ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ,முடுக்கம் சட்டம்
ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ,முடுக்கம் செயல்முறை
ਪ੍ਰਵੇਗ ਜ਼ੋਨ,முடுக்கம் மண்டலம்
ਪ੍ਰਵੇਗ ਵਿਧੀ,முடுக்கம் முறை
"ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ","முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
ਪ੍ਰਵੇਗ ਵੈਕਟਰ,முடுக்கம் திசையன்
ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ,முடுக்கம்-மின்னழுத்தம்
ਪ੍ਰਵੇਗ ਲਹਿਰ,முடுக்கம் அலை
ਐਕਸਲੇਟਰ,முடுக்கி
"ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *","முடுக்கி, முடுக்கி*"
ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ,முடுக்கி சமன்பாடு
ਐਕਸਲੇਟਰ*,முடுக்கி*
ਐਕਸਲੇਰੋਮੀਟਰ,முடுக்கமானி
ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ,முடுக்கமானி பொருத்தம்
prestresser,முன் அழுத்தம் கொடுப்பவர்
ਵੈਧ ਅੱਖਰ,சரியான எழுத்துக்கள்
ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ,ஏற்றுக்கொள்ளும் கோணம்
ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ","ஏற்பவர்*, ஏற்பவர்"
ਰੀਸੈਪਟਰ ਐਟਮ,ஏற்பி அணு
ਰੀਸੈਪਟਰ ਬਾਂਡ,ஏற்பி பிணைப்பு
ਰਿਸੀਵਰ ਸਰਕਟ,பெறுதல் சுற்று
ਰੀਸੈਪਟਰ ਪੱਧਰ,ஏற்பி நிலை
ਦਾਨੀ ਅਣੂ,நன்கொடையாளர் மூலக்கூறு
ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ,ஏற்பி சொத்து
ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ,ஏற்பி சொத்து நிலை
ਐਕਸਲੇਟਰ ਹੋਜ਼,முடுக்கி குழாய்
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ","அணுகல், காத்திருப்பு, அணுகல்"
ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ,புஜை அணுகவும்
ਪਹੁੰਚ ਸਿਸਟਮ,அணுகல் அமைப்பு
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,அணுகல் நேரம்
ਪਹੁੰਚਯੋਗਤਾ,அணுகல்
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ","கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
ਵਾਧੂ ਪਾਬੰਦੀਆਂ,கூடுதல் கட்டுப்பாடுகள்
ਇਤਫ਼ਾਕ,தற்செயல்
ਅਚਾਨਕ ਸੁਧਾਰ,தற்செயலான திருத்தம்
ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ,தற்செயலான உயிர் உருவாக்கம்
ਅਚਾਨਕ ਮੋੜ,தற்செயலான திசைதிருப்பல்
ਵਿਜ਼ਟਰ ਗਲਤੀ,பார்வையாளர் பிழை
"ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ","திடீர் நிறுத்தம், திடீர் கவ்வி"
ਦੁਰਘਟਨਾ ਸੰਚਾਰ,தற்செயலான பரிமாற்றம்
ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ,சீரற்ற மாறுபாடு
ਵਿਵਸਥਾ,சரிசெய்தல்
ਸਥਿਤੀ ਵਿੱਚ,அமைந்துள்ளது
ਸੰਚਿਤ ਗਲਤੀ,திரட்டப்பட்ட பிழை
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","திரட்சி, குவிப்பு"
ਊਰਜਾ ਸਟੋਰੇਜ਼,ஆற்றல் சேமிப்பு
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*,திரட்டி*
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਅਸਲੀਅਤ,யதார்த்தம்
ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ,உண்மையான கருவி கவனிப்பு
ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ,துல்லியமான வரம்பு குறிப்பான்
ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ,துல்லியமான ஸ்கேனிங்
ਅਭਿਆਸ,பயிற்சி
ਐਕਸਲੇਟਰ ਸੈੱਲ*,முடுக்கி செல்*
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,நிறமற்ற லென்ஸ்*
ਅਕ੍ਰੋਮੈਟਿਕ*,நிறமற்ற*
ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ,நிறமற்ற பகுப்பாய்வி
ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna,அதிர்வெண் நடுநிலை ஆண்டெனா
ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ,நிறமற்ற வடிவம்
ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ,நிறமற்ற விளிம்பு
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,நிறமற்ற லென்ஸ்*
ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ,நிறமற்ற புள்ளி பாதை
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,நிறமற்ற லென்ஸ்
ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ,வண்ணப் பட்டகம்
ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ,வண்ணமயமான தொலைநோக்கி
ਰੰਗੀਨਤਾ*,நிறமற்ற தன்மை*
ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*,நிறமாற்றம்*
ਰੰਗੀਨਤਾ*,நிறமற்ற தன்மை*
"ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ","மீள், பயனற்ற, பயனற்ற"
"ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼","ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்"
ਛੋਟੇ ਵਾਲਵ,மினியேச்சர் வால்வு
akophony,அகோஃபோனி
ਧੁਨੀ,ஒலியியல்
ਧੁਨੀ ਸਮਾਈ,ஒலி உறிஞ்சுதல்
ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ,ஒலியியல் குறைப்பு குணகம்
ਧੁਨੀ ਧਿਆਨ,ஒலிக் குறைப்பு
ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ,ஒலி திருடன் அலாரம்
ਧੁਨੀ ਸਮਰੱਥਾ,ஒலியியல் கொள்ளளவு
ਸੁਣਵਾਈ ਕੇਂਦਰ,கேட்கும் மையம்
ਧੁਨੀ ਵਿਆਖਿਆ,ஒலியியல் விளக்கம்
ਧੁਨੀ ਕਵਰ,ஒலி உறை
ਧੁਨੀ ਜਵਾਬ,ஒலி பதில்
ਧੁਨੀ ਭਾਗ,ஒலியியல் கூறு
ਧੁਨੀ ਚਾਲਕਤਾ,ஒலி கடத்துத்திறன்
ਧੁਨੀ ਗਿੱਲਾ,ஒலி தணித்தல்
ਧੁਨੀ ਫੈਲਾਅ,ஒலி சிதறல்
ਆਵਾਜ਼ ਹੈਕਰ,ஒலி ஹேக்கர்
ਧੁਨੀ ਊਰਜਾ*,ஒலி ஆற்றல்*
ਧੁਨੀ ਊਰਜਾ ਸਮੀਕਰਨ,ஒலி ஆற்றல் சமன்பாடு
ਧੁਨੀ ਸਮੀਕਰਨ,ஒலி சமன்பாடு
ਧੁਨੀ ਬਹਾਲੀ,ஒலி மறுசீரமைப்பு
cladney ਆਕਾਰ,கிளாட்னி வடிவங்கள்
ਧੁਨੀ ਫਿਲਟਰ,ஒலி வடிகட்டி
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ஒலி ஜெனரேட்டர்
ਧੁਨੀ ਗਰੇਟਿੰਗ,ஒலி தட்டு
ਧੁਨੀ ਰੁਕਾਵਟ*,ஒலி மின்மறுப்பு*
ਧੁਨੀ ਜੜਤਾ,ஒலி மந்தநிலை
ਧੁਨੀ ਤੀਬਰਤਾ,ஒலி தீவிரம்
ਧੁਨੀ ਦਖਲ ਮੀਟਰ,ஒலி குறுக்கீடு மீட்டர்
ਧੁਨੀ ਦਖਲ ਖੋਜੀ,ஒலி குறுக்கீடு கண்டறிதல்
ਧੁਨੀ ਲੈਂਸ,ஒலி லென்ஸ்
ਆਵਾਜ਼ ਲਾਈਨ,ஒலி வரி
ਧੁਨੀ ਪੁੰਜ,ஒலி நிறை
ਧੁਨੀ ਸਮੱਗਰੀ,ஒலி பொருள்
ਧੁਨੀ ਮਤਲਬ ਮੁਕਤ ਮਾਰਗ,ஒலியியல் என்பது இலவச பாதை
ਧੁਨੀ ਮੋਡ,ஒலி முறை
ਧੁਨੀ ਸ਼ੋਰ,ஒலி சத்தம்
ਧੁਨੀ ਓਮ*,ஒலி ஓம்*
"ਐਕੋਸਟਿਕ ਪੈਨਲ, ਐਕੋਸਟਿਕ ਬੋਰਡ","ஒலியியல் குழு, ஒலி பலகை"
ਧੁਨੀ ਪੜਾਅ ਸਥਿਰ,ஒலி நிலை மாறிலி
ਧੁਨੀ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ,ஒலி ரிசீவர்
ਧੁਨੀ ਦਬਾਅ,ஒலி அழுத்தம்
ਆਵਾਜ਼ ਦਾ ਸਮਰੂਪਤਾ ਨਿਯਮ,ஒலியின் சமச்சீர் விதி
ਧੁਨੀ ਸੰਚਾਰ,ஒலி பரிமாற்றம்
ਧੁਨੀ ਗੁਣ,ஒலியியல் பண்புகள்
ਧੁਨੀ ਚਤੁਰਭੁਜ,ஒலி நாற்புறம்
ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ ਤੱਤ,ஒலி கதிர்வீச்சு உறுப்பு
ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ,ஒலி கதிர்வீச்சு
ਸਾਊਂਡਪਰੂਫ਼,ஒலி எதிர்ப்பு
