Malayalam,Assamese
ആന്റിഓക്‌സിഡന്റ്,এন্টিঅক্সিডেন্ট
ആന്റിടോക്സിൻ,এন্টিটক্সিন
മോതിര വിരൽ,ৰিং ফিংগাৰ
1. മുഞ്ഞ 2. മാഹു 3. ചേപ,১.এফিড ২.মহু ৩.চেপা
മുകളിലെ മുകുളം,শীৰ্ষ কলি
പീക്ക് ഫലപ്രാപ്തി,শীৰ্ষ ফলপ্ৰসূতা
തേനീച്ച വളർത്തൽ,মৌমাখি ৰখা
അലൈംഗികത,অযৌনতা
അപ്പോപ്റ്റോസിസ്,এপ&#39;প্টোছিছ
അനുബന്ധങ്ങൾ,appendages
വിശപ്പ്,appetizer
അപേക്ഷിച്ചു,প্ৰয়োগ কৰা হৈছে
ജല കള,জলজ অপতৃণ
1. മരം 2. വൃക്ഷ നിവാസി,১.গছ ২.গছৰ বাসিন্দা
ശാഖകൾ,শাখা-প্ৰশাখা
പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
സോൺ നമ്പർ,জ&#39;ন নম্বৰ
1. ഏരിയ 2. ഏരിയ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
വരണ്ട ആവാസവ്യവസ്ഥ,শুকান পৰিৱেশ তন্ত্ৰ
കോട്ടിലിഡൺ,কুটিলডন
സൗരഭ്,সৌৰভ
ആരോമാറ്റിക് പ്ലാന്റ്,সুগন্ধিযুক্ত উদ্ভিদ
സുഗന്ധമുള്ള അരി,সুগন্ধি চাউল
ഇക്ഷു പുഷ്പൻ,ইক্ষু পুষ্পন
അസെപ്റ്റിക്,বীজাণুমুক্ত
1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്,১.এচেপ্টিক ২.এচেপ্টিক
അലൈംഗിക പുനരുൽപാദനം,অযৌন প্ৰজনন
വലിപ്പം,আকাৰ
ആസ്തി,সম্পত্তি
1. സ്വാംശീകരണം 2. സ്വാംശീകരണം,১/ আত্মসাৎ ২. আত্মসাৎ
1. അസോസിയേഷൻ 2. അസോസിയേഷൻ,১.সংঘ ২.সংঘ
1. കോളം 2. ആസ്ട്രിംഗ്സി,1. স্তম্ভ 2. astringency
ഹെറ്ററോസൈഗോസിറ്റി,হেটেৰ&#39;জাইগোচিটি
1. പൂർവ്വികൻ 2. അടവിസം,১.পূৰ্বপুৰুষ ২.আটাভিজম
കണം,কণা
1. സ്ഥിരീകരണം 2. വൈകല്യം,1. অনিশ্চয়তা 2. বিকলতা
സ്വയം ജോടിയാക്കൽ,self pairing
ഓട്ടോലിസിസ്,অটোলাইছিছ
1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
സ്വയം മൾട്ടിപ്ലക്സ്,self multiplexed
ഓക്സിൻ,অক্সিন
1. ഷൂക്ക് 2. പൂവൻ,১/ জোকাৰি যোৱা ২. টোড
ശിക്ഷാ വൈറസ്,পেনাল ভাইৰাছ
1. ബാസിലസ് 2. ബാസിലസ്,১.বেচিলাছ ২.বেচিলাছ
1. ബാക്ടീരിയ 2. ബാക്ടീരിയ,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
ബാക്ടീരിയൽ വിഷം,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
ബാഗാസ്,বাগাছ
ബാലൻസ് ഷീറ്റ്,বেলেন্স শ্বীট
സമീകൃത വളം ഉപയോഗം,সুষম সাৰৰ ব্যৱহাৰ
ബാർ ഗ്രാഫ്,বাৰ গ্ৰাফ
കുര,বাকলি
1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. താല 2. തടം,১.তালা ২.বেচিন
തലബിസാരി,তালাবিছাৰী
1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
ഗൾഫ് മൺസൂൺ,উপসাগৰীয় বাৰিষা
ഫലം പ്ലാന്റ്,ফলৰ উদ্ভিদ
കിടക്ക,বিছনা
കിടക്ക പ്ലാന്റ്,বিচনা উদ্ভিদ
കിടക്കവിരി,বিচনা চাদৰ
ബീറ്റ്റൂട്ട് മോളാസസ്,বুটমাহৰ গুড়
തുരുത്തി,bellows
1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം,১.ষ্ট্ৰিপ ২.ভূখণ্ড
ലാഭ-ചെലവ് വിശകലനം,লাভ-খৰচ বিশ্লেষণ
അഭിലാഷം (സാമ്പിൾ),আকাংক্ষিত (Sampling)
ദ്വിവത്സര സസ്യങ്ങൾ,দ্বিবাৰ্ষিক উদ্ভিদ
ദ്വിപദം,দ্বিপদ
ബയോഫാക്ടർ,বায়&#39;ফেক্টৰ
ജൈവ കാലാവസ്ഥ,জৈৱিক জলবায়ু
ജൈവ ഊർജ്ജം,জৈৱ শক্তি
ജന്തു പരിസ്ഥിതി,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
ജൈവമണ്ഡലം,জৈৱমণ্ডল
ബയോട്ടിക്,জৈৱিক
ജന്തുജാലങ്ങൾ,প্ৰাণীজগত
ദിവിലിംഗി,ডিভিলিংগি
ധവാലൻ,ধাৱলান
1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
മിശ്രണം,মিশ্ৰণ
1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
നീല വിപ്ലവം,নীলা বিপ্লৱ
പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ,প্লেনাৰ হিটিং চেম্বাৰ
പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ,সমতল উত্তাপন প্ৰযুক্তি
തവിട്,ব্ৰাণ
ശാഖകൾ,শাখা-প্ৰশাখা
1. തടി 2. ഉപശാഖ,১.ডাল ২.উপশাখা
ഇനം,বংশবৃদ্ধি
പുനരുൽപാദനം,প্ৰজনন
ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
വളർന്നുവരുന്ന,budding
ബജറ്റ്,বাজেট
1.ആംഫോട്ടറിക് 2. ബഫർ,১.এম্ফোটেৰিক ২.বাফাৰ
മധുരക്കിഴങ്ങ്,মিঠা আলু
ബണ്ട് (രോഗം),বান্ট (ৰোগ)
1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
എണ്ണ പിണ്ണാക്ക്,তেলৰ কেক
1. നാരങ്ങ 2. കാൽസ്യം,১.চূণ ২.কেলচিয়াম
calcion,calcion
ഫോസ്ഫേറ്റ് നീക്കം,ফছফেট আঁতৰোৱা
1. കിനാറ്റ 2. കാലാറ്റ,১.কিনাটা ২.কালাটা
1.കല്ലസ് 2. കിരണം,১.কেলাছ ২.ৰশ্মি
1. വിദളങ്ങൾ 2. കാളിക്സ്,1. ফুলৰ গুটি 2. calyx
പുറത്തെ അവസാനം,বাহ্যিক শেষ
എധ,এধা
കാൻസർ (ബാക്ടീരിയ രോഗം),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
കാനിംഗ്,কেনিং
ആകാശം,আকাশ
ധനകാര്യം,বিত্ত
പരാഗണം (അത്തിപ്പഴം),পৰগাছা (ডুমুৰৰ)
1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ,১.কেপচুল ২.কেপচুল ৩.কেপচুল
കാർബണൈസ്ഡ്,কাৰ্বনাইজড
കാർബണൻ,কাৰ্বনেন
കാർപേസ്,carapace
വള,এপাত হাতৰ অলংকাৰ
1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
കാറ്റബോളിസം,কেটাবলিজম
പ്രേരണ,প্ৰৰোচনা
1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ,1. পোক 2. পোক
സി ഡി. എൻ. എ. സമാഹാരം,গ ঘ. এন. ক. সংগ্ৰহ
പരിധി,পৰিসৰ
1. സെൽ 2. സെൽ,১.কোষ ২.কোষ
സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. പോയിന്റ് 2. ഫോക്കസ്,1. বিন্দু 2. ফোকাচ
അപകേന്ദ്രീകരണം,কেন্দ্ৰচালিতকৰণ
സെൻട്രിഫ്യൂജ്,কেন্দ্ৰচালিত কৰক
നക്ഷത്ര കേന്ദ്രം,তাৰকা কেন্দ্ৰ
എപ്പിജെനെറ്റിക്,এপিজেনেটিক
കേന്ദ്രരാജ,কেন্দ্ৰজা
തറി,loom
1. ധാന്യം 2. സീരിയൽ,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,প্ৰমাণিত বীজ
1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. നിഭാഗ് 2. കൈലജ,১.নিভাগ ২.কৈলাজা
കൈമോഗ്രഫി,চাইম&#39;গ্ৰাফী
1. കിയാസ്മ 2. തിരക്കിലാണ്,১.কিয়াজমা ২.ব্যস্ত
supercooling മണിക്കൂർ,ছুপাৰকুলিং ঘন্টা
മഞ്ഞ് കേടുപാടുകൾ,হিম ক্ষতি
1. വിചിരോതകി 2. ചിമേര,১/ ভিচিৰোটাকি ২.চিমেৰা
പച്ച കഞ്ഞി,সেউজীয়া দাইল
1. ഇലകൾ 2. പച്ച,১.পাতল ২.সেউজীয়া
സയനോസിസ്,চাইন&#39;ছিছ
ജൈവ വിതരണ ശാസ്ത്രം,জৈৱিক বিতৰণ বিজ্ঞান
1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
ക്രോമാറ്റിൻ,ক্ৰ&#39;মেটিন
ക്രോമാറ്റോഗ്രാഫി,ক্ৰ&#39;মাট&#39;গ্ৰাফী
ക്രോമാറ്റിലേഷൻ,ক্ৰ&#39;মেটিনেচন
ഏട്രിയൽ പോയിന്റ്,অলিন্দৰ বিন্দু
ക്രോമാറ്റോജെനിസിസ്,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ,১.ক্ৰম’জম ২.ক্ৰম’জম
1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
സിട്രേഞ്ച്,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
ശരത്കാല ഉത്സവം,পতন উৎসৱ
വർഗ്ഗീകരണം,শ্ৰেণীবিভাজন
1. കളിമണ്ണ് 2. കളിമണ്ണ്,১.মাটি ২.মাটি
1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
സ്ഥിരമായ പരാഗണം,স্থায়ী পৰগাছা
ക്രൂസിഫറസ് ഫലം,ক্ৰুচিফেৰাছ ফল
കാലാവസ്ഥ,জলবায়ু
കാലാവസ്ഥാ ശാസ്ത്രം,জলবায়ুবিজ্ঞান
കത്രിക,shear
പിണ്ഡം (കളിമണ്ണ്),গোট (মাটি)
ക്ലോൺ,ক্ল&#39;ন
1.മേഘങ്ങൾ 2.മേഘങ്ങൾ,১.ডাৱৰ ২.ডাৱৰ
കൂട്ടം,ক্লাম্প
കുല,মুঠি
1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. കവർ 2. ലെതറെറ്റ്,১.আৱৰণ ২.চামৰাৰ টুকুৰা
കോയ,কয়া
1. കോഎൻസൈം 2. കോ-എൻസൈം,১/ কো-এনজাইম ২.কো-এনজাইম
കെട്ടുറപ്പ്,সংহতি
1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
മുളങ്കൂർ ചോല,মুলংকুৰ চোলা
,
കൊളോയിഡ് (മണ്ണ്),কলয়ড (মাটি)
1.നിര 2.കൊലുമെല്ല,১.স্তম্ভ ২.কলমেলা
1. പെനാൽറ്റി 2. കോളം 3. കോളം,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
കൂട്ടായ്മ,কমিউনিয়ন
കൊമേഴ്സ്യൽ ബാങ്ക്,বাণিজ্যিক বেংক
1. ചരക്ക് 2. ചരക്ക്,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
സമൂഹം,সমুদায়
സങ്കോചം (മണ്ണിന്റെ),সংকোচন (মাটিৰ)
1. അനുയോജ്യത 2. അനുയോജ്യത,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
അനുയോജ്യത,সামঞ্জস্যতা
1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
മത്സരപരമായ ഇടപെടൽ,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
സപ്ലിമെന്റ് വിള,শস্যৰ পৰিপূৰক
1. സംയുക്തം 2. സങ്കീർണ്ണമായ,১.সংমিশ্ৰিত ২.জটিল
ഘടകഭാഗം,সমষ্টিবাসী
രചന,সুৰ-ৰচনা
കമ്പോസ്റ്റ്,পচন সাৰ
കൂട്ടുപലിശ,যৌগিক আগ্ৰহ
കണക്കുകൂട്ടൽ,গণনা
1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ,1. কম্পিউটাৰ 2. কম্পিউটাৰ
1. ഏകാഗ്രത 2. ഏകാഗ്രത,১/ ঘনত্ব ২. ঘনত্ব
1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
ചാലകത,পৰিবাহীতা
1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ,1. বিন্যাস 2. বিন্যাস
1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ,১.সংহতি ২.সংকৰকৰণ
സംയോജനം,সংযোজন
1. അഡിറ്റീവ് 2. കണക്റ്റീവ്,1. যোগকৰণ 2. সংযোগী
സംരക്ഷണം,সুৰক্ষা
ഏകീകരണം,একত্ৰীকৰণ
1. ചേരുവ 2. ചേരുവകൾ,১.উপাদান ২.উপাদান
ഉപഭോക്താവ്,গ্ৰাহক
ഉപഭോഗം,সেৱন
മലിനീകരണം,দূষণ কৰা
കോണ്ടൂർ നടീൽ,কনট্যুৰ ৰোপণ
കോണ്ടൂർ ലൈൻ,কনট্যুৰ ৰেখা
1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
സഹകരണ ബാങ്ക്,সমবায় বেংক
സഹകരണ സംഘം അംഗം,সমবায় সমিতিৰ সদস্য
ഗുൽമാവാൻ,গুলমাৱন
സമചതുര,ঘনকীয়
1. ദൽപുഞ്ച് 2. കൊറോള,১.দলপুঞ্জ ২.কৰোলা
1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്,১.কৰ্টেক্স ২.কৰ্টেক্স
ചെലവ്,খৰচ
കോട്ടിലിഡൺ,কুটিলডন
ക്രെഡിറ്റ് കമ്മിറ്റി,ক্ৰেডিট কমিটি
1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്,১/ ঋণ দিয়া ২.ক্ৰেডিট
1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ,১/ ঋণদাতা ২.পাওনাদাৰ
1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം,1. শিখৰ 2. শিখৰ 3. শিখৰ
പിൻവലിക്കൽ,প্ৰত্যাহাৰ
പ്രശ്നം,বিপদ
പരീക്ഷ,পৰীক্ষা
വിമർശനാത്മകം,জটিল অৱস্থা
വിള ഇൻഷുറൻസ്,শস্যৰ বীমা
വിള വായ്പ,শস্যৰ ঋণ
