Odiya,Punjabi
1. ସଠିକତା 2. ସଠିକତା |,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
ଅମ୍ଳତା |,ਐਸਿਡਿਟੀ
ଏସିଡୋଫାଇଲ୍ |,ਐਸਿਡੋਫਾਈਲ
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
ଅମ୍ଳଯୁକ୍ତ |,ਤੇਜ਼ਾਬ
ଜଳଜଳ,aquifer
ଅଧିଗ୍ରହଣ,ਪ੍ਰਾਪਤੀ
ଏକର,ਏਕੜ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ਖੇਤਰ 2. ਖੇਤਰ
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
ଆଗକୁ ଦେଖିବା,ਅਗਾਂਹਵਧੂ
ଆକ୍ରୋସୋମ୍ |,acrosome
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
ସକ୍ରିୟ କୋର୍ |,ਸਰਗਰਮ ਕੋਰ
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
ଅନୁକୂଳତା,ਅਨੁਕੂਲਤਾ
କଷ୍ଟମାଇଜେସନ୍,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
sebaceous,sebaceous
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
ଆଡୋବ ମାଟି |,ਅਡੋਬ ਮਿੱਟੀ
ବ୍ୟଭିଚାର,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
ଏକ୍ଟୋପିକ୍,ਐਕਟੋਪਿਕ
Isidiospore Isidium Spore |,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
ଭେଣ୍ଟ୍ରାଲ୍ |,ਵੈਂਟ੍ਰਲ
ବିମାନକୁ,ਹਵਾ ਦੇਣ ਲਈ
1. ବାୟୁ 2. ଆକାଶୀ |,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
ଏରୋସୋଲ୍ |,ਐਰੋਸੋਲ
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
ରୋଗ ବିଜ୍ଞାନ,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
ବୃକ୍ଷରୋପଣ,ਜੰਗਲਾਤ
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
ଆଗମାର୍କ |,ਐਗਮਾਰਕ
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
କୃଷି ଚିକିତ୍ସାଳୟ,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
କୃଷି ମାର୍କେଟିଂ |,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
କୃଷି ଜଙ୍ଗଲ,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
କୃଷି ଜ odi ବ ବିବିଧତା |,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
କୃଷି ଜଙ୍ଗଲ,ਖੇਤੀ ਜੰਗਲਾਤ
କୃଷି,ਖੇਤੀ ਵਿਗਿਆਨ
ଆଗ୍ରୋନୋମିକ୍,ਖੇਤੀ ਵਿਗਿਆਨਕ
କୃଷି ପାଳକ,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
ଘାସ ବିଜ୍ଞାନ |,ਘਾਹ ਵਿਗਿਆਨ
ଫସଲ ପ୍ରକାର |,ਫਸਲ ਦੀ ਕਿਸਮ
ଏପିଫାଇଟ୍ |,epiphyte
aikiochi ମାଟି |,aikiochi ਮਿੱਟੀ
ରଙ୍ଗ ଅନ୍ଧତା |,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
ଆଲଫିସୋଲ୍ |,alfisol
ଶାଗ,ਐਲਗੀ
ଆଲଗା ରୋଗ,ਐਲਗੀ ਰੋਗ
କ୍ଷାର ଜଳ |,ਖਾਰੀ ਪਾਣੀ
କ୍ଷାର,ਖਾਰੀ
ବିକଳ୍ପ,ਵਿਕਲਪਕ
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
ଆଲେଲେ,ਐਲੀਲ
ଆଲେଲୋପାଥି,ਐਲੇਲੋਪੈਥੀ
ଭେଟି ଫସଲ |,ਵੇਥੀ ਦੀ ਫਸਲ
ସମାପ୍ତି,ਸੰਪੂਰਨਤਾ
ଫର୍ଟିଲାଇଜେସନ୍,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
ମଲ୍ଟିପ୍ଲୋଡି,multiploidy
1. ପାରାଜାଇଗୋସିଟି |,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
ପରିବେଶ,ਵਾਤਾਵਰਣ
ସଂସ୍କାରକ,ਸੁਧਾਰਕ
ମାଇଟୋସିସ୍,ਮਾਈਟੋਸਿਸ
ଆମେନାନ୍,ਆਮੀਨ
ଆମୋନିଅନ୍ |,ਐਮੋਨੀਅਨ
amniferous,amniferous
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,amphibian ਮਿਸ਼ਰਣ
ଆମ୍ଫୋଟେରିକ୍ |,ਐਮਫੋਟੇਰਿਕ
ଷ୍ଟକପିଲିଂ |,ਭੰਡਾਰ
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
ହାପ୍ଲଏଡ୍ |,ਹੈਪਲੋਇਡ
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,ਕੋਣੀ ਲਾਉਣਾ
ପଶୁପାଳନ,ਪਸ਼ੂ ਪਾਲਣ
ପଶୁ ନିର୍ଗମନ,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
ଜୀବନ୍ତ ଶକ୍ତି,ਜੀਵਤ ਊਰਜਾ
ଅସନ୍ତୁଷ୍ଟ |,ਅਸਧਾਰਨ
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
ବାର୍ଷିକ,ਸਾਲਾਨਾ
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. ਅਨੰਦ 2. ਚਮਕ
ଆନ୍ଥ୍ରାକ୍ସ,ਐਂਥ੍ਰੈਕਸ
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
ବଞ୍ଚିବା,ਬਚਾਅ
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
ଘୃଣ୍ୟ,ਘਿਣਾਉਣੀ
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,ਐਂਟੀਆਕਸੀਡੈਂਟ
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,ਐਂਟੀਟੌਕਸਿਨ
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,ਰਿੰਗ ਉਂਗਲ
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
ଉପର ଗୁଣ୍ଡ |,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
ଶିଖର ପ୍ରଭାବ,ਸਿਖਰ ਪ੍ਰਭਾਵ
ମହୁମାଛି ପାଳନ,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
ସମଲିଙ୍ଗୀତା,ਅਲੌਕਿਕਤਾ
ଆପୋପ୍ଟୋସିସ୍ |,apoptosis
ଅନୁକ୍ରମଣିକା,ਜੋੜ
ଭୋକ,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
ପ୍ରୟୋଗ ହୋଇଛି |,ਲਾਗੂ ਕੀਤਾ
ଜଳୀୟ ତୃଣ,ਜਲਜੀ ਬੂਟੀ
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
ଶାଖା,ਬ੍ਰਾਂਚਿੰਗ
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
ଜୋନ୍ ସଂଖ୍ୟା,ਜ਼ੋਨ ਨੰਬਰ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ਖੇਤਰ 2. ਖੇਤਰ
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
କୋଟିଲଡନ୍ |,cotyledon
ସ aur ରଭ |,ਸੌਰਭ
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
ସୁଗନ୍ଧିତ ଚାଉଳ |,ਸੁਗੰਧਿਤ ਚੌਲ
ଇକଶୁ ପୁଷ୍ପନ୍ |,ਇਕੁ ਪੁਸ਼ਪੰ ॥
ଆସେପ୍ଟିକ୍ |,ਅਸੈਪਟਿਕ
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
ଆକାର,ਆਕਾਰ
ସମ୍ପତ୍ତି,ਸੰਪਤੀ
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. ਕਾਲਮ 2. astringency
ହେଟେରୋଜାଇଗୋସିଟି |,heterozygosity
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
କଣିକା,ਕਣ
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
ଆତ୍ମ ଯୋଡି |,ਸਵੈ ਜੋੜਾ
ଅଟୋଲାଇସିସ୍,autolysis
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
ଆକ୍ସିନ୍,auxin
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,1. ਹਿਲਾ 2. ਟੌਡ
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,ਸਜ਼ਾ ਵਾਇਰਸ
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
ଜୀବାଣୁ ବିଷାକ୍ତ,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
ବାଗାସେ |,ਬੈਗਾਸ
ତୂଳନା ପତ୍ର,ਸੰਤੁਲਨ ਸ਼ੀਟ
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
ବାର୍ ଗ୍ରାଫ୍ |,ਬਾਰ ਗ੍ਰਾਫ
ଭୁକିବା |,ਸੱਕ
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
1. ତାଲା 2. ବେସିନ |,1. ਤਾਲਾ 2. ਬੇਸਿਨ
ତଲାବିସାରି |,ਤਾਲਾਬੀਸਰੀ
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
ଗଲ୍ଫ ମ so ସୁମୀ |,ਖਾੜੀ ਮਾਨਸੂਨ
ଫଳ ଉଦ୍ଭିଦ |,ਫਲ ਪੌਦਾ
ଶଯ୍ୟା,ਬਿਸਤਰਾ
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,ਬੈੱਡ ਪੌਦਾ
ଶଯ୍ୟା,ਬਿਸਤਰਾ
ବିଲା ଗୁଣ୍ଡ |,ਚੁਕੰਦਰ ਗੁੜ
ଘଣ୍ଟି,ਘੰਟੀ
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,1. ਪੱਟੀ 2. ਭੂਮੀ
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
ଆଶାକର୍ମୀ (ନମୁନା),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,ਦੋ-ਸਾਲਾ ਪੌਦੇ
ଦ୍ୱିପାକ୍ଷିକ |,ਬਾਇਨੋਮੀਅਲ
ବାୟୋଫାକ୍ଟର |,ਬਾਇਓਫੈਕਟਰ
ଜ bi ବିକ ଜଳବାୟୁ |,ਜੈਵਿਕ ਜਲਵਾਯੂ
ଜ o ବ ଶକ୍ତି |,ਬਾਇਓ ਊਰਜਾ
ଜୀବଜନ୍ତୁ ପରିବେଶ |,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
ଜ bi ବ ଜୀବ |,ਜੀਵ-ਮੰਡਲ
ବାୟୋଟିକ୍ |,ਬਾਇਓਟਿਕ
ପ୍ରାଣୀ,ਜੀਵ-ਜੰਤੂ
ଡିଭିଲିଙ୍ଗୀ |,ਡਿਵਿਲਿੰਗੀ
ଧାୱାଲାନ୍ |,ਧਵਲਨ
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
ମିଶ୍ରଣ,ਮਿਲਾਉਣਾ
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
ନୀଳ ବିପ୍ଳବ |,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
କଞ୍ଚା |,ਬਰੈਨ
ଶାଖା,ਬ੍ਰਾਂਚਿੰਗ
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
ପ୍ରଜାତି,ਨਸਲ
ପ୍ରଜନନ,ਪ੍ਰਜਨਨ
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
ଅଙ୍କୁରିତ |,ਉਭਰਦਾ
ବଜେଟ୍,ਬਜਟ
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
ମିଠା ଆଳୁ,ਮਿਠਾ ਆਲੂ
ବଣ୍ଟ (ରୋଗ),ਬੰਟ (ਰੋਗ)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
ତେଲ କେକ୍ |,ਤੇਲ ਕੇਕ
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
କାଲସିଅନ୍ |,ਕੈਲਸੀਓਨ
ଫସଫେଟ୍ ଅପସାରଣ |,ਫਾਸਫੇਟ ਹਟਾਉਣ
1. କିନାଟା 2. କାଲାଟା |,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
1. କଲସ୍ 2. କିରଣ,1. ਕੈਲਸ 2. ਕਿਰਨ
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
ବାହ୍ୟ ଶେଷ,ਬਾਹਰੀ ਅੰਤ
ଏଡା,ਏਡਾ
କର୍କଟ (ଜୀବାଣୁ),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
କ୍ୟାନିଂ |,ਕੈਨਿੰਗ
ଆକାଶ,ਅਸਮਾਨ
ଅର୍ଥ,ਵਿੱਤ
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
ଅଙ୍ଗାରକାମ୍ଳ |,ਕਾਰਬਨਾਈਜ਼ਡ
ଅଙ୍ଗାରକାମ୍ଳ |,ਕਾਰਬਨਾਨ
କାରାପେସ୍ |,carapace
ବ୍ରେସଲେଟ୍,ਬਰੇਸਲੈੱਟ
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
କାଟାବୋଲିଜିମ୍ |,catabolism
ପ୍ରେରଣା,ਪ੍ਰੇਰਣਾ
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
c d। N. a। ସଂଗ୍ରହ,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
ପରିସର,ਸੀਮਾ
1. କକ୍ଷ 2. କକ୍ଷ,1. ਸੈੱਲ 2. ਸੈੱਲ
କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,centrifugation
ସେଣ୍ଟ୍ରିଫୁଗ୍,ਸੈਂਟਰਿਫਿਊਜ
ତାରା କେନ୍ଦ୍ର |,ਸਟਾਰ ਸੈਂਟਰ
epigenetic,epigenetic
କେନ୍ଦୁ ra ର,ਕੇਂਦਰਜਾ
ଲୁମ୍,ਲੂਮ
1. ଶସ୍ୟ 2. କ୍ରମିକ |,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
ପ୍ରମାଣିତ ବିହନ |,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
