Marathi,Malayalam
पर्यायी फॉर्म,ഒന്നിടവിട്ട രൂപം
पर्यायी गट,ഇതര ഗ്രൂപ്പ്
पर्यायी मॅट्रिक्स,ഒന്നിടവിട്ട മാട്രിക്സ്
पर्यायी मालिका,ഒന്നിടവിട്ട പരമ്പര
पर्यायी गृहीतक,ഇതര സിദ്ധാന്തം
पर्यायी ऑप्टिमा,ഇതര ഒപ്റ്റിമ
पर्यायी परिणाम,ഇതര ഫലം
अॅनालॉग-टू-डिजिटल कनवर्टर,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
अॅनालॉग संगणक,അനലോഗ് കമ്പ്യൂട്ടർ
विश्लेषण,വിശകലനം
सहप्रसरणाचे विश्लेषण,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
गणना डेटाचे विश्लेषण,എണ്ണൽ ഡാറ്റയുടെ വിശകലനം
भिन्नतेचे विश्लेषण,വ്യതിയാനത്തിന്റെ വിശകലനം
विश्लेषणात्मक भूमिती,അനലിറ്റിക് ജ്യാമിതി
विश्लेषणात्मक कार्य,വിശകലന പ്രവർത്തനം
कोन,കോൺ
संपर्क कोन,കോൺടാക്റ്റ് കോൺ
विक्षेपण कोन,വ്യതിചലനത്തിന്റെ കോൺ
उदासीनता कोन,വിഷാദത്തിന്റെ ആംഗിൾ
विचलन कोन,വ്യതിയാനത്തിന്റെ കോൺ
विवर्तन कोन,ഡിഫ്രാക്ഷൻ കോൺ
उंचीचा कोन,എലവേഷൻ കോൺ
घटनेचा कोन,സംഭവത്തിന്റെ കോൺ
प्रक्षेपण कोन,പ്രൊജക്ഷൻ കോൺ
परावर्तन कोन,പ്രതിഫലനത്തിന്റെ കോൺ
अपवर्तन कोन,അപവർത്തന കോൺ
रोटेशनचा कोन,ഭ്രമണകോണ്
एकूण परावर्तनाचा कोन,മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ
कोनीय प्रवेग,കോണീയ ത്വരണം
कोणीय गती,കോണീയ ചലനം
कोनीय गती,കോണീയ വേഗത
कोनीय गती,കോണീയ പ്രവേഗം
वलय,വാർഷികം
उत्तर,ഉത്തരം
विरोधी व्युत्पन्न,ആന്റി-ഡെറിവേറ്റീവ്
विषमताविरोधी कार्य,ആന്റിസിമെട്രിക് പ്രവർത്തനം
लागू,ബാധകമാണ്
अर्ज,അപേക്ഷ
लागू डायनॅमिक प्रोग्रामिंग,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
लागू भूमिती,പ്രയോഗിച്ച ജ്യാമിതി
लागू गणित,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
लागू आकडेवारी,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
अंदाजे,ഏകദേശം
अंदाजे सतत कार्य,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
अंदाजे पद्धत,ഏകദേശ രീതി
अंदाजे उपाय,ഏകദേശ പരിഹാരം
अंदाजे समस्या,ഏകദേശ പ്രശ്നം
अंदाजे मालमत्ता,ഏകദേശ സ്വത്ത്
योग्यता चाचणी बॅटरी,ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി
आर्गंड आकृती,അർഗൻഡ് ഡയഗ്രം
अनियंत्रितपणे निवडले,ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു
अनियंत्रित,ഏകപക്ഷീയമായ
अनियंत्रित स्थिरांक,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
अनियंत्रित घटक,ഏകപക്ഷീയമായ ഘടകം
अनियंत्रित बिंदू,ഏകപക്ഷീയമായ പോയിന്റ്
आर्किमेडियन कायदा,ആർക്കെമീഡിയൻ നിയമം
आर्किमिडीज तत्त्व,ആർക്കിമിഡീസ് തത്വം
चाप लांबी,ആർക്ക് നീളം
वर्तुळाचा चाप,വൃത്താകൃതിയിലുള്ള കമാനം
आर्क साइन वितरण,ആർക്ക് സൈൻ വിതരണം
चाप साइन परिवर्तन,ആർക്ക് സൈൻ പരിവർത്തനം
क्षेत्र,പ്രദേശം
क्षेत्रीय पोत,ഏരിയൽ ടെക്സ്ചർ
जटिल संख्येचा युक्तिवाद,സങ്കീർണ്ണ സംഖ്യയുടെ വാദം
अंकगणित सरासरी,ഗണിത അർത്ഥം
अंकगणित ऑपरेशन,ഗണിത പ്രവർത്തനം
अंकगणित एकक,ഗണിത യൂണിറ്റ്
व्यवस्था,ക്രമീകരണം
रचना,അറേ
कृत्रिम उपग्रह,കൃത്രിമ ഉപഗ്രഹം
कृत्रिम व्हेरिएबल,കൃത്രിമ വേരിയബിൾ
चढणे,കയറുക
चढत्या,ആരോഹണം
परिमाणाचा चढता क्रम,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
चढत्या मालिका,ആരോഹണ പരമ്പര
असेंबलर भाषा,അസംബ്ലർ ഭാഷ
असाइनमेंट समस्या,അസൈൻമെന്റ് പ്രശ്നം
सहयोगी कायदा,സഹകാരി നിയമം
ऑपरेटर्सचा सहयोगी कायदा,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
सहयोगी ऑपरेशन,അനുബന്ധ പ്രവർത്തനം
सहवास,സഹവാസം
सरासरी गृहीत धरले,അർത്ഥമാക്കുന്നത്
गृहीत संभाव्यता वितरण,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
गृहीतक,അനുമാനം
ज्योतिष,ജ്യോതിഷം
अंतराळवीर अभियंता,ബഹിരാകാശ എഞ്ചിനീയർ
खगोलशास्त्रज्ञ,ജ്യോതിശാസ്ത്രജ്ഞൻ
खगोलशास्त्रीय घड्याळ,ജ്യോതിശാസ്ത്ര ഘടികാരം
खगोलशास्त्र,ജ്യോതിശാസ്ത്രം
असममित वक्र,അസമമായ വക്രം
विषमता,അസമമിതി
लक्षणे,ലക്ഷണം
लक्षणे नसलेला,അസിംപ്റ്റോട്ടിക്
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ
asymptotically निष्पक्ष अंदाजकर्ता,അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ
लक्षणे नसलेले वर्तन,അസിംപ്റ്റോട്ടിക് സ്വഭാവം
एसिम्प्टोटिक वितरण कार्य,അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ
एसिम्प्टोटिक विस्तार,അസിംപ്റ്റോട്ടിക് വികാസം
वातावरणाचा दाब,അന്തരീക്ഷമർദ്ദം
यादृच्छिकपणे,മാറി മാറി
विशेषता,ആട്രിബ്യൂട്ട്
गुणधर्म नमुना प्रक्रिया,ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം
संवर्धित मॅट्रिक्स,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
स्वयंसंबंध गुणांक,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
स्वयंसंबंध कार्य,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
autocovariance,ഓട്ടോകോവേരിയൻസ്
स्वयंचलित संगणक,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
ऑटोरिग्रेशन,സ്വയം റിഗ്രഷൻ
सहाय्यक समीकरण,സഹായ സമവാക്യം
सरासरी नमुना क्रमांक वक्र (ASN वक्र),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്)
स्वयंसिद्ध,സിദ്ധാന്തം
स्वयंसिद्ध दृष्टीकोन,അച്ചുതണ്ട് സമീപനം
संभाव्यतेचे स्वयंसिद्ध,സംഭാവ്യതയുടെ സിദ്ധാന്തം
अक्ष,അച്ചുതണ്ട്
abscissa चा अक्ष,അബ്സിസ്സയുടെ അച്ചുതണ്ട്
पृथ्वीचा अक्ष,ഭൂമിയുടെ അച്ചുതണ്ട്
क्रांतीची अक्ष,വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്
रोटेशनचा अक्ष,ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്
फिरकीचा अक्ष,സ്പിന്നിന്റെ അച്ചുതണ്ട്
परत प्रतिस्थापन,തിരികെ-പകരം
मागास फरक,പിന്നാക്ക വ്യത്യാസം
बॅकवर्ड-इंटरपोलेशन सूत्र,ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല
शिल्लक,ബാലൻസ്
संतुलित डिझाइन,സമതുലിതമായ ഡിസൈൻ
ताळेबंद,ബാലൻസ് ഷീറ്റ്
बॅलिस्टिक क्षेपणास्त्र,ബാലിസ്റ്റിക് മിസൈൽ
बॅलिस्टिक्स,ബാലിസ്റ്റിക്സ്
बार,ബാർ
पाया,അടിസ്ഥാനം
बेस कोन,അടിസ്ഥാന കോൺ
लॉगरिदमचा आधार,ലോഗരിതം അടിസ്ഥാനം
मूलभूत,അടിസ്ഥാന
मूलभूत व्यवहार्य उपाय,അടിസ്ഥാന പ്രായോഗിക പരിഹാരം
मूलभूत उपाय,അടിസ്ഥാന പരിഹാരം
मूलभूत चल,അടിസ്ഥാന വേരിയബിൾ
आधार,അടിസ്ഥാനം
आधार घटक,അടിസ്ഥാന ഘടകം
आधार मॅट्रिक्स,അടിസ്ഥാന മാട്രിക്സ്
वेक्टर स्पेसचा आधार,ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
सबस्पेसचा आधार,ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം
बायसियन अंदाज,ബയേസിയൻ എസ്റ്റിമേറ്റ്
बायसचा कायदा,ബയേസിന്റെ നിയമം
बायसचे प्रमेय,ബയേസിന്റെ സിദ്ധാന്തം
बर्नौली वितरण,ബെർണൂലി വിതരണം
बर्नौली क्रमांक,ബെർണൂലി നമ്പർ
बर्नौली संभाव्यता कार्य,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
बर्नौलीचे समीकरण,ബെർണൂലിയുടെ സമവാക്യം
बेरी फंक्शन,ബെറി പ്രവർത്തനം
सर्वोत्तम फिट,ഏറ്റവും അനുയോജ്യം
सर्वोत्तम - फिट लाइन,ഏറ്റവും അനുയോജ്യമായ ലൈൻ
सर्वोत्तम उपाय,മികച്ച പരിഹാരം
सर्वोत्तम धोरणे,മികച്ച തന്ത്രങ്ങൾ
बीटा वितरण,ബീറ്റ വിതരണം
पक्षपात,പക്ഷപാതം
पक्षपाती अंदाज,പക്ഷപാതപരമായ കണക്ക്
बिहारमोनिक समीकरण,ബൈഹാർമോണിക് സമവാക്യം
द्विभाजन,ബിജക്ഷൻ
द्विभाषिक नकाशा,ബിജക്റ്റീവ് മാപ്പ്
द्विजात्मक मॅपिंग,ബിജക്റ്റീവ് മാപ്പിംഗ്
द्विरेखीय फॉर्म,ബിലീനിയർ രൂപം
द्विरेखीय कार्य,ബിലീനിയർ ഫംഗ്ഷൻ
द्विरेखीय हर्मिटियन फॉर्म,ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം
बायनरी,ബൈനറി
बायनरी कोड,ബൈനറി കോഡ്
बायनरी कोडेड दशांश,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
बायनरी कोडिंग,ബൈനറി കോഡിംഗ്
बायनरी संगणक,ബൈനറി കമ്പ്യൂട്ടർ
बायनरी अंक,ബൈനറി അക്കം
बायनरी ऑपरेशन,ബൈനറി പ്രവർത്തനം
बायनरी प्रणाली,ബൈനറി സിസ്റ്റം
बायनरी व्हेरिएबल,ബൈനറി വേരിയബിൾ
द्विपदी गुणांक,ദ്വിപദ ഗുണകം
द्विपदी वितरण,ദ്വിപദ വിതരണം
द्विपद समीकरण,ദ്വിപദ സമവാക്യം
द्विपदी विस्तार,ദ്വിപദ വിപുലീകരണം
द्विपदी अभिव्यक्ती,ദ്വിപദ പദപ്രയോഗം
द्विपदी यादृच्छिक चल,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
द्विपद प्रमेय,ദ്വിപദ സിദ്ധാന്തം
दुभाजक,വിഭജനം
दुभाजक पद्धत,വിഭജന രീതി
दुभाजक,ദ്വിഭാഗം
द्विसेरियल,ബൈസീരിയൽ
बिट,ബിറ്റ്
द्विपदी द्विपद वितरण,ദ്വിപദ ദ്വിപദ വിതരണം
द्विवैरिएट सहसंबंध गुणांक,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
द्विभिन्न वितरण,ദ്വിവിധ വിതരണം
द्विवैरिएट सामान्य वितरण,ദ്വിവത്കൃത സാധാരണ വിതരണം
bivector,ബിവെക്ടർ
बोल्ट्झमन समीकरण,ബോൾട്ട്സ്മാൻ സമവാക്യം
बुलियन बीजगणित,ബൂളിയൻ ബീജഗണിതം
बोस - आईन्स्टाईन आकडेवारी,ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
सीमा स्थिती,അതിർത്തി അവസ്ഥ
सीमा स्तर,അതിർത്തി പാളി
सीमारेषा,അതിർത്തി രേഖ
सीमा मूल्य,അതിർത്തി മൂല്യം
सीमा मूल्य समस्या,അതിർത്തി മൂല്യ പ്രശ്നം
बंधनकारक कार्य,പരിമിതമായ പ്രവർത്തനം
सीमाबद्ध मॅट्रिक्स,ബൗണ്ടഡ് മാട്രിക്സ്
सीमाबद्ध प्रदेश,അതിർത്തി പ്രദേശം
बांधलेला संच,ബൗണ്ടഡ് സെറ്റ്
ब्राउनियन गती,ബ്രൗൺ ചലനം
गणना करा,കണക്കാക്കുക
गणना करत आहे,കണക്കുകൂട്ടുന്നു
गणना मशीन,കണക്കുകൂട്ടൽ യന്ത്രം
गणना,കണക്കുകൂട്ടല്
गणना प्रक्रिया,കണക്കുകൂട്ടൽ നടപടിക്രമം
कॅल्क्युलेटर,കാൽക്കുലേറ്റർ
कॅल्क्युलस,കാൽക്കുലസ്
भिन्नतेची गणना,വ്യതിയാനത്തിന്റെ കണക്കുകൂട്ടൽ
कॅलरी,കലോറി
रद्द करण्याचा कायदा,റദ്ദാക്കൽ നിയമം
प्रामाणिक समीकरण,കാനോനിക്കൽ സമവാക്യം
प्रामाणिक स्वरूप,കാനോനിക്കൽ രൂപം
कॅनोनिकल मॅट्रिक्स,കാനോനിക്കൽ മാട്രിക്സ്
कॅंटर सेट,കാന്റർ സെറ്റ്
कॅंटरचा तिरंगी संच,കാന്ററിന്റെ ത്രിതല സെറ്റ്
सक्षम वाहतूक समस्या,ശേഷിയുള്ള ഗതാഗത പ്രശ്നം
क्षमता,ശേഷി
केशिका शक्ती,കാപ്പിലറി ബലം
मुख्य क्रमांक,കാർഡിനൽ നമ്പർ
कार्टेशियन अक्ष,കാർട്ടീഷ്യൻ അക്ഷങ്ങൾ
कार्टेशियन समन्वय,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
कार्टेशियन उत्पादन,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
संचांचे कार्टेशियन उत्पादन,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
केस स्टडी,കേസ് പഠനം
आपत्तीजनक चढउतार,വിനാശകരമായ ഏറ്റക്കുറച്ചിലുകൾ
कॅटेनरी,കാറ്റനറി
कॉची वितरण,കോച്ചി വിതരണം
कॉची सूत्र,കൗച്ചി ഫോർമുല
कैची गौरसाट प्रमेय,Cauchy Goursat സിദ്ധാന്തം
Cauchy Riemann अटी,കൗച്ചി റീമാൻ വ്യവസ്ഥകൾ
कॉची क्रम,Cauchy ക്രമം
कैची अभिन्न,കൗച്ചി ഇന്റഗ്രൽ
कॉची मुख्य मूल्य,Cauchy പ്രധാന മൂല്യം
कॉची अवशेष प्रमेय,കൗച്ചി അവശിഷ്ട സിദ്ധാന്തം
केली हॅमिल्टन प्रमेय,കെയ്‌ലി ഹാമിൽട്ടൺ സിദ്ധാന്തം
आकाशीय शरीर,ആകാശ ശരീരം
आकाशीय मापन,ആകാശത്തിന്റെ അളവ്
खगोलीय यांत्रिकी,ആകാശ മെക്കാനിക്സ്
खगोलीय वस्तू,ആകാശ വസ്തു
सेल वारंवारता,സെൽ ആവൃത്തി
जनगणना,കാനേഷുമാരി
सेंटाइल,സെന്റൽ
सेंटीमीटर,സെന്റീമീറ്റർ
सेंटीमीटर ग्रॅम दुसरी प्रणाली,സെന്റീമീറ്റർ ഗ്രാം സെക്കന്റ് സിസ്റ്റം
मध्यवर्ती,കേന്ദ്ര
मध्य अक्ष,കേന്ദ്ര അക്ഷം
मध्यवर्ती फरक,കേന്ദ്ര വ്യത്യാസം
केंद्रीय फरक सूत्र,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
मध्यवर्ती फरक सारणी,കേന്ദ്ര വ്യത്യാസ പട്ടിക
केंद्रीय मर्यादा प्रमेय,കേന്ദ്ര പരിധി സിദ്ധാന്തം
मध्यवर्ती क्षण,കേന്ദ്ര നിമിഷം
सेंट्रल प्रोसेसिंग युनिट (CPU),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
केंद्रीय प्रवृत्ती,കേന്ദ്ര പ്രവണത
केंद्र,കേന്ദ്രം
गुरुत्वाकर्षण केंद्र,ഗുരുത്വാകർഷണ കേന്ദ്രം
गटाचे केंद्र,ഗ്രൂപ്പിന്റെ കേന്ദ്രം
वस्तुमानाचे केंद्र,പിണ്ഡത്തിന്റെ കേന്ദ്രം
सममितीचे केंद्र,സമമിതിയുടെ കേന്ദ്രം
केंद्रापसारक शक्ती,അപകേന്ദ്ര ബലം
केंद्राभिमुख शक्ती,അപകേന്ദ്രബലം
मध्यवर्ती,കേന്ദ്രീകൃത
निश्चितता,ഉറപ്പ്
cgs प्रणाली,cgs സിസ്റ്റം
cgs युनिट,cgs യൂണിറ്റ്
भिन्नतेचा साखळी नियम,വ്യത്യാസത്തിന്റെ ശൃംഖല
संधी कारणे,സാധ്യത കാരണങ്ങൾ
संधीची हालचाल,അവസര നീക്കങ്ങൾ
अक्षांचा बदल,അച്ചുതണ്ടുകളുടെ മാറ്റം
आधार बदल,അടിസ്ഥാന മാറ്റം
ऑर्डर बदल,ക്രമം മാറ്റം
वैशिष्ट्यपूर्ण गुणांक,സ്വഭാവ ഗുണകം
निर्धारक,ഡിറ്റർമിനന്റ്
वैशिष्ट्यपूर्ण समीकरण,സ്വഭാവ സമവാക്യം
वैशिष्ट्यपूर्ण कार्य,സ്വഭാവ സവിശേഷത
लॉगरिथमचे वैशिष्ट्य,ലോഗരിതത്തിന്റെ സ്വഭാവം
वैशिष्ट्यपूर्ण बहुपद,സ്വഭാവ ബഹുപദം
वैशिष्ट्यपूर्ण मूल्य,സ്വഭാവ മൂല്യം
वैशिष्ट्यपूर्ण वेक्टर,സ്വഭാവ വെക്റ്റർ
वर्ण संच,പ്രതീക സെറ്റ്
तक्ता,ചാർട്ട്
ची-स्क्वेअर वितरण,ചി-സ്ക്വയർ വിതരണം
ची-स्क्वेअर सूत्र,ചി-സ്ക്വയർ ഫോർമുല
ची-स्क्वेअर चाचणी,ചി-സ്ക്വയർ ടെസ്റ്റ്
जीवा,കോർഡ്
जीवा-द्विभाजन पद्धत,chord-bisection രീതി
सायफर संदेश (=कोड केलेला संदेश),സൈഫർ സന്ദേശം (=കോഡ് ചെയ്ത സന്ദേശം)
सिफर (शून्य),സൈഫർ (പൂജ്യം)
वर्तुळ,വൃത്തം
अभिसरण मंडळ,ഒത്തുചേരൽ വൃത്തം
सर्किट मॅट्रिक्स,സർക്യൂട്ട് മാട്രിക്സ്
परिपत्रक,വൃത്താകൃതിയിലുള്ള
वर्तुळाकार लक्षण,വൃത്താകൃതിയിലുള്ള ലക്ഷണം
गोलाकार हेलिक्स,വൃത്താകൃതിയിലുള്ള ഹെലിക്സ്
गोलाकार हालचाल,വൃത്താകൃതിയിലുള്ള ചലനം
परिघ,ചുറ്റളവ്
वर्तुळ,വൃത്താകൃതി
परिक्रमा,ചുറ്റുക
घेरलेले,പരിമിതപ്പെടുത്തിയിരിക്കുന്നു
परिक्रमा केलेले वर्तुळ,ചുറ്റപ്പെട്ട വൃത്തം
शास्त्रीय वजावटी तंत्र,ക്ലാസിക്കൽ ഡിഡക്റ്റീവ് ടെക്നിക്
शास्त्रीय गतिशीलता,ക്ലാസിക്കൽ ഡൈനാമിക്സ്
शास्त्रीय ऑप्टिमायझेशन,ക്ലാസിക്കൽ ഒപ്റ്റിമൈസേഷൻ
शास्त्रीय नाश समस्या,ക്ലാസിക്കൽ നാശത്തിന്റെ പ്രശ്നം
शास्त्रीय सांख्यिकीय यांत्रिकी,ക്ലാസിക്കൽ സ്റ്റാറ്റിസ്റ്റിക്കൽ മെക്കാനിക്സ്
त्रुटींचे वर्गीकरण,പിശകുകളുടെ വർഗ്ഗീകരണം
वर्ग मध्यांतर,ക്ലാസ് ഇടവേള
वर्ग-मध्यांतर युनिट,ക്ലാസ്-ഇന്റർവെൽ യൂണിറ്റ്
वर्ग मर्यादा,ക്ലാസ് പരിധി
घड्याळाच्या दिशेने,ഘടികാരദിശയിൽ
क्लोपेन (= बंद आणि उघडा),ക്ലോപ്പൻ (= അടച്ചതും തുറന്നതും)
बंद,അടച്ചു
बंद बहिर्वक्र हुल,അടഞ്ഞ കോൺവെക്സ് ഹൾ
बंद घन,അടച്ച ക്യൂബ്
बंद वक्र,അടഞ്ഞ വക്രം
बंद डोमेन,അടച്ച ഡൊമെയ്ൻ
बंद आकृती,അടഞ്ഞ രൂപം
बंद अंतराल,അടച്ച ഇടവേള
बंद प्रदेश,അടച്ച പ്രദേശം
बंद संच,അടച്ച സെറ്റ്
बंद पृष्ठभाग,അടഞ്ഞ പ്രതലം
बंद,അടച്ചുപൂട്ടൽ
बंद ऑपरेटर,ക്ലോഷർ ഓപ്പറേറ്റർ
बंद बिंदू (= संपर्क बिंदू),ക്ലോഷർ പോയിന്റ് (= കോൺടാക്റ്റ് പോയിന്റ്)
बंद करणे,അടച്ചുപൂട്ടൽ പോസ്റ്റുലേറ്റ്
बंद सेट,അടച്ചുപൂട്ടൽ സെറ്റ്
क्लस्टर पॉइंट,ക്ലസ്റ്റർ പോയിന്റ്
क्लस्टर सॅम्पलिंग,ക്ലസ്റ്റർ സാമ്പിൾ
क्लस्टर सेट,ക്ലസ്റ്റർ സെറ്റ്
समाक्षीय मंडळे,ഏകപക്ഷീയ വൃത്തങ്ങൾ
