Kannada,Malayalam
"ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ","കേവല തീവ്രത, കേവല തീവ്രത"
ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್,കേവല പ്രകാശം സിൽ
ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್,കേവല പ്രകാശ വക്രം
ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ,കേവലമായ അളവ്
ಸಂಪೂರ್ಣ ಮಾಪಕ,കേവല ബാരോമീറ്റർ
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,പരമോന്നത പരമോന്നത
ಸಂಪೂರ್ಣ ವಿಪರೀತ,സമ്പൂർണ്ണ പരിധി
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,ഏറ്റവും താഴ്ന്നത്
ಸಂಪೂರ್ಣ ಆವೇಗ,കേവല ആക്കം
ಸಂಪೂರ್ಣ ವೇಗ,കേവല വേഗത
ಸಂಪೂರ್ಣ ಸಂಗೀತ,കേവല സംഗീതം
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,സമ്പൂർണ നിരീക്ഷണം
ಸಂಪೂರ್ಣ ಓಂ,കേവല ഓം
ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ,കേവല ഓറിയന്റേഷൻ
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ,കേവല ഗുരുത്വാകർഷണം
ಸಂಪೂರ್ಣ ಒತ್ತಡ,കേവല മർദ്ദം
ಸಂಪೂರ್ಣ ಆಸ್ತಿ,സമ്പൂർണ്ണ സ്വത്ത്
ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್,കേവല സ്കെയിലർ
ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*,താപനിലയുടെ കേവല സ്കെയിൽ*
"ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ","കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
ಸಂಪೂರ್ಣ ಒತ್ತಡ,സമ്പൂർണ്ണ സമ്മർദ്ദം
ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ,കേവല സമമിതി
ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ,കേവല ചലന ശരീരം
ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ,കേവല യൂണിറ്റ് സിസ്റ്റം
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,കേവല താപനില
ಸಂಪೂರ್ಣ ಸಮಯ,കേവല സമയം
ಸಂಪೂರ್ಣ ಘಟಕಗಳು,കേവല യൂണിറ്റുകൾ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,യഥാർത്ഥ മൂല്യം
ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ
ಸಂಪೂರ್ಣ ವೇಗ,കേവല വേഗത
ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ,കേവല വിസ്കോസിറ്റി
ಸಂಪೂರ್ಣ ತೂಕ,കേവല ഭാരം
ಸಂಪೂರ್ಣ ಶೂನ್ಯ*,കേവല പൂജ്യം*
ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ,പൂജ്യത്തിന്റെ കേവല വിഭജനം
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,ആഗിരണം ചെയ്യുക
ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*,ആഗിരണ സൂചിക*
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ,ആഗിരണം ചെയ്ത ഊർജ്ജം
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","ആഗിരണം, ആഗിരണം"
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*,ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ആഗിരണം ശേഷി
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ആഗിരണം
ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*,അബ്സോർപ്റ്റിയോമീറ്റർ*
ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*,അബ്സോർപ്റ്റിയോമെട്രി*
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ആഗിരണം
ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*,ആഗിരണം - ബാൻഡ്*
ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್,ആഗിരണം സർക്യൂട്ട്
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,ആഗിരണം ഗുണകം
ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್,ആഗിരണം കോളം
ಹೀರುವಿಕೆ ಸ್ಥಿರ,ആഗിരണ സ്ഥിരത
ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ,ആഗിരണ തുടർച്ച
ಹೀರಿಕೊಳ್ಳುವ ವಲಯ,ആഗിരണം മേഖല
ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ,ആഗിരണം കറന്റ്
ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*,ആഗിരണം വക്രം*
ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ,ആഗിരണം ഒടിവ്
ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್,ആഗിരണം കോർ
ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ,ആഗിരണം ഘടകം
ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್,ആഗിരണം ഫിൽട്ടർ
ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*,അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ಹೀರಿಕೊಳ್ಳುವ ಘಾತ,ആഗിരണ ഘാതം
ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ,ആഗിരണം നാമമാത്രമാണ്
ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ,ആഗിരണം ലൈൻ
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,ആഗിരണം നഷ്ടം
ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್,ആഗിരണം മോഡുലേഷൻ
ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,പ്രകാശം ആഗിരണം
ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം
ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ,ആഗിരണം കൊടുമുടി
ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ,ആഗിരണം ഫോട്ടോമെട്രി
ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ,ആഗിരണം അനുപാതം
ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*,ആഗിരണം പരിധി*
ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*,ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*,ആഗിരണം സ്പെക്ട്രം*
"ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ","ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്"
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ಹೀರಿಕೊಳ್ಳುವ*,ആഗിരണം ചെയ്യാവുന്ന*
ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ,ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം
ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*,ആഗിരണം നിയമം*
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ,ആഗിരണം മീഡിയം
"ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*","ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*"
ಹೀರಿಕೊಳ್ಳುವಿಕೆ*,ആഗിരണം*
ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ,സ്റ്റുഡിയോ അലങ്കാരം
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,ഗുണിത അനുപാതം
abvolt,അബോൾട്ട്
ಸುಮಾರು,കുറിച്ച്
ವೇಗವನ್ನು,ത്വരിതപ്പെടുത്തുക
ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ,ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം
ಆತುರಪಟ್ಟರು,തിടുക്കപ്പെട്ടു
ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,ദ്രുത സമയ ഫല പരിശോധന
ತ್ವರಿತ ಹರಿವು,പെട്ടെന്നുള്ള ഒഴുക്ക്
ತ್ವರಿತ ಗತಿ,പെട്ടെന്നുള്ള വേഗത
ತ್ವರಿತ ದೇಹ,പെട്ടെന്നുള്ള ശരീരം
ವೇಗವರ್ಧಕ ತೂಕ,ആക്സിലറേറ്റർ തൂക്കം
ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*,ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*
ವೇಗವರ್ಧಕ ಸಮಯ*,ആക്സിലറേറ്റർ സമയം*
ವೇಗವರ್ಧಕ ಹಂತ,ആക്സിലറേറ്റർ ഘട്ടം
ವೇಗವರ್ಧಕ ದರ,ആക്സിലറേറ്റർ നിരക്ക്
ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*,ആക്സിലറേറ്റർ വോൾട്ടേജ്*
ವೇಗವರ್ಧನೆ,ത്വരണം
ವೇಗವರ್ಧಿತ ದಹನ,ത്വരിതപ്പെടുത്തിയ ജ്വലനം
ವೇಗವರ್ಧಕ ಗುಣಾಂಕ,ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്
ವೇಗವರ್ಧಕ ಘಟಕ,ത്വരണം ഘടകം
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ವೇಗವರ್ಧಕ ಅಂಶ,ത്വരണം ഘടകം
ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್,ത്വരിതപ്പെടുത്തിയ ചാർജ്
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ഗുരുത്വാകർഷണ ത്വരണം
ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ,ത്വരണം സാധ്യത
ವೇಗವರ್ಧಕ ಕಾನೂನು,ത്വരിതപ്പെടുത്തൽ നിയമം
ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ,ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ
ವೇಗವರ್ಧಕ ವಲಯ,ആക്സിലറേഷൻ സോൺ
ವೇಗವರ್ಧಕ ವಿಧಾನ,ത്വരിതപ്പെടുത്തൽ രീതി
"ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ","ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്"
ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್,ആക്സിലറേഷൻ വെക്റ്റർ
ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್,ത്വരണം-വോൾട്ടേജ്
ವೇಗವರ್ಧಕ ತರಂಗ,ത്വരണം തരംഗം
ವೇಗವರ್ಧಕ,ആക്സിലറേറ്റർ
"ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*","ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*"
ವೇಗವರ್ಧಕ ಸಮೀಕರಣ,ആക്സിലറേറ്റർ സമവാക്യം
ವೇಗವರ್ಧಕ*,ആക്സിലറേറ്റർ*
ವೇಗವರ್ಧಕ,ആക്സിലറോമീറ്റർ
ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ,ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ
ಪ್ರಿಸ್ಟ್ರೆಸರ್,പ്രിസ്ട്രെസർ
ಮಾನ್ಯ ಅಕ್ಷರಗಳು,സാധുവായ പ്രതീകങ്ങൾ
ಸ್ವೀಕಾರ ಕೋನ,സ്വീകാര്യത കോൺ
ಸ್ವೀಕಾರ ವಿವರಣೆ,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,സ്വീകാര്യമായ പരിശോധന
"ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು","സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ"
ಗ್ರಾಹಕ ಪರಮಾಣು,റിസപ്റ്റർ ആറ്റം
ಗ್ರಾಹಕ ಬಂಧ,റിസപ്റ്റർ ബോണ്ട്
ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್,റിസീവർ സർക്യൂട്ട്
ಗ್ರಾಹಕ ಮಟ್ಟ,റിസപ്റ്റർ ലെവൽ
ದಾನಿ ಅಣು,ദാതാവിന്റെ തന്മാത്ര
ಗ್ರಾಹಕ ಆಸ್ತಿ,റിസപ്റ്റർ പ്രോപ്പർട്ടി
ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ,റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ
ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ,ആക്സിലറേറ്റർ ഹോസ്
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം"
ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ,ഭുജിലേക്ക് പ്രവേശിക്കുക
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,ആക്സസ് സിസ്റ്റം
ಪ್ರವೇಶ ಸಮಯ,പ്രവേശന സമയം
ಪ್ರವೇಶಿಸುವಿಕೆ,പ്രവേശനക്ഷമത
"ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು","അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ"
ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು,അധിക നിയന്ത്രണങ്ങൾ
ಕಾಕತಾಳೀಯ,യാദൃശ്ചികം
ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ,ആകസ്മികമായ തിരുത്തൽ
ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ,ആകസ്മികമായ ബയോജനസിസ്
ಆಕಸ್ಮಿಕ ತಿರುವು,ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ
ಸಂದರ್ಶಕರ ದೋಷ,സന്ദർശക പിശക്
"ಹಠಾತ್ ನಿಲುಗಡೆ, ಹಠಾತ್ ಕ್ಲ್ಯಾಂಪ್","പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക"
ಆಕಸ್ಮಿಕ ಪ್ರಸರಣ,ആകസ്മികമായ കൈമാറ്റം
ಯಾದೃಚ್ಛಿಕ ವ್ಯತ್ಯಾಸ,ക്രമരഹിതമായ വ്യതിയാനം
ಹೊಂದಾಣಿಕೆ,ക്രമീകരിക്കൽ
ನೆಲೆಗೊಂಡಿದೆ,സ്ഥാനം പിടിച്ചു
ಸಂಚಿತ ದೋಷ,സഞ്ചിത പിശക്
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","ശേഖരണം, ശേഖരണം"
ಶಕ್ತಿ ಸಂಗ್ರಹಣೆ,ഊർജ്ജ സംഭരണം
ಸಂಚಯಕ*,ശേഖരണം*
ನಿಖರತೆ,കൃത്യത
ರಿಯಾಲಿಟಿ,റിയാലിറ്റി
ನಿಜವಾದ ಉಪಕರಣ ವೀಕ್ಷಣೆ,യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം
ನಿಖರ ಶ್ರೇಣಿಯ ಮಾರ್ಕರ್,കൃത്യമായ റേഞ്ച് മാർക്കർ
ನಿಖರವಾದ ಸ್ಕ್ಯಾನಿಂಗ್,കൃത്യമായ സ്കാനിംഗ്
ಅಭ್ಯಾಸ,പ്രാക്ടീസ്
ವೇಗವರ್ಧಕ ಕೋಶ*,ആക്സിലറേറ്റർ സെൽ*
ವರ್ಣರಹಿತ ಮಸೂರ*,അക്രോമാറ്റിക് ലെൻസ്*
ವರ್ಣರಹಿತ*,അക്രോമാറ്റിക്*
ವರ್ಣರಹಿತ ವಿಶ್ಲೇಷಕ,അക്രോമാറ്റിക് അനലൈസർ
ಆವರ್ತನ ತಟಸ್ಥ ಆಂಟೆನಾ,ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന
ವರ್ಣರಹಿತ ಆಕಾರ,അക്രോമാറ്റിക് ആകൃതി
ವರ್ಣರಹಿತ ಫ್ರಿಂಜ್,അക്രോമാറ്റിക് തൊങ്ങൽ
ವರ್ಣರಹಿತ ಮಸೂರ*,അക്രോമാറ്റിക് ലെൻസ്*
ವರ್ಣರಹಿತ ಬಿಂದು ಮಾರ್ಗ,അക്രോമാറ്റിക് പോയിന്റ് പാത
ವರ್ಣರಹಿತ ಮಸೂರ,അക്രോമാറ്റിക് ലെൻസ്
ವರ್ಣರಹಿತ ಪ್ರಿಸ್ಮ್,അക്രോമാറ്റിക് പ്രിസം
ವರ್ಣರಹಿತ ದೂರದರ್ಶಕ,അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്
ವರ್ಣರಹಿತತೆ*,അക്രോമാറ്റിറ്റി*
ವರ್ಣಮಯಗೊಳಿಸುವಿಕೆ*,അക്രോമാറ്റിസേഷൻ*
ವರ್ಣರಹಿತತೆ*,അക്രോമാറ്റിറ്റി*
