Gujarati,Assamese
ક્લાઈન્ટ સ્ટબ,ক্লায়েন্ট ষ্টাব
ક્લિપ આર્ટ,ক্লিপ আৰ্ট
ક્લિપ આર્ટ લાઇબ્રેરી,ক্লিপ আৰ্ট লাইব্ৰেৰী
ક્લિપ બોર્ડ,ক্লিপ বৰ্ড
ક્લિપર,ক্লিপাৰ
ક્લિપર ચિપ,ক্লিপাৰ চিপ
સમૂહ,ক্লিক
ઘડિયાળ,ঘড়ী
ઘડિયાળ ચક્ર,ঘড়ীৰ চক্ৰ
ઘડિયાળની આવર્તન,ঘড়ীৰ কম্পাঙ্ক
ઘડિયાળ હાર્ડવેર,ঘড়ী হাৰ্ডৱেৰ
ઘડિયાળની પલ્સ,ঘড়ীৰ স্পন্দন
ઘડિયાળની ઝડપ,ঘড়ীৰ গতি
ઘડિયાળ સુમેળ,ঘড়ী সমন্বয়
ઘડિયાળની ટીક,ঘড়ীৰ টিক
ક્લોન,ক্ল&#39;ন
બંધ,বন্ধ
ક્લોઝ સર્કિટ ટીવી (CCTV),ক্ল&#39;জ চাৰ্কিট টিভি (CCTV)
બંધ,বন্ধ কৰা
ક્લાઉડ કમ્પ્યુટિંગ,ক্লাউড কম্পিউটিং
ક્લસ્ટર,গুচ্ছ
કોટેડ કાર્ડ,আৱৰণযুক্ত কাৰ্ড
કોટેડ કાગળ,আৱৰণযুক্ত কাগজ
કોક્સિયલ,সমাক্ষীয়
કો - એક્ષેલ કેબલ,সমাক্ষীয় কেবল
કોડાસિલ,কোডাচাইল
કોડ,ক&#39;ড
કોડ જનરેટર,ক&#39;ড জেনেৰেটৰ
કોડ પેજ,ক&#39;ড পৃষ্ঠা
કોડ શબ્દ,ক&#39;ড শব্দ
કોડર,ক&#39;ডাৰ
કોડિંગ તપાસ,ক&#39;ডিং পৰীক্ষা
કોડિંગ ફોર્મ,ক&#39;ডিং ফৰ্ম
કોડિંગ શીટ,ক&#39;ডিং শ্বীট
ગુણાંક,সহগ
સુસંગતતા,সংহতি
ઠંડા બૂટ,ঠাণ্ডা বুট
ઠંડી શરૂઆત,ঠাণ্ডা আৰম্ভণি
સહયોગ,সহযোগিতা
પતન,পতন হোৱা
કોલેટ,collate
કોલેટ ટેપ,টেপ কোলেট কৰক
અથડામણ,সংঘৰ্ষ
કોલોન,বৃহদান্ত্ৰ
રંગ (રંગ),ৰং (ৰং)
રંગ સંતૃપ્તિ,ৰঙৰ পৰিপূৰকতা
રંગ ટેબલ,ৰঙৰ টেবুল
કૉલમ,স্তম্ভ
સંયોજન,সংমিশ্ৰণ
કૉમ્બો બૉક્સ,কম্বো বক্স
આદેશ,আদেশ
આદેશ બટન,কমাণ্ড বুটাম
આદેશ યાદી,কমাণ্ড তালিকা
ટિપ્પણી,মন্তব্য
પ્રતિબદ્ધતા,অংগীকাৰ
કોમોડિટી,পণ্য
કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (કોબોલ),সাধাৰণ ব্যৱসায়মুখী ভাষা (Cobol)
સામાન્ય ભૂલ,সাধাৰণ ভুল
સામાન્ય ભાષા,সাধাৰণ ভাষা
સામાન્ય દિનચર્યા,সাধাৰণ ৰুটিন
સંચાર,যোগাযোগ
સંચાર લાઇન,যোগাযোগ লাইন
સંચાર મોડ,যোগাযোগ ধৰণ
સંચાર નેટવર્ક,যোগাযোগ নেটৱৰ্ক
સંચાર પરિમાણ,যোগাযোগ প্ৰাচল
સંચાર વ્યવસ્થા,যোগাযোগ ব্যৱস্থা
કોમ્પેક્શન,সংকোচন
કમ્પેન્ડર,কম্পাণ্ডাৰ
સંયોજન,companding
કંપની નેટવર્ક,কোম্পানী নেটৱৰ্ক
સરખામણી કસોટી,তুলনামূলক পৰীক্ষা
સુસંગતતા,সামঞ্জস্যতা
સુસંગત,উপযুক্ত
સંકલન,সংকলন
કમ્પાઇલ કરો અને જાઓ,কম্পাইল কৰক আৰু যাওক
કમ્પાઇલર,কম্পাইলাৰ
કમ્પાઇલર ભાષા,কম্পাইলাৰ ভাষা
પૂરક,পৰিপূৰক
દસ પર પૂરક,দহজনৰ ওপৰত পৰিপূৰক
પૂરક,পৰিপূৰক
સંપૂર્ણ વહન,সম্পূৰ্ণ কঢ়িয়াই নিয়া
જટિલ,জটিল
જટિલ સંખ્યા,জটিল সংখ্যা
ઘટક,উপাদান
કમ્પોનન્ટ ઑબ્જેક્ટ મોડલ (COM),উপাদান বস্তুৰ আৰ্হি (COM)
સંયુક્ત,কম্পোজিট
રચના,সুৰ-ৰচনা
કોમ્પ્યુટેશનલ,গণনামূলক
કમ્પ્યુટર,কম্পিউটাৰ
કમ્પ્યુટર કેન્દ્ર,কম্পিউটাৰ কেন্দ্ৰ
કમ્પ્યુટર નિષ્ણાત,কম্পিউটাৰ বিশেষজ্ঞ
