Hindi,Telugu
अभिगम विधि नेमका,యాక్సెస్ పద్ధతి దినచర్య
अभिगम विधा,యాక్సెస్ మోడ్
अभिगम अधिकार,హక్కును యాక్సెస్ చేయండి
अभिगम क्रमवीक्षण,యాక్సెస్ స్కాన్
अभिगम काल,ప్రాప్యత సమయం
लेखा कार्य,అకౌంటింగ్
लेखाकार्य वित्त तंत्र,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
लेखा यंत्र,అకౌంటింగ్ మెషిన్
खाता संख्या,ఖాతా సంఖ్య
संचयी पुनरुत्पादक,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
संचायक,సంచితం
संचायक पंजी,సంచిత రిజిస్టర్
संचायक विस्थापन अनुदेश,సంచిత షిఫ్ట్ సూచన
परिशुद्धता,ఖచ్చితత్వం
परिशुद्धता नियंत्रण संप्रतीक,ఖచ్చితత్వ నియంత్రణ పాత్ర
परिशुद्धता नियंत्रण तंत्र,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
उत्कृष्ठ मार्गदर्शी,ఏస్ పైలట్
पावती संप्रतीक,పాత్రను గుర్తించండి
ध्वनिक युग्मक,ఎకౌస్టిక్ కప్లర్
ध्वनिक युग्मन,శబ్ద కలపడం
ध्वनिक विलंब लाइन,శబ్ద ఆలస్యం రేఖ
ध्वनिक स्मृति,శబ్ద జ్ఞాపకశక్తి
ध्वनिक मोडेम,ఎకౌస్టిక్ మోడెమ్
ध्वनिक संकेत,శబ్ద సిగ్నల్
ध्वनिक भंडारण,శబ్ద నిల్వ
परिवर्णी शब्द,ఎక్రోనిం
क्रिया,చర్య
क्रिया चक्र,చర్య చక్రం
क्रिया लाइन,యాక్షన్ లైన్
क्रिया संदेश,చర్య సందేశం
क्रिया विनिर्देश,చర్య స్పెసిఫికేషన్
सक्रियण,క్రియాశీలత
सक्रिय,క్రియాశీల
सक्रिय संचिका,యాక్టివ్ ఫైల్
सक्रिय लाइन,యాక్టివ్ లైన్
सक्रिय कड़ी,క్రియాశీల లింక్
सक्रिय प्रधान संचिका,యాక్టివ్ మాస్టర్ ఫైల్
सक्रिय प्रधान मद,యాక్టివ్ మాస్టర్ ఐటెమ్
सक्रिय उपग्रह,క్రియాశీల ఉపగ్రహం
सक्रिय केन्द्र,యాక్టివ్ స్టేషన్
सक्रिय भंडारण,క్రియాశీల నిల్వ
सक्रियता,కార్యాచరణ
सक्रियता स्तर,కార్యాచరణ స్థాయి
सक्रियता भारण,కార్యాచరణ లోడింగ్
सक्रियता अनुपात,కార్యాచరణ నిష్పత్తి
निरपेक्ष पता,వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
निरपेक्ष कूट,వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
वास्तविक आँकडा स्थानांतरण दर,వాస్తవ డేటా బదిలీ రేటు
वास्तविक दशमलव बिन्दु,వాస్తవ దశాంశ బిందువు
प्रभावी अनुदेश,వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
वास्तविक कुंजी,అసలు కీ
वास्तविक काल,అసలు సమయం
वास्तविक कार्य काल,వాస్తవ పని సమయం
प्रवर्तक संकेत,సిగ్నల్ యాక్చువేటింగ్
अनुकूलनीयता,అనుకూలత
अनुकूलित्र,అడాప్టర్
अनुकूली प्रणाल नियतन,అడాప్టివ్ ఛానల్ కేటాయింపు
अनुकूली समाकलन,అడాప్టివ్ ఇంటిగ్రేషన్
अनुकूली अनुप्रस्थ तुल्यकारक,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
योजित प्रविष्ट,ఎంట్రీ జోడించబడింది
योज्य,అనుబంధం
योजक,Adder
योजक व्यवकलक,అడెర్ సబ్‌ట్రాక్టర్
योजी संचिका,ఫైల్ జోడించండి
विशिष्ट संप्रतीक,అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
योग अभिलेख,అదనంగా రికార్డర్
योग सारणी,అదనంగా పట్టిక
योज्य गुण,సంకలిత లక్షణం
योग विधा,మోడ్‌ను జోడించండి
योग संक्रिया,ఆపరేషన్ జోడించండి
पता,చిరునామా
पतायोग्यता माप,చిరునామా కొలత
पतायोग्य क्षौतिज स्थिति,చిరునామా క్షితిజ సమాంతర స్థానం
पतायोग्य बिन्दु,చిరునామా పాయింట్
पतायोग्य स्थिति,చిరునామా స్థానం
पतायोग्य पंजी,చిరునామా రిజిస్టర్
पतायोग्य भंडारण,చిరునామా నిల్వ
पतायोग्य ऊर्ध्वाधर स्थिति,చిరునామా నిలువు స్థానం
पता बस,చిరునామా బస్సు
पता कूट,చిరునామా కోడ్
पता तुलनित्र,చిరునామా కంపారిటర్
पता अभिकलन,చిరునామా గణన
पता अचर,చిరునామా స్థిరాంకం
पता रूपांतरण,చిరునామా మార్పిడి
पता आँकड़े,చిరునామా డేటా
पतायुक्त स्मृति,చిరునామా మెమరీ
प्रभावी पता,చిరునామా ప్రభావవంతంగా ఉంటుంది
पता क्षेत्र,చిరునామా ఫీల్డ్
पता संरूप,చిరునామా ఆకృతి
पता निरपेक्ष क्रमादेश,చిరునామా ఉచిత ప్రోగ్రామ్
पताभिगमन,చిరునామా
पताभिगमन संप्रतीक,"చిరునామా
 పాత్ర"
पताभिगमन अंतरायन,అంతరాయాన్ని పరిష్కరించడం
पताभिगमन पाश,చిరునామా లూప్
पताभिगमन आभासी स्मृति,వర్చువల్ మెమరీని పరిష్కరించడం
पता अंतर्ग्रथन,చిరునామా ఇంటర్లేసింగ్
पतारहित अनुदेश संरुप,చిరునామా లేని సూచనల ఆకృతి
पता लाइन,చిరునామా లైన్
पता प्रतिचित्रण,చిరునామా మ్యాపింగ్
पता चिह्न,చిరునామా గుర్తు
पता आपरिवर्तन,చిరునామా మార్పు
पता भाग,చిరునామా భాగం
पता संकेतक,చిరునామా పాయింటర్
पता पंजी,చిరునామా రిజిస్టర్
पता संकेत,చిరునామా సిగ్నల్
पता आमाप,చిరునామా పరిమాణం
पता स्थान,చిరునామా స్థలం
पता स्थान अभिज्ञापक,చిరునామా స్పేస్ ఐడెంటిఫైయర్
पता विराम,చిరునామా స్టాప్
पता अनुरेख,చిరునామా ట్రేస్
पता मार्ग,చిరునామా ట్రాక్
पता अनुवाद,చిరునామా అనువాదం
पता अनुवादक,చిరునామా అనువాదకుడు
संकलन व्यवकलन काल,జోడించు-ఉపశమనం సమయం
संकलन काल,సమయాన్ని జోడించండి
संलग्नता,ప్రక్కనే
संलग्नता संरचना,ప్రక్కనే ఉన్న నిర్మాణం
संलग्न प्रणाल,ప్రక్కనే ఉన్న ఛానల్
संलग्न प्रांत,ప్రక్కనే ఉన్న డొమైన్
सहखंडज मैट्रिक्स,ప్రక్కనే ఉన్న మాతృక
संलग्न आसंधि,ప్రక్కనే ఉన్న నోడ్
संलग्न उपक्षेत्र,ప్రక్కనే ఉన్న సబ్‌యారియా
संलग्न (तंत्र),అడ్జాయింట్ (సిస్టమ్)
समायोजन,సర్దుబాటు
समायोज्य विस्तार,సర్దుబాటు పరిధి
समायोज्य पाठ्यांश विधा,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
प्रशासनिक आँकड़ा संसाधन,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
प्रशासनिक प्रचालन,పరిపాలనా ఆపరేషన్
प्रशासनिक प्रचालक,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
प्रशासनिक प्रचालन केन्द्र,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
प्रशासन सहाय तंत्र,పరిపాలనా మద్దతు వ్యవస్థ
उन्नत संचार सेवा,అధునాతన కమ్యూనికేషన్ సేవ
उन्नत सूचना तंत्र,అధునాతన సమాచార వ్యవస్థ
उन्नत प्रकाशिक संप्रतीक पठित्र,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
उन्नत वैज्ञानिक अभिकलित्र,అధునాతన శాస్త్రీయ కంప్యూటర్
एरियल,ఆకాశయాన
पुंज,మొత్తం
पुंज व्यंजक,మొత్తం వ్యక్తీకరణ
संधानित्र,లక్ష్య వృత్తం
संधान प्रतीक,లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
संधान प्रतीक,లక్ష్యం చిహ్నం
वायुवाहित अभिकलित्र तंत्र,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
बीजीय आइगनमान समस्या,బీజగణిత ఈజెన్వాల్యూ సమస్య
बीजीय समाकलन,"బీజగణితం
 అనుసంధానం"
"बीजीय भाषा, बीज भाषा",బీజగణిత భాష
बीजीय प्रकलन,బీజగణిత మానిప్యులేషన్
बीजीय प्रकलन भाषा,బీజగణిత మానిప్యులేషన్ భాష
बीजोन्मुखी भाषा,బీజగణిత ఆధారిత భాష
बीजीय विस्थापन,బీజగణిత షిఫ్ట్
बीजीय चिह्न परिपाटी,బీజగణిత సంకేత సమావేశం
ऐल्गॉल,ఆల్గోల్
ऐल्गॉल लक्षण,ఆల్గోల్ ఫీచర్
ऐल्गॉल क्रमादेशन,ఆల్గోల్ ప్రోగ్రామింగ్
"कलन विधि, एल्गोरिथ्म",అల్గోరిథం
कलन विधि साहचर्य भाषा,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
कलन विधि वर्गीकरण,అల్గోరిథం వర్గీకరణ
कलन विधि जटिलता,అల్గోరిథం సంక్లిష్టత
कलन विधि अभिकलनीयता,అల్గోరిథం కంప్యూటబిలిటీ
कलन विधि विश्लेषण,అల్గోరిథమిక్ విశ్లేషణ
कलनविधीय उपगमन,అల్గోరిథమిక్ విధానం
कलनविधीय भाषा,అల్గోరిథమిక్ భాష
कलनविधीय नेमका,అల్గోరిథమిక్ దినచర్య
कलनविधीय सिद्धांत,అల్గోరిథమిక్ సిద్ధాంతం
अपर,అలియాస్
उपघटन,అలియాసింగ్
"अपर नाम, उर्फ नाम",అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
सरेखण,అమరిక
नियतन,కేటాయించండి
नियतन संरचना,కేటాయింపు నిర్మాణం
सर्वोद्देशीय अभिकलित्र,ఆల్-పర్పస్ కంప్యూటర్
अक्षरात्मक संप्रतीक,అక్షర పాత్ర
अक्षरात्मक संप्रतीक समुच्चय,అక్షర అక్షర సమితి
अक्षरात्मक संप्रतीक उपसमुच्चय,అక్షర అక్షర ఉపసమితి
अक्षरात्मक कूट,అక్షర కోడ్
अक्षरात्मक विस्थापन,అక్షర షిఫ్ట్
अक्षरात्मक रज्जु,అక్షర స్ట్రింగ్
अक्षरात्मक शब्द,అక్షర పదం
वर्णानुक्रमण,వర్ణమాల
अक्षरात्मक ज्यामितिकी,ఆల్ఫాజియోమెట్రిక్స్
अक्षरांकीय,ఆల్ఫామెరిక్
अल्फामोजेक,ఆల్ఫామోసాయిక్
अक्षरांकीय,ఆల్ఫాన్యూమరిక్
अक्षरांकीय कुंजीपटल युक्ति,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
अक्षरांकीय संप्रतीक समुच्चय,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
अक्षरांकीय कूट,ఆల్ఫాన్యూమరిక్ కోడ్
अक्षरांकीय कूटलिखित संप्रतीक समुच्चय,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
अक्षरांकीय आँकड़े,ఆల్ఫాన్యూమరిక్ డేటా
अक्षरांकीय प्रदर्श युक्ति,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
अक्षरांकीय संपादित संप्रतीक,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
अक्षरांकीय क्षेत्र,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
अक्षरांकीय अनुदेश,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
अक्षरांकीय कुंजी पटल,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
अक्षरांकीय शाटन,ఆల్ఫాన్యూమరిక్ విధమైన
अक्षरांकीय भंडारण,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
परिवर्तनीय स्मृति,మార్చగల మెమరీ
परिवर्तन स्विच,మార్పు స్విచ్
परिवर्तन,మార్చడం
परिवर्तन विधा,ఆల్టర్ మోడ్
वैकल्पिक पुनःप्राप्ति,ప్రత్యామ్నాయ రికవరీ
वैकल्पिक मार्ग,ప్రత్యామ్నాయ మార్గం
वैकल्पिक मार्गचयन,ప్రత్యామ్నాయ రౌటింగ్
वैकल्पिक मार्ग,ప్రత్యామ్నాయ ట్రాక్
अथवा' संक्रिया,ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
वैकल्पिक गुण,ప్రత్యామ్నాయ లక్షణం
तथा पूरक' संक्रिया,ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
संदिग्धता त्रुटि,అస్పష్టత లోపం
संदिग्धता संर्दभ,అస్పష్టమైన సూచన
अनुरूप,అనలాగ్
अनुरूप योजक,అనలాగ్ యాడర్
अनुरूप प्रणाल,అనలాగ్ ఛానల్
अनुरूप अभिकलित्र,అనలాగ్ కంప్యూటర్
अनुरूप परिवर्तक,అనలాగ్ కన్వర్టర్
अनुरूप आँकड़े,అనలాగ్ డేటా
अनुरूप विभाजनी,అనలాగ్ డివైడర్
अनुरूप सुविधा टर्मिनल,అనలాగ్ ఫెసిలిటీ టెర్మినల్
अनुरूप फलन जनक,"అనలాగ్ ఫంక్షన్
 జనరేటర్"
अनुरूप समाकलन,అనలాగ్ ఇంటిగ్రేషన్
अनुरूप गुणक,అనలాగ్ గుణకం
अनुरूप क्रमादेशन,అనలాగ్ ప్రోగ్రామింగ్
अनुरूप मापन,అనలాగ్ స్కేలింగ్
अनुरूप संकेत,అనలాగ్ సిగ్నల్
अनुरूप अनुकार,అనలాగ్ అనుకరణ
अनुरूप स्विच,అనలాగ్ స్విచ్
अनुरूप तंत्र,అనలాగ్ వ్యవస్థ
अनुरूप अंकीय परिवर्तक,"డిజిటల్‌కు అనలాగ్
 కన్వర్టర్"
अनुरूप अंकीयकूटलेखक,"డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్"
अनुरूप संचरण,అనలాగ్ ట్రాన్స్మిషన్
अनुरूप प्रकार,అనలాగ్ రకం
विश्लेषण खंड़क,విశ్లేషణ బ్లాక్
विश्लेषण विधा,విశ్లేషణ మోడ్
वैश्लेषिक इंजन,విశ్లేషణాత్మక ఇంజిన్
पूर्वज कार्य,పూర్వీకుల పని
सहायक उपकरण,సహాయక పరికరాలు
तथा',మరియు
तथा' परिपथ,మరియు సర్క్యూట్
तथा' अवयव,మరియు మూలకం
तथा' द्वार,మరియు గేట్
तथा' प्रच्छादन,మరియు మాస్కింగ్
अपवर्जन,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
तथा' संक्रिया,మరియు ఆపరేషన్
चयक स्मृति,అనెక్స్ మెమరీ
टिप्पण,ఉల్లేఖనం
आख्यापित्र,అనన్సియేటర్
तुरत उत्तर,తిరిగి సమాధానం ఇవ్వండి
उत्तर विलंब,సమాధానం ఆలస్యం
उत्तर काल,సమయం సమాధానం
उत्तर बत्ती,సమాధానం దీపం
उत्तर सूची,జవాబు జాబితా
केवल उत्तर,సమాధానం మాత్రమే
प्रत्याशा विधा,Ntic హించే మోడ్
प्रत्याशामूलक चयकन,ముందస్తు బఫరింగ్
प्रत्याशामूलक हासिल,ముందస్తు క్యారీ
प्रत्याशामूलक पृष्ठन,ముందస్తు పేజింగ్
प्रतिसंपाती संक्रिया,ప్రతిస్కందకం ఆపరేషన్
प्रतिसंपाती अवयव,ప్రతిస్కందకం మూలకం
अनावर्ती ऐन्टेना,అపెరియోడిక్ యాంటెన్నా
द्वारक पत्रक,ఎపర్చరు కార్డు
द्वारक कूट,ఎపర్చరు కోడ్
द्वारक काल,ఎపర్చరు సమయం
अनुबंध,అనుబంధం
अनुबंध कार्य,అనుబంధ పని
अनुप्रयोग विकासक,అప్లికేషన్ డెవలపర్
अनुप्रयोग स्तर,అప్లికేషన్ లేయర్
अनुप्रयोग मूलक भाषा,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
अनुप्रयोग (क्रमादेश) संकुल,అప్లికేషన్ ప్యాకేజీ
अनुप्रयोग क्रमादेश,అప్లికేషన్ ప్రోగ్రామ్
अनुप्रयोग क्रमादेशन,అప్లికేషన్ ప్రోగ్రామింగ్
अनुप्रयोग अपेक्षित भाषा,అప్లికేషన్ అవసరం భాష
अनुप्रयोग प्रक्रिया सामग्री,అప్లికేషన్ సాఫ్ట్‌వేర్
अधिरोपण,అప్లిక్
सन्निकटन सिद्धांत,ఉజ్జాయింపు సిద్ధాంతం
स्वेच्छ अभिगम,ఏకపక్ష ప్రాప్యత
स्वेच्छ अनुक्रम अभिकलित्र,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
मध्यस्थ,మధ్యవర్తిత్వ
"वास्तुकला, स्थापत्यकला",వాస్తుశిల్పం
पुराभंडारण,ఆర్కైవింగ్
क्षेत्र कूट,స్థల సంకేతం
क्षेत्र खोज,ప్రాంత శోధన
क्षेत्र स्थानांतरण,ప్రాంత బదిలీ
क्षेत्र चर,ఏరియా వేరియబుల్
स्वतंत्र चर,వాదన
स्वतंत्र चर पता,ఆర్గ్యుమెంట్ చిరునామా
स्वतंत्र चर सूची,ఆర్గ్యుమెంట్ జాబితా
अंकगणितीय अनुदेश,అంకగణిత బోధన
अंक गणितीय एंव तर्क एकक,అంకగణిత మరియు అంకగణిత విభాగం
अंकगणितीय नियतन कथन,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
अंकगणितीय जाँच,అంకగణిత చెక్
अंकगणितीय अचर,అంకగణిత స్థిరాంకం
अंकगणितीय रूपांतर,అంకగణిత మార్పిడి
अंकगणितीय आँकड़े,అంకగణిత డేటా
अंकगणितीय अपवाद,అంకగణిత మినహాయింపు
अंकगणितीय व्यंजक,అంకగణిత వ్యక్తీకరణ
अंकगणितीय नियत बिन्दु,అంకగణిత స్థిర బిందువు
अंकगणितीय पदानुक्रम,అంకగణిత సోపానక్రమం
अंकगणितीय 'यदि' कथन,అంకగణితం ఉంటే స్టేట్మెంట్
अंकगणितीय तर्क,అంకగణిత తర్కం
अंकगणितीय तर्क एकक,అంకగణిత లాజిక్ యూనిట్
अंकगणितीय संक्रिया,అంకగణిత ఆపరేషన్
अंकगणितीय संकारक,అంకగణిత ఆపరేటర్
अंकगणितीय अधिप्रवाह,అంకగణిత ఓవర్ఫ్లో
अंकगणितीय चित्र आँकड़े,అంకగణిత చిత్ర డేటా
अंकगणितीय पूर्वता,అంకగణిత ప్రాధాన్యత
अंकगणितीय प्राथमिक अवयव,అంకగణిత ప్రాధమిక
अंकगणितीय पंजी,అంకగణిత రిజిస్టర్
अंकगणितीय संबंध,అంకగణిత సంబంధం
अंकगणितीय क्रमवीक्षण,అంకగణిత స్కాన్
अंकीय अनुभाग,అంకగణిత విభాగం
अंकगणितीय विस्थापन,అంకగణిత మార్పు
अंकगणितीय विस्थापन,అంకగణిత బదిలీ
अंकगणितीय कथन,అంకగణిత ప్రకటన
अंकगणितीय पद,అంకగణిత పదం
अंकगणितीय अधोप्रवाह,అంకగణిత అండర్ఫ్లో
अंकीय एकक,అంకగణిత యూనిట్
सरणी,అమరిక
सरणी परिबंध,శ్రేణి బౌండ్
सरणी अभिकलित्र,అర్రే కంప్యూటర్
सरणी विमा,శ్రేణి పరిమాణం
सरणी अवयव,శ్రేణి మూలకం
सरणी व्यंजक,శ్రేణి వ్యక్తీకరణ
सरणी नाम,శ్రేణి పేరు
संरचना सरणी,నిర్మాణాల శ్రేణి
सरणी मुद्रण,అర్రే ప్రింటింగ్
सरणी संसाधन,శ్రేణి ప్రాసెసింగ్
सरणी संसाधित्र,అర్రే ప్రాసెసర్
संधि बिन्दु,ఉచ్చారణ పాయింట్
कृत्रिम बोध,కృత్రిమ జ్ఞానం
कृत्रिम बुद्धि,కృత్రిమ మేధస్సు
कृत्रिम भाषा,కృత్రిమ భాష
कृत्रिम चर,కృత్రిమ వేరియబుల్
कला अनुप्रयोग आकड़ा बैंक,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
कला अनुप्रयोग संगीत,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
कला अनुप्रयोग प्रतिरूप जनन,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
आरोहक,ఆరోహణ
आरोही छँटाई,ఆరోహణ క్రమబద్ధీకరణ
आस्की,అస్సిల్
आस्की नियंत्रण संप्रतीक,ASCII నియంత్రణ అక్షరం
आस्की कुंजी पटल,ASCII కీ బోర్డు
अभिमुखता,కారక
अभिमुखता पत्रक,కారకం మరియు
कोड़ांतरण,సమీకరించటం
कोड़ांतरित उद्गम,సమావేశమైన మూలం
कोडांतरण अवधि,వ్యవధిని సమీకరించండి
कोडांतरक,సమీకరించేవాడు
कोडांतरक निर्देश,సమీకరించే ఆదేశం
कोडांतरक सुविधा,సమీకరించే సౌకర్యం
कोडांतरण भाषा,సమీకరించే భాష
कोडांतरण,సమీకరించడం
कोडांतरण प्रावस्था,సమీకరించే దశ
कोडांतरण काल,సమీకరించే సమయాన్ని
कोडांतरण,అసెంబ్లీ
कोडांतरण भाषा,అసెంబ్లీ భాష
कोडांतरण भाषा क्रमादेशन,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
कोडांतरण भाषा प्रक्रियासामग्री नम्यता,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
कोडांतरण सूचीकरण,అసెంబ్లీ జాబితా
कोडांतरण प्रावस्था,అసెంబ్లీ దశ
कोडांतरण नेमका,అసెంబ్లీ దినచర్య
कोडांतरण काल,అసెంబ్లీ సమయం
कोडांतरण एकक,అసెంబ్లీ యూనిట్
नियतन सूचीकरण,అసైన్‌మెంట్ ఇండెక్సింగ్
नियतन संक्रिया,అసైన్‌మెంట్ ఆపరేషన్
नियतन कथन,అసైన్‌మెంట్ స్టేట్మెంట్
साहचर्य पता,అసోసియేటివ్ చిరునామా
साहचर्य सरणी पंजी,అసోసియేటివ్ అర్రే రిజిస్టర్
साहचर्य कुंजी,అసోసియేటివ్ కీ
साहचर्य भाषा,అసోసియేటివ్ లాంగ్వేజ్
साहचर्य स्मृति,అసోసియేటివ్ మెమరీ
साहचर्य भंडारण,అసోసియేటివ్ స్టోరేజ్
कल्पित दशमलव बिन्दु,దశాంశ బిందువు
असममित युक्ति,అసమాన పరికరం
असममित नि/नि.,అసమాన i/ఓ
अतुल्यकालिक; अतुल्यकाली,అసమకాలిక
अतुल्यकालिक अभिकलित्र,అసమకాలిక కంప్యూటర్
अतुल्यकालिक आँकड़ा अंतरण,అసమకాలిక డేటా బదిలీ
अतुल्यकालिक आँकड़ा प्रेषण,అసమకాలిక డేటా ట్రాన్స్మిషన్
अतुल्यकालिक युक्ति,అసమకాలిక పరికరాలు
"अतुल्यकाली प्रचालन, अतुल्यकाली संक्रिया",అసమకాలిక ఆపరేషన్
अतुल्यकालिक संकेतन,అసమకాలిక సిగ్నలింగ్
अतुल्यकालिक समय विभाजन बहुसंकेतन,అసమకకరణం
अतुल्यकालिक संचरण,అసమకాలిక ప్రసారం
अतुल्यकालिक निष्पादन,అసమకాలిక పని
संलग्न संसाधन,అటాచ్డ్ ప్రాసెసింగ్
संलग्न संसाधित्र,అటాచ్డ్ ప్రాసెసర్
संलग्न आलंब संसाधित्र,అటాచ్డ్ సపోర్ట్ ప్రాసెసర్
उपस्थितसापेक्ष प्रचालन,హాజరైన ఆపరేషన్
उपस्थिति लीक मुद्रित्र,ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు
ध्यान अंतरायन,శ్రద్ధ అంతరాయం
ध्यान कुंजी,శ్రద్ధ కీ
क्षीणन,అటెన్యుయేషన్
क्षीणनांक,అటెన్యుయేషన్ స్థిరాంకం
क्षीणन विरूपण,అటెన్యుయేషన్ వక్రీకరణ
क्षीणन तुल्यकारक,అటెన్యుయేషన్ ఈక్వలైజర్
क्षीणकारी,అటెన్యూయేటర్
गुण,గుణం
श्रव्य सचेतक,వినగల అలారం
श्रव्य कैसट,ఆడియో క్యాసెట్
श्रव्य जाँच,ఆడియో విచారణ
श्रव्य लाइन,ఆడియో లైన్
श्रव्य अनुक्रिया,ఆడియో ప్రతిస్పందన
श्रव्य अनुक्रिया संदेश,ఆడియో ప్రతిస్పందన సందేశం
श्रव्य अनुक्रिया एकक,ఆడియో ప్రతిస్పందన యూనిట్
श्रव्य टेप भंडारण एकक,ఆడియోటేప్ స్టోరేజ్ యూనిట్
श्रव्य दूरसंचार लाइन,ఆడియో టెలికమ్యూనికేషన్ లైన్
श्रव्य अंतक,ఆడియో టెర్మినల్
लेखापरीक्षा समादेश भाषा,ఆడిట్ కమాండ్ లాంగ్వేజ్
लेखापरीक्षा क्रमादेशन,ఆడిట్ ప్రోగ్రామింగ్
लेखा सत्यापन,తనిఖీ శోధన
योजक,ఆగెండ్
संवर्थ,ఆజ్మెంట్
संवर्धक,ఆగ్మెంటర్
संलेखक,రచయిత
संलेखन,రచయిత
संलेखन प्रणाली,రచయిత వ్యవస్థ
प्राधिकार,అధికారం
प्राधिकरण कूट,అధికారిక కోడ్
प्राधिकृत क्रमादेश संग्रह,అధీకృత లైబ్రరీ
प्राधिकृत क्रमादेश,అధీకృత కార్యక్రమం
प्राधिकृत क्रमादेश सुविधा,అధీకృత ప్రోగ్రామ్ సౌకర్యం
स्व-साराहरण,ఆటో వియుక్త
स्वतः उत्तरित्र,ఆటో సమాధానం
