Gujarati,Bengali
આઇસોટ્રોપિઝમ,আইসোট্রপিজম
કાઢી નાખવું,মুছে ফেলা
કાવતરાખોરો,বর্ণনাকারী
એનોડ,অ্যানোড
એનોડાઇઝેશન,anodization
અસંગત,অসামঞ্জস্যপূর্ণ
ઓપ્ટિકલ સિસ્ટમ,অপটিক্যাল সিস্টেম
એન્ટેના,অ্যান্টেনা
એન્ટિબેરિયન,antiberion
વિરોધી બંધન ગુણધર્મો,বিরোধী বন্ধন সম্পত্তি
કાઉન્ટર બોન્ડ,পাল্টা বন্ড
વિપરીત શક્તિ,বিপরীত শক্তি
ડાયમેગ્નેટિક,ডায়ম্যাগনেটিক
ડાયમેગ્નેટિક સામગ્રી,ডায়ম্যাগনেটিক উপাদান
બળતરા વિરોધી,প্রদাহ বিরোধী
એન્ટિગ્રેવિટી,বিরোধী মাধ্যাকর্ষণ
એન્ટિલામડા કણ,antilamda কণা
એલેપ્ટન,এলিলেপ্টন
ડાયમેગ્નેટિક,ডায়ম্যাগনেটিক
એન્ટિમેટર,প্রতিপদার্থ
વિરોધી મિસાઇલ,ক্ষেপণাস্ত্র বিরোধী
એન્ટિન્યુટ્રોન,অ্যান্টিনিউট্রন
ધબકતું,স্পন্দনশীল
એન્ટિન્યુક્લિયોન,অ্যান্টিনিউক্লিয়ন
એન્ટિપાર્ટિકલ,প্রতিকণা
એન્ટિપ્રોટોન,অ্যান্টিপ্রোটন
પ્રતિબિંબ વિરોધી,প্রতিফলক
અસમપ્રમાણ,প্রতিসম
નોન રિકરિંગ,অ পুনরাবৃত্ত
અનાક્રોનિઝમ,anachronism
છિદ્રિત સ્કેનિંગ ડિસ્ક,ছিদ্রযুক্ত স্ক্যানিং ডিস্ক
દ્વારક,দ্বারক
"ટોચ, ટોચ, આગળ","শীর্ষ, শীর্ষ, সামনে"
"સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર","সূর্য উচ্চ, সূর্য উচ্চ, অপ্সর"
ઉદાસીન ફીત,উদাসীন লেইস
બિન-દયનીય,অ করুণ
બિન-વિકલાંગતા,অ-অক্ষমতা
ખૂબ વર્ણહીન,খুব অ্যাক্রোমেটিক
"જમીન-ઊંચી, apogee","land-high, apogee"
"બિનધ્રુવીય, ગોળાકાર","nonpolar, circumpolar"
પેરાપોલરીટી,parapolarity
ઉપકરણ,যন্ত্র
"વર્ચ્યુઅલ, વિઝ્યુઅલ","ভার্চুয়াল, ভিজ্যুয়াল"
દૃશ્યમાન સૂર્ય,দৃশ্যমান সূর্য
દ્રશ્ય સમય,চাক্ষুষ সময়
ઉભરતો દેખાવ,উদ্ভূত চেহারা
અરજી,আবেদন
લાગુ પડવાની ક્ષમતા,প্রযোজ্যতা
લાગુ,প্রয়োগ করা
અવલોકનક્ષમ,পর্যবেক্ষণযোগ্য
અભિગમ,পন্থা
"નજીક, આશરે","কাছাকাছি, প্রায়"
અંદાજ,অনুমান
બાષ્પ દબાણ,বাষ্পের চাপ
સ્વૈચ્છિક,স্বেচ্ছায়
"આર્ક ફર્નેસ, આર્ક ફર્નેસ","চাপ চুল্লি, চাপ চুল্লি"
આર્કિમિડીઝનો કાયદો,আর্কিমিডিসের আইন
આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર,স্থাপত্য শাব্দবিদ্যা
ચાપ દીવો,চাপ বাতি
આર્ક-સ્પેક્ટ્રમ,আর্ক-স্পেকট্রাম
"વિસ્તાર, વિસ્તાર","এলাকা, এলাকা"
"પ્રાદેશિક, પ્રાદેશિક","আঞ্চলিক, আঞ্চলিক"
"હાથ, હાથ, શાખા","হাত, বাহু, শাখা"
કલાપ્રેમી,অপেশাদার
"એરે, એરે","অ্যারে, অ্যারে"
રીસીવર,রিসিভার
ઉચ્ચાર સ્પષ્ટતા,উচ্চারণ স্বচ্ছতা
કૃત્રિમ,সিন্থেটিক
કૃત્રિમ ટ્રાન્સમ્યુટેશન,কৃত্রিম রূপান্তর
ચડતા,আরোহী
ચઢાણ,আরোহণ
ચડવું,আরোহণ
અગોલી,আগলি
એકત્રીકરણ,সমষ্টি
નો સમૂહ,এর সেট
"એસેમ્બલીંગ, એસેમ્બલીંગ","সমাবেশ, সমাবেশ"
"એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ","একত্রিত করা, একত্রিত করা, একত্রিত করা"
ચોકસાઇ અંદાજ,নির্ভুল অনুমান
ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ,নির্দিষ্ট (কোয়ান্টাম সংখ্যার) স্পেসিফিকেশন
"સંબંધિત, સહયોગી, જોડાણ","সম্পর্কিত, সহযোগী, সংঘবদ্ধ"
સ્વર અવાજ,স্বরধ্বনি
સ્વચાલિત મલ્ટિવાઇબ્રેટર,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
અસ્થેનિક,অ্যাস্থেনিক
"ત્યાગ, અસ્પષ્ટતા","পরিহার, দৃষ্টিভঙ্গি"
અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ,মহাকাশ ভ্রমণ ইলেকট্রনিক্স
એસ્ટ્રોફિઝિક્સ,জ্যোতির্পদার্থবিদ্যা
અવકાશયાત્રી,মহাকাশচারী
ખગોળશાસ્ત્રી,জ্যোতির্বিজ্ঞানী
આકાશી,স্বর্গীয়
ખગોળશાસ્ત્ર,জ্যোতির্বিদ্যা
એસ્ટ્રોફિઝિક્સ,জ্যোতির্পদার্থবিদ্যা
અસમપ્રમાણ,অপ্রতিসম
એસિમ્પટોટિક,অ্যাসিম্পোটিক
ઉત્તેજક,উত্তেজক
અસુમેળ,অ্যাসিঙ্ক্রোনাস
"વાતાવરણ, વાતાવરણ","বায়ুমণ্ডল, বায়ুমণ্ডল"
વાતાવરણીય,বায়ুমণ্ডলীয়
પવનની અશાંતિ,বায়ু অশান্তি
પરમાણુ,পারমাণবিক
અણુ,পারমাণবিক
પરમાણુ,পারমাণবিকতা
પરમાણુ સમૂહ,পারমাণবিক ভর
અણુ સંખ્યા,পারমাণবিক সংখ্যা
"પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો","পারমাণবিক চুল্লি, পারমাণবিক গাদা"
અણુ,পারমাণবিক
કણ,কণা
કણ,কণা
એટેન્યુએશન,ক্ষয়
"હળવું કરવું, હળવું કરવું","attenuating, attenuating"
વશીકરણ,কবজ
આકર્ષણનું બળ,আকর্ষণ শক্তি
શ્રાવ્યતા,শ্রবণযোগ্যতা
ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
સાંભળી શકાય તેવું,শ্রবণযোগ্য
ઓડિયો જનરેટર,অডিও জেনারেটর
શ્રાવ્ય ગ્રાફ,শ্রবণযোগ্যতা গ্রাফ
સુનાવણી વિજ્ઞાન,শ্রবণ বিজ্ঞান
ઓડિયોમીટર,অডিওমিটার
શ્રાવ્ય આવર્તન ઓસિલેટર,শ্রবণযোগ্য ফ্রিকোয়েন্সি অসিলেটর
ધ્વનિ સંકેત,শব্দ সংকেত
દ્રશ્ય-શ્રાવ્ય,অডিও-ভিজ্যুয়াল
"ઓડિટોરિયમ, ઓડિટોરિયમ","অডিটোরিয়াম, অডিটোরিয়াম"
ઓઝેડ અસર,ওজেড ইফেক্ট
પ્રમોશન,পদোন্নতি
વધારનાર,বর্ধক
ધ્રુવીય જ્યોત,মেরু শিখা
દક્ષિણ ધ્રુવીય જ્યોત,দক্ষিণ মেরু শিখা
ઉત્તર ધ્રુવીય જ્યોત,উত্তর মেরু শিখা
આપોઆપ ચેતવણી,স্বয়ংক্রিয় সতর্কতা
ઓટો પેરેલલાઈઝર,স্বয়ংক্রিয় সমান্তরালকারী
"આપોઆપ, આપોઆપ, આપોઆપ","স্বয়ংক্রিয়, স্বয়ংক্রিয়, স্বয়ংক্রিয়"
"ઓટોમેશન, ઓટોમેશન","অটোমেশন, অটোমেশন"
"સહાયક, સહકારી, વધારાનું","সহকারী, সমবায়, অতিরিক্ত"
"અવડાવ, હિમપ્રપાત","অবদাভা, তুষারপাত"
"સરેરાશ, સરેરાશ","মানে, মানে"
પરિવાર,পরিবার
અક્ષીય,অক্ষীয়
ધરી,অক্ষ
અઝીમથ,আজিমুথ
અઝીમથ,আজিমুথ
પાછા,পেছনে
"પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ","পটভূমি, পটভূমি"
"પછાત, પછાત","পশ্চাৎপদ, পশ্চাৎপদ"
ટર્નઅરાઉન્ડ,পরিবর্তন
બેક વોલ્ટેજ પલ્સર,ব্যাক ভোল্টেজ পালসার
સંબંધ પછી,সম্পর্ক পরবর্তী
વળતર,প্রতিদান
વિરોધી વોલ્ટેજ,বিরোধী ভোল্টেজ
પશ્ચાદવર્તી સ્કેટરિંગ,পোস্টেরিয়র স্ক্যাটারিং
ઇન્ટર્સ્ટિશલ તરંગ,অন্তর্বর্তী তরঙ্গ
ઇન્સ્યુલેટર,অন্তরক
પેરાશૂટ જમ્પ,প্যারাশুট জাম্প
ગરમી,গরম করার
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન","ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য"
બેલેન્સર,ব্যালেন্সার
સંતુલન,ভারসাম্য
ગ્લોબ્યુલ,গ্লাবুল
"બેલિસ્ટિક, બેલિસ્ટિક","ব্যালিস্টিক, ব্যালিস্টিক"
"પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર","প্রজেকশন গ্যালভানোমিটার, প্রজেকশন গ্যালভানোমিটার"
મિસાઇલ,মিসাইল
"બેલિસ્ટિક્સ, હથિયાર","ব্যালিস্টিক, অস্ত্র"
પ્રક્ષેપણ,অভিক্ষেপ
મફત માર્ગ,বিনামূল্যে পথচলা
"બલૂન, બલૂન","বেলুন, বেলুন"
બાલ્મર બંધ,balmer discontinuity
"બેન્ડ, બેન્ડ, બેન્ડ","ব্যান্ড, ব্যান্ড, ব্যান্ড"
વિસ્ફોટ,বিস্ফোরণ
"એરે, બીમ, કિનારો, બેંક, કિનારો","অ্যারে, মরীচি, তীরে, ব্যাংক, উপকূল"
"કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા","কলাম, বার, কোব, ব্লক, বার, রড, বার, 8. প্রাচীর, 9. লাইন, 10. প্রান্ত, 1 ব্লক, 1, বার, 1, লাইন, 1, পরীক্ষা লাইন"
બાર્ડીન સિદ્ધાંત,বারদিন নীতি
barkhausen અસર,বারখাউসেন প্রভাব
બાર્લો ચક્ર,বারলো চক্র
બાર ચુંબક,বার চুম্বক
કોઠાર,শস্যাগার
હવાનું દબાણ ગ્રાફ,বায়ু চাপ গ্রাফ
"બેરોગ્રાફ, બેરોગ્રાફ","barograph, barograph"
બેરોમીટર,ব্যারোমিটার
વાતાવરણ નુ દબાણ,বায়ুমণ্ডলীয় চাপ
"કોસ્મોસ, બેરોમોસ્ફિયર","cosmos, baromosphere"
લોલક લોલક,পেন্ডুলাম
"અવરોધ, પરમાણુ, પરમાણુ અવરોધ","বাধা, পারমাণবিক, পারমাণবিক বাধা"
અવરોધ સ્તર,বাধা স্তর
બેરિયન,বেরিয়ন
ગુરુમંડળ,গুরুমন্ডল
આધાર બેન્ડ,বেস ব্যান্ড
"મૂળભૂત, મૂળભૂત, આલ્કલાઇન","মৌলিক, মৌলিক, ক্ষারীয়"
પાયો,ভিত্তি
"ગણતરી, ટીમ રચના","গণনা, দল গঠন"
"કુંડ, કુંડ, હીટર, હીટિંગ પોટ, સ્નાન","কুন্ড, কুন্ড, হিটার, গরম করার পাত্র, স্নান"
બેટરી,ব্যাটারি
"એરે સેગમેન્ટ, ચેમ્બર, ખાડી","অ্যারে সেগমেন্ট, চেম্বার, উপসাগর"
પ્રદર્શન,প্রদর্শনী
કિબાન,কিবন
"મણિકા, બીડ","মানিকা, বিড"
"બીમ, બીમ, બીમ, ટ્રમ્પ","মরীচি, মরীচি, মরীচি, ট্রাম্প"
"ડિકમેન, ડિકોન","ডিকম্যান, ডিকন"
"ડોલ, વિસ્પંડ","dole, vispand"
બેકરેલ અસર,বেকারেল প্রভাব
ઘંટડી બરણી,বেল জার
બેલો,বেল
ઘંટડી ઘડિયાળ,বেল ঘড়ি
"વેદિકા, બેંચ","বেদিকা, বেঞ্চ"
"મોડ, બંક (સં.), વળાંક (v.)","মোড, বাঙ্ক (সম্পাদনা), বাঁক (v.)"
બેંકન,ব্যাংকান
"વળેલું, વળેલું","bent, bent"
બર્નોલી-સમીકરણ,বার্নোলি-সমীকরণ
મૂળભૂત કાર્ય,বেসাল-ফাংশন
શ્રેષ્ઠ સંલગ્નતા,সেরা আনুগত্য
બીટા (b),বিটা (খ)
betatron,betatron
bethe મોડેલ,মডেল
બાયવેટ્રોન,বিভাট্রন
BH વળાંક,বিএইচ বক্ররেখা
દ્વિકોણીય,দ্বিভুজাকার
"પૂર્વગ્રહ, પૂર્વગ્રહ","পক্ষপাত, পক্ষপাত"
દ્વિ-અક્ષીય,দ্বি-অক্ষীয়
બાઈક્રોમેટ કોષ,বিক্রোমেট কোষ
અભ્યવતલ,অভিবতাল
ડબલ એન્ટેના,ডবল অ্যান্টেনা
બાયકોન્વેક્સ,দ্বিকনভেক্স
"દ્વિ-સ્ફટિક, દ્વિ-સ્ફટિક","দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
દ્વિદિશ માઇક્રોફોન,দ্বিমুখী মাইক্রোফোন
દ્વિપદી મોડેલ,দ্বিপদী মডেল
એકલિંગાશ્રયી,ডিপ্লয়েড
દ્વિપક્ષીય,দ্বিপাক্ষিক
દ્વિરેખીય,দ্বিরেখার
બાયમોલેક્યુલર,বাইমোলিকুলার
"દ્વિ-ચલ, દ્વિ-આધાર, દ્વિ","দ্বি-পরিবর্তনশীল, দ্বি-বেস, দ্বৈত"
"બાઈનરી કોડ, બાઈનરી કોડ","বাইনারি কোড, বাইনারি কোড"
રમત સ્ટાર,খেলা তারকা
દ્વિસંગી પદ્ધતિ,বাইনারি পদ্ধতি
બે બાજુવાળા,দ্বিপার্শ্ব
બોન્ડ,বন্ধন
"બાયનોક્યુલર, બાયનોક્યુલર","বাইনোকুলার, বাইনোকুলার"
દ્વિસંગી,বাইনারি
દ્વિપદી વિતરણ,দ্বিপদ ডিস্ট্রিবিউশন
"દ્વિકેન્દ્રીય, દ્વિકેન્દ્રીય, દ્વિસંગી","দ্বিকেন্দ্রিক, দ্বিকেন্দ্রিক, দ্বিমুখী"
બાયોડાયનેમિક્સ,বায়োডাইনামিকস
બાયો ઇલેક્ટ્રોનિક્સ,জৈব ইলেকট্রনিক্স
બાયોફિઝિસ્ટ,জীবপদার্থবিদ
બાયોફિઝિક્સ,জীবপদার্থবিদ্যা
જૈવિક ઉપગ્રહ,জৈবিক উপগ্রহ
"સિનેમેટોગ્રાફર, બાયોસ્કોપ","সিনেমাটোগ্রাফার, বায়োস্কোপ"
બાયો-સાવર્ટ નિયમ,বায়ো-সাভার্ট নিয়ম
બાયફેસિક વર્તમાન,biphasic বর্তমান
દ્વિધ્રુવ,ডাইপোল
"બાયપ્રિઝમ, બાયપ્રિઝમ","biprism, biprism"
"biquartz, biquartz","biquartz, biquartz"
બાયફાસિક પાત્ર,biphasic চরিত্র
બે તબક્કાનું મલ્ટિવાઇબ્રેટર,দুই-পর্যায়ের মাল্টিভাইব্রেটর
"દ્વાયાંક* (દ્વિસંગી અંક), બર્મીઝ, અની, ટુક","দ্বোয়াঙ্ক* (বাইনারী সংখ্যা), বার্মিজ, আনি, টুক"
"કાળો, કૃષ્ણ","কালো, কৃষ্ণ"
કાળું શરીર,কালো শরীর
અદ્રશ્ય પ્રકાશ,অদৃশ্য আলো
તિમિરાયન રેડિયો તિમિરાયન,timirayan রেডিও timirayan
ઇજેક્શન પલ્સ,ইজেকশন পালস
પૂર્વગ્રહ સમાપ્ત કરો,পক্ষপাত শেষ
કાળા કિરણોત્સર્ગ,কালো বিকিরণ
"અપૂર્ણ, ખાલી","অসম্পূর্ণ, ফাঁকা"
આવરણ,আবরণ
રદબાતલ,বাতিল
"વિસ્ફોટ, વિસ્ફોટ, ગસ્ટ","বিস্ফোরণ, বিস্ফোরণ, দমকা"
"savika, bleeder, savi","savika, bleeder, savi"
"વેશપલટો, અંધ","ছদ্মবেশী, অন্ধ"
બ્લોચનું પ્રમેય,ব্লোচের উপপাদ্য
"અવરોધ, અવરોધ, અવરોધ","ব্লক, ব্লক, ব্লক"
"ફટકો, ફટકો, ફટકો","ঘা, ঘা, ঘা"
બ્લુ પ્રિન્ટ,নীল প্রিন্ট
અસ્પષ્ટતા વર્તુળ,অস্পষ্টতা বৃত্ত
અસ્પષ્ટ,অস্পষ্ট
"બોલ, ગોળા, પેન્ડન્ટ","বল, গোলক, দুল"
"શરીર, પદાર્થ","শরীর, বস্তু"
શારીરિક ક્ષમતા,শারীরিক ক্ষমতা
કેન્દ્રિત,কেন্দ্রীভূত
"શરીર-કર્ણ, અંત-કર્ણ","দেহ-তির্যক, শেষ-তির্যক"
"બોગી, અજાણી શોધ (રડાર)","বগি, অজানা সনাক্তকরণ (রাডার)"
બોર અસર,বোর প্রভাব
બોર મેગ્નેટોન,বোর ম্যাগনেটন
"બોઈલર, બોઈલર","বয়লার, বয়লার"
"ઉકળતા, ઉકળતા","ফুটন্ত, ফুটন্ত"
બોલ્ટ્સમેન સમીકરણ,বোল্টসম্যান সমীকরণ
બોમ્બર ઇલેક્ટ્રોન,বোমারু ইলেকট্রন
"આઘાતજનક ઊર્જા, બોમ્બિંગ ઊર્જા","আঘাতমূলক শক্তি, বোমা শক্তি"
ગીરો,বন্ধক
"બંધાયેલ, બંધાયેલ, બંધાયેલ","bonded, bonded, bonded"
વધારનાર,বর্ধক
બોરોન,বোরন
બોસ-પાર્ટીકલ,বোস-কণা
બોસોન,বোসন
"આંચકો, કૂદકો","লাফ, লাফ"
બંધાયેલ,আবদ্ধ
"મર્યાદા, મર્યાદા (ઇડી.), સીમાંત (વિ.)","সীমা, সীমা (সম্পাদনা), প্রান্তিক (v.)"
બંધાયેલ,আবদ্ধ
ધનુરાશિ યાર્ડ,ধনু গজ
સઢવાળી તરંગ,পালতোলা তরঙ্গ
બોઈલર હીટિંગ,বয়লার গরম করা
બોયલનો કાયદો,বয়েলের আইন
બોઈલર હીટિંગ,বয়লার গরম করা
કૌંસ-વર્ગ,বন্ধনী-শ্রেণী
