Marathi,Hindi
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
additive,"योज्य, योगात्मक"
आसंजन,आसंजन
चिकट ऊर्जा,आसंजी ऊर्जा
adiabat,ऐडियाबैट
adiabatic,रुद्धोष्म
उष्णता इन्सुलेट,उष्मा-अपार्य
संलग्नक,संलग्न
बदलानुकारी,समायोज्य
प्रवेश,प्रवेश्यता
शोषण,अधिशोषण
पुढे,अग्रगत
प्रगतीशील,प्रगामी
"आकाशी, वायु (वि.), हवाई (सं.)","आकाशी, वायव (वि.), एरियल (सं.)"
अँटेना प्रवाह,ऐन्टेना धारा
हवाई सर्वेक्षण,आकाशी सर्वेक्षण
हवेचा वेग,वायव वेग
वायुगतिकीय गुणांक,वायुगतिक गुणांक
वायुगतिकीय,वायुगतिक
वायुगतिकी,वायुगतिकी
वैमानिक,वैमानिक
वैमानिक,वैमानिकी
हवेची नाडी,वायुस्पंद
"वातावरण, वायूमंडल","वातमंडल, गैसमंडल"
फोकस सिस्टम,अफोकसी तंत्र
परत प्रज्वलन,पश्च ज्वलन
परत प्रकाश,पश्च दीप्ति
आघात,उत्तरघात
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना"
वेळ प्रभावित,कालप्रभावित
"वृद्धत्व, वृद्धत्व","कालप्रभावन, जरण"
वेळेचा प्रभाव,कालप्रभावन
वेळ प्रभाव चाचणी,कालप्रभावन परीक्षण
गुरुत्वाकर्षणरहित,गुरुत्वहीन
समेट,संधान
"हवाई रडार, हवाई रडार","वायुवाहित रेडार, हवाई रेडार"
"हवाई लक्ष्य, हवाई लक्ष्य","वायुवर्ती लक्ष्य, हवाई लक्ष्य"
हवा श्वसन यंत्र,"वायुश्वासी, वायुश्वसित्र"
वातानुकुलीत,वातानुकूलन
विंडप्रूफ ट्रान्सफॉर्मर,वायुक्रोडी ट्रांसफार्मर
विमान,वायुयान
संरेखन,संरेखण
संरेखन त्रुटी,सरेखण त्रुटि
थेट सर्किट,सजीव परिपथ
पूर्ण काचेची ट्यूब,संपूर्ण कांच नलिका
संपूर्ण धातूची नळी,संपूर्ण धातुनलिका
निराकरण,नियत करना
"मिश्रातु (सं.), मिश्रत्व (क्र.)","मिश्रातु (सं.), मिश्रात्वन (क्रि.)"
मिश्रत्व,मिश्रात्वन
सर्वव्यापी माध्यम,सर्वव्यापी माध्यम
सर्व अँटेना,सर्वतरंग ऐन्टेना
पंचांग,पंचांग
अल्फा,ऐल्फा
अल्फा क्रियाकलाप,ऐल्फा-सक्रियता
अल्फान्यूमेरिक,अक्षरांकीय
अल्फा किरण,ऐल्फा किरण
बदला,परिवर्तन
"पर्यायी, पर्यायी","एकांतर, प्रत्यावर्ती"
अल्टरनेटर,प्रत्यावर्तित्र
अल्टिमीटर,तुंगतालेखी
अल्टिमीटर,तुंगतामापी
altimetry,तुंगतामापिकी
"उंची, उंची, उंची, उंची","तुंगता, उंचाई, उन्नतांश, शीर्षलम्ब"
अंकगणित तर्क युनिट (ALU),अंकगणित तर्क एकक (ए एल यू)
amaget नियम,एमागेट नियम
वातावरण,परिवेश
amicron,एमाइक्रोन
ammeter,ऐमीटर
अँपिअर,ऐम्पियर
अँपिअर-लॉ,ऐम्पियर-नियम
उभयचर आयन,उभयावेशी आयन
प्रवर्धन,प्रवर्धन
अॅम्प्लीफायर,प्रवर्धक
"कोन, परिमाण","कोणांक, आयाम"
a एम. यू. (अणु वस्तुमान एकक),ए. एम. यू. (परमाणु संहति मात्रक)
सुसंगत,अनुरूप
साधर्म्य,सादृश्य
विश्लेषक,विश्लेषक
विश्लेषण,विश्लेषण
विश्लेषणात्मक,विश्लेषीय
नॉन पॉइंट,अन-अबिन्दुक
विसंगत,अन-अबिंदुकता
आणि दरवाजा,तथा द्वार
गैर-ध्वनी,अप्रतिध्वनिक
विसंगत लवचिकता,विषम प्रत्यास्थता
निर्जल,निर्द्रव
कोन,कोण
अँग्स्ट्रोम युनिट,ऐंग्स्ट्रम मात्रक
टोकदार,कोणीय
protractor vernier,कोणमापी वर्नियर
विवादास्पद,अप्रसंवादी
अनादर,अप्रसवादिता
अक्रोमॅटिक चुंबकीकरण,अशैथिल्य चुंबकन
सुस्त,अशिथिलित
anion,ऋणायन
असममित,असमविम
समस्थानिक,विषमदैशिक
isotropism,विषमदैशिकता
हटवणे,विलोपन
कटकारस्थान,आख्यापित्र
एनोड,ऐनोड
anodization,ऐनोडीकरण
विसंगत,अंसगत
ऑप्टिकल प्रणाली,प्रकाशयंत्रहीन तंत्र
अँटेना,ऐन्टेना
अँटीबेरियन,ऐन्टिबेरियॉन
अँटी-बॉन्डिंग गुणधर्म,बंधन विरोधी गुणधर्म
काउंटर बाँड,प्रति-आबंधन
उलट शक्ती,प्रतिलोह विद्युत
डायमॅग्नेटिक,प्रतिलोहचुंबकीय
डायमॅग्नेटिक सामग्री,प्रतिलोहचुबकीय पदार्थ
विरोधी दाहक,प्रतिकूहाकारक
गुरुत्वाकर्षण,प्रतिगुरुत्व
antilamda कण,प्रतिलेम्डा कण
ऍलेलेप्टन,ऐल्टीलेप्टॉन
डायमॅग्नेटिक,प्रतिचुंबकीय
प्रतिपदार्थ,ऐन्टिद्रव्य
क्षेपणास्त्र विरोधी,मिसाइल विरोधी
अँटीन्यूट्रॉन,ऐन्टिन्यूट्रॉन
pulsating,प्रस्पंद
अँटीन्यूक्लिओन,प्रतिन्यूक्लिऑन
प्रतिकण,प्रतिकण
अँटीप्रोटॉन,प्रतिप्रोटॉन
परावर्तक,परावर्तनरोधी
विषमताविरोधी,प्रतिसममित
आवर्ती नाही,अनावर्ती
अनाक्रोनिझम,अनावर्तिता
छिद्रित स्कॅनिंग डिस्क,छिद्रित क्रमवीक्षण डिस्क
द्वारक,द्वारक
"वर, वर, समोर","शीर्ष, शिखर, अग्रक"
"उच्च सूर्य, उच्च सूर्य","सूर्योच्च, रवि उच्च, अपसौर"
उदासीन लेस,अविपथी लेस
गैर-दयनीय,अविपथी
अपंगत्व नसणे,अविपथिता
अतिशय वर्णवर्धक,अति अवर्णी
"जमीन-उंच, apogee","भूमि-उच्च, अपभू"
"nonpolar, circumpolar","अध्रुवी, परिध्रुवी"
parapolarity,परिध्रुविता
साधन,उपकरण
"आभासी, दृश्य","आभासी, दृष्ट"
दृश्यमान सूर्य,दृष्ट सूर्य
दृश्य वेळ,दृष्ट समय
उदयोन्मुख देखावा,"उदभावी, प्रकटन"
अर्ज,अनुप्रयुक्ति
लागू,अनुप्रयोज्यता
लागू,अनुप्रयुक्त
निरीक्षण करण्यायोग्य,सुप्रेक्ष्य
दृष्टीकोन,उपगमन
"जवळ, अंदाजे","सन्निकट, लगभग"
अंदाजे,सन्निकटन
बाष्प दाब,वाष्प दाब
ऐच्छिक,स्वेच्छ
"चाप भट्टी, चाप भट्टी","आर्क भट्टी, चाप भट्टी"
आर्किमिडीजचा कायदा,आर्किमीडीज़ का नियम
आर्किटेक्चरल ध्वनीशास्त्र,स्थापत्य ध्वानिकी
चाप दिवा,आर्क लैंप
आर्क-स्पेक्ट्रम,आर्क-स्पेक्ट्रम
"क्षेत्र, क्षेत्र","क्षेत्र, क्षेत्रफल"
"प्रादेशिक, प्रादेशिक","क्षेत्रफलीय, क्षेत्रीय"
"हात, हात, शाखा","बाहु, भुजा, शाखिका"
हौशी,आमेचर
"अॅरे, अॅरे","व्यूह, सरणी"
प्राप्तकर्ता,प्रग्राही
उच्चार स्पष्टता,उच्चारण स्पष्टता
सिंथेटिक,कृत्रिम
कृत्रिम संक्रमण,कृत्रिम तत्वांतरण
चढत्या,आरोही
आरोहण,तारारोहण
चढणे,आरोहांक
अगोली,अगोली
एकत्रीकरण,अगोलीकरण
संच,समुच्चय
"एकत्र करणे, एकत्र करणे","समुच्चय करना, समुच्चयन"
"एकत्र करणे, एकत्र करणे, एकत्र करणे","समुच्चय, समुच्चयन, कोडांतरण"
अचूक अंदाज,परिशुद्धता आकलन
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,निर्दिष्ट (क्वांटम संख्याओं का) निर्दिष्टीकरण
"संबंधित, सहयोगी, संयुग्मित","संबंद्ध, सहचारी, संगुणित"
स्वराचा उच्चार,स्वरावृत्ति
स्वयंचलित मल्टीव्हायब्रेटर,स्वचलित बहुकंपित्र
अस्थेनिक,अस्थैतिक
"संयम, दृष्टिवैषम्य","अबिन्दुकता, एस्टिग्मेटिज्म"
अंतराळ प्रवास इलेक्ट्रॉनिक्स,अंतरिक्ष यात्रा इलेक्ट्रॉनिकी
खगोल भौतिकशास्त्र,खगोलमिति
अंतराळवीर,अंतरिक्षयात्री
खगोलशास्त्रज्ञ,खगोलज्ञ
आकाशीय,खगोलीय
खगोलशास्त्र,खगोलिकी
खगोल भौतिकशास्त्र,खगोल भौतिकी
असममित,असममित
लक्षणे नसलेला,अनंतस्पर्शी
त्रासदायक,उपगामी
असिंक्रोनस,अतुल्यकालिक
"वातावरण, वातावरण","वायुमंडल, परिमंडल"
वातावरणीय,वायुमंडलीय
वारा अशांतता,वायु-विद्युत क्षोभ
आण्विक,परमाणु
अणू,परमाण्वीय
आण्विकता,परमाणुकता
आण्विक वस्तुमान,परमाणु संहति
अणुक्रमांक,परमाणु क्रमांक
"आण्विक अणुभट्टी, आण्विक ढीग","परमाणु-रिऐक्टर, परमाणु पाइल"
अणू,परमाण्विक
कण,कणन
कण,कणित्र
"क्षीणता, क्षीणता","क्षीणन, क्षीणता"
"कमी करणे, कमी करणे","क्षीणकारी, क्षीणक"
मोहिनी,आकर्षण
आकर्षण शक्ती,आकर्षण बल
ऐकण्याची क्षमता,श्रव्यता
ऑडिओ वारंवारता अॅम्प्लिफायर,श्रव्य आवृत्ति-प्रवर्धक
ऐकण्यायोग्य,श्रव्य
ऑडिओ जनरेटर,श्रव्यजनित्र
श्रवणक्षमता आलेख,श्रव्यता आलेख
श्रवण विज्ञान,श्रवण विज्ञान
ऑडिओमीटर,श्रव्यतामापी
ऐकण्यायोग्य वारंवारता ऑसिलेटर,श्रव्य आवृत्ति-दोलक
ध्वनी सिग्नल,ध्वनि सिग्नल
दृकश्राव्य,दृश्य-श्रव्य
"सभागृह, सभागृह","ऑडिटोरियम, सभाभवन"
ओझेड प्रभाव,ओज़ए प्रभाव
जाहिरात,संवर्धन
वर्धक,संवर्धक
ध्रुवीय ज्योत,ध्रुवीय ज्योति
दक्षिण ध्रुवीय ज्वाला,दक्षिण ध्रुवीय ज्योति
उत्तर ध्रुवीय ज्योत,उत्तर ध्रुवीय ज्योति
स्वयंचलित सूचना,स्वचालित सचेतक
स्वयं समांतर,स्वतः समांतरित्र
"स्वयंचलित, स्वयंचलित, स्वयंचलित","आत्मचालित, स्वचालित, स्वतः"
"ऑटोमेशन, ऑटोमेशन","स्वचालन, स्वचालित यंत्र"
"सहाय्यक, सहकारी, अतिरिक्त","सहायक, सहकारी, अतिरिक्त"
"आडवा, हिमस्खलन","अवधाव, ऐवेलांश"
"अर्थ, क्षुद्र","औसत, माध्य"
परिवार,परिवर्जन
अक्षीय,अक्षीय
अक्ष,अक्ष
दिगंश,दिगंश
दिगंश,दिगंशीय
परत,पश्च
"पार्श्वभूमी, पार्श्वभूमी","पृष्ठभूमि, पृष्ठभूमिक"
"मागासलेला, मागासलेला","पिच्छद, पश्चगमन"
टर्नअराउंड,प्रतिवर्तन
बॅक व्होल्टेज पल्सर,पश्चडोल वोल्टता स्पंदक
पोस्ट-रिलेशनशिप,पश्च-पश्च-संबंधन
प्रतिपूर्ती,पूर्तिकर
अँटी व्होल्टेज,विरोधी वोल्टता
पोस्टरियर स्कॅटरिंग,पश्चवर्ती प्रकीर्णन
इंटरस्टिशियल लाट,अंतराली तरंग
इन्सुलेटर,कुचालक
हवाई छत्री वापरून घेतलेली उडी,पैराशूट सहित कूद पड़ना
गरम करणे,तपन
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","तुला, तराजू, बाकी, संतुलित करना, संतुलित होना, संतुलन, शेष"
बॅलन्सर,संतोलक
शिल्लक,संतुलन
गोलाकार,गोलात चुबक
"बॅलिस्टिक, बॅलिस्टिक","प्राक्षेपिक, प्राक्षेपिकीय"
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर","प्रक्षेप धारामापी, प्रक्षेप गैल्वनोमीटर"
क्षेपणास्त्र,प्रक्षेपास्त्र
"बॅलिस्टिक्स, शस्त्रे","प्राक्षेपिकी, अस्त्र विज्ञान"
प्रक्षेपण,प्रक्षेप
मुक्त मार्ग,मुक्त प्रक्षेप पथ
"फुगा, फुगा","बैलून, गुब्बारा"
balmer खंडितता,बामर-असातत्य
"बँड, बँड, बँड","पट्ट, पट्टी, बैंड .दल"
स्फोट,धमाका
"अॅरे, बीम, किनारा, किनारा, किनारा","व्यूह, पुंज, किनारा, बैंक, तट"
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, 8.भित्ति, 9.रेखिका, 10.धार, 1रोधिका, 1, बार, 1, रेखा, 1, परीक्षण रेखा"
bardeen तत्त्व,बारडीन सिद्धांत
barkhausen प्रभाव,बार्कहाउज़एन प्रभाव
बारलो सायकल,बार्लो चक्र
बार चुंबक,दंड चुबंक
धान्याचे कोठार,बार्न
हवेचा दाब आलेख,वायुदाब-आलेख
"बॅरोग्राफ, बॅरोग्राफ","वायुदाबलेखी, बैरोग्राफ"
बॅरोमीटर,वायुदाबमापी
वातावरणाचा दाब,वायुदाबमिति
"कॉसमॉस, बॅरोमोस्फियर","कर्षमंडल, बैरोमंडल"
पेंडुलम पेंडुलम,दंड लोलक
"अडथळा, आण्विक, आण्विक अडथळा","रोध, रोधिका, नाभिकीय रोधिका"
अडथळा पातळी,रोधिका स्तर
बेरियन,बरिऑन
गुरुमंडळ,गुरुमंडल
बेस बँड,आधार बैंड
"मूलभूत, मूलभूत, अल्कधर्मी","आधारीय, मूल, क्षारीय"
पाया,आधारक
"गणना, संघ निर्मिती","गणन, दल रचना"
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ","कुंड, कुंडिका, ऊष्मक, तापन-पात्र, बाथ"
बॅटरी,बैटरी
"अॅरे सेगमेंट, चेंबर, बे","व्यूह खंड, कक्ष, खाड़ई"
प्रदर्शन,प्रदर्श
किबान,कीबन
"माणिका, बीड","मणिका, बीड"
"तुळई, तुळई, तुळई, ट्रम्प","दंड, बीम, किरण पुंज, तुर"
"डिकमन, डिकॉन","दिक्मान, दिक्कोण"
"dole, vispand","डोल, विस्पंद"
बेकरेल प्रभाव,बैकेरल प्रभाव
बेल जार,"बेलजार, घंटाकार ढकना"
घुंगरू,धौंकनी
घंटा घड्याळ,घंटाकार
"वेदिका, खंडपीठ","वेदिका, बेंच"
"मोड, बंक (सं.), वाकणे (v.)","मोड, बंक (सं.), मोड़ना (क्रि.)"
बँकन,बंकन
"वाकलेला, वाकलेला","मुड़आ, बंकित"
बर्नौली-समीकरण,बर्नूली-समीकरण
बेसल-फंक्शन,बेसल-फलन
सर्वोत्तम आसंजन,श्रेष्ठतम आसंजन
बीटा (ब),बीटा (भ्)
betatron,बीटाट्रॉन
bethe मॉडेल,बेथे निदर्श
बायव्हट्रॉन,बिवाट्रॉन
BH वक्र,B-H वक्र
द्विभुज,द्विकोणीय
"पक्षपात, पक्षपात","अभिनति, बायस"
द्वि-अक्षीय,द्वि-अक्षीय
बिक्रोमेट सेल,बाइक्रोमेट सेल
अभ्यवताल,अभयावतल
दुहेरी अँटेना,द्विशंकु ऐन्टेना
द्विउत्तल,उभयोत्तल
"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल","द्वि-क्रिस्टल, द्विक क्रिस्टल"
द्विदिश मायक्रोफोन,द्विदिशी माइक्रोफोन
द्विपदी मॉडेल,द्वि-उपादानीय निदर्श
डायओशियस,द्विसूत्री
द्विपक्षीय,द्विपार्श्विक
द्विरेखीय,द्विरैखिक
द्विमोलेक्युलर,द्वि-अणुक
"द्वि-चर, द्वि-आधार, दुहेरी","द्वि-चर, द्वि-आधारी, द्वयी"
"बायनरी कोड, बायनरी कोड","द्वि-आधारी कोड, द्वि-आधारी कूट"
गेम स्टार,युग्मतारा
बायनरी पद्धत,द्वि-आधारी पद्धति
दुहेरी बाजू असलेला,"द्विकर्णी, द्विपथी"
बंध,बंधन
"द्विनेत्री, द्विनेत्री","द्विनेत्री, बाइनाक्युलर"
बायनरी,द्विनोड
द्विपदी वितरण,द्विपद बंटन
"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित","द्विकेन्द्रीय, द्विकेन्द्रकी, द्विन्यूक्लीय"
जैवगतिकी,जैव-गतिकी
बायो इलेक्ट्रॉनिक्स,जैव इलेक्ट्रानिकी
बायोफिजिस्ट,जीव-भौतिकीविज्ञ
बायोफिजिक्स,जीव-भौतिकी
जैविक उपग्रह,जैविक उपग्रह
"सिनेमॅटोग्राफर, बायोस्कोप","चलचित्रदर्शी, बायोस्कोप"
जैव-सावर्त नियम,बायो-सावर्ट नियम
biphasic प्रवाह,द्विप्रावस्थिक धारा
द्विध्रुव,द्विध्रुवीय
"biprism, biprism","द्विकप्रिज्म, बाइप्रिज्म"
"biquartz, biquartz","द्विस्फटिक, बाइक्वार्ट्ज"
biphasic वर्ण,द्विस्थितिक अभिलक्षण
दोन-स्टेज मल्टीव्हायब्रेटर,द्विस्थितिक बहुकंपित्र
"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक","द्वयंक* (द्विआधारी अंक), बरमी, अणी, टूक"
"काळा, कृष्णा","काला, कृष्ण"
काळे शरीर,कृष्णिका
अदृश्य प्रकाश,अदृश्य प्रकाश
timirayan रेडिओ timirayan,"तिमिरायन, रेडियो तिमिरायन"
इजेक्शन नाडी,लोपन स्पंद
पूर्वाग्रह समाप्त करा,अंतक बायस
काळा विकिरण,कृष्ण विकिरण
"अपूर्ण, रिक्त","असंपूर्त, रिक्त"
कव्हर,समाच्छादन
रद्द करणे,लोपन
"स्फोट, स्फोट, वाफा","स्फोटन, वात्या, झोंका"
"savika, bleeder, savi","साविका, ब्लीडर, सावी"
"वेशात, आंधळा","प्रच्छन्न, अंध"
ब्लोचचे प्रमेय,ब्लॉख प्रमेय
"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे","अवरोध, अवरोधन, अवरोधी"
"फुंकणे, फुंकणे, फुंकणे","आघात, ब्लो, धमन"
ब्लू प्रिंट,ब्लू प्रिंट
अस्पष्टता वर्तुळ,अस्पष्टता-वृत्त
अस्पष्ट,अस्पष्ट
"बॉल, गोलाकार, लटकन","गोलक, गोला, लटकन"
"शरीर, वस्तू","पिंड, वस्तु"
शारीरिक क्षमता,कायिक धारिता
केंद्रीत,अंत:केन्द्रित
"शरीर-कर्ण, अंत-कर्ण","पिंड-विकर्ण, अन्त:-विकर्ण"
"बोगी, अज्ञात शोध (रडार)","बोगी, अज्ञात संसूचन (रडार)"
बोअर इफेक्ट,बोर प्रभाव
बोर मॅग्नेटन,बोर मैग्नेटॉन
"बॉयलर, बॉयलर","क्वथित्र, बॉयलर"
"उकळणे, उकळणे","क्वथन, उबालना"
बोल्ट्समन समीकरण,बोल्ट्समान समीकरण
बॉम्बर इलेक्ट्रॉन,बमबार इलेक्ट्रॉन
"क्लेशकारक ऊर्जा, बॉम्बस्फोट ऊर्जा","अभिघातक ऊर्जा, बमकारी ऊर्जा"
गहाण,बंधक
"बंधलेले, बंधलेले, बंधलेले","आबंधक, आबंधी, आबन्धन"
वर्धक,अभिवर्धक
बोरॉन,बोरॉन
बोस-कण,बोस-कण
बोसॉन,बोसॉन
"धक्का, उडी","झंप, उच्छलन"
बद्ध,परिबद्ध
"मर्यादा, मर्यादा (सं.), सीमांत (वि.)","परिसीमा, सीमा (सं.), सीमांत (वि.)"
बद्ध,बद्ध
धनु राशीचे अंगण,"धनु, गज़"
नौकानयन लाट,नौकाग्र तरंग
बॉयलर गरम करणे,बॉयल ताप
बॉयलचा कायदा,बॉयल-नियम
बॉयलर गरम करणे,बॉयल ताप
कंस-वर्ग,ब्रेकेट-श्रेणी
पिशवी नियम,बॅग नियम
गुंफलेली तार,गुंफित तार
ब्रेक वर्ग,ब्रेक कक्षा
ब्रामा कंप्रेसर,ब्रामा संपीडक
शाखा,शाखन
"धाडसी जाळी, धाडसी जाळी","ब्रेवे लैटिस, ब्रेवे जालक"
ब्रास ब्रॅझिंग,"पीतल से झालना, पीतल का टाँका लगाना"
विच्छेदन,विच्छेद
ब्रेक कनेक्टर,विच्छेद संपर्कक
"फ्रॅक्चर डायोड, जेनर डायोड","भंजन डायोड, जेनर डायोड"
फ्रॅक्चर,विभंजन
"ब्रीडर रिएक्टर, ब्रीडर न्यूक्लियर फर्नेस, ब्रीडर फर्नेस","प्रजनक रिऐक्टर, ब्रीडर परमाणु भट्टी, प्रजनक भट्टी"
पुनरुत्पादन,प्रजनन
"retardant विकिरण, brastralung","अवमंदक विकिरण, ब्रैस्ट्रालुंग"
brewster-कोन,ब्रूस्टर-कोण
ब्रुस्टर फ्रीज,ब्रूस्टर फ्रिज़
पूल,सेतु
ब्रिज बाँड,सेतु-बंधन
"तेजस्वी, तेजस्वी, चमकदार","दीप्त, द्युतिमान, चमकीला"
प्रकाशक,प्रदीपक
तेज,प्रभास
"द्युती, प्रभा","द्युति, प्रभा"
ब्रिलुवान क्षेत्र,ब्रिलुवां क्षेत्र
ब्रिटिश मानक मेणबत्ती,ब्रिटिश मानक कैंडल
ठिसूळ,भंगुर
ठिसूळपणा,भंगुरता
प्रसारण,प्रसारण
तपशीलवार,विस्तृत
प्रतिगामी,पार्वाभिमुखी
ब्रोगली फॉर्म्युला,ब्रोग्ली सूत्र
खंडित,खंडित
ब्राउनी मोशन,ब्राउनी गति
"कुची, बुरुश, कुर्च, गुल्म","कूची, बुरुश, कूर्च, गुल्म"
"बबल, बबल (सं.), बडबड (v.)","बुबुद्, बुलबुला (सं.), बुदबुदाना (क्रि.)"
उत्तेजित होणे,बुदबुदाहट
प्रतिकार,प्रतिकारी
आकुंचन,आकुंचन
"amp-प्रतिरोध, बफर","उभय प्रतिरोधी, बफ़र"
ध्वनीशास्त्र,भवन-ध्वानिकी
बर्धन,वर्धन
बल्ब,बल्ब
उदयास येणे,उभरना
"मात्रा, मोठ्या प्रमाणात, वस्तुमान, वस्तुमान, खंड","आयतन, स्थूलता, समष्टि, पुंज, प्रकाय"
व्हॉल्यूम लवचिकता गुणांक,आयतन प्रत्यास्थता गुणांक
लोकसंख्या मालमत्ता,समष्टि गुणधर्म
कमाल तापमान,अधिकांशीय ताप
फुगवटा,"ककुद, उभार"
"गुच्छ, गुच्छ (n.), क्लस्टर करणे (ver.)","गुच्छ, पुंज (सं.), गुच्छित होना (क्रि.)"
घड,गुच्छक
बनसेन सेल,बुन्सेन सेल
उत्साह,उत्प्लव
"उछाल, उत्साह","उत्प्लावकता, उत्प्लावन"
बर्गर सर्किट,बर्गर परिपथ
चोराची घंटा,चोर घंटी
"बर्नर, इग्निटर","बर्नर, ज्वालक"
पूर्ण प्रज्वलन,पूर्णज्वलन
"स्फोट, स्फोट, फूट","प्रस्फोट, स्फोट, विदर"
ओळ व्यस्त,व्यस्त लाइन
व्यस्त टोन,व्यस्तता टोन
बजर,गुंजक
बायपास,उपपथ
सर्किट,उपपथन
"सागरी तार, केबल","समुद्री तार, केबल"
कॅडमियम,कैडमियम
सीझियम सेल,सीज़इयम-सेल
पांजर द्विध्रुव,पंजर द्विध्रुव
पांजर इफेक्ट,पंजर प्रभाव
मोजणे,परिकलन करना
कॅल्क्युलेटर,परिकलक
कॅलेंडर,कैलेन्डर
"कॅलिब्रेशन, कॅलिब्रेशन, पुनरावृत्ती","अंशशोधन, अंशांकन, अनुसंशोधन"
"कॅलिब्रेशन गुणक, कॅलिब्रेशन गुणक","अंशोधन गुणक, अंशांकन गुणक"
कॅलिपर,कैलिपर्स
"कॉल कॅल्क्युलेटर, टॉक कॅल्क्युलेटर","कॉल गणित्र, वार्ता गणित्र"
"उष्णता (v.), उष्मांक (सं.)","ऊष्मी (वि.), कैलोरिक (सं.)"
"कॅलरीमीटर, कॅलरीमीटर","कैलोरीमीटर, ऊष्मामापी"
"कॅलरीमेट्री, कॅलरीमेट्री","कलोरीमिति, ऊष्मामिति"
कॅमेरा,कैमरा
