English,Malayalam
Adhesive organ,ഒട്ടിപ്പിടിക്കുന്ന അവയവം
Adhesive pad,പശ പാഡ്
Adjunct,അനുബന്ധം
Adoptation,ദത്തെടുക്കൽ
Adrenocortical hormone,അഡ്രിനോകോർട്ടിക്കൽ ഹോർമോൺ
Adsorption,അഡോർപ്ഷൻ
Adsorption co-factor,അഡോർപ്ഷൻ കോ-ഫാക്ടർ
Adulteration,വ്യഭിചാരം
Adulticide,വ്യഭിചാരം
Adult organism,മുതിർന്ന ജീവി
Adult plant resistance,മുതിർന്ന ചെടികളുടെ പ്രതിരോധം
Adult stage,മുതിർന്നവരുടെ ഘട്ടം
Advancing frontiers,മുന്നേറുന്ന അതിർത്തികൾ
Aerate,വായുസഞ്ചാരം
Aeration,വായുസഞ്ചാരം
Aerial mycelium,ഏരിയൽ മൈസീലിയം
Aerobic chemoautotroph,എയറോബിക് കീമോഓട്ടോട്രോഫ്
Aerobic respiration,എയ്റോബിക് ശ്വസനം
Aerobic treatment,എയറോബിക് ചികിത്സ
Aerobiology,എയറോബയോളജി
Aeroscope,എയ്റോസ്കോപ്പ്
Aerosol,എയറോസോൾ
"Aerotactic, aerotaxis","എയറോടാക്റ്റിക്, എയറോടാക്സിസ്"
Aerotactic response,എയറോടാക്റ്റിക് പ്രതികരണം
Aestivation,എസ്റ്റിവേഷൻ
Affinity,അടുപ്പം
Agamete,അഗാമിറ്റ്
Agamous,അഗാമി
Agamy,അഗാമി
Agar diffusion method,അഗർ ഡിഫ്യൂഷൻ രീതി
Agglutination,അഗ്ലൂറ്റിനേഷൻ
Aggressive mimicry,അഗ്രസീവ് മിമിക്രി
Aging,വൃദ്ധരായ
Agitator,പ്രക്ഷോഭകാരി
Agriculture microbiology,അഗ്രികൾച്ചർ മൈക്രോബയോളജി
Agro technical,അഗ്രോ ടെക്നിക്കൽ
Airborne,വായുവിലൂടെയുള്ള
Airborne micro organism,വായുവിലൂടെയുള്ള സൂക്ഷ്മജീവി
Air channel,എയർ ചാനൽ
Air current,എയർ കറന്റ്
Air sac,വായു സഞ്ചി
Air sampler,എയർ സാമ്പിൾ
Air space,എയർ സ്പേസ്
Air tight,എയർ ടൈറ്റ്
Akinete,അകിനെറ്റ്
Alarm water,അലാറം വെള്ളം
Alcoholic beverage,മദ്യപാനം
Alcoholic fermentation,ആൽക്കഹോൾ അഴുകൽ
Algae,ആൽഗകൾ
Algal classification,ആൽഗൽ വർഗ്ഗീകരണം
Algal culture,ആൽഗൽ സംസ്കാരം
Algal layer,ആൽഗൽ പാളി
Algal symbiont,ആൽഗൽ സിംബിയന്റ്
Algicide,ആൽജിസൈഡ്
Algology,ആൽഗോളജി
Alimentary canal,ആലിമെന്ററി കനാൽ
Aliphatic,അലിഫാറ്റിക്
Alkaline gland,ആൽക്കലൈൻ ഗ്രന്ഥി
Alkalinity,ആൽക്കലിനിറ്റി
Alkalophile,ആൽക്കലോഫൈൽ
Alkalyting agent,ആൽക്കലിറ്റിംഗ് ഏജന്റ്
"Allele, Allelomorph","അല്ലെലെ, അലെലോമോർഫ്"
Allergenic compound,അലർജി സംയുക്തം
Allergy,അലർജി
Allergy of infection,അണുബാധയുടെ അലർജി
"Allogamous, Allogamy","അലോഗാമസ്, അലോഗാമി"
Allogenic,അലോജെനിക്
Alloploid,അലോപ്ലോയിഡ്
Allopolyploidy,അലോപോളിപ്ലോയിഡി
Allosteric transition,അലോസ്റ്റെറിക് പരിവർത്തനം
Alternate,ഏകാന്തരക്രമത്തിൽ
Alternate disease,ഇതര രോഗം
Alternating,ഒന്നിടവിട്ട്
Alternation of generation,തലമുറയുടെ ആൾട്ടർനേഷൻ
Alveoli,അൽവിയോളി
Amber mutation,ആമ്പർ മ്യൂട്ടേഷൻ
Ambient,ആംബിയന്റ്
Ambocepter,അംബോസെപ്റ്റർ
Ambrosia beetle,അംബ്രോസിയ വണ്ട്
Ambrosia fungus,അംബ്രോസിയ ഫംഗസ്
Ameliorate,മെച്ചപ്പെടുത്തുക
Amination,അമീനേഷൻ
Amitosis,അമിറ്റോസിസ്
Ammonification,അമോണിയീകരണം
Amoebic dysentry,അമീബിക് ഡിസൻട്രി
Amoebiosis,അമീബിയോസിസ്
Amoeboid,അമീബോയിഡ്
Amorphous,രൂപരഹിതം
Amphibolic pathways,ആംഫിബോളിക് പാതകൾ
Amphiploid,ആംഫിപ്ലോയിഡ്
Amphipneustic,ആംഫിപ്ന്യൂസ്റ്റിക്
Amphitrichous,ആംഫിട്രിക്കസ്
Anabolism,അനാബോളിസം
Anaerobic,അനറോബിക്
Anaerobic respiration,വായുരഹിത ശ്വസനം
Anaerobic treatment,അനറോബിക് ചികിത്സ
Anaerobiosis,അനറോബയോസിസ്
Anaerogenic (non-gas producing),അനറോജെനിക് (ഗ്യാസ് ഉൽപ്പാദിപ്പിക്കാത്തത്)
Analogue,അനലോഗ്
Analogous,അനലോഗ്
Anaphase,അനാഫേസ്
Angular growth,കോണീയ വളർച്ച
Anhydrous,ജലരഹിതം
Animalcules,മൃഗങ്ങൾ
Animal feed,മൃഗങ്ങൾക്കുള്ള ഭക്ഷണം
Anisogamete,അനിസോഗമെറ്റ്
Anisogamous,അനിസോഗാമസ്
Anisogamy,അനിസോഗാമി
Anisospory,അനിസോസ്പോറി
Anomalous,അസാധാരണമായ
Anoxygenic,അനോക്സിജെനിക്
Antagonism,വിരോധം
Antagonistic organism,വിരുദ്ധ ജീവി
Antagonistic symbiosis,വിരുദ്ധ സഹവർത്തിത്വം
Antheridium,ആന്തെറിഡിയം
Anthracnose,ആന്ത്രാക്നോസ്
Anthrax,ആന്ത്രാക്സ്
Antibiosis,ആന്റിബയോസിസ്
Antibiotic,ആന്റിബയോട്ടിക്
Antibiotic assay,ആൻറിബയോട്ടിക് പരിശോധന
Antibiotic dependence,ആൻറിബയോട്ടിക് ആശ്രിതത്വം
Antibiotic resistance,ആൻറിബയോട്ടിക് പ്രതിരോധം
Antibiotic sensitivity,ആൻറിബയോട്ടിക് സംവേദനക്ഷമത
Antibiotic theraphy,ആൻറിബയോട്ടിക് തെറാപ്പി
Antibody,ആന്റിബോഡി
Antibody formation,ആന്റിബോഡി രൂപീകരണം
Antibody precipitation,ആന്റിബോഡി മഴ
Anticoagulant,ആന്റികോഗുലന്റ്
Antidote,മറുമരുന്ന്
Antifibrin,ആന്റിഫിബ്രിൻ
Antifungal,ആന്റിഫംഗൽ
Antigen,ആന്റിജൻ
Antigenesity,ആന്റിജെനിസിറ്റി
Antigenic,ആന്റിജനിക്
Antigenic analysis,ആന്റിജനിക് വിശകലനം
Antigenic determinant,ആന്റിജനിക് ഡിറ്റർമിനന്റ്
Antigenic mimicry,ആന്റിജനിക് മിമിക്രി
Antigen specificity,ആന്റിജന്റെ പ്രത്യേകത
Antimicrobial,ആന്റിമൈക്രോബയൽ
Antimicrobial agent,ആന്റിമൈക്രോബയൽ ഏജന്റ്
Antioxidant,ആന്റിഓക്‌സിഡന്റ്
Antipyretic,ആന്റിപൈറിറ്റിക്
Antiseptic,ആന്റിസെപ്റ്റിക്
Antiseptic surgery,ആന്റിസെപ്റ്റിക് ശസ്ത്രക്രിയ
Antiserum,ആന്റിസെറം
Antitoxin,ആന്റിടോക്സിൻ
Antitumour,ആന്റിട്യൂമർ
Antiviral,ആൻറിവൈറൽ
Antiviral agent,ആൻറിവൈറൽ ഏജന്റ്
Antivirotic,ആന്റിവൈറോട്ടിക്
Aperture,അപ്പേർച്ചർ
Aplanogamete,അപ്ലനോഗമെറ്റ്
Aplano sporangium,അപ്ലാനോ സ്പോറൻജിയം
Aplanospore,അപ്ലാനോസ്പോർ
Apochromatic,അപ്പോക്രോമാറ്റിക്
Apochromatic lens,അപ്പോക്രോമാറ്റിക് ലെൻസ്
Apogamic,അപ്പോഗാമിക്
Apogamy,അപ്പോഗാമി
Aposporous,അപ്പോസ്പോറസ്
Apospory,അപ്പോസ്പോറി
Apparent,പ്രത്യക്ഷമായത്
Appendage,അനുബന്ധം
Appertization,അപ്പെർട്ടൈസേഷൻ
Apple rot,ആപ്പിൾ ചെംചീയൽ
Apple sucker,ആപ്പിൾ സക്കർ
Appressoria,അപ്രെസോറിയ
Aquatic,ജലജീവി
Aquatic environment,ജല പരിസ്ഥിതി
Aquatic fungi,അക്വാട്ടിക് ഫംഗസ്
Aquatic microbiology,അക്വാട്ടിക് മൈക്രോബയോളജി
Aqueous,ജലീയം
Arbitrary,ഏകപക്ഷീയമായ
Arching,ആർച്ചിംഗ്
Arid,വരണ്ട
Aridity,വരൾച്ച
Arithmetic growth,ഗണിത വളർച്ച
Aroma,സൌരഭ്യവാസന
Aromatic compounds,ആരോമാറ്റിക് സംയുക്തങ്ങൾ
Aromatic ring synthesis,ആരോമാറ്റിക് റിംഗ് സിന്തസിസ്
Aromatic series,ആരോമാറ്റിക് സീരീസ്
Arsenic,ആഴ്സനിക്
Artery,ധമനിയുടെ
Arthritis,ആർത്രൈറ്റിസ്
Arthropods,ആർത്രോപോഡുകൾ
Artifact,ആർട്ടിഫാക്റ്റ്
Artificial brine,കൃത്രിമ ഉപ്പുവെള്ളം
Artificial bypass,കൃത്രിമ ബൈപാസ്
Artificial culture,കൃത്രിമ സംസ്കാരം
Ascospore,അസ്കോസ്പോർ
Aseptic,അസെപ്റ്റിക്
Asexual reproduction,അലൈംഗിക പുനരുൽപാദനം
Asexual spore,അലൈംഗിക ബീജകോശം
Aspermy,അസ്പെർമി
Aspiration,അഭിലാഷം
Assay,വിലയിരുത്തുക
Assembling,അസംബ്ലിംഗ്
Assimilation,സ്വാംശീകരണം
Assimilatory,അസിമിലേറ്ററി
Asymbiosis,അസിംബയോസിസ്
Atmosphere,അന്തരീക്ഷം
Atmospheric vault,അന്തരീക്ഷ നിലവറ
Atom,ആറ്റം
Atrichous,ആട്രിക്കോസ്
Attachment,ബന്ധം
Attenuated culture,ക്ഷയിച്ച സംസ്കാരം
Attenuated vaccine,ദുർബലമായ വാക്സിൻ
Attenuation,ശോഷണം
Attenuation of virulance,വൈറൽസിന്റെ ശോഷണം
Auger,ഓഗർ
Augmentation,വർദ്ധിപ്പിക്കൽ
Auricle,ഓറിക്കിൾ
Autoantibiosis,ഓട്ടോആൻറിബയോസിസ്
Autochthonous,സ്വയമേവയുള്ള
Autoclave,ഓട്ടോക്ലേവ്
Autocolony,ഓട്ടോകോളനി
Autodecomposition,ഓട്ടോഡീകംപോസിഷൻ
Autoecious,സ്വയമേവയുള്ള
Autoecology,ഓട്ടോകോളജി
Autogamous,ഓട്ടോഗാമസ്
Autogamy,സ്വയംഭാര്യത്വം
Autoicus,ഓട്ടോയിക്കസ്
Auto injection,ഓട്ടോ കുത്തിവയ്പ്പ്
Autolysis,ഓട്ടോലിസിസ്
Autolytic,ഓട്ടോലൈറ്റിക്
Autometamorphism,ഓട്ടോമെറ്റാമോർഫിസം
Automorphism,ഓട്ടോമോർഫിസം
Automycophagy,ഓട്ടോമൈക്കോഫാഗി
Autophagous,ഓട്ടോഫാഗസ്
Autophagy,ഓട്ടോഫാഗി
Autopolyploid,ഓട്ടോപോളിപ്ലോയിഡ്
Autoradiograph,ഓട്ടോറേഡിയോഗ്രാഫ്
Autosome,ഓട്ടോസോം
Autospore,ഓട്ടോസ്പോർ
Autosterilisation,ഓട്ടോസ്റ്റെറിലൈസേഷൻ
Autotransferable genetic agent,സ്വയം കൈമാറ്റം ചെയ്യാവുന്ന ജനിതക ഏജന്റ്
Autotroph,ഓട്ടോട്രോഫ്
Autotrophic bacteria,ഓട്ടോട്രോഫിക് ബാക്ടീരിയ
Auxochrome,ഓക്സോക്രോം
Aviam,അവിയം
Avirulent,വൈറൽ
Axenic culture,അക്സെനിക് സംസ്കാരം
Axial filament,അച്ചുതണ്ട് ഫിലമെന്റ്
Axis,അച്ചുതണ്ട്
Azoic group,അസോയിക് ഗ്രൂപ്പ്
Azygo spore,അസിഗോ ബീജം
Azygous,അസൈഗസ്
Back contact,തിരികെ ബന്ധപ്പെടുക
Backend,ബാക്കെൻഡ്
Ball grid array package,ബോൾ ഗ്രിഡ് അറേ പാക്കേജ്
Ballistic transport,ബാലിസ്റ്റിക് ഗതാഗതം
Band gap,ബാൻഡ് വിടവ്
Band gap engineering,ബാൻഡ് ഗ്യാപ്പ് എഞ്ചിനീയറിംഗ്
Barium standard solution,ബേരിയം സ്റ്റാൻഡേർഡ് പരിഹാരം
Barrel reactor,ബാരൽ റിയാക്ടർ
Barrier height,തടസ്സം ഉയരം
Barrier metal,ബാരിയർ മെറ്റൽ
Base,അടിസ്ഥാനം
Base for BC,ബിസിയുടെ അടിസ്ഥാനം
Base oxide,അടിസ്ഥാന ഓക്സൈഡ്
Base punch through,അടിസ്ഥാന പഞ്ച്
Base pushout effect,അടിസ്ഥാന പുഷ്ഔട്ട് പ്രഭാവം
Batch process,ബാച്ച് പ്രക്രിയ
Batch reactor,ബാച്ച് റിയാക്ടർ
Battery clamp plate,ബാറ്ററി ക്ലാമ്പ് പ്ലേറ്റ്
Battery connect plate,ബാറ്ററി കണക്ട് പ്ലേറ്റ്
Beam,ബീം
Benzene hexachloride,ബെൻസീൻ ഹെക്സാക്ലോറൈഡ്
Beryllium standard solution,ബെറിലിയം സാധാരണ പരിഹാരം
Bipolar device,ബൈപോളാർ ഉപകരണം
Bipolar transistor,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
Bird beak,പക്ഷി കൊക്ക്
Bit,ബിറ്റ്
Bleaching powder,ബ്ലീച്ചിംഗ് പൗഡർ
Blue wire lead,നീല വയർ ലെഡ്
Boltzmann constant,ബോൾട്ട്സ്മാൻ സ്ഥിരം
Boltzmann transport equation,ബോൾട്ട്സ്മാൻ ഗതാഗത സമവാക്യം
Bonded silicon,ബോണ്ടഡ് സിലിക്കൺ
Boro - phospho - silicate glass,ബോറോ - ഫോസ്ഫോ - സിലിക്കേറ്റ് ഗ്ലാസ്
Bottom cover assy,താഴെ കവർ അസി
Boundary layer,അതിർത്തി പാളി
Bracket,ബ്രാക്കറ്റ്
Brass stainer,പിച്ചള സ്റ്റെയിനർ
Brazing rod,ബ്രേസിംഗ് വടി
Breakdown,ബ്രേക്ക് ഡൗൺ
Breakdown field,ബ്രേക്ക്ഡൗൺ ഫീൽഡ്
Breakdown voltage,ബ്രേക്ക്ഡൗൺ വോൾട്ടേജ്
Breathable air,ശ്വസിക്കാൻ കഴിയുന്ന വായു
Bridgman growth,ബ്രിഡ്ജ്മാൻ വളർച്ച
Brillouin zone,ബ്രില്ലൂയിൻ സോൺ
Bromathymide blue,ബ്രോമാറ്റിമൈഡ് നീല
Brush scrubbing,ബ്രഷ് സ്‌ക്രബ്ബിംഗ്
Bubble sheet,ബബിൾ ഷീറ്റ്
Buffered hydrofluoric acid,ബഫർഡ് ഹൈഡ്രോഫ്ലൂറിക് ആസിഡ്
Buffered oxide etch,ബഫർഡ് ഓക്സൈഡ് എച്ച്
Buried oxide,കുഴിച്ചിട്ട ഓക്സൈഡ്
Burn - in,ബേൺ - ഇൻ
Bacillary dysentry,ബാസിലറി ഡിസൻട്രി
Bacterial canker,ബാക്ടീരിയ ക്യാൻസർ
Bacterial chlorophyll,ബാക്ടീരിയ ക്ലോറോഫിൽ
Bacterial conjugation,ബാക്ടീരിയ സംയോജനം
Bacterial fusion,ബാക്ടീരിയ സംയോജനം
Bacterial leaf streak,ബാക്ടീരിയ ഇല വര
Bacterial ring disease,ബാക്ടീരിയ റിംഗ് രോഗം
Bacterial smear,ബാക്ടീരിയ സ്മിയർ
Bacterial soft rot,ബാക്ടീരിയ മൃദുവായ ചെംചീയൽ
Bacterial sporulation,ബാക്ടീരിയ ബീജസങ്കലനം
Bactericidal activity,ബാക്ടീരിയ നശിപ്പിക്കുന്ന പ്രവർത്തനം
Bacteriologist,ബാക്ടീരിയോളജിസ്റ്റ്
Bacteriology,ബാക്ടീരിയോളജി
Bacteriolytic,ബാക്ടീരിയലൈറ്റിക്
Bacteriophage,ബാക്ടീരിയോഫേജ്
Bacteriostat,ബാക്ടീരിയോസ്റ്റാറ്റ്
Bait,ചൂണ്ട
Balance of nature,പ്രകൃതിയുടെ ബാലൻസ്
Barny,ബാർണി
Barophile,ബറോഫൈൽ
Bark beetle,പുറംതൊലി വണ്ട്
Barren,വന്ധ്യം
Basal body,അടിസ്ഥാന ശരീരം
Basement membrane,ബേസ്മെൻറ് മെംബ്രൺ
Basidiospore,ബാസിഡിയോസ്പോർ
Basophile,ബാസോഫിൽ
Bast fibre,ബാസ്റ്റ് ഫൈബർ
Bean mosaic,ബീൻ മൊസൈക്ക്
Beef liver medium,ബീഫ് കരൾ മീഡിയം
Beetle larvae,വണ്ട് ലാർവ
Behaviour,പെരുമാറ്റം
Belching,ബെൽച്ചിംഗ്
Beverage,പാനീയം
Bibonic plague,ബൈബോണിക് പ്ലേഗ്
Bilateral,ഉഭയകക്ഷി
Bile,പിത്തരസം
Bile pigment,പിത്തരസം പിഗ്മെന്റ്
Bile salt,പിത്തരസം ഉപ്പ്
Binary fission,ബൈനറി ഫിഷൻ
Binding site,ബൈൻഡിംഗ് സൈറ്റ്
Binocular,ബൈനോക്കുലർ
Bioassay,ബയോഅസെ
Biodegradable detergent,ബയോഡീഗ്രേഡബിൾ ഡിറ്റർജന്റ്
Biogas,ബയോഗ്യാസ്
Biogenetic,ബയോജനറ്റിക്
Biological,ബയോളജിക്കൽ
Biological equilibrium,ജൈവ സന്തുലിതാവസ്ഥ
Biological factor,ജൈവ ഘടകം
Biological hazard,ജൈവ അപകടം
Biological species,ജൈവ ഇനം
Biological weathering,ജൈവ കാലാവസ്ഥ
Biologist,ജീവശാസ്ത്രജ്ഞൻ
Bioluminiscence,ബയോലുമിനിസെൻസ്
Biopolymer protein,ബയോപോളിമർ പ്രോട്ടീൻ
Biosphere,ജൈവമണ്ഡലം
Biostatistician,ബയോസ്റ്റാറ്റിസ്റ്റിഷ്യൻ
Biosynthesis,ബയോസിന്തസിസ്
Biota,ബയോട്ട
Biotic,ബയോട്ടിക്
Biotic potential,ബയോട്ടിക് സാധ്യത
Birefringence,Birefringence
Bizarre cells,വിചിത്രമായ കോശങ്ങൾ
Black arm,കറുത്ത കൈ
Blacknight shade,കറുത്ത നിഴൽ
Black rot,കറുത്ത ചെംചീയൽ
Black rust,കറുത്ത തുരുമ്പ്
Black shank,കറുത്ത ഷങ്ക്
Black strap molasses,കറുത്ത സ്ട്രാപ്പ് മൊളാസസ്
Black stripe,കറുത്ത വര
Blanch,ബ്ലാഞ്ച്
Blast of rice,ചോറ് പൊട്ടി
Blastomycosis,ബ്ലാസ്റ്റോമൈക്കോസിസ്
Blight,ബ്ലൈറ്റ്
Blighting symptom,ബ്ലൈറ്റിംഗ് ലക്ഷണം
Bloat,വീർപ്പുമുട്ടുക
Blood cell,രക്തകോശം
Blood plasma,രക്ത പ്ലാസ്മ
Blood serum,ബ്ലഡ് സെറം
Blossom blight,ബ്ലോസം ബ്ലൈറ്റ്
Blossom infection,ബ്ലോസം അണുബാധ
Blotch,ബ്ലോട്ട്
Bluegreen algae,ബ്ലൂഗ്രീൻ ആൽഗകൾ
Blue mold,നീല പൂപ്പൽ
Blue mold rot,നീല പൂപ്പൽ ചെംചീയൽ
Body symmetry,ശരീര സമമിതി
Body tube,ബോഡി ട്യൂബ്
Bog,ചതുപ്പുനിലം
Boil,തിളപ്പിക്കുക
Boiling brine,തിളയ്ക്കുന്ന ഉപ്പുവെള്ളം
Boil smut,സ്മട്ട് തിളപ്പിക്കുക
Bone meal,അസ്ഥി ഭക്ഷണം
Bony fish,അസ്ഥി മത്സ്യം
Botanical nomenclature,ബൊട്ടാണിക്കൽ നാമകരണം
Bottom yeast,താഴെയുള്ള യീസ്റ്റ്
Booster injection,ബൂസ്റ്റർ കുത്തിവയ്പ്പ്
Bouquet,പൂച്ചെണ്ട്
Bran,തവിട്
Breakdown process,ബ്രേക്ക്ഡൗൺ പ്രക്രിയ
Breather,ശ്വാസം
Brewing,ബ്രൂവിംഗ്
Brining,ബ്രൈനിംഗ്
Brisket,ബ്രിസ്കറ്റ്
Bristle,ബ്രിസ്റ്റിൽ
Brittle,പൊട്ടുന്ന
Broad spectrum of effectiveness,ഫലപ്രാപ്തിയുടെ വിശാലമായ സ്പെക്ട്രം
Brook,ബ്രൂക്ക്
Broth culture,ചാറു സംസ്കാരം
Brown alga,തവിട്ട് ആൽഗ
Brown cubical butt rot,ബ്രൗൺ ക്യൂബിക്കൽ ബട്ട് ചെംചീയൽ
Brown rot,ബ്രൗൺ ചെംചീയൽ
Brown spot,ബ്രൗൺ സ്പോട്ട്
Brown spot of rice,അരിയുടെ തവിട്ട് പുള്ളി
Brown stripe,തവിട്ട് വര
Brucellosis,ബ്രൂസെല്ലോസിസ്
Bruising,ചതവ്
