Bengali,Odiya
অ্যাকোস্টিক শক্তি,ଆକାଶବାଣୀ ଶକ୍ତି |
অ্যাকোস্টিক সম্পত্তি,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
অ্যাকোস্টিক রিফ্লেক্স,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
অ্যাকোস্টিক টাইল,ଆକାଶବାଣୀ ଟାଇଲ୍ |
অ্যাকোস্টিক তরঙ্গ,ଆକାଶବାଣୀ ତରଙ୍ଗ |
শাব্দিক শোষণ,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
শাব্দিক মনোযোগ ধ্রুবক,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
শাব্দিক স্যাঁতসেঁতে,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
শাব্দিক বিলম্ব লাইন,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
শাব্দিক বিকৃতি,ଆକାଶବାଣୀ ବିକୃତି |
শাব্দিক নালী,ଆକାଶବାଣୀ ନଳୀ |
শাব্দিক শক্তি,ଆକାଶବାଣୀ ଶକ୍ତି |
শাব্দিক প্রতিক্রিয়া,ଆକାଶବାଣୀ ମତାମତ |
শাব্দিক ফিল্টার,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
শাব্দিক প্রতিবন্ধকতা,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
শাব্দিক প্রচার ধ্রুবক,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
শাব্দিক প্রতিরোধের,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
শাব্দিকভাবে অন্তরক,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
অ্যাকোস্টিকস,ଆକାଶବାଣୀ |
অধিগ্রহণ,ଅଧିଗ୍ରହଣ
সংক্ষিপ্ত বিবরণ,ଆକ୍ରୋନିମ୍ |
অ্যাকশন এরিয়া,କ୍ରିୟା କ୍ଷେତ୍ର
সক্রিয় ফিলামেন্ট,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
সক্রিয়,ସକ୍ରିୟ
সক্রিয় এলাকা,ସକ୍ରିୟ କ୍ଷେତ୍ର
সক্রিয় উইন্ডো,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
অভিযোজনযোগ্যতা,ଅନୁକେତ
অ্যাডাপ্টার (অ্যাডাপ্টার),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
ঠিকানা বই,ଠିକଣା ବହି
ঠিকানা বাস,ଠିକଣା ବସ୍
ঠিকানা রেজোলিউশন,ଠିକଣା ରେଜୋଲୁସନ
সংলগ্ন চ্যানেল হস্তক্ষেপ,ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
সংলগ্ন চ্যানেল নির্বাচন,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
সংলগ্ন ফ্রিকোয়েন্সি,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
সংলগ্ন ছবি ক্যারিয়ার,ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
সংলগ্ন সাউন্ড ক্যারিয়ার,ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |
সংলগ্ন স্টেশন,ସଂଲଗ୍ନ ଷ୍ଟେସନ |
সামঞ্জস্যযোগ্য,ନିୟନ୍ତ୍ରିତ
সামঞ্জস্যযোগ্য কনডেন্সার,ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |
সামঞ্জস্য চাপ,ଚାପକୁ ସଜାଡିବା |
সামঞ্জস্য করা রেঞ্চ,ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |
সামঞ্জস্য,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
প্রশাসক,ପ୍ରଶାସକ
উন্নত প্রযুক্তি,ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |
এরিয়াল,ବାୟୁ
এরিয়াল অ্যারে,ଏରିଲ୍ ଆରେ |
এরিয়াল বুস্টার,ଏରିଲ୍ ବୁଷ୍ଟର୍ |
এরিয়াল কারেন্ট,ଏରିଲ୍ କରେଣ୍ଟ୍ |
এরিয়াল আর্থিং সুইচ,ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |
বায়বীয় দক্ষতা,ଏରିଲ୍ ଦକ୍ଷତା |
বায়বীয় প্রতিবন্ধকতা,ଏରିଲ୍ ଇନପେଟେନ୍ସ |
এরিয়াল ইন্ডাক্ট্যান্স,ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |
এরিয়াল ইনসুলেটর,ଏରିଆଲ୍ ଇନସୁଲେଟର |
এরিয়াল লোডিং কয়েল,ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |
আকাশ থেকে ছবি তোলা,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |
বায়বীয় শক্তি,ଏରିଲ୍ ଶକ୍ତି |
বায়বীয় বিকিরণ পুনর্নির্মাণ,ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |
বায়বীয় বিক্রিয়া,ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |
এয়ারোডাইনামিক্স,ଏରୋଡାଇନାମିକ୍ସ
এজেন্সি,ସଂସ୍ଥା
বায়ু সংকোচকারী,ବାୟୁ କମ୍ପ୍ରେସାକ୍ର
এয়ার কনডেন্সার,ବାୟୁ କଣ୍ଡନସର୍ |
ঠান্ডা বাতাস,ବାୟୁ ଥଣ୍ଡା
বায়ু কর্ড কয়েল,ବାୟୁ କୋଡ୍ କୋଇଲ୍ |
এয়ারকন্ডিশনিং,Accometication
আলবেডো,ଆଲବେଡୋ |
অ্যালগরিদম,ଆଲଗୋରିଦମ
এলিয়াসিং,ଛଦ୍ମନାମ
সারিবদ্ধ,ମିଶ୍ରଣ
প্রান্তিককরণ,ପରିଚାଳିତ
সমস্ত তরঙ্গ বিমান,ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |
বরাদ্দ,ଆବଣ୍ଟନ
বর্ণমালা,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
বর্ণমালা,ବର୍ଣ୍ଣମାଳା
আলফানিউমেরিক চরিত্র,ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |
আলফানিউমেরিক তথ্য,ବର୍ଣ୍ଣମାଳା ସୂଚନା
বিকল্প বর্তমান (এ.সি.),ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.)
বিকল্প,ବିକଳ୍ପ
বিকল্প,Atternator
উচ্চতা,ଉଚ୍ଚତା
অপোজির উচ্চতা,ଆପୋଜି ର ଉଚ୍ଚତା |
পেরিগির উচ্চতা,PERIGEE ର ଉଚ୍ଚତା |
অপেশাদার রেডিও যোগাযোগ,ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |
পরিবেশ,ଅଭିଳାଷୀ |
পরিবেশ মাইক্রোফোন,ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |
পরিবেষ্টিত অবস্থা,ପରିବେଶ ସର୍ତ୍ତ
পরিবেষ্টনকারী আলো,ପରିବେଶ ଆଲୋକ |
পরিবেষ্টিত শব্দ,ଆମ୍ବିକ୍ ଶବ୍ଦ
পরিবেষ্টিত তাপমাত্রা,ପରିବେଶ ତାପମାତ୍ରା |
আমেরিকান স্ট্যান্ডার্ড কোড,ଆମେରିକୀୟ ମାନକ କୋଡ୍ |
অ্যাম্পিয়ার,ଆମ୍ପେର୍
অ্যাম্পের মিটার,ଆମ୍ପେର୍ ମିଟର |
পরিবর্ধন,ବୃଦ୍ଧି
প্রশস্তকরণ ফ্যাক্টর,Amplfication ଫ୍ୟାକ୍ଟର୍ |
পরিবর্ধক,ଏମ୍ପ୍ଲିଫାୟର୍
পরিবর্ধক লাভ,ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |
পরিবর্ধক শব্দ,ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |
পরিবর্ধক সরঞ্জাম,ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |
ক্লাইস্ট্রনকে প্রশস্তকরণ,କାଲିଷ୍ଟ୍ରନ୍
পরিবর্ধক ইউনিট,Amplifying ୟୁନିଟ୍ |
প্রশস্ততা,ପ୍ରଶସ୍ତତା
প্রশস্ততা বিকৃতি,ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |
প্রশস্ততা ভ্রমণ,ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |
প্রশস্ততা ফ্যাক্টর,ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |
প্রশস্ততা সীমাবদ্ধ,ପ୍ରଶସ୍ତତା ସୀମା
প্রশস্ততা মোডুলেটেড,ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |
প্রশস্ততা মড্যুলেশন,ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |
অ্যানালগ (অ্যানালগ),ଆନାଗଲ୍ (ଆନାଗଲ୍)
অ্যানালগ সার্কিট,ଆନାଗଲ୍ ସର୍କିଟ୍ |
অ্যানালগ কম্পিউটার,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
অ্যানালগ উপস্থাপনা,ଆନାଗଲ୍ ଉପସ୍ଥାପନା |
এনালগ সংকেত,ଆନାଗଲ୍ ସିଗନାଲ୍ |
ডিজিটাল অ্যানালগ,ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
ডিজিটাল কনভার্টারে অ্যানালগ,ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |
অ্যানালগ ভিডিও,ଆନାଗଲ୍ ଭିଡିଓ |
সাদৃশ্য,ଅନୁରୂପ
উপমা,ଆନାଲୋଜି
বিশ্লেষণ,ବିଶ୍ଳେଷଣ |
ডেটা বিশ্লেষণ,ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
বিশ্লেষণাত্মক ঘনত্ব,ଆନାଲିଟିକାଲ୍ ଘନତା |
বিশ্লেষণ করুন,ବିଶ୍ଳେଷଣ କର |
বিশ্লেষক,ଆନିପ୍ରିଣ୍ଟେଜର |
আনুষঙ্গিক সরঞ্জাম,ଅର୍କିଲିଡିଆ ଉପକରଣ |
এবং গেট,ଏବଂ ଫାଟକ
কলিমেশন কোণ,କଲିମିର କୋଣ |
মেরুকরণের কোণ,ପୋଲାରାଇଜେସନ୍ କୋଣ |
ঘূর্ণনের কোণ,ଘୂର୍ଣ୍ଣନର କୋଣ |
অ্যাংস্ট্রোম (Å),Agtstom (å)
কৌণিক,କୋଣାର୍କ
কৌণিক ত্বরণ,କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |
কৌণিক সমন্বয়,କୋଣାର୍କ ସମବେଦନା |
কৌণিক ডিফ্লেশন,କୋଣାର୍କ ବିବେକ |
কৌণিক বিচ্ছুরণ,କୋଣାର୍କ ବିପରୀତ |
কৌণিক স্থানচ্যুতি,କୋଣାର୍କ ବିସ୍ଥାପନ |
কৌণিক ত্রুটি,କୋଣାର୍କ ତ୍ରୁଟି |
কৌণিক কম্পাংক,କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |
কৌণিক ভরবেগ,କୋଣାର୍କ ଗତି |
কৌণিক গতি,କୋଣାର୍କ ଗତି
কৌণিক বেগ,କୋଣାର୍କ ବେଗ |
অ্যানিমেশন,ଆନିମେସନ୍
আনোড,Anode
আনোড ব্যাটারি,Anodod ବ୍ୟାଟେରୀ |
অ্যানোড বৈশিষ্ট্য,Andod ବ istic ଶିଷ୍ଟ୍ୟ |
আনোড সার্কিট,ଆନୋଡ ସର୍କିଟ୍ |
অ্যানোড অপচয়,ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ
আনোড দক্ষতা,ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |
আনোড ইনপুট শক্তি,ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |
অ্যানোড মড্যুলেশন,ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |
অ্যান্টেনা,ଆଣ୍ଟେନା |
অ্যান্টেনা বিমউইথ,ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |
অ্যান্টেনা বুস্টার,ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |
অ্যান্টেনা চেঞ্জওভার সুইচ,ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |
অ্যান্টেনা কয়েল,ଆଣ୍ଟେନା କୋଇଲ୍ |
অ্যান্টেনা কনফিগারেশন,ଆଣ୍ଟେନା ବିନ୍ୟାସ
অ্যান্টেনা কাপলার,ଆଣ୍ଟେନା କପଟର୍ |
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |
অ্যান্টেনা কারেন্ট,ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |
অ্যান্টেনা ডাইরেক্টিভিটি লাভ,ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |
অ্যান্টেনা ডুপ্লেক্সার,ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |
অ্যান্টেনা কার্যকর অঞ্চল,ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |
অ্যান্টেনা দক্ষতা,ଆଣ୍ଟେନା ଦକ୍ଷତା |
অ্যান্টেনা ফিড,ଆଣ୍ଟେନା ଫିଡ୍ |
অ্যান্টেনা ফুট প্রিন্ট,ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |
এন্টেনা,ଆଣ୍ଟେନା ଲାଭ
অ্যান্টেনার উচ্চতা,ଆଣ୍ଟେନା ଉଚ୍ଚତା |
অ্যান্টেনা প্রতিবন্ধকতা,ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |
অ্যান্টেনা ইন্ডাক্ট্যান্স,ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |
অ্যান্টেনা প্যাটার্ন,ଆଣ୍ଟେନା ପାଟର୍ନ |
অ্যান্টেনা প্লেক্সার,ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |
অ্যান্টেনা মেরুকরণ,ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |
অ্যান্টেনা শক্তি,ଆଣ୍ଟେନା ଶକ୍ତି |
অ্যান্টেনা পাওয়ার লাভ,ଆଣ୍ଟେନା ପାୱାର ଲାଭ |
অ্যান্টেনা বিকিরণ প্রতিরোধের,ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |
অ্যান্টেনা প্রতিক্রিয়া,ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |
অ্যান্টেনা প্রতিচ্ছবি,ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |
অ্যান্টেনা প্রতিরোধের,ଆଣ୍ଟେନା ପ୍ରତିରୋଧ
অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি,ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |
অ্যান্টেনা ব্যবধান,ଆଣ୍ଟେନା ବ୍ୟବଧାନ |
অ্যান্টেনা স্যুইচিং রুম,ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |
অ্যান্টেনা টিউনিং কয়েল,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |
অ্যান্টেনা টিউনিং হাট,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |
অ্যাপারচার,ଆପେଚର
অপোজি,ଆପୋଲେଜ୍
অ্যাপোজি রকেট,ଆପୋଲେ ରକେଟ୍ |
যন্ত্রপাতি,ଉପକରଣ
আপাত,ସ୍ପଷ୍ଟ
অ্যাপলেট,ଆପଲେଟ୍
আবেদন,ପ୍ରୟୋଗ
আনুমানিক,ଆନୁମାନିକ
জলীয় সমাধান,ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |
আর্ক,ଆର୍କ
আর্কিটেকচার,ସ୍ଥାପତ୍ୟ
সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর,ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |
সংরক্ষণাগার,ଅଭିଲେଖାଗାର
গাণিতিক কোডিং,ଗାଣିତିକ କୋଡିଂ |
আর্মার,ଅର୍ଗର
আর্ম্যাচার বাতাস,ଅରତା ପବନ
অ্যারে,ଆରେ
অ্যারেস্টার,ଆରେଷ୍ଟ୍ରର୍
বক্তৃতা,ଆର୍ଟଲେସନ୍
আর্টিফ্যাক্ট (= আর্টফ্যাক্ট),କଳାକୃତି (= କଳାକୃତି)
আরোহী,ଆରୋହଣ
আনুমানিক অনুপাত,ଆନୁମାନିକ ଅନୁପାତ
এসেম্বলার,ଏକତ୍ରିତ |
দাবী,ଧାରଣା
অ্যাসাইনমেন্ট,ଆସାଇନମେଣ୍ଟ
অ্যাসাইনমেন্ট চ্যানেল,ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |
অসম্পূর্ণ,ଅସମାନଗତ
অ্যাসিঙ্ক্রোনাস,ଅସନ୍ତୁଳିତ
বায়ুমণ্ডল,ବାୟୁମଣ୍ଡଳ
বায়ুমণ্ডলীয় ক্ষতি,ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |
বায়ুমণ্ডলীয় শব্দ,ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |
বায়ুমণ্ডলীয় চাপ,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
বায়ুমণ্ডলীয় প্রচার,ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |
বায়ুমণ্ডলীয় রেডিও-তরঙ্গ,ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |
বায়ুমণ্ডল,ବାୟୁମଣ୍ଡଳ
পরমাণু,ପରମାଣୁ
পারমাণবিক গঠন,ପରମାଣୁ ଗଠନ
সংযুক্তি,ସଂଲଗ୍ନ
মনোযোগ,ସାଧନ
মনোযোগ ক্ষতি,ଆଟେନେସନ୍ କ୍ଷତି |
শব্দ তরঙ্গের মনোযোগ,ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |
অ্যাটেনুয়েটর,ଆଟେଟୋଲେଟର୍ |
অ্যাটেনুয়েটর-প্যাড,ଆଟେନୁଏଟର୍-ପ୍ୟାଡ୍ |
অডিবিলিটি থ্রেশহোল্ড,ପରିମାପ ସୀମା
শ্রুতিমধুর,ମୂଳଦୁଆ
শ্রুতিমধুর ফ্রিকোয়েন্সি,ଶରଣଯୋଗର ଫ୍ରିକ୍ୱେନ୍ସି |
শ্রুতিমধুর সুর,ଶ୍ରବଣୀୟ ସ୍ୱର
শ্রুতি-বর্ণালী,ଶ୍ରୋଚନା-ସ୍ପେକ୍ଟ୍ରମ୍ |
শ্রোতা,ଦର୍ଶକ |
শ্রুতি,ଅଡିଓ
অডিও পরিবর্ধক,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
অডিও বিশ্লেষক,ଅଡିଓ ଆନାଲିଜର |
অডিও সম্প্রচার,ଅଡିଓ ପ୍ରସାରଣକାରୀ |
অডিও কেবল,ଅଡିଓ କେବୁଲ୍ |
অডিও চেইন,ଅଡିଓ ଶୃଙ୍ଖଳା
অডিও কোডেক,ଅଡିଓ କୋଡେକ
অডিও সংক্ষেপণ,ଅଡିଓ ସଙ୍କୋଚନ |
অডিও সংক্ষেপক,ଅଡିଓ ସଙ୍କୋଚନ |
অডিও কনসোল,ଅଡିଓ କୋନସୋଲ |
অডিও বিকৃতি,ଅଡିଓ ବିକୃତ |
অডিও গতিশীল পরিসীমা,ଅଡିଓ ଗତିଶୀଳ ପରିସର |
অডিও ফাইল ফর্ম্যাট,ଅଡିଓ ଫାଇଲ୍ ଫର୍ମାଟ୍ |
অডিও ফ্রেম ফর্ম্যাট,ଅଡିଓ ଫ୍ରେମ୍ ଫର୍ମାଟ୍ |
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |
অডিও ফ্রিকোয়েন্সি জেনারেটর,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଜେନେରେଟର |
অডিও ফ্রিকোয়েন্সি ব্যাপ্তি,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ରେଞ୍ଜ |
অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିକ୍ରିୟା |
অডিও সীমাবদ্ধ,ଅଡିଓ ସୀମା
অডিও লাইন,ଅଡିଓ ରେଖା |
অডিও মিক্সার,ଅଡିଓ ମିକ୍ସର୍ |
অডিও মড্যুলেশন,ଅଡିଓ ମୋଣ୍ଟୁଲେସନ୍ |
অডিও দোলক,ଅଡିଓ ଓସକ୍ଲଟର |
অডিও আউটপুট,ଅଡିଓ ଆଉଟପୁଟ୍
অডিও শক্তি,ଅଡିଓ ଶକ୍ତି |
অডিও মানের,ଅଡିଓ ଗୁଣ
অডিও সংকেত,ଅଡିଓ ସଙ୍କେତ
অডিও সিগন্যাল প্রসেসিং,ଅଡିଓ ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |
অডিও বর্ণালী,ଅଡିଓ ସ୍ପେକ୍ଟ୍ରମ୍
অডিও স্টোরেজ,ଅଡିଓ ଷ୍ଟୋରେଜ୍ |
অডিও সাব-ক্যারিয়ার,ଅଡିଓ ସବ୍-କ୍ୟାରିଅର୍ |
অডিও ট্রান্সফর্মার,ଅଡିଓ ଟ୍ରାନ୍ସଫର୍ମର |
অডিও ট্রান্সমিটার,ଅଡିଓ ଟ୍ରାନ୍ସମିଟର |
অডিও/ভিডিও সংক্ষেপণ,ଅଡିଓ / ଭିଡିଓ ସଙ୍କୋଚନ |
অডিও-ফ্রিকোয়েন্সি দোলক,ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ଓସକ୍ଲୁଟର |
অডিও-ফ্রিকোয়েন্সি সিগন্যাল,ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ସିଗ୍ନାଲ୍ |
অডিওমেট্রি,ଅଡିଓମେଟ୍ରି |
অডিও-ভিজ্যুয়াল সহায়তা,ଅଡିଓ-ଭିଜୁଆଲ୍ ସାହାଯ୍ୟ |
শ্রুতি উপলব্ধি,ଅଡିଟୋରୀ ଧାରଣା |
প্রমাণীকরণ,ପ୍ରାମାଣିକିକରଣ
অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি,ପ୍ରାଧିକୃତ ବାହକ ଫ୍ରିକ୍ୱେନ୍ସି |
অটো ক্যাড,ଅଟୋ କ୍ୟାଡ୍
অটো ডায়াগনস্টিকস,ଅଟୋ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |
স্বয়ংক্রিয়,ସ୍ୱୟଂଚାଳିତ |
স্বয়ংক্রিয় নিয়ন্ত্রণ,ସ୍ୱୟଂଚାଳିତ ନିୟନ୍ତ୍ରଣ |
স্বয়ংক্রিয় সনাক্তকরণ,ସ୍ୱୟଂଚାଳିତ ଚିହ୍ନଟ |
স্বয়ংক্রিয় সরঞ্জাম,ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ରପାତି |
স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ,ସ୍ୱୟଂଚାଳିତ ଫ୍ରିକ୍ୱେନ୍ସି କଣ୍ଟ୍ରୋଲ୍ |
স্বয়ংক্রিয় সীমাবদ্ধ,ସ୍ୱୟଂଚାଳିତ ସୀମା |
স্বয়ংক্রিয় মেশিন,ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ର
