Bengali,Malayalam
রাসায়নিক বন্ধন,കെമിക്കൽ ബോണ്ട്
চেরনোজেম,ചെർനോസെം
চেস্টনাট মাটি,ചെസ്റ്റ്നട്ട് മണ്ണ്
চিমনি নর্দমা,ചിമ്മിനി ഗട്ടർ
চিপ বোর্ড,ചിപ്പ് ബോർഡ്
চিপিং,ചിപ്പിംഗ്
চিপস,ചിപ്സ്
চুট,ചട്ടി
শ্রেণী (কংক্রিটের),ക്ലാസ് (കോൺക്രീറ്റ്)
কাদামাটি,കളിമണ്ണ്
কাদামাটি বিষয়বস্তু,കളിമൺ ഉള്ളടക്കം
মাটির প্যান,കളിമൺ പാൻ
পরিস্কার করা,പൂർണമായി കാലിയാക്കുക
পরিষ্কার কর,ക്ലീനപ്പ്
ক্লিট,ക്ലീറ്റ്
ক্লিঙ্কার,ക്ലിങ്കർ
ক্লিপ,ക്ലിപ്പ്
জমাট বাঁধা,കട്ടപിടിക്കൽ
মোটা সমষ্টি,നാടൻ മൊത്തത്തിലുള്ളത്
মোটা দানাদার মাটি,പരുക്കൻ ധാന്യമുള്ള മണ്ണ്
কোট,കോട്ട്
কফার বাঁধ,കോഫർ ഡാം
সংহতি,ഒത്തുചേരൽ
কলয়েড,കൊളോയിഡ്
কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত,കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം
কলয়েডাল সিস্টেম,കൊളോയ്ഡൽ സിസ്റ്റം
কোলুভিয়াল মাটি,കൊളുവിയൽ മണ്ണ്
কলাম,കോളം
কম্বড ফিনিস,കോമ്പഡ് ഫിനിഷ്
সম্মিলিত পাদদেশ,സംയോജിത കാൽപ്പാദം
মিলিত জল,സംയോജിത വെള്ളം
বৈঠকখানা,പൊതു മുറി
সমাপনী সনদ,പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്
উপাদান বর্গক্ষেত্র,ഘടകം ചതുരം
কংক্রিট,കോൺക്രീറ്റ്
কংক্রিশন,കോൺക്രീഷൻ
একত্রিত হার/সমতল হার,ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്
দূষক,മലിനീകരണം
আলকোভ রান্না করা,ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു
মোকাবিলা করা,നേരിടുകയാണ്
করবেল,കോർബെൽ
কার্নিস,കോർണിസ്
কাপলার,കപ്ലർ
"যুগল, দ্বিগুণ","കപ്ലർ, ഇരട്ട"
"কাপলার, পুটলগ","കപ്ലർ, പുട്ട്ലോഗ്"
"কাপলার, সুইভেল","കപ്ലർ, സ്വിവൽ"
কোর্স,കോഴ്സ്
র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা,ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ
ঢাকা এলাকা,മൂടിയ പ്രദേശം
হামাগুড়ি,ഇഴയുക
ক্রীপ সহগ,ക്രീപ്പ് കോഫിഫിഷ്യന്റ്
ক্রোটোভাইন,ക്രോട്ടോവിൻ
কাকের পা,കാക്ക കാൽ
চূর্ণবিচূর্ণ গঠন,നുറുക്കിന്റെ ഘടന
প্রতিবন্ধক,കർബ്
কারেন্ট,നിലവിലുള്ളത്
বক্ররেখা প্রতিরোধের,വക്ര പ്രതിരോധം
স্যাঁতসেঁতে প্রুফ কোর্স,ഈർപ്പം പ്രൂഫ് കോഴ്സ്
সমাপ্তির তারিখ,പൂർത്തിയാക്കിയ തീയതി
মৃত লোড,ഡെഡ് ലോഡ്
মরা জল,ചത്ത വെള്ളം
ডেসিবেল,ഡെസിബെൽ
ডিফ্লোকুলেশন,ഡിഫ്ലോക്കുലേഷൻ
বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী,വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം
সমষ্টির ডিগ্রি,അഗ്രഗേഷൻ ബിരുദം
বিচ্ছুরণ ডিগ্রী,വ്യാപനത്തിന്റെ അളവ്
স্যাচুরেশন ডিগ্রী,സാച്ചുറേഷൻ ഡിഗ്രി
ঘনত্ব,സാന്ദ്രത
মরুভূমির ফুটপাথ,മരുഭൂമിയിലെ നടപ്പാത
মরুভূমির মাটি,മരുഭൂമിയിലെ മണ്ണ്
বিস্তারিত,വിശദാംശങ്ങൾ
উন্নয়নের সময়কাল,വികസന കാലയളവ്
ডি-দিগন্ত,ഡി-ചക്രവാളം
তির্যক বন্ধন,ഡയഗണൽ ബോണ്ട്
ডায়াগ্রাম,ഡയഗ്രം
ডিজিটাল ডক,ഡിജിറ്റൽ ഡോക്ക്
পার্থক্য জলের হার,വ്യത്യസ്ത ജലനിരക്ക്
পাতলা বায়ুচলাচল,ഡില്യൂഷൻ വെന്റിലേഷൻ
ডিলুভিয়াম,ഡിലുവിയം
খাবার কক্ষ,ഡൈനിംഗ് റൂം
দিকনির্দেশনা পেগ,ദിശ കുറ്റി
বিচ্ছুরণ,വിസരണം
ডিস্টেম্পার,ഡിസ്റ്റെമ്പർ
ডক,മുറിവാല്
দরজা,വാതിൽ
ডর্মার,ഡോർമർ
ডর্মার চেক,ഡോർമർ പരിശോധന
ডাবল ফ্লেমিশ বন্ড,ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്
ডবল লেয়ার,ഇരട്ട പാളി
দোয়েল,ഡോവൽ
অঙ্কন বোর্ড,വരക്കാനുള്ള ബോർഡ്
বৈঠকখানা,സന്ദര്ശകമുറി
প্রবাহ,ഡ്രിഫ്റ്റ്
শুকনো বাল্বের তাপমাত্রা,ഉണങ്ങിയ ബൾബ് താപനില
শুকনো ডক,ഡ്രൈ ഡോക്ക്
শুকনো রাবার রাজমিস্ত্রি,ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി
ডাচ বন্ড,ഡച്ച് ബോണ്ട്
বামন প্রাচীর,കുള്ളൻ മതിൽ
বাস ইউনিট,പാർപ്പിട യൂണിറ്റ്
ইভ,ഈവ്
ইভস নর্দমা,ഈവ്സ് ഗട്ടർ
অর্থনৈতিক সম্ভাব্যতা,സാമ്പത്തിക സാധ്യത
এক্টোডাইনামরফিক মাটি,എക്ടോഡൈനാമോർഫിക് മണ്ണ്
এডি,എഡ്ഡി
কার্যকরী আকার,ഫലപ്രദമായ വലിപ്പം
প্রস্ফুটিত,പുഷ്പം
বর্জ্য,മലിനജലം
উচ্চতা,ഉയരത്തിലുമുള്ള
ইলুভিয়েশন,എലുവിയേഷൻ
এলুভিয়াম,എലൂവിയം
এন্ডোডাইনামরফিক মাটি,എൻഡോഡൈനാമോർഫിക് മണ്ണ്
ইঞ্জিনিয়ারিং সম্ভাব্যতা,എഞ്ചിനീയറിംഗ് സാധ്യത
ইংরেজি বন্ড,ഇംഗ്ലീഷ് ബോണ്ട്
ইংরেজি বাগান প্রাচীর বন্ধন,ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്
"EPM (প্রতি মিলিয়নের সমতুল্য),&quot;","EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;"
সমান ওজন,തുല്യ ഭാരം
অর্গ,ഉദാ
বিনিময়যোগ্য,കൈമാറ്റം ചെയ്യാവുന്നത്
বিনিময়যোগ্য অম্লতা,കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി
বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP),കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP)
ই এস পি,ഇ.എസ്.പി.
এক্সচেঞ্জ অ্যাসিডিটি,അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക
এক্সচেঞ্জ কমপ্লেক্স,എക്സ്ചേഞ്ച് കോംപ്ലക്സ്
নিষ্কাশন,എക്സോസ്റ്റ്
উন্মুক্ত ফিনিস,തുറന്ന ഫിനിഷ്
আই,കണ്ണ്
ভুরু,കണ് പുരികം
সম্মুখ,അഭിമുഖീകരിക്കുന്നു
বন্ড সম্মুখীন,ഫേസിംഗ് ബോണ്ട്
নিরাপত্তার ফ্যাক্টর,സുരക്ഷാ ഘടകം
পতন,വീഴ്ച
ফেসিয়া,ഫേഷ്യ
ফেসিয়া বোর্ড,ഫേഷ്യൽ ബോർഡ്
দোষ,തെറ്റ്
মাঠের আর্দ্রতা,വയലിലെ ഈർപ്പം
চূড়ান্ত আর্দ্রতা সমতুল্য,അന്തിമ ഈർപ്പം തുല്യമാണ്
ফিলেট (মর্টার),ഫില്ലറ്റ് (മോർട്ടാർ)
চূড়ান্ত,ഫൈനൽ
চূড়ান্ত পরিমাপ,അന്തിമ അളവ്
চূড়ান্ত অর্থপ্রদান,അന്തിമ പേയ്മെന്റ്q
চূড়ান্ত প্রাক চাপ,ഫൈനൽ പ്രീ-സ്ട്രെസ്
চূড়ান্ত উত্তেজনা,അവസാന പിരിമുറുക്കം
আর্থিক সম্ভাব্যতা,സാമ്പത്തിക സാധ്യത
সূক্ষ্ম সমষ্টি,ഫൈൻ അഗ്രഗേറ്റ്
ফিসার্ড শিলা,പിളർന്ന പാറ
পতাকা পাথর,പതാക കല്ല്
ফ্লেমিশ বন্ড,ഫ്ലെമിഷ് ബോണ്ട്
ঝলকানি,മിന്നുന്നു
চটকদার স্রোত,മിന്നുന്ന പ്രവാഹം
সমতল ছাদ,പരന്ന മേൽക്കൂര
ফ্লেচে,ഫ്ലെഷെ
ফ্লেমিশ গার্ডেন ওয়াল বন্ড,ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്
চকমকি,ഫ്ലിന്റ്
চকমকি দেয়াল,ഫ്ലിന്റ് മതിൽ
ভাসমান মেঝে,ഫ്ലോട്ടിംഗ് ഫ്ലോർ
ফ্লোকুলেশন,ഫ്ലോക്കുലേഷൻ
ফ্লোকুলেশন সীমা,ഫ്ലോക്കുലേഷൻ പരിധി
ফ্লোকুলেশন অনুপাত,ഫ്ലോക്കുലേഷൻ അനുപാതം
ফ্লোকুলস,ഫ്ലോക്കുളുകൾ
মেঝে,തറ
মেঝে সিল,ഫ്ലോർ സീൽ
প্রবাহ,ഒഴുക്ക്
ওঠানামা,ഏറ്റക്കുറച്ചിലുകൾ
ফুটিং,കാൽനടയായി
ফাউন্ডেশন,ഫൗണ്ടേഷൻ
ফ্রি ফল ব্যারো টপিং মিক্সার,ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ
ফ্রি ফল মিক্সার (ড্রাম টাইপ),ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം)
বিনামূল্যে পাথর,സ്വതന്ത്ര കല്ല്
ফ্রেশেট,ഫ്രെഷെറ്റ്
ঘর্ষণ গাদা,ഘർഷണ കൂമ്പാരം
ব্যাঙ,തവള
গ্যাবল,ഗേബിൾ
গ্যাবলেট,ഗബ്ലെറ്റ്
গ্যাম্বেলের ছাদ,ഗാംബ്രൽ മേൽക്കൂര
গেজ,ഗേജ്
পরিমাপক বিভাগ,അളക്കൽ വിഭാഗം
গেজিং স্টেশন,ഗേജിംഗ് സ്റ്റേഷൻ
সাধারণ অবস্থান পরিকল্পনা,പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ
সাধারণ বায়ুচলাচল,പൊതു വെന്റിലേഷൻ
G দিগন্ত বা gley দিগন্ত,ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം
হিমবাহ পর্যন্ত,വരെ ഗ്ലേഷ്യൽ
জিনিস,ഗ്നീസ്
গুডস ইয়ার্ড,ഗുഡ്സ് യാർഡ്
গ্রেডিয়েন্ট প্রতিরোধ,ഗ്രേഡിയന്റ് പ്രതിരോധം
গ্রানাইট,ഗ്രാനൈറ്റ്
দানাদার গঠন,ഗ്രാനുലാർ ഘടന
দানাদার,ഗ്രാനുലേഷൻ
কণিকা,ഗ്രാനുൾ
মহাকর্ষীয় জল মুক্ত জল,ഗുരുത്വാകർഷണ ജല രഹിത ജലം
গ্র্যাভিটেশনাল ইয়ার্ড,ഗുരുത്വാകർഷണ മുറ്റം
মহান মাটি গ্রুপ,വലിയ മണ്ണ് ഗ്രൂപ്പ്
গ্রিলেজ ফাউন্ডেশন,ഗ്രില്ലേജ് അടിസ്ഥാനം
স্থল হাত ছাঁচনির্মাণ,ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്
দলবদ্ধ ডক,ഗ്രൂപ്പുചെയ്ത ഡോക്ക്
গ্রুপ হাউজিং,ഗ്രൂപ്പ് ഭവനം
অতিথি কক্ষ,അതിഥി മുറി
নর্দমা,ഗട്ടർ
নর্দমা বহনকারী,ഗട്ടർ വഹിക്കുന്നയാൾ
গটার চেক,ഗട്ടർ പരിശോധന
হাতুড়ি ড্রেসিং,ചുറ്റിക ഡ്രസ്സിംഗ്
হারবার,തുറമുഖം
আশ্রয়ের পোতাশ্রয়,അഭയകേന്ദ്രം
