Assamese,Odiya
কেলচিয়াম-এলুমিনেট চিমেণ্ট,କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |
কেলচিয়াম-চিলিকেট ইটা,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |
কেলচিয়াম-চিলিকেট হাইড্ৰেট,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |
কালিচে,କାଲିଚେ |
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |
কেলিপাৰ,କାଲିପର୍ |
কেলৰিমিটাৰ,କ୍ୟାଲୋରିମିଟର |
কেম্বাৰ,କ୍ୟାମ୍ବର |
খাল,କେନାଲ |
কেনপি,କାନୋପି |
কেন্টিলিভাৰ ফুটিং,କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |
কেপ,କ୍ୟାପ୍
ক্ষমতা,ସାମର୍ଥ୍ୟ |
ail ট্ৰেকৰ ক্ষমতা,ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |
কেপ কেবল,କ୍ୟାପ୍ କେବୁଲ୍ |
কেপিলাৰিটি,କ୍ଷମତା
কেপিলাৰী ব্ৰেক,କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |
কেপিলাৰী প্ৰবাহ,କ୍ୟାପିଲାରୀ ପ୍ରବାହ |
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |
কেপিলাৰী ছিদ্ৰ স্থান,କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |
কেপিলাৰী ছিদ্ৰতা,କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |
কেপিলাৰী স্থান,କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |
কেপচাৰ বেগ,ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |
কাৰ্বনেচন,କାର୍ବନେସନ୍ |
কাৰ্বন ব্লেক,କାର୍ବନ କଳା
Castble অবাধ্য,କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |
কাষ্ট-ইন-প্লেচ পাইল,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |
কেষ্টাৰ,କାଷ୍ଟର |
ঢালাই শিল,ପଥର ପକାନ୍ତୁ |
অনুঘটক,ଅନୁକ୍ରମଣିକା
কেটেনা,କ୍ୟାଟେନା |
মেকুৰীৰ মুখ,ବିଲେଇ ମୁହଁ |
মেকুৰীৰ মূৰ,ବିଲେଇ ମୁଣ୍ଡ
কেটিয়ন,କେସନ୍
মেকুৰী খোজ কাঢ়িব,ବିଲେଇ ଚାଲିବା |
গহ্বৰৰ ক্ষতি,କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |
চেলাইট,ସେଲିଟ୍
কোষীয় কংক্ৰিট,ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |
কোষীয় নিৰ্মাণ,ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ
চিমেণ্ট,ସିମେଣ୍ଟ |
"চিমেণ্ট, বিটুমিনাছ","ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |"
"চিমেণ্ট, উচ্চ শক্তি","ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |"
"চিমেণ্ট, হাইড্ৰলিক","ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |"
"চিমেণ্ট, কম জুইত","ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |"
"চিমেণ্ট, শিলৰ কাম","ସିମେଣ୍ଟ, ରାଜକୋଷ |"
"চিমেণ্ট, প্ৰাকৃতিক","ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |"
"চিমেণ্ট, পৰ্টলেণ্ড","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |"
"চিমেণ্ট, স্লেগ","ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |"
"চিমেণ্ট, বগা","ସିମେଣ୍ଟ, ଧଳା |"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |
চিমেণ্টৰ পৰিমাণ,ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |
চিমেণ্ট জেল,ସିମେଣ୍ଟ ଜେଲ୍ |
চিমেণ্টৰ বন্দুক,ସିମେଣ୍ଟ ବନ୍ଧୁକ |
চিমেণ্টৰ ভঁৰাল,ସିମେଣ୍ଟ କିଲ୍ |
চিমেণ্টৰ ৰং,ସିମେଣ୍ଟ ରଙ୍ଗ |
চিমেণ্টৰ প্লাষ্টাৰ,ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |
চিমেণ্টৰ শিল,ସିମେଣ୍ଟ ପଥର |
চিমেণ্টৰ গোন্ধ,ସିମେଣ୍ଟ ସ୍ଲୁରି |
চিমেণ্ট সংৰক্ষণ,ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |
চিমেণ্টেচন প্ৰক্ৰিয়া,ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |
কেন্দ্ৰীকৰণ,କେନ୍ଦ୍ରକରଣ |
চেণ্টাৰিং আৰু শ্বাটাৰিং,ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |
কেন্দ্ৰীয় মিক্সাৰ,କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |
কেন্দ্ৰপৃথক ফেন,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |
চক,ଚକ
চেমফাৰ,ଚାମ୍ଫର୍ |
চেমফাৰ ষ্ট্ৰিপ,ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |
চেনেল বিম,ଚ୍ୟାନେଲ୍ ବିମ୍ |
বৈশিষ্ট্যপূৰ্ণ বোজা,ଚରିତ୍ରଗତ ଭାର |
বৈশিষ্ট্যপূৰ্ণ শক্তি,ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |
চাৰ্জ অফ কৰক,ଚାର୍ଜ ଅଫ୍ |
চাৰ্জিং,ଚାର୍ଜିଂ
পৰীক্ষা কৰি আছে,ଯା cking ୍ଚ
ৰাসায়নিক বন্ধন,ରାସାୟନିକ ବନ୍ଧ |
চেৰনোজেম,ଚେର୍ନୋଜେମ୍ |
চেষ্টনাটৰ মাটি,ଛାତି ମାଟି |
চিমনিৰ নালা,ଚିମନି ଗୁଟର |
চিপ বৰ্ড,ଚିପ୍ ବୋର୍ଡ |
চিপিং,ଚିପିଙ୍ଗ୍ |
চিপছ,ଚିପ୍ସ |
চুটে,ଚୁଟ୍
শ্ৰেণী (কংক্ৰিটৰ),କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର)
বোকা মাটি,ମାଟି
মাটিৰ পৰিমাণ,ମାଟି ବିଷୟବସ୍ତୁ |
মাটিৰ কেৰাহী,ମାଟି ପ୍ୟାନ |
ক্লিনআউট,ପରିଷ୍କାର
চাফ-চিকুণ কৰক,ସଫା କର
ক্লিট কৰক,ସଫା କର |
ক্লিংকাৰ,କ୍ଲିଙ୍କର୍ |
ক্লিপ,କ୍ଲିପ୍
জমা হোৱা,ଜମାଟ ବାନ୍ଧିବା |
মোটা গোটা পদাৰ্থ,କଠିନ ଏଗ୍ରିଗେଟ୍ |
মোটা দানাযুক্ত মাটি,କଠିନ ଶସ୍ୟ ମାଟି |
কোট,କୋଟ
কফাৰ বান্ধ,କଫର୍ ଡ୍ୟାମ୍ |
সংহতি,ମିଳନ
কলয়ড,କୋଲଏଡ୍ |
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |
কলয়ডাল ব্যৱস্থা,କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |
কলুভিয়াল মাটি,ମିଳିତ ମାଟି |
স্তম্ভ,ସ୍ତମ୍ଭ
কম্বড ফিনিচিং,କମ୍ବିଂ ଶେଷ
সংযুক্ত ফুটিং,ମିଳିତ ପଦଚିହ୍ନ |
সংযুক্ত পানী,ମିଶ୍ରିତ ଜଳ |
কমন ৰুম,ସାଧାରଣ କୋଠରୀ |
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର
উপাদান বৰ্গ,ଉପାଦାନ ବର୍ଗ
কংক্ৰিট,କଂକ୍ରିଟ୍ |
কংক্ৰিচন,ସଂକଳନ
একত্ৰিত হাৰ/ফ্লেট হাৰ,ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |
দূষক পদাৰ্থ,ପ୍ରଦୂଷକ
ৰন্ধা-বঢ়াৰ এলকোভ,ଆଲକୋଭ୍ ରାନ୍ଧିବା |
মোকাবিলা কৰা,ମୁକାବିଲା
কৰ্বেল,କରବେଲ |
কৰ্নিচ,କର୍ନିସ୍ |
কাপলাৰ,ଦମ୍ପତି
"কাপলাৰ, ডাবল","ଦମ୍ପତି, ଦୁଇଥର |"
"কাপলাৰ, পুটলগ","ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |"
"কাপলাৰ, চুইভেল","ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |"
ধাৰা,ପାଠ୍ୟକ୍ରମ
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |
আবৃত অঞ্চল,ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |
অধম,କ୍ରିପ୍
ক্ৰিপ সহগ,କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
ক্ৰ&#39;ট&#39;ভাইন,କ୍ରୋଟୋଭାଇନ୍ |
কাউৰী ভৰি,କାଉ ପାଦ |
ক্ৰাম গঠন,ଖଣ୍ଡ ଗଠନ |
প্ৰতিবন্ধক,ବନ୍ଦ କର |
সোঁত,ସାମ୍ପ୍ରତିକ
বক্ৰ প্ৰতিৰোধ ক্ষমতা,ବକ୍ର ପ୍ରତିରୋଧ
ডেম্প প্ৰুফ কোৰ্চ,ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |
সম্পূৰ্ণ হোৱাৰ তাৰিখ,ସମାପ୍ତ ତାରିଖ
ডেড লোড,ମୃତ ଭାର
মৰা পানী,ମୃତ ଜଳ |
ডেচিবেল,ଡେସିବେଲ୍ |
ডিফ্ল’কুলেচন,ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |
একত্ৰীকৰণৰ মাত্ৰা,ଏକୀକରଣର ଡିଗ୍ରୀ |
বিক্ষিপ্ততাৰ মাত্ৰা,ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |
চেচুৰেচনৰ ডিগ্ৰী,ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |
ঘনত্ব,ଘନତା
মৰুভূমিৰ ফুটপাথ,ମରୁଭୂମି ରାସ୍ତା
মৰুভূমিৰ মাটি,ମରୁଭୂମି ମାଟି |
সবিশেষ,ବିବରଣୀ
উন্নয়নৰ সময়ছোৱা,ବିକାଶ ଅବଧି
ডি-দিগন্ত,ଡି-ରାଶି
তিৰ্যক বন্ধন,ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |
ডায়াগ্ৰাম,ଚିତ୍ର
ডিজিটেল ডক,ଡିଜିଟାଲ୍ ଡକ୍ |
ভিন্নতামূলক পানীৰ হাৰ,ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |
পাতল কৰা ভেণ্টিলেচন,ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |
ডিলুভিয়াম,ଦିଲୁଭିୟମ୍
খোৱাঘৰ,ଭୋଜନ ଗୃହ
দিশৰ পেগ,ଦିଗ ପେଗ୍ |
বিক্ষিপ্ততা,ବିଚ୍ଛେଦ |
ডিষ্টেম্পাৰ,ବିଭ୍ରାନ୍ତକାରୀ |
ডক,ଡକ୍ |
দুৱাৰ,ଦ୍ୱାର
ডৰ্মাৰ,ଛାତ୍ରାବାସ
ডৰ্মাৰ চেক,ଛାତ୍ରାବାସ ଯାଞ୍ଚ |
ডাবল ফ্লেমিছ বণ্ড,ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |
ডাবল লেয়াৰ,ଡବଲ୍ ସ୍ତର |
ডৱেল,ଡୋଭେଲ୍ |
অংকন বৰ্ড,ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |
ড্ৰয়িং ৰুম,ଚିତ୍ରାଙ୍କନ କକ୍ଷ |
ড্ৰিফ্ট,ଡ୍ରାଇଫ୍
শুকান বাল্বৰ উষ্ণতা,ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |
শুকান ডক,ଶୁଖିଲା ଡକ୍ |
শুকান ৰবৰৰ শিলৰ কাম,ଶୁଖିଲା ରବର ନିର୍ମାଣ
ডাচ বণ্ড,ଡଚ୍ ବନ୍ଧନ |
বামন দেৱাল,ବାଣ୍ଡ କାନ୍ଥ |
বাসস্থানৰ ইউনিট,ବାସସ୍ଥାନ ଏକକ
ইভ,ଇଭ୍
ইভছ নালা,ଗୁପ୍ତାଙ୍ଗ
অৰ্থনৈতিক সম্ভাৱনীয়তা,ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |
বহিঃগতিশীল মাটি,ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |
এডি,ଏଡି
ফলপ্ৰসূ আকাৰ,ପ୍ରଭାବଶାଳୀ ଆକାର |
ফুলৰ ফুলনি,ଇଫ୍ଲୋରସେନ୍ସ |
এফ্লুৱেণ্ট,ପ୍ରଭାବଶାଳୀ |
উচ্চতা,ଉଚ୍ଚତା
এলুভিয়েচন,ବହିଷ୍କାର
এলুভিয়াম,ଇଲୁଭିୟମ୍ |
এণ্ডোডাইনামৰ্ফিক মাটি,ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |
ইংৰাজী বণ্ড,ଇଂରାଜୀ ବନ୍ଧନ |
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;"
সমতুল্য ওজন,ସମାନ ଓଜନ
Erg,Erg
বিনিময়যোগ্য,ଅଦଳବଦଳଯୋଗ୍ୟ |
বিনিময়যোগ্য এচিডিটি,ଅଦଳବଦଳ ଅମ୍ଳତା |
বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP),ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP)
ই এছ পি.,E. S P.
বিনিময় এচিডিটি,ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |
এক্সচেঞ্জ কমপ্লেক্স,ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |
নিষ্কাশন,ନିଷ୍କାସନ
উন্মুক্ত ফিনিচিং,ପ୍ରକାଶିତ ସମାପ୍ତ
নয়ন,ଆଖି
চকুৰ ভ্ৰূ,ଆଖି ବ୍ରୋ
মুখামুখি,ସାମ୍ନା କରିବା |
