Tamil,Odiya
தாங்கி அடுக்கு,ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |
படுக்கை,ଶଯ୍ୟା
படுக்கை விமானம்,ବିଛଣା ବିମାନ |
படுக்கை கூட்டு,ଶଯ୍ୟା ଗଣ୍ଠି |
படுக்கை பாறை,ବେଡ୍ ପଥର |
படுக்கை அறை,ବେଡ୍ ରୁମ୍ |
தேன் மெழுகு,ମହୁମାଛି
மணி பெட்டி,ବେଲ୍ ବାକ୍ସ |
பெல்லிங் வாளி,ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |
பெல்லோஃப்ராம்,ବେଲୋଫ୍ରାମ୍ |
பெஞ்ச் அடித்தளம்,ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |
பெஞ்சிங்,ବେଞ୍ଚିଂ
பெஞ்ச் மார்க்,ବେଞ୍ଚ ମାର୍କ |
நன்மை செலவு பகுப்பாய்வு,ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
பெர்ம்,ବରମ
வளைந்த மூடல்,ବେଭେଲଡ୍ ବନ୍ଦ |
"பி-ஹரைசன்,&quot;பி-","ବି-ରାଶି, &quot;B-"
பயாட்,ବିଟ୍ |
பைண்டர்,ବାଇଣ୍ଡର୍ |
பிணைப்பு பொருள்,ବାନ୍ଧିବା ସାମଗ୍ରୀ |
பயோட்டின் கோட்பாடு,ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |
பிடுமின்,ବିଟୁମେନ |
கருப்பு பருத்தி மண்,କଳା ସୂତା ମାଟି |
கருப்பு பூமி,କଳା ପୃଥିବୀ |
கருப்பு தரை மண்,କଳା ଟର୍ଫ ମାଟି |
கத்தி,ବ୍ଲେଡ୍ |
ஊது உலை கசடு சிமெண்ட்,ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |
தடுப்பு அமைப்பு,ଅବରୋଧ ସଂରଚନା |
போகி எதிர்ப்பு,ବଗି ପ୍ରତିରୋଧ |
போக்-இரும்பு தாது,ବଗ୍-ଲୁହାପଥର |
பத்திரம்,ବନ୍ଧ
பிணைக்கப்பட்ட உறுப்பினர்,ବନ୍ଧିତ ସଦସ୍ୟ |
பிணைக்கப்பட்ட பிந்தைய பதற்றம்,ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |
பத்திர கல்,ବନ୍ଧ ପଥର |
கட்டுப்பட்ட நீர்,ସୀମା ଜଳ |
பெட்டி சாக்கடை,ବାକ୍ସ ଗୁଟର୍ |
பிரேஸ்,ବନ୍ଧନୀ
விளிம்பில் செங்கல்,ଇଟା-ଧାର
கடிவாளம்,ବ୍ରିଡଲ୍ |
பிரகாசம்,ଉଜ୍ଜ୍ୱଳତା |
பழுப்பு மண்,ବାଦାମୀ ମାଟି |
கட்டிடம்,ବିଲଡିଂ
கட்டிட சர்வேயர்,ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |
தாங்கல்,ବଫର୍ |
தாங்கல் வளைவு,ବଫର୍ ବକ୍ର
தாங்கல்,ବଫରିଂ |
தாங்கல் திறன்,ବଫରିଂ କ୍ଷମତା |
பண்டர்,ବଣ୍ଡର୍ |
பட்டர்ஸ்,ଦୁର୍ଗ
சி-அடிவானம்,ସି-ରାଶି
கேபிள்,କେବୁଲ୍ |
கேபிள் மோல்டிங்,କେବୁଲ୍ ମୋଲିଡିଂ |
கேபிளிங்,କ୍ୟାବଲିଂ |
அறை,କ୍ୟାବିନ
கேபின் ஹூக்,କ୍ୟାବିନ ହୁକ୍ |
மந்திரி சபை,କ୍ୟାବିନେଟ୍
கபோல்ட் வெளியேறினார்,କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ
சிற்றுண்டியகம்,କାଫେରିଆ |
கூண்டு,କେଜ୍ |
கூண்டு கட்டுமானம்,କେଜ୍ ନିର୍ମାଣ
கெய்னின் சூத்திரம்,କ ain ନଙ୍କ ସୂତ୍ର |
கெய்சன்,କେସନ୍ |
கெய்சன் நோய்,କେସନ୍ ରୋଗ |
கெய்சன் அடித்தளம்,କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |
கெய்சன் குவியல்,କେସନ୍ ଗଦା |
சுண்ணாம்பு செங்கல்,କାଲ୍କେରିସ୍ ଇଟା |
சுண்ணாம்பு களிமண்,କାଲକେୟାର ମାଟି |
சுண்ணாம்பு மேலோடு,କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |
கால்சிஃபிகேஷன்,ଗଣନା
கால்சினேஷன்,ଗଣନା
கால்சின்,କାଲସିନ୍
கால்சைட்,କାଲସିଟ୍ |
கால்சியம்-அலுமினேட் சிமெண்ட்,କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |
கால்சியம்-சிலிகேட் செங்கல்,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |
கால்சியம்-சிலிகேட் ஹைட்ரேட்,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |
கலிச்சே,କାଲିଚେ |
கலிபோர்னியா தாங்கி விகிதம்,କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |
காலிபர்,କାଲିପର୍ |
கலோரிமீட்டர்,କ୍ୟାଲୋରିମିଟର |
கேம்பர்,କ୍ୟାମ୍ବର |
கால்வாய்,କେନାଲ |
விதானம்,କାନୋପି |
கான்டிலீவர் அடிவாரம்,କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |
தொப்பி,କ୍ୟାପ୍
திறன்,ସାମର୍ଥ୍ୟ |
ஆயில் பாதையின் திறன்,ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |
தொப்பி கேபிள்,କ୍ୟାପ୍ କେବୁଲ୍ |
கேபிலரிட்டி,କ୍ଷମତା
தந்துகி முறிவு,କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |
தந்துகி ஓட்டம்,କ୍ୟାପିଲାରୀ ପ୍ରବାହ |
தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்,କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |
தந்துகி துளை இடம்,କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |
கேபிலரி போரோசிட்டி,କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |
தந்துகி வெளி,କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |
பிடிப்பு வேகம்,ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |
கார்பனேற்றம்,କାର୍ବନେସନ୍ |
கார்பன் கருப்பு,କାର୍ବନ କଳା
காஸ்ட்பிள் பயனற்ற,କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |
காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |
காஸ்ட்-இன்-பிளேஸ் பைல்,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |
ஆமணக்கு,କାଷ୍ଟର |
வார்ப்பு கல்,ପଥର ପକାନ୍ତୁ |
வினையூக்கி,ଅନୁକ୍ରମଣିକା
கேட்டனா,କ୍ୟାଟେନା |
பூனை முகம்,ବିଲେଇ ମୁହଁ |
பூனை தலை,ବିଲେଇ ମୁଣ୍ଡ
கேஷன்,କେସନ୍
பூனை நடை,ବିଲେଇ ଚାଲିବା |
குழிவுறுதல் சேதம்,କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |
செலைட்,ସେଲିଟ୍
செல்லுலார் கான்கிரீட்,ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |
செல்லுலார் கட்டுமானம்,ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ
சிமெண்ட்,ସିମେଣ୍ଟ |
"சிமெண்ட், பிட்மினஸ்","ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |"
"சிமெண்ட், அதிக வலிமை","ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |"
"சிமெண்ட், ஹைட்ராலிக்","ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |"
"சிமெண்ட், குறைந்த வெப்பம்","ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |"
"சிமெண்ட், கொத்து","ସିମେଣ୍ଟ, ରାଜକୋଷ |"
"சிமெண்ட், இயற்கை","ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |"
"சிமெண்ட், போர்ட்லேண்ட்","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |"
"சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |"
"சிமெண்ட், போர்ட்லேண்ட் போஸோலன்","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |"
"சிமெண்ட், கசடு","ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |"
"சிமெண்ட், சல்பேட் எதிர்ப்பு","ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |"
"சிமெண்ட், சூப்பர் சல்பேட்","ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |"
"சிமெண்ட், வெள்ளை","ସିମେଣ୍ଟ, ଧଳା |"
சிமெண்ட்-மொத்த விகிதம்,ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |
சிமெண்ட் உள்ளடக்கம்,ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |
சிமெண்ட் ஜெல்,ସିମେଣ୍ଟ ଜେଲ୍ |
சிமெண்ட் துப்பாக்கி,ସିମେଣ୍ଟ ବନ୍ଧୁକ |
சிமெண்ட் சூளை,ସିମେଣ୍ଟ କିଲ୍ |
சிமெண்ட் பெயிண்ட்,ସିମେଣ୍ଟ ରଙ୍ଗ |
சிமெண்ட் பூச்சு,ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |
சிமெண்ட் பாறை,ସିମେଣ୍ଟ ପଥର |
சிமெண்ட் குழம்பு,ସିମେଣ୍ଟ ସ୍ଲୁରି |
சிமெண்ட் சேமிப்பு,ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |
சிமெண்டேஷன் செயல்முறை,ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |
மையப்படுத்துதல்,କେନ୍ଦ୍ରକରଣ |
மையப்படுத்துதல் மற்றும் மூடுதல்,ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |
மத்திய கலப்பு கான்கிரீட்,କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |
மத்திய கலவை,କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |
மையவிலக்கு விசிறி,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |
சுண்ணாம்பு,ଚକ
சேம்ஃபர்,ଚାମ୍ଫର୍ |
சேம்பர் துண்டு,ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |
சேனல் கற்றை,ଚ୍ୟାନେଲ୍ ବିମ୍ |
சிறப்பியல்பு சுமை,ଚରିତ୍ରଗତ ଭାର |
பண்பு வலிமை,ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |
சார்ஜ் ஆஃப்,ଚାର୍ଜ ଅଫ୍ |
சார்ஜ் செய்கிறது,ଚାର୍ଜିଂ
சரிபார்க்கிறது,ଯା cking ୍ଚ
இரசாயன பிணைப்பு,ରାସାୟନିକ ବନ୍ଧ |
செர்னோசெம்,ଚେର୍ନୋଜେମ୍ |
கஷ்கொட்டை மண்,ଛାତି ମାଟି |
புகைபோக்கி சாக்கடை,ଚିମନି ଗୁଟର |
சிப் போர்டு,ଚିପ୍ ବୋର୍ଡ |
சிப்பிங்,ଚିପିଙ୍ଗ୍ |
சீவல்கள்,ଚିପ୍ସ |
சரிவு,ଚୁଟ୍
வகுப்பு (கான்கிரீட்),କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର)
களிமண்,ମାଟି
களிமண் உள்ளடக்கம்,ମାଟି ବିଷୟବସ୍ତୁ |
களிமண் பான்,ମାଟି ପ୍ୟାନ |
சுத்தம் செய்,ପରିଷ୍କାର
சுத்தம் செய்,ସଫା କର
கிளீட்,ସଫା କର |
கிளிங்கர்,କ୍ଲିଙ୍କର୍ |
கிளிப்,କ୍ଲିପ୍
உறைதல்,ଜମାଟ ବାନ୍ଧିବା |
கரடுமுரடான மொத்த,କଠିନ ଏଗ୍ରିଗେଟ୍ |
கரடுமுரடான தானிய மண்,କଠିନ ଶସ୍ୟ ମାଟି |
கோட்,କୋଟ
காஃபர் அணை,କଫର୍ ଡ୍ୟାମ୍ |
ஒருங்கிணைப்பு,ମିଳନ
கொலாய்டு,କୋଲଏଡ୍ |
கூழ் ஈரப்பதம் சமமான விகிதம்,କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |
கூழ் அமைப்பு,କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |
கொலுவல் மண்,ମିଳିତ ମାଟି |
நெடுவரிசை,ସ୍ତମ୍ଭ
சீப்பு பூச்சு,କମ୍ବିଂ ଶେଷ
இணைந்த அடி,ମିଳିତ ପଦଚିହ୍ନ |
ஒருங்கிணைந்த நீர்,ମିଶ୍ରିତ ଜଳ |
பொதுவான அறை,ସାଧାରଣ କୋଠରୀ |
நிறைவு சான்றிதழ்,ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର
கூறு சதுரம்,ଉପାଦାନ ବର୍ଗ
கான்கிரீட்,କଂକ୍ରିଟ୍ |
கான்கிரீட்,ସଂକଳନ
ஒருங்கிணைந்த விகிதம்/தட்டை விகிதம்,ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |
அசுத்தங்கள்,ପ୍ରଦୂଷକ
அல்கோவ் சமையல்,ଆଲକୋଭ୍ ରାନ୍ଧିବା |
சமாளிப்பது,ମୁକାବିଲା
கோர்பெல்,କରବେଲ |
கார்னிஸ்,କର୍ନିସ୍ |
இணைப்பான்,ଦମ୍ପତି
"கப்லர், இரட்டை","ଦମ୍ପତି, ଦୁଇଥର |"
"கப்லர், புட்லாக்","ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |"
"இணைப்பு, சுழல்","ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |"
பாடநெறி,ପାଠ୍ୟକ୍ରମ
சீரற்ற இடிந்த கொத்து,ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |
மூடப்பட்ட பகுதி,ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |
தவழும்,କ୍ରିପ୍
க்ரீப் குணகம்,କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
குரோடோவின்,କ୍ରୋଟୋଭାଇନ୍ |
காக்கை கால்,କାଉ ପାଦ |
நொறுக்குத் தீனி அமைப்பு,ଖଣ୍ଡ ଗଠନ |
கட்டுப்படுத்து,ବନ୍ଦ କର |
தற்போதைய,ସାମ୍ପ୍ରତିକ
வளைவு எதிர்ப்பு,ବକ୍ର ପ୍ରତିରୋଧ
ஈரப்பதம் இல்லாத பாடநெறி,ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |
நிறைவு தேதி,ସମାପ୍ତ ତାରିଖ
நிலைச்சுமை,ମୃତ ଭାର
இறந்த நீர்,ମୃତ ଜଳ |
டெசிபல்,ଡେସିବେଲ୍ |
டிஃப்ளோகுலேஷன்,ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |
காற்றோட்டம் அல்லது காற்று விண்வெளி விகிதம்,ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |
திரட்டல் பட்டம்,ଏକୀକରଣର ଡିଗ୍ରୀ |
சிதறல் பட்டம்,ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |
செறிவூட்டல் பட்டம்,ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |
அடர்த்தி,ଘନତା
பாலைவன நடைபாதை,ମରୁଭୂମି ରାସ୍ତା
பாலைவன மண்,ମରୁଭୂମି ମାଟି |
விவரங்கள்,ବିବରଣୀ
வளர்ச்சி காலம்,ବିକାଶ ଅବଧି
டி-அடிவானம்,ଡି-ରାଶି
மூலைவிட்ட பிணைப்பு,ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |
வரைபடம்,ଚିତ୍ର
டிஜிட்டல் டாக்,ଡିଜିଟାଲ୍ ଡକ୍ |
வேறுபட்ட நீர் விகிதம்,ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |
நீர்த்த காற்றோட்டம்,ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |
டிலுவியம்,ଦିଲୁଭିୟମ୍
சாப்பிடும் அல்லது உணவருந்தும் அறை,ଭୋଜନ ଗୃହ
திசை ஆப்பு,ଦିଗ ପେଗ୍ |
சிதறல்,ବିଚ୍ଛେଦ |
டிஸ்டெம்பர்,ବିଭ୍ରାନ୍ତକାରୀ |
கப்பல்துறை,ଡକ୍ |
கதவு,ଦ୍ୱାର
டார்மர்,ଛାତ୍ରାବାସ
டார்மர் சோதனை,ଛାତ୍ରାବାସ ଯାଞ୍ଚ |
இரட்டை சதை பிணைப்பு,ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |
இரட்டை அடுக்கு,ଡବଲ୍ ସ୍ତର |
டோவல்,ଡୋଭେଲ୍ |
வரைதல் பலகை,ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |
வரைதல் அறை,ଚିତ୍ରାଙ୍କନ କକ୍ଷ |
சறுக்கல்,ଡ୍ରାଇଫ୍
உலர் குமிழ் வெப்பநிலை,ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |
உலர் கப்பல்துறை,ଶୁଖିଲା ଡକ୍ |
உலர் ரப்பர் கொத்து,ଶୁଖିଲା ରବର ନିର୍ମାଣ
டச்சு பத்திரம்,ଡଚ୍ ବନ୍ଧନ |
குள்ள சுவர்,ବାଣ୍ଡ କାନ୍ଥ |
குடியிருப்பு அலகு,ବାସସ୍ଥାନ ଏକକ
ஈவ்,ଇଭ୍
ஈவ்ஸ் சாக்கடை,ଗୁପ୍ତାଙ୍ଗ
பொருளாதார சாத்தியம்,ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |
எக்டோடைனமார்பிக் மண்,ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |
எட்டி,ଏଡି
பயனுள்ள அளவு,ପ୍ରଭାବଶାଳୀ ଆକାର |
மலர்ச்சி,ଇଫ୍ଲୋରସେନ୍ସ |
கழிவுநீர்,ପ୍ରଭାବଶାଳୀ |
உயரம்,ଉଚ୍ଚତା
எலுவியேஷன்,ବହିଷ୍କାର
எலுவியம்,ଇଲୁଭିୟମ୍ |
எண்டோடைனமார்பிக் மண்,ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |
பொறியியல் சாத்தியம்,ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |
ஆங்கில பத்திரம்,ଇଂରାଜୀ ବନ୍ଧନ |
ஆங்கில தோட்ட சுவர் பத்திரம்,ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
"EPM (ஒரு மில்லியனுக்கு சமம்),&quot;","ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;"
சமமான எடை,ସମାନ ଓଜନ
எ.கா,Erg
மாற்றத்தக்கது,ଅଦଳବଦଳଯୋଗ୍ୟ |
மாற்றக்கூடிய அமிலத்தன்மை,ଅଦଳବଦଳ ଅମ୍ଳତା |
மாற்றக்கூடிய சோடியம் சதவீதம் (ESP),ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP)
ஈ.எஸ்.பி.,E. S P.
பரிமாற்ற அமிலத்தன்மை,ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |
பரிமாற்ற வளாகம்,ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |
வெளியேற்ற,ନିଷ୍କାସନ
வெளிப்பட்ட பூச்சு,ପ୍ରକାଶିତ ସମାପ୍ତ
கண்,ଆଖି
கண் புருவம்,ଆଖି ବ୍ରୋ
எதிர்கொள்ளும்,ସାମ୍ନା କରିବା |
எதிர்கொள்ளும் பிணைப்பு,ବନ୍ଧନର ସମ୍ମୁଖୀନ |
பாதுகாப்பு காரணி,ନିରାପତ୍ତା କାରକ
வீழ்ச்சி,ପତନ
ஃபேசியா,ଫେସିଆ |
முக பலகை,ଫେସିଆ ବୋର୍ଡ |
தவறு,ତ୍ରୁଟି
வயல் ஈரப்பதம்,କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |
இறுதி ஈரப்பதம் சமம்,ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |
ஃபில்லட் (மோட்டார்),ଫିଲେଟ୍ (ମୋର୍ଟାର)
இறுதி,ଅନ୍ତିମ
இறுதி அளவீடு,ଅନ୍ତିମ ମାପ |
இறுதி கட்டணம்,ଅନ୍ତିମ ଦେୟ
இறுதி முன் மன அழுத்தம்,ଅନ୍ତିମ ପୂର୍ବ ଚାପ |
இறுதி பதற்றம்,ଅନ୍ତିମ ଟେନସନ |
நிதி சாத்தியம்,ଆର୍ଥିକ ସମ୍ଭାବନା |
நேர்த்தியான மொத்த,ଭଲ ଏଗ୍ରିଗେଟ୍ |
பிளவுபட்ட பாறை,ଖଣ୍ଡ ଖଣ୍ଡ |
கொடி கல்,ପତାକା ପଥର |
