Marathi,Tamil
1. झाड 2. वृक्षवासी,1. மரம் 2. மரத்தில் வசிப்பவர்
शाखा,கிளைகள்
प्रोटोबोटॅनिकल रेकॉर्ड,புரோட்டோபோட்டானிக்கல் பதிவுகள்
झोन क्रमांक,மண்டல எண்
1. क्षेत्रफळ 2. क्षेत्रफळ,1. பகுதி 2. பகுதி
कोरडे इकोसिस्टम,உலர் சுற்றுச்சூழல்
cotyledon,கோட்டிலிடன்
सौरभ,சௌரப்
सुगंधी वनस्पती,நறுமண ஆலை
सुवासिक तांदूळ,வாசனை அரிசி
इक्षु पुष्पन,இக்ஷு புஷ்பன்
ऍसेप्टिक,அசெப்டிக்
1. ऍसेप्टिक 2. ऍसेप्टिक,1. அசெப்டிக் 2. அசெப்டிக்
अलैंगिक पुनरुत्पादन,பாலின இனப்பெருக்கம்
आकार,அளவு
मालमत्ता,சொத்து
1. आत्मसात करणे 2. आत्मसात करणे,1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு
1. संघटना 2. संघटना,1. சங்கம் 2. சங்கம்
1. स्तंभ 2. तुरटपणा,1. நெடுவரிசை 2. துவர்ப்பு
heterozygosity,பன்முகத்தன்மை
1. पूर्वज 2. Atavism,1. முன்னோர் 2. அடவிசம்
कण,துகள்
1. पुष्टीकरण 2. कमजोरी,1. உறுதிப்படுத்தல் 2. குறைபாடு
स्वत: ची जोडणी,சுய இணைத்தல்
ऑटोलिसिस,தன்னியக்கம்
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்
स्वत: मल्टिप्लेक्स,சுய மல்டிபிளக்ஸ்
ऑक्सिन,ஆக்சின்
1. हादरले 2. टॉड,1. குலுக்கல் 2. தேரை
दंडात्मक व्हायरस,தண்டனை வைரஸ்
1. बॅसिलस 2. बॅसिलस,1. பேசிலஸ் 2. பேசிலஸ்
1. जीवाणू 2. जीवाणू,1. பாக்டீரியா 2. பாக்டீரியா
जिवाणू विष,பாக்டீரியா நச்சு
बॅगासे,கரும்பு சக்கை
ताळेबंद,இருப்பு தாள்
संतुलित खतांचा वापर,சீரான உர பயன்பாடு
बार आलेख,சட்ட வரைபடம்
झाडाची साल,பட்டை
1. बॅरोमीटर 2. बॅरोमीटर,1. காற்றழுத்தமானி 2. காற்றழுத்தமானி
1. बजर 2. जड 3. वांझ,1. buzzer 2. inert 3. barren
1. बेस 2. बेस 3. कपंग,1. அடிப்படை 2. அடிப்படை 3. குபாங்
1. तळा 2. खोरे,1. தாலா 2. பேசின்
तलाबिसरी,தலபிசாரி
1. बेसिस्टर्नम 2. रूट धारक,1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்
गल्फ मान्सून,வளைகுடா பருவமழை
फळ वनस्पती,பழ செடி
पलंग,படுக்கை
बेड प्लांट,படுக்கை ஆலை
बेडिंग,படுக்கை
बीट मोलॅसेस,பீற்று வெல்லப்பாகு
घुंगरू,பெல்லோஸ்
1. पट्टी 2. भूप्रदेश,1. கீற்று 2. நிலப்பரப்பு
नफा-खर्च विश्लेषण,இலாப-செலவு பகுப்பாய்வு
इच्छुक (नमुना),ஆர்வலர் (மாதிரி)
द्विवार्षिक वनस्पती,இரு ஆண்டு தாவரங்கள்
द्विपद,இருவகை
बायोफॅक्टर,உயிர் காரணி
जैविक हवामान,உயிரியல் காலநிலை
जैव ऊर्जा,உயிர் ஆற்றல்
प्राणी पर्यावरणशास्त्र,விலங்கு சூழலியல்
1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर,1. உயிர் செயலி 2. உயிர் உலை
बायोस्फीअर,உயிர்க்கோளம்
जैविक,உயிரியல்
प्राणी,விலங்கினங்கள்
दिविलिंगी,திவிலிங்கி
धवलन,தவலன்
1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग,1. பிரத்வாசன் (நோய்) 2. குடல் நோய்
मिश्रण,கலத்தல்
1. अंगमारी (रोग) 2. अनिष्ट (रोग),1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்)
1. फोड 2. फोड 3. उद्रेक 4. फोड,1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்
निळी क्रांती,நீல புரட்சி
प्लॅनर हीटिंग चेंबर,பிளானர் வெப்பமூட்டும் அறை
प्लॅनर हीटिंग तंत्रज्ञान,பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்
कोंडा,தவிடு
शाखा,கிளைகள்
1. डहाळी 2. उपशाखा,1. கிளை 2. துணைக் கிளை
जाती,இனம்
पुनरुत्पादन,இனப்பெருக்கம்
लवकर उगवण उपचार,ஆரம்ப முளைப்பு சிகிச்சை
1. शावक 2. अंडी 3. गर्भ,1. குட்டி 2. முட்டை 3. கரு
होतकरू,துளிர்க்கிறது
बजेट,பட்ஜெட்
1.अॅम्फोटेरिक 2. बफर,1.ஆம்போடெரிக் 2. தாங்கல்
रताळे,இனிப்பு உருளைக்கிழங்கு
बंट (रोग),பன்ட் (நோய்)
1. उप-उत्पादन 2. उप-उत्पादन,1. துணை தயாரிப்பு 2. துணை தயாரிப்பு
c ओलावा तपशील वक्र,c ஈரப்பதம் விவரக்குறிப்பு வளைவு
तेल केक,எண்ணெய் கேக்
1. चुना 2. कॅल्शियम,1. சுண்ணாம்பு 2. கால்சியம்
कॅल्शिअन,கால்சியன்
फॉस्फेट काढणे,பாஸ்பேட் நீக்கம்
1. किनटा 2. कॅलाटा,1. கினாட்டா 2. கலாட்டா
1.कॉलस 2. किरण,1.காலஸ் 2. கதிர்
1. सेपल्स 2. कॅलिक्स,1. செப்பல்ஸ் 2. கேலிக்ஸ்
बाह्य टोक,வெளிப்புற முடிவு
इधा,எதா
कॅन्कर (जीवाणूजन्य रोग),புற்றுநோய் (பாக்டீரியா நோய்)
कॅनिंग,பதப்படுத்தல்
आकाश,வானம்
वित्त,நிதி
परागकण (अंजीराचे),மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்)
1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल,1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்
कार्बनयुक्त,கார்பனேற்றப்பட்டது
कार्बनन,கார்பனான்
कॅरॅपेस,கார்பேஸ்
ब्रेसलेट,வளையல்
1. कास्टिंग (लोह) 2. क्षिती (कीटक),1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி)
अपचय,வினையூக்கம்
प्रलोभन,தூண்டுதல்
1. सुरवंट 2. सुरवंट,1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி
c d. एन. a संकलन,c d. என். அ. சேகரிப்பு
श्रेणी,சரகம்
1. सेल 2. सेल,1. செல் 2. செல்
मध्यवर्ती फ्रंट सिस्टम,மத்திய முன் அமைப்பு
1. पॉइंट 2. फोकस,1. புள்ளி 2. கவனம்
केंद्रापसारक,மையவிலக்கு
अपकेंद्रित्र,மையவிலக்கு
तारा केंद्र,நட்சத்திர மையம்
epigenetic,எபிஜெனெடிக்
केंद्रजा,கேந்திரராஜா
यंत्रमाग,தறி
1. तृणधान्ये 2. मालिका,1. தானியம் 2. தொடர்
1. प्रमाणन 2. प्रमाणन,1. சான்றிதழ் 2. சான்றிதழ்
प्रमाणित बियाणे,சான்றளிக்கப்பட்ட விதை
1. पेंढा 2. कुट्टी 3. शलक सहपात्रा,1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா
1. निभाग 2. कैलाजा,1. நிபாக் 2. கைலாஜா
किमोग्राफी,கைமோகிராபி
1. कियाज्मा 2. व्यस्त,1. கியாஸ்மா 2. பிஸி
सुपर कूलिंग तास,supercooling மணி
दंव नुकसान,உறைபனி சேதம்
1. विचिरोटकी 2. चिमेरा,1. விசிரோடகி 2. சிமேரா
हिरवी लापशी,பச்சை கஞ்சி
1. पर्णसंभार 2. हिरवा,1. தழை 2. பச்சை
सायनोसिस,சயனோசிஸ்
जैविक वितरण विज्ञान,உயிரியல் விநியோக அறிவியல்
1. क्रोमेटिड्स 2. अर्धा गुणसूत्र,1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்
क्रोमॅटिन,குரோமடின்
क्रोमॅटोग्राफी,குரோமடோகிராபி
क्रोमॅटिनलेशन,நிறமாற்றம்
अलिंद बिंदू,ஏட்ரியல் புள்ளி
क्रोमेटोजेनेसिस,நிறமூர்த்தம்
1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन,1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்
1. गुणसूत्र 2. गुणसूत्र,1. குரோமோசோம்கள் 2. குரோமோசோம்கள்
1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित,1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று
सायरेंज,சிட்ரேஞ்ச்
गडी बाद होण्याचा क्रम,இலையுதிர் திருவிழா
वर्गीकरण,வகைப்பாடு
1. चिकणमाती 2. चिकणमाती,1. களிமண் 2. களிமண்
1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण,1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு
सतत परागण,தொடர்ந்து மகரந்த சேர்க்கை
क्रूसिफेरस फळ,சிலுவை பழம்
हवामान,காலநிலை
हवामानशास्त्र,காலநிலையியல்
कातरणे,வெட்டு
ढेकूळ (चिकणमाती),கட்டி (களிமண்)
क्लोन,குளோன்
1.ढग 2.ढग,1.மேகங்கள் 2.மேகங்கள்
गठ्ठा,கொத்து
घड,கொத்து
1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत,1. கரடுமுரடான 2. கரடுமுரடான 3. கச்சா 4. கரடுமுரடான
1. कव्हर 2. लेदररेट,1. கவர் 2. leatherette
कोया,கோயா
1. कोएन्झाइम 2. को-एंझाइम,1. கோஎன்சைம் 2. கோ-என்சைம்
एकसंधता,ஒற்றுமை
1. फायबर (ज्युट ज्यूट) 2. नारळ भरड,1. நார்ச்சத்து (சணல் சணல்) 2. தேங்காய் கரடுமுரடானது
मुलंकुर चोळ,மூலங்கூர் சோழன்
,
कोलोइड (माती),கொலாய்டு (மண்)
1.स्तंभ 2.columella,1.நெடுவரிசை 2.கொலுமல்லா
1. दंड 2. स्तंभ 3. स्तंभ,1. தண்டனை 2. நெடுவரிசை 3. நெடுவரிசை
सहभागिता,ஒற்றுமை
व्यावसायिक बँक,வணிக வங்கி
1. वस्तू 2. व्यापारी माल,1. சரக்கு 2. வணிகப் பொருட்கள்
समुदाय,சமூக
कॉम्पॅक्शन (मातीचे),சுருக்கம் (மண்)
1. सुसंगतता 2. सुसंगतता,1. இணக்கம் 2. இணக்கம்
सुसंगतता,பொருந்தக்கூடிய தன்மை
1. भरपाई 2. भरपाई,1. இழப்பீடு 2. இழப்பீடு
स्पर्धात्मक संवाद,போட்டி தொடர்பு
पूरक पीक,துணை பயிர்
1.संमिश्र 2.जटिल,1.கலவை 2. சிக்கலானது
घटक,தொகுதி
रचना,கலவை
कंपोस्ट,உரம்
चक्रवाढ व्याज,கூட்டு வட்டி
गणना,கணக்கீடு
1. संगणक 2. संगणक,1. கணினி 2. கணினி
1. एकाग्रता 2. एकाग्रता,1. செறிவு 2. செறிவு
1. अनुकूलक 2. पुनरुज्जीवन करणारा,1. Optimizer 2. Revitalizer
वाहकता,கடத்துத்திறன்
1. कॉन्फिगरेशन 2. कॉन्फिगरेशन,1. கட்டமைப்பு 2. கட்டமைப்பு
1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता,1. இணக்கம் 2. கட்டமைப்பு 3. இணக்கம்
1. एकत्रीकरण 2. संकरीकरण,1. ஒருங்கிணைப்பு 2. கலப்பு
संयुग्मन,இணைத்தல்
1. जोडणारा 2. संयोजी,1. சேர்க்கை 2. இணைப்பு
संरक्षण,பாதுகாப்பு
एकत्रीकरण,ஒருங்கிணைப்பு
1.घटक 2. घटक,1. மூலப்பொருள் 2. தேவையான பொருட்கள்
ग्राहक,நுகர்வோர்
वापर,நுகர்வு
दूषित होणे,மாசுபடுதல்
समोच्च लागवड,விளிம்பு நடவு
समोच्च रेखा,விளிம்பு கோடு
1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग,1. ஒப்பந்த விவசாயம் 2. ஒப்பந்த விவசாயம் 3. ஒப்பந்த விவசாயம்
नियंत्रित वातावरणीय संचयन,கட்டுப்படுத்தப்பட்ட வளிமண்டல சேமிப்பு
सहकारी बँक,கூட்டுறவு வங்கி
सहकारी संस्था सदस्य,கூட்டுறவு சங்க உறுப்பினர்
गुलमावन,குல்மவன்
चौकोनी तुकडे,க்யூப்ஸ்
1. दालपुंज 2. कोरोला,1. தல்புஞ்ச் 2. கொரோலா
1. कॉर्टेक्स 2. कॉर्टेक्स,1. கோர்டெக்ஸ் 2. கார்டெக்ஸ்
खर्च,செலவு
cotyledon,கோட்டிலிடன்
क्रेडिट समिती,கடன் குழு
1. कर्ज देणे 2. क्रेडिट,1. கடன் கொடுத்தல் 2. கடன்
1. सावकार 2. कर्जदार,1. கடன் கொடுத்தவர் 2. கடன் கொடுத்தவர்
1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर,1. முகடு 2. உச்சி 3. கோபுரம்
मागे घेणे,திரும்பப் பெறுதல்
समस्या,பிரச்சனை
चाचणी,சோதனை
गंभीर,முக்கியமான
पीक विमा,பயிர் காப்பீடு
पीक कर्ज,பயிர் கடன்
1. पीक 2. पीक,1. பயிர் 2. பயிர்
लागवड क्षेत्र,சாகுபடி பகுதி
क्रॉस विसंगत,குறுக்கு இணக்கமற்ற
1. मुकुट 2. शिखर (वनस्पती),1. கிரீடம் 2. உச்சம் (தாவரம்)
मऊ कण,மென்மையான துகள்கள்
कवच,மேல் ஓடு
1. क्रिप्टोगाम 2. नॉन-फ्लोरिफॉर्म,1. கிரிப்டோகம் 2. புளோரிஃபார்ம் அல்லாதது
छाटणी (फळ),கொடிமுந்திரி (பழம்)
पेन,பேனா
वाणाची विविधता,சாகுபடி வகை
1. कर्षण 2. शेती 3. शेती,1. இழுவை 2. விவசாயம் 3. விவசாயம்
1. शेतकरी 2. शेती करणारा,1. விவசாயி 2. உழவர்
1. मशागत 2. मशागत 3. संगोपन,1. சாகுபடி 2. சாகுபடி 3. வளர்ப்பு
1. संसाधन 2. तयारी,1.வளம் 2.தயாரிப்பு
1.कुंतलन 2.कुंचोन,1.குந்தலன் 2.குஞ்சன்
पवित्रा,தோரணை
1. एपिडर्मिस 2. क्यूटिकल,1. மேல்தோல் 2. க்யூட்டிகல்
1. पेन 2. कटिंग 3. कटिंग 4. कटिंग 5. कटिंग,1. பேனா 2. வெட்டுதல் 3. வெட்டுதல் 4. வெட்டுதல் 5. வெட்டுதல்
1. वर्म कॉर्पस 2. सिस्ट 3. सिस्ट 4. विकृत ढेकूळ 5. निओप्लाझम,1. புழு கார்பஸ் 2. நீர்க்கட்டி 3. நீர்க்கட்டி 4. சிதைந்த கட்டி 5. நியோபிளாசம்
सायटोक्रोम,சைட்டோக்ரோம்
सेल जोडणी,செல் இணைப்பு
सेल पुनरुत्पादन,செல் இனப்பெருக்கம்
सेल आनुवंशिकी,செல் மரபியல்
सायटोप्लाज्मिक विभागणी,சைட்டோபிளாஸ்மிக் பிரிவு
सेल जीवशास्त्र,உயிரணு உயிரியல்
सेल lysis,செல் சிதைவு
1. सायटोमेर 2. सेल सेगमेंटेशन,1. சைட்டோமியர் 2. செல் பிரிவு
सायटोप्लाझम,சைட்டோபிளாசம்
1. दुग्धव्यवसाय 2. दुग्धव्यवसाय,1. பால்பண்ணை 2. பால்பண்ணை
डेअरी उद्योग,பால் தொழில்
1. धरण 2. ब्रीडर,1. அணை 2. வளர்ப்பவர்
दिवस निरपेक्ष वनस्पती,நாள் முழுமையான தாவரம்
फुलांच्या नंतर दिवस,பூக்கும் மறுநாள்
पूर्ण फुलांच्या नंतरचा दिवस,முழு பூக்கும் மறுநாள்
अकार्यक्षमता,திறமையின்மை
decalcification,சுண்ணாம்பு நீக்கம்
1. डिस्लॉज 2. डिस्लॉज,1. அப்புறப்படுத்து 2. அப்புறப்படுத்து
क्षय,சிதைவு
पर्णपाती,இலையுதிர்
1. दशांश 2. दशांश,1. தசமம் 2. தசம
कनिष्ठता,தாழ்வு மனப்பான்மை
अनुरन (माती),அனுரன் (மண்)
विपुष्पन,விபுஷ்பன்
बिलिंग,பில்லிங்
जंगलतोड,காடழிப்பு
बदनामी,அவமானம்
ऱ्हास,சீரழிவு
भाग दिवस,பகுதி நாள்
1. प्रमाण 2. भाग,1. அளவு 2. பகுதி
विघटन,விலகல்
भुसा काढणे,உமி அகற்றுதல்
भुसा काढणे,உமி அகற்றுதல்
निर्जलीकरण,நீரிழப்பு
निर्जल,நீரற்ற
मागणी,கோரிக்கை
1. विकृतीकरण 2. गुणाकार,1. டினாட்டரேஷன் 2. பெருக்கல்
निंदा,கண்டனம்
1. ठेव (माती) 2. ठेव (अर्थशास्त्र),1. வைப்பு (மண்) 2. வைப்பு (பொருளாதாரம்)
ठेव,வைப்பு
1. घसारा 2. घसारा,1. தேய்மானம் 2. தேய்மானம்
डिसेलिनेशन,உப்புநீக்கம்
1. पाणी कोरडे होणे 2. निर्जलीकरण,1. நீர் உலர்த்துதல் 2. நீரிழப்பு
1. डिझाइन 2. डिझाइन,1. வடிவமைப்பு 2. வடிவமைப்பு
कोरडे,உலர்
कर्नल काढणे,கர்னல் அகற்றுதல்
डी-इंटरकलेशन,இடைக்கணிப்பு
संयुग्मन,இணைத்தல்
1. नर मांजरी उतारा (मका) 2. बल्लार उतारा,1. ஆண் மஞ்சரி பிரித்தெடுத்தல் (சோளம்) 2. பல்லார் பிரித்தெடுத்தல்
बल्लार किंवा कुंदन कटिंग,பல்லார் அல்லது குந்தன் வெட்டுதல்
निर्धारक,தீர்மானிப்பவர்
अवमूल्यन,மதிப்பிழப்பு
वनस्पती काढून टाकणे,தாவரங்களை நீக்கும்
विचलन,விலகல்
दुप्पट,இரட்டை
निदान,நோய் கண்டறிதல்
भिन्न परिपक्वता,வெவ்வேறு முதிர்ச்சி
दुभाजक,பிளவு
1. डायकोटीलेडॉन 2. डायकोटीलेडॉन (बियाणे),1. டைகோடைலிடன் 2. டைகோடைலிடன் (விதை)
पाठीचा आजार,முதுகு நோய்
1. प्रसार 2. प्रसार,1. பரவல் 2. பரவல்
पचनक्षमता,செரிமானம்
dihybrid,இருகலப்பின
1. धरण 2. नाला 3. कुटुंब,1. அணை 2. வாய்க்கால் 3. குடும்பம்
अल्प,அற்ப
1. एकपत्नी 2. एकपत्नी,1. தனிக்குடித்தனம் 2. ஒருதார மணம்
द्विगुणित,டிப்ளாய்டு
1. डिप्लोइड 2. डिप्लोइड,1. டிப்ளாய்டு 2. டிப்ளாய்டு
द्विध्रुव,இருமுனை
1. उतारा 2. अंकुर काढणे,1. பிரித்தெடுத்தல் 2. மொட்டு அகற்றுதல்
1. नांगरणी 2. कताई,1. கலப்பை உழுதல் 2. நூற்பு
सवलत,தள்ளுபடி
निर्जंतुकीकरण,கிருமி நீக்கம்
1. फैलाव 2. विखुरणे,1. சிதறல் 2. சிதறல்
1.विखुरणे 2.विविधता,1. சிதறல் 2. மாறுபாடு
विविधीकरण,பல்வகைப்படுத்தல்
वैविध्यपूर्ण शेती,பல்வகைப்பட்ட விவசாயம்
डीएनए पाऊल,டிஎன்ஏ படி
डीएनए प्राप्तकर्ता,டிஎன்ஏ பெறுபவர்
डॉक भाड्याने,கப்பல்துறை வாடகை
प्रभावी,பயனுள்ள
सुप्तता,செயலற்ற நிலை
1. प्रमाण 2. डोस 3. डोस,1. அளவு 2. அளவு 3. அளவு
