Odiya,Gujarati
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,કૃષિ-આબોહવાની વિવિધતા
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,એગ્રોક્લાઇમેટિક ઝોનની રચના
କୃଷି ଜଙ୍ଗଲ,કૃષિ વનીકરણ
କୃଷି,કૃષિ વિજ્ઞાન
ଆଗ୍ରୋନୋମିକ୍,કૃષિવિજ્ઞાન
କୃଷି ପାଳକ,કૃષિ પશુપાલન
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,પાક પ્રક્રિયા
ଘାସ ବିଜ୍ଞାନ |,ઘાસ વિજ્ઞાન
ଫସଲ ପ୍ରକାର |,પાકનો પ્રકાર
ଏପିଫାଇଟ୍ |,એપિફાઇટ
aikiochi ମାଟି |,aikiochi માટી
ରଙ୍ଗ ଅନ୍ଧତା |,રંગ અંધત્વ
ଆଲଫିସୋଲ୍ |,આલ્ફીસોલ
ଶାଗ,શેવાળ
ଆଲଗା ରୋଗ,શેવાળ રોગ
କ୍ଷାର ଜଳ |,આલ્કલી પાણી
କ୍ଷାର,આલ્કલાઇન
ବିକଳ୍ପ,વૈકલ્પિક
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,એલેલો રસાયણશાસ્ત્ર
ଆଲେଲେ,એલીલ
ଆଲେଲୋପାଥି,એલોપથી
ଭେଟି ଫସଲ |,વેથી પાક
ସମାପ୍ତି,પૂર્ણતા
ଫର୍ଟିଲାଇଜେସନ୍,ગર્ભાધાન
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. સાપેક્ષતા 2. એલોમેટ્રી
ମଲ୍ଟିପ୍ଲୋଡି,મલ્ટીપ્લોઇડી
1. ପାରାଜାଇଗୋସିଟି |,1. પેરાઝીગોસિટી
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,વૈકલ્પિક જમીનનો ઉપયોગ
ପରିବେଶ,પર્યાવરણ
ସଂସ୍କାରକ,સુધારક
ମାଇଟୋସିସ୍,મિટોસિસ
ଆମେନାନ୍,આમીન
ଆମୋନିଅନ୍ |,એમોનિયન
amniferous,એમ્નિફરસ
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,ઉભયજીવી મિશ્રણ
ଆମ୍ଫୋଟେରିକ୍ |,એમ્ફોટેરિક
ଷ୍ଟକପିଲିଂ |,સંગ્રહ
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. એનારોબિક 2. એનારોબિક સજીવો
ହାପ୍ଲଏଡ୍ |,હેપ્લોઇડ
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,કોણીય વાવેતર
ପଶୁପାଳନ,પશુપાલન
ପଶୁ ନିର୍ଗମନ,પ્રાણીના મળમૂત્ર
ଜୀବନ୍ତ ଶକ୍ତି,જીવંત ઊર્જા
ଅସନ୍ତୁଷ୍ଟ |,વિસંગત
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,એક વર્ષ જૂનો છોડ
ବାର୍ଷିକ,વાર્ષિક
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. પરમાનંદ 2. ઉજાસ
ଆନ୍ଥ୍ରାକ୍ସ,એન્થ્રેક્સ
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,એન્થ્રોપોજેનિક પરિબળો
ବଞ୍ଚିବା,અસ્તિત્વ
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક
ଘୃଣ୍ୟ,પ્રતિકૂળ
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,એન્ટીઑકિસડન્ટ
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,એન્ટિટોક્સિન
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,રિંગ આંગળી
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,1. એફિડ 2. મહુ 3. ચેપા
ଉପର ଗୁଣ୍ଡ |,ટોચની કળી
ଶିଖର ପ୍ରଭାବ,ટોચની અસરકારકતા
ମହୁମାଛି ପାଳନ,મધમાખી ઉછેર
ସମଲିଙ୍ଗୀତା,અજાતીયતા
ଆପୋପ୍ଟୋସିସ୍ |,એપોપ્ટોસિસ
ଅନୁକ୍ରମଣିକା,પરિશિષ્ટ
ଭୋକ,ભૂખ લગાડનાર
ପ୍ରୟୋଗ ହୋଇଛି |,લાગુ
ଜଳୀୟ ତୃଣ,જળચર નીંદણ
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,1. વૃક્ષ 2. વૃક્ષ નિવાસી
ଶାଖା,શાખાઓ
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,પ્રોટોબોટનિકલ રેકોર્ડ્સ
ଜୋନ୍ ସଂଖ୍ୟା,ઝોન નંબર
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. વિસ્તાર 2. વિસ્તાર
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,શુષ્ક ઇકોસિસ્ટમ
କୋଟିଲଡନ୍ |,કોટિલેડોન
ସ aur ରଭ |,સૌરભ
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,સુગંધિત છોડ
ସୁଗନ୍ଧିତ ଚାଉଳ |,સુગંધિત ચોખા
ଇକଶୁ ପୁଷ୍ପନ୍ |,ઇક્ષુ પુષ્પન
ଆସେପ୍ଟିକ୍ |,એસેપ્ટિક
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,1. એસેપ્ટિક 2. એસેપ્ટિક
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,અજાતીય પ્રજનન
ଆକାର,કદ
ସମ୍ପତ୍ତି,સંપત્તિ
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,1. એસિમિલેશન 2. એસિમિલેશન
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,1. એસોસિએશન 2. એસોસિએશન
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. કૉલમ 2. અસ્પષ્ટતા
ହେଟେରୋଜାଇଗୋସିଟି |,હેટરોઝાયગોસિટી
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,1. પૂર્વજ 2. એટાવિઝમ
କଣିକା,કણ
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. પુષ્ટિ 2. ક્ષતિ
ଆତ୍ମ ଯୋଡି |,સ્વ જોડી
ଅଟୋଲାଇସିସ୍,ઓટોલિસિસ
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,સ્વ મલ્ટિપ્લેક્સ્ડ
ଆକ୍ସିନ୍,ઓક્સિન
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,1. હચમચી 2. દેડકો
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,દંડ વાયરસ
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,1. બેસિલસ 2. બેસિલસ
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,1. બેક્ટેરિયા 2. બેક્ટેરિયા
ଜୀବାଣୁ ବିଷାକ୍ତ,બેક્ટેરિયલ ઝેર
ବାଗାସେ |,બગાસ
ତୂଳନା ପତ୍ର,સરવૈયા
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,સંતુલિત ખાતરનો ઉપયોગ
ବାର୍ ଗ୍ରାଫ୍ |,બાર ગ્રાફ
ଭୁକିବା |,છાલ
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,1. બેરોમીટર 2. બેરોમીટર
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,1. બઝર 2. જડ 3. ઉજ્જડ
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. આધાર 2. આધાર 3. કપંગ
1. ତାଲା 2. ବେସିନ |,1. તાલા 2. બેસિન
ତଲାବିସାରି |,તલાબીસરી
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,1. બેસિસ્ટર્નમ 2. રુટ ધારક
ଗଲ୍ଫ ମ so ସୁମୀ |,ગલ્ફ ચોમાસું
ଫଳ ଉଦ୍ଭିଦ |,ફળનો છોડ
ଶଯ୍ୟା,પથારી
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,બેડ પ્લાન્ટ
ଶଯ୍ୟା,પથારી
ବିଲା ଗୁଣ୍ଡ |,બીટ દાળ
ଘଣ୍ଟି,બેલો
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,1. પટ્ટી 2. ભૂપ્રદેશ
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,નફો-ખર્ચ વિશ્લેષણ
ଆଶାକର୍ମୀ (ନମୁନା),મહત્વાકાંક્ષી (સેમ્પલિંગ)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,દ્વિવાર્ષિક છોડ
ଦ୍ୱିପାକ୍ଷିକ |,દ્વિપદી
ବାୟୋଫାକ୍ଟର |,બાયોફેક્ટર
ଜ bi ବିକ ଜଳବାୟୁ |,જૈવિક આબોહવા
ଜ o ବ ଶକ୍ତି |,જૈવ ઊર્જા
ଜୀବଜନ୍ତୁ ପରିବେଶ |,પ્રાણીસૃષ્ટિ ઇકોલોજી
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર
ଜ bi ବ ଜୀବ |,બાયોસ્ફિયર
ବାୟୋଟିକ୍ |,જૈવિક
ପ୍ରାଣୀ,પ્રાણીસૃષ્ટિ
ଡିଭିଲିଙ୍ଗୀ |,ડિવિલિંગી
ଧାୱାଲାନ୍ |,ધવલન
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ
ମିଶ୍ରଣ,મિશ્રણ
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ)
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો
ନୀଳ ବିପ୍ଳବ |,વાદળી ક્રાંતિ
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,પ્લાનર હીટિંગ ચેમ્બર
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,પ્લાનર હીટિંગ ટેકનોલોજી
କଞ୍ଚା |,થૂલું
ଶାଖା,શાખાઓ
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,1. ટ્વિગ 2. સબબ્રાન્ચ
ପ୍ରଜାତି,જાતિ
ପ୍ରଜନନ,પ્રજનન
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,પ્રારંભિક અંકુરણ સારવાર
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,1. બચ્ચા 2. ઇંડા 3. ગર્ભ
ଅଙ୍କୁରିତ |,ઉભરતા
ବଜେଟ୍,બજેટ
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,1.એમ્ફોટેરિક 2. બફર
ମିଠା ଆଳୁ,શક્કરિયા
ବଣ୍ଟ (ରୋଗ),બંટ (રોગ)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. આડપેદાશ 2. આડપેદાશ
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c ભેજ સ્પષ્ટીકરણ વળાંક
ତେଲ କେକ୍ |,તેલ કેક
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,1. ચૂનો 2. કેલ્શિયમ
କାଲସିଅନ୍ |,કેલ્સિયન
ଫସଫେଟ୍ ଅପସାରଣ |,ફોસ્ફેટ દૂર કરવું
1. କିନାଟା 2. କାଲାଟା |,1. કિનાટા 2. કેલાટા
1. କଲସ୍ 2. କିରଣ,1.કેલસ 2. કિરણ
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. સેપલ્સ 2. કેલિક્સ
ବାହ୍ୟ ଶେଷ,બહારનો છેડો
ଏଡା,એધા
କର୍କଟ (ଜୀବାଣୁ),કર્કશ (બેક્ટેરિયલ રોગ)
କ୍ୟାନିଂ |,કેનિંગ
ଆକାଶ,આકાશ
ଅର୍ଥ,ફાઇનાન્સ
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),પરાગનયન (અંજીરનું)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ
ଅଙ୍ଗାରକାମ୍ଳ |,કાર્બનયુક્ત
ଅଙ୍ଗାରକାମ୍ଳ |,કાર્બનન
କାରାପେସ୍ |,કારાપેસ
ବ୍ରେସଲେଟ୍,બંગડી
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ)
କାଟାବୋଲିଜିମ୍ |,અપચય
ପ୍ରେରଣା,પ્રેરિત
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. કેટરપિલર 2. કેટરપિલર
c d। N. a। ସଂଗ୍ରହ,c ડી. એન. a સંગ્રહ
ପରିସର,શ્રેણી
1. କକ୍ଷ 2. କକ୍ଷ,1. સેલ 2. સેલ
କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |,કેન્દ્રીય ફ્રન્ટ સિસ્ટમ
1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |,1. બિંદુ 2. ફોકસ
ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,સેન્ટ્રીફ્યુગેશન
ସେଣ୍ଟ୍ରିଫୁଗ୍,સેન્ટ્રીફ્યુજ
ତାରା କେନ୍ଦ୍ର |,સ્ટાર સેન્ટર
epigenetic,એપિજેનેટિક
କେନ୍ଦୁ ra ର,કેન્દ્રજા
ଲୁମ୍,લૂમ
1. ଶସ୍ୟ 2. କ୍ରମିକ |,1. અનાજ 2. સીરીયલ
1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର,1. પ્રમાણપત્ર 2. પ્રમાણપત્ર
ପ୍ରମାଣିତ ବିହନ |,પ્રમાણિત બીજ
1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |,1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર
1. ନିବାଗ 2. କ ail ଲାଜା |,1. નિભાગ 2. કૈલાજા
ଚିମୋଗ୍ରାଫି,કીમોગ્રાફી
1. କିଆଜମା 2. ବ୍ୟସ୍ତ,1. કિયાઝમા 2. વ્યસ્ત
ସୁପରକୋଲିଂ ଘଣ୍ଟା |,સુપરકૂલિંગ કલાકો
ବରଫର କ୍ଷତି |,હિમ નુકસાન
1. ଭିଚିରୋଟାକି 2. ଚିମେରା |,1. વિચિરોતકી 2. ચિમેરા
ସବୁଜ ପୋଖରୀ |,લીલો પોર્રીજ
1. ପତ୍ର 2. ସବୁଜ,1. પર્ણસમૂહ 2. લીલો
ସିଆନୋସିସ୍ |,સાયનોસિસ
ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |,જૈવિક વિતરણ વિજ્ઞાન
1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |,1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો
କ୍ରୋମାଟିନ୍,ક્રોમેટિન
କ୍ରୋମାଟୋଗ୍ରାଫି |,ક્રોમેટોગ્રાફી
କ୍ରୋମାଟିନେସନ୍,ક્રોમેટિનલેશન
atrial point,ધમની બિંદુ
କ୍ରୋମାଟୋଜେନେସିସ୍,ક્રોમેટોજેનેસિસ
1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |,1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન
1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |,1. રંગસૂત્રો 2. રંગસૂત્રો
1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |,1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત
citrange,સાઇટ્રેન્જ
ପତିତପାବନ ପର୍ବ |,પાનખર તહેવાર
ବର୍ଗୀକରଣ,વર્ગીકરણ
1. ମାଟି 2. ମାଟି,1. માટી 2. માટી
1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |,1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ
ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |,સતત પરાગનયન
କ୍ରୁଶବିହୀନ ଫଳ |,ક્રુસિફેરસ ફળ
ଜଳବାୟୁ,વાતાવરણ
ଜଳବାୟୁ,આબોહવાશાસ્ત્ર
କେଶ,કાતર
ଗୁଣ୍ଡ (ମାଟି),ગઠ્ઠો (માટી)
କ୍ଲୋନ୍ |,ક્લોન
1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |,1.વાદળો 2.વાદળો
ump ୁଲା |,ઝુંડ
ଗୁଣ୍ଡ |,ટોળું
1. କଠିନ 2. ରୁଗ୍ 3. କଞ୍ଚା 4. ରୁଗ୍ |,1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી
1. କଭର 2. ଚମଡା,1. કવર 2. ચામડું
କୋୟା,કોયા
1. କୋଏନଜାଇମ୍ 2. କୋ-ଏନଜାଇମ୍ |,1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ
ମିଳନ,સંયોગ
1. ଫାଇବର (ଜୁଟ୍ ଜଟ୍) 2. ନଡିଆ ନଡିଆ |,1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ
ମୁଲାନକୁର ଚୋଲା |,મુલંકુર ચોલા
,
କୋଲଏଡ୍ (ମାଟି),કોલોઇડ (માટી)
1. ସ୍ତମ୍ଭ 2. କଲୁମେଲା,1.કૉલમ 2.કોલ્યુમેલા
1. ଦଣ୍ଡ 2. ସ୍ତମ୍ଭ 3. ସ୍ତମ୍ଭ,1. દંડ 2. કૉલમ 3. કૉલમ
ଯୋଗାଯୋଗ,કોમ્યુનિયન
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ |,કોમર્શિયલ બેંક
1. ଦ୍ରବ୍ୟ 2. ବାଣିଜ୍ୟ,1. કોમોડિટી 2. મર્ચેન્ડાઇઝ
ସମ୍ପ୍ରଦାୟ,સમુદાય
ସଙ୍କୋଚନ (ମାଟିର),કોમ્પેક્શન (માટીનું)
1. ସୁସଙ୍ଗତତା 2. ସୁସଙ୍ଗତତା |,1. સુસંગતતા 2. સુસંગતતા
ସୁସଙ୍ଗତତା,સુસંગતતા
1. କ୍ଷତିପୂରଣ 2. କ୍ଷତିପୂରଣ,1. વળતર 2. વળતર
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા
ଫସଲ ସପ୍ଲିମେଣ୍ଟ କରନ୍ତୁ |,પૂરક પાક
1. କମ୍ପୋଜିଟ୍ 2. କମ୍ପ୍ଲେକ୍ସ,1.સંયુક્ત 2.જટિલ
ବିଧାନସଭା,ઘટક
ରଚନା,રચના
କମ୍ପୋଷ୍ଟ,ખાતર
ଯ ound ଗିକ ଆଗ୍ରହ |,સંયોજન વ્યાજ
ଗଣନା,ગણતરી
1. କମ୍ପ୍ୟୁଟର 2. କମ୍ପ୍ୟୁଟର,1. કોમ્પ્યુટર 2. કોમ્પ્યુટર
1. ଏକାଗ୍ରତା 2. ଏକାଗ୍ରତା,1. એકાગ્રતા 2. એકાગ્રતા
1. ଅପ୍ଟିମାଇଜର୍ 2. ପୁନର୍ଜୀବନ,1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર
କଣ୍ଡକ୍ଟିଭିଟି,વાહકતા
