Malayalam,Gujarati
ആന്റിലാംഡ കണിക,એન્ટિલામડા કણ
അല്ലെലെപ്റ്റൺ,એલેપ્ટન
ഡയമാഗ്നറ്റിക്,ડાયમેગ્નેટિક
പ്രതിദ്രവ്യം,એન્ટિમેટર
വിരുദ്ധ മിസൈൽ,વિરોધી મિસાઇલ
ആന്റിന്യൂട്രോൺ,એન્ટિન્યુટ્રોન
സ്പന്ദിക്കുന്ന,ધબકતું
ആന്റി ന്യൂക്ലിയോൺ,એન્ટિન્યુક્લિયોન
ആന്റിപാർട്ടിക്കിൾ,એન્ટિપાર્ટિકલ
ആന്റിപ്രോട്ടോൺ,એન્ટિપ્રોટોન
ആന്റി റിഫ്ലെക്റ്റീവ്,પ્રતિબિંબ વિરોધી
ആന്റിസിമെട്രിക്,અસમપ્રમાણ
ആവർത്തിക്കാത്ത,નોન રિકરિંગ
അനാക്രോണിസം,અનાક્રોનિઝમ
സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്,છિદ્રિત સ્કેનિંગ ડિસ્ક
ദ്വാരക്,દ્વારક
"മുകളിൽ, മുകളിൽ, മുൻഭാഗം","ટોચ, ટોચ, આગળ"
"സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ","સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર"
ഉദാസീനമായ ലേസ്,ઉદાસીન ફીત
ദയനീയമല്ലാത്ത,બિન-દયનીય
വൈകല്യമില്ലാത്തത്,બિન-વિકલાંગતા
വളരെ അക്രോമാറ്റിക്,ખૂબ વર્ણહીન
"ഭൂമി-ഉയരം, അപ്പോജി","જમીન-ઊંચી, apogee"
"ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള","બિનધ્રુવીય, ગોળાકાર"
പരധ്രുവത്വം,પેરાપોલરીટી
ഉപകരണം,ઉપકરણ
"വെർച്വൽ, വിഷ്വൽ","વર્ચ્યુઅલ, વિઝ્યુઅલ"
ദൃശ്യ സൂര്യൻ,દૃશ્યમાન સૂર્ય
ദൃശ്യ സമയം,દ્રશ્ય સમય
ഉയർന്നുവരുന്ന രൂപം,ઉભરતો દેખાવ
അപേക്ഷ,અરજી
പ്രയോഗക്ഷമത,લાગુ પડવાની ક્ષમતા
അപേക്ഷിച്ചു,લાગુ
നിരീക്ഷിക്കാവുന്നതാണ്,અવલોકનક્ષમ
സമീപനം,અભિગમ
"അടുത്ത്, ഏകദേശം","નજીક, આશરે"
ഏകദേശ കണക്ക്,અંદાજ
നീരാവി മർദ്ദം,બાષ્પ દબાણ
സ്വമേധയാ,સ્વૈચ્છિક
"ആർക്ക് ചൂള, ആർക്ക് ചൂള","આર્ક ફર્નેસ, આર્ક ફર્નેસ"
ആർക്കിമിഡീസിന്റെ നിയമം,આર્કિમિડીઝનો કાયદો
വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം,આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર
ആർക്ക് ലാമ്പ്,ચાપ દીવો
ആർക്ക്-സ്പെക്ട്രം,આર્ક-સ્પેક્ટ્રમ
"പ്രദേശം, പ്രദേശം","વિસ્તાર, વિસ્તાર"
"പ്രാദേശിക, പ്രാദേശിക","પ્રાદેશિક, પ્રાદેશિક"
"ഭുജം, ഭുജം, ശാഖ","હાથ, હાથ, શાખા"
അമച്വർ,કલાપ્રેમી
"അറേ, അറേ","એરે, એરે"
റിസീവർ,રીસીવર
ഉച്ചാരണ വ്യക്തത,ઉચ્ચાર સ્પષ્ટતા
സിന്തറ്റിക്,કૃત્રિમ
കൃത്രിമ പരിവർത്തനം,કૃત્રિમ ટ્રાન્સમ્યુટેશન
ആരോഹണം,ચડતા
കയറ്റം,ચઢાણ
കയറുന്നു,ચડવું
അഗോലി,અગોલી
സമാഹരണം,એકત્રીકરણ
കൂട്ടം,નો સમૂહ
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","એસેમ્બલીંગ, એસેમ્બલીંગ"
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ"
കൃത്യമായ കണക്കുകൂട്ടൽ,ચોકસાઇ અંદાજ
വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ,ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ
"ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത","સંબંધિત, સહયોગી, જોડાણ"
സ്വരാക്ഷര ശബ്ദം,સ્વર અવાજ
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,સ્વચાલિત મલ્ટિવાઇબ્રેટર
ആസ്തെനിക്,અસ્થેનિક
"വിട്ടുനിൽക്കൽ, astigmatism","ત્યાગ, અસ્પષ્ટતા"
ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്,અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ
ജ്യോതിശാസ്ത്രം,એસ્ટ્રોફિઝિક્સ
ബഹിരാകാശ സഞ്ചാരി,અવકાશયાત્રી
ജ്യോതിശാസ്ത്രജ്ഞൻ,ખગોળશાસ્ત્રી
സ്വർഗ്ഗീയ,આકાશી
ജ്യോതിശാസ്ത്രം,ખગોળશાસ્ત્ર
ജ്യോതിശാസ്ത്രം,એસ્ટ્રોફિઝિક્સ
അസമമായ,અસમપ્રમાણ
അസിംപ്റ്റോട്ടിക്,એસિમ્પટોટિક
വഷളാക്കുന്നു,ઉત્તેજક
അസമന്വിത,અસુમેળ
"അന്തരീക്ഷം, അന്തരീക്ഷം","વાતાવરણ, વાતાવરણ"
അന്തരീക്ഷം,વાતાવરણીય
കാറ്റ് പ്രക്ഷുബ്ധത,પવનની અશાંતિ
ആണവ,પરમાણુ
ആറ്റോമിക,અણુ
ആറ്റോമിസിറ്റി,પરમાણુ
ആണവ പിണ്ഡം,પરમાણુ સમૂહ
ആറ്റോമിക നമ്പർ,અણુ સંખ્યા
"ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ","પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો"
ആറ്റോമിക,અણુ
കണം,કણ
കണം,કણ
ശോഷണം,એટેન્યુએશન
"ശോഷണം, ശോഷണം","હળવું કરવું, હળવું કરવું"
ചാം,વશીકરણ
ആകർഷണ ശക്തി,આકર્ષણનું બળ
ശ്രവണക്ഷമത,શ્રાવ્યતા
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર
കേൾക്കാവുന്ന,સાંભળી શકાય તેવું
ഓഡിയോ ജനറേറ്റർ,ઓડિયો જનરેટર
ഓഡിബിലിറ്റി ഗ്രാഫ്,શ્રાવ્ય ગ્રાફ
കേൾവി ശാസ്ത്രം,સુનાવણી વિજ્ઞાન
ഓഡിയോമീറ്റർ,ઓડિયોમીટર
കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ,શ્રાવ્ય આવર્તન ઓસિલેટર
ശബ്ദ സിഗ്നൽ,ધ્વનિ સંકેત
ദൃശ്യ-ശ്രാവ്യ,દ્રશ્ય-શ્રાવ્ય
"ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം","ઓડિટોરિયમ, ઓડિટોરિયમ"
OZ പ്രഭാവം,ઓઝેડ અસર
പ്രമോഷൻ,પ્રમોશન
എൻഹാൻസർ,વધારનાર
ധ്രുവജ്വാല,ધ્રુવીય જ્યોત
ദക്ഷിണ ധ്രുവജ്വാല,દક્ષિણ ધ્રુવીય જ્યોત
ഉത്തരധ്രുവ ജ്വാല,ઉત્તર ધ્રુવીય જ્યોત
യാന്ത്രിക മുന്നറിയിപ്പ്,આપોઆપ ચેતવણી
ഓട്ടോ പാരലലൈസർ,ઓટો પેરેલલાઈઝર
"ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്","આપોઆપ, આપોઆપ, આપોઆપ"
"ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ","ઓટોમેશન, ઓટોમેશન"
"സഹായി, സഹകരണം, അധിക","સહાયક, સહકારી, વધારાનું"
"അവദവ, അവലാഞ്ചി","અવડાવ, હિમપ્રપાત"
"അർത്ഥം, അർത്ഥം","સરેરાશ, સરેરાશ"
പരിവാരൻ,પરિવાર
അച്ചുതണ്ട്,અક્ષીય
അച്ചുതണ്ട്,ધરી
അസിമുത്ത്,અઝીમથ
അസിമുത്ത്,અઝીમથ
തിരികെ,પાછા
"പശ്ചാത്തലം, പശ്ചാത്തലം","પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ"
"പിന്നോട്ട്, പിന്നോട്ട്","પછાત, પછાત"
ടേൺ എറൗണ്ട്,ટર્નઅરાઉન્ડ
ബാക്ക് വോൾട്ടേജ് പൾസർ,બેક વોલ્ટેજ પલ્સર
പോസ്റ്റ്-റിലേഷൻഷിപ്പ്,સંબંધ પછી
തിരിച്ചടവ്,વળતર
ആന്റി വോൾട്ടേജ്,વિરોધી વોલ્ટેજ
പിൻഭാഗം ചിതറിക്കൽ,પશ્ચાદવર્તી સ્કેટરિંગ
ഇന്റർസ്റ്റീഷ്യൽ വേവ്,ઇન્ટર્સ્ટિશલ તરંગ
ഇൻസുലേറ്റർ,ઇન્સ્યુલેટર
പാരച്യൂട്ട് ജമ്പ്,પેરાશૂટ જમ્પ
ചൂടാക്കൽ,ગરમી
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
ബാലൻസർ,બેલેન્સર
ബാലൻസ്,સંતુલન
ഗോളാകൃതി,ગ્લોબ્યુલ
"ബാലിസ്റ്റിക്, ബാലിസ്റ്റിക്","બેલિસ્ટિક, બેલિસ્ટિક"
"പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ, പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ","પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર"
മിസൈൽ,મિસાઇલ
"ബാലിസ്റ്റിക്സ്, ആയുധം","બેલિસ્ટિક્સ, હથિયાર"
പ്രൊജക്ഷൻ,પ્રક્ષેપણ
സ്വതന്ത്ര പാത,મફત માર્ગ
"ബലൂൺ, ബലൂൺ","બલૂન, બલૂન"
ബാൽമർ നിർത്തലാക്കൽ,બાલ્મર બંધ
"ബാൻഡ്, ബാൻഡ്, ബാൻഡ്","બેન્ડ, બેન્ડ, બેન્ડ"
സ്ഫോടനം,વિસ્ફોટ
"അറേ, ബീം, തീരം, ബാങ്ക്, തീരം","એરે, બીમ, કિનારો, બેંક, કિનારો"
"കോളം, ബാർ, കോബ്, ബ്ലോക്ക്, ബാർ, വടി, ബാർ, 8. മതിൽ, 9. ലൈൻ, 10. എഡ്ജ്, 1 ബ്ലോക്ക്, 1, ബാർ, 1, ലൈൻ, 1, ടെസ്റ്റ് ലൈൻ","કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા"
ബാർഡീൻ തത്വം,બાર્ડીન સિદ્ધાંત
ബാർഖൗസെൻ പ്രഭാവം,barkhausen અસર
ബാർലോ സൈക്കിൾ,બાર્લો ચક્ર
ബാർ കാന്തം,બાર ચુંબક
കളപ്പുര,કોઠાર
വായു മർദ്ദം ഗ്രാഫ്,હવાનું દબાણ ગ્રાફ
"ബാരോഗ്രാഫ്, ബാരോഗ്രാഫ്","બેરોગ્રાફ, બેરોગ્રાફ"
ബാരോമീറ്റർ,બેરોમીટર
അന്തരീക്ഷമർദ്ദം,વાતાવરણ નુ દબાણ
"കോസ്മോസ്, ബാരോമോസ്ഫിയർ","કોસ્મોસ, બેરોમોસ્ફિયર"
പെൻഡുലം പെൻഡുലം,લોલક લોલક
"തടസ്സം, ആണവ, ആണവ തടസ്സം","અવરોધ, પરમાણુ, પરમાણુ અવરોધ"
തടസ്സം നില,અવરોધ સ્તર
ബാരിയോൺ,બેરિયન
ഗുരുമണ്ഡലം,ગુરુમંડળ
അടിസ്ഥാന ബാൻഡ്,આધાર બેન્ડ
"അടിസ്ഥാന, അടിസ്ഥാന, ക്ഷാര","મૂળભૂત, મૂળભૂત, આલ્કલાઇન"
അടിസ്ഥാനം,પાયો
"എണ്ണൽ, ടീം രൂപീകരണം","ગણતરી, ટીમ રચના"
"ജലസംഭരണി, ജലസംഭരണി, ഹീറ്റർ, ചൂടാക്കൽ പാത്രം, കുളി","કુંડ, કુંડ, હીટર, હીટિંગ પોટ, સ્નાન"
ബാറ്ററി,બેટરી
"അറേ സെഗ്മെന്റ്, ചേമ്പർ, ബേ","એરે સેગમેન્ટ, ચેમ્બર, ખાડી"
പ്രദർശനം,પ્રદર્શન
കിബാൻ,કિબાન
"മാണിക, ബീഡ്","મણિકા, બીડ"
"ബീം, ബീം, ബീം, ട്രംപ്","બીમ, બીમ, બીમ, ટ્રમ્પ"
"ഡിക്മാൻ, ഡിക്കൺ","ડિકમેન, ડિકોન"
"ഡോൾ, വിസ്പൻഡ്","ડોલ, વિસ્પંડ"
ബെക്വറൽ പ്രഭാവം,બેકરેલ અસર
മണി ഭരണി,ઘંટડી બરણી
തുരുത്തി,બેલો
മണി ക്ലോക്ക്,ઘંટડી ઘડિયાળ
"വേദിക, ബെഞ്ച്","વેદિકા, બેંચ"
"മോഡ്, ബങ്ക് (എഡി.), ബെൻഡ് (വി.)","મોડ, બંક (સં.), વળાંક (v.)"
ബാങ്കൻ,બેંકન
"വളഞ്ഞു, വളഞ്ഞു","વળેલું, વળેલું"
ബെർണൂലി-സമവാക്യം,બર્નોલી-સમીકરણ
അടിസ്ഥാന-പ്രവർത്തനം,મૂળભૂત કાર્ય
മികച്ച അഡീഷൻ,શ્રેષ્ઠ સંલગ્નતા
ബീറ്റ (ബി),બીટા (b)
ബീറ്റാട്രോൺ,betatron
bethe മോഡൽ,bethe મોડેલ
bivatron,બાયવેટ્રોન
BH കർവ്,BH વળાંક
ദ്വികോണാകൃതിയിലുള്ള,દ્વિકોણીય
"പക്ഷപാതം, പക്ഷപാതം","પૂર્વગ્રહ, પૂર્વગ્રહ"
ദ്വി-അക്ഷാംശം,દ્વિ-અક્ષીય
ബിക്രോമേറ്റ് സെൽ,બાઈક્રોમેટ કોષ
അഭ്യവതാൽ,અભ્યવતલ
ഇരട്ട ആന്റിന,ડબલ એન્ટેના
ബൈകോൺവെക്സ്,બાયકોન્વેક્સ
"ബൈ-ക്രിസ്റ്റൽ, ഡ്യുവൽ-ക്രിസ്റ്റൽ","દ્વિ-સ્ફટિક, દ્વિ-સ્ફટિક"
ദ്വിദിശ മൈക്രോഫോൺ,દ્વિદિશ માઇક્રોફોન
ദ്വിപദ മാതൃക,દ્વિપદી મોડેલ
ഡയീഷ്യസ്,એકલિંગાશ્રયી
ഉഭയകക്ഷി,દ્વિપક્ષીય
ബൈലിനയർ,દ્વિરેખીય
ദ്വിതന്മാത്ര,બાયમોલેક્યુલર
"ദ്വി-വേരിയബിൾ, ബൈ-ബേസ്, ഡ്യുവൽ","દ્વિ-ચલ, દ્વિ-આધાર, દ્વિ"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","બાઈનરી કોડ, બાઈનરી કોડ"
കളി താരം,રમત સ્ટાર
ബൈനറി രീതി,દ્વિસંગી પદ્ધતિ
ദ്വിമുഖം,બે બાજુવાળા
ബോണ്ട്,બોન્ડ
"ബൈനോക്കുലർ, ബൈനോക്കുലർ","બાયનોક્યુલર, બાયનોક્યુલર"
ബൈനറി,દ્વિસંગી
ദ്വിപദ വിതരണം,દ્વિપદી વિતરણ
