English,Assamese
angular velocity,কৌণিক বেগ
annulus,ৰিং ফিংগাৰ
answer,উত্তৰদিশ
anti – derivative,কাউণ্টাৰ ডেৰাইভেটিভ
antisymmetric function,সমমিতি ফলন
applicable,"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য"
application,আবেদন আবেদন
applied dynamic programming,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
applied geometry,প্ৰয়োগ কৰা জ্যামিতি
applied mathematics,প্ৰয়োগ কৰা গণিত
applied statistics,প্ৰয়োগ কৰা পৰিসংখ্যা
approximately,"আনুমানিক, আনুমানিক"
approximately continuous function,প্ৰায় অবিৰত ফলন
approximate method,"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি"
approximate solution,আনুমানিক সমাধান
approximation problem,আনুমানিক সমস্যা
approximation property,আনুমানিক বৈশিষ্ট্য
aptitude test battery,যোগ্যতা পৰীক্ষা
Argand diagram,আৰ্গন ডায়েগ্ৰাম
arbitrarily chosen,স্বেচ্ছামূলক
arbitrary,"random, যাদৃচ্ছিক"
arbitrary constant,ইচ্ছাকৃত ধ্ৰুৱক
arbitrary element,মুক্ত মৌল
arbitrary point,ইচ্ছাকৃত বিন্দু
Archemedean law,আৰ্কিমিডিছৰ নিয়ম
Archimedes principle,আৰ্কিমিডিছৰ নিয়ম
arc length,"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য"
arc of circle,বৃত্ত চাপ
arc sine distribution,বিপৰীত চাইন বিতৰণ
arc sine transformation,বিপৰীত চাইন ৰূপান্তৰ
area,"এলেকা, এলেকা"
areal texture,আঞ্চলিক সংৰূপ
argument of complex number,এটা জটিল সংখ্যাৰ কোণ
arithmetic mean,গাণিতিক গড়
arithmetic operation,ডিজিটেল অপাৰেচন
arithmetic unit,ডিজিটেল ইউনিট
arrangement,"কনফিগাৰেচন, ব্যৱস্থা"
array,"এৰে, এৰে"
artificial satellite,কৃত্ৰিম উপগ্ৰহ
artificial variable,কৃত্ৰিম চলক
ascend,বগাবলৈ
ascending,আৰোহী
ascending order of magnitude,মাত্ৰাৰ আৰোহী ক্ৰম
ascending series,আৰোহী গ্ৰেড
assembler language,এছেম্বলাৰ ভাষা
assignment problem,নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন
associative law,সহযোগী নিয়ম
associative law of operators,অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম
associative operation,এছ&#39;চিয়েটিভ অপাৰেচন
associativity,সংগীত্ব
assumed mean,ধৰি লোৱা গড়
assumed probability distribution,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
assumption,"কল্পনা কৰা, স্বীকাৰ কৰা"
astrology,জ্যোতিষ বিজ্ঞান
astronautical engineer,মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা
astronomer,জ্যোতিৰ্বিজ্ঞানী*
astronomical clock,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
astronomy,জ্যোতিৰ্বিজ্ঞান
asymmetrical curve,অসমতাপূৰ্ণ বক্ৰ
asymmetry,বিষমতা
asymptote,এছিম্পটটিক
asymptotic,গুৰুতৰ কৰি তোলা
asymptotically efficient estimator,প্ৰগতিশীল অনুমানক
asymptotically unbiased estimator,ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক
asymptotic behavior,ৰেট্ৰ&#39;গ্ৰেড আচৰণ
asymptotic distribution function,আক্ৰমণাত্মক বিতৰণ ফলন
asymptotic expansion,ওপৰলৈ বিয়পি পৰা
atmospheric pressure,বায়ুমণ্ডলীয় চাপ
at random,যাদৃচ্ছিকভাৱে
attribute,গুণ*
attributes sampling procedure,বৈশিষ্ট্য-নমুনা-ব্যৱস্থা
augmented matrix,বৰ্ধিত মেট্ৰিক্স
autocorrelation coefficient,স্ব-সম্বন্ধ সহগ
autocorrelation function,স্বয়ংসম্বন্ধ কাৰ্য্য
autocovariance,সহাৱস্থান
automatic computer,স্বয়ংক্ৰিয় কম্পিউটাৰ
autoregression,অটোৰিগ্ৰেছন
auxiliary equation,সহায়ক সমীকৰণ
average sample number curve (A.S.N. Curve),গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ)
axiom,"স্বতন্ত্ৰ, স্বতন্ত্ৰ"
axiomatic approach,স্বতন্ত্ৰ পদ্ধতি
axiom of probability,সম্ভাৱনা স্বতন্ত্ৰতা
axis,অক্ষ
axis of abscissa,ভূজাক্ষ
axis of earth,পৃথিৱীৰ অক্ষ
axis of revolution,ঘূৰ্ণন অক্ষ
axis of rotation,ঘূৰ্ণন অক্ষ
axis of spin,স্পিন অক্ষ
back-substitution,পোষ্ট সলনি কৰা
backward difference,পাছত
backward-interpolation formula,পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ
balance,"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
balanced design,সুষম ডিজাইন
balance sheet,বেলেন্স শ্বীট
ballistic missile,মিছাইল
ballistics,"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
bar,"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত"
base,"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
base angle,ভিত্তি কোণ
base of logarithm,"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি"
basic,"মূল, মৌলিক"
basic feasible solution,ভিত্তি সুসংহত সমাধান
basic solution,ভিত্তি দ্ৰৱণ
basic variable,ভিত্তি চলক
basis,ভেঁটি
basis element,ভিত্তি উপাদান
basis matrix,ভিত্তি মেট্ৰিক্স
basis of a vector space,ভেক্টৰ স্থানৰ ভিত্তি
basis of subspace,উপজনসংখ্যাৰ ভিত্তিত
Bayesian estimate,অসাধু
Bayes' law,bez-নিয়ম
Bayes' theorem,bez- উপপাদ্য
Bernoulli distribution,bernoulli-বিতৰণ
Bernoulli number,বাৰ্নৌলিৰ সংখ্যা
Bernoulli probability function,বাৰ্নৌলি সম্ভাৱনা ফলন
Bernoulli's equation,বাৰ্নৌলি-সমীকৰণ
Berry function,জামুৰ কাৰ্য্য
best fit,শ্ৰেষ্ঠ আঠাযুক্ততা
best - fit line,শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা
best solution,উত্তম সমাধান
best strategies,শ্ৰেষ্ঠ টিপছ
beta distribution,বিটা বিতৰণ
bias,"bias, পক্ষপাতিত্ব"
biased estimate,পক্ষপাতমূলক মূল্যায়ন
biharmonic equation,দ্বিপদ সমীকৰণ
bijection,একক কভাৰ
bijective map,একক কভাৰ মেপ
bijective mapping,একক কভাৰ মেপিং
bilinear form,দ্বিঘাত দ্বিঘাত
bilinear function,দ্বিৰৈখিক ফলন
bilinear Hermitian form,দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা
binary,"দ্বি-চলক, বাইনাৰী, দ্বৈত"
binary code,"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
binary coded decimal,"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক"
binary coding,বাইনাৰী এনকোডিং
binary computer,বাইনাৰী কম্পিউটাৰ
binary digit,বাইনাৰী সংখ্যা
binary operation,বাইনাৰী অপাৰেচন
binary system,বাইনাৰী পদ্ধতি
binary variable,বাইনাৰী চলক
binomial coefficient,দ্বিপদ সহগ
binomial distribution,দ্বিপদ বিতৰণ
binomial equation,দ্বিপদ সমীকৰণ
binomial expansion,দ্বিপদ ভ্যাৰিয়েন্স
binomial expression,দ্বিপদ অভিব্যক্তি
binomial random variable,দ্বিপদ ৰেণ্ডম চলক
binomial theorem,দ্বিপদ উপপাদ্য
bisection,"আধা, bifurcation"
bisection method,"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি"
bisector,হাফ বাইছেক্টৰ
biserial,"দ্বিপদ, দ্বৈত"
bit,"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক"
bivariate binomial distribution,দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ
bivariate correlation coefficient,দ্বিচলকীয় সম্পৰ্ক সহগ
bivariate distribution,দ্বিচলকীয় বিতৰণ
bivariate normal distribution,দ্বিচলকীয় স্বাভাৱিক-বিতৰণ
bivector,বাইভেক্টৰ
Boltzmann equation,বোল্টমেন সমীকৰণ
Boolean algebra,বুলিয়ান বীজগণিত*
Bose - Einstein statistics,বস-আইনষ্টাইন পৰিসংখ্যা
boundary condition,সীমাবদ্ধতা নিষেধাজ্ঞা
boundary layer,সীমা স্তৰ
boundary line,সীমাৰেখা
boundary value,সীমা মূল্য
boundary value problem,সীমা মূল্যৰ সমস্যা
bounded function,সীমাবদ্ধ ফলন সীমাবদ্ধ ফল
bounded matrix,"সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল"
bounded region,সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড
bounded set,সীমাবদ্ধ ছেট সীমাবদ্ধ গোট
Brownian motion,ব্ৰাউনি গতি
calculate,গণনা কৰা
calculating,গণনা কৰা
calculating machine,"কেলকুলেটৰ, কেলকুলেটৰ"
calculation,গণনা*
calculational procedure,গণনামূলক ক্ৰিয়া পদ্ধতি
calculator,"কেলকুলেটৰ, কেলকুলেটৰ"
calculus,"কেলকুলাছ, কেলকুলাছ"
calculus of variation,ভ্যাৰিয়েন্স কেলকুলাছ
calorie,কেলৰি
cancellation law,বাতিল নিয়ম
canonical equation,কেননিক সমীকৰণ
canonical form,কেননিক ৰূপ
canonical matrix,"কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স"
Cantor set,কেন্টৰ ছেট
Cantor's ternary set,cantor ত্ৰিকোণীয় ছেট
capacitated transportation problem,বাধ্যতামূলক পৰিবহণ সমস্যা
capacity,সক্ষমতা
capillary force,কেপিলাৰী বল
cardinal number,"গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা"
Cartesian axes,কাৰ্টেচিয়ান অক্ষ
Cartesian coordinates,কাৰ্টেছিয়ান স্থানাংক
Cartesian product,কাৰ্টেছিয়ান উৎপাদন
Cartesian product of sets,সমষ্টিৰ কাৰ্টেছিয়ান গুণন
case study,"কেছ ষ্টডি, কেছ ষ্টডি"
catastrophic fluctuation,দুৰ্যোগপূৰ্ণ ভাষণ
Catenary,catinary
Cauchy distribution,কাউচি বিতৰণ
Cauchy formula,কৌশীৰ সূত্ৰ
Cauchy Goursat theorem,কৌশী-গুৰ্ষ-উপাপাদ্য
Cauchy Riemann conditions,কৌছি-ৰাইমান-বান
Cauchy sequence,ক&#39;চি ক্ৰম
Cauchy integral,কৌশি অবিচ্ছেদ্য
Cauchy principal value,কৌশী মূল-মূল্য
Cauchy residue theorem,ক’চি ৰেমেইণ্ডাৰ উপপাদ্য
Cayley Hamilton theorem,কেলে-হেমিল্টন-উপাপাদ্য
celestial body,আকাশী দেহ
celestial measurement,জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ
celestial mechanics,আকাশী যান্ত্ৰিকতা
celestial object,আকাশী দেহ
cell frequency,কোষ কম্পাঙ্ক
census,"লোকপিয়ল, লোকপিয়ল"
centile,শতাংশ
centimeter,চেন্টিমিটাৰ
centimeter gram second system,চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি
central,"কেন্দ্ৰীয়, সমকেন্দ্ৰিক"
central axis,কেন্দ্ৰীয় অক্ষ
central difference,কেন্দ্ৰীয় ব্যৱধান
central difference formula,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
central difference table,কেন্দ্ৰীয় অৱভেদ্য টেবুল
central limit theorem,কেন্দ্ৰীয় সীমা উপপাদ্য
central moment,কেন্দ্ৰীয় মুহূৰ্ত
central processing unit (C.P.U),কেন্দ্ৰীয় সম্পদ একক
central tendency,কেন্দ্ৰীয় প্ৰবৃত্তি
centre,কেন্দ্ৰ*
centre of gravity,মাধ্যাকৰ্ষণ কেন্দ্ৰ
centre of group,গ্ৰুপ চেণ্টাৰ
centre of mass,ভৰ কেন্দ্ৰ
centre of symmetry,প্ৰতিসমতাৰ কেন্দ্ৰ
centrifugal force,কেন্দ্ৰপৃথক বল
centripetal force,কেন্দ্ৰিক বল
centroid,কেন্দ্ৰিক মেৰিডিয়ান
certainty,নিশ্চয়তা
c.g.s. system,cgs পদ্ধতি
c.g.s. unit,cgs ইউনিট
chain rule of differentiation,পাৰ্থক্যৰ শৃংখল নিয়ম
chance causes,কেনেবাকৈ
chance moves,random move
change of axes,অক্ষৰ স্থানান্তৰ
change of basis,ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন
change of order,ক্ৰমবিন্যাস
characteristic coefficient,বৈশিষ্ট্য সহগ
determinant,বৈশিষ্ট্য নিৰ্ণায়ক
characteristic equation,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
characteristic function,"বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য"
characteristic of logarithm,লগাৰিদমৰ পূৰ্ণসংখ্যা
characteristic polynomial,বৈশিষ্ট্যপূৰ্ণ বহুপদ
characteristic value,বৈশিষ্ট্যপূৰ্ণ মূল্য
characteristic vector,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
character set,চৰিত্ৰ সম্প্ৰদায়
chart,"লেখচিত্ৰ, লেখচিত্ৰ"
chi-square distribution,কাই-স্কেয়াৰ বিতৰণ
chi-square formula,কাই-বৰ্গ সূত্ৰ
chi-square test,কাই-স্কেয়াৰ পৰীক্ষা
chord,কৰ্ড*
chord-bisection method,কৰ্ড বিভাজন পদ্ধতি
cipher message (=coded message),লিখিত বাৰ্তা
cipher (zero),"শূন্য, চাইফাৰ"
circle,বৃত্ত*
circle of convergence,অভিসৰণ বৃত্ত
circuit matrix,বৰ্তনী মেট্ৰিক্স
circular,"বৃত্তাকাৰ, বৃত্তাকাৰ"
circular asymptote,বৃত্তৰ asymptoes
circular helix,বৃত্তাকাৰ কণ্ডুলাইন
circular motion,বৃত্তাকাৰ গতি
circumcentre,circumcentre
circumcircle,অৱসৰপ্ৰাপ্ত*
circumscribe,"প্ৰদক্ষিণ কৰা, চাৰিওফালে আঁকিব পৰা"
circumscribed,অতীত
circumscribed circle,পৰিসীমাবদ্ধ
classical deductive technique,বিশিষ্ট কৰ্পৰেট
classical dynamics,ক্লাসিক গতিশীলতা
classical optimization,ক্লাসিক অপ্টিমাইজেচন
classical ruin problem,দীৰ্ঘদিনীয়া বিত্তীয় সমস্যা
classical statistical mechanics,ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান
classification of errors,ভুলৰ শ্ৰেণীবিভাজন
class interval,শ্ৰেণীৰ ব্যৱধান
class-interval unit,শ্ৰেণী ব্যৱধান একক
class limit,শ্ৰেণী সীমা
clockwise,ঘড়ীৰ কাঁটাৰ দিশত
clopen (= closed and open),বন্ধ কৰা হৈছে
closed,"বন্ধ, বন্ধ"
closed convex hull,বন্ধ স্তৰৰ আৱৰণ
closed cube,বন্ধ ঘনক
closed curve,"বন্ধ বক্ৰ, বন্ধ বক্ৰ"
closed domain,বন্ধ প্ৰদেশ
closed figure,বন্ধ আকৃতি
closed interval,বন্ধ ব্যৱধান
closed region,"বন্ধ অঞ্চল, বন্ধ অঞ্চল"
closed set,বন্ধ চেট
closed surface,"বন্ধ পৃষ্ঠা, বন্ধ পৃষ্ঠা"
closure,নিলমান
closure operator,pronator
closure point (= contact point),উত্তল বিন্দু
closure postulate,বন্দী-গ্ৰহণ কৰা
closure set,বন্দী ছেট
cluster point,ক্লাষ্টাৰ পইণ্ট
cluster sampling,ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা
cluster set,ক্লাষ্টাৰ এগ্ৰিগেট
coaxial circles,সমাক্ষীয় বৃত্ত
coaxial parabolas,সমাক্ষীয় প্যাৰাবোলা
coaxial planes,সমাক্ষীয় সমতল
coaxial triangles,সমাক্ষীয় ত্ৰিভুজ
Cobb - Douglas function,কব-ডাগলাছ ফাংচন
coding,"এনকোডিং, ক&#39;ডিং, সংকেত"
coding of data,উপাদান সংকেত
co-domain,সহ-প্ৰদেশ
coefficient matrix,সহগ মেট্ৰিক্স
coefficient of correlation,সম্পৰ্ক সহগ
coefficient of determination,নিৰ্ণয় সহগ
coefficient of elasticity,ইলাষ্টিক সহগ
coefficient of expansion,প্ৰসাৰণ সহগ
coefficient of friction,ঘৰ্ষণ সহগ
coefficient of linear expansion,দীৰ্ঘায়িত প্ৰসাৰণৰ সহগ
coefficient of regression,ৰিগ্ৰেছন সহগ
coefficient of surface tension,পৃষ্ঠীয় টানৰ সহগ
coefficient of variation,ভ্যাৰিয়েন্স সহগ
cofactor,"সহ-কাৰক, সহ-কাৰক, সহ-কাৰক"
coin throw (coin toss),মুদ্ৰা টছ
collection of sample,নমুনা সংগ্ৰহ কৰা
collinear,collinear
collinearity,প্ৰান্তিককৰণ
column,"স্তম্ভ, স্তম্ভ"
column equivalence,স্তম্ভৰ ৰূপ
column equivalent,স্তম্ভৰ দৰে
column equivalent matrix,স্তম্ভৰ মেট্ৰিক্স
column matrix,স্তম্ভ মেট্ৰিক্স
column rank,স্তম্ভৰ ক্ৰম
column reduced echolon matrix,স্তম্ভৰ স্তৰভিত্তিক মেট্ৰিক্স
column vector,স্তম্ভ ভেক্টৰ
columnwise,স্তম্ভ অনুসৰি
combined equation,যৌথ সমীকৰণ
common angle,"সাধাৰণ কোণ, সাধাৰণ কোণ"
common axis,সাধাৰণ অক্ষ
common base,"সাধাৰণ ভিত্তি, সাধাৰণ ভিত্তি"
common denominator,সাৰ্বজনীন
common difference,সাধাৰণ পাৰ্থক্য
common factor,"সাধাৰণ কাৰক, সাধাৰণ কাৰক, সাধাৰণ কাৰক"
common logarithm,"সহজ লগাৰিদম, সৰল লগাৰিদম"
common multiple,"সাধাৰণ বহুগুণ, সাধাৰণ"
common ratio,সাধাৰণ অনুপাত
common section,ছেদক দফা
common side,সাধাৰণ বাহু
common tangent,"সাধাৰণ স্পৰ্শক, সাধাৰণ স্পৰ্শক"
common term,সাধাৰণ অৱস্থান
commutative law,কমিউটেটিভ নিয়ম
commutative property,পৰিৱৰ্তনশীল বৈশিষ্ট্য
commutative rule,কমিউটেটিভ নিয়ম
commutative law of addition,যোগফলৰ বিনিময়মূলক নিয়ম
commutative law of multiplication,গুণনৰ বিনিময়মূলক নিয়ম
commutative operation,কমিউটেটিভ অপাৰেচন
commutator group,কমিউটেটিভ গ্ৰুপ
commuting of matrices,মেট্ৰিক্সৰ কমিউটেটিভ
compact set,কম্পেক্ট চেট
comparability,"তুলনামূলকতা, তুলনাযোগ্যতা"
comparision of means,মাধ্যমৰ তুলনা
comparision of percentage,শতাংশ তুলনা কৰা
comparision test,তুলনামূলক পৰীক্ষা
compatibility equation,সুসংহত সমীকৰণ
competitive game,প্ৰতিযোগিতামূলক খেল
competitive situation,প্ৰতিযোগিতামূলক অৱস্থান
competitive strategy,প্ৰতিযোগিতামূলক কৌশল
compiler,"দোভাষী, কম্পাইলাৰ"
complementary,পৰিপূৰক
complementary angle,পৰিপূৰক কোণ
complementary event पूरक घटना,পৰিপূৰক পৰিঘটনা
complementary factor,পৰিপূৰক কাৰক
complementary function,পৰিপূৰক ফলন
complementary half space,পৰিপূৰক আধা জনসংখ্যা
complementary interval,পৰিপূৰক ব্যৱধান
complementary set,পৰিপূৰক গোট
complementation,"পৰিপূৰকতা, পৰিপূৰকতা"
complement of a set,পৰিপূৰক গোট
complete census,নিখুঁত স্ক&#39;ৰ
complete correlation matrix,সম্পূৰ্ণ সম্পৰ্কীয় মেট্ৰিক্স
complete metric space,সম্পূৰ্ণ পৰিসৰৰ জনসংখ্যা
complete orthonormal set,নিখুঁত স্বাভাৱিক অৰ্থগ&#39;নেল ছেট
complete quadrangle,নিখুঁত চতুৰ্ভুজ
complete quotient,নিখুঁত ভাগফল
complete set,সম্পূৰ্ণ ছেট
complete solution,সম্পূৰ্ণ সমাধান
completely randomised design,সম্পূৰ্ণৰূপে ৰেণ্ডম ডিজাইন
complex argument,জটিল স্বাধীন চলক
complex conjugate,জটিল সংযুক্ত
complex differentiation,জটিল ডিফাৰেন্সিয়েল
complex function,জটিল ফলন
complex integration,জটিল সংহতি
complex matrices,জটিল মেট্ৰিক্স
complex number,জটিল সংখ্যা
complex number field,জটিল সংখ্যাৰ ক্ষেত্ৰ
complex orthogonal matrix,জটিল উলম্ব মেট্ৰিক্স
complex plane,কম্পোজিট প্লেন
complex quantity,জটিল যোগফল
complex reciprocal,জটিল বিপৰীতমুখী
complex resultant,সংমিশ্ৰিত ফলাফল
complex space,জটিল জনসংখ্যা
complex valued function,কম্পোজিট ফাংচন
complex variable,জটিল চলক
componendo and divindendo,যোগফল অনুপাত
component,"উপাদান, সম্পৰ্কীয় উপাদান"
component analysis,উপাদান বিশ্লেষণ
component of variance,ভ্যাৰিয়েন্স ফ্যাক্টৰ
component of vector,ভেক্টৰ উপাদান
composite function,কম্পোজিট ফাংচন
composite hypothesis,যৌথ দৃষ্টিশক্তি
composite number,সংমিশ্ৰিত সংখ্যা
composite series,সংযুক্ত শ্ৰেণী
composition of vectors,ভেক্টৰ সংমিশ্ৰণ
compound angle,মিশ্ৰিত কোণ
compound division,মিশ্ৰণ অংশ
compound fraction,মিশ্ৰিত ভগ্নাংশ
compound interest,যৌগিক আগ্ৰহ
compound probability,মিশ্ৰিত সম্ভাৱনা
compressible flow,সংকোচনশীল প্ৰবাহ
compression,সংকোচন
computation,গণনা
computational formula,গণনামূলক সূত্ৰ
computed value,গণনা কৰা মান
computer,"কম্পিউটাৰ, কম্পিউটাৰ (মেচিন), কম্পিউটাৰ (ব্যক্তি)"
computer algorithm,গণনা কৰা এলগৰিদম
computer programme,কম্পিউটাৰ প্ৰগ্ৰেম
computer programming,কম্পিউটাৰ প্ৰগ্ৰেমিং
computer simulation,কম্পিউটাৰ চিমুলেচন
computing,গণনা
concave function,অভিমুখী কাৰ্য্য
concave polygon,অৱতল বহুভুজ
