Telugu,Tamil
అలియాస్,மாற்றுப்பெயர்
ఆరోపణ,குற்றச்சாட்டு
విధేయత,விசுவாசம்
కూటమి,கூட்டணி
అనుబంధ సేవలు,தொடர்புடைய சேவைகள்
అన్ని కలుపుకొని ఖర్చు,அனைத்து உள்ளடக்கிய செலவு
ఆల్ ఇండియా సర్వీసెస్,அகில இந்திய சேவைகள்
కేటాయింపు,ஒதுக்கீடு
కేటాయింపు,ஒதுக்கீடு
కేటాయింపు లేఖ,ஒதுக்கீட்டு கடிதம்
కేటాయింపు,ஒதுக்கீடு
అనుమతించదగినది,அனுமதிக்கக்கூடியது
అనుమతించదగిన ఖర్చులు,அனுமதிக்கக்கூடிய செலவுகள்
అప్పీల్‌ను అనుమతించండి,மேல்முறையீட்டை அனுமதிக்கவும்
భత్యం,கொடுப்பனவு
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை
అక్షర క్రమం,அகரவரிசை வரிசை
వాగ్వాదం,வாக்குவாதம்
ప్రత్యామ్నాయ,மாற்று
ప్రత్యామ్నాయం,மாற்று
సమ్మేళనం,ஒருங்கிணைப்பு
సవరించిన చిత్తుప్రతి,திருத்தப்பட்ட வரைவு
సవరణ,திருத்தம்
సౌకర్యం,வசதி
స్నేహపూర్వక,இணக்கமான
మందుగుండు సామగ్రి,வெடிமருந்து
రుణ రుణమాఫీ,கடனின் கடன்தொகை
మొత్తం,தொகை
పెన్షన్ మొత్తం,ஓய்வூதியத்தின் அளவு
సారూప్య పోస్ట్,ஒப்பீட்டு இடுகை
విశ్లేషణ,பகுப்பாய்வு
విశ్లేషణాత్మక అధ్యయనం,பகுப்பாய்வு ஆய்வு
పూర్వీకుడు,மூதாதையர்
సహాయక పరిశ్రమ,துணை தொழில்
శత్రుత్వం,பகை
అనుబంధం,இணைப்பு
వార్షికోత్సవం,ஆண்டு
ప్రకటన,அறிவிப்பு
కోపం,எரிச்சல்
వార్షిక ఆర్థిక ప్రకటన,ஆண்டு நிதி அறிக்கை
వార్షిక నివేదిక,ஆண்டு அறிக்கை
యాన్యుటీ,ஆண்டு
అనామక,அநாமதேய
అనామక ఫిర్యాదు,அநாமதேய புகார்
జవాబుదారీతనం,பதில்
జవాబు పత్రం,விடைத்தாள்
విరోధి,எதிரி
పూర్వజన్మలు,முன்னோடிகள்
Bean హించిన ఖర్చు,எதிர்பார்க்கப்பட்ட செலவு
Ntic హించిన ఆదాయం,எதிர்பார்க்கப்பட்ட வருமானம்
Ntic హించడం,எதிர்பார்ப்பு
ముందస్తు బెయిల్,எதிர்பார்ப்பு ஜாமீன்
అవినీతి నిరోధక కొలత,ஊழல் எதிர்ப்பு நடவடிக்கை
యాంటీ డంపింగ్,டம்பிங் எதிர்ப்பு
పురాతన,பழங்கால
వర్ణవివక్ష,நிறவெறி
ఉదాసీనత,அக்கறையின்மை
అపెక్స్ బాడీ,உச்ச உடல்
క్షమాపణ,மன்னிப்பு
అప్పీల్,மேல்முறையீடு
స్వరూపం,தோற்றம்
సంతృప్తి,திருப்தி
అప్పీలేట్ ట్రిబ్యునల్,மேல்முறையீட்டு தீர்ப்பாயம்
అపెండిక్స్,பின் இணைப்பு
ఉపకరణం,சாதனம்
వర్తిస్తుంది,பொருந்தும்
దరఖాస్తుదారు,விண்ணப்பதாரர்
అప్లికేషన్,விண்ணப்பம்
దరఖాస్తు ఫారం,விண்ணப்ப படிவம்
అనువర్తిత,பயன்படுத்தப்பட்டது
వర్తించండి,விண்ணப்பிக்கவும்
నియామకం,நியமிக்கப்பட்டவர்
నియమించే అధికారాన్ని,அதிகாரத்தை நியமித்தல்
నియామకం,நியமனம்
నియామక పత్రం,நியமனம் கடிதம்
నియామకాల కమిటీ క్యాబినెట్,அமைச்சரவையின் நியமனங்கள் குழு
వేతనాల విభజన,ஊதியப் பகிர்வு
అంచనా,மதிப்பீடு
మదింపుదారు,மதிப்பீட்டாளர்
ప్రశంసతో,பாராட்டு
దిగులు,அச்சம்
అప్రెంటిస్,பயிற்சி
విధానం,அணுகுமுறை
తగినది,பொருத்தமானது
తగిన చర్య,பொருத்தமான நடவடிக்கை
తగిన తల,பொருத்தமான தலை
కేటాయింపు,ஒதுக்கீடு
ఆమోదం,ஒப்புதல்
సుమారు,தோராயமான
ఆప్టిట్యూడ్ పరీక్ష,ஆப்டிட்யூட் சோதனை
ఏకపక్ష,தன்னிச்சையானது
మధ్యవర్తిత్వం,நடுவர்
మధ్యవర్తిత్వ,நடுவர்
మధ్యవర్తిత్వ ట్రిబ్యునల్,நடுவர் தீர்ப்பாயம்
మధ్యవర్తి,நடுவர்
వాస్తుశిల్పం,கட்டிடக்கலை
ఆర్కైవ్స్,காப்பகங்கள்
ప్రాంతం,பகுதி
ఏరియా ప్రధాన కార్యాలయం,பகுதி தலைமையகம்
వాదన,வாதம்
తలెత్తండి,எழும்
సాయుధ దళాలు,ஆயுத படைகள்
అమరిక,ஏற்பாடு
బకాయి,நிலுவைத் தொகை
రాక ప్రకటన,நிலுவைத் அறிக்கை
రాక నివేదిక,வருகை அறிக்கை
అహంకారం,ஆணவம்
ఆర్సెనల్,அர்செனல்
వ్యాసం,கட்டுரை
అసోసియేషన్ వ్యాసాలు,சங்கத்தின் கட்டுரைகள்
వ్యాసాలు,கட்டுரைகள்
ఆరోహణ క్రమం,ஏறுவரிசை ஒழுங்கு
నిర్ధారించడం,தெரிந்து கொள்ளுங்கள்
ఎక్కడ ఉందో,எங்கே இருக்கிறது
కారక,அம்சம்
ఆస్పర్షన్,ஆவேசம்
హత్య,படுகொலை
దాడి,தாக்குதல்
సమీకరించటం,ஒன்றுகூடு
అసెంబ్లీ,சட்டசபை
అస్సెంట్,ஒப்புதல்
నొక్కి చెప్పండి,உறுதிப்படுத்தவும்
మదింపుదారుడు,மதிப்பீட்டாளர்
అంచనా,மதிப்பீடு
అసెస్‌మెంట్ ఇయర్,மதிப்பீட்டு ஆண்டு
మదింపుదారు,மதிப்பீட்டாளர்
ఆస్తులు,சொத்துக்கள்
కేటాయించిన,ஒதுக்கப்பட்டவர்
అసైన్‌మెంట్,ஒதுக்கீடு
అసైనర్,ஒதுக்குபவர்
సహాయం,உதவி
అసోసియేట్,இணை
అసోసియేషన్,தொடர்பு
ఛార్జ్ యొక్క umption హ,கட்டணம் அனுமானம்
హామీ,உத்தரவாதம்
అస్యూరెన్స్ కంపెనీ,உத்தரவாத நிறுவனம்
భరోసా,உறுதி
డిస్కౌంట్ వద్ద,தள்ளுபடியில்
అణు శక్తి,அணு சக்தி
పార్ వద్ద,சமமாக
ప్రీమియం వద్ద,பிரீமியத்தில்
అటాచ్,இணைக்கவும்
జతచేయబడిన కార్యాలయం,இணைக்கப்பட்ட அலுவலகம்
అటాచ్మెంట్,இணைப்பு
అటాచ్మెంట్ ఆర్డర్,இணைப்பு வரிசை
సాధించడం,அடைதல்
ప్రయత్నం,முயற்சி
హాజరు,வருகை
హాజరు రిజిస్టర్,வருகை பதிவு
హాజరు స్లిప్,வருகை சீட்டு
శ్రద్ధ,கவனம்
ధృవీకరణ,சான்றளித்தல்
ధృవీకరించబడిన కాపీ,சான்றளிக்கப்பட்ட நகல்
వైఖరి,அணுகுமுறை
ఆకర్షణీయమైన జీతం,கவர்ச்சிகரமான சம்பளம்
వేలం,ஏலம்
వేలంపాట,ஏலதாரர்
వేలం అమ్మకం,ஏல விற்பனை
ప్రేక్షకులు,பார்வையாளர்கள்
ఆడియో-విజువల్ డిస్ప్లే,ஆடியோ-காட்சி காட்சி
ఆడియో-విజువల్ పబ్లిసిటీ,ஆடியோ காட்சி விளம்பரம்
ఆడిట్,தணிக்கை
ఆడిట్ చేసిన ఖాతాలు,தணிக்கை செய்யப்பட்ட கணக்குகள்
ఆడిట్ చేసిన బ్యాలెన్స్ షీట్,தணிக்கை செய்யப்பட்ட இருப்புநிலை
ఆడిటింగ్,தணிக்கை
ఆడిట్ అభ్యంతరం,தணிக்கை ஆட்சேபனை
ఆడిటర్ నివేదిక,தணிக்கையாளரின் அறிக்கை
ఆడిటోరియం,ஆடிட்டோரியம்
ఆడిట్ పేరా,தணிக்கை பத்தி
ఆర్థిక లెక్కల నివేదిక,தணிக்கை அறிக்கை
కాఠిన్యం,சிக்கன நடவடிக்கை
పొదుపు చర్యలు,சிக்கன நடவடிக்கை
ప్రామాణికమైన,உண்மையான
అధీకృత ప్రతినిధి,அங்கீகரிக்கப்பட்ட பிரதிநிதி
అధికారిక,அதிகாரப்பூர்வ
అధికారం,அதிகாரம்
అధికారం లేఖ,அதிகார கடிதம்
అధికారం,அங்கீகாரம் பெற்றவர்
అధీకృత మూలధనం,அங்கீகரிக்கப்பட்ட மூலதனம்
ఆటోమేటిక్,தானியங்கி
స్వయంప్రతిపత్తి,தன்னாட்சி
అటానమస్ బాడీ,தன்னாட்சி உடல்
స్వయంప్రతిపత్తి,தன்னாட்சி
సహాయక,துணை
అందుబాటులో ఉంది,கிடைக்கிறது
సగటు,சராசரி
సగటు సెలవు,சராசரி விடுப்பு
విరక్తి,வெறுப்பு
అవర్ట్,தவிர்க்கவும்
నివారించండి,தவிர்க்கவும்
పన్నును నివారించడం,வரியைத் தவிர்ப்பது
వేచి ఉంది,காத்திருந்தது
అవార్డు,விருது
అథారిటీ అవార్డు,அதிகாரம் வழங்குதல்
అవగాహన,விழிப்புணர்வு
బ్యాక్‌డేటెడ్,பின்வாங்கியது
నేపథ్య,பின்னணி
బ్యాక్ లాగ్,பின் பதிவு
బ్యాక్ అవుట్,பின்னால்
వెనుక సూచన,பின் குறிப்பு
బ్యాకప్,காப்புப்பிரதி
వెనుకబడిన తరగతులు,பின்தங்கிய வகுப்புகள்
వెనుకబడిన తెగ,பின்தங்கிய பழங்குடி
చెడు బేరం,மோசமான பேரம்
చెడు ప్రవర్తన,மோசமான நடத்தை
చెడ్డ పాత్ర,மோசமான தன்மை
చెడు వాతావరణ భత్యం,மோசமான காலநிலை கொடுப்பனவு
చెడు ప్రవర్తన,மோசமான நடத்தை
చెడు రుణం,மோசமான கடன்
సామాను,சாமான்கள்
బెయిల్,ஜாமீன்
సంతులనం,இருப்பு
బ్యాలెన్స్ తగ్గింది,சமநிலை வீழ்த்தப்பட்டது
బ్యాలెన్స్ ముందుకు తెచ్చింది,இருப்பு முன்வைக்கப்பட்டது
సమతుల్య బడ్జెట్,சீரான பட்ஜெட்
బ్యాలెన్స్ షీట్,இருப்புநிலை
బ్యాలెట్,வாக்குப்பதிவு
వోట్లు వేసే డబ్బా,வாக்குப் பெட்டி
బ్యాలెట్ పేపర్,வாக்குப்பதிவு காகிதம்
నిషేధం,தடை
బ్యాంక్,வங்கி
బ్యాంకు ఖాతా,வங்கி கணக்கு
బ్యాంక్ బ్యాలెన్స్,வங்கி இருப்பு
బ్యాంకు చార్జీలు,வங்கி கட்டணங்கள்
బ్యాంకు హామీ,வங்கி உத்தரவாதம்
బ్యాంకు సెలవు,வங்கி விடுமுறை
బ్యాంకింగ్ సౌకర్యం,வங்கி வசதி
బ్యాంకింగ్ గంటలు,வங்கி நேரம்
బ్యాంకింగ్ లావాదేవీ,வங்கி பரிவர்த்தனை
బ్యాంక్ రేటు,வங்கி வீதம்
బ్యాంకు సయోధ్య,வங்கி சமரசம்
దివాళా,திவாலானது
బ్యాంక్ భద్రత,வங்கி பாதுகாப்பு
బ్యాంకు వాజ్ఞ్మూలము,வங்கி அறிக்கை
విందు,விருந்து
బార్ కౌన్సిల్,பார் கவுன்சில்
బేరం,பேரம்
బేరసారాలు,பேரம் பேசுதல்
బంజరు భూమి,தரிசு நிலம்
బార్టర్,பண்டமாற்று
బేస్,அடித்தளம்
నిరాధారమైన,ஆதாரமற்றது
బేస్మెంట్,அடித்தளம்
బేస్ ఇయర్,அடிப்படை ஆண்டு
ప్రాథమిక,அடிப்படை
సాధారణంగా,அடிப்படையில்
ప్రాథమిక మేధస్సు,அடிப்படை நுண்ணறிவு
ప్రాథమిక వేతనం,அடிப்படை ஊதியம்
ప్రాథమిక స్థాయి వేతనం,ஊதியத்தின் அடிப்படை அளவு
ప్రాథమిక శిక్షణ,அடிப்படை பயிற்சி
ఆధారంగా,அடிப்படை
బ్యాచ్,தொகுதி
బ్యాచ్ సంఖ్య,தொகுதி எண்
బేరర్ చెక్,தாங்கி காசோலை
ఉదహరించడానికి ముందు,மேற்கோள் காட்டப்படுவதற்கு முன்
ప్రవర్తన,நடத்தை
నమ్మకం,நம்பிக்கை
పార్ క్రింద,Par க்கு கீழே
బెంచ్,பெஞ்ச்
బెంచ్ మార్క్,பெஞ்ச்மார்க்
ప్రయోజనకరమైనది,நன்மை பயக்கும்
లబ్ధిదారుడు,பயனாளி
ప్రయోజనం,நன்மை
సందేహం యొక్క ప్రయోజనం,சந்தேகத்தின் நன்மை
బెనెవోలెన్స్,கருணை
బెనెవోలెంట్ ఫండ్,நல்ல நிதி
Bequeath,விருப்பம்
బీక్వెస్ట్,விருப்பப்படி
మరణించారు,துயரமடைந்தது
ఉత్తమ ప్రయత్నాలు,சிறந்த முயற்சிகள்
మంచి,மேம்பாடு
బయాస్,சார்பு
పక్షపాత అభిప్రాయం,பக்கச்சார்பான கருத்து
గ్రంథ పట్టిక,நூலியல்
ద్వైవార్షిక,இருபது ஆண்டு
విభజన,பிளவுபட்டு
బిగామి,பெரிய
ద్వైపాక్షిక,இருதரப்பு
ద్విభాషా,இருமொழி
ద్విమకరణ,இரு
బిల్లు,ர சி து
మార్పిడికి సంభంధించిన బిల్లు,மாற்றச்சீட்டு
బిమోంత్లీ రిపోర్ట్,இருதரப்பு அறிக்கை
బైండింగ్,பிணைப்பு
బయోడేటా,பயோடேட்டா
బైపార్టైట్,இருதரப்பு
ద్వైపాక్షిక ఒప్పందం,இரு கட்சி ஒப்பந்தம்
జనన వార్షికోత్సవం,பிறப்பு ஆண்டுவிழா
జనన ధృవీకరణ పత్రం,பிறப்பு சான்றிதழ்
జనన నియంత్రణ,பிறப்பு கட்டுப்பாடு
పుట్టిన తేదీ,பிறந்த தேதி
పుట్టిన ప్రదేశం,பிறந்த இடம்
జనన రేటు,பிறப்பு வீதம்
వారం వారం,இரு வாராந்திர
బ్లాక్ ఎకానమీ,கருப்பு பொருளாதாரம்
బ్లాక్ జాబితా,கருப்பு பட்டியல்
బ్లాక్ మెయిల్,பிளாக்மெயில்
చీకటి వ్యాపారం,கருப்பு சந்தை
నింద,பழி
ఖాళీ చెక్,வெற்று சோதனை
దుప్పటి ఒప్పందం,போர்வை ஒப்பந்தம்
దుప్పటి క్రమము,போர்வை ஒழுங்கு
పేలుడు,குண்டு வெடிப்பு
బ్లెండింగ్,கலத்தல்
బ్లాక్,தொகுதி
దిగ్బంధనం,முற்றுகை
నిరోధించబడిన మూలధనం,தடுக்கப்பட்ட மூலதனம்
పెద్ద అక్షరం,தொகுதி கடிதம்
రక్త దానం,இரத்த தானம்
రక్త సంబంధాలు,இரத்த உறவுகள்
బ్లూ కాలర్ ఉద్యోగం,நீல காலர் வேலை
బ్లూప్రింట్,புளூபிரிண்ட்
బుకాయింపు,பிளஃப்
బోర్డు,பலகை
బోర్డింగ్ మరియు బస,போர்டிங் மற்றும் உறைவிடம்
బోర్డు డైరెక్టర్లు,இயக்குநர்கள் குழு
రెవెన్యూ బోర్డ్,வருவாய் வாரியம்
శరీరం,உடல்
బాడీగార్డ్,மெய்க்காப்பாளர்
బోగస్ వోచర్,போலி வவுச்சர்
బోనఫైడ్స్,உண்மையான
బాండ్,பத்திரம்
బంధిత శ్రమ,பிணைக்கப்பட்ட உழைப்பு
ఉపరి లాభ బహుమానము,போனஸ்
నమోదు కార్యాలయం,பதிவு அலுவலகம்
పుస్తక కీపర్,புத்தகக் காப்பாளர்
బుక్ కీపింగ్,புத்தகத்தை வைத்தல்
బుక్‌లెట్,கையேடு
రిఫరెన్స్ పుస్తకం,குறிப்பு புத்தகம்
పుస్తకం విలువ,புத்தகம் மதிப்பு
బూత్,பூத்
బూత్ సంగ్రహించడం,பூத் கைப்பற்றுதல்
సరిహద్దు భత్యం,எல்லை கொடுப்பனவு
సరిహద్దు రేఖ,பார்டர் லைன்
రుణగ్రహీత,கடன் வாங்குபவர்
రుణాలు తీసుకునే శక్తి,கடன் வாங்கும் சக்தி
బాస్,பாஸ்
అడ్డంకి,சிக்கல்
బ్రాకెట్,அடைப்புக்குறி
సరిహద్దు,எல்லை
బహిష్కరణ,புறக்கணிப்பு
మెదడు కాలువ,மூளை வடிகால்
శాఖ కార్యాలయం,கிளை அலுவலகம்
మించే,மீறல்
ఒప్పందం ఉల్లంఘన,ஒப்பந்தத்தை மீறுதல்
విశ్వాసం ఉల్లంఘన,நம்பிக்கையை மீறுதல்
ఒప్పంద ఉల్లంఘన,ஒப்பந்த மீறல்
క్రమశిక్షణ ఉల్లంఘన,ஒழுக்கத்தை மீறுதல்
చట్ట ఉల్లంఘన,சட்ட மீறல்
శాంతి ఉల్లంఘన,சமாதான மீறல்
ప్రత్యేక హక్కు ఉల్లంఘన,சலுகை மீறல்
వాగ్దానం ఉల్లంఘన,வாக்குறுதியை மீறுதல்
నియమం ఉల్లంఘన,விதியை மீறுதல்
అవిశ్వాసం,நம்பிக்கை துரோகம்
విచ్ఛిన్నం,உடைப்பு
విచ్ఛిన్నం,உடைக்கவும்
సేవలో విరామం,சேவையில் இடைவெளி
విడిపోవటం,முறிவு
జాతి,இனம்
లంచం,கையூட்டு
క్లుప్తంగా,சுருக்கமான
బ్రీఫింగ్,மாநாடு
సంక్షిప్త పున ume ప్రారంభం,சுருக்கமான விண்ணப்பம்
తెలివైన రికార్డు,புத்திசாலித்தனமான பதிவு
నోటీసులోకి తీసుకురండి,கவனத்திற்கு கொண்டு வாருங்கள்
ప్రసార,ஒளிபரப்பு
బ్రాడ్‌షీట్,பிராட்ஷீட்
బ్రోచర్,சிற்றேடு
బ్రోకరేజ్,தரகு
ముందుకు తెచ్చింది (బి/ఎఫ్),முன்னோக்கி கொண்டு வரப்பட்டது (பி/எஃப்)
బడ్జెట్ కేటాయింపు,பட்ஜெட் ஒதுக்கீடு
బగెటరీ కంట్రోల్,பிழையான கட்டுப்பாடு
బడ్జెట్ అంచనా,பட்ஜெட் மதிப்பீடு
బడ్జెట్ నిబంధన,பட்ஜெட் வழங்கல்
కట్టడం,கட்டிடம்
చాలా మొత్తం,மொத்த
బల్క్ కొనుగోలు,மொத்த கொள்முதல்
బులెటిన్,புல்லட்டின்
బంపర్ పంట,பம்பர் பயிர்
ఖాళీల బంచ్,காலியிடங்களின் கொத்து
బంగ్లింగ్,பஞ்ச்லிங்
బ్యూరోక్రసీ,அதிகாரத்துவம்
బ్యూరోక్రాట్,அதிகாரத்துவம்
వ్యాపార తరగతి,வணிக வகுப்பு
వ్యాపార గంటలు (= వ్యాపారం యొక్క గంటలు),வணிக நேரம் (= வணிக நேரம்)
వ్యాపారవేత్త,தொழிலதிபர்
కొనండి,திரும்ப வாங்கு
కొనుగోలుదారు,வாங்குபவர்
