Kannada,Gujarati
ವಿಳಾಸ ಅನುವಾದ,સરનામા અનુવાદ
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ","1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી"
ಉದ್ದೇಶಿಸಿ,સંબોધન
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ","1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ"
ಬಾಂಧವ್ಯ,જોડાણ
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ","1. મેનેજમેન્ટ, 2. નિયંત્રણ"
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ","1. મેનેજર, 2. નિયંત્રક"
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,એડોબ એક્રોબેટ
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,એડોબ ફોટોશોપ
ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್),ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ)
"1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ","1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા"
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,અદ્યતન માહિતી સિસ્ટમ
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),એડવાન્સ ટેકનોલોજી (AT)
ಕ್ರಮ,ક્રિયા
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,એકત્રીકરણ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್,aldus પૃષ્ઠ બનાવવું
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,ચેતવણી બોક્સ
ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),અલ્ગોલ (કોમ્પ્યુટર ભાષા)
"1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್","1. અલ્ગોરિધમ, 2. અલ્ગોરિધમ"
"1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ","1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ"
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,અલ્ગોરિધમ કાર્યક્ષમતા
"1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ","1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે"
ಜೋಡಣೆ,ગોઠવણી
"1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ","1. ફાળવણી, 2. ફાળવણી"
"1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ","1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ"
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,આલ્ફાન્યૂમેરિક
"1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್ ,2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್","1. આલ્ફાન્યૂમેરિક કીબોર્ડ, 2. આલ્ફાન્યૂમેરિક કીબોર્ડ"
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ),આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ)
"1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ","1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ"
ಆಲ್ಟ್ ಕೀ,alt કી
ಅಲ್ಟಾವಿಸ್ತಾ,અલ્ટાવિસ્ટા
ಬಹುತ್ವ,બહુવિધતા
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,અસ્પષ્ટ વ્યાકરણ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI)
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii),અમેરિકન સ્ટાન્ડર્ડ કટ (ascii)
"1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್","1. અનુરૂપ, 2. એનાલોગ"
"1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್","1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર"
"1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ","1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ"
"1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್","1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ"
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,ડિજિટલ કન્વર્ટર માટે એનાલોગ
ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ),અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ)
ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್,અંતિમ સર્કિટ
ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್,અંતિમ દરવાજો અને દરવાજો
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),એન્ડ નોટ ઓપરેશન (બાકાત)
"1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ","1. એનિમેશન, 2. કંપન"
ಸೂಚನೆ,નૉૅધ
ಅಸಂಗತತೆ,અસંગતતા
ಹಿಂದಿನ,અગાઉના
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,આગોતરી પેજીંગ
ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ,પ્રતિ-સપ્રમાણ
ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ,એન્ટિવાયરલ પ્રોગ્રામ
"1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್","1. ઉપલેટ, 2. અરજી"
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,એપ્લિકેશન ડેવલપર
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,એપ્લિકેશન પ્રોગ્રામિંગ
"1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)","1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)"
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,એપ્લિકેશન સોફ્ટવેર
ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ,એપ્લિકેશન ભાષા
ಅಂದಾಜು ತತ್ವ,અંદાજ સિદ્ધાંત
ರಚನೆ,માળખું
ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ,ક્ષેત્ર ટ્રાન્સફર
"1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ","1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ"
"1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ","1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ"
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,અંકગણિત તપાસ
ಅಂಕಗಣಿತದ ಸ್ಥಿರ,અંકગણિત સતત
ಅಂಕಗಣಿತದ ಡೇಟಾ,અંકગણિત માહિતી
ಅಂಕಗಣಿತದ ಸೂಚನೆ,અંકગણિત સૂચના
ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU),ગાણિતિક અને તાર્કિક એકમ (ALU)
ARPA ನೆಟ್ (RPNet),ARPA નેટ (RPNet)
ಶ್ರೇಣಿ,એરે
"1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ","1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી"
ಅರೇ ಕಂಪ್ಯೂಟರ್,એરે કમ્પ્યુટર
ರಚನೆಯ ಅಂಶ,એરે તત્વ
ರಚನೆಯ ಹೆಸರು,એરે નામ
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,એરે પ્રોસેસર
ಬಾಣದ ಕೀಲಿ,તીર કી
ಒಪ್ಪಂದ,સંધિ
ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್,જંકશન પોઈન્ટ
ಕೃತಕ ಸಂಕೋಚನ,કૃત્રિમ કોમ્પેક્શન
ಕೃತಕ ನಿಯಂತ್ರಣ,કૃત્રિમ નિયંત્રણ
ಕೃತಕ ಅರ್ಥದಲ್ಲಿ,કૃત્રિમ સંવેદના
ಆರೋಹಣ,માઉન્ટ
ಆರೋಹಣ ರೀತಿಯ,ચડતા સૉર્ટ
ascii ವರ್ಣಮಾಲೆ,ascii મૂળાક્ષરો
ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ,ascii નિયંત્રણ પ્રતીક
ascii ಫೈಲ್,ascii ફાઇલ
ascii ಫಾಂಟ್,ascii ફોન્ટ
ASCII ವರ್ಗಾವಣೆ,ASCII ટ્રાન્સફર
ಆಕಾರ ಅನುಪಾತ,પાસા ગુણોત્તર
"1. ಆಸ್ಪಿ, 2. ASPI","1. એસ્પી, 2. ASPI"
ಎ ಎಸ್ ಆರ್ ಕಲಾದ್,એ એસ આર કલાડ
"1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು","1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે"
"1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ","1. એસેમ્બલર, 2. રીમાઇન્ડર"
"1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ","1. એસેમ્બલિંગ, 2. યાદ"
"1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ","1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા"
ನಿರ್ಣಯ,નિશ્ચય
"1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ","1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી"
ಒಡನಾಟ,સોબત
ಸಹಾಯಕ ವಿಳಾಸ,સહયોગી સરનામું
"1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ","1. સહયોગી મેમરી, 2. સહયોગી મેમરી"
ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ),ફૂદડી (* ચિહ્ન)
ಅಸಮ್ಮಿತ,અસમપ્રમાણ
"1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ","1. અસુમેળ, 2. અસુમેળ"
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL)
ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,અસુમેળ ટ્રાન્સફર
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM)
"1. ಪರಮಾಣು, 2. ಪರಮನ್","1. અણુ, 2. પરમાન"
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,જોડાયેલ દસ્તાવેજ
"1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ","1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ"
"1. ಆವರಣ, 2. ಸಂಯೋಜಿತ","1. બિડાણ, 2. સંલગ્ન"
"1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ","1. ગુણધર્મો, 2. વિશેષતા"
ಶ್ರವ್ಯ,સાંભળી શકાય તેવું
"1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ"
ಖಾತೆ ಪರಿಶೀಲನೆ,એકાઉન્ટ વેરિફિકેશન
ಪ್ರಚಾರ,પ્રમોશન
ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,પ્રમાણપત્ર પ્રોટોકોલ
ಲೇಖಕರ ವಿಧಾನ,લેખન પદ્ધતિ
"1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ","1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ"
ಸ್ವಯಂ ಅಮೂರ್ತ,સ્વતઃ અમૂર્ત
"1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್","1. ઓટો બુટીંગ, 2. સ્વ બુટ"
ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ઓટોકેડ (કોમ્પ્યુટર ભાષા)
ಸ್ವಯಂ ಲಾಗ್-ಆನ್,ઓટો લોગ-ઓન
ಸ್ವಯಂಚಾಲಿತ,ઓટોમેટા
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,ઓટોમેટા સિદ્ધાંત
ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ,આપોઆપ ગણતરી
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,સ્વચાલિત ડેટા પ્રોસેસિંગ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,આપોઆપ ભૂલ સુધારણા
ಸ್ವಯಂ ಕಾರ್ಯ,સ્વતઃ કાર્ય
"1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ","1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી"
ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ,સ્વતઃ-સંગ્રહ કૉલ
"1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ"
"1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ","1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ"
ಸ್ವಯಂ ದಿನಚರಿ,આપોઆપ નિયમિત
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ
"1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ","1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ"
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,ઓટોમેશન
"1. ಸ್ವಯಂಪ್ಲೇ , 2. ಆಟೋ ನಡಿಗೆ","1. ઑટોપ્લે, 2. ઓટો વોક"
ಗಾಯನ,અવાજ
ಸಹಾಯಕ,મદદનીશ
ಸಹಾಯಕ ಸ್ಮರಣೆ,સહાયક મેમરી
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,સહાયક સંગ્રહ
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,ઉપલબ્ધ યાદી
ಲಭ್ಯವಿರುವ ಸಮಯ,ઉપલબ્ધ સમય
ಸರಾಸರಿ,સરેરાશ
AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ),AWK (કોમ્પ્યુટર આદેશ)
ನಂತರ,પછી
ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್,પોસ્ટ પ્રોસેસર
ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ,પશ્ચાદવર્તી કાર્ય કાઢી નાખવું
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,પૃષ્ઠભૂમિ પ્રક્રિયા
ಪೂರಕ ಅಂಗಡಿಗಳು,આનુષંગિક સ્ટોર્સ
ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್,બેક પેચીંગ
"1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್","1. પશ્ચિમ, 2. બેકસ્પેસ"
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,બેકટ્રેકિંગ
"1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ","1. બેક-અપ, 2. વળતર"
"1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ","1. પૂરક મેમરી, 2. બેકઅપ મેમરી"
ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ,પાછળની ભૂલ સુધારણા
(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,(આવક-ખર્ચ) બેલેન્સ શીટ
ಬ್ಯಾಂಡೇಜ್,પાટો
"1. ಬ್ಯಾಂಡ್ ಅಗಲ, 2. ಬ್ಯಾಂಡ್‌ವಿಡ್ತ್/ಸಾಮರ್ಥ್ಯ","1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા"
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,બેંકરનું અલ્ગોરિધમ
"1. ಬಾರ್ ಕೋಡ್, 2. ಬಾರ್ ಕೋಡ್","1. બાર કોડ, 2. બાર કોડ"
ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,બારકોડ સ્કેનર
ಬಾರ್ ಗ್ರಾಫ್,બાર ગ્રાફ
ಮೂಲ ವಿಳಾಸ,આધાર સરનામું
ಬೇಸ್ ಬ್ಯಾಂಡ್,આધાર બેન્ડ
ಆಧಾರ್ ಸಂಖ್ಯೆ,આધાર નંબર
