Marathi,Telugu
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),ఇమ్యునో లోపం (AIDS)
एकरानिया,అక్రినియా
Rid सिडिन डाई,యాక్రిడిన్ డై
अ‍ॅक्रोसेन्ट्रिक,అక్రోసెంట్రిక్
अ‍ॅक्रोमियन,అక్రోమియన్
अ‍ॅक्रोपेटल सीक्वेन्स,అక్రోపెటల్ సీక్వెన్స్
अ‍ॅक्रोपेटल ऑर्डर,అక్రోపెటల్ ఆర్డర్
अ‍ॅक्रोसिन,అక్రోసిన్
अ‍ॅक्टिन,ఆక్టిన్
अ‍ॅक्टिन-सारखी प्रथिने,ఆక్టిన్ లాంటి ప్రోటీన్
अ‍ॅक्टिनोमॉर्फिक,ఆక్టినోమోర్ఫిక్
अ‍ॅक्टिनोमाइसेट्स,ఆక్టినోమైసెట్స్
कृती संभाव्यता,చర్య సామర్థ్యం
सक्रिय गाळ,సక్రియం చేయబడిన బురద
सक्रिय गाळ फ्लॉक,సక్రియం చేయబడిన బురద ఫ్లోక్
सक्रियता ऊर्जा,యాక్టివేషన్ ఎనర్జీ
सक्रिय शोषण,క్రియాశీల శోషణ
सक्रिय प्रतिकारशक्ती,క్రియాశీల రోగనిరోధక శక్తి
सक्रिय रेडिएशन,క్రియాశీల రేడియేషన్
सक्रिय साइट,క్రియాశీల సైట్
अ‍ॅक्टिव्हिन,యాక్టివిన్
Umicate,అక్యూమినేట్
अ‍ॅडम्सिया,ఆడమియా
अनुकूलता,అనుకూలత
रुपांतर,అనుసరణ
हलकी व्यवस्थेशी जुळवून घेणे,కాంతి పాలనకు అనుసరణ
पाण्याची कमतरता रुपांतर,నీటి కొరతకు అనుసరణ
अनुकूली वैशिष्ट्ये,అనుకూల లక్షణాలు
अनुकूली प्रतिकारशक्ती,అనుకూల రోగనిరోధక శక్తి
अनुकूली रेडिएशन,అడాప్టివ్ రేడియేషన్
अनुकूली गुण,అనుకూల లక్షణం
अ‍ॅडॅक्सियल पृष्ठभाग,అడాక్సియల్ ఉపరితలం
व्यसनाधीन डिसऑर्डर,వ్యసనపరుడైన రుగ్మత
En डेनिन,అడెనిన్
En डेनोकोर्टिकोट्रोपिन,అడెనోకార్టికోట్రోపిన్
En डेनोहायपोफिसिस,అడెనోహైపోఫిసిస్
En डेनोसिन डायफॉस्फेट,అడెనోసిన్ డిఫాస్ఫేట్
En डेनोसिन डिमिनेस,అడెనోసిన్ డీమినేస్
En डेनोसाइन मोनोफॉस्फेट,అడెనోసిన్ మోనోఫాస్ఫేట్
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),గ్రంధి ముడతలు
En डेनिलेट सायक्लेज,అడెనిలేట్ సైక్లేస్
चिकट शक्ती,అంటుకునే శక్తి
अ‍ॅडिपेट,అడిపేట్
अ‍ॅडिपोसाइट (चरबी सेल),కొవ్వు పెండినవి
अ‍ॅडिपोज टिशू,కొవ్వు కణజాలము
Nednate,Adnate
लगतचा समुदाय,ప్రక్కనే ఉన్న సంఘం
Ren ड्रेनल,అడ్రినల్
Ren ड्रेनल ग्रंथी,అడ్రినల్ గ్రంథి
एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच),ఎడ్రినల్ గ్రంథి
Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
Or सॉर्बेंट,Adsorbent
शोषण,శోషణ
प्रगत Chordate,అధునాతన కార్డేట్
फायदेशीर उत्परिवर्तन,ప్రయోజనకరమైన మ్యుటేషన్
अ‍ॅडव्हेंटिशियल,అడ్వెసిషియల్
साहसी मूळ,సాహసోపేతమైన రూట్
प्रतिकूल परिणाम,ప్రతికూల ప్రభావం
एडीज,AEDES
संस्कृतीचे वायुवीजन,సంస్కృతి వాయువు
एरेन्चायमा,ఏరెన్చైమా
हवाई,ఆకాశయాన
एरियल रूट,వైమానిక రూట్
एरियल शूट,వైమానిక షూట్
एरोबिक श्वसन,ఏరోబిక్ శ్వాసక్రియ
एरोबिक श्वसन,ఏరోబిక్ శ్వాసక్రియ
सौंदर्यशास्त्र,సౌందర్యం
एस्टिवेशन,ఎస్టివేషన్
एस्टिवेशन,ఎస్టివేషన్
Efferent,అనుబంధ
आत्मीयता क्रोमॅटोग्राफी,అనుబంధ క్రోమాటోగ్రఫీ
पीडित अवयव,బాధిత అవయవం
वनीकरण,అటవీ నిర్మూలన
अ‍ॅगामोस्पर्मी,అగామోస్పెర్మీ
अगर,అగర్
आगरोस,అగరోస్
अगरोस जेल इलेट्रोफोरेसीस,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
अ‍ॅगारोज पॉलिमर जेल,అగరోస్ పాలిమర్ జెల్
Agast,అగాస్ట్
अ‍ॅगेव्ह,కిత్తలి
वय वितरण,వయస్సు పంపిణీ
वय पिरॅमिड,వయస్సు పిరమిడ్
एकत्रित,సంకలనం
एकूण,మొత్తం
कूपांचे एकूण,ఫోలికల్ యొక్క మొత్తం
कूपांचे एकूण,ఫోలికల్ యొక్క మొత్తం
एकत्रिकरण,సమూహనం
आक्रमकता,దూకుడు
आंदोलन प्रणाली,ఆందోళన వ్యవస్థ
अग्नथ,అగ్నాథ
अगोती,అగౌటి
अ‍ॅग्रॅनल क्लोरोप्लास्ट,అగ్రనాల్ క్లోరోప్లాస్ట్
अ‍ॅग्रॅन्युलर,అగ్రన్యులర్
अ‍ॅग्रानुलोसाइट,అగ్రనులోసైట్
शेती,వ్యవసాయం
अ‍ॅग्रोफोरेस्ट्री,అగ్రోఫారెస్ట్రీ
अ‍ॅग्रोबॅक्टीरियम मध्यस्थी,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
अ‍ॅग्रोकेमिकल,వ్యవసాయ రసాయన
अ‍ॅग्रोकेमिकल,వ్యవసాయ రసాయన
अ‍ॅग्रोक्लिमॅटिक झोन,అగ్రోక్లిమాటిక్ జోన్
कृषी गुणधर्म,వ్యవసాయ లక్షణం
अ‍ॅग्रोनॉमी,వ్యవసాయ శాస్త్రం
एड्स,ఎయిడ్స్
एअर मूत्राशय,గాలి మూత్రాశయం
वातानुकूलन,వాతానుకూలీన యంత్రము
हवाई रस्ता,గాలి మార్గం
वायू प्रदूषण,వాయుకాలుష్యం
एअर थैली,ఎయిర్ శాక్
एअर व्हॅक्यूओल,ఎయిర్ వాక్యూల్
हवाई श्वास,గాలి-శ్వాస
अलेन,అలైన్
अ‍ॅलरी स्नायू,అలారి కండరం
अलास्कन तपकिरी अस्वल,అలాస్కాన్ బ్రౌన్ బేర్
अल्बिनो,అల్బినో
अल्बुगो,అల్బుగో
अल्बमिन,అల్బుమిన్
अल्ब्युमिनस बियाणे,అల్బుమినస్ సీడ్
अल्बमिनुरिया,అల్బుమినూరియా
अल्बर्नम,అల్బర్నమ్
Lescedae,ఆల్కే
Ld ल्डिहेडे,ఆల్డెహీడ్
Ld ल्डोस्टेरॉन सिस्टम,ఆల్డోస్టెరాన్ వ్యవస్థ
अ‍ॅल्डोस्टेरॉन,ఆల్డోస్టెరాన్
अलेरोन लेयर,అల్యూరోన్ పొర
अलेरोप्लास्ट,అల్యూరోప్లాస్ట్
अल्फल्फा,అల్ఫాల్ఫా
अल्गल ब्लूम,ఆల్గల్ బ్లూమ్
अल्गिन,అల్జీన్
एलियन डीएनए,గ్రహాంతర DNA
एलियन प्रजाती,గ్రహాంతర జాతులు
संरेखन,అమరిక
संरेखन,అమరిక
एलिमेंटरी कालवा,అలిమెంటరీ కెనాల్
एलिमेंटरी सिस्टम,అలిమెంటరీ సిస్టమ్
अलिसमासेस,అలిస్మాసిస్
अल्कलॉइड,ఆల్కలాయిడ్
अल्कधर्मी,ఆల్కలీన్
अल्काप्टोनुरिया,అల్కాప్టోటోరియా
अलांटोइस,అల్లాంటోయిస్
अ‍ॅलेल वारंवारता,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
अ‍ॅलेल,యుగ్మ వికల్పం
Lel लोमॉर्फिक जोडी,అల్లెలోమోర్ఫిక్ జత
L लर्जीन,అలెర్జీ
अ‍ॅलिगेटर,ఎలిగేటర్
अ‍ॅलियम सेपा,అల్లియం సెపా
अ‍ॅलोगॅमी,అయోగాగమి
अ‍ॅलोग्राफ्ट,అల్లోగ్రాఫ్ట్
अ‍ॅलोपॅट्रिक स्पेशिएशन,అల్లోపాట్రిక్ స్పెసియేషన్
Ol लोपोलिपॉइड,అల్లోపాలిప్లోయిడ్
अ‍ॅलोस्टेरिक प्रभाव,అలోస్టెరిక్ ప్రభావం
अ‍ॅलोस्टेरिक एंझाइम,అలోస్టెరిక్ ఎంజైమ్
अ‍ॅलोस्टेरिक इनहिबिटर,అలోస్టెరిక్ ఇన్హిబిటర్
अ‍ॅलोस्टेरिक मॉड्यूलेशन,అలోస్టెరిక్ మాడ్యులేషన్
अ‍ॅलोस्टेरिक साइट,అలోస్టెరిక్ సైట్
अ‍ॅलोस्टेरिक इनहिबिशन,అలోస్టెరిక్ నిరోధం
अ‍ॅलोटेट्रॅप्लॉइड,అలోటెట్రాప్లాయిడ్
अल्नस,ఆల్నస్
कोरफड,కలబంద
On क्सॉनच्या बाजूने,ఆక్సాన్ వెంట
अल्फा-अँटीट्रिप्सिन,ఆల్ఫా-యాంటిట్రిప్సిన్
अल्फा-लेक्टलब्यूमिन,ఆల్ఫా-లాక్టల్బ్యూమిన్
अल्पाइन हवामान स्थिती,ఆల్పైన్ వాతావరణ పరిస్థితి
अल्पाइन कुरण,ఆల్పైన్ మేడో
अल्पाइन झोन,ఆల్పైన్ జోన్
अल्स्टोनिया,ఆల్స్టోనియా
अल्टरनेरिया,ఆల్టర్నేరియా
वैकल्पिक,ప్రత్యామ్నాయ
पिढीचे पर्यायी,తరం యొక్క ప్రత్యామ్నాయం
उंची आजारपण,ఎత్తు రుగ్మత
समुद्रसपाटीपासूनची उंची,ఎత్తు
अल्व्होलर नलिका,అల్వియోలార్ డక్ట్
एलिटेस,అలిట్స్
अल्झायमर रोग,అల్జీమర్స్ వ్యాధి
अमॅक्रिन सेल,అమాక్రిన్ సెల్
अमरॅन्थेसी,అమరాంతేసి
अमरॅन्थस,అమరాంథస్
वातावरणीय ऑस्मोटिक एकाग्रता,పరిసర ఓస్మోటిక్ గా ration త
अ‍ॅम्बिस्टोमा,అంబిస్టోమా
अमाइड,అమైడ్
अमिनो आम्ल,అమైనో ఆమ్లం
अमीनो acid सिड स्वीकारणारा,అమైనో యాసిడ్ అంగీకారం
एमिनोआसिल टी आरएनए सिंथेथेस,అమైన్‌లాకారి
एमिनोआसिलेशन,అమైనోఅసిలేషన్
अमिटोसिस,అమిటోసిస్
अमोनिया,అమ్మోనియా
अमोनिफिकेशन,అమ్మోనిఫికేషన్
अमोनोटेलिझम,అమ్మోనోటెలిజం
अ‍ॅम्निओसेन्टेसिस,అమ్నియోసెంటెసిస్
अ‍ॅम्निओसेन्टेसिस तंत्र,అమ్నియోసెంటెసిస్ టెక్నిక్
अ‍ॅम्निओसाइट,అమ్నియోసైట్
अम्नियन,అమ్నియోన్
गर्भाशयातील द्रव,అమ్నియోటిక్ ద్రవం
अम्नीओटिक झिल्ली,అమ్నియోటిక్ పొర
अम्नीओटिक थैली,అమ్నియోటిక్ శాక్
अमोबा,అమీబా
अमीबोसाइट,అమీబోసైట్
अमोबॉइड,అమీబాయిడ్
अ‍ॅमोबॉइड लिम्फोसाइट,అమీబోయిడ్ లింఫోసైట్
अ‍ॅमोबॉइड चळवळ,అమీబోయిడ్ కదలిక
अनाकार,నిరాకార
रक्कम,మొత్తం
अ‍ॅम्फेटामाइन,యాంఫేటమిన్
उभयचर,ఉభయచర
उभयचर,ఉభయచర
उभयचर,ఉభయచర
अ‍ॅम्फिओक्सस,యాంఫియోక్సస్
अ‍ॅम्फिओक्सस लॅन्सोलाटस,యాంఫియోక్సస్ లాన్సోలాటస్
अ‍ॅम्फिपाथिक,యాంఫిపతిక్
अ‍ॅम्फिपाथिक लिपिड,యాంఫిపతిక్ లిపిడ్
अ‍ॅम्फिसार्का,యాంఫిసార్కా
अ‍ॅम्पिसिलिन,ఆంపిసిలిన్
अ‍ॅम्पुल्ला,అంపుల్లా
अ‍ॅम्प्युलरी ग्रंथी,అంపల్లరీ గ్రంథి
अ‍ॅमीगडल,అమిగ్డాల్
अ‍ॅमीगडेल,అమిగ్డేల్
अ‍ॅमीग्डालिन,అమిగ్డాలిన్
अ‍ॅमिलेज,అమిలేస్
अ‍ॅमिलोप्लास्ट,అమిలోప్లాస్ట్
अनाबेना,అనాబెనా
अनबास,అనాబాస్
अ‍ॅनाबॉलिक मार्ग,అనాబాలిక్ మార్గాలు
अ‍ॅनाबोलिझम,అనాబాలిజం
अ‍ॅनाकार्डियासी,అనాకార్డియాసి
अशक्तपणा,రక్తహీనత
अनरोब,Anaerobe
अनॅरोबिक इंधन,వాయురహిత ఇంధనం
अनरोबिक श्वसन,వాయురహిత శ్వాసక్రియ
अनॅरोबिक गाळ डायजेस्टर,వాయురహిత బురద డైజెస్టర్
अनॅरोबिक,Anaerobic
अनाईमा,అనైమా
गुदद्वारासंबंधीचा,ఆసన
गुदद्वारासंबंधीचा,ఆసన
गुदद्वारासंबंधीचा छिद्र,ఆసన ఎపర్చరు
गुदद्वारासंबंधीचा सेर्सी,అనల్ సెర్సీ
गुद्द्वार लूप,అనల్ లూప్
गुद्द्वार शैली,ఆసన శైలి
समान,సారూప్యత
समान,సారూప్యత
समानता,సారూప్యత
समानता,సారూప్యత
विश्लेषण,విశ్లేషణ
अनाफेस,అనాఫేస్
शरीरशास्त्र अडथळा,శరీర నిర్మాణ అవరోధం
शारीरिक पैलू,శరీర నిర్మాణ అంశం
शरीरशास्त्रज्ञ,శరీర నిర్మాణ శాస్త్రవేత్త
शरीरशास्त्र,శరీర నిర్మాణ శాస్త్రం
पूर्वज वंशज अनुक्रम,పూర్వీకుల వారసుడు క్రమం
वडिलोपार्जित वंश,పూర్వీకుల వంశం
वडिलोपार्जित क्रम,పూర్వీకుల క్రమం
एन्सिलोस्टोमा,అన్సైలోస్టోమా
एंड्रोइसीयम,ఆండ్రోసియం
एंड्रोजेन,ఆండ్రోజెన్
अशक्तपणा,రక్తహీనత
Enemone,ఎనిమోన్
Eneuploid,అనూప్లోయిడ్
Eneuploidy,అనూప్లోయిడి
एनजाइना,ఆంజినా
एंजिओग्राम,యాంజియోగ్రామ్
एंजियोग्राफ,యాంజియోగ్రాఫ్
एंजियोग्राफी,యాంజియోగ్రఫీ
एंजियोप्लास्टी,యాంజియోప్లాస్టీ
एंजिओस्पर्म,యాంజియోస్పెర్మ్
अँजिओटेन्सिन,యాంజియోటెన్సిన్
एंजियोटेंसीनोजेन,యాంజియోటెన్సినోజెన్
अँगलर फिश,జాలరి చేప
एंगुइना,అంగునా
एंगुइस,అంగుయిస్
प्राणी,జంతువు
प्राणी,జంతువు
प्राणी शेण,జంతువుల పేడ
पशुसंवर्धन,పశుసంరక్షణ
अ‍ॅनिमल कॅरिओटाइपिंग,జంతువుల కార్యోటైపింగ్
प्राण्यांचे राज्य,జంతు సామ్రాజ్యం
प्राणी ऊतक,జంతువుల కణజాలం
अ‍ॅनिमालिया,యానిమాలియా
आयन,అయాన్
एनिसोट्रॉपिक बँड,అనిసోట్రోపిక్ బ్యాండ్
En नीलिंग,ఎనియలింగ్
अ‍ॅनेलिड,అన్నెలిడ్
अ‍ॅनेलिडा,అన్నెలిడా
वार्षिक रिंग,వార్షిక రింగ్
एनुलेटेड,యాన్యులేటెడ్
एन्युले,యాన్యుల్
विसंगती प्रकार,క్రమరహిత రకం
अ‍ॅनोफेल्स,అనోఫిల్స్
मुंगी खाणारा,చీమ తినేవాడు
विरोधी,విరోధి
अंटार्क्टिक,అంటార్కిటిక్
अँटेना,యాంటెన్నా
अँटेना कॉम्प्लेक्स,యాంటెన్నా కాంప్లెక్స్
अँटेनल ग्रंथी,యాంటెనల్ గ్రంథి
पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न,ముందరి (వెంట్రల్) బూడిద కొమ్ము
आधीचा हायपोफिसिस,పూర్వ హైపోఫిసిస్
पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस,పూర్వ జోక్య సల్కస్
अँथर,Anther
अँथर संस्कृती,పూర్వ సంస్కృతి
अँथेरिडियम,ఆంథెరిడియం
अँथेरोझॉइड,అంటెరోజాయిడ్
अँथोसेरोस,ఆంథోసెరోస్
अँथोसेरोटोप्सिडा,ఆంథోసెరోటోప్సిడా
अँथ्रॅक्स,ఆంత్రాక్స్
अँथ्रोपोजेनिक विलोपन,మానవ అంతరించిపోవడం
मानववंशशास्त्र,మానవ శాస్త్రం
अँटीबैक्टीरियल,యాంటీ బాక్టీరియల్
अँटीबायोटिक पेनिसिलिन,యాంటీబయాటిక్ పెన్సిలిన్
प्रतिजैविक प्रतिरोधक,యాంటీబయాటిక్ రెసిస్టెంట్
प्रतिजैविक (ओ),యాంటీబయాటిక్ (లు)
प्रतिपिंडे,యాంటీబాడీ
अँटीबॉडी जोडपे,యాంటీబాడీ జంట
प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
अँटीकोआगुलंट,ప్రతిస్కందకం
अँटीकोडॉन लूप,యాంటికోడాన్ లూప్
प्रतिरोधक,యాంటిడిప్రెసెంట్
अँटीडियुरेटिक हार्मोन (एडीएच),అశ్లీల ముందు భాగము
अँटीजेन जनुक,యాంటిజెన్ జన్యువు
अँटीजेन-अँटीबॉडी कॉम्प्लेक्स,యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్
प्रतिजैविक निर्धारक,యాంటిజెనిక్ డిటర్మినెంట్
विरोधी घटक,యాంటిన్యూట్రిషనల్ కారకం
अँटीऑक्सिडेंट,యాంటీఆక్సిడెంట్
अँटीपोडल न्यूक्लियस,యాంటీపోడల్ న్యూక్లియస్
अँटी-सेन्स आरएनए,యాంటీ సెన్స్ RNA
अँटीवायरल प्रथिने,యాంటీవైరల్ ప్రోటీన్
अँट्रम,Antrum
Anucleate,అనుక్లీట్
गुद्द्वार,పాయువు
चिंता डिसऑर्डर,ఆందోళన రుగ్మత
महाधमनी कमान,బృహద్ధమని వంపు
महाधमनी गँगलियन,బృహద్ధమని గ్యాంగ్లియన్
महाधमनी सेमीलूनर वाल्व,బృహద్ధమని సెమిలునార్ వాల్వ్
महाधमनी वाल्व्ह,బృహద్ధమని కవాటం
एपीसी (अनाफेस प्रोत्साहन कॉम्प्लेक्स),APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్)
अपीलिक पूर्वज,అపెలైక్ పూర్వీకుడు
Ph फिड,అఫిడ్
Ph फ्रोडाईट,ఆఫ్రొడైట్
एपिकल वर्चस्व,ఎపికల్ ఆధిపత్యం
एपिकल पॅड,ఎపికల్ ప్యాడ్
एपिकल्चर,ఎపికల్చర్
एपीआयएस इंडिका,APIS ఇండికా
अप्प्लानोस्पोर,అప్లానోస్పోర్
अप्लिसिया,అప్లిసియా
अपोकार्पा,అపోకార్పే
अपोकार्पस,అపోకార్పస్
अपोकार्पस अंडाशय,అపోకార్పస్ అండాశయం
अपोक्राइन ग्रंथी,అపోక్రిన్ గ్రంథి
अपोएन्झाइम,అపోఎంజైమ్
Apomict,అపోమిక్
अपोमिक्सिस,అపోమిక్సిస్
अपोप्लाझम,అపోప్లాజమ్
अपोप्लास्टिक मार्ग,అపోప్లాస్టిక్ మార్గం
अ‍ॅपॉप्टोसिस,అపోప్టోసిస్
उपकरणे,ఉపకరణం
परिशिष्ट सांगाडा,అనుబంధ అస్థిపంజరం
कॅकमचे परिशिष्ट,కర్ణభేరి యొక్క అనుబంధం
Apple पल गोगलगाय,ఆపిల్ నత్త
जलचर,ఆక్వాకల్చర్
एक्वापोरिन,ఆక్వాపోరిన్
जलचर उभयचर,జల ఉభయచర
जलीय फॉर्म,జల రూపం
जलचर निवासस्थान,జల ఆవాసాలు
जलीय जीव,జల జీవి
जलचर वनस्पती,జల మొక్క
जलीय श्वसन,జల శ్వాసక్రియ
जलीय द्रव,సజల ద్రవం
जलीय ह्यूमर,సజల హ్యూమర్
जलीय इंट्रा-सेल्युलर फ्लुइड,సజల ఇంట్రా-సెల్యులార్ ద్రవం
जलीय नमुना,సజల నమూనా
जलीय समाधान,సజల ద్రావణంలో
एक्विला,అక్విలా
अरबीडोप्सिस,అరబిడోప్సిస్
अराच्नीडा,అరాచ్నిడా
अराच्नॉइड,అరాక్నోయిడ్
अरेनियस,అరేనియస్
आर्बोरेंट,అర్బోర్సెంట్
आर्बोरसेंट लाइकोपॉड,అర్బోర్సెంట్ లైకోపాడ్
आर्चीबॅक्टेरिया,ఆర్కిబాక్టీరియా
आर्चेगोनियम,ఆర్కిగోనియం
द्वीपसमूह,ద్వీపసమూహం
आर्क्टिक,ఆర్కిటిక్
आर्क्टिक टर्न,ఆర్కిటిక్ టెర్న్
आर्क्टिक टुंड्रा,ఆర్కిటిక్ టండ్రా
आर्दिया,ఆర్డియా
आयरोलर टिश्यू,ఐసోలార్ కణజాలం
अर्गेमोन (काटेकोर खसखस),రుజువు
अर्गेमोन मेक्सिकाना,ఆర్గెమోన్ మెక్సికానా
आर्जिनिन,అర్జినిన్
शुष्क प्रदेश,శుష్క ప్రాంతం
अरिस्टोलोचियासी,అరిస్టోలోచియాసియా
आर्म फीडिंग,చేయి దాణా
आर्मी किडे,ఆర్మీవార్మ్
एआरआयडी,Aroid
सुगंध,వాసన
अरेस्टर,అరేస్టర్
आर्टेमिसिया,ఆర్టెమిసియా
धमनी सिस्टोलिक,ధమనుల సిస్టోలిక్
आर्टेरिओस्क्लेरोटिक,ఆర్టిరియోస్క్లెరోటిక్
आर्थ्रोपॉड,ఆర్థ్రోపోడ్
संधिवात,ఆర్థరైటిస్
आर्थ्रोपोडा,ఆర్థ్రోపోడా
आर्टिक्युलर कूर्चा,కీలు మృదులాస్థి
अभिव्यक्ती,ఉచ్చారణ
स्पष्ट,ఉచ్చరించబడింది
कृत्रिम पेसमेकर,కృత్రిమ పేస్‌మేకర్
कृत्रिम निवड,కృత్రిమ ఎంపిక
आर्टोकार्पस हेटरोफिलस,ఆర్టోకార్పస్ హెటెరోఫిల్లస్
एस्बेस्टोस फायबर,ఆస్బెస్టాస్ ఫైబర్
एस्बेस्टोसिस,ఆస్బెస్టాసిస్
एस्केरिस,అస్కారిస్
चढत्या क्रोमॅटोग्राफी,ఆరోహణ క్రోమాటోగ్రఫీ
Ascidia,అస్సిడియా
एएससीआयडीयन,అస్సిడియన్
एस्कोकार्प,అస్కోకార్ప్
एस्कॉमीसेट्स,అస్కోమైసెట్స్
एस्कॉर्बिक acid सिड,ఆస్కార్బిక్ ఆమ్లం
एस्कोपोर,అస్కోస్పోర్
एस्कस,అస్కస్
सेपेटेट,Aseptate
अलौकिक पुनरुत्पादन,అలైంగిక పునరుత్పత్తి
अलौकिक बीजाणू,అలైంగిక బీజాంశం
शतावरी सिंथेथेस,ఆస్పరాజిన్ సింథటేస్
शतावरी,ఆస్పరాగస్
एस्पार्टिक acid सिड,అస్పార్టిక్ ఆమ్లం
एस्परगिलस नायजर,ఆస్పెర్‌గిల్లస్ నైగర్
एस्परगिलस,ఆస్పెర్‌గిల్లస్
एपोडेलस टेनुइफोलियस,అస్ఫోడెలస్ టెనుఫోలియస్
अ‍ॅस्पिरिन,ఆస్పిరిన్
परख,పరీక్ష
असेंब्लीज,సమావేశం
आत्मसात करण्याची कार्यक्षमता,సమీకరణ సామర్థ్యం
आत्मसात करणारे मूळ,అస్సిమిలేటరీ రూట్
सहाय्यक पुनरुत्पादक तंत्र,సహాయక పునరుత్పత్తి సాంకేతికత
असोसिएशन क्षेत्र,అసోసియేషన్ ప్రాంతం
असोसिएटिव्ह सहजीवन,అసోసియేటివ్ సహజీవనం
वर्गीकरण आणि पुनर्संयोजन,కలగలుపు మరియు పున omb సంయోగం
घटकांची वर्गीकरण,కారకం యొక్క కలగలుపు
अस्टाकस,అస్టాకస్
Asteraceae,ఆస్టెరేసి
एस्टेरेल्स,ఆస్టారేల్స్
लघुग्रह,గ్రహశకలం
दमा,ఉబ్బసం
अ‍ॅस्ट्रॅगलस गमिफर,ఆస్ట్రగలస్ గుమ్మర్
सूक्ष्म स्पिंडल पोल,జ్యోతిష్య కుదురు పోల్
खगोलशास्त्रज्ञ,ఖగోళ శాస్త్రవేత్త
असममित कॅरिओटाइप,అసమాన కార్యోటైప్
असममित,అసమాన
एथेरोमॅटस,అథెరోమాటస్
एथेरोस्क्लेरोसिस,అథెరోస్క్లెరోసిస్
एथेरोस्क्लेरोटिक प्लेक,అథెరోస్క్లెరోటిక్ ఫలకం
नकाशांचे पुस्तक,భౌగోళిక పటం
