Hindi,Kannada
अधिपादप,ಗಾಳಿ ಸಸ್ಯ
ऐकिओची मृदा,ಅಕೋಚಿ ಮಣ್ಣು
"वर्णकहीनता, अवर्णता",ಆಲ್ಬೋ
एल्फिसॉल,ಆಲ್ಫಿಸೋಲ್ಸ್
"शैवाल, काई",ಪಾಚಿ
शैवाल रोग,ಪಾಚಿಯ ಕಾಯಿಲೆ
क्षार जल,ಕ್ಷಾರ ನೀರು
क्षारीय,ಕ್ಷಾರೀಯ
विकल्पी,ಇಳಿಜಾರು
एलीलो रसायन,ಆಲಿನೋಕೆಮಿಕಲ್ಸ್
युग्मविकल्पी,ಅನನುಕಣ
एलीलोपैथी,ಅಲಲೋಪತಿ
वीथी सस्यन,ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್
परनिषेक-फलता,ನಿಯೋಜಕ
परनिषेचन,ಅಲೋಗಮಿ
"सापेक्षमिति, ऐलोमैट्री",ಮಾಪಕ
परबहुगुणित,ಸೂತ್ರ
"परयुग्मन, अपायुग्लन",ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್)
"एकातंर वर्ष फलन, एकांतरित फलन",ಪರ್ಯಾಯ ಬೇರಿಂಗ್
वैकल्पिक भूमि उपयोग,ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ
परिवेश,ಸುತ್ತುವರಿಯುವ
सुधारक,ಅಚಲ
असूत्रीविभाजन,ಅಮೀಟಾಸಿ
ऐमीनन,ಕಸಚುಗಾರ
अमोनियन,ಅಮೋನೀಕರಣ
अमोनीकारक,ಅಮೋನಿಗೆ ಮಾಡುವವ
" अप्रभावी रूप, , अरूपी",ಅಬ್ಬರಿಸು
उभय मिश्रण,ಉಭಯಮತ್ರ
उभयधर्मी,ಉದ್ದವಾದ
उपचय,ಅನಾಬಾಲಿಸಂ
"अवायुजीव, अनॉक्सी जीव",ಬಯೆರೋಲೆ
असुगुणित,ಅನೆಲಾಯ್ಡ್
कोणीय रोपण,ಕೋನ ನೆಡುವುದು
पशुपालन,ಪಶುಸಂಗೋಪನೆ
पशु उच्छिष्ट,ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ
सजीव ऊर्जा,ಅನಿಮೇಟ್ ಎನರ್ಜಿ
असमगुणित,ಹದಮೆರಗಿ
एकवर्षीय पादप,ವಾರ್ಷಿಕ ಸಸ್ಯ
वार्षिक,ವಾರ್ಷಿಕ
"परागोद्भव, प्रफुल्लन",ಸ ೦ ಗೀತ
ऐन्थ्रेक्स,ಆಂಥ್ರಾಕ್ಸ್
मानवजनिक कारक,ಮಾನವಜನ್ಯದ ಅಂಶ
प्रतिजीविता,ಪ್ರತಿಜೀವಕ
"प्रतिजैविक, ऐन्टीबायोटिक",ಪ್ರತಿಜೀವಕ
प्रतिकारक,ಪ್ರತಿವಿಷ
प्रतिऑक्सीकारक,ಆವರಣಕಾರಕ
प्रतिआविष,ಪ್ರತಿಚರಣ
वलयिका,ಉಚ್ಚಾರಣಾ
"ऐफिड, माहू, चेपा",ಮುನಸು
शीर्ष कलिका,ಸುಲಿಯ ಮೊಗ್ಗು
शिखाग्र प्रभाविता,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
मधुमक्खी पालन,ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್)
असंगजनन,ತಿಕ್ಕಲು
एपोप्टोसिस,ಅಪಶೂನ್ಯತೆ
उपांग,ಅನುಬಂಧ
क्षुधावर्धक,ಜೀರ್ಣಕಾರಕವಾಗಿ
अनुप्रयुक्त,ಅನ್ವಯಿಕ
जलीय खरपतवार,ಜಲಚರಗಳು
"वृक्षीय, वृक्षवासी",ಆಕ್ಷರ
प्रशाखायन,ಗುಂಡಿನ ಕವಚ
आद्य वानस्पतिक अभिलेख,ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
क्षेत्रांकड़,ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು
"क्षेत्र, क्षेत्रफल",ಪ್ರದೇಶ
शुष्क पारितंत्र,ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
"बीजचोल, बीजोपांग",ಹದಮೆರಗಿ
"सौरभ, सुवास",ಸುವಾಸನೆ
सुगंधी पादप,ಆರ್ಯ ಸಸ್ಯ
सुगंधित चावल,ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ
इक्षु पुष्पन,ಬಾಣ
अपूति,ಕಸ ರೋಗಿಗಳು
"अपूतित, अज़र्म",ಅಸೆಪ್ಟ್
अलैंगिक प्रवर्धन,ಅಲೈಂಗಿಕ ಪ್ರಸಾರ
"आमाप, परख",ಪರಾಕ್ರಮ
परिसंपत्ति,ಸ್ವಸಮಾನಗಳು
"स्वांगीकरण, आत्मसात्करण",ಏಕೀಕರಣ
" साहचर्य , संघ",ಸಂಘ
"स्तंभक, कषाय",ತಗ್ಗು
असूत्रयुग्मन,ಕಸ ರೋಗ
"पूर्वजता, ऐटाविज्म",ಅಟಾವ್ ವಾದ
कणित्र,ವ್ಯಭಿಚಾರಿ
"अपुष्टि, क्षीणता",ಕ್ಷೀಣತೆ
स्वयुग्मन,ಸ್ವಯಂಚಾಲಿತ
स्वलयन,ಆಟೊಲಿಸಿಸ್
"स्वतः उपचयन, स्वतः ऑक्सीकरण",ದಾಟುವಿಕೆ
स्वबहुगुणित,ಸ್ವಯಂಚಾಲನ ಫಲಕ
ऑक्सिन,ಸಮಶೀತ
"शूक, तूड़",AWN (ಬಿರುಗೂದಲುಗಳು)
बादाम,ಬಾದು
धीकुवार,ಅಡೆ
"चौलाई, रामदाना",ಹುಳಿ
अजवाइन,ಅಮ್ಮ
"अंजन घास, धामन घास",ಅಂಜಾನ್ ಹುಲ್ಲು
एंथूरियम,ಆಧಿವಾತ
आंवला,"ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ"
सेब,ಸೇಬು
खुबानी,ಏಪ್ರಲಿ
"मोगरा, बेला",ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್
सुपारी,ಅರೆನಗವ
अर्जुन,ಹಳ್ಳ
हींग,ಅಸ್ಫೊಟಿಡಾ
पेठा,ಬೂದಿ ಸೋರೆಕಾಯಿ
अशोक,ಅಶೋಕ ಮರ
दूधी,ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ)
सतावर,ಶತಾವರಿ
अवोकाडो,ಆವಕಾಡು
"रिजक्रा, लूसर्न",ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್)
चींटी,ಇರುವೆಗಳು
"तेला, माहू",ಗಿಡಹೇನುಗಳು
सैनिक कीट,ಸೈನ್ಯದ ಹುಳು
कृषि अर्थशास्त्री,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
कृषि प्रसार विज्ञानी,ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ
कृषि वैज्ञानिक,ಕೃಷಿ ವಿಜ್ಞಾನಿ
कृषि अभियंता,ಕೃಷಿ ಎಂಜಿನಿಯರ್
कृषि जीवविज्ञानी,ಕೃಷಿ ವಿಜ್ಞಾನಿ
सस्य विज्ञानी,ಕೃಷಿವಾದಿ
कृषि भौतिकीविद्,ಕೃಷಿ ಭೌತ
" प्राणि प्रजनक , पशु प्रजनक",ಪ್ರಾಣಿ ತಳಿಗಾರ
दंड विषाणु,ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್
"दंडाणु, बैसिलस",ಗಾಡಿ
"जीवाणु, बैक्टीरिया",ಬ್ಯಾಕ್ಟೀರಿಯಾ
जीवविष,ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್
खोई,ಬಜಾಸ್ಸೆ
"तुलन-पत्र, चिट्ठा",ಸಮತೋಲನ
संतुलित निषेचन,ಸಮತೋಲನೀಕರಣ
दंड आरेख,ಗಿರಣಿ ರೇಖೆ
छाल,ತೊಗಟೆ
"वायुदाबमापी, बैरोमीटर",ಮಾಪಕ
"बजर, अकृष्य, बांझ",ಬಂಜೆ
"आधार, बेस, कपांग",ಬೇನೆ
"थाला, द्रोणी",ಜಲಾನಯನ ಪ್ರದೇಶ
तलाभिसारी,ಸ್ವಲ್ಪ
"बेसिस्टर्नम, मूलाधारक",ಬಾಸದ
खाड़ी मानसून,ಕೊಂಬೆ ಮಾನ್ಸುನ್
फलदायी पौधा,ಹೊಳಪಿನ
क्यारी,ಹಾಸಿಗೆ
क्यारी - पौधा,ದಟ್ಟಕಾರ
क्यारी बनाना,ಹಾಸಿಗೆ
चुंकदर शीरा,ಬೀಟ್ ಮೊಲಾಸಸ್
धौंकनी,ಬೆನ್ನೆಲುಬು
"पट्टी, इलाका",ಪಟ್ಟಿಗೆ
लाभ-लागत विश्लेषण,ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ
अभिनत (प्रतिचयन),ಪಕ್ಷಪಾತ (ಮಾದರಿ)
द्विवर्षीय पादप,ದ್ವೈವಾರ್ಷಿಕ
द्विपद,ದ್ವಿಪದೀಯ
जैवकारक,ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ
जीव जलवायु,ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ
जैव ऊर्जा,ಜೈವಿಕ ಕರ್ತವ್ಯ
जीव पारिस्थितिकी,ಜೈವಿಕಶಾಸ್ತ್ರ
"जैव-प्रक्रियापात्र, बायो रिएक्टर",ಜೈವಿಕ ರಿಯಾಯಿತಿ
जीव-मंडल,ಜೀವಗೋಳ
जैविक,ಜೈವಿಕ
जीव प्रारूप,ಬಯೋಟೈತನ
द्विलिंगी,ದ್ವಿಲಿಂಗಿ
धवलन,ಚಿರತೆ
"प्रध्वसं (रोग), झोंका रोग",ಹರಡು
सम्मिश्रण,ಮಿಶ್ರಣ
"अंगमारी (रोग), ब्लाइट (रोग)",ಗದ್ದಲ
"छाला, फफोला, उद्वर्त, ब्लिस्टर",ಗುಳ್ಳೆ
नीली क्रांति,ನೀಲಿ ಕ್ರಾಂತಿ
तलीय ताप चैंबर,ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ
तलीय ताप तकनीक,ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ
चोकर,ಹೊಟ್ಟು
शाखन,ಕವಲೊಡೆ
"टहनी, उपशाखा",ಸಣ್ಣ ಕೊಂಬೆ
नस्ल,ತಳಿ
"प्रजनन, अभिजनन",ತಳಿ
शीघ्र अंकुरण उपचार,ಕಂಗುರು
"शाव, अंड, भ्रूण",ಸಂಸಾರ
कलिकायन,ಮೊಳಕೆಯ
बजट,ಬಜೆ
"उभयप्रतिरोधी, बफर",ಬಫಲು
शल्ककंद,ಬಟಗು
"बंट (रोग), चोट",ಚೂರುಚೂರಾಗಿ
"उपजात, उपोत्पाद",ಉಪ-ಉತ್ಪನ್ನ
"बबूल, कीकर",ಬಾಬುಲ್ ಅಕೇಶಿಯ
बेबी कॉर्न,ಬೇಬಿ ಕಾರ್ನ್
बेल,ಬುದ್ದಿ
लाजालु,ಬಾಯಿ
गुलमेंहदी,ಕಸಕ
बांस,ಬಿದಿರು
केला,ಬಾಳೆಹಣ್ಣು
बरगद,ಆಲದ ಮರ
जौ,ಬಾರ್ಲಿ
सावां,ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ
तुलसी,ತುಳಸಿ
रुद्राक्ष,ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್
बहेड़ा,ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್
कचनार,ಮಾಟ
कैफल,ಕೊಲ್ಲಿ ಬೆರ್ರಿ
सेम,ಹುರುಳಿ
चुकंदर,ಬೀಟ್
बेलाडोना,ಬೆಲ್ಲ
बेर,ಗಡಿ
बरसीम,ಗಡಿ
पान,ಬಿಲ್ಲೆ
बिलिंबी,ಬಿಲಿಂಬಿ
करेला,ಹಾಗಲಕಾಯಿ
उड़द,ಕಪ್ಪು ಗ್ರಾಂ
मकोय,ಕಪ್ಪು ನೈಟ್ಶೇಡ್
बोगेनविलिया,ಬಾಗ್‌ನ್ವಿಲ್ಲಾ
बोटल ब्रश,ಬಾಟಲಿ ಕುಂಚ
लौकी,ಬಾಟಲಿ ಸೋರೆ
"चीकदी, पापरी",ಬಾಕ್ಸ್ ಮರ
ब्रेड फ्रूट,ಬ್ರೆಡ್ ಹಣ್ಣು
डेला,ವಧುವಿನ
बैंगन,ಬಿಲ್ಲಾ
"बाकला, चौड़ी बीन",ವಿಶಾಲ ಹುರುಳಿ
ब्रोकोली,ಕೋಸುಗಡ್ಡೆ
ब्रुसेल्स स्प्राउट,ಬ್ರಸೆಲ್ ಮೊಳಕೆ
कुटू,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್
"पलाश लता, किंशुक",ದೆವ್ವ
घूंस,ದಳ
भालू,ಕರಾರು
भृंग,ಜೀರುಂಡೆ
फफोला भृंग,ಗುಳ್ಳೆ ಜೀರುಂಡೆ
नील गाय,ನೀಲಿ ಬುಲ್
कपास की सूंड़ी,ಬಾಲ್ ಹುಳು
तितली,ಚಿಟ್ಟೆ
जीवाणु विज्ञानी,ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ
जैव रसायनविद्,ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ
जीव विज्ञानी,ಜೀವಶಾಸ್ತ್ರಜ್ಞ
जैव प्रौद्योगिकीविद्,ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ
वनस्पतिविद्,ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ
c नमी विशिष्टता वक्र,ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ
खली,ಕೇಕು
"चूनेदार, कैल्सियमी",ಕ್ಯಾಲ್ಕೇರಿಯ
कैल्सीयन,ಲೆಕ್ಕಪರಿಶೋಧನೆ
फॉस्फेट का निस्तापन,ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ
"किणता, कैलसता",ಗಲಾಟೆ
"कैलस, किण",ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ
"बाह्यदल पुंज, कैलिक्स",ಕಣಿವೆ
बाह्यदल अंत,ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ
एधा,ಕ್ಯಾಂಬಿಯಂ
कैंकर (जीवाणु रोग),ಗೋಪುರ
डिब्बाबंदी,ಡಬ್ಬಿ
वितान,ಮೇಲಾವರಣ
पूंजी,ಬಂಡವಾಳ
परागण (अंजीर का),ರಭಸ
"संपुट, संपुटिका, कैप्सूल",ಬಿರಡೆ
कार्बोनीकृत,ಇಂಗಾಲದ
कार्बनन,ಇಂಗಾಲೀಕರಣ
अंडप,ಗಡಿ
मणिबंध,ಗಾಡಿ
" ढलाई (लोहे की) , क्षिप्ति (कीट)",ಬಿಂಚು
अपचय,ಕಟಾಬೋಲಿಸಂ
उत्प्रेरण,ವೇಗವರ್ಧನೆ
"इल्ली, सूंडी",ಮರಿಹುಳು
C- डीएनए संग्रह,ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ
सीमा,ಚಾವಣಿಯ
"कोशिका, कोष्ठिका",ಕೋಶ
केंद्रीय अग्रलेख प्रणाली,ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ
"सबिंदु, सकेंद्र",ಕೇಂದ್ರೀಯ
अपकेंद्रण,ಕೇಂದ್ರೀಕರಣ
अपकेंद्रित,ಕೇಂದ್ರಾಪಗಾಮಿ
तारककेंद्र,ಕೇಂದ್ರ
केंद्रजनिक,ಮಧ್ಯಭಾಗದ
केंद्रजा,ಮಧ್ಯಮ ಜನಕ
लूम,ಸರ್ಕಸ್
"धान्य, सीरियल",ಏಕದಳ
"प्रमाणीकरण, प्रमाणन",ಪ್ರಮಾಣೀಕರಣ
प्रमाणित बीज,ಬೀಜ
"भूसा, कुट्टी, शल्क सहपत्र",ಚಾವಟಿ
"निभाग, कैलाजा",ದನಗಳು
रसानुवर्तन,ರಾಸಾಯನಿಕತೆ
"काएज्मा, व्यत्यस्त",ಚಿರತೆ
द्रुतशीतन घंटे,ತಣ್ಣಗಾಗುವ ಸಮಯ
शीतज क्षति,ತಣ್ಣಗಾಗುವುದು
"विचित्रोतकी, किमेरा",ಚಿಮಿಯ
हरित दली,ಕ್ಲೋರಾಂಥಿ
"पर्णहरित, हरितक",ಚೂರು
हरिमाहीनता,ಕ್ಲೋರೋಸಿಸ್
जीव वितरण विज्ञान,ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ
"क्रोमैटिड, अर्धगुणसूत्र",ವರ್ಣರಂಜಿತ
क्रोमैटिन,ಕ್ರೊಮ್ಯಾಟಿನ್
वर्णलेखन,ವರ್ಣರೇಖನ
क्रोमोटिनलयन,ವರ್ಣರಂಗೀಕರಣ
परिसूत्र बिंदु,ವರ್ಣಚಿತ್ರ
वर्णजनन,ವರ್ಣಗುವನ
"क्रोमोप्रोटीन, वर्णकप्रोटीन",ವರ್ಣರಂಜಿತ
"गुणसूत्र, क्रोमोसोम",ವರ್ಣತಂತು
"चिरकाली, दीर्घकाली, जीर्ण, पुराना",ದೀರ್ಘಕಾಲದ
सिट्रेंज,ನಲಿದ
पर्णाभपर्व,ಕ್ಲಾಡೋಡ್
वर्गीकरण,ವರ್ಗೀಕರಣ
"मृत्तिका, चिकनी मिट्टी",ಮಣ್ಣಿನ
"निर्मलन, मार्जन, सफाई, शोधन",ಸ್ವಚ್ aning ಗೊಳಿಸುವುದು
"अनुन्मील्य परागण, स्वपरागण",ಕ್ಲಿಸ್ಟೊಗಮಿ
क्रांतिक श्वसनी फल,ಕ್ಲೈಮ್ಯಾಕ್ಟರಿಕ್ ಹಣ್ಣು
जलवायु,ವಶ
जलवायु विज्ञान,ಹವಾಮಾನಶಾಸ್ತ್ರ
कतरनी,ಹಸುರು
ढेला (मिट्टी का),ಹೆಪ್ಪುಗಟ್ಟಿಸು
"क्लोन, कृन्तक",ತದ್ರೂಪಿ
"मेघ, बादल",ಮೋಡ
"पुंज (क्लंप, संपुंजन)",ಕಡು
गुच्छ,ಚೂರು
"स्थूल, मोटा, कच्चा, अपरिष्कृत",ಒರಟಾದ
"आवरण (बीज़), चर्मावरण",ಕೋಟ್ (ಬೀಜ)
कोया,ಕೋಕೂನ್
"कोएन्जाइम, सह-प्रकिण्व",ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
संसंजन,ಒಗ್ಗಟ್ಟು
" रेशा (जूट पटसन) , नारियल जटा",ಗುಣ
मूलांकुर चोल,ಕೋಲೀರರಿ iz ಾ
"स्तंभमूलसंधि, कॉलर, ग्रीवा",ಕತ್ತುಪಟ್ಟಿ
कोलॉइड (मृदा),ಕೊಲಾಯ್ಡ್ (ಮಣ್ಣು)
"स्तंभिका, कॉलुमेला",ಕೊಲ್ಯುಮೆಲ್ಲಾ
"दंड, स्तंभ, कॉलम",ಕಾಲಮ್
सहभोजिता,ಆರಂಭದ ಆರಂಭ
वाणिज्यिक बैंक,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
"जिंस, पण्य वस्तु",ಸರಕು
समुदाय,ಸಮುದಾಯ
"संहनन, (मृदा का)",ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
"सुसंगति, संगतता",ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
सुसंगतता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
"क्षतिपूर्ति, मुआवजा",ಪರಿಹಾರ
स्पर्धी अन्योन्यक्रिया,ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂವಹನ
पूरक सस्य,ಪೂರಕ ಬೆಳೆ
"सम्मिश्र, जटिल",ಸಂಕೀರ್ಣ
घटक,ಅಂಶ
संघटन,ಸಂಯೋಜನೆ
कंपोस्ट,ಕಾಂಪೋಸ್ಟ್
चक्रवृद्धि ब्याज,ಚಕ್ರಬಡ್ಡಿ
अभिकलन,ಗಣನೆ
"अभिकलित्र, कंप्यूटर",ಕಂಪ್ಯೂಟರ್
"सांद्रण, संकेद्रण",ಏಕಾಗ್ರತೆ
"अनुकूलक, पुनरुद्धारक",ಷರತ್ತು
चालकता,ಹೋರಾಡುವಿಕೆ
"विन्यास, संरूपण",ಸಂರಚನೆ
"अनुरूपता, समविन्यास, समरूपता",ಅನುರೂಪತೆ
"समाकुलन, संकरण",ಗೊಂದಲಕ್ಕೊಳಗಾಗುವ
संयुग्मन,ಸಂಯೋಗ
"योजी, संयोजी",ಸಂಯೋಜಕ
सरंक्षण,ಸಂರಕ್ಷಣಾ
चकबंदी,ಬಲವರ್ಧನೆ
"संघटक, अवयव",ಸಂಕುಚಿತತೆಗಳು
उपभोक्ता,ಗ್ರಾಹಕ
उपभोग,ಸೇವನೆ
संदूषण,ಮಾಲಿನ್ಯ
समोच्च रोपण,ಬಾಹ್ಯರೇಖೆ ನೆಡುವಿಕೆ
समोच्च रेखा,ಬಾಹ್ಯರೇಖೆ
"संविदा कृषि, ठेका कृषि, अनुबंधित खेती",ಒಪ್ಪಂದದ ಕೃಷಿ
नियंत्रित भंडारण,ನಿಯಂತ್ರಿತ ಸಂಗ್ರಹಣೆ
सहकारी बैंक,ಸಹಕಾರ ಬ್ಯಾಂಕ್
सहकारी संस्था सदस्य,ಸಹಕಾರ
गुल्मवन,ತಗ್ಗಿಸು
घनकंद,ಗಂಡಿ
"दलपुंज, कोरोला",ಹುಲ್ಲುಗಾವಲು
"वल्कल, कॉर्टेक्स",ಕಂದುಬಣ್ಣ
लागत,ಬೆಲೆ
बीजपत्र,ಕೋಟಿಲೆಡಾನ್ (ಬೀಜ)
ऋण समिति,ಕ್ರೆಡಿಟ್ ಸೊಸೈಟಿ
"उधार, साख",ಮನ್ನಣೆ
"ऋणदाता, लेनदार",ಸಾಲದಾತ
"शिखा, शीर्ष, शिखर",ಕ್ರೆಸ್ಟ್
व्याकुंचन,ಸುಕ್ಕುಗಟ್ಟುವುದು
संकट,ಬಿಕ್ಕಟ್ಟು
कसौटी,ಮಾನದಂಡ
"क्रांतिक, विकट, नाजुक",ನಿರ್ಣಾಯಕ
फसल बीमा,ಬೆಳೆ ವಿಮೆ
फसल ऋण,ಬೆಳೆ ಸಾಲ
"सस्य, फसल",ಬೆಳೆ
