Punjabi,Telugu
ਗੰਭੀਰ,తీవ్రమైన
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਨੁਕੂਲਤਾ,అనుసరణ
ਚਿਪਕਿਆ,సంశ్లేషణ
ADPIPOSE,కొవ్వు
ਵਿਵਸਥ ਸਮੀਕਰਨ,సర్దుబాటు సమీకరణం
ਅਡੋਬ ਮਿੱਟੀ,అడోబ్ నేల
ਮਨਜ਼ੂਰ,కల్తీ
ਸਾਹਸੀ,సాహసోపేతమైనది
ਏਸੀਡਿਓਸਪੋਰ,Aecidiospore
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,అయోలియన్ ప్రక్రియ
ਏਓਲੀਅਨ,అయోలియన్
Aeate,ఎఫరేట్
ਏਰੀਅਲ,ఆకాశయాన
ਐਰੋਮੀਟਰ,ఏరోమీటర్
ਐਰੋਸੋਲ,ఏరోసోల్
ਖਰਾਸ਼,ఎస్టివేషన్
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),పశ్చాత్తాప విజ్ఞానము
ਕਥਾ,అటవీ నిర్మూలన
ਅੰਦੋਲਨ,ఆందోళన
ਆਕਮਾਰਕ,అగ్మార్క్
ਅਗਰਾਰੀਅਨ,వ్యవసాయం
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,వ్యవసాయ క్లినిక్
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,వ్యవసాయ శ్రమ
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,వ్యవసాయ మార్కెటింగ్
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
ਖੇਤੀ ਬਾੜੀ,వ్యవసాయం
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,అగ్రిసిల్వికల్చర్
ਖੇਰਤ,అగ్రోబియోడివైవర్సిటీ
ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ,అగ్రోబయోలాజికల్ లోపాలు
ਅਗਾਹੀਵੋਲੋਜੀ,అగ్రోబయాలజీ
ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ,అగ్రోక్లిమాటిక్ వైవిధ్యం
ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ,అగ్రోక్లిమాటిక్ జోనింగ్
ਐਗਰੋਫੋਰੈਸਟਰੀ,అగ్రోఫారెస్ట్రీ
ਖੇਤੀਬਾਜੀ,వ్యవసాయ శాస్త్రం
ਖੇਤੀਬਾੜੀ,వ్యవసాయ శాస్త్రం
ਐਗ੍ਰੋਪਾਸਟਰਲ,అగ్రోపాస్టోరల్
ਸ਼ਿਕਾਰ,అగ్రోప్రాసెసింగ్
ਐਗਰੋਸਟੋਲੋਜੀ,అగ్రోస్టాలజీ
ਐਗਰੋਟਾਈਪ,అగ్రోటైప్
ਏਅਰ ਪੌਦਾ,ఎయిర్ ప్లాంట్
ਅਕੀਓਚੀ ਮਿੱਟੀ,అకియోచి నేల
ਅਲਮੀਨੀਜ਼ਮ,అల్బినిజం
ਐਲਫਿਸੋਲਸ,ఆల్ఫిసోల్స్
ਐਲਗੀ,ఆల్గే
ਐਲਗਲ ਰੋਗ,ఆల్గల్ వ్యాధి
ਅਲਕਾਲੀ ਪਾਣੀ,క్షార నీరు
ਐਲਕਲੀਨ,ఆల్కలీన్
ਐਲੀਲੇ,యుగ్మ వికల్పం
ਐਲਲੋਕਲਿਕਸ,అల్లెలోకెమికల్స్
ਅਲੇਲੋਮੋਰਫ,అల్లెలోమోర్ఫ్
ਅਲੇਲੋਪੈਥੀ,అల్లెలోపతి
ਐਲੀ ਫਸਲ,అల్లే క్రాపింగ్
ਅਲੋਕਰੇਪੀ,కేటాయింపు
ਆਲੋਗਮ,అయోగాగమి
ਐਲੋਮੈਟਰੀ,అలోమెట్రీ
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,అల్లోపాలిప్లోయిడ్
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),(అలోసిన్సిస్ఐలు
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,ప్రత్యామ్నాయ బేరింగ్
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,ప్రత్యామ్నాయ భూ వినియోగం
ਅੰਬੀਨਟ,పరిసర
ਅਮਜੀਗਤ,అమేలియోరెంట్
ਅਮਿਤੋਸਿਸ,అమిటోసిస్
ਅਮਿਨਾਜਾਈਜ਼,అమినైజేషన్
ਅਨੁਮੋਧ,అమ్మోనిఫికేషన్
ਅਮੋਨੀਫਾਇਰ,అమ్మోనిఫైయర్
ਅਮੋਰਫ,AMORFH
ਐਮਫੀਮਿਕਸਿਸ,యాంఫిమిక్సిస్
ਐਮਫੋਟੇਰਿਕ,యాంఫోటెరిక్
ਐਨਾਬੋਲਿਜ਼ਮ,అనాబాలిజం
ਅਨੀਰੋਬ,Anaerobe
ਅਨੀਉਟਲੋਇਡ,అనూప్లోయిడ్
ਕੋਣ ਲਾਉਣਾ,యాంగిల్ నాటడం
ਪਸ਼ੂ ਪਾਲਣ,పశుసంరక్షణ
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,జంతు తిరస్కరణ
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,శక్తిని యానిమేట్ చేయండి
ਅਨੀਸੋਪਲੋਇਡ,అనిసోప్లాయిడ్
ਸਾਲਾਨਾ ਪੌਦਾ,వార్షిక ప్లాంట్
ਸਾਲਾਨਾ,వార్షిక
ਐਥੇਸਮਿਸ,సంశ్లేషణ
ਐਂਥ੍ਰੈਕਸ,ఆంత్రాక్స్
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,మానవ కారకం
ਐਂਟੀਬਾਇਸਿਸ,యాంటీబయోసిస్
ਐਂਟੀਬਾਇਓਟਿਕ,యాంటీబయాటిక్
ਐਂਟੀਡੋਟਾ,విరుగుడు
ਐਂਟੀਆਕਸੀਡੈਂਟਸ,యాంటీఆక్సిడెంట్లు
Antitoxin,యాంటిటాక్సిన్
ਐਨਾਬੁਲਸ,యాన్యులస్
Aphid,అఫిడ్
Apical ਮੁਕੁਲ,ఎపికల్ బడ్
ਏਪਿਕਲ ਦਬਦਬਾ,ఎపికల్ ఆధిపత్యం
Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ),పుష్పగుచ్ఛము
ਅਪੋਮਿਕਸ,అపోమిక్సిస్
ਅਪੋਪੋਟੋਸਿਸ,అపోప్టోసిస్
ਅੰਤਿਕਾ,అనుబంధం
ਭੁੱਖ,ఆకలి
ਲਾਗੂ ਕੀਤਾ,అనువర్తిత
ਐਕੁਆਟਿਕ ਬੂਟੀ,జల కలుపు
ਅਰਬੋਰੀਅਲ,అర్బోరియల్
ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ,అర్బరైజేషన్
ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,ఆర్కియో-బొటానికల్ రికార్డులు
ਖੇਤਰ ਦੇ ਅੰਕੜੇ,ప్రాంత గణాంకాలు
ਖੇਤਰ,ప్రాంతం
ਐੱਫ.ਡੀ.ਆਈ.,శుష్క పర్యావరణ వ్యవస్థ
ਅਰਿਲ,అరిల్
ਖੁਸ਼ਬੂ,వాసన
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,సుగంధ మొక్క
ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ,సుగంధ బియ్యం
ਐਰੋਇੰਗ,బాంజింగ్
Espesisis,అసేప్సిస్
Sseptic,అసెప్టిక్
ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ,అలైంగిక ప్రచారం
ਅਨੀ,పరీక్ష
ਸੰਪਤੀ,ఆస్తులు
ਸਹਿਯੋਗ,సమీకరణ
ਐਸੋਸੀਏਸ਼ਨ,అసోసియేషన్
ਤੂਫਾਨੀ,రక్తస్రావం
ਅਸਟੀਪਿਸਿਸ,అసినప్సిస్
ਅਟਵੀਵਾਦ,అటావిజం
ਐਟੋਮਾਈਜ਼ਰ,అటామైజర్
ਸ਼ੋਸ਼ਣ,క్షీణత
ਆਟੋਗ੍ਰਾਮ,ఆటోగామి
ਆਟੋਲਿਸਸਿਸ,ఆటోలిసిస్
ਆਟੋਮਿਡੇਸ਼ਨ,ఆటోక్సీడేషన్
ਆਟੋਪਲਿਪਲਾਈਡ,ఆటోపోలిప్లోయిడ్
Auxins,ఆక్సిన్లు
ਅੱਲ (ਬ੍ਰਿਸਟਲ),దంపతులు
ਬਦਾਮ,బాదం
ਐਲੋ,కలబంద
ਅਮੈਸ਼ਨਥਸ,అమరాంథస్
ਅਮਮੀ,Ammi
ਅੰਜਨ ਘਾਹ,అంజన్ గడ్డి
ਐਂਥਿਰੀਅਮ,ఆంథూరియం
"ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
ਸੇਬ,ఆపిల్
ਖੜਮਾਨੀ,నేరేడు పండు
ਅਰਬੀਅਨ ਜੈਸਮੀਨ,అర్బియన్ జాస్మిన్
ਅਰੇਕਾ ਗਿਰੀਦਾਰ,అరేకా గింజ
ਅਰਜੁਨ,అర్జున్
ਓਡੋਏਟਿਡਾ,అస్ఫోటిడా
ਸੁਆਹ,యాష్ పొట్లకాయ
ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ,అశోక చెట్టు
ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ),కవచము కలుపు
ਐਸਪੈਰਾਗਸ,ఆస్పరాగస్
ਆਵਾਕੈਡੋ,అవోకాడో
ਅਲਫਾਲਫਾ (LUSEREN),అంతా అల్నాఫ్న్నే
ਕੀੜੀਆਂ,చీమలు
ਐਫੀਡਜ਼,అఫిడ్స్
ਆਰਮੀ ਕੀੜੀ,ఆర్మీ పురుగు
ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ,వ్యవసాయ ఆర్థికవేత్త
ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ,వ్యవసాయ పొడిగింపు
ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ,వ్యవసాయ శాస్త్రవేత్త
ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ,వ్యవసాయ ఇంజనీర్
ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ,అగ్రోబయాలజిస్ట్
ਖੇਤੀਬਾਮੀ,వ్యవసాయ శాస్త్రవేత్త
ਅਸ਼ੋਲੀ,అగ్రోఫిసిక్
ਜਾਨਵਰ ਬ੍ਰੀਡਰ,జంతువుల పెంపకందారుడు
ਬੇਸਿਲਸ ਵਾਇਰਸ,బాసిల్లస్ వైరస్
ਬੈਸੀਲਸ,బాసిల్లస్
ਬੈਕਟੀਰੀਆ,బాక్టీరియా
ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ,బాక్టీరియోటాక్సిన్
ਬੈਗਸ,బాగస్సే
ਸੰਤੁਲਨ ਸ਼ੀਟ,బ్యాలెన్స్ షీట్
ਸੰਤੁਲਿਤ ਖਾਦ,సమతుల్య ఫలదీకరణం
ਬਾਰ ਡਾਇਗਰਾਮ,బార్ రేఖాచిత్రం
ਸੱਕ,బెరడు
ਬੈਰੋਮੀਟਰ,బేరోమీటర్
ਬੰਜਰ,బంజరు
ਅਧਾਰ,బేస్
ਬੇਸਿਨ,బేసిన్
ਬਾਸਿਪਟਲ,బాసిపెటల్
ਬਾਸੈਸਟਰਨੀਮ,బేసిథెర్నమ్
ਬੇ ਮਾਨਸੂਨ,బే రుతుపవనాలు
ਬੇਅਰਿੰਗ ਪੌਦਾ,బేరింగ్ ప్లాంట్
ਬਿਸਤਰੇ,మం చం
ਬੇਡਰ,బెడర్
ਬਿਸਤਰੇ,పరుపు
ਬੀਟ ਗੁੜ,దుంప మొలాసిస్
ਝੁਕੋ,బెలోస్
ਬੈਲਟ,బెల్ట్
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,బెనిఫిట్-కాస్ట్ అనాలిసిస్
ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ),పక్షపాతం
ਬਨੀਅਲ,ద్వైవార్షిక
ਬਿਨੀਮਾਇਲ,ద్విపద
ਬਾਇਓਜੈਂਟ,బయోజెంట్
ਬਾਇਓਸੈਲਮੇਟ,బయోక్లైమేట్
ਬਾਇਓਨੇਰਜੀ,బయోఎనర్జీ
ਬਯਨੋਮਿਕਸ,బయోనోమిక్స్
ਬਾਇਓਰੇਟਰ,బయోఇయాక్టర్
ਬਾਇਓਸਪੇਅਰ,బయోస్పియర్
ਬਾਇਓਟਿਕ,బయోటిక్
ਬਾਇਓਟਾਈਪ,బయోటైప్
ਲਿੰਗੀ,ద్విలింగ
ਬਲੈਂਚਿੰਗ,బ్లాంచింగ్
ਧਮਾਕਾ,పేలుడు
ਮਿਸ਼ਰਣ,కలపండి
ਝੁਲਸਣ,ముడత
ਛਾਲੇ,పొక్కు
ਨੀਲਾ ਇਨਕਲਾਬ,నీలం విప్లవం
ਤਲ ਗਰਮੀ ਚੈਂਬਰ,దిగువ వేడి గది
ਤਲ ਹੀਟ ਤਕਨੀਕ,దిగువ ఉష్ణ సాంకేతికత
ਬ੍ਰੈਨ,బ్రాన్
ਸ਼ਾਖਾ,శాఖ
ਬ੍ਰੀਚਲੇਟ,బ్రాంచ్లెట్
ਨਸਲ,జాతి
ਪ੍ਰਜਨਨ,పెంపకం
ਝਗੜਾ,బ్రిమ్మింగ్
ਬਰੂਦ,సంతానం
ਉਭਰਦਾ,బడ్డింగ్
ਬਜਟ,బడ్జెట్
ਬਫਰ,బఫర్
ਬੱਲਬ,బల్బ్
ਬੈਂਟ,బంట్
ਉਪ-ਉਤਪਾਦ,ఉప-ఉత్పత్తి
ਬਾਬੂਬਦ ਬੱਬੀ,బాబుల్ అకాసియా
ਬੇਬੀ ਮੱਕੀ,బేబీ మొక్కజొన్న
ਬਾਲ,బేల్
ਬਿਲ,బైల్
ਬਾਲਸਮ,బాల్సం
ਬਾਂਸ,వెదురు
ਕੇਲਾ,అరటి
ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ,మర్రి చెట్టు
ਜੌ,బార్లీ
ਬਾਰਨੀਅਰ ਬਾਜਰੇ,బార్నియార్డ్ మిల్లెట్
ਤੁਲਸੀ,తులసి
ਬਾਸਟਰਡ ਸੀਡਰ,బాస్టర్డ్ సెడార్
ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ,బాస్టర్డ్ మైరోబాలన్
Bauhinia,బౌహినియా
ਬੇ ਬੇਰੀ,బే బెర్రీ
ਬੀਨ,బీన్
ਚੁਕੰਦਰ,దుంప
ਬੇਲਾਡੋਨਾ,బెల్లడోన్నా
ਬੇਰ,బెర్
ਸੋਰਸਮ,బెర్సీమ్
ਸੁਪਾਰੀ,బెటెల్
ਬਿਲੀਮਬੀ,బిలింబి
ਕੌੜਾ ਬੈਰ,కాకరకాయ
ਕਾਲਾ ਗ੍ਰਾਮ,బ్లాక్ గ్రామ్
ਕਾਲੀ ਨਾਈਟਸੈਡ,బ్లాక్ నైట్ షేడ్
ਬੌਗੇਨਵਿਲੇਸਾ,బౌగెన్విలియా
ਬੋਤਲ ਬੁਰਸ਼,బాటిల్ బ్రష్
ਬੋਤਲ ਬਘਿਆੜ,బాటిల్ పొట్లకాయ
ਬਾਕਸ ਲੜੀ,బాక్స్ ట్రీ
ਬਰੈੱਡ ਫਲਾਂ,బ్రెడ్ ఫ్రూట్
ਵਿਆਹ ਦੀ ਨਿੰਬੂ,పెళ్లి లత
ਬ੍ਰਿੰਜਲ,బ్రింజల్
ਬ੍ਰੌਡ ਬੀਨ,బ్రాడ్ బీన్
ਬ੍ਰੋ CC ਓਲਿ,బ్రోకలీ
ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ,బ్రస్సెల్ మొలక
ਬੱਕਵੈਟ,బుక్వీట్
ਬੁਟੀਆ,బ్యూటియా
ਬੈਂਡਿਕੋਟ,బాండికూట్
ਰਿੱਛ,ఎలుగుబంటి
ਬੀਟਲ,బీటిల్
ਛਾਲੇ ਬੀਟਲ,బొబ్బ బీటిల్
ਨੀਲਾ ਬੁੱਲ,బ్లూ బుల్
ਬੁਲ ਕੀੜਾ,బోల్ పురుగు
ਬਟਰਫਲਾਈ,సీతాకోకచిలుక
ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ,బాక్టీరియాలజిస్ట్
ਬਾਇਓਕੈਮਿਸਟ,బయోకెమిస్ట్
ਜੀਵ ਵਿਗਿਆਨੀ,జీవశాస్త్రవేత్త
ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ,బయోటెక్నాలజిస్ట్
ਬੋਟੈਨਿਸਟ,వృక్షశాస్త్రజ్ఞుడు
ਸੀ ਨਮੀ ਦੇ ਗੁਣ,సి తేమ లక్షణ వక్రత
ਕੇਕ,కేక్
ਕੈਲਕਿਸ,కాల్కారియస్
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,కాల్సిఫికేషన్
ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ,ఫాస్ఫేట్ యొక్క లెక్కింపు
ਕਲੇਸ਼,కాలోసిటీ
ਕਾਲਸ,కాలిస్
ਕੈਲੀਕਸ,కాలిక్స్
ਕੈਲੀਕਸ-ਐਂਡ,కాలిక్స్-ఎండ్
ਕੈਮਬੀਅਮ,కాంబియం
ਕੈਨਕਰ,క్యాంకర్
ਕੈਨਿੰਗ,క్యానింగ్
ਕੈਨੋਪੀ,పందిరి
ਪੂੰਜੀ,రాజధాని
ਕੈਪਟੇਸ਼ਨ,కాప్రిఫికేషన్
ਕੈਪਸੂਲ,క్యాప్సూల్
ਕਾਰਬੋਨੇਟਡ,కార్బోనేటేడ్
ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ,కార్బోనైజేషన్
ਕਾਰਪਲ,కార్పెల్
ਕਾਰਪਸ,కార్పస్
ਕਾਸਟਿੰਗ,కాస్టింగ్
ਕੈਟਾਬੋਲਿਜ਼ਮ,క్యాటాబోలిజం
ਉਤਪ੍ਰੇਸਿਆ,ఉత్ప్రేరక
ਕੇਟਰਪਿਲਰ,గొంగళి పురుగు
ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ,సి-డిఎన్ఎ లైబ్రరీ
ਛੱਤ,పైకప్పు
ਸੈੱਲ,సెల్
ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ,కేంద్ర నాయకుడు వ్యవస్థ
ਕੇਂਦਰਿਤ,సెంట్రిక్
ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ,సెంట్రిఫ్యూగేషన్
ਸੈਂਟਰਿਫਿ ize ਜ,సెంట్రిఫ్యూజ్
ਸੈਂਟਰਿਓਲ,సెంట్రియోల్
CentRogenic,సెంట్రోజెనిక్
ਸੈਂਟੀਗਨੌਜ਼,సెంట్రోజెనస్
ਚੱਕਰ,సెర్కస్
ਅਨਾਜ,ధాన్యం
ਸਰਟੀਫਿਕੇਸ਼ਨ,ధృవీకరణ
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,ధృవీకరించబడిన విత్తనం
ਤੂਫਾਨ,చాఫ్
ਚਮਜ਼ਾ,చలాజా
ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ,కెమోట్రోపిజం
ਚਿਆਸਮਾ,చియాస్మా
ਚਿਲਿੰਗ ਘੰਟੇ,చిల్లింగ్ గంటలు
ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ,చిల్లింగ్ గాయం
Chimera,చిమెరా
ਚਲੋਟਰੈਠੀ,క్లోరాంథీ
ਕਲੋਰੋਫਿਲ,క్లోరోఫిల్
ਕਲੋਰੋਸਿਸ,క్లోరోసిస్
ਕਲੋਰੋਲੋਜੀ,క్లోరాలజీ
Chrimindidd,క్రోమాటిడ్
ਕ੍ਰੋਮੈਟਿਨ,క్రోమాటిన్
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,క్రోమాటోగ్రఫీ
ਕ੍ਰੋਮੈਟੋਲਸਿਸ,క్రోమాటోలిసిస్
ਕ੍ਰੋਮੋਸੀਸਟਰ,క్రోమోసెంట్రే
ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ,క్రోమోజెనిసిస్
ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ,క్రోమోప్రొటీన్
ਕ੍ਰੋਮੋਸੋਮ,క్రోమోజోమ్
ਦੀਰਘ,దీర్ఘకాలిక
ਸਾਇੰਗ,సిట్రేంజ్
ਕਲੇਡਡ,క్లాడోడ్
ਵਰਗੀਕਰਣ,వర్గీకరణ
ਮਿੱਟੀ,మట్టి
ਸਫਾਈ,శుభ్రపరచడం
ਕਲੇਰਿਸਟਾਗਮੀ,క్లిస్టోగామి
ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ,క్లైమాక్టెరిక్ పండు
ਮੌਸਮ,వాతావరణం
ਜਲਵਾਯੂ,క్లైమాటాలజీ
ਕਲੀਪਰ,క్లిప్పర్
ਕਲੋਡ,క్లాడ్
ਕਲੋਨ,క్లోన్
ਬੱਦਲ,మేఘం
ਕਲੰਪ,క్లాంప్
ਕਲੱਸਟਰ,క్లస్టర్
ਮੋਟੇ,ముతక
ਕੋਟ (ਬੀਜ),విత్తనం
ਕੋਕੂਨ,కోకన్
ਸਿੱਕੇ,కోఎంజైమ్
ਏਕਤਾ,సమన్వయం
ਕੋਇਰ,కోయిర్
ਕੋਲੀੋਰਿਹਿਜ਼ਾ,కోలియోరిజా
ਕਾਲਰ,కాలర్
ਕੋਲੋਇਡ (ਮਿੱਟੀ),ఘోథ
ਕੋਲਮੂਲਾ,కొలుమెల్లా
ਕਾਲਮ,కాలమ్
ਰਿਮੈਂਸੀਵਾਦ,ప్రారంభం
ਵਪਾਰਕ ਬੈਂਕ,వాణిజ్య బ్యాంకు
ਕਮੋਡਿਟੀ,వస్తువు
ਕਮਿ Community ਨਿਟੀ,సంఘం
ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ),సంపీడన (మట్టి)
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਮੁਆਵਜ਼ਾ,పరిహారం
ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ,పోటీ పరస్పర చర్య
ਪੂਰਕ ਫਸਲ,పరిపూరకరమైన పంట
ਗੁੰਝਲਦਾਰ,క్లిష్టమైన
ਭਾਗ,భాగం
ਰਚਨਾ,కూర్పు
ਖਾਦ,కంపోస్ట్
ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ,చక్రవడ్డీ
ਗਣਨਾ,గణన
ਕੰਪਿ computer ਟਰ,కంప్యూటర్
ਧਿਆਨ ਟਿਕਾਉਣਾ,ఏకాగ్రత
ਕੰਡੀਸ਼ਨਰ,కండీషనర్
ਚਾਲ-ਚਲਣ,ప్రవర్తన
ਕੌਨਫਿਗਰੇਸ਼ਨ,ఆకృతీకరణ
ਅਨੁਕੂਲਤਾ,అనుగుణ్యత
ਉਲਝਣ,గందరగోళం
ਸੰਜੋਗ,సంయోగం
ਕੁਨੈਕਟਿਵ,కనెక్టివ్
ਸੰਭਾਲ,పరిరక్షణ
ਇਕਜੁੱਟ,ఏకీకరణ
ਹਲਕੇ,భాగాలు
ਖਪਤਕਾਰ,వినియోగదారు
ਖਪਤ,వినియోగం
ਗੰਦਗੀ,కాలుష్యం
ਕੋਟੌਰ ਲਾਉਣਾ,ఆకృతి నాటడం
ਸਮਾਲ,ఆకృతి
ਇਕਰਾਰਨਾਮਾ ਖੇਤੀ,కాంట్రాక్ట్ వ్యవసాయం
ਨਿਯੰਤਰਿਤ ਸਟੋਰੇਜ,నియంత్రిత నిల్వ
ਸਹਿਕਾਰਤਾ ਵਾਲਾ ਬੈਂਕ,సహకార బ్యాంక్
ਸਹਿਕਾਰਤਾ,సహకారం
ਕਾੱਪੀਸ,కాపిస్
ਕੋਰਮ,కార్మ్
ਕੋਰੋਲਾ,కొరోల్లా
ਕੋਰਟੇਕਸ,కార్టెక్స్
ਲਾਗਤ,ధర
ਕੋਟੀਲਡਨ (ਬੀਜ),కోడిలిడాన్
ਕਰੈਡਿਟ ਸੁਸਾਇਟੀ,క్రెడిట్ సొసైటీ
ਕ੍ਰੈਡਿਟ,క్రెడిట్
ਲੈਣਦਾਰ,రుణదాత
ਕਰੈਸਟ,క్రెస్ట్
Crinkle,ముడతలు
ਸੰਕਟ,సంక్షోభం
ਮਾਪਦੰਡ,ప్రమాణం
ਆਲੋਚਨਾਤਮਕ,క్లిష్టమైన
ਫਸਲੀ ਬੀਮਾ,పంట భీమా
ਫਸਲ ਲੋਨ,పంట రుణం
ਫਸਲ,పంట
ਕਰੂਪਿੰਗ ਖੇਤਰ,పంట ప్రాంతం
ਕਰਾਸ-ਅਨੁਕੂਲ,క్రాస్ ఇన్ఫాంపిబుల్
