Hindi,Gujarati
2. सभा भवन,બેસિલિકા
बैस्टील,બેસ્ટિલા
बैस्टील,બેસ્ટિલ
2. कारागार,બેસ્ટિલ
तोपखाना,બેટરી
"रण, समर, युद्ध",યુદ્ધ
रण-व्यूह,Batlle-એરે
युद्ध-घोष,યુદ્ધ ક્રાય
युद्ध कोलाहल,યુદ્ધ દિન
"रण भूमि, रण क्षेत्र, समरांगण",યુદ્ધ ક્ષેત્ર
युद्ध-गान,યુદ્ધ સ્તોત્ર
एड़-युद्ध,સ્પર્સનું યુદ્ધ
ध्वज-संग्राम,ધોરણનું યુદ્ધ
"रणपोत, जंगी जहाज़, संगरपोत",યુદ્ધજહાજ
"संगरपोत शक्ति, रणपोत-शक्ति",યુદ્ધજહાજ-શક્તિ
बेयू चित्रपट,Bayeux ટેપેસ્ટ્રી
संकेत प्रकाश,બીકન
प्रकाश स्तंभ,બીકન ટાવર
मुखरक्षी,બીવર
2. बीवर सिक्का,બીવર
समुद्री बैगर,સમુદ્રના ભિખારીઓ
युयुत्यु,બેલીકોઝ
2. लड़ाकू,બેલીકોઝ
3. युद्धप्रिय,બેલીકોઝ
"युयुत्सा, युद्धप्रियता, लड़ाकूपन",બેલીકોસીટી
बेलोना,બેલોના
"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति",લાભ
पादरी-सुविधा,ધર્મગુરુઓનો લાભ
बेनीलक्स,બેનેલક્સ
"बर्लिन डिकी, बर्लिन निषेध",બર્લિન હુકમનામું
"जुझारू योद्धा, नार्सी योद्धा",બેર્સકર
बजांत,બેસન્ટ (=બેઝન્ટ)
बैथेल,બેથેલ
ग्रंथ-पूजक,ગ્રંથસૂચિ
ग्रंथपूजन,ગ્રંથસૂચિ
बिग बर्था,મોટા બર્થા
धर्मांध,ધર્માંધ
वासादेश,બિલેટિંગ
बिल ऑफ अटेन्डर,અટેન્ડરનું બિલ
अधिकार-पत्र,અધિકારોનું વિયેધક
"जीवनीकार, चरित लेखक",જીવનચરિત્રકાર
जातक कथाएँ,જન્મ કથાઓ
पड़ाव,બિવૉક
2. रण-शिविर,બિવૉક
3. सैनिक पहरा,બિવૉક
बाइज़ोनिया,બિઝોનિયા
अवैध दास आयात,બ્લેક બર્ડિંગ
काला झंडा,કાળો ઝંડો
काल-कोठरी,બ્લેક હોલ
2. ब्लैक होल,બ્લેક હોલ
"गद्दार, द्रोही",કાળો પગ (= સ્કેબ)
"ब्लैक शर्ट, काली कुर्ती दल",કાળો શર્ટ
कुल चिह्र,બ્લેઝોન
2. कुल चिह्र अंकन,બ્લેઝોન
कुल-चिह्रांकन कला,બ્લેઝોનરી
2. कलात्मक प्रदर्शन,બ્લેઝોનરી
"तड़ित युद्ध, तूफानी हमला",બ્લિટ્ઝક્રેગ
"गौरवमय क्रांति, रक्तहीन क्रांति",લોહી વગરની ક્રાંતિ (= ભવ્ય ક્રાંતિ)
"रक्तपात देय, खून की कीमत, रक्तपात दण्ड",બ્લડવાઈટ
खूनी मेरी (सन् - ईo),બ્લડી મેરી
ब्लू,વાદળી
"आभिजात्य, कुलीनता",વાદળી રક્ત
"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक",વાદળી પુસ્તક
"नीला फीता, ब्लू रिबन",વાદળી રિબન
2. सर्वोच्च सम्मान,વાદળી રિબન
राजकीय रक्षक,બ્લૂઝ (= રોયલ હોર્સ ગાર્ડ્સ)
नीली कुर्ती दल (इटली),વાદળી શર્ટ
नौसेना समर्थक,બ્લુ વોટર સ્કૂલ
"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल",બોર્ડ ઓફ કંટ્રોલ
"वर्म, जिरह-बख्तर",શારીરિક બખ્તર
बूर,બોઅર
लूट का माल,લૂંટ
बरो,બરો
सीनेट सदन,બુલ્યુટેરિયન
बूर्बा,બોર્બોન
बॉक्सर विद्रोह,બોક્સર બળવો
भुज कवच,તાણવું
बाहु पट्टिका,બ્રાસર્ડ
"2. भुज बंध, भुज कवच",બ્રાસર્ડ
बहुधान्यक प्रदेश,બ્રેડ વસાહતો
"वक्षस्त्राण, उरस्ताण",સ્તન પ્લેટ
आवक्ष भित्ति,સ્તન કામ
"ब्रेटवाल्डा, ब्रिटनों का अधिपति",બ્રેટવાલ્ડા
बटमार,બ્રિગન્ડ
"बटमारी, लुंठन, राहजनी",બ્રિગેન્ડેજ
"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल",બ્રિટિશ કોમનવેલ્થ ઓફ નેશન્સ
"ब्राउन शर्ट्स, भूरी कुर्ती दल",બ્રાઉન શર્ટ્સ (=નાઝીઓ)
ब्रुसेल्स संधि संगठन,બ્રસેલ્સ સંધિ (સંધિ) સંસ્થા (=વેસ્ટર્ન યુરોપિયન યુનિયન)
महिष चर्म,બફ
2. लघु कोट,બફ
बफ़-कोट,બફ-કોટ
बफ़-रेज़िमेंट,બફ્સ
ब्यूल,બુલે (= કાઉન્સિલ)
पट्टेदारी,બર્ગેજ
पौर प्रतिनिधि,બર્જેસ
बाईजेन्टिनी,બાયઝેન્ટાઇન
बाइजेन्टिनी गिरजाघर,બાયઝેન્ટાઇન ચર્ચ
बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य,બાયઝેન્ટાઇન સામ્રાજ્ય
बाइजेन्टिनी संवत्,બાયઝેન્ટાઇન યુગ
बाइजेन्टिनी इतिहासकार,બાયઝેન્ટાઇન ઇતિહાસકારો
"काबेल, षडयंत्रकारियों का गुट",કેબલ
सीज़रतंत्र,સીઝરિઝમ
खलीफ़ा,ખલીફા
"खुशनवीस, सुलेखक",સુલેખનકાર
सुलेख-विशारद,સુલેખનકાર
सुलेख,સુલેખન
कैल्ट्रॉप,કેલ્ટ્રોપ
सौहार्द,મિત્રતા
लघु कक्ष,કેમેરિલા
2. षाड्यंत्रिक,કેમેરિલા
(पोप का) मुकुट,કેમલૌકમ
"छद्मावरण, छद्म गोपन",છદ્માવરણ
अभियान,ઝુંબેશ
लश्करी; शिविरानुचर,શિબિર અનુયાયી
गिरजा क़ब्रिस्तान,કેમ્પો સાન્ટો
कैंपस मारशियस,કેમ્પસ માર્શિયસ
"कान्फोरा, डलियावाली",કેનેફોરા
कैंग; काष्ठबंध,કેંગ્યુ
गोलाबारी,તોપ
"युद्ध-बलि, तोपचारा",તોપ ઘાસચારો
धर्म-सूत्र,કેનન
"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम",કેનન કાયદો
"कैनोपेस आज्ञप्ति, कैनोपस डिक्री",કેનોપસ હુકમનામું
"चिह्रित शस्त्र, चिह्रित आयुध",શસ્ત્ર
बंदी,બંદીવાન
बंदीकर्त्ता,કેપ્ટર
कार्डिनल,કાર્ડિનલ
कार्ल,કાર્લ
कैरोलिन्जी राजवंश,કેરોલિંગિયન રાજવંશ
कारथूसी संप्रदाय,કાર્થુસિયન સંપ્રદાય
कारथूसी मठ,કાર્ટોસા
"किलेदार, कोटपाल",કેસ્ટેલિયન
2. केस्टेलन,કેસ્ટેલિયન
वर्ण-व्यवस्था,જાતિ વ્યવસ્થા
() दुर्ग,કિલ્લો
(2) गढ़ी,કિલ્લો
दुर्ग-नगर,કેસલ ટાઉન
कैस्ट्रा,કાસ્ટ્રા
2. रोमन शिविर,કાસ્ટ્રા
पादरी का सिंहासन,કેથેડ્રા
मुख्य गिरजाघर,કેથેડ્રલ
केटो स्ट्रीट षडयंत्र,કેટો સ્ટ્રીટ કાવતરું
कॉडिलो,કૌડીલો
() कैवेलियर,ઘોડેસવાર
(2) घुड़सवार,ઘોડેસવાર
कैवेलियर पार्लियामेंट,ઘોડેસવાર સંસદ
"पक्ष-त्यागी गुट, आडुलम गुट",અદુલ્લામની ગુફા
"गुहा-चित्रकारी, गुहा-चित्रण",ગુફા પેઇન્ટિંગ
2. गुहा-चित्र,ગુફા પેઇન્ટિંગ
सेन्टुमविर,સેન્ટુમવીર
सेंचुरियन,સેન્ચ્યુરિયન
"शताब्दी, सदी, शती",સદી
"जिरह-बख्तर, श्रृंखला-कवच",સાંકળ બખ્તર (= સાંકળ મેલ)
"समर्पित मंदिर, समर्पित पूजागृह",ચેન્ટ્રી
2. समर्पित धर्मदास,ચેન્ટ્રી
चैप पुस्तिका,ચેપ પુસ્તક
"धर्माधिकारी, चैपलिन",ધર્મગુરુ
पादरी मंडल,પ્રકરણ
सांयोगिक दुर्घटनाएँ,અકસ્માતોનો પ્રકરણ
कीतिंचिह्र,ચાર્જ
"कार्यदूत, दूत-कार्यकारी",ચાર્જ ડી અફેર્સ
विदाई परामर्श,ચાર્જ વિદાય
युद्धाश्व,ચાર્જર
विजय रथ,રથ
रथारोही,સારથિ
2. रथी,સારથિ
3. सारथी,સારથિ
"अन्नसत्र, लंगर",ચેરિટી રસોડું
"अधिकार-पत्र, चार्टर",ચાર્ટર
चार्टिस्ट आंदोलन,ચાર્ટિસ્ટ ચળવળ (= ચાર્ટિઝમ)
"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ",ચાર્ટોફિલેસિયમ
"सामंत गढ़ी, शातो",ચટેઉ
पड़ताल चौकी,ચેક પોસ્ટ
रासायनिक युद्ध,રાસાયણિક યુદ્ધ
दुर्ग-नगर,ચેસ્ટર
सरदार,મુખ્ય
सरदार,સરદાર
2. सामंत,સરદાર
3. राजा,સરદાર
"जालांशुक, जालीदार कपड़ा, शिफान",શિફૉન
शौर्य,શૌર્ય
यहूदी लोग,પસંદ કરેલા લોકો
दिव्यवाणी कक्ष प्रवचन कक्ष,ક્રિસ્મોગ્રાફિયન
ईसाई जगत,ખ્રિસ્તી ધર્મ
ईसवी काल,ખ્રિસ્તી યુગ
ईसाई समाजवाद,ખ્રિસ્તી સમાજવાદ
इतिवृत्त,ક્રોનિકલ
इतिवृत्तकार,ક્રોનિકર
स्वर्ण-भूमि,Chryse Chersonese
रत्न-कक्ष,સિમેલિયમ
सोलहवीं शती की शैली,Cinquecento પ્રકાર
परिनौचालन,પરિક્રમા
सिस्तर्शी साधु,સિસ્ટરસિયન સાધુ
"दुर्ग, गढ़ी",રાજગઢ
() प्रशस्ति,અવતરણ
(2) उपस्थिति सूचना,અવતરણ
सविनय अवज्ञा (आन्दोलन),સામાજિક અસહકાર
गृह-युद्ध,નાગરિક યુદ્ધ
रोमन नागरिक,સિવિસ રોમનસ
"कलासिकी युग, श्रेण्य युग",શાસ્ત્રીય વય
बटमार,Clepht (=klepht)
"पादरीवाद, पुरोहितवाद",કારકુનવાદ
"भूग्राही, क्लेरुक",કારકુન
क्लूनी आंदोलन,ક્લુનિયાક ચળવળ
"कवच, जिरह-बख्तर",કોટ બખ્તર
कुलांक,શસ્ત્રોનો કોટ
2. आयुधांक,શસ્ત્રોનો કોટ
3. अस्त्र-ध्वजादि-चित्रण,શસ્ત્રોનો કોટ
"कवच, जिरह-बख्तर, अंगत्राण",ટપાલનો કોટ
कोहॉर्ट,સમૂહ
कोमिशिया,કોમીટીયા
कोमिशिया सेंतुरियाता,કોમિટિયા સેન્ટુરિયાટા
कोमिशिया क्यूरिआता,કોમિટિયા કુરિયાટા
कोमिशिया ट्रिब्यूता,કોમિટિયા ટ્રિબ્યુટા
स्मारक तोरण,સ્મારક કમાન
स्मारक सिक्का,સ્મારક સિક્કો
स्मारक मुहर,સ્મારક સીલ
सार्वजनिक भूमि,સામાન્ય ક્ષેત્ર
कम्यूनार्ड,કોમ્યુનાર્ડ
समझौता,કોનકોર્ડેટ
2. धर्म-संधि,કોનકોર્ડેટ
कंदोत्यर,કોન્ડોટિયર
"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि",પુષ્ટિકરણ Cartarum
संघर्ष,સંઘર્ષ
धर्म-संगति,મંડળ
विजेता राज्य,વિજયી રાજ્ય
विजेता,વિજેતા
"वर्षक वीर, अत्याचारी विजेता",વિજેતા
राजपरिषद्,કોન્સિલિયમ
"चर्च न्यायालय, काँसिस्टरी",કન્સિસ્ટરી
षड़यन्त्र,કાવતરું
2. साजिश,કાવતરું
कांसुली शासन,કોન્સ્યુલેટ
परामर्श-पुस्तिका,કન્સ્યુલેશન બુક
महाद्वीपीय व्यवस्था,કોન્ટિનેંટલ સિસ્ટમ
अनधिकृत आहूत पार्लियामेंट,સંમેલન સંસદ
कापरहेड्स,કોપરહેડ્સ (=પીસ ડેમોક્રેટ્સ)
"पट्ट-भूमि, पट्टे पर मिली भूमि",કોપીહોલ્ડ
परिसीमन; घेरा डालना,કોર્ડનિંગ
"मुकुट, किरीट",કોરોના
राज्याभिषेक,રાજ્યાભિષેક
"अभिषेकाश्म, अभिषेक-शिला",રાજ્યાભિષેક પથ્થર
(ग्रंथ) संग्रह,કોર્પસ
"जलदस्यु, समुद्री डाकू",કોર્સેર
2. दस्यु पोत,કોર્સેર
"उरस्त्राण, वक्षस्त्राण",કાંચળી (=કાંચળી)
"कार्टिज़, स्पेनी संसद",કોર્ટેસ
कुटी घर,કોટ્ટર (=કોટીયર)
2. खिदमती काश्तकार,કોટ્ટર (=કોટીયર)
काउन्ट पैलेटीनेट,કાઉન્ટ પેલેટિનેટ
ग्राम्य आवास,દેશ ઘર
काउन्टी,કાઉન્ટી
काउन्टी बरो,કાઉન્ટી બરો
काउन्टी न्यायालय,કાઉન્ટી કોર્ટ
काउन्टी रियासत,કાઉન્ટી પેલેટીન
दरबार,કોર્ટ
2. राजसभा,કોર્ટ
राजपरिपत्र,કોર્ટ પરિપત્ર
"दरबारी शिष्टाचार, दरबारी अदब, दरबारी क़ायदा",કોર્ટ શિષ્ટાચાર
"राजदरबारी, राजसभासद, मुसाहिब",દરબારી
कोर्ट ऑफ कैसेशन,કેસેશન કોર્ટ
"(ईस्ट इंडिया कंपनी का) निदेशक मंडल, कोर्ट ऑफ डायरेक्टर्स",કોર્ટ ઓફ ડિરેક્ટર્સ (EIC)
"(ईस्ट इंडिया कंपनी का) स्वामी मंडल, कोर्ट ऑफ प्रोप्राइटर्स",માલિકોની કોર્ટ
राजकवि,દરબાર કવિ
प्रसंविदाकारी केमेरोनपंथी,કરારબદ્ધ કેમેરોનિયનો
"राजा, क्राउन",તાજ
2. (क) ताज,તાજ
(ख) मुकुट,તાજ
"खालसा, राजभूमि",તાજ જમીન
2. संघ राज्य,તાજ જમીન
युवराज,રાજકુંવર
"धर्मयुद्ध, जिहाद",ધર્મયુદ્ધ
धर्म-योद्धा,ક્રુસેડર
"गुप्त लेख, छद्म लेख, गुप्त संदेश, कूट लेख, कूट संदेश, छद्म संदेश",ક્રિપ્ટોગ્રામ
"वक्षस्त्राण, जिरहबख़्तर",કુઇરાસ
"चर्म कवचधारी, अश्वारोही",ક્યુરાસીયર
संप्रदाय देवता,સંપ્રદાય દેવતા
"क्यूरिया, सभा-भवन, परिषद",કુરિયા
2. रोम का सीनेट भवन,કુરિયા
जारशाही,ઝારવાદ
अंध महाद्वीप,શ્યામ ખંડ
प्रलय-दिवस,ચુકાદાનો દિવસ
2. क़यामत का दिन,ચુકાદાનો દિવસ
"डीन, अधिष्ठाता",ડીન
जशक,દશક
दीनार,ડેનરિયસ
सिंहासनच्युत राजा,પદભ્રષ્ટ રાજા
विलुंठन,બગાડ
"अपहरण, लूट-खसोट",બગાડ
गद्दी से उतारना,ડિથ્રોન
राजमुकुट,ડાયડેમ
2. किरीट,ડાયડેમ
3. राजचिह्र,ડાયડેમ
डायेसिया,ડાયસિયા
न्यायालय,ડિકાસ્ટેરિયમ
जलप्रलयवादी,ડિલુવિઆલિસ્ટ
बिशप-क्षेत्र,પંથક
2. डायोसीज़,પંથક
क्रांतिकारी कार्यकारिणी,નિર્દેશક (=નિર્દેશક)
2. दायरोक्तायर,નિર્દેશક (=નિર્દેશક)
दिरहम,દિરહામ
निष्ठाहीन,બેવફા
2. देशद्रोही,બેવફા
"राज्य-अपहरण नीति, राज्यलय-नीति",ક્ષતિનો સિદ્ધાંત
"प्रलेख, दस्तावेज़",દસ્તાવેજ
"दस्तावेज़ी साक्ष्य, प्रलेखी साक्ष्य",દસ્તાવેજી પુરાવા
"अंतिम निर्णय पुस्तक, क़यामत के दिन की पुस्तक",ડોમ્સડે બુક
कॉन्सटेन्टाइन का दान,કોન્સ્ટેન્ટાઇનનું દાન
"विधि, क़ानून",પ્રારબ્ધ
राजमाता,ડોવગર રાણી
"ड्रेगून, घुड़सवार",ડ્રેગન
साँडनी सवार,ડ્રોમેડેરીયન
"साँडनी, मादा ऊँट",ડ્રોમેડરી
महा नौका,ડ્રોમોન્ડ
द्वंद्व युद्ध,ડ્યુઅલ
"डुअल अलाएँस, दोहरी संधि",બેવડા જોડાણ
ड्यूल आँताँत,ડ્યુઅલ entente
"दोहरा शासन, दुहरी सरकार, द्वैध शासन",ડ્યુઅલ સિસ્ટમ (= બેવડી સરકાર)
ड्यूक,ડ્યુક
ड्यूमा,ડુમા
वामन अवतार,વામન અવતાર
वंश,રાજવંશ
2. राजवंश,રાજવંશ
गरूड़,ગરુડ
एल्डरमेन,વૃદ્ધ માણસ
अर्ल,અર્લ
"अर्लपद, अर्लक्षेत्र",અર્લ્ડમ
"पूर्व गुप्त वंश, पूर्व गुप्त वंशीय राजा",પ્રારંભિક ગુપ્તા
पूर्वकालीन (ऐतिहासिक) स्थल,પ્રારંભિક (ઐતિહાસિક) સાઇટ્સ
पूर्व वैदिक काल,પ્રારંભિક વૈદિક સમયગાળો
नागरिक सभा,એકલસિયા
"प्रत्यास्थापन धर्मादेश, प्रत्यास्थापनराजादेश, एडिक्ट ऑफ रेस्टिट्यूशन",વળતરનો આદેશ
अष्टांगिक मार्ग,આઠ ગણો રસ્તો
"चर्च अधिकारी, गिरजाधिकारी, प्रेसबीटर",વડીલો
वयोवृद्ध राजविद्,વડીલ રાજનેતા (= genro)
अंकुश,હાથી ગોડ
"ग्यारह वर्ष का आतंक राज्य, एकादश वर्षीय आतंक राज्य",અગિયાર વર્ષનો જુલમ
एलीजे,એલિસી (=એલિસી)
बाड़ाबंदी आंदोलन,બિડાણ ચળવળ
पोप-परिपत्र,એન્સાઇકલિકલ
विश्वकोशकार आंदोलन,જ્ઞાનકોશવાદી ચળવળ
"आंतांत, सौहार्द",એન્ટેન્ટે
"दृढ़ सौहार्द, आंतांत कार्दिआल",એન્ટેન્ટે કોર્ડિયેલ
राज्यारोहण,સિંહાસન
"परिचारक गण, परिचर",નોકરચાકર
"वस्त्र, परिधान",એફોદ
"दंडाधीश, एफोर",એફોર
वीरयुग,મહાકાવ્ય યુગ
महाकाव्य-नायक,એપિક હીરો
पुरालेख,એપિગ્રાફ
बिशपतंत्र,એપિસ્કોપેસી
विशप-पीठ,એપિસ્કોપેટ
घटना,એપિસોડ
युग,યુગ
युगांतरकारी घटना,યુગ-નિર્માણની ઘટના
युग-प्रवर्तक व्यक्ति,યુગ-નિર્માતા માણસ
नाम-स्रोत,ઉપનામ
अश्वपाल,ઇક્વેરી
2. एक्यरी,ઇક્વેરી
अश्वारोही मूर्ति,અશ્વારોહણ પ્રતિમા
"काल, संवत्",યુગ
दास-कारागार,અર્ગાસ્ટુલમ
यूखेरिस्त,યુકેરિસ્ટ
"शुभ संदेशवाद, इंजीलवाद",ઇવેન્જેલિકલિઝમ
इंजीली आंदोलन,ઇવેન્જેલિકલ ચળવળ
"इंजीली प्रचारक, इंजीलवादी",પ્રચારક
एक्सार्क,Exarch
"निष्कासितों का शासक, निर्वासितों का शासक",એક્સિલર્ચ
फैलेंजवादी,ફલાંગિસ્ટ
