Telugu,Marathi
ఆక్టినోమోర్ఫిక్,अ‍ॅक्टिनोमॉर्फिक
ఆక్టినోమైసెట్స్,अ‍ॅक्टिनोमाइसेट्स
చర్య సామర్థ్యం,कृती संभाव्यता
సక్రియం చేయబడిన బురద,सक्रिय गाळ
సక్రియం చేయబడిన బురద ఫ్లోక్,सक्रिय गाळ फ्लॉक
యాక్టివేషన్ ఎనర్జీ,सक्रियता ऊर्जा
క్రియాశీల శోషణ,सक्रिय शोषण
క్రియాశీల రోగనిరోధక శక్తి,सक्रिय प्रतिकारशक्ती
క్రియాశీల రేడియేషన్,सक्रिय रेडिएशन
క్రియాశీల సైట్,सक्रिय साइट
యాక్టివిన్,अ‍ॅक्टिव्हिन
అక్యూమినేట్,Umicate
ఆడమియా,अ‍ॅडम्सिया
అనుకూలత,अनुकूलता
అనుసరణ,रुपांतर
కాంతి పాలనకు అనుసరణ,हलकी व्यवस्थेशी जुळवून घेणे
నీటి కొరతకు అనుసరణ,पाण्याची कमतरता रुपांतर
అనుకూల లక్షణాలు,अनुकूली वैशिष्ट्ये
అనుకూల రోగనిరోధక శక్తి,अनुकूली प्रतिकारशक्ती
అడాప్టివ్ రేడియేషన్,अनुकूली रेडिएशन
అనుకూల లక్షణం,अनुकूली गुण
అడాక్సియల్ ఉపరితలం,अ‍ॅडॅक्सियल पृष्ठभाग
వ్యసనపరుడైన రుగ్మత,व्यसनाधीन डिसऑर्डर
అడెనిన్,En डेनिन
అడెనోకార్టికోట్రోపిన్,En डेनोकोर्टिकोट्रोपिन
అడెనోహైపోఫిసిస్,En डेनोहायपोफिसिस
అడెనోసిన్ డిఫాస్ఫేట్,En डेनोसिन डायफॉस्फेट
అడెనోసిన్ డీమినేస్,En डेनोसिन डिमिनेस
అడెనోసిన్ మోనోఫాస్ఫేట్,En डेनोसाइन मोनोफॉस्फेट
గ్రంధి ముడతలు,En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
అడెనిలేట్ సైక్లేస్,En डेनिलेट सायक्लेज
అంటుకునే శక్తి,चिकट शक्ती
అడిపేట్,अ‍ॅडिपेट
కొవ్వు పెండినవి,अ‍ॅडिपोसाइट (चरबी सेल)
కొవ్వు కణజాలము,अ‍ॅडिपोज टिशू
Adnate,Nednate
ప్రక్కనే ఉన్న సంఘం,लगतचा समुदाय
అడ్రినల్,Ren ड्रेनल
అడ్రినల్ గ్రంథి,Ren ड्रेनल ग्रंथी
ఎడ్రినల్ గ్రంథి,एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
Adsorbent,Or सॉर्बेंट
శోషణ,शोषण
అధునాతన కార్డేట్,प्रगत Chordate
ప్రయోజనకరమైన మ్యుటేషన్,फायदेशीर उत्परिवर्तन
అడ్వెసిషియల్,अ‍ॅडव्हेंटिशियल
సాహసోపేతమైన రూట్,साहसी मूळ
ప్రతికూల ప్రభావం,प्रतिकूल परिणाम
AEDES,एडीज
సంస్కృతి వాయువు,संस्कृतीचे वायुवीजन
ఏరెన్చైమా,एरेन्चायमा
ఆకాశయాన,हवाई
వైమానిక రూట్,एरियल रूट
వైమానిక షూట్,एरियल शूट
ఏరోబిక్ శ్వాసక్రియ,एरोबिक श्वसन
ఏరోబిక్ శ్వాసక్రియ,एरोबिक श्वसन
సౌందర్యం,सौंदर्यशास्त्र
ఎస్టివేషన్,एस्टिवेशन
ఎస్టివేషన్,एस्टिवेशन
అనుబంధ,Efferent
అనుబంధ క్రోమాటోగ్రఫీ,आत्मीयता क्रोमॅटोग्राफी
బాధిత అవయవం,पीडित अवयव
అటవీ నిర్మూలన,वनीकरण
అగామోస్పెర్మీ,अ‍ॅगामोस्पर्मी
అగర్,अगर
అగరోస్,आगरोस
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,अगरोस जेल इलेट्रोफोरेसीस
అగరోస్ పాలిమర్ జెల్,अ‍ॅगारोज पॉलिमर जेल
అగాస్ట్,Agast
కిత్తలి,अ‍ॅगेव्ह
వయస్సు పంపిణీ,वय वितरण
వయస్సు పిరమిడ్,वय पिरॅमिड
సంకలనం,एकत्रित
మొత్తం,एकूण
ఫోలికల్ యొక్క మొత్తం,कूपांचे एकूण
ఫోలికల్ యొక్క మొత్తం,कूपांचे एकूण
సమూహనం,एकत्रिकरण
దూకుడు,आक्रमकता
ఆందోళన వ్యవస్థ,आंदोलन प्रणाली
అగ్నాథ,अग्नथ
అగౌటి,अगोती
అగ్రనాల్ క్లోరోప్లాస్ట్,अ‍ॅग्रॅनल क्लोरोप्लास्ट
అగ్రన్యులర్,अ‍ॅग्रॅन्युलर
అగ్రనులోసైట్,अ‍ॅग्रानुलोसाइट
వ్యవసాయం,शेती
అగ్రోఫారెస్ట్రీ,अ‍ॅग्रोफोरेस्ट्री
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
వ్యవసాయ రసాయన,अ‍ॅग्रोकेमिकल
వ్యవసాయ రసాయన,अ‍ॅग्रोकेमिकल
అగ్రోక్లిమాటిక్ జోన్,अ‍ॅग्रोक्लिमॅटिक झोन
వ్యవసాయ లక్షణం,कृषी गुणधर्म
వ్యవసాయ శాస్త్రం,अ‍ॅग्रोनॉमी
ఎయిడ్స్,एड्स
గాలి మూత్రాశయం,एअर मूत्राशय
వాతానుకూలీన యంత్రము,वातानुकूलन
గాలి మార్గం,हवाई रस्ता
వాయుకాలుష్యం,वायू प्रदूषण
ఎయిర్ శాక్,एअर थैली
ఎయిర్ వాక్యూల్,एअर व्हॅक्यूओल
గాలి-శ్వాస,हवाई श्वास
అలైన్,अलेन
అలారి కండరం,अ‍ॅलरी स्नायू
అలాస్కాన్ బ్రౌన్ బేర్,अलास्कन तपकिरी अस्वल
అల్బినో,अल्बिनो
అల్బుగో,अल्बुगो
అల్బుమిన్,अल्बमिन
అల్బుమినస్ సీడ్,अल्ब्युमिनस बियाणे
అల్బుమినూరియా,अल्बमिनुरिया
అల్బర్నమ్,अल्बर्नम
ఆల్కే,Lescedae
ఆల్డెహీడ్,Ld ल्डिहेडे
ఆల్డోస్టెరాన్ వ్యవస్థ,Ld ल्डोस्टेरॉन सिस्टम
ఆల్డోస్టెరాన్,अ‍ॅल्डोस्टेरॉन
అల్యూరోన్ పొర,अलेरोन लेयर
అల్యూరోప్లాస్ట్,अलेरोप्लास्ट
అల్ఫాల్ఫా,अल्फल्फा
ఆల్గల్ బ్లూమ్,अल्गल ब्लूम
అల్జీన్,अल्गिन
గ్రహాంతర DNA,एलियन डीएनए
గ్రహాంతర జాతులు,एलियन प्रजाती
అమరిక,संरेखन
అమరిక,संरेखन
అలిమెంటరీ కెనాల్,एलिमेंटरी कालवा
అలిమెంటరీ సిస్టమ్,एलिमेंटरी सिस्टम
అలిస్మాసిస్,अलिसमासेस
ఆల్కలాయిడ్,अल्कलॉइड
ఆల్కలీన్,अल्कधर्मी
అల్కాప్టోటోరియా,अल्काप्टोनुरिया
అల్లాంటోయిస్,अलांटोइस
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,अ‍ॅलेल वारंवारता
యుగ్మ వికల్పం,अ‍ॅलेल
అల్లెలోమోర్ఫిక్ జత,Lel लोमॉर्फिक जोडी
అలెర్జీ,L लर्जीन
ఎలిగేటర్,अ‍ॅलिगेटर
అల్లియం సెపా,अ‍ॅलियम सेपा
అయోగాగమి,अ‍ॅलोगॅमी
అల్లోగ్రాఫ్ట్,अ‍ॅलोग्राफ्ट
అల్లోపాట్రిక్ స్పెసియేషన్,अ‍ॅलोपॅट्रिक स्पेशिएशन
అల్లోపాలిప్లోయిడ్,Ol लोपोलिपॉइड
అలోస్టెరిక్ ప్రభావం,अ‍ॅलोस्टेरिक प्रभाव
అలోస్టెరిక్ ఎంజైమ్,अ‍ॅलोस्टेरिक एंझाइम
అలోస్టెరిక్ ఇన్హిబిటర్,अ‍ॅलोस्टेरिक इनहिबिटर
అలోస్టెరిక్ మాడ్యులేషన్,अ‍ॅलोस्टेरिक मॉड्यूलेशन
అలోస్టెరిక్ సైట్,अ‍ॅलोस्टेरिक साइट
అలోస్టెరిక్ నిరోధం,अ‍ॅलोस्टेरिक इनहिबिशन
అలోటెట్రాప్లాయిడ్,अ‍ॅलोटेट्रॅप्लॉइड
ఆల్నస్,अल्नस
కలబంద,कोरफड
ఆక్సాన్ వెంట,On क्सॉनच्या बाजूने
ఆల్ఫా-యాంటిట్రిప్సిన్,अल्फा-अँटीट्रिप्सिन
ఆల్ఫా-లాక్టల్బ్యూమిన్,अल्फा-लेक्टलब्यूमिन
ఆల్పైన్ వాతావరణ పరిస్థితి,अल्पाइन हवामान स्थिती
ఆల్పైన్ మేడో,अल्पाइन कुरण
ఆల్పైన్ జోన్,अल्पाइन झोन
ఆల్స్టోనియా,अल्स्टोनिया
ఆల్టర్నేరియా,अल्टरनेरिया
ప్రత్యామ్నాయ,वैकल्पिक
తరం యొక్క ప్రత్యామ్నాయం,पिढीचे पर्यायी
ఎత్తు రుగ్మత,उंची आजारपण
ఎత్తు,समुद्रसपाटीपासूनची उंची
అల్వియోలార్ డక్ట్,अल्व्होलर नलिका
అలిట్స్,एलिटेस
అల్జీమర్స్ వ్యాధి,अल्झायमर रोग
అమాక్రిన్ సెల్,अमॅक्रिन सेल
అమరాంతేసి,अमरॅन्थेसी
అమరాంథస్,अमरॅन्थस
పరిసర ఓస్మోటిక్ గా ration త,वातावरणीय ऑस्मोटिक एकाग्रता
అంబిస్టోమా,अ‍ॅम्बिस्टोमा
అమైడ్,अमाइड
అమైనో ఆమ్లం,अमिनो आम्ल
అమైనో యాసిడ్ అంగీకారం,अमीनो acid सिड स्वीकारणारा
అమైన్‌లాకారి,एमिनोआसिल टी आरएनए सिंथेथेस
అమైనోఅసిలేషన్,एमिनोआसिलेशन
అమిటోసిస్,अमिटोसिस
అమ్మోనియా,अमोनिया
అమ్మోనిఫికేషన్,अमोनिफिकेशन
అమ్మోనోటెలిజం,अमोनोटेलिझम
అమ్నియోసెంటెసిస్,अ‍ॅम्निओसेन्टेसिस
అమ్నియోసెంటెసిస్ టెక్నిక్,अ‍ॅम्निओसेन्टेसिस तंत्र
అమ్నియోసైట్,अ‍ॅम्निओसाइट
అమ్నియోన్,अम्नियन
అమ్నియోటిక్ ద్రవం,गर्भाशयातील द्रव
అమ్నియోటిక్ పొర,अम्नीओटिक झिल्ली
అమ్నియోటిక్ శాక్,अम्नीओटिक थैली
అమీబా,अमोबा
అమీబోసైట్,अमीबोसाइट
అమీబాయిడ్,अमोबॉइड
అమీబోయిడ్ లింఫోసైట్,अ‍ॅमोबॉइड लिम्फोसाइट
అమీబోయిడ్ కదలిక,अ‍ॅमोबॉइड चळवळ
నిరాకార,अनाकार
మొత్తం,रक्कम
యాంఫేటమిన్,अ‍ॅम्फेटामाइन
ఉభయచర,उभयचर
ఉభయచర,उभयचर
ఉభయచర,उभयचर
యాంఫియోక్సస్,अ‍ॅम्फिओक्सस
యాంఫియోక్సస్ లాన్సోలాటస్,अ‍ॅम्फिओक्सस लॅन्सोलाटस
యాంఫిపతిక్,अ‍ॅम्फिपाथिक
యాంఫిపతిక్ లిపిడ్,अ‍ॅम्फिपाथिक लिपिड
యాంఫిసార్కా,अ‍ॅम्फिसार्का
ఆంపిసిలిన్,अ‍ॅम्पिसिलिन
అంపుల్లా,अ‍ॅम्पुल्ला
అంపల్లరీ గ్రంథి,अ‍ॅम्प्युलरी ग्रंथी
అమిగ్డాల్,अ‍ॅमीगडल
అమిగ్డేల్,अ‍ॅमीगडेल
అమిగ్డాలిన్,अ‍ॅमीग्डालिन
అమిలేస్,अ‍ॅमिलेज
అమిలోప్లాస్ట్,अ‍ॅमिलोप्लास्ट
అనాబెనా,अनाबेना
అనాబాస్,अनबास
అనాబాలిక్ మార్గాలు,अ‍ॅनाबॉलिक मार्ग
అనాబాలిజం,अ‍ॅनाबोलिझम
అనాకార్డియాసి,अ‍ॅनाकार्डियासी
రక్తహీనత,अशक्तपणा
Anaerobe,अनरोब
వాయురహిత ఇంధనం,अनॅरोबिक इंधन
వాయురహిత శ్వాసక్రియ,अनरोबिक श्वसन
వాయురహిత బురద డైజెస్టర్,अनॅरोबिक गाळ डायजेस्टर
Anaerobic,अनॅरोबिक
అనైమా,अनाईमा
ఆసన,गुदद्वारासंबंधीचा
ఆసన,गुदद्वारासंबंधीचा
ఆసన ఎపర్చరు,गुदद्वारासंबंधीचा छिद्र
అనల్ సెర్సీ,गुदद्वारासंबंधीचा सेर्सी
అనల్ లూప్,गुद्द्वार लूप
ఆసన శైలి,गुद्द्वार शैली
సారూప్యత,समान
సారూప్యత,समान
సారూప్యత,समानता
సారూప్యత,समानता
విశ్లేషణ,विश्लेषण
అనాఫేస్,अनाफेस
శరీర నిర్మాణ అవరోధం,शरीरशास्त्र अडथळा
శరీర నిర్మాణ అంశం,शारीरिक पैलू
శరీర నిర్మాణ శాస్త్రవేత్త,शरीरशास्त्रज्ञ
శరీర నిర్మాణ శాస్త్రం,शरीरशास्त्र
పూర్వీకుల వారసుడు క్రమం,पूर्वज वंशज अनुक्रम
పూర్వీకుల వంశం,वडिलोपार्जित वंश
పూర్వీకుల క్రమం,वडिलोपार्जित क्रम
అన్సైలోస్టోమా,एन्सिलोस्टोमा
ఆండ్రోసియం,एंड्रोइसीयम
ఆండ్రోజెన్,एंड्रोजेन
రక్తహీనత,अशक्तपणा
ఎనిమోన్,Enemone
అనూప్లోయిడ్,Eneuploid
అనూప్లోయిడి,Eneuploidy
ఆంజినా,एनजाइना
యాంజియోగ్రామ్,एंजिओग्राम
యాంజియోగ్రాఫ్,एंजियोग्राफ
యాంజియోగ్రఫీ,एंजियोग्राफी
యాంజియోప్లాస్టీ,एंजियोप्लास्टी
యాంజియోస్పెర్మ్,एंजिओस्पर्म
యాంజియోటెన్సిన్,अँजिओटेन्सिन
యాంజియోటెన్సినోజెన్,एंजियोटेंसीनोजेन
జాలరి చేప,अँगलर फिश
అంగునా,एंगुइना
అంగుయిస్,एंगुइस
జంతువు,प्राणी
జంతువు,प्राणी
జంతువుల పేడ,प्राणी शेण
పశుసంరక్షణ,पशुसंवर्धन
జంతువుల కార్యోటైపింగ్,अ‍ॅनिमल कॅरिओटाइपिंग
జంతు సామ్రాజ్యం,प्राण्यांचे राज्य
జంతువుల కణజాలం,प्राणी ऊतक
యానిమాలియా,अ‍ॅनिमालिया
అయాన్,आयन
అనిసోట్రోపిక్ బ్యాండ్,एनिसोट्रॉपिक बँड
ఎనియలింగ్,En नीलिंग
అన్నెలిడ్,अ‍ॅनेलिड
అన్నెలిడా,अ‍ॅनेलिडा
వార్షిక రింగ్,वार्षिक रिंग
యాన్యులేటెడ్,एनुलेटेड
యాన్యుల్,एन्युले
క్రమరహిత రకం,विसंगती प्रकार
అనోఫిల్స్,अ‍ॅनोफेल्स
చీమ తినేవాడు,मुंगी खाणारा
విరోధి,विरोधी
అంటార్కిటిక్,अंटार्क्टिक
యాంటెన్నా,अँटेना
యాంటెన్నా కాంప్లెక్స్,अँटेना कॉम्प्लेक्स
యాంటెనల్ గ్రంథి,अँटेनल ग्रंथी
ముందరి (వెంట్రల్) బూడిద కొమ్ము,पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न
పూర్వ హైపోఫిసిస్,आधीचा हायपोफिसिस
పూర్వ జోక్య సల్కస్,पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस
Anther,अँथर
పూర్వ సంస్కృతి,अँथर संस्कृती
ఆంథెరిడియం,अँथेरिडियम
అంటెరోజాయిడ్,अँथेरोझॉइड
ఆంథోసెరోస్,अँथोसेरोस
ఆంథోసెరోటోప్సిడా,अँथोसेरोटोप्सिडा
ఆంత్రాక్స్,अँथ्रॅक्स
మానవ అంతరించిపోవడం,अँथ्रोपोजेनिक विलोपन
మానవ శాస్త్రం,मानववंशशास्त्र
యాంటీ బాక్టీరియల్,अँटीबैक्टीरियल
యాంటీబయాటిక్ పెన్సిలిన్,अँटीबायोटिक पेनिसिलिन
యాంటీబయాటిక్ రెసిస్టెంట్,प्रतिजैविक प्रतिरोधक
యాంటీబయాటిక్ (లు),प्रतिजैविक (ओ)
యాంటీబాడీ,प्रतिपिंडे
యాంటీబాడీ జంట,अँटीबॉडी जोडपे
యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి,प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती
ప్రతిస్కందకం,अँटीकोआगुलंट
యాంటికోడాన్ లూప్,अँटीकोडॉन लूप
యాంటిడిప్రెసెంట్,प्रतिरोधक
అశ్లీల ముందు భాగము,अँटीडियुरेटिक हार्मोन (एडीएच)
యాంటిజెన్ జన్యువు,अँटीजेन जनुक
యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్,अँटीजेन-अँटीबॉडी कॉम्प्लेक्स
యాంటిజెనిక్ డిటర్మినెంట్,प्रतिजैविक निर्धारक
యాంటిన్యూట్రిషనల్ కారకం,विरोधी घटक
యాంటీఆక్సిడెంట్,अँटीऑक्सिडेंट
యాంటీపోడల్ న్యూక్లియస్,अँटीपोडल न्यूक्लियस
యాంటీ సెన్స్ RNA,अँटी-सेन्स आरएनए
యాంటీవైరల్ ప్రోటీన్,अँटीवायरल प्रथिने
Antrum,अँट्रम
అనుక్లీట్,Anucleate
పాయువు,गुद्द्वार
ఆందోళన రుగ్మత,चिंता डिसऑर्डर
బృహద్ధమని వంపు,महाधमनी कमान
బృహద్ధమని గ్యాంగ్లియన్,महाधमनी गँगलियन
బృహద్ధమని సెమిలునార్ వాల్వ్,महाधमनी सेमीलूनर वाल्व
బృహద్ధమని కవాటం,महाधमनी वाल्व्ह
APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్),एपीसी (अनाफेस प्रोत्साहन कॉम्प्लेक्स)
అపెలైక్ పూర్వీకుడు,अपीलिक पूर्वज
అఫిడ్,Ph फिड
ఆఫ్రొడైట్,Ph फ्रोडाईट
ఎపికల్ ఆధిపత్యం,एपिकल वर्चस्व
ఎపికల్ ప్యాడ్,एपिकल पॅड
ఎపికల్చర్,एपिकल्चर
APIS ఇండికా,एपीआयएस इंडिका
అప్లానోస్పోర్,अप्प्लानोस्पोर
అప్లిసియా,अप्लिसिया
అపోకార్పే,अपोकार्पा
అపోకార్పస్,अपोकार्पस
అపోకార్పస్ అండాశయం,अपोकार्पस अंडाशय
అపోక్రిన్ గ్రంథి,अपोक्राइन ग्रंथी
అపోఎంజైమ్,अपोएन्झाइम
అపోమిక్,Apomict
అపోమిక్సిస్,अपोमिक्सिस
అపోప్లాజమ్,अपोप्लाझम
అపోప్లాస్టిక్ మార్గం,अपोप्लास्टिक मार्ग
అపోప్టోసిస్,अ‍ॅपॉप्टोसिस
ఉపకరణం,उपकरणे
అనుబంధ అస్థిపంజరం,परिशिष्ट सांगाडा
కర్ణభేరి యొక్క అనుబంధం,कॅकमचे परिशिष्ट
ఆపిల్ నత్త,Apple पल गोगलगाय
ఆక్వాకల్చర్,जलचर
ఆక్వాపోరిన్,एक्वापोरिन
జల ఉభయచర,जलचर उभयचर
జల రూపం,जलीय फॉर्म
జల ఆవాసాలు,जलचर निवासस्थान
జల జీవి,जलीय जीव
జల మొక్క,जलचर वनस्पती
జల శ్వాసక్రియ,जलीय श्वसन
సజల ద్రవం,जलीय द्रव
సజల హ్యూమర్,जलीय ह्यूमर
సజల ఇంట్రా-సెల్యులార్ ద్రవం,जलीय इंट्रा-सेल्युलर फ्लुइड
సజల నమూనా,जलीय नमुना
సజల ద్రావణంలో,जलीय समाधान
అక్విలా,एक्विला
అరబిడోప్సిస్,अरबीडोप्सिस
అరాచ్నిడా,अराच्नीडा
అరాక్నోయిడ్,अराच्नॉइड
అరేనియస్,अरेनियस
అర్బోర్సెంట్,आर्बोरेंट
అర్బోర్సెంట్ లైకోపాడ్,आर्बोरसेंट लाइकोपॉड
ఆర్కిబాక్టీరియా,आर्चीबॅक्टेरिया
ఆర్కిగోనియం,आर्चेगोनियम
ద్వీపసమూహం,द्वीपसमूह
ఆర్కిటిక్,आर्क्टिक
ఆర్కిటిక్ టెర్న్,आर्क्टिक टर्न
ఆర్కిటిక్ టండ్రా,आर्क्टिक टुंड्रा
ఆర్డియా,आर्दिया
ఐసోలార్ కణజాలం,आयरोलर टिश्यू
రుజువు,अर्गेमोन (काटेकोर खसखस)
ఆర్గెమోన్ మెక్సికానా,अर्गेमोन मेक्सिकाना
అర్జినిన్,आर्जिनिन
శుష్క ప్రాంతం,शुष्क प्रदेश
అరిస్టోలోచియాసియా,अरिस्टोलोचियासी
చేయి దాణా,आर्म फीडिंग
ఆర్మీవార్మ్,आर्मी किडे
Aroid,एआरआयडी
వాసన,सुगंध
అరేస్టర్,अरेस्टर
ఆర్టెమిసియా,आर्टेमिसिया
ధమనుల సిస్టోలిక్,धमनी सिस्टोलिक
ఆర్టిరియోస్క్లెరోటిక్,आर्टेरिओस्क्लेरोटिक
ఆర్థ్రోపోడ్,आर्थ्रोपॉड
ఆర్థరైటిస్,संधिवात
ఆర్థ్రోపోడా,आर्थ्रोपोडा
కీలు మృదులాస్థి,आर्टिक्युलर कूर्चा
ఉచ్చారణ,अभिव्यक्ती
ఉచ్చరించబడింది,स्पष्ट
కృత్రిమ పేస్‌మేకర్,कृत्रिम पेसमेकर
కృత్రిమ ఎంపిక,कृत्रिम निवड
ఆర్టోకార్పస్ హెటెరోఫిల్లస్,आर्टोकार्पस हेटरोफिलस
ఆస్బెస్టాస్ ఫైబర్,एस्बेस्टोस फायबर
ఆస్బెస్టాసిస్,एस्बेस्टोसिस
అస్కారిస్,एस्केरिस
ఆరోహణ క్రోమాటోగ్రఫీ,चढत्या क्रोमॅटोग्राफी
అస్సిడియా,Ascidia
అస్సిడియన్,एएससीआयडीयन
అస్కోకార్ప్,एस्कोकार्प
అస్కోమైసెట్స్,एस्कॉमीसेट्स
ఆస్కార్బిక్ ఆమ్లం,एस्कॉर्बिक acid सिड
అస్కోస్పోర్,एस्कोपोर
అస్కస్,एस्कस
Aseptate,सेपेटेट
అలైంగిక పునరుత్పత్తి,अलौकिक पुनरुत्पादन
అలైంగిక బీజాంశం,अलौकिक बीजाणू
ఆస్పరాజిన్ సింథటేస్,शतावरी सिंथेथेस
ఆస్పరాగస్,शतावरी
అస్పార్టిక్ ఆమ్లం,एस्पार्टिक acid सिड
ఆస్పెర్‌గిల్లస్ నైగర్,एस्परगिलस नायजर
ఆస్పెర్‌గిల్లస్,एस्परगिलस
అస్ఫోడెలస్ టెనుఫోలియస్,एपोडेलस टेनुइफोलियस
ఆస్పిరిన్,अ‍ॅस्पिरिन
పరీక్ష,परख
సమావేశం,असेंब्लीज
సమీకరణ సామర్థ్యం,आत्मसात करण्याची कार्यक्षमता
అస్సిమిలేటరీ రూట్,आत्मसात करणारे मूळ
సహాయక పునరుత్పత్తి సాంకేతికత,सहाय्यक पुनरुत्पादक तंत्र
అసోసియేషన్ ప్రాంతం,असोसिएशन क्षेत्र
అసోసియేటివ్ సహజీవనం,असोसिएटिव्ह सहजीवन
కలగలుపు మరియు పున omb సంయోగం,वर्गीकरण आणि पुनर्संयोजन
కారకం యొక్క కలగలుపు,घटकांची वर्गीकरण
అస్టాకస్,अस्टाकस
ఆస్టెరేసి,Asteraceae
ఆస్టారేల్స్,एस्टेरेल्स
గ్రహశకలం,लघुग्रह
ఉబ్బసం,दमा
ఆస్ట్రగలస్ గుమ్మర్,अ‍ॅस्ट्रॅगलस गमिफर
జ్యోతిష్య కుదురు పోల్,सूक्ष्म स्पिंडल पोल
ఖగోళ శాస్త్రవేత్త,खगोलशास्त्रज्ञ
అసమాన కార్యోటైప్,असममित कॅरिओटाइप
అసమాన,असममित
అథెరోమాటస్,एथेरोमॅटस
అథెరోస్క్లెరోసిస్,एथेरोस्क्लेरोसिस
అథెరోస్క్లెరోటిక్ ఫలకం,एथेरोस्क्लेरोटिक प्लेक
భౌగోళిక పటం,नकाशांचे पुस्तक
