Tamil,Hindi
செயலில் உள்ள சர்வர் பக்கம்,सक्रिय सर्वर पृष्ठ
செயலில் உள்ள பதிப்பு,सक्रिय वर्जन
அசைக்ளிக்,अचक्रीय
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
அட கணினி மொழி,एडा कंप्यूटर भाषा
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. अनुकूलक, 2. अनुकूलित्र"
மொத்தத்தில்),योग (करना)
தொகை கோப்பு,योग संचिका
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. जोड़ संक्रिया, 2. योग संक्रिया"
சேர்ப்பான்,योजक
தெரியும்,पता
முகவரி பேருந்து,पता बस
முகவரி கோப்பு,पता संचिका
முகவரி வடிவம்,पता आरूप
முகவரி ஜெனரேட்டர்,पता जनक
முகவரி வரி,पता पंक्ति
முகவரி மேப்பிங்,पता प्रतिचित्रण
முகவரி காட்டி,पता संकेतक
முகவரி பதிவு,पता पंजी
முகவரி முறிவு,पता विघटन
முகவரி மொழிபெயர்ப்பு,पता अनुवाद
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
உரையாற்றுதல்,पताभिगमन
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
இணைப்பு,संलग्न
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. प्रबंधन, 2. नियंत्रण"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. प्रबंधक, 2. नियंत्रक"
அடோப் அக்ரோபேட்,ऐडोब एक्रोबेट
அடோ போட்டோஷாப்,ऐडोब फोटोशोप
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
மேம்பட்ட தகவல் அமைப்பு,उन्नत सूचना तंत्र
மேம்பட்ட தொழில்நுட்பம் (AT),उन्नत प्रौद्योगिकी (ए टी)
நடவடிக்கை,कर्मक
திரட்டுதல்,समुच्चयन
வான்வழி கணினி அமைப்பு,विमानवाहित कंप्यूटर तंत्र
அல்டஸ் பக்கம்-தயாரிப்பு,एल्डस पेज-मेक
எச்சரிக்கை பெட்டி,सचेत पेटी
அல்கோல் (கணினி மொழி),ऐल्गॉल (कंप्यूटर भाषा)
"1. அல்காரிதம் , 2. அல்காரிதம்","1.  एल्गोरिथ्म, 2. कलन विधि"
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
அல்காரிதம் திறன்,एल्गोरिथ्म दक्षता
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka","1. एलिआस, 2. उपनाम, 3. उर्फ"
சீரமைப்பு,संरेखण
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு","1. आवंटन, 2. नियतन"
"1. அகரவரிசை, 2. அகரவரிசையில்","1.अक्षरात्मक, 2. वर्णानुक्रम"
எண்ணெழுத்து,अक्षरांकीय
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
ஆல்பா-சோதனை (1 வது நிலை சோதனை),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்","1. अल्फा वर्जन, 2. अल्फा रूप"
alt விசை,आल्ट कुंजी
அல்டாவிஸ்டா,आल्टाविस्टा
பன்முகத்தன்மை,अनेकार्थकता
தெளிவற்ற இலக்கணம்,संदिग्ध व्याकरण
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),अमेरिकी मानक कट (आस्की)
"1. ஒத்த, 2. அனலாக்","1. अनुरुप, 2. एनालॉग"
"1. அனலாக் கணினி, 2. அனலாக் கணினி","1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்","1. अनुरुप युक्ति, 2. एनालॉग डिवाइस"
"1. அனலாக் மோடம், 2. அனலாக் மோடம்","1. एनालॉग मोडेम, 2. अनुरुप मोडेम"
டிஜிட்டல் மாற்றிக்கு அனலாக்,अनुरुप से अंकीय रुपांतरक
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
இறுதி சுற்று,एंड परिपथ
இறுதி வாயில் மற்றும் வாயில்,एंड गेट और द्वार
செயல்பாடு அல்ல (விலக்கு),एंड नॉट संक्रिया (अपवर्जन)
"1. அனிமேஷன், 2. அதிர்வு","1. एनीमेशन, 2.  सजीवन"
குறிப்பு,टिप्पण
முரண்பாடு,असंगता
முந்தைய,पूर्ववर्ती
முன்கூட்டிய பேஜிங்,प्रत्याशामूलक पृष्ठन
எதிர்-சமச்சீர்,प्रति-सममित
வைரஸ் தடுப்பு திட்டம்,विषाणुरोधी क्रमादेश
"1. ஆப்லெட், 2. விண்ணப்பம்","1. एपलेट, 2. अनुप्रयोगिका"
பயன்பாட்டு டெவலப்பர்,अनुप्रयोग विकासक
பயன்பாட்டு நிரலாக்கம்,अनुप्रयोग प्रोग्रामन
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)","1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ, 2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
பயன்பாட்டு மென்பொருள்,अनुप्रयोग सॉफ्टवेयर
பயன்பாட்டு மொழி,अनुप्रयोगी भाषा
தோராயக் கொள்கை,सन्निकटण सिद्धांत
கட்டமைப்பு,संरचना
புல பரிமாற்றம்,क्षेत्र अंतरण
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்","1. प्राचर, स्वतंत्रचर, 2. कोणांक"
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு","1. अंकगणितीय एवं तर्क एकक, 2. अंकगणितीय एवं तर्क इकाई"
எண்கணித சரிபார்ப்பு,अंकगणितीय जांच
எண்கணித மாறிலி,अंकगणितीय अचर
எண்கணித தரவு,अंकगणितीय आंकडा
எண்கணித அறிவுரை,अंकगणितीय अनुदेश
கணிதம் மற்றும் தருக்க அலகு (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPA Net (RPNet),ए आर पी ए नेट (आरपानेट)
வரிசை,सरणी
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்","1. सरणी कैशे, 2. सरणी द्रुतिका, 3. सरणी द्रुतस्मृति"
வரிசை கணினி,सरणी कंप्यूटर
வரிசை உறுப்பு,सरणी अवयव
வரிசை பெயர்,सरणी नाम
வரிசை செயலி,सरणी प्रकर्मक
அம்புக்குறி விசை,एरो कुंजी
ஒப்பந்தம்,संधि
சந்திப்பு முனை,संधि बिन्दु
செயற்கை சுருக்கம்,कृत्रिम संहनन
செயற்கை கட்டுப்பாடு,कृत्रिम नियंत्रण
செயற்கை உணர்வு,कृत्रिम बोध
ஏற்ற,आरोहक
ஏறும் வகை,आरोही छंटाई
ascii எழுத்துக்கள்,आस्की वर्णक्रम
ascii கட்டுப்பாட்டு சின்னம்,आस्की नियंत्रण संप्रतीक
ascii கோப்பு,आस्की संचिका
ascii எழுத்துரு,आस्की फॉन्ट
ASCII பரிமாற்றம்,आस्की अंतरण
விகிதம்,अभिमुखता अनुपात
"1. ஆஸ்பி, 2. ASPI","1. ऐस्पी, 2. ए एस पी आई"
ஏ எஸ் ஆர் கலாட்,ए एस आर कालद
"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க","1. स्मरांतरण, 2. कोडांतरण, 3. कोडांतर करना"
"1. அசெம்பிளர், 2. நினைவூட்டல்","1. कोडांतरक, 2. स्मरांतरक"
"1. அசெம்பிளிங், 2. நினைவு","1. कोडांतरण, 2. स्मरांतरण"
"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி","1. स्मरांतरण भाषा, 2. कोडांतरण भाषा"
உறுதியை,निश्चयन
"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு","1. निर्दिष्ट कार्य, 2. नियतन"
தோழமை,साहचर्य
துணை முகவரி,साहचर्य पता
"1. துணை நினைவகம், 2. துணை நினைவகம்","1. साहचर्य स्मृति, 2. साहचर्य मेमोरी"
நட்சத்திரம் (* அடையாளம்),तारक (*का चिन्ह)
சமச்சீரற்ற,असम्मित
"1. ஒத்திசைவற்ற , 2. ஒத்திசைவற்ற","1. अतुल्यकालिक, 2. अतुल्यकाली"
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
ஒத்திசைவற்ற பரிமாற்றம்,अतुल्यकालिक अंतरण
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम)
"1. அணு, 2. பரமன்","1. एटम, 2. परमाण"
இணைக்கப்பட்ட ஆவணம்,संलग्न प्रलेख
"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு","1. संलग्न संचिका/मिसिल, 2. संलग्न फाइल"
"1. அடைப்பு, 2. இணைந்த","1. संलग्नक, 2. संबंद्ध"
"1. பண்புகள், 2. சிறப்பு","1. गुण, 2. विशेषता"
கேட்கக்கூடிய,श्रव्य
"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்","1. लेखा परीक्षा क्रमादेशन, 2. लेखा परीक्षा प्रोग्रामन"
கணக்கு சரிபார்ப்பு,लेखा सत्यापन
பதவி உயர்வு,संवर्धन
சான்றிதழ் நெறிமுறை,प्रमाणन प्रोटोकॉल
எழுதும் முறை,संलेखन पद्धति
"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்","1. प्राधिकरण, 2. अधिकृति, 3. अधिकरण"
தானியங்கு சுருக்கம்,स्वत: सार
"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்","1. स्वतः बूटिंग, 2. स्व बूटन"
ஆட்டோகேட் (ஒரு கணினி மொழி),ऑटोकैड (एक कंप्यूटर भाषा)
தானாக உள்நுழைவு,स्वत: लॉग-ऑन
தானியங்கி,ऑटोमेटा
தானியங்கு கோட்பாடு,आटोमेटा सिद्धांत
தானியங்கி கணக்கீடு,स्वत: अभिकलन
தானியங்கி தரவு செயலாக்கம்,स्वत: आंकड़ा प्रक्रमण
தானியங்கி பிழை திருத்தம்,स्वत: त्रुटि संशोधन
தானியங்கு செயல்பாடு,स्वत: फलन
"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்","1.  स्वत: सूचकीकरण, 2. स्वत: सूचीकरण"
தானியங்கு சேகரிப்பு அழைப்பு,स्वत: संग्रह आह्वान
"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க","1. स्वत: क्रमादेशन, 2. स्वत: प्रोग्रामन"
"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்","1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
தானியங்கி வழக்கம்,स्वत: नेमका
தானியங்கி கணினி மீட்பு,स्वत: सिस्टम पुन: प्राप्ति
"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்","1. स्वत: टेलर मशीन्अ (ए टी एम), 2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
தானியங்கி,स्वचालन
"1. ஆட்டோபிளே , 2. ஆட்டோ நடை","1. आटोप्ले, 2. स्वत: चलन"
குரல் கொடுத்தல்,स्वरक्षण
உதவியாளர்,सहायक
துணை நினைவகம்,सहायक स्मृति
துணை சேமிப்பு,सहायक भंडारण
கிடைக்கும் பட்டியல்,उपलब्ध लिस्ट
கிடைக்கும் நேரம்,उपलब्ध समय
சராசரி,औसत
AWK (ஒரு கணினி கட்டளை),ए डब्ल्यू के (एक कंप्यूटर समादेश)
பிறகு,पश्चांत
பின் செயலி,पश्चांत प्रक्रमक
பின்புற செயல்பாடு நீக்கம்,पश्च फलन विलोपन
பின்னணி செயலாக்கம்,पृष्ठभूमि प्रक्रमण
துணை கடைகள்,सहायक भंडार
மீண்டும் ஒட்டுதல்,पश्च पैचीकरण
"1. மேற்கு, 2. பின்வெளி","1. पश्चीयन, 2. बैकस्पेस"
பின்வாங்குதல்,पश्चपथन
"1. காப்புப்பிரதி , 2. கொடுக்கப்படுவதுடன்","1. बैक-अप, 2. पूर्तिकर"
"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்","1. पूर्तिकर स्मृति, 2. बैक-अप मेमोरी"
மீண்டும் பிழை திருத்தம்,पश्च त्रुटि सुधार
(வருமானம்-செலவு) இருப்புநிலை,(आय-व्यय) तुलन पत्र
கட்டு,पट्टी
"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்","1. बैंड चौड़आई, 2. बैंड विड्थ/क्षमता"
வங்கியாளர் வழிமுறை,बैंकर एल्गोरिथ्म
"1. பார் குறியீடு, 2. பார் குறியீடு","1.बार कूट, 2. बार कोड"
பட்டை குறி படிப்பான் வருடி,बार कोड स्कैनर
சட்ட வரைபடம்,बार ग्राफ
அடிப்படை முகவரி,आधार पता
அடிப்படை இசைக்குழு,आधार बैंड
ஆதார் எண்,आधार संख्या
அடிப்படை அட்டவணை,आधार सारणी
அடிப்படை (ஒரு கணினி மொழி),बेसिक (एक कंप्यूटर भाषा)
"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு","1. मूल नियंत्रण, 2. आधार नियंत्रण"
"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு","1. मूल निवेश, 2. आधारी निवेश"
அடிப்படை அறிவுறுத்தல்,आधारभूत अनुदेश
அடிப்படை பிரச்சினை,आधारी निर्गम
அடிப்படை நிலை,मूल चरण
"1. தொகுதி, 2. குழு, 3. பேரழிவு","1. बैच, 2. समूह, 3. प्रचय"
"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு","1. बैच फाइल, 2. बैच संचिका"
தொகுதி நிலை,बैच स्थिति
"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்","1. बैच प्रक्रमण, 2. समूह प्रक्रमण"
"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு","1. बैच तंत्र, 2. प्रचय तंत्र"
பாட்,बॉड
பாட் விகிதம்,बॉड दर
கற்றை கற்றை,किरण पुंज
"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி","1. निर्देशमानक, 2. बैचमार्क"
இருதரப்பு தொடர்பு,द्विदिश संचार
நேரடி இணைப்பு,विदिश कड़ी
பைனரி குறியீடு,द्विआधारी कूट
பைனரி இலக்கங்கள்,द्विआधारी अंक
பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்),द्विआधारी निवेश निर्गम तंत्र (बायोस)
பைனரி எண்,द्विआधारी संख्या
பைனரி ஆபரேட்டர்,द्विआधारी संकारक
பைனரி உறவு,द्विआधारी संबंध
பைனரி தேடல்,द्विआधारी खोज
பைனரி ஆய்வு மரம் (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
"1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்","1. द्विआधारी ट्रांसफर तरु, 2. द्विआधारी अंतरण"
பைனரி மரம்,द्विआधारी तरु
"1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்","1. द्विध्रुवी स्मृति, 2. द्विध्रुवी मेमोरी"
"1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி","1. जन्म मरण मॉडल, 2. जन्म मरण निदर्श"
பிறப்பு இறப்பு செயல்முறை,जन्म मरण प्रक्रम
"1. டூக், 2. பிட்","1. द्वयंक, 2. बिट"
சிறிய தவறு,बिट दोष
பிட் வரைபடம்,बिट प्रतिचित्र
"1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)","1. बिट, 2. प्रतिचित्र, 3. पिक्सेल (बी एम पी)"
"1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்","1. बिट आव्यूह, 2. बिट सारणी"
பிட் முறை,बिट प्रतिरूप
பிட் நிலை,बिट स्थिति
"1. பிட் வீதம், 2. பிட் விகிதம்","1. बिट रेट, 2. बिट दर"
கண்மூடி சோதனை,अंध पेटी परीक्षण
மின்னும்,टिमटिमाना
தொகுதி,ब्लॉक
"1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்","1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
தடுப்பு ஆய்வு,खंडक जांच
தொகுதி நகல்,खंड प्रतिलिपि
தொகுதி வரைபடம்,खंडक आरेख
"1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்","1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
பலகை,बोर्ड
பக்க நினைவகம்,पृष्ठ स्मृति
பூலியன் இயற்கணிதம்,बूलीय बीजगणित
பூலியன் உறவு,बूलीय संबंध
துவக்க பகிர்வு,बूट विभाजन
பூட் ஸ்ட்ராப்பிங்,बूट स्ट्रैपिंग
1.பூட்ஸ்ட்ராப் ஏற்றி,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
"1.பாலம், 2.பாலம்","1.ब्रिज, 2. सेतु"
பிராட்பேண்ட் நெட்வொர்க்,ब्राडबैंड नेटवर्क
ஒளிபரப்பு,प्रसारण
ஒலிபரப்பு வானொலி,प्रसारण रेडियो
(நிகர) மாறுபாடு,(नेट) विचरण
(net) vicar,(नेट) विचरक
பி-ட்ரூ,बी-तरु
"1.குமிழி நினைவகம், 2.குமிழி நினைவகம்","1.बुदबुद स्मृति, 2.बबल मेमोरी"
குமிழி வகை,बुदबुद छंटाी
"1.வாளி, 2.வாளி","1.बाल्टी, 2.बकेट"
"1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு","1.बंधुता तंत्र, 2.बडी तंत्र"
பயனுள்ள பட்ஜெட் கட்டுப்பாடு,बजट प्रभावी नियंत्रण
தாங்கல்,बफर
குறைபாடு,दोष
போதும்,बस
"1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)","1.अष्ट वयंक, 2. बािट (आठ बिट)"
பைட் குறியீடு,बािट कोड
சி (கணினி மொழி),सी (कंप्यूटर भाषा)
"1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)","1.सी प्लस प्लस, 2.C++(कंप्यूटर भाषा)"
"1.பணம், 2. வேகமாக, 3.வேகமாக","1.कैश, 2. द्रुतिका, 3.द्रुत"
"1.கேச் பஃபர், 2.மெமரி பஃபர்","1.कैश बफर, 2.द्रुतस्मृति बफर"
"1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி","1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
கணக்கீடு,परिकलन
"1.கால்குலேட்டர், 2.கால்குலேட்டர்","1.कैलकुलेटर, 2.परिकलक"
"1.கால்குலேட்டர் சிப்,2. கால்குலேட்டர் சிப்","1.कैलकुलेटर चिप, 2. परिकलक चिप"
அழைக்கவும்,आह्वान
பெயர் அழைப்பு,नाम आह्वान
குறிப்பு அழைப்பு,संदर्भ आह्वान
மரியாதை அழைப்பு,मान आह्वान
மாறி அழைப்பு,चर आह्वान
அழைப்பு வாயில்,आहवान गेट
"1. ரத்து, 2. ரத்து","1.निरस्त करना, 2.रद्द करना"
திரும்பப்பெறுதல் பொத்தான்,निरसन बटन
"1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்","1.विहित, 2. कैनॉनिकल"
நியமன வடிவம்,विहित रूप
திறன்,क्षमता
திறன் பட்டியல்,क्षमता सूची
"1. திறன், 2. வைத்திருக்கும்","1.क्षमता, 2. धारिता"
தொப்பி பூட்டு விசை,कैप्स लॉक कुंजी
"1. அட்டை, 2. தாள்","1.कार्ड, 2. पत्रक"
கார்டு ரீடர்,कार्ड पाठक
முக்கியத்துவம்,प्रमुखता
கேரியர்,वाहक
கேரியர் பேண்ட்,वाहक बैंड
கேரியர் சுமை,वाहक भार
கேரியர் சிக்னல்,वाहक संकेत
கேரியர் அலை,वाहक तरंग
சாதித்தது,हासिल
மதிப்பெண் பெற்றார்,हासिल अंक
அடைந்த கொடி,हासिल ध्वज
"1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்","1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
"1. அருவி, 2. அருவி","1.कास्केड, 2.सोपानी"
வழக்கு,केस
கேத்தோடு-கதிர் குழாய் (CRT),कैथोड-रे-टयूब (सी आर टी)
கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்,कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
சிடி ரோம் டிஸ்க் டிரைவ்,सी डी रॉम डिस्क ड्रािव
செல்,सेल
செல் அனிமேஷன்,सेल एनीमेशन
கை பேசி,सेल्युलर फोन
"1. மைய நினைவகம், 2. மைய நினைவகம்","1.केंद्रीय स्मृति, 2. केंद्रीय मेमोरी"
மத்திய செயலாக்க அலகு (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
மையப்படுத்தப்பட்ட அமைப்பு,केंद्रीकृत तंत्र
அங்கீகரிக்கப்பட்ட டேப்,प्रमाणीकृत टेप
சங்கிலி,श्रृंखला
"1.தொடர் தரவு, 2.தொடர் உள்ளடக்கம்","1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
சங்கிலி இணைப்பு,श्रृंखला कड़ी
சங்கிலியிடுதல்,श्रृंखलन
"1.சேனல், 2.சேனல்","1.प्रणाल, 2.चैनल"
"1.சேனல் பிஸி டோன், 2.சேனல் பிஸி டோன்","1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन"
"1.சேனல் திறன், 2.சேனல் திறன்","1.प्रणाल क्षमता, 2.चैनल क्षमता"
"1.சேனல் கன்ட்ரோலர், 2.சேனல் கன்ட்ரோலர்","1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक"
"1. சேனல் பிழை, 2. சேனல் பிழை","1.प्रणाल त्रुटि, 2.चैनल त्रुटि"
"1.சேனல் புரோகிராம், 2.சேனல் புரோகிராம்","1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम"
"1.சேனல் நம்பகத்தன்மை, 2.சேனல் நம்பகத்தன்மை","1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता"
"1.சேனல் தொகுப்பு, 2.சேனல் தொகுப்பு","1.प्रणाल समुच्चय, 2.चैनल समुच्चय"
சின்னம்,संप्रतीक
"1.எழுத்து குறியீடு, 2. எழுத்து குறியீடு","1.संप्रतीक कूट, 2. संप्रतीक कोड"
எழுத்து திறவுகோல்,संप्रतीक कुंजी
பாத்திர வாசகர்,संप्रतीक पाठक
"1. சின்ன அளவு, 2. சின்ன அளவு","1.संप्रतीक सािज, 2.संप्रतीक आमाप"
சித்திரமான,संचित्र
"1.சேஸ், 2.சேஸ்","1.न्याधार, 2.चैसिस"
சோதனை பிட்,जाँच बिट
சோதனை புள்ளிகள்,जाँच अंक
மொத்தத்தை சரிபார்க்கவும்,जाँच योग
சரிபார்ப்பு வார்த்தை,जाँच शब्द
சிப்,चिप
சிப் தொகுப்பு,चिप सेट
"1.தேர்வு, 2.தேர்வு","1.चुनना, 2.चयन"
அகரவரிசைப்படி,वर्णिक रूप से
"1.சஃபர், 2. பூஜ்யம், 3. கடலோடி","1.सािफर, 2. शून्य, 3. सीफर"
சுற்று,परिपथ
வட்ட பட்டியல்,वर्तुल सूची
செரிஸ்,सायरस
குறிப்பிடவும்,उल्लेख
"1.வகை, 2.வகை","1.श्रेणी, 2.वर्ग"
வர்க்க மாறி,वर्ग चर
வகைப்பாடு,वर्गीकरण
