Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Active,"ସକ୍ରିୟ କରିବା, ସକ୍ରିୟ, ଉଦ୍ୟୋଗୀ, କର୍ମଠ, କ୍ରିୟାଶୀଳ"
Actively,"ସକ୍ରିୟ ଭାବେ, ତତ୍ପରତା, ସହିତ"
Activist,କ୍ରିୟାକଳାପ
Act of God,ଦୈବୀ ଘଟଣା
Act of misconduct,"ଅସଦାଚରଣ, ଦୁର୍ବ୍ୟବହାର"
Acts of commission and omission,ଭୁଲଚୁକ
Actual,"ବାସ୍ତବ, ବାସ୍ତବିକ, ଯଥାର୍ଥ"
Actuals,ବାସ୍ତବ ଆୟ ବା ବ୍ୟୟ
Adaptation,"ଆବଶ୍ୟକତାନୁସାର ବସ୍ତୁକୁ ଉପଯୋଗୀ କରିବା, ଖାପ ଖୁଆଇ ନେବା"
Addition,"ଯୋଗ, ମିଶାଣ, ସମଷ୍ଟି"
Additional charge,ଅତିରିକ୍ତ ଦେୟ
Additional fund,ଅତିରିକ୍ତ ପାଣ୍ଠି
Additional grant,ଅତିରିକ୍ତ ଅନୁଦାନ
Additional information,ଅତିରିକ୍ତ ତଥ୍ୟ
Additional pay,ମିଶ୍ରଣ ଏବଂ ପରିବର୍ତ୍ତନ
Addition and alteration,ଅତିରିକ୍ତ ବେଦନ
Address,"ଅଭିଭାଣ, ମାନପତ୍ର, ଠିକଣା, ନିବେଦନ ପତ୍ର, ସମ୍ବୋଧନ, ବକ୍ତୃତା, ବକ୍ତୃତା ଦେବା, ଅଭିଷାଣ ଦେବା, ଲକ୍ଷ୍ୟ କରିବା"
Addressee,"ପତ୍ରଗ୍ରାହୀ, ପତ୍ର ପ୍ରାପକ, ଚିଠି ପାଇବା ଲୋକ"
Address of welcome,ସ୍ୱାଗତ ଅଭିଭାଷଣ
Adequate,"ପର୍ଯ୍ୟାପ୍ତତା, ଯଥାଯୋଗ୍ୟ, ଆବଶ୍ୟକ ମୁତାବକ, ଯଥେଷ୍ଟ"
Adhere to,"ଲାଖି କରିବା, ସଂଲଗ୍ନ ଦେବା"
Ad hoc,"ଆଡହକ୍, କାମଚଳା, ସେହି ଉଦ୍ଦେଶ୍ୟରେ"
Ad hoc claim,"କାମଚଳା ଦାବୀ, କାମଚଳା ଅଧିକାର, କାମଚଳା ପ୍ରାପ୍ୟ"
Ad hoc committee,କାମଚଳା ସଂଗଠନ
Ad hoc increase,କାମଚଳା ବୃଦ୍ଧି
Ad hoc payment,କାମଚଳା ଦେୟ
Adjacent,"ସନ୍ନିହିତ, ସନ୍ନିକଟ, ନିକଟବର୍ତ୍ତୀ"
Adjoining (=contiguous),ପାର୍ଶ୍ୱବର୍ତ୍ତୀ
Adjournment,"ମହଲତି, ମୁଲତବି"
Adjournment motion,ମୁଲତବି ପ୍ରସ୍ତାବ
Adjudge,ନ୍ୟାୟ ନିର୍ଣ୍ଣୟ କରିବା
Adjudicate,ନ୍ୟାୟ ନିର୍ଣ୍ଣୟ କରିବା
Adjudication,"ନ୍ୟାୟ ନିର୍ଣ୍ଣୟନ, ରାୟ ଦାନ"
Adjudicator,ନ୍ୟାୟ ନିର୍ଣ୍ଣାୟକ
Adjustment,"ବ୍ୟବସ୍ଥାପନ, ସମାଯୋଜନ"
Administer,"ପ୍ରଶାସନ କରିବା, ପରିଚାଳନା କରିବା, ପ୍ରୟୋଗ କରିବା, କାର୍ଯ୍ୟନିର୍ବାହ କରିବା"
Administer oath,ଶପଥ କରାଇବା
Administration,ପ୍ରଶାସନ
Administration of justice,ନ୍ୟସ ପ୍ରଶାସନ
Administrative,"ପ୍ରଶାସନିକ, ପ୍ରଶାସନୀୟ, ପରିଚାଳନା ସଂପର୍କୀୟ"
Administrative action,"ପ୍ରଶାସନିକ ଗତିବିଧି, ପ୍ରଶାସନିକ ଆଚରଣ"
Administrative appraisal,ପ୍ରଶାସନିକ ମୂଲ୍ୟାୟନ
Administrative approval,ପ୍ରଶାସନୀୟ ଅନୁମୋଦନ
Administrative authority,ପ୍ରଶାସନୀୟ ଅଧିକାରୀ
Administrative control,ପ୍ରଶାସନୀୟ ନିୟନ୍ତ୍ରଣ
Administrative department,ପ୍ରଶାସନୀୟ ବିଭାଗ
Administrative decision,ପ୍ରଶାସନୀୟ ନିର୍ଣ୍ଣୟ
Administrative head,ପ୍ରଶାସନୀୟ କାର୍ଯ୍ୟ
Administrative headquarters,ପ୍ରଶାସନୀକ ମୁଖ୍ୟାଳୟ
Administrative measures,ପ୍ରଶାସନୀୟ ଅଟକଳ
Administrative power,ପ୍ରଶାସନୀୟ କ୍ଷମତା
Administrative sanction,ପ୍ରଶାସନୀୟ ମଞ୍ଜୁରୀ
Administrative technique,"ପ୍ରଶାନିକ ପ୍ରଣାଳୀ, ପ୍ରଶାସନିକ କୌଶଳ"
Administrative tribunal,ପ୍ରଶାସନୀୟ ନ୍ୟାୟାକରଣ ବା ଟ୍ରିବ୍ୟୁନାଲ
Admissibility,"ବିଚାର ବା ଗ୍ରହଣ ଯୋଗ୍ୟ, ଗ୍ରହଣୀୟ"
Admissible expenditure,ଗ୍ରାହ୍ୟ ବ୍ୟୟ
Admit,"ସ୍ୱୀକାର କରିବା, ମାନିବା, ଗ୍ରହଣ କରିବା, ପ୍ରଦେଶ ଅନୁମତି ଦେବା, ପ୍ରବେଶାନୁମତି"
Admit card,ପ୍ରବେଶ ପତ୍ର
Admitted,"ସ୍ୱୀକୃତ, ପ୍ରବିଷ୍ଟ, ଦାଖଲ ହୋଇଥିବା, ଗୃହୀତ"
Admonish,"ଉପଦେଶ ଦେବା, ମନେ ପକାଇବା"
Adoptee,"ଦତ୍ତକ, ପୋଷ୍ୟପୁତ୍ର"
Adoptor,"ସଂରକ୍ଷକ, ଅବଲମ୍ବକ, ଦାୟାଦ ଗ୍ରହଣ"
Adoption,"ପୋଷ୍ୟ ଗହଣ, ପରିଗ୍ରହ, ଅଙ୍ଗୀକାର, ଅବଲମ୍ବନ"
Adult,"ବୟସ୍କ, ପ୍ରୌଢ଼, ଅଣସୈନିକ, ପ୍ରଶିକ୍ଷଣ ପରିକ୍ପନା"
Adulteration,"ଅପମିଶ୍ରଣ, ଭେଜାଲ"
Adultery,"ଜାରକର୍ମ, ବ୍ୟଭିଚାର, ପରଦାରା ଗମନ"
Adult franchise,ବୟସ୍କ ମତାଧିକାର
Ad valorem duty,"ମୂଲ୍ୟାନୁଯାୟୀ ଶୁଳ୍କ, ମୂଲ୍ୟାନୁଯାୟୀ"
Advance,"ଅଗ୍ରିମ, ଉନ୍ନତ, ବଇନା, ଅଗ୍ରିମ ଦାନ, ଉନ୍ନତି ସାଧନ କରିବା"
Advance booking,"ଅଗ୍ରିମ ସ୍ଥାନ ସଂରକ୍ଷଣ, ଅଗ୍ରୀମତାଲିକାଭୁକ୍ତ"
Advance copy,ଅଗ୍ରିମ ନକଲ
Advanced increment,ଅଗ୍ରିମ ବେତନ ବୃଦ୍ଧି
Advance payment,"ଅଗ୍ରିମ ଅର୍ଥପ୍ରଦାନ, ଅଗ୍ରିମ ଦେୟ"
Adverse entry,"ପ୍ରତିକୂଳ ପ୍ରବେଶ, ବିରୁଦ୍ଧ ଲେଖନ"
Adverse remarks,ପ୍ରତିକୂଳ ମନ୍ତବ୍ୟ
Adverse report,ପ୍ରତିକୂଳ ରିପୋର୍ଟ/ବିବରଣୀ
Advertisement,ବିଜ୍ଞାପନ
Advice,"ଉପଦେଶ, ସୂଚନା"
Advice of payment,"ଅର୍ଥପ୍ରଦାନ ସୂଚନା, ଦେୟ ସଂ ପନ"
Advisory committee,ଉପଦେଷ୍ଟା କମିଟି
Advisory council,ଉପଦେଷ୍ଟା ପରିଷଦ
Advocate,"ଓକିଲାତି କରିବା, ପକ୍ଷପୋଷଣ କରିବା, ଆଡଭୋକେଟ୍, ଅଧିବକ୍ତା"
Affairs,"ବ୍ୟାପାର, ମାମଲା, ପ୍ରେମ ସଂପର୍କ, ବିଷୟ, କାର୍ଯ୍ୟକଳାପ"
Affidavit,"ଶପଥ ପତ୍ର, ଆଫିଡେଭିଟ୍, ସତ୍ୟପାଠ"
Affiliation,"ସହବନ୍ଧନ, ଅଙ୍ଗୀକରଣ"
Affirmation,"ଦୃଢ଼ୀ କରଣ, ଶପଥ ପାଠପୁର୍ବ ଜମାଜ ବନ୍ଦୀ"
Affirmative,ଆସ୍ତିବାଚକ. ଦୃଢ଼ତାସୂଚକ
Afford,"ସକ୍ଷମ ହେବା, ସାମର୍ଥ୍ୟ, ଦେବା"
Aforesaid,ପୂର୍ବୋକ୍ତ
Afresh,"ପୁନରାତ୍ମ, ନୂତନ ଭାବରେ"
Against,"ବିରୋଧରେ, ପାର୍ଶ୍ୱରେ, ପ୍ରତିକୂଳରେ, ବିପକ୍ଷରେ, ତୁଳନାରେ"
Age,"ବୟସ, ଯୁଗ"
Age certificate,ବୟସ ପ୍ରମାଣପତ୍ର
Age for suffrage,ମତାଧିକାର ବୟସ
Age limit,ବୟସ ସୀମା
Agency,"ଏଜେନସି, ଅଭିକରଣ, ମାଳ ଅଞ୍ଚଳ, ମାଧ୍ୟମ"
Agenda,କାର୍ଯ୍ୟସୂଚୀ
Age of retirement,"ଅବସର ବୟସର, ସେବାନିବୃତ୍ତି ବୟସ"
Age of superannuation,ସେବାନିବୃତ୍ତି ବୟସ
Aggregation,"ଏକତ୍ରୀକରଣ, ସମଷ୍ଟି, ସମୁଚ୍ଚୟ"
Aggrieved,"ବ୍ୟଥିତ, କ୍ଷୁବ୍ଧ, ଅପମାନିତ"
Agitation,ଆନ୍ଦୋଳିତ
AGM (annual general meeting),ବାର୍ଷିକ ସାଧାରଣ ବୈଠକ
Agreement,"ସମ୍ମତି, ରାଜିନାମା, ଐକ୍ୟ"
Agreement form,"ରାଜିନାମା ପତ୍ର, ଏକରାର-ନାମା"
Agriculture,"କୃଷି, ଚାଷ"
Agro-industry,"କୃଷି-ଉଦ୍ୟୋଗ, କୃଷି-ଶିଳ୍ପ"
Aid,"ସହାୟତା, ସାହାଯ୍ୟ"
Alarm,"ତ୍ରାସ, ବିପଦ ସଂକେତ, ଆଲାରମ୍"
Alertness,"ସାବଧାନତା, ସତର୍କତା"
Alias,"ଉପନାମ, ଓରଫ, ବନାମ"
Allegation,"ଅଭିଯୋଗ, ଆରୋପ"
Allegiance,"ନିଷ୍ଠା, ରାଜନିଷ୍ଠା"
Alliance,"ସନ୍ଧି, ସମ୍ବନ୍ଧ, ମେଳ, ମୈତ୍ରୀ"
Allied services,ସଶବର୍ଗୀୟ ସେବା
All inclusive cost,ସର୍ବ ସମେତ ମୂଲ୍ୟ
All India Services,ଆକାଶ ବାଣୀ
Allocation,"ବଣ୍ଟନ, ବଣ୍ଟୁଆରା"
Allotment,ଆବଣ୍ଟନ
Allotment letter,"ଆବଣ୍ଟନ ଚିଠି, ଆବଣ୍ଟନ ପତ୍ର"
Allottee,ଆବଣ୍ଟନଗ୍ରାହୀ
Allowable,"ସମ୍ମତିଯୋଗ୍ୟ, ମଞ୍ଜୁର ଯୋଗ୍ୟ, ସ୍ୱୀକାର ଯୋଗ୍ୟ"
Allowable expenses,"ମଂଜୁରୀ ଯୋଗ୍ୟ ଖର୍ଚ୍ଚ, ସମ୍ମତି ଯୋଗ୍ୟ ବ୍ୟୟ"
Allow an appeal,ପ୍ରାର୍ଥନା ମଂଜୁରୀ
Allowance,"ଭତ୍ତା, ମାଫି, ଛାଡ଼"
All rights reserved,ସର୍ବସ୍ୱତ୍ୱ ସଂରକ୍ଷିତ
Alphabetic order,ବର୍ଣ୍ଣାନୁକ୍ରମ
Altercation,"ବୋଲାବୋଲି, ବିତଣ୍ତା ବିତର୍କ"
Alternate,"ଏକାନ୍ତର, ବିକଳ୍ପ, ପାଳିକରି"
Alternative,"ବୈକଳ୍ପିକ, ଗତ୍ୟନ୍ତର, ବିକଳ୍ପ"
Amalgamation,ମିଶ୍ରଣ
Amended draft,ସଂଶୋଧିତ ଚିଠା ଖସଡ଼ା
Amendment,ସଂଶୋଧନ
Amenity,"ମୁଖ୍ୟ ସ୍ୱାଚ୍ଛିନ୍ଦ୍ୟ, ସୁବିଧା"
Amicable,"ମୈତ୍ରୀପୂର୍ଣ୍ଣ, ଆପୋଷ ସମ୍ମତ"
Ammunition,"ଗୋଳାବାରୁଦ, ଆସ୍ତ୍ରଶସ୍ତ୍ର ଓ ଗୋଳାବାରୁଦ"
Amortization of debt,ଋଣ ପରିଶୋଧନ
Amount,"ପରିମାଣ, ମାତ୍ରା, ରାଶି"
Amount of pension,ସେବାନି ବୃତ୍ତି ବେତନ ପରିମାଣ
Analogous post,ଏକ ସଦୃଶପଦ
Analysis,ବିଶ୍ଳେଷଣ
Analytical study,ବିଶ୍ଲେଷଶାତ୍ମ ଅଧ୍ୟୟନ
Ancestor,"ପୂର୍ବପୁରୁଷ, ପୂର୍ବଜ"
Ancillary industry,ଅନୁସଙ୍ଗୀ ଉଦ୍ୟୋଗ/ଶିଳ୍ପ
Animosity,"ଶତ୍ରୁତା, ବିଦ୍ୱେଷ"
Annexure,"ସଂଯୁକ୍ତ ଗୃହ, ପରିଶିଷ୍ଟ"
Anniversary,"ବାର୍ଷିକୀ, ବାର୍ଷିକ ଉସ୍ଚବ"
Announcement,ଘୋଷଣା
Annoyance,ବିରକ୍ତି
Annual financial statement,ବାର୍ଷିକ ବିତ୍ତୀୟ ବିବରଣୀ
Annual report,ବାର୍ଷିକ ବିବରଣୀ
Annuity,"ବାର୍ଷିକ ବୃତ୍ତି, ସାଲିଆନା, ବାର୍ଷିକୀ"
Anonymous,"ବେନାମୀ, ଅନାମ"
Anonymous complaint,ବେନାମି ଅଭିଯୋଗ
Answerability,"ଉତ୍ତରଦାୟିତ୍ୱ, ଉତରଦାୟ"
Answer sheet,ଉତ୍ତର ପୁସ୍ତିକା
Antagonist,"ପ୍ରତିପକ୍ଷାତ୍ମକ, ବିରୋଧାତ୍ମକ"
Antecedents,"ପୂର୍ବ ଚରିତ, ପୂର୍ବବୃତ୍ତାନ୍ତ"
Anticipated expenditure,"ଅନୁମାନିକ ବ୍ୟଯ, ପ୍ରତ୍ୟାଶୀ ବ୍ୟୟ"
Anticipated income,"ପ୍ରତପାଶୀ ଆୟ, ଅନୁମାନିକ ଆୟ"
Anticipation,"ପ୍ରତ୍ୟାଶା, ପୂର୍ବାନୁମାନ"
Anticipatory bail,ପ୍ରତ୍ୟାଶାମୂଲକ ଜାମିନ୍
Anti-corruption measure,ଦୁର୍ନୀତି ନିବାରଣ ଉପାୟ
Anti-dumping,ପାଟନ ବିରୋଧି
Antique,"ପୁରାକାଳୀନ, ଅତି ପ୍ରାଚୀନ"
Apartheid,ବର୍ଣ୍ଣବୈଷମ୍ୟ
Apathy,"ଅନାଗ୍ରହ, ଉଦାସୀନତା"
Apex body,"ଶିଖର ସଂସ୍ଥା, ଅଧିକାରୀଗଣ"
Apology,କ୍ଷମାପ୍ରାର୍ଥନା
Appeal,"ଅପିଲ, ପ୍ରାର୍ଥନା"
Appearance,"ରୂପାକୃତି, ଚେହେରା, ଉପସ୍ଥିତି, ହାଜିରି, ଆଭାସ"
Appeasement,"ତୋଷଣ, ତୁଷ୍ଟିକରଣ"
Appellate tribunal,ଅପିଲ ଟ୍ରିବ୍ୟୁନାଲ୍
Appendix,ପରିଶିଷ୍ଟ
Appliance,"ସାଧନ, ଉପଯନ୍ତ୍ର, ନିର୍ଦ୍ଧିଷ୍ଟ କାର୍ଯ୍ୟପାଇଁ ବ୍ୟବହୃତ ଉପକରଣ"
Applicable,"ପ୍ରଯୋଜ୍ୟ, ଲାଗୁ, ଉପଯୁକ୍ତ"
Applicant,"ଦରଖାସ୍ତକାରୀ, ଆବେଦନକାରୀ"
Application,"ଦରଖାସ୍ତ, ପ୍ରୟୋଗ"
Application form,ଆବେଦନ ପତ୍ର
Applied,"ପ୍ରୟୋଗାତ୍ମକ, ପ୍ରଯୁକ୍ତ"
Apply,"ପ୍ରୟୋଗ କରିବା, ଲାଗୁ ହେବା, ଖଟାଇବା, ଦରଖାସ୍ତ କରିବା, ଲଗାଇବା"
Appointee,ନିଯୁକ୍ତ ବ୍ୟକ୍ତି
Appointing authority,ନିଯୁକ୍ତି ପ୍ରାଧିକାରୀ
Appointment,"ନିଯୁକ୍ତି, ପଦ, ସାକ୍ଷାତ, ସମୟ ନିର୍ଦ୍ଦେଶ"
Appointment letter,ନିଯୁକ୍ତି ପତ୍ର
Appointments Committee of the Cabinet,ମନ୍ତ୍ରୀ ମଣ୍ଡଳୀଯ ନିଯୁକ୍ତି ସମିତି ମଂଜୁରୀ ବିଭାଜନ
Apportionment of wages,ମଜୁରୀ ବିଭାଜନ
Appraisal,ମୂଲ୍ୟାଙ୍କନ
Appraiser,ମୂଲ୍ୟ ନିରୂପକ
Appreciation,"ପ୍ରଶଂସା, ଗୁଣ ଗ୍ରହଣ, ମୂଲ୍ୟବୃଦ୍ଧି, ପସନ୍ଦ"
Apprehension,"ଆଶଙ୍କା, ଗ୍ରେପ୍ତାର"
Apprentice,"ଶିକ୍ଷାନବିସ, ଆପ୍ରେଣ୍ଟିସ୍"
Approach,"ନିକଟକୁ ଯିବା, ଅନୁରୋଧ କରିବା, ପ୍ରବେଶ ମାର୍ଗ"
Appropriate,"ସମୁଚିତ, ଯଥାଯୋଗ୍ୟ, ବିନିଯୋଗ କରିବା, ଆତ୍ମସାତ୍ କରିବା"
Appropriate action,"ଉଚିତ ପଦକ୍ଷେପ, ଯଥାର୍ଥ ପଦକ୍ଷେପ"
Appropriate head,"ଯଥାର୍ଥ ମୁଖ୍ୟ, ଉଚିତ ପଦାଧିକାରୀ"
Appropriation,"ବିନିଯୋଗ, ଆତ୍ମସାତ୍ କରଣ"
Approval,ଅନୁମୋଦନ
Approximate,"ଆନୁମାନିକ, ପ୍ରାୟ ପାଖାପାଖି, ସନ୍ନିକଟ ହେବା"
Aptitude test,ଦକ୍ଷତା ପରୀକ୍ଷଣ
Arbitrary,"ସ୍ୱେଚ୍ଚ୍ଥନ୍ଦ ଭାବରେ, ମନମୁଖୀ ଭାବରେ, ସ୍ୱେଚ୍ଚ୍ଥାଚାରୀ ଭାବେ"
Arbitrate,"ମଧ୍ୟସ୍ଥି ହେବା, ମଧ୍ୟସ୍ଥି କରିବା"
Arbitration,"ମଧ୍ୟସ୍ଥି ନିର୍ଣ୍ଣୟ, ମଧ୍ୟସ୍ଥତା"
Arbitration tribunal,ମଧ୍ୟସ୍ଥି ନ୍ୟାୟାଧୀକରଣ
Arbitrator,ମଧ୍ୟସ୍ଥ
Architecture,"ସ୍ଥାପତ୍ୟ କଳା, ବାସ୍ତୁଶିଳ୍ପ"
Archives,ଅଭିଲେଖାଗାର
Area,"କ୍ଷେତ୍ର, କ୍ଷେତ୍ରଫଳ"
Area headquarter,କ୍ଷେତ୍ରୀୟ ମୂଖ୍ୟାଳୟ
Argument,"ତର୍କ, ଯୁକ୍ତି"
Arise,"ଜାତ, ଜାଗ୍ରତ ହେବା, ଉଠିବା, ଦେଖାଦେବା"
Armed forces,ସଶସ୍ତ୍ର ନିଷ୍ପକ୍ଷତା
Arrangement,"ଆୟୋଜନ, ବ୍ୟବସ୍ଥା, ବାନ୍ୟାସ"
Arrear,"ବକେୟା, ଅବିଶିଷ୍ଟ ଦେୟ"
Arrear statement,ବକେୟା ବିବରଣୀ
Arrival report,"ଆଗମନ ବିବରଣ, ଆଗମନ ସମ୍ବାଦ"
Arrogance,"ଉଦ୍ଧତ, ଅହଙ୍କାରୀ, ଦାମ୍ଭିକ"
Arsenal,ଶସ୍ତ୍ରାଗାର
Article,"ଅନୁଛେଦ, ଦ୍ରବ୍ୟ, ଲଖା, ନିୟମ, ସରଞାମ"
Articles of association,ସଂଘ ନୟମାବଳୀ
Articles,"ନିୟମ, ନିୟମାବଳୀ"
Ascending order,ଆରୋହୀ କ୍ରମ
Ascertain,"ନିରୂପଣ କରିବା, ଜାଣିବା, ନିର୍ଣ୍ଣ ୟ କରିବା"
As is where is,"ଯେମିତି, ଯେଉଠି"
Aspect,"ଦୃଷ୍ଟିକୋଣ, ଦିଗ"
Aspersion,ଆକ୍ଷେପ
Assassination,ଗୁପ୍ତହତ୍ୟା
Assault,"ଆକ୍ରମଣ ଉଦ୍ୟମ କରିବା, ଆକସ୍ମିକ ଆକ୍ରମଣ କରିବା"
Assemble,"ସମବେତ ହେବା, ଏକତ୍ର ହେବା ବା କରିବା, ଜମା ହେବା"
Assembly,"ବିଧାନସଭା, ଜନ ସମାବେଶ, ସମ୍ମେଳନ, ସଭାଗୃହ"
Assent,ସମ୍ମତି
Assert,ଦୃଢ଼ୋକ୍ତି କରିବା
