Punjabi,Malayalam
ਐਕਸੈਸ ਵਿਧੀ,ആക്സസ് സംവിധാനം
ਐਕਸੈਸ ਵਿਧੀ,ആക്സസ് രീതി
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,ആക്സസ് രീതി പതിവ്
ਐਕਸੈਸ ਮੋਡ,ആക്സസ് മോഡ്
ਸਹੀ ਪਹੁੰਚ,വലത് ആക്സസ്
ਐਕਸੈਸ ਸਕੈਨ,ആക്സസ് സ്കാൻ
ਐਕਸੈਸ ਟਾਈਮ,ആക്സസ് സമയം
ਲੇਖਾ,അക്കൌണ്ടിംഗ്
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
ਲੇਖਾ ਮਸ਼ੀਨ,അക്ക ing ണ്ടിംഗ് മെഷീൻ
ਅਕਾਊਂਟ ਨੰਬਰ,അക്കൗണ്ട് നമ്പർ
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,സഞ്ചിതം
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,സഞ്ചിത രജിസ്റ്റർ
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
ਸ਼ੁੱਧਤਾ,കൃതത
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,കൃത്യത നിയന്ത്രണ പ്രതീകം
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,കൃത്യത നിയന്ത്രണ സംവിധാനം
ਏਸ ਪਾਇਲਟ,എയ്സ് പൈലറ്റ്
ਅੱਖਰ ਮੰਨੋ,പ്രതീകം അംഗീകരിക്കുക
ਧੁਨੀ ਕਥਾ,അക്കോസ്റ്റിക് കപ്ലർ
ਧੁਨੀ,അക്കോസ്റ്റിക് കപ്ലിംഗ്
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,അക്ക ou സ്റ്റിക് കാലതാമസം
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,അക്കോസ്റ്റിക് മെമ്മറി
ਧੁਨੀ ਮਾਡਮ,അക്കോസ്റ്റിക് മോഡം
ਧੁਨੀ ਸੰਕੇਤ,അക്കോസ്റ്റിക് സിഗ്നൽ
ਧੁਨੀ ਸਟੋਰੇਜ,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
ਐਕਰੋਨਾਈਮ,സംക്ഷേപം
ਕਾਰਵਾਈ,പവര്ത്തി
ਐਕਸ਼ਨ ਚੱਕਰ,പ്രവർത്തന ചക്രം
ਐਕਸ਼ਨ ਲਾਈਨ,ആക്ഷൻ ലൈൻ
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,ആക്ഷൻ സന്ദേശം
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,പ്രവർത്തന സവിശേഷത
ਸਰਗਰਮੀ,സജീവമാക്കല്
ਕਿਰਿਆਸ਼ੀਲ,സജീവമായ
ਐਕਟਿਵ ਫਾਈਲ,സജീവ ഫയൽ
ਐਕਟਿਵ ਲਾਈਨ,സജീവ ലൈൻ
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,സജീവ ലിങ്ക്
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,സജീവ മാസ്റ്റർ ഫയൽ
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,സജീവ മാസ്റ്റർ ഇനം
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,സജീവ ഉപഗ്രഹം
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,സജീവ സ്റ്റേഷൻ
ਐਕਟਿਵ ਸਟੋਰੇਜ,സജീവ സംഭരണം
ਸਰਗਰਮੀ,പ്രവർത്തനം
ਸਰਗਰਮੀ ਪੱਧਰ,പ്രവർത്തന നില
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,പ്രവർത്തന ലോഡിംഗ്
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,പ്രവർത്തന അനുപാതം
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,യഥാർത്ഥ ദശാംശസ്ഥാനം
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം)
ਅਸਲ ਕੁੰਜੀ,യഥാർത്ഥ കീ
ਅਸਲ ਸਮਾਂ,യഥാർത്ഥ സമയം
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,യഥാർത്ഥ ജോലി സമയം
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,ആരംഭിക്കുന്ന സിഗ്നൽ
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടലി
ਅਡੈਪਟਰ,അഡാപ്റ്റർ
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,എൻട്രി ചേർത്തു
ਐਡੇਂਡ,കൂട്ടിച്ചേര്ക്കുക
ਐਡਰਰ,ആംഗം
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,എ ഷട്രക്റ്റർ
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,ഫയൽ ചേർക്കുക
ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ),അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം)
ਜੋੜ ਰਿਕਾਰਡਰ,ബഹുമതി
ਜੋੜ ਸਾਰਣੀ,കൂട്ടിച്ചേർക്കലാ പട്ടിക
ਜੋੜ,അഡിറ്റീവ് ആട്രിബ്യൂട്ട്
ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ,മോഡ് ചേർക്കുക
ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ,പ്രവർത്തനം ചേർക്കുക
ਪਤਾ,അഭിസംബോധന ചെയ്യുക
ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ,വിലാസ നടപടി
ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ,അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം
ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ,വിലാസ പോയിന്റ്
ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ,അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം
ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ,വിലാസ രജിസ്റ്റർ
ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ,വിലാസ സംഭരണം
ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ,അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം
ਪਤਾ ਬੱਸ,വിലാസ ബസ്
ਪਤਾ ਕੋਡ,വിലാസ കോഡ്
ਪਤਾ ਕੰਪਰੇਟਰ,വിലാസ താരതമ്യക്കാരൻ
ਪਤਾ ਬਕਾਏ,വിലാസ കണക്കുകൂട്ടൽ
ਪਤਾ ਲਗਾਤਾਰ,വിലാസ സ്ഥിരത
ਪਤਾ ਬਦਲਣਾ,വിലാസ പരിവർത്തനം
ਪਤਾ ਡਾਟਾ,വിലാസ ഡാറ്റ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,മെമ്മറി അഭിസംബോധന ചെയ്തു
ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ,വിലാസ ഫലപ്രദമാണ്
ਪਤਾ ਖੇਤਰ,വിലാസ ഫീൽഡ്
ਪਤਾ ਫਾਰਮੈਟ,വിലാസ ഫോർമാറ്റ്
ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ,വിലാസ സ contry ജന്യ പ്രോഗ്രാം
ਸੰਬੋਧਨ ਕਰਨਾ,അഭിസംബോധന
ਸੰਬੋਧਨ ਕਰਨਾ  ਅੱਖਰ,അഭിസംബോധന  കഥാപാതം
ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ,അഭിസംബോധന ഇന്ററപ്റ്റ്
ਪਤਾ ਲਗਾਉਣ,വിലാസം ലൂപ്പ്
ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ,വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു
ਪਤਾ ਲਗਾਉਣਾ,വിലാസം ഇന്റർലേസിംഗ്
ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ,വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്
ਐਡਰੈੱਸ ਲਾਈਨ,വിലാസ ലൈൻ
ਪਤਾ ਮੈਪਿੰਗ,വിലാസ മാപ്പിംഗ്
ਪਤਾ ਮਾਰਕ,വിലാസ അടയാളം
ਪਤਾ ਸੋਧ,വിലാസ പരിഷ്ക്കരണം
ਪਤਾ ਭਾਗ,വിലാസ ഭാഗം
ਪਤਾ ਪੁਆਇੰਟਰ,വിലാസം പോയിന്റർ
ਪਤਾ ਰਜਿਸਟਰ,വിലാസ രജിസ്റ്റർ
ਪਤਾ ਸਿਗਨਲ,വിലാസ സിഗ്നൽ
ਪਤਾ ਅਕਾਰ,വിലാസ വലുപ്പം
ਪਤਾ ਸਪੇਸ,വിലാസ ഇടം
ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ,വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ
ਪਤਾ ਬੰਦ,വിലാസ സ്റ്റോപ്പ്
ਪਤਾ ਟਰੇਸ,വിലാസ ട്രെയ്സ്
ਪਤਾ ਟਰੈਕ,വിലാസ ട്രാക്ക്
ਪਤਾ ਅਨੁਵਾਦ,വിവർത്തനം വിവർത്തനം ചെയ്യുക
ਪਤਾ ਅਨੁਵਾਦਕ,വിലാസ പരിഭാഷകന്
ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ,ചേർക്കുക-കുറയ്ക്കുക സമയം
ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ,സമയം ചേർക്കുക
ਅਡਜੈਂਸੀ,വാര്ത്താവകം
ਐਡਜੈਂਸੀ structure ਾਂਚਾ,അഡ്ജഞ്ചൻസിൻസ് ഘടന
ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ,തൊട്ടടുത്തുള്ള ചാനൽ
ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ,അടുത്തുള്ള ഡൊമെയ്ൻ
ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ਨਾਲ ਲੱਗਦੀ ਨੋਡ,തൊട്ടടുത്തുള്ള നോഡ്
ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ,തൊട്ടടുത്തുള്ള സുബരിയ
ਐਡਰਜਾਈਨ (ਸਿਸਟਮ),കസ്റ്റേഴ്സ് (സിസ്റ്റം)
ਵਿਵਸਥਤ ਕਰੋ,കമപ്പെടുത്തുക
ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ,ക്രമീകരിക്കാവുന്ന പരിധി
ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ,ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക
ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ
ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ,അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം
ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ,നൂതന ആശയവിനിമയ സേവനം
ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,വിപുലമായ വിവര സിസ്റ്റം
ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ,വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ
ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ,വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ
ਏਰੀਅਲ,ഏരിയൽ
ਸਮੁੱਚੀ,ആകെത്തുകയായുള്ള
ਸਮੁੱਚੀ ਸਮੀਕਰਨ,മൊത്തം എക്സ്പ്രഷൻ
ਉਦੇਸ਼ ਸਰਕਲ,ലക്ഷ്യമിടുന്നു
ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ),ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്)
ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ,എഡിയൽ ചിഹ്നം
ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ,എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം
ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ,ബീജഗണിത ഐജൻവാലു പ്രശ്നം
ਅਲਜਬ੍ਰਿਕ  ਏਕੀਕਰਣ,ബീജഗണിത  സംയോജനം
ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ,ബീജഗണിത ഭാഷ
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ,ബീജഗണിത കൃത്രിമത്വം
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ,ബീജഗണിത കൃത്രിമ ഭാഷ
ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ,ബീജഗണിത ഓറിയന്റഡ് ഭാഷ
ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ,ബീജഗണിത മാറ്റം
ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ,ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ
ਐਲਗੋਲ,അൽഗോൾ
ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ,അൽഗോൾ സവിശേഷത
ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,അൽഗോൾ പ്രോഗ്രാമിംഗ്
ਐਲਗੋਰਿਦਮ,അൽഗോരിതം
ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ
ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ,അൽഗോരിതം വർഗ്ഗീകരണം
ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ,അൽഗോരിതം സങ്കീർണ്ണത
ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ,അൽഗോരിതം കേസബിലിറ്റി
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,അൽഗോരിത്ത്മിക് വിശകലനം
ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ,അൽഗോരിത്തിസ് സമീപനം
ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ,അൽഗോറിത്ത്മിക് ഭാഷ
ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ,അൽഗോരിഥമ്മിക് പതിവ്
ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ,അൽഗോരിതംസിക് സിദ്ധാന്തം
ਉਪਨਾਮ,അപരാഭിധാനം
ਅਲਾਇਸਿੰਗ,അപരനാത്മകം
ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ),അപരനാമം (= ഇതര പേര്)
ਅਲਾਈਨਮੈਂਟ,വിന്യാപകമായ
ਨਿਰਧਾਰਤ ਕਰੋ,നീക്കിവയ്ക്കുക
ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ,അലോക്കേഷൻ ഘടന
ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ,എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,അക്ഷരമാല പ്രതീകം
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ,അക്ഷരമാല പ്രതീക സെറ്റ്
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ,അക്ഷരമാല പ്രതീക സബ്സെറ്റ്
ਵਰਣਮਾਲਾ ਕੋਡ,അക്ഷരമാല കോഡ്
ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ,അക്ഷരമാല മാറ്റം
ਵਰਣਮਾਲਾ ਸਤਰ,അക്ഷരമാല സ്ട്രിംഗ്
ਵਰਣਮਾਲਾ ਸ਼ਬਦ,അക്ഷരമാല വാക്ക്
ਵਰਣਮਾਲਾ,അക്ഷരമാലാളം
ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ,ആഫറാമോമെട്രിക്സ്
ਅਲਫ਼ਾਮਿਕ,ആഫളാചിക്
ਅਲਫੋਮੋਸੈਕ,ആൽഫമോസയ്ക്ക്
ਅਲਫਾਨੁਮਿਕ,ആൽഫാന്യൂമെറിക്
ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ,ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം
ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ,ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്
ਅੱਖਰ ਕੋਡ,ആൽഫാന്യൂമെറിക് കോഡ്
ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ,ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്
ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ,ആൽഫാന്യൂമെറിക് ഡാറ്റ
ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ,ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം
ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ,ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം
ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ,ആൽഫാന്യൂമെറിക് ഫീൽഡ്
ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ,ആൽഫാന്യൂമെറിക് നിർദ്ദേശം
ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ,ആൽഫാന്യൂമെറിക് കീബോർഡ്
ਅੱਖਰ ਛਾਂਟੀ,ആൽഫാന്യൂമെറിക് തരം
ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ,ആൽഫാന്യൂമെറിക് സംഭരണം
ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ,മാറ്റം വരുത്തുന്നതിന് മെമ്മറി
ਤਬਦੀਲੀ ਸਵਿੱਚ,മാറ്റങ്ങൾ സ്വിച്ച്
ਬਦਲਣਾ,മാറ്റം
ਬਦਲੋ,മാറ്റ മോഡ്
ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ,ഇതര വീണ്ടെടുക്കൽ
ਵਿਕਲਪੀ ਰਸਤੇ,ഇതര റൂട്ട്
ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ,ഇതര റൂട്ടിംഗ്
ਵਿਕਲਪਿਕ ਟਰੈਕ,ഇതര ട്രാക്ക്
ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ),ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം)
ਵਿਕਲਪਕ ਗੁਣ,ഇതര ആട്രിബ്യൂട്ട്
ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ),"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)"
ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ,അവ്യക്തത പിശക്
ਅਸਪਸ਼ਟ ਹਵਾਲਾ,അവ്യക്തമായ റഫറൻസ്
ਐਨਾਲਾਗ,അനാലോഗ്
ਐਨਾਲਾਗ ਐਡਰਰ,അനലോഗ് അഡെർ
ਐਨਾਲਾਗ ਚੈਨਲ,അനലോഗ് ചാനൽ
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,അനലോഗ് കമ്പ്യൂട്ടർ
ਐਨਾਲਾਗ ਕਨਵਰਟਰ,അനലോഗ് കൺവെർട്ടർ
ਐਨਾਲਾਗ ਡੇਟਾ,അനലോഗ് ഡാറ്റ
ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ,അനലോഗ് ഡിവൈഡർ
ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ,അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ
ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ  ਜੇਨਰੇਟਰ,അനലോഗ് ഫംഗ്ഷൻ  വൈദുതോല്പാദനയന്തം
ਐਨਾਲਾਗ ਏਕੀਕਰਣ,അനലോഗ് സംയോജനം
ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ,അനലോഗ് ഗുണിതം
ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ,അനലോഗ് പ്രോഗ്രാമിംഗ്
ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ,അനലോഗ് സ്കെയിലിംഗ്
ਐਨਾਲਾਗ ਸਿਗਨਲ,അനലോഗ് സിഗ്നൽ
ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ,അനലോഗ് സിമുലേഷൻ
ਐਨਾਲਾਗ ਸਵਿਚ,അനലോഗ് സ്വിച്ച്
ਐਨਾਲਾਗ ਸਿਸਟਮ,അനലോഗ് സിസ്റ്റം
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਕਨਵਰਟਰ,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  കൺവെർട്ടർ
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਏਨਕੋਡਰ,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  എൻകോഡർ
