Bengali,Tamil
চরিত্র স্বীকৃতি,தன்மையை ஒப்புக் கொள்ளுங்கள்
অ্যাকোস্টিক কাপলার,ஒலி கப்ளர்
অ্যাকোস্টিক কাপলিং,ஒலி இணைப்பு
অ্যাকোস্টিক বিলম্ব লাইন,ஒலி தாமத வரி
অ্যাকোস্টিক মেমরি,ஒலி நினைவகம்
অ্যাকোস্টিক মডেম,ஒலி மோடம்
অ্যাকোস্টিক সিগন্যাল,ஒலி சமிக்ஞை
অ্যাকোস্টিক স্টোরেজ,ஒலி சேமிப்பு
সংক্ষিপ্ত বিবরণ,சுருக்கம்
কর্ম,செயல்
অ্যাকশন চক্র,செயல் சுழற்சி
অ্যাকশন লাইন,செயல் வரி
অ্যাকশন বার্তা,செயல் செய்தி
ক্রিয়া স্পেসিফিকেশন,செயல் விவரக்குறிப்பு
অ্যাক্টিভেশন,செயல்படுத்தல்
সক্রিয়,செயலில்
সক্রিয় ফাইল,செயலில் உள்ள கோப்பு
সক্রিয় লাইন,செயலில் வரி
সক্রিয় লিঙ্ক,செயலில் இணைப்பு
সক্রিয় মাস্টার ফাইল,செயலில் உள்ள முதன்மை கோப்பு
সক্রিয় মাস্টার আইটেম,செயலில் உள்ள முதன்மை உருப்படி
সক্রিয় স্যাটেলাইট,செயலில் உள்ள செயற்கைக்கோள்
সক্রিয় স্টেশন,செயலில் நிலையம்
সক্রিয় স্টোরেজ,செயலில் சேமிப்பு
ক্রিয়াকলাপ,செயல்பாடு
কর্মকান্ডের পর্যায়,செயல்பாட்டு நிலை
ক্রিয়াকলাপ লোড হচ্ছে,செயல்பாடு ஏற்றுதல்
ক্রিয়াকলাপ অনুপাত,செயல்பாட்டு விகிதம்
আসল ঠিকানা (= পরম ঠিকানা),உண்மையான முகவரி (= முழுமையான முகவரி)
আসল কোড (= পরম কোড),உண்மையான குறியீடு (= முழுமையான குறியீடு)
প্রকৃত ডেটা স্থানান্তর হার,உண்மையான தரவு பரிமாற்ற வீதம்
আসল দশমিক পয়েন্ট,உண்மையான தசம புள்ளி
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
আসল কী,உண்மையான விசை
প্রকৃত সময়,உண்மையான நேரம்
আসল কাজের সময়,உண்மையான வேலை நேரம்
অ্যাকিউটিং সিগন্যাল,செயல்பாட்டு சமிக்ஞை
অভিযোজনযোগ্যতা,தகவமைப்பு
অ্যাডাপ্টার,பின்னல்
অভিযোজিত চ্যানেল বরাদ্দ,தகவமைப்பு சேனல் ஒதுக்கீடு
অভিযোজিত সংহতকরণ,தகவமைப்பு ஒருங்கிணைப்பு
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,தகவமைப்பு குறுக்குவெட்டு சமநிலை
যুক্ত এন্ট্রি,நுழைவு சேர்க்கப்பட்டது
সংযোজন,கூடுதல்
সংযোজন,அடி
অ্যাডার সাবট্র্যাক্টর,சேர்க்கை துணைப்பிரிவு
ফাইল যুক্ত কর,கோப்பைச் சேர்க்கவும்
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),கூடுதல் எழுத்து (= சிறப்பு எழுத்து)
সংযোজন রেকর্ডার,கூடுதலாக ரெக்கார்டர்
সংযোজন টেবিল,கூடுதலாக அட்டவணை
সংযোজন বৈশিষ্ট্য,சேர்க்கை பண்புக்கூறு
মোড যুক্ত করুন,பயன்முறையைச் சேர்க்கவும்
অপারেশন যুক্ত করুন,செயல்பாட்டைச் சேர்க்கவும்
ঠিকানা,முகவரி
ঠিকানা পরিমাপ,முகவரி அளவீடு
ঠিকানাযোগ্য অনুভূমিক অবস্থান,முகவரியிடக்கூடிய கிடைமட்ட நிலை
ঠিকানাযোগ্য পয়েন্ট,முகவரிக்குரிய புள்ளி
ঠিকানাযোগ্য অবস্থান,முகவரி செய்யக்கூடிய நிலை
ঠিকানাযোগ্য নিবন্ধ,முகவரிக்குரிய பதிவு
ঠিকানাযোগ্য স্টোরেজ,முகவரியிடக்கூடிய சேமிப்பு
ঠিকানাযোগ্য উল্লম্ব অবস্থান,முகவரியிடக்கூடிய செங்குத்து நிலை
ঠিকানা বাস,முகவரி பஸ்
ঠিকানা কোড,முகவரி குறியீடு
ঠিকানা তুলনামূলক,முகவரி ஒப்பீட்டாளர்
ঠিকানা গণনা,முகவரி கணக்கீடு
ধ্রুবক ঠিকানা,முகவரி மாறிலி
ঠিকানা রূপান্তর,முகவரி மாற்றம்
ঠিকানা ডেটা,முகவரி தரவு
সম্বোধন স্মৃতি,உரையாற்றப்பட்ட நினைவகம்
ঠিকানা কার্যকর,முகவரி பயனுள்ளதாக இருக்கும்
ঠিকানা ক্ষেত্র,முகவரி புலம்
ঠিকানা ফর্ম্যাট,முகவரி வடிவம்
ঠিকানা বিনামূল্যে প্রোগ্রাম,முகவரி இலவச நிரல்
সম্বোধন,முகவரி
সম্বোধন  চরিত্র,முகவரி  எழுத்து
বাধা সম্বোধন,குறுக்கீடு
লুপ সম্বোধন,முகவரி லூப்
ভার্চুয়াল মেমরি সম্বোধন,மெய்நிகர் நினைவகத்தை உரையாற்றுதல்
ঠিকানা ইন্টারল্যাকিং,முகவரி ஒன்றோடொன்று
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,முகவரி இல்லாத அறிவுறுத்தல் வடிவம்
ঠিকানা লাইন,முகவரி வரி
ঠিকানা ম্যাপিং,முகவரி மேப்பிங்
ঠিকানা চিহ্ন,முகவரி குறி
ঠিকানা পরিবর্তন,முகவரி மாற்றம்
ঠিকানা অংশ,முகவரி பகுதி
ঠিকানা পয়েন্টার,முகவரி சுட்டிக்காட்டி
ঠিকানা রেজিস্টার,முகவரி பதிவு
ঠিকানা সংকেত,முகவரி சமிக்ஞை
ঠিকানা আকার,முகவரி அளவு
ঠিকানা স্থান,முகவரி இடம்
ঠিকানা স্পেস আইডেন্টিফায়ার,முகவரி விண்வெளி அடையாளங்காட்டி
ঠিকানা স্টপ,முகவரி நிறுத்தம்
ঠিকানা ট্রেস,முகவரி சுவடு
ঠিকানা ট্র্যাক,முகவரி பாடல்
ঠিকানা অনুবাদ,முகவரி மொழிபெயர்ப்பு
ঠিকানা অনুবাদক,முகவரி மொழிபெயர்ப்பாளர்
বিয়োগের সময় যোগ করুন,கூடுதல் துணை நேரம்
সময় যোগ করুন,நேரம் சேர்க்கவும்
সংলগ্নতা,அடுத்துள்ள
সংলগ্ন কাঠামো,அருகிலுள்ள அமைப்பு
সংলগ্ন চ্যানেল,அருகிலுள்ள சேனல்
সংলগ্ন ডোমেন,அருகிலுள்ள டொமைன்
সংলগ্ন ম্যাট্রিক্স,அருகிலுள்ள மேட்ரிக்ஸ்
সংলগ্ন নোড,அருகிலுள்ள முனை
সংলগ্ন সুবেরিয়া,அருகிலுள்ள சப்ரியா
স্থগিত (সিস্টেম),தொடை (அமைப்பு)
সামঞ্জস্য করুন,சரிசெய்யவும்
সামঞ্জস্যযোগ্য মাত্রা,சரிசெய்யக்கூடிய அளவு
পাঠ্য মোড সামঞ্জস্য করুন,உரை பயன்முறையை சரிசெய்யவும்
প্রশাসনিক ডেটা প্রসেসিং,நிர்வாக தரவு செயலாக்கம்
প্রশাসনিক অপারেশন,நிர்வாக செயல்பாடு
প্রশাসনিক অপারেটর,நிர்வாக ஆபரேட்டர்
প্রশাসনিক অপারেটর স্টেশন,நிர்வாக ஆபரேட்டர் நிலையம்
প্রশাসনিক সহায়তা সিস্টেম,நிர்வாக ஆதரவு அமைப்பு
উন্নত যোগাযোগ পরিষেবা,மேம்பட்ட தொடர்பு சேவை
উন্নত তথ্য সিস্টেম,மேம்பட்ட தகவல் அமைப்பு
উন্নত অপটিক্যাল চরিত্র পাঠক,மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்
উন্নত বৈজ্ঞানিক কম্পিউটার,மேம்பட்ட அறிவியல் கணினி
এরিয়াল,வான்வழி
সমষ্টি,மதிப்பீட்டு
সামগ্রিক অভিব্যক্তি,மொத்த வெளிப்பாடு
লক্ষ্য বৃত্ত,இலக்கு வட்டம்
লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক),இலக்கு புலம் (= இலக்கு சின்னம்)
লক্ষ্য প্রতীক,நோக்கம் சின்னம்
বায়ুবাহিত কম্পিউটার সিস্টেম,வான்வழி கணினி அமைப்பு
বীজগণিত ইগেনভ্যালু সমস্যা,இயற்கணித ஈஜென்வெல்யூ சிக்கல்
বীজগণিত  মিশ্রণ,இயற்கணித  ஒருங்கிணைப்பு
বীজগণিত ভাষা,இயற்கணித மொழி
বীজগণিত হেরফের,இயற்கணித கையாளுதல்
বীজগণিত ম্যানিপুলেশন ভাষা,இயற்கணித கையாளுதல் மொழி
বীজগণিতমুখী ভাষা,இயற்கணித சார்ந்த மொழி
বীজগণিত শিফট,இயற்கணித மாற்றம்
বীজগণিত সাইন কনভেনশন,இயற்கணித அடையாளம் மாநாடு
অ্যালগল,அல்கோல்
অ্যালগল বৈশিষ্ট্য,அல்கோல் அம்சம்
অ্যালগল প্রোগ্রামিং,அல்கோல் நிரலாக்க
অ্যালগরিদম,வழிமுறை
অ্যালগরিদম সহযোগী ভাষা,அல்காரிதம் துணை மொழி
অ্যালগরিদম শ্রেণিবিন্যাস,வழிமுறை வகைப்பாடு
অ্যালগরিদম জটিলতা,வழிமுறை சிக்கலானது
অ্যালগরিদম গণনাযোগ্যতা,அல்காரிதம் கணக்கீடு
অ্যালগরিদমিক বিশ্লেষণ,வழிமுறை பகுப்பாய்வு
অ্যালগরিদমিক পদ্ধতির,வழிமுறை அணுகுமுறை
অ্যালগরিদমিক ভাষা,வழிமுறை மொழி
অ্যালগরিদমিক রুটিন,வழிமுறை வழக்கம்
অ্যালগরিদমিক তত্ত্ব,வழிமுறை கோட்பாடு
ওরফে,மாற்றுப்பெயர்
এলিয়াসিং,மாற்றுப்பெயர்ச்சி
ওরফে নাম (= বিকল্প নাম),மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்)
প্রান্তিককরণ,சீரமைப்பு
বরাদ্দ,ஒதுக்கவும்
বরাদ্দ কাঠামো,ஒதுக்கீடு அமைப்பு
সমস্ত উদ্দেশ্যমূলক কম্পিউটার,அனைத்து நோக்கம் கொண்ட கணினி
বর্ণমালা চরিত্র,அகரவரிசை எழுத்து
বর্ণমালা চরিত্র সেট,அகரவரிசை எழுத்து தொகுப்பு
বর্ণমালা চরিত্রের সাবসেট,அகரவரிசை எழுத்து துணைக்குழு
বর্ণমালা কোড,அகரவரிசை குறியீடு
বর্ণমালা শিফট,அகரவரிசை மாற்றம்
বর্ণমালা স্ট্রিং,அகரவரிசை சரம்
বর্ণমালা শব্দ,அகரவரிசை சொல்
বর্ণমালা,அகரவரிசை
আলফেজোমেট্রিক্স,ஆல்பாஜோமெட்ரிக்ஸ்
বর্ণমালা,ஆல்பமெரிக்
আলফামোসাইক,ஆல்பமோசைக்
বর্ণমালা,எண்ணெழுத்து
আলফানুমারিকাল কীবোর্ড ডিভাইস,எண்ணெழுத்து விசைப்பலகை சாதனம்
আলফানিউমেরিক চরিত্র সেট,எண்ணெழுத்து எழுத்து தொகுப்பு
আলফানিউমেরিক কোড,எண்ணெழுத்து குறியீடு
আলফানিউমেরিক কোডেড চরিত্র সেট,எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு
আলফানিউমেরিক ডেটা,எண்ணெழுத்து தரவு
আলফানিউমেরিক ডিসপ্লে ডিভাইস,எண்ணெழுத்து காட்சி சாதனம்
আলফানিউমেরিক সম্পাদিত চরিত্র,எண்ணெழுத்து திருத்தப்பட்ட எழுத்து
আলফানিউমেরিক ফিল্ড,எண்ணெழுத்து புலம்
বর্ণমালা নির্দেশ,எண்ணெழுத்து அறிவுறுத்தல்
আলফানিউমেরিক কীবোর্ড,எண்ணெழுத்து விசைப்பலகை
আলফানিউমেরিক বাছাই,எண்ணெழுத்து வகை
আলফানিউমেরিক স্টোরেজ,எண்ணெழுத்து சேமிப்பு
পরিবর্তনযোগ্য মেমরি,மாற்றக்கூடிய நினைவகம்
পরিবর্তন সুইচ,மாற்ற சுவிட்ச்
পরিবর্তন,மாற்றுதல்
পরিবর্তন মোড,மாற்று பயன்முறை
বিকল্প পুনরুদ্ধার,மாற்று மீட்பு
বিকল্প রুট,மாற்று பாதை
বিকল্প রাউটিং,மாற்று ரூட்டிங்
বিকল্প ট্র্যাক,மாற்று பாதை
বিকল্প (= বা অপারেশন),மாற்று (= அல்லது செயல்பாடு)
বিকল্প বৈশিষ্ট্য,மாற்று பண்புக்கூறு
বিকল্প অস্বীকার (= না-অপারেশন),மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு)
অস্পষ্টতা ত্রুটি,தெளிவற்ற பிழை
অস্পষ্ট রেফারেন্স,தெளிவற்ற குறிப்பு
অ্যানালগ,அனலாக்ஸ்
অ্যানালগ অ্যাডার,அனலாக் சேர்க்கை
অ্যানালগ চ্যানেল,அனலாக் சேனல்
অ্যানালগ কম্পিউটার,அனலாக் கணினி
অ্যানালগ রূপান্তরকারী,அனலாக் மாற்றி
অ্যানালগ ডেটা,அனலாக் தரவு
অ্যানালগ বিভাজক,அனலாக் டிவைடர்
অ্যানালগ সুবিধা টার্মিনাল,அனலாக் வசதி முனையம்
অ্যানালগ ফাংশন  জেনারেটর,அனலாக் செயல்பாடு  ஜெனரேட்டர்
অ্যানালগ ইন্টিগ্রেশন,அனலாக் ஒருங்கிணைப்பு
অ্যানালগ গুণক,அனலாக் பெருக்கி
অ্যানালগ প্রোগ্রামিং,அனலாக் நிரலாக்க
অ্যানালগ স্কেলিং,அனலாக் அளவிடுதல்
এনালগ সংকেত,அனலாக் சிக்னல்
অ্যানালগ সিমুলেশন,அனலாக் உருவகப்படுத்துதல்
অ্যানালগ সুইচ,அனலாக் சுவிட்ச்
অ্যানালগ সিস্টেম,அனலாக் அமைப்பு
ডিজিটাল অ্যানালগ  রূপান্তরকারী,டிஜிட்டலுக்கு அனலாக்  மாற்றி
ডিজিটাল অ্যানালগ  এনকোডার,டிஜிட்டலுக்கு அனலாக்  குறியாக்கி
অ্যানালগ সংক্রমণ,அனலாக் பரிமாற்றம்
অ্যানালগ প্রকার,அனலாக் வகை
বিশ্লেষণ ব্লক,பகுப்பாய்வு தொகுதி
বিশ্লেষণ মোড,பகுப்பாய்வு முறை
বিশ্লেষণাত্মক ইঞ্জিন,பகுப்பாய்வு இயந்திரம்
পৈতৃক কাজ,மூதாதையர் பணி
আনুষঙ্গিক সরঞ্জাম,துணை உபகரணங்கள்
এবং,மற்றும்
এবং সার্কিট,மற்றும் சுற்று
এবং উপাদান,மற்றும் உறுப்பு
এবং গেট,மற்றும் வாயில்
এবং মাস্কিং,மற்றும் மறைத்தல்
এবং অপারেশন নয় (= বর্জন,மற்றும் செயல்பாடு அல்ல (= விலக்கு
এবং অপারেশন,மற்றும் செயல்பாடு
সংযুক্তি স্মৃতি,இணைப்பு நினைவகம்
টীকা,சிறுகுறி
ঘোষণা,அறிவிப்பாளர்
উত্তর পাঠাও,பதில்
উত্তর দেরি,பதில் தாமதம்
উত্তর সময়,பதிலளிக்கும் நேரம்
উত্তর প্রদীপ,பதில் விளக்கு
উত্তর তালিকা,பதில் பட்டியல்
শুধুমাত্র উত্তর,பதில்
প্রত্যাশা মোড,எதிர்பார்ப்பு பயன்முறை
প্রত্যাশিত বাফারিং,எதிர்பார்ப்பு இடையக
প্রত্যাশিত বহন,எதிர்பார்ப்பு கேரி
প্রত্যাশিত পেজিং,எதிர்பார்ப்பு பேஜிங்
অ্যান্টিকোয়েনসেন্স অপারেশন,எதிர்விளைவு செயல்பாடு
অ্যান্টিকোইনসেন্টেন্ট উপাদান,எதிர்விளைவு உறுப்பு
অ্যাপেরিওডিক অ্যান্টেনা,அபீரியோடிக் ஆண்டெனா
অ্যাপারচার কার্ড,துளை அட்டை
অ্যাপারচার কোড,துளை குறியீடு
অ্যাপারচার সময়,துளை நேரம்
সংযোজন,இணைப்பு
অ্যাপেন্ডেজ টাস্ক,இணைப்பு பணி
অ্যাপ্লিকেশন ডেভেলপার,பயன்பாட்டு உருவாக்குநர்
আবেদন স্তর,பயன்பாட்டு அடுக்கு
অ্যাপ্লিকেশন ভিত্তিক ভাষা,பயன்பாட்டு சார்ந்த மொழி
অ্যাপ্লিকেশন প্যাকেজ,பயன்பாட்டு தொகுப்பு
এপ্লিকেশন প্রোগ্রাম,பயன்பாட்டு நிரல்
অ্যাপ্লিকেশন প্রোগ্রামিং,பயன்பாட்டு நிரலாக்க
অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা,பயன்பாடு தேவையான மொழி
অ্যাপ্লিকেশন সফ্টওয়্যার,பயன்பாட்டு மென்பொருள்
অ্যাপ্লিক,Applique
আনুমানিক তত্ত্ব,தோராயக் கோட்பாடு
স্বেচ্ছাসেবী অ্যাক্সেস,தன்னிச்சையான அணுகல்
স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার,தன்னிச்சையான வரிசை கணினி
সালিশ,நடுவர்
আর্কিটেকচার,கட்டிடக்கலை
সংরক্ষণাগার,காப்பகப்படுத்துதல்
এরিয়া কোড,பகுதி குறியீடு
অঞ্চল অনুসন্ধান,பகுதி தேடல்
অঞ্চল স্থানান্তর,பகுதி பரிமாற்றம்
অঞ্চল পরিবর্তনশীল,பகுதி மாறி
যুক্তি,வாதம்
যুক্তি ঠিকানা,வாத முகவரி
যুক্তি তালিকা,வாத பட்டியல்
গাণিতিক নির্দেশ,எண்கணித அறிவுறுத்தல்
গাণিতিক এবং যুক্তি ইউনিট,எண்கணித மற்றும் தர்க்க அலகு
গাণিতিক অ্যাসাইনমেন্ট বিবৃতি,எண்கணித ஒதுக்கீட்டு அறிக்கை
গাণিতিক চেক,எண்கணித சோதனை
পাটিগণিত ধ্রুবক,எண்கணித மாறிலி
গাণিতিক রূপান্তর,எண்கணித மாற்றம்
গাণিতিক ডেটা,எண்கணித தரவு
পাটিগণিত ব্যতিক্রম,எண்கணித விதிவிலக்கு
গাণিতিক অভিব্যক্তি,எண்கணித வெளிப்பாடு
গাণিতিক স্থির পয়েন্ট,எண்கணித நிலையான புள்ளி
পাটিগণিত শ্রেণিবিন্যাস,எண்கணித வரிசைமுறை
বিবৃতি যদি গাণিতিক,அறிக்கை என்றால் எண்கணிதம்
গাণিতিক যুক্তি,எண்கணித தர்க்கம்
গাণিতিক যুক্তি ইউনিট,எண்கணித தர்க்க அலகு
পাটিগণিত অপারেশন,எண்கணித செயல்பாடு
পাটিগণিত অপারেটর,எண்கணித ஆபரேட்டர்
পাটিগণিত ওভারফ্লো,எண்கணித வழிதல்
গাণিতিক ছবির ডেটা,எண்கணித படத் தரவு
গাণিতিক অগ্রাধিকার,எண்கணித முன்னுரிமை
গাণিতিক প্রাথমিক,எண்கணித முதன்மை
গাণিতিক নিবন্ধ,எண்கணித பதிவு
গাণিতিক সম্পর্ক,எண்கணித உறவு
গাণিতিক স্ক্যান,எண்கணித ஸ்கேன்
গাণিতিক বিভাগ,எண்கணித பிரிவு
গাণিতিক শিফট,எண்கணித மாற்றம்
গাণিতিক স্থানান্তর,எண்கணித மாற்றம்
পাটিগণিত বিবৃতি,எண்கணித அறிக்கை
গাণিতিক শব্দ,எண்கணித கால
পাটিগণিত আন্ডারফ্লো,எண்கணித கீழ்ப்படிதல்
গাণিতিক ইউনিট,எண்கணித அலகு
অ্যারে,வரிசை
অ্যারে বাউন্ড,வரிசை
অ্যারে কম্পিউটার,வரிசை கணினி
অ্যারে মাত্রা,வரிசை பரிமாணம்
অ্যারে উপাদান,வரிசை உறுப்பு
অ্যারে এক্সপ্রেশন,வரிசை வெளிப்பாடு
অ্যারের নাম,வரிசை பெயர்
কাঠামোর অ্যারে,கட்டமைப்புகளின் வரிசை
অ্যারে প্রিন্টিং,வரிசை அச்சிடுதல்
অ্যারে প্রসেসিং,வரிசை செயலாக்கம்
অ্যারে প্রসেসর,வரிசை செயலி
বক্তৃতা পয়েন্ট,வெளிப்பாடு புள்ளி
কৃত্রিম জ্ঞান,செயற்கை அறிவாற்றல்
কৃত্রিম বুদ্ধিমত্তা,செயற்கை நுண்ணறிவு
কৃত্রিম ভাষা,செயற்கை மொழி
কৃত্রিম পরিবর্তনশীল,செயற்கை மாறி
আর্টস অ্যাপ্লিকেশন ডেটা ব্যাংক,கலை பயன்பாட்டு தரவு வங்கி
আর্টস অ্যাপ্লিকেশন সংগীত,கலை பயன்பாட்டு இசை
আর্টস অ্যাপ্লিকেশন প্যাটার্ন জেনারেশন,கலை பயன்பாட்டு முறை உருவாக்கம்
আরোহী,அசெண்டர்
আরোহী বাছাই,ஏறும் வரிசை
Ascil,ASCIL
ASCII নিয়ন্ত্রণ চরিত্র,ASCII கட்டுப்பாட்டு தன்மை
ASCII কী বোর্ড,ASCII விசை வாரியம்
দিক,அம்சம்
দিক এবং,அம்சம் மற்றும்
একত্রিত করা,ஒன்றுகூடு
একত্রিত উত্স,கூடியிருந்த தோற்றம்
সময়কাল একত্রিত করুন,காலத்தை ஒன்றிணைக்கவும்
এসেম্বলার,அசெம்பிளர்
এসেম্বলার ডাইরেক্টিভ,அசெம்பிளர் டைரெக்டிவ்
এসেম্বলার সুবিধা,அசெம்பிளர் வசதி
এসেম্বলার ভাষা,அசெம்பிளர் மொழி
একত্রিত,அசெம்பிளிங்
সমাবেশ পর্ব,அசெம்பிளிங் கட்டம்
সময় একত্রিত,நேரம் திரட்டுதல்
সমাবেশ,சட்டசபை
এসেম্বলি,சட்டசபை மொழி
অ্যাসেম্বলি ল্যাঙ্গুয়েজ প্রোগ্রামিং,சட்டசபை மொழி நிரலாக்க
সমাবেশ ভাষা সফ্টওয়্যার নমনীয়তা,சட்டசபை மொழி மென்பொருள் நெகிழ்வுத்தன்மை
সমাবেশ তালিকা,சட்டசபை பட்டியல்
সমাবেশ পর্ব,சட்டசபை கட்டம்
সমাবেশ রুটিন,சட்டசபை வழக்கம்
সমাবেশ সময়,சட்டசபை நேரம்
সমাবেশ ইউনিট,சட்டசபை பிரிவு
অ্যাসাইনমেন্ট ইনডেক্সিং,ஒதுக்கீட்டு அட்டவணைப்படுத்தல்
অ্যাসাইনমেন্ট অপারেশন,ஒதுக்கீட்டு செயல்பாடு
নিয়োগ বিবৃতি,ஒதுக்கீட்டு அறிக்கை
সহযোগী ঠিকানা,துணை முகவரி
সহযোগী অ্যারে রেজিস্টার,துணை வரிசை பதிவு
সহযোগী কী,துணை விசை
সহযোগী ভাষা,துணை மொழி
সহযোগী স্মৃতি,துணை நினைவகம்
সহযোগী স্টোরেজ,துணை சேமிப்பு
দশমিক বিন্দু ধরে নেওয়া,தசம புள்ளி என்று கருதப்படுகிறது
অসমমিত ডিভাইস,சமச்சீரற்ற சாதனம்
অসমমিত আই/ও,சமச்சீரற்ற i/o
অ্যাসিঙ্ক্রোনাস,ஒத்திசைவற்ற
অ্যাসিঙ্ক্রোনাস কম্পিউটার,ஒத்திசைவற்ற கணினி
অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সফার,ஒத்திசைவற்ற தரவு பரிமாற்றம்
অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সমিশন,ஒத்திசைவற்ற தரவு பரிமாற்றம்
অ্যাসিঙ্ক্রোনাস ডিভাইস,ஒத்திசைவற்ற சாதனங்கள்
অ্যাসিঙ্ক্রোনাস অপারেশন,ஒத்திசைவற்ற செயல்பாடு
অ্যাসিঙ্ক্রোনাস সিগন্যালিং,ஒத்திசைவற்ற சமிக்ஞை
অ্যাসিঙ্ক্রোনাস সময় বিভাগ মাল্টিপ্লেক্সিং,ஒத்திசைவற்ற நேர பிரிவு மல்டிபிளெக்சிங்
অ্যাসিঙ্ক্রোনাস ট্রান্সমিশন,ஒத்திசைவற்ற பரிமாற்றம்
অ্যাসিঙ্ক্রোনাস ওয়ার্কিং,ஒத்திசைவற்ற வேலை
সংযুক্ত প্রক্রিয়াজাতকরণ,இணைக்கப்பட்ட செயலாக்கம்
সংযুক্ত প্রসেসর,இணைக்கப்பட்ட செயலி
সংযুক্ত সমর্থন প্রসেসর,இணைக்கப்பட்ட ஆதரவு செயலி
অপারেশন উপস্থিত,செயல்பாட்டில் கலந்து கொண்டார்
ট্রেল প্রিন্টারে অংশ নিয়েছেন,பாதை அச்சுப்பொறியில் கலந்து கொண்டார்
মনোযোগ বাধা,கவனம் குறுக்கீடு
মনোযোগ কী,கவனம் விசை
মনোযোগ,விழிப்புணர்வு
