Kannada,Punjabi
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
ಪ್ರವೇಶ ಮೋಡ್,ਪਹੁੰਚ ਮੋਡ
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,ਪਹੁੰਚ ਅਧਿਕਾਰ
ಪ್ರವೇಶ ಭದ್ರತೆ,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
ಪ್ರವೇಶ ಸಮಯ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ಸ್ವೀಕೃತಿ,ਮਾਨਤਾ
ಅಕೌಸ್ಟಿಕ್ಸ್,ਧੁਨੀ ਵਿਗਿਆਨ
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ਸਰਗਰਮੀ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
ಅಸೈಕ್ಲಿಕ್,acyclic
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
ಒಟ್ಟು),ਜੋੜ)
ಮೊತ್ತದ ಕಡತ,sum ਫਾਈਲ
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
ಸೇರಿಸುವವನು,ਜੋੜਨ ਵਾਲਾ
ಗೊತ್ತು,ਜਾਣੋ
ವಿಳಾಸ ಬಸ್,ਪਤਾ ਬੱਸ
ವಿಳಾಸ ಫೈಲ್,ਐਡਰੈੱਸ ਫਾਈਲ
ವಿಳಾಸ ಸ್ವರೂಪ,ਪਤਾ ਫਾਰਮੈਟ
ವಿಳಾಸ ಜನರೇಟರ್,ਪਤਾ ਜਨਰੇਟਰ
ವಿಳಾಸ ಸಾಲು,ਐਡਰੈੱਸ ਲਾਈਨ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ਪਤਾ ਮੈਪਿੰਗ
ವಿಳಾಸ ಸೂಚಕ,ਪਤਾ ਸੂਚਕ
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,ਪਤਾ ਰਜਿਸਟਰ
ವಿಳಾಸ ಸ್ಥಗಿತ,ਪਤਾ ਟੁੱਟਣ
ವಿಳಾಸ ಅನುವಾದ,ਪਤਾ ਅਨੁਵਾਦ
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
ಉದ್ದೇಶಿಸಿ,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
ಬಾಂಧವ್ಯ,ਲਗਾਵ
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,ਅਡੋਬ ਐਕਰੋਬੈਟ
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
ಕ್ರಮ,ਕਾਰਵਾਈ
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,ਏਕੀਕਰਨ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್,aldus page-make
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,ਚੇਤਾਵਨੀ ਬਾਕਸ
ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
"1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ","1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ"
ಜೋಡಣೆ,ਅਲਾਈਨਮੈਂਟ
"1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ","1. ਵੰਡ, 2. ਵੰਡ"
"1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ","1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ"
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,ਅੱਖਰ ਅੰਕੀ
"1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್ ,2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್","1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ"
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ),ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ)
"1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ","1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ"
ಆಲ್ಟ್ ಕೀ,alt ਕੁੰਜੀ
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಬಹುತ್ವ,ਬਹੁਲਤਾ
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI)
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii),ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii)
"1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್","1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ"
"1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್","1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ"
"1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ","1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ"
"1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್","1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ"
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ),ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ)
ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್,ਅੰਤ ਸਰਕਟ
ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್,ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ)
"1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ","1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ"
ಸೂಚನೆ,ਨੋਟ
ಅಸಂಗತತೆ,ਅਸੰਗਤਤਾ
ಹಿಂದಿನ,ਪਿਛਲਾ
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,ਅਗਾਊਂ ਪੇਜਿੰਗ
ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ,ਵਿਰੋਧੀ-ਸਮਮਿਤੀ
ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ,ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ
"1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್","1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ"
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
"1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)","1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)"
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ,ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ
ಅಂದಾಜು ತತ್ವ,ਲਗਭਗ ਸਿਧਾਂਤ
ರಚನೆ,ਬਣਤਰ
ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
"1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ","1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ"
"1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ","1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ"
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,ਗਣਿਤ ਦੀ ਜਾਂਚ
ಅಂಕಗಣಿತದ ಸ್ಥಿರ,ਅੰਕਗਣਿਤ ਸਥਿਰ
ಅಂಕಗಣಿತದ ಡೇಟಾ,ਗਣਿਤ ਡਾਟਾ
ಅಂಕಗಣಿತದ ಸೂಚನೆ,ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ
ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU),ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU)
ARPA ನೆಟ್ (RPNet),ARPA ਨੈੱਟ (RPNet)
ಶ್ರೇಣಿ,ਐਰੇ
"1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ","1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ"
ಅರೇ ಕಂಪ್ಯೂಟರ್,ਐਰੇ ਕੰਪਿਊਟਰ
ರಚನೆಯ ಅಂಶ,ਐਰੇ ਤੱਤ
ರಚನೆಯ ಹೆಸರು,ਐਰੇ ਨਾਮ
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
ಬಾಣದ ಕೀಲಿ,ਤੀਰ ਕੁੰਜੀ
ಒಪ್ಪಂದ,ਸੰਧੀ
ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್,ਜੰਕਸ਼ਨ ਬਿੰਦੂ
ಕೃತಕ ಸಂಕೋಚನ,ਨਕਲੀ ਸੰਕੁਚਿਤ
ಕೃತಕ ನಿಯಂತ್ರಣ,ਨਕਲੀ ਕੰਟਰੋਲ
ಕೃತಕ ಅರ್ಥದಲ್ಲಿ,ਨਕਲੀ ਭਾਵਨਾ
ಆರೋಹಣ,ਮਾਊਂਟ
ಆರೋಹಣ ರೀತಿಯ,ਵਧਦੀ ਲੜੀ
ascii ವರ್ಣಮಾಲೆ,ascii ਵਰਣਮਾਲਾ
ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ,ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ
ascii ಫೈಲ್,ascii ਫਾਈਲ
ascii ಫಾಂಟ್,ascii ਫੌਂਟ
ASCII ವರ್ಗಾವಣೆ,ASCII ਟ੍ਰਾਂਸਫਰ
ಆಕಾರ ಅನುಪಾತ,ਆਕਾਰ ਅਨੁਪਾਤ
"1. ಆಸ್ಪಿ, 2. ASPI","1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ"
ಎ ಎಸ್ ಆರ್ ಕಲಾದ್,ਏ ਐਸ ਆਰ ਕਲਾਡ
"1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು","1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ"
"1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ","1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ"
"1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ","1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ"
"1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ","1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ"
ನಿರ್ಣಯ,ਦ੍ਰਿੜ੍ਹਤਾ
"1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ","1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ"
ಒಡನಾಟ,ਸਾਥੀ
ಸಹಾಯಕ ವಿಳಾಸ,ਸਹਿਯੋਗੀ ਪਤਾ
"1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ","1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ"
ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ),ਤਾਰਾ (* ਚਿੰਨ੍ਹ)
ಅಸಮ್ಮಿತ,ਅਸਮਿਤ
"1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ","1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ"
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
"1. ಪರಮಾಣು, 2. ಪರಮನ್","1. ਐਟਮ, 2. ਪਰਮਾਨ"
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
"1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ","1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ"
"1. ಆವರಣ, 2. ಸಂಯೋಜಿತ","1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ"
"1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ","1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ"
ಶ್ರವ್ಯ,ਸੁਣਨਯੋਗ
"1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ"
ಖಾತೆ ಪರಿಶೀಲನೆ,ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ
ಪ್ರಚಾರ,ਤਰੱਕੀ
ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ
ಲೇಖಕರ ವಿಧಾನ,ਲੇਖਕ ਵਿਧੀ
"1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ","1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ"
ಸ್ವಯಂ ಅಮೂರ್ತ,ਆਟੋ ਐਬਸਟਰੈਕਟ
"1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್","1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ"
ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
ಸ್ವಯಂ ಲಾಗ್-ಆನ್,ਆਟੋ ਲੌਗ-ਆਨ
ಸ್ವಯಂಚಾಲಿತ,ਆਟੋਮੇਟਾ
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
