abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
action plan,కార్య ప్రణాళిక
active,"అమలు, ప్రత్యక్ష, చురుకుగా పనిచేసే"
actively,చురుకుగా
activist,"చురుకుగా పనిచేసే వాడు, నిష్ఠగా పని చేసేవాడు"
acts of commission and omission,తప్పు ఒప్పుల చట్టాలు
actual,"వాస్తవిక, అసలు, నిజమైన, సాక్షాత్తు"
actuals,"వాస్తవ గణాంకాలు, నిజమైన"
ad hoc,"అడ్ హాక్, తాత్కాలిక, తదర్థక"
ad hoc claim,తదర్థక అభ్యర్ధన
ad hoc committee,తాత్కాలిక సంఘం
ad hoc increase,తాత్కాలిక వృద్ధి
ad hoc payment,తాత్కాలిక చెల్లింపు
ad valorem duty,విలువను బట్టి సుంకం
adaptation,"పొందు పరుచుట, అనుసరణ"
addition,"చేర్చు, చేరిన వస్తువు"
addition and alteration,చేర్పూ మార్పూ
additional charge,"అదనపు పదవీ బాధ్యత, అదనపు ఖర్చు"
additional fund,అదనపు నిధులు
additional grant,"అదనపు గ్రాంటు, అదనపు నిధి"
additional information,అదనపు సమాచారము
additional pay,"అదనపు వేతనము, చెల్లింపు"
address,"(ఉద్దేశించిన)ప్రసంగం, చిరునామా, సంబోధన"
address of welcome,"స్వాగత ప్రసంగం, స్వాగత సంబోధన, స్వాగత వచనం"
addressee,"సంబోధించిన వాడు, ప్రసంగించిన వాడు"
adequate,"సమృద్ధి, చాలినంత, తగినంత"
adhere to,దృఢంగా ఉండుట
adjacent,"సమీప, అంటిఉన్న, పక్కనున్న"
adjoining (=contiguous),"వాయిదావేయు, స్థగితం చేయు"
adjournment,"వాయిదా, విరామకాలం"
adjournment motion,"వాయిదా తీర్మానం, ప్రతిపాదన"
adjudge,న్యాయనిర్ణయం చేయు
adjudicate,న్యాయనిర్ణయం చేయు
adjudication,"న్యాయనిర్ణయం, తీర్పు"
adjudicator,న్యాయనిర్ణేత
adjustment,సర్దుబాటు
administer,"పాలించు, నిర్వహించు, అమలుజరుపు"
administer oath,ప్రమాణం లేదా ప్రతిజ్ఞ చేయించుట
administration,"పాలన, పరిపాలన, వ్యవహరణ"
administration of justice,న్యాయపాలన
administrative,పాలనా సంబంధమైన
administrative action,పాలన చర్య
administrative appraisal,పరిపాలక మూల్యాంకనము
administrative approval,పరిపాలక ఆమోదం
administrative authority,పరిపాలనాధికారము
administrative control,"పరిపాలన నిర్ణాయకం, నియంత్రణ"
administrative decision,పరిపాలనానిర్ణయం
administrative department,పరిపాలన శాఖ
administrative head,పరిపాలనాధ్యక్షుడు
administrative headquarters,పరిపాలనా ముఖ్య కార్యాలయము
administrative measures,"పరిపాలనా చర్యలు, పరిపాలనా ఉపాయము"
administrative power,పరిపాలన అధికారం
administrative sanction,"పరిపాలక స్థాయి మంజూరు, సమ్మతి"
administrative technique,పరిపాలన నిర్వహణ మెలకువ
administrative tribunal,పరిపాలన న్యాయమండలి
admissibility,"అనుమతి యోగ్యత, అంగీకార యోగ్యత"
admissible expenditure,స్వీకరించు వ్యయము
admit,"ప్రవేశమిచ్చు, అనుమతించు"
admit card,ప్రవేశపత్రము
admitted,"అనుమతించిన, ఆమోదించిన"
admonish,మందలించు
adoptee,"దత్తపుత్రుడు, దత్తత తీసుకొనబడినవాడు"
adoption,"దత్తు, ఎంపిక, అనుక్రమ దత్తత స్వీకారం"
adoptor,దత్తు స్వీకర్త
adult,"పెద్దలు, పెద్ద వయస్సు"
adult franchise,వయోజన వోటుహక్కు
adulteration,కల్తీ
adultery,వ్యభిచారం
advance,"బయానా, సంచకారం, అభ్యుదయం"
advance booking,"అడ్వాన్సు బుకింగ్, ముందుగా నమోదు చేయువాడు"
advance copy,ముందు పంపే ప్రతి
advance payment,ముందు చెల్లింపు
advanced increment,"ముందుగా ఇచ్చే వేతనవృద్ధి, అడ్వాన్సు ఇంక్రిమెంటు"
adverse entry,"ప్రతికూలమైన నమోదు, దాఖలా"
adverse remarks,ప్రతికూలమైన రిమార్కు
adverse report,"ప్రతికూల నివేదిక, రిపోర్టు"
advertisement,ప్రకటన
advice,"సలహా, సూచన"
advice of payment,చెల్లింపు సూచన
advisory committee,"సలహాకార సమితి, సలహాదారు సమితి"
advisory council,సలహాదారు పరిషత్
advocate,"వకీలు, న్యాయవాది"
affairs,విషయాలు
affidavit,"ప్రమాణపత్రం, అఫిడవిట్, హలఫ్ నామా"
affiliation,"అనుబంధం, సంబంధం, చేర్పుదల"
affirmation,"ప్రతిజ్ఞ, ప్రమాణం, ధ్రువీకరణ"
affirmative,"నిర్ధారక, ధ్రువీకరణ"
afford,"సమర్థత, ఇచ్చు, కలుగజేయు"
aforesaid,పైన చెప్పిన
afresh,"క్రొత్తగా, మొదటినుంచి తిరిగి"
against,"ప్రతికూలం, విరుద్ధం, వ్యతిరేకం ఎదురుగా, ఎదిరి, పై"
age,"యుగం, వయస్సు, ప్రాయం, తరం, పురుషాంతరం"
age certificate,వయస్సు ధ్రువపత్రం
age for suffrage,వోటు చేసే వయస్సు
age limit,వయః పరిమితి
age of retirement,ఉద్యోగ విరమణ వయస్సు
age of superannuation,ఉద్యోగ విరమణ వయస్సు
agency,"ప్రతినిధి సంస్థ, ఏజన్సీ, ముక్త్వారీ, సేవాసంస్థ"
agenda,"అజెండా, చర్చనీయాంశాలు, కార్యక్రమాల పట్టిక"
aggregation,"రాశి చేయడం, మొత్తం చేయడం"
aggrieved,"అర్త, వేదన పొందిన, బాధపడ్డ, నష్టపడిన"
agitation,ఆందోళన
AGM (annual general meeting),"వార్షిక సాధారణ సభ, వార్షిక మహాసభ"
agreement,"ఒప్పందం, ఒప్పంద పత్రం కరారు, కరారునామా, ఏకీభావం"
agreement form,"కరారునామా పత్రం, ఒప్పంద పత్రం"
agriculture,వ్యవసాయం
agro-industry,వ్యవసాయ పరిశ్రమ
aid,"సహాయం, పరికరం, సహాయం చేయు"
alarm,"హెచ్చరిక ధ్వని, (సమయ ధ్వని)"
alertness,అప్రమత్తత
alias,"అనే, ఉరఫ్, ప్రతినామం"
all inclusive cost,అన్నీ చేరిన ఖర్చు
All India Services,అఖిల భారత సేవలు
all rights reserved,అన్ని హక్కులూ సురక్షితం
allegation,"ఆరోపణ, ఆపాదన మోపటం (నేరం)"
allegiance,"ధర్మ విధి, భక్తి, స్వామి భక్తి"
alliance,"కూటమి, అనుబంధం, మైత్రి"
allied services,అనుబంధ సేవలు
allocation,కేటాయింపు
allotment,కేటాయింపు
allotment letter,కేటాయింపు పత్రం
allottee,కేటాయించిన వాడు
allow an appeal,అప్పీలు మంజూరు చేయుట
allowable,"అనుమతి ఇచ్చు, సమ్మతించు"
allowable expenses,"అనుమతించు భత్యము, సమ్మతించే ఖర్చులు"
allowance,"భత్యం, అనుమతి"
alphabetic order,అక్షరక్రమం
altercation,వాగ్వాదం
alternate,"ప్రత్యామ్నాయ(0), మారు, బదులు"
alternative,ప్రత్యామ్నాయమైన
amalgamation,"విలీనీకరణ, సమ్మేళనం, ఏకీకరణం, కలుపుట"
amended draft,సవరించిన ముసాయిదా
amendment,సవరణ
amenity,"సౌకర్యం, వసతి, సదుపాయం"
amicable,"స్నేహభరితమైన, సహృదయమైన"
ammunition,మందుగుండు సామగ్రి
amortization of debt,ఋణవిమోచనము
amount,"రాశి, మొత్తం, వెరసి, పరిమాణం"
amount of pension,"పెన్షను మొత్తం, వృద్ధాప్య భత్యం మొత్తం"
analogous post,సమానమైన పదవి
analysis,"విశ్లేషణ, వింగడింపు, పరిశీలన"
analytical study,విశ్లేషణాత్మక అధ్యయనము
ancestor,"పూర్వుడు, పూర్వికుడు"
ancillary industry,సహాయక పరిశ్రమలు
animosity,వైరభావం
annexure,"జత పరచిన, చేర్చు, కలిపి"
anniversary,"వార్షికోత్సవం, వార్షికం, వర్ధంతి"
announcement,ప్రకటన
annoyance,"విసుగు, క్రోధము, విసుగుదల"
annual financial statement,"వార్షిక ఆర్థిక వివరణ, వార్షిక విత్తీయ వివరణ"
annual report,వార్షిక నివేదిక
annuity,"వార్షికం, వార్షిక భత్యం"
anonymous,"అనామకమైన, పేరులేని"
anonymous complaint,అనామక ఫిర్యాదు
answer sheet,జవాబు పత్రం
answerability,"బాధ్యత, జవాబుదారీ"
antagonist,"విరోధి, వ్యతిరేకి, వ్యతిరేకంగా ఉండేవాడు"
antecedents,పూర్వ సమాచారములు
anti-corruption measure,అవినీతి నిరోధక చర్య
anti-dumping,"పూడిక వ్యతిరేకత, కుప్పతెప్పలుగా వస్తువుల సరఫరాకు వ్యతిరేకత"
anticipated expenditure,ముందుగా ఊహించిన వ్యయం
anticipated income,ముందుగా ఊహించిన ఆదాయము
anticipation,"ఆశాభావం, ముందుగా ఊహించేది"
anticipatory bail,ముందు జామీను
antique,"ప్రాచీన, చాలాకాలం క్రిందట తయారైన, వికారమైన"
apartheid,జాతి విచక్షణ
apathy,ఉదాసీనత
apex body,"అగ్ర సంఘం, మండలి, సంస్థ"
apology,క్షమాపణ
appeal,"అపీల్, నివేదన, మనవిచేయు"
appearance,"హాజరు, హాజరీ"
appeasement,శాంతింపజేయుట
appellate tribunal,"అపిలేట్ ట్రిబ్యునల్, ఆపీలు విచారణ జరిపే న్యాయస్థానం"
appendix,"అనుబంధం, పరిశిష్టం"
appliance,"పరికరము, పనిముట్టు"
applicable,"వర్తించే, వర్తింపచేయదగిన"
applicant,దరఖాస్తుదారు
application,"దరఖాస్తు, అర్జీ, వర్తింపు"
application form,దరఖాస్తు పత్రము
applied,దరఖాస్తు చేయబడిన
apply,"వర్తింపచేయు, అనువర్తించు"
appointee,నియుక్తుడు
appointing authority,"నియామక అధికారి, అధికారం"
appointment,నియామకం
appointment letter,నియామక పత్రము
Appointments Committee of the Cabinet,మంత్రివర్గం లోని ఉద్యోగ నిర్ణయసమితి
apportionment of wages,వేతన విభజన
appraisal,మదింపు వేయుట
appraiser,విలువ నిర్ధారకుడు
appreciation,"ధరల పెరుగుదల, ప్రశంస"
apprehension,"భయశంక, పట్టుకోవటం, పట్టుబడిన"
apprentice,"శిక్షణార్థి, ఉమేజువారు, శిక్షణ విద్యార్థి"
approach,"చేరిక, ప్రవేశం, ఉపగమించు"
appropriate,"సమంజస, సముచిత, తగిన"
appropriate action,సముచిత చర్య
appropriate head,"సముచిత శీర్షిక, సముచిత అధికారి"
appropriation,"సముచితం, ప్రత్యేక వినియోగం"
approval,ఆమోదం
approximate,"సుమారు, దాదాపు, రమారమి"
aptitude test,బుద్ధి పరీక్ష
arbitrary,ఇష్టానుసారమైన
arbitrate,మధ్యవర్తిత్వము చేయుట
arbitration,"మధ్యవర్తిత్వం, మధ్యవర్తి పరిష్కారం"
arbitration tribunal,మధ్యవర్తిత్వట్రిబ్యునల్ (న్యాయమండలి)
arbitrator,మధ్యవర్తి
architecture,"వాస్తు శిల్పం, శాస్త్రం"
archives,"పురాతన పత్రనిలయం, అభిలేఖ నాలయం"
area,"విస్తీర్ణం, వైశాల్యం, క్షేత్రం, ప్రాంతం"
area headquarter,ప్రాంతీయ ప్రధాన కార్యాలయం
argument,"వాదం, చర్చ"
arise,"ఉత్పన్నమవు, లేచుట"
armed forces,సాయుధ బలాలు
arrangement,"బందోబస్తు, క్రమం, ఏర్పాటు"
arrear,బకాయి
arrear statement,బకాయీల వివరణ
arrival report,ఆగమన నివేదిక
arrogance,అహంకారము
arsenal,"ఆయుధాగారం, ఆయుధశాల"
article,"నిబంధన, అనుచ్ఛేదం"
articles,నిబంధనలు
articles of association,సంఘ నిబంధనావళి
as is where is,(అది)ఎట్లా ఎక్కడ ఉందో అట్లాగే
ascending order,ఆరోహణ క్రమం
ascertain,"నిశ్చయించు, నిజము తెలుసుకొను"
aspect,"దృకృథం, ఆకారము"
aspersion,దూషణ
assassination,హత్య
assault,"దౌర్జన్యం, పైబడి కొట్టు"
assemble,"కూడు, కూర్చు, జోడించు"
assembly,"అసెంబ్లీ, విధానసభ, శాసనసభ"
assent,"సమ్మతి, అనుమతి, ఆమోదం"
assert,నొక్కి చెప్పు
assessee,పన్ను చెల్లించే వ్యక్తి
assessment,"మదింపు, నిర్ధారణ, ధారాబందీ"
assessment year,"నిర్ధారణ సంవత్సరం (పన్నులు, వగైరా విషయంలో)"
assessor,"నిర్ధారకుడు, మదింపుదారు"
assets,ఆస్తులు
assignee,"అప్పగింత పొందిన వ్యక్తి, అనుదేశితుడు"
assignment,"అప్పగింత, అనుదేశకార్యం"
assignor,"అప్పగించే వ్యక్తి, అనుదేశకుడు"
assistance,"సహాయత, సహాయము"
associate,"సహ, సహవాసి, సహచరుడు"
association,"సమాజం, సంఘం, సంస్థ"
assumption of charge,పదవీ బాధ్యతల స్వీకరణ
assurance,"హామీ, హామీపత్రం, భీమా"
assurance company,భీమా కంపెనీ
assure,"హామీ ఇచ్చు, నమ్మించు, భీమా చేయు"
at discount,"తగ్గింపుతో, తగ్గింపు ధర, తగ్గింపు వెల"
at par,"సమాన విలువపై, సమమూల్యంపై"
at premium,అధిక విలువతో
atomic power,అణుశక్తి
attach,"జతపరచు, తగిలించు"
attached office,"అనుబంధ అధికారి, జప్తు అధికారి"
attachment,"జప్తి, అనుబంధం"
attachment order,జప్తి ఉత్తరువు
attainment,"ప్రావీణ్యం, పొందినది, సాధించినది"
attempt,"యత్నం, సాధింపు యత్నించు"
attendance,"హజరీ, హాజరు"
attendance register,హాజరు పట్టిక
attendance slip,హాజరు చీటీ
attention,"సావధానం, గమనిక, శ్రద్ధ"
attestation,"సాక్షి సంతకం, ధ్రువీకరణ"
attested copy,"ధ్రువీకరణ పత్రం, ధ్రువీకరణ ప్రతి"
attitude,వైఖరి
attractive salary,ఆకర్షకమైన వేతనం
auction,"వేలం, హర్రాజు, వేలం వేయు"
auction sale,వేలం అమ్మకం
auctioneer,వేలందారు
audience,"శ్రోతలు, ప్రేక్షకులు"
audio-visual display,శ్రవ్య దృశ్య ప్రదర్శన
audio-visual publicity,శ్రవ్య దృశ్య ప్రచారం
audit,"ఆడిట్, లెక్కల తనిఖీ"
audit objection,లెక్కల తనిఖీ ఆక్షేపణ
audit paragraph,"లెక్కల తనిఖీ/పరిచ్ఛేదము, భాగము"
audit report,లెక్కల తనిఖీ/ఆడిట్ నివేదిక
audited accounts,తనిఖీ చేసిన లెక్క
audited balance sheet,తనిఖీ చేసిన జమా ఖర్చు పట్టిక
auditing,"లెక్కల తనిఖీ, ఆడిటింగ్"
auditor's report,లెక్కల తనిఖీ/ఆడిట్ నివేదిక
auditorium,ప్రేక్షకశాల
austerity,మిత వ్యయము
austerity measures,మితవ్యయ చర్యలు
authentic,"ఆధికారిక, సాధికార, ప్రామాణిక"
authorised representative,అధికృత ప్రతినిధి
authoritative,అధికారతత్వ పూర్వక
authority,"అధికారం, అధికారి, ప్రమాణం"
authority letter,అధికారపత్రం
authorized,"అధికారం పొందిన, అధికృత"
authorized capital,అధికృత మూలధనం
automatic,స్వయంచలన
autonomous,"స్వాయత్త, స్వయంపాలక"
autonomous body,స్వయంపాలక సంస్థ
autonomy,"స్వయంపాలన, స్వతంత్ర ప్రతిపత్తి"
auxiliary,"సహాయక, సహాకారి, ఆనుషంగిక"
available,"లభ్యమయ్యే, లభ్యం చేయదగిన"
average,సగటు
average leave,సగటు సెలవు
aversion,"అయిష్టం, విముఖత"
avert,నివారించు
avoid,"తప్పించు, తప్పుకొనుట"
avoidance of tax,"పన్ను ఎగవేత, పన్ను తప్పించుకోవటం"
awaited,నిరీక్షింపబడుతున్న
award,"తీర్పు, నిర్ణయం, ప్రదానం"
awarding authority,"నిర్ణయాధికారం, అధికారి"
awareness,"స్పృహ, జాగృతి"
back log,"బకాయి, పాత నిలవలు/మిగులు"
back out,"వెనుదీయు, మాటతప్పు"
back reference,"పూర్వ సందర్భం, నిర్దేశం, వెనకటి నిర్దేశం"
back up,"పూరకమైన, సిద్ధము లేక అవసరమునకు ఉంచినట్టి"
backdated,"వెనుక తేదీ వేసిన, మునుపటి తేదీ"
background,"నేపథ్యం (వెనకటి చరిత్ర), పూర్వరంగం"
backward classes,వెనకబడిన తరగతులు
backward tribe,వెనకబడ్డ తెగలు
bad bargain,"నష్టము కలిగించు బేరము, నష్టము కలిగించు ఒడంబడిక"
bad behaviour,దుష్ప్రవర్తన
bad character,"చెడు నడవడి, దుర్వర్తన"
bad climate allowance,"అప, అధమ శీతోష్ణస్థితి బత్తెం"
bad conduct,"చెడ్డ నడవడి, చెడు నడత"
bad debt,వసూలు కాని/పాత బాకీ
baggage,సామాను
bail,"జామీను, జమానతు, బెయిలు"
balance,"మిగులు, నిలవ, ఖాతా నిలవ/త్రాసు"
balance brought down,కూడిన నిలవ
balance brought forward,ముందు పుటకు ఎత్తిన నిలవ
balance sheet,"జమాఖర్చు పట్టికలు, ఆస్తి-అప్పుల పట్టికలు"
balanced budget,సంతులిత బడ్జెట్
ballot,"బాలెట్, రహస్య వోటు చీటి (రహస్య వోటింగ్)"
ballot box,"వోట్లపెట్టె, బాలెట్ పెట్టె"
ballot paper,వోటుపత్రం
ban,నిషేధం/నిషేధంచు
bank,"బ్యాంకు, నది ఒడ్డు"
bank account,"బ్యాంకు ఖాతా, బ్యాంకు లెక్క"
bank balance,బ్యాంకు నిలవ
bank charges,"బ్యాంకు ఛార్జీలు, రుసుములు"
bank guarantee,బ్యాంకు పూచీ
bank holiday,బ్యాంకు సెలవు
bank rate,బ్యాంకు రేటు
bank reconciliation,బ్యాంకు లెక్కల సమన్వయం
bank security,"బ్యాంకు హామీ, బ్యాంకు పూచీ"
bank statement,బ్యాంకు వివరణ పట్టిక
banking facility,బ్యాంకు సౌకర్యం
banking hours,బ్యాంకు పనిచేసే సమయం
banking transaction,బ్యాంకింగ్ లావాదేవీలు
bankrupt,దివాలాదారు
banquet,"విందు, ఉపన్యాసాలతో కూడినవిందు"
bar council,"బార్ కౌన్సిల్, న్యాయవాది మండలి"
bargain,బేరం
bargaining,బేరమాడుట
barren land,"బంజరు భూమి, పోరంబోకు"
barter,"సాటా, వస్తు మార్పిడి"
base,"స్థావరం, మూలస్థానం, సైనికస్థావరం"
base year,ఆధార/ప్రాతిపదిక సంవత్సరం
baseless,నిరాధార
basement,"అడుగు మట్టము, పీఠము"
basic,"మూల, మౌలిక"
basic intelligence,మౌలికమైన తెలివితేటలు
basic pay,"అసలు జీతం, మూలవేతనం"
basic scale of pay,"ప్రాతిపదిక వేతనం స్కేలు/శ్రేణి, మూల వేతన కొలమానము"
basic training,ప్రాథమిక శిక్షణ
basically,"మౌలికంగా, ప్రధానంగా"
basis,"ఆధారం, ప్రాతిపదిక"
batch,"జట్టు, గుంపు, వర్గము సమూహము"
batch number,జట్టు క్రమ సంఖ్య
bearer cheque,బేరరు చెక్కు (తెచ్చిన వారికి చెల్లించేటందుకు రాసింది) వాహక ధనాదేశం
before cited,ముందు పేర్కొన్న
behaviour,"ప్రవర్తన, వర్తన"
belief,"నమ్మకము, విశ్వాసము"
below par,కంటె తగ్గిన
bench,"ధర్మాసనం/బెంచి, ఇద్దరు"
benchmark,"బెంచి మార్కు, సర్వేగుర్తు"
beneficial,"లాభసాటి, ప్రయోజనంగల"
beneficiary,"లాభం పొందే వ్యక్తి, లబ్ధిదారు"
benefit,"లాభం, హితం, మేలు"
benefit of doubt,"సందేహ లాభం, సందేహం కారణంగా నేరస్తునికి కలిగే లాభం"
benevolence,"హితకరం, ఔదార్యం"
benevolent fund,హితకార నిధి
bequeath,వీలునామా ప్రకారం ఆస్తి ఇచ్చు
bequest,వీలునామా ద్వారా వదిలిన ఆస్తి
bereaved,"శోకాకులుడైన, శోకార్తుడైన"
best endeavours,"ఉత్తమ కృషి, ప్రయత్నం"
betterment,"అభివృద్ధి, మేలుతరం/మెరుగుపరచటం"
bias,"పూర్వాభిప్రాయం, పక్షపాతం"
biased opinion,పక్షపాతంలో కూడిన అభిప్రాయం
bibliography,"గ్రంథసూచి, గ్రంథసూచీ శాస్త్రం"
bicameral,ఉభయ సభలు కలిగిన
biennial,ద్వివార్షిక
bifurcate,రెండుగా విభజించటం
bigamy,రెండో వివాహం
bilateral,ఉభయపక్ష
bilingual,ఉభయ భాషా సంబంధిత
bill,"బిల్లు, చిత్తు చట్టం"
bill of exchange,"వినిమయపత్రం, హుండీ బిల్లు"
bimonthly report,ద్వైమాసిక ప్రతివేదన
binding,"కట్టుబాటు, కట్టడి, కట్టుదిట్టం"
biodata,జీవనవృత్తము/స్వీయ పరిచయము
bipartite,ఉభయపక్షికమైన
bipartite agreement,ఉభయపక్ష ఒప్పందం
birth anniversary,జన్మదినోత్సవము
birth certificate,జన్మ ధ్రువపత్రం
birth control,"సంతాన నిరోధం, కుటుంబ నియంత్రణ"
birth date,పుట్టిన తేదీ
birth place,జన్మస్థలం
birth rate,జనన రేటు
biweekly,"పక్ష, అర్ధమాసిక"
black economy,నల్ల ఆర్థిక వ్యవస్థ
black list,అనుమానాస్పదుల పట్టిక
black market,"చీకటి బజారు, నల్లబజారు"
blackmail,"బెదురు సాకు చూపు, సాకు చూపి బెదిరించు"
blame,"నింద, నిందించుట"
blank cheque,"ఖాళీ చెక్కు, డబ్బు మొత్తం రాయకుండా ఇచ్చిన చెక్కు"
blanket deal,విస్తృతముగా వ్యాపించిన వ్యాపారము
blanket order,విస్తృత ఆదేశము
blast,ధ్వంసం చేయు
blending,మిశ్రం
block,"బ్లాకు, సమితి, ఖండం"
block letter,"పెద్ద అక్షరము, స్పష్టముగా రాసిన అక్షరము"
blockade,"రవాణా బందీ, దిగ్బంధం"
blocked capital,చిక్కుబడిన మూలధనం
blood donation,రక్తదానం
blood relations,రక్తసంబంధీకులు
blue collar job,"శారీరక శ్రమతో కూడిన ఉద్యోగము, లేబర్ వర్కు"
blueprint,"పథకం నమూనా, ఛాయా ముద్రణ"
bluff,బుకాయింపు
board,"మండలి, పరిషత్తు, సమితి"
board of directors,పాలక మండలి
board of revenue,ఆదాయ సంబంధమైన పాలక మండలి
boarding and lodging,"భోజన వసతి, సౌకర్యాలు"
body,"సమితి, సమష్టి, మండలి, సంస్థ"
bodyguard,అంగరక్షకుడు
bogus voucher,బూటకపు వోచర్
bonafides,"ప్రామాణిక వివరాలు, సదాచారము సద్ భావము"
bond,"బాండు, పత్రం, దస్తావేజు"
bonded labour,"వెట్టిపని, వెట్టి చాకిరీ, కట్టుబానిస"
bonus,"బోనసు, అదనపు లాభంశం"
book of reference,సంప్రదింపు పుస్తకం
book value,"ఖాతా విలువ, ఖాతా దాఖలా ఖరీదు"
book-keeper,"ఖాతా నిర్వాహకుడు, లెక్కల పుస్తకాలు రాసే వ్యక్తి"
book-keeping,"ఖాతా నిర్వహణ, లెక్కలు రాయటం"
booking office,"నమోదు ఆఫీసు, టికెట్ ఆఫీసు"
booklet,చిన్న పుస్తకం
booth,"బూత్, కేంద్రం, అర"
booth capturing,బూతును వశపరచుకొనుట
border allowance,సరిహద్దు భత్తా
border line,సరిహద్దు గీత
borrower,"బాకీదారు, ఋణ గ్రహీత"
borrowing power,"అప్పు చేసే అధికారం, అప్పు తీసుకొనే శక్తి"
boss,అధికారి
bottleneck,"ఇరకాటం, అడ్డంకి"
boundary,సరిహద్దు
boycott,"బహిష్కరణ, బహిష్కరించు"
bracket,"బ్రేకు, బ్రేకుపెట్టె (యాంత్రికం), అడ్డగింపు, అడ్డగించు"
brain drain,మేధావుల వలస
branch office,శాఖా కార్యాలయము
breach,"భంగం (శాంతి మొ.), ఉల్లంఘనం"
breach of agreement,ఒప్పంద భంగం
breach of confidence,విశ్వాసఘాతం
breach of contract,"కరారునామా ఉల్లంఘన, కాంట్రాక్టు/ఒప్పందం ఉల్లంఘన"
