Bengali,Tamil
"1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)","1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)"
"1. বিট ম্যাট্রিক্স, 2. বিট টেবিল","1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்"
বিট প্যাটার্ন,பிட் முறை
বিট অবস্থান,பிட் நிலை
"1. বিট রেট, 2. বিট হার","1. பிட் வீதம், 2. பிட் விகிதம்"
চোখ বেঁধে পরীক্ষা,கண்மூடி சோதனை
শিমার,மின்னும்
ব্লক,தொகுதி
"1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি","1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்"
ব্লক প্রোব,தடுப்பு ஆய்வு
ভলিউম কপি,தொகுதி நகல்
ব্লক ডায়াগ্রাম,தொகுதி வரைபடம்
"1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক","1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்"
বোর্ড,பலகை
পৃষ্ঠা মেমরি,பக்க நினைவகம்
বুলিয়ান বীজগণিত,பூலியன் இயற்கணிதம்
বুলিয়ান সম্পর্ক,பூலியன் உறவு
বুট পার্টিশন,துவக்க பகிர்வு
বুট strapping,பூட் ஸ்ட்ராப்பிங்
1. বুটস্ট্র্যাপ লোডার,1.பூட்ஸ்ட்ராப் ஏற்றி
"1.ব্রিজ, 2.ব্রিজ","1.பாலம், 2.பாலம்"
ব্রডব্যান্ড নেটওয়ার্ক,பிராட்பேண்ட் நெட்வொர்க்
সম্প্রচার,ஒளிபரப்பு
রেডিও সম্প্রচার,ஒலிபரப்பு வானொலி
(নেট) ভিন্নতা,(நிகர) மாறுபாடு
(net) vicar,(net) vicar
বি-ট্রু,பி-ட்ரூ
"1.বুদবুদ মেমরি, 2.বাবল মেমরি","1.குமிழி நினைவகம், 2.குமிழி நினைவகம்"
বুদবুদ সাজানোর,குமிழி வகை
"1.বালতি, 2.বালতি","1.வாளி, 2.வாளி"
"1. ভ্রাতৃত্ব ব্যবস্থা, 2. বড় সিস্টেম","1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு"
বাজেট কার্যকর নিয়ন্ত্রণ,பயனுள்ள பட்ஜெட் கட்டுப்பாடு
বাফার,தாங்கல்
ঘাটতি,குறைபாடு
যথেষ্ট,போதும்
"1. অষ্ট ব্যাঙ্ক, 2. বিট (আট বিট)","1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)"
বাইট কোড,பைட் குறியீடு
সি (কম্পিউটার ভাষা),சி (கணினி மொழி)
"1.C প্লাস প্লাস, 2.C++ (কম্পিউটার ভাষা)","1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)"
"1.নগদ, 2. দ্রুত, 3. দ্রুত","1.பணம், 2. வேகமாக, 3.வேகமாக"
"1.ক্যাশ বাফার, 2.মেমরি বাফার","1.கேச் பஃபர், 2.மெமரி பஃபர்"
"1.ক্যাশ মেমরি, 2.ক্যাশ মেমরি, 3.ফাস্ট মেমরি","1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி"
গণনা,கணக்கீடு
"1.ক্যালকুলেটর, 2.ক্যালকুলেটর","1.கால்குலேட்டர், 2.கால்குலேட்டர்"
"1.ক্যালকুলেটর চিপ,2. ক্যালকুলেটর চিপ","1.கால்குலேட்டர் சிப், 2. கால்குலேட்டர் சிப்"
আহ্বান করুন,அழைக்கவும்
নাম কল,பெயர் அழைப்பு
রেফারেন্স কল,குறிப்பு அழைப்பு
সম্মান কল,மரியாதை அழைப்பு
পরিবর্তনশীল কল,மாறி அழைப்பு
আমন্ত্রণ গেট,அழைப்பு வாயில்
"1. বাতিল, 2. বাতিল","1. ரத்து, 2. ரத்து"
প্রত্যাহার বোতাম,திரும்பப்பெறுதல் பொத்தான்
"1. নির্ধারিত, 2. ক্যানোনিকাল","1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்"
ক্যানোনিকাল ফর্ম,நியமன வடிவம்
ক্ষমতা,திறன்
ক্ষমতা তালিকা,திறன் பட்டியல்
"1. সক্ষমতা, 2. ধারণ","1. திறன், 2. வைத்திருக்கும்"
ক্যাপ লক কী,தொப்பி பூட்டு விசை
"1.কার্ড, 2. শীট","1. அட்டை, 2. தாள்"
কার্ড পাঠক,கார்டு ரீடர்
বিশিষ্টতা,முக்கியத்துவம்
বাহক,கேரியர்
ক্যারিয়ার ব্যান্ড,கேரியர் பேண்ட்
ক্যারিয়ার লোড,கேரியர் சுமை
ক্যারিয়ার সংকেত,கேரியர் சிக்னல்
ক্যারিয়ার তরঙ্গ,கேரியர் அலை
অর্জন,சாதித்தது
স্কোর অর্জিত,மதிப்பெண் பெற்றார்
পতাকা অর্জন,அடைந்த கொடி
"1.কারটিজ ডিস্ক, 2.কারটিজ ডিস্ক","1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்"
"1. ক্যাসকেড, 2. ক্যাসকেড","1. அருவி, 2. அருவி"
মামলা,வழக்கு
ক্যাথোড-রে-টিউব (সিআরটি),கேத்தோடு-கதிர் குழாய் (CRT)
ক্যাথোড রে টিউব (CRT) ক্যাথোড রে টিউব,கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்
সিডি রম ডিস্ক ড্রাইভ,சிடி ரோம் டிஸ்க் டிரைவ்
সেল,செல்
সেল অ্যানিমেশন,செல் அனிமேஷன்
মোবাইল ফোন,கை பேசி
