Bengali,Assamese
বিশ্লেষণাত্মক ফাংশন,বিশ্লেষণাত্মক কাৰ্য্য
কোণ,কোণ
স্পর্শক কোণ,স্পৰ্শক কোণ
বিচ্যুতি কোণ,বিক্ষেপণ কোণ
বিষণ্নতা কোণ,ডিপ্ৰেছন এংগেল
বিচ্যুতি কোণ,বিচ্যুতি কোণ
বিবর্তন কোণ,বিবৰ্তন কোণ
উচ্চতা কোণ,উচ্চতা কোণ
ঘটনার কোণ,প্ৰাদুৰ্ভাৱৰ কোণ
অভিক্ষেপ কোণ,প্ৰক্ষেপণৰ কোণ
প্রতিফলন কোণ,প্ৰতিফলনৰ কোণ
প্রতিসরণ কোণ,বিবৰ্তনৰ কোণ
ঘূর্ণন কোণ,ঘূৰ্ণন কোণ
প্রতিফলনের পরম কোণ,প্ৰতিফলনৰ নিৰপেক্ষ কোণ
কৌণিক ত্বরণ,কৌণিক ত্বৰণ
কৌণিক বেগ,কৌণিক বেগ
কৌণিক গতি,কৌণিক গতি
কৌণিক বেগ,কৌণিক বেগ
অনামিকা আঙুল,ৰিং ফিংগাৰ
উত্তর,উত্তৰদিশ
কাউন্টার ডেরিভেটিভ,কাউণ্টাৰ ডেৰাইভেটিভ
আইসোমেট্রিক ফাংশন,সমমিতি ফলন
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য","আবৃত, প্ৰযোজ্য, প্ৰযোজ্য"
"আবেদনের আবেদন,",আবেদন আবেদন
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
প্রয়োগ করা জ্যামিতি,প্ৰয়োগ কৰা জ্যামিতি
ফলিত গণিত,প্ৰয়োগ কৰা গণিত
ফলিত পরিসংখ্যান,প্ৰয়োগ কৰা পৰিসংখ্যা
"প্রায়, প্রায়","আনুমানিক, আনুমানিক"
প্রায় একটানা ফাংশন,প্ৰায় অবিৰত ফলন
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি","মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি"
আনুমানিক সমাধান,আনুমানিক সমাধান
আনুমানিক সমস্যা,আনুমানিক সমস্যা
আনুমানিক সম্পত্তি,আনুমানিক বৈশিষ্ট্য
বুদ্ধিমত্তার পরীক্ষা,যোগ্যতা পৰীক্ষা
আর্গন ডায়াগ্রাম,আৰ্গন ডায়েগ্ৰাম
স্বেচ্ছায়,স্বেচ্ছামূলক
"এলোমেলো, এলোমেলো","random, যাদৃচ্ছিক"
নির্বিচারে ধ্রুবক,ইচ্ছাকৃত ধ্ৰুৱক
বিনামূল্যে উপাদান,মুক্ত মৌল
নির্বিচারে পয়েন্ট,ইচ্ছাকৃত বিন্দু
আর্কিমিডের আইন,আৰ্কিমিডিছৰ নিয়ম
আর্কিমিডিসের আইন,আৰ্কিমিডিছৰ নিয়ম
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য","চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য"
বৃত্ত চাপ,বৃত্ত চাপ
ইনভার্স সাইন ডিস্ট্রিবিউশন,বিপৰীত চাইন বিতৰণ
বিপরীত সাইন রূপান্তর,বিপৰীত চাইন ৰূপান্তৰ
"এলাকা, এলাকা","এলেকা, এলেকা"
আঞ্চলিক কনফিগারেশন,আঞ্চলিক সংৰূপ
একটি জটিল সংখ্যার কোণ,এটা জটিল সংখ্যাৰ কোণ
গাণিতিক গড়,গাণিতিক গড়
ডিজিটাল অপারেশন,ডিজিটেল অপাৰেচন
ডিজিটাল ইউনিট,ডিজিটেল ইউনিট
"কনফিগারেশন, বিন্যাস","কনফিগাৰেচন, ব্যৱস্থা"
"অ্যারে, অ্যারে","এৰে, এৰে"
কৃত্রিম উপগ্রহ,কৃত্ৰিম উপগ্ৰহ
কৃত্রিম পরিবর্তনশীল,কৃত্ৰিম চলক
আরোহন করা,বগাবলৈ
আরোহী,আৰোহী
মাত্রার আরোহী ক্রম,মাত্ৰাৰ আৰোহী ক্ৰম
আরোহী গ্রেড,আৰোহী গ্ৰেড
সংযোজনকারী ভাষা,এছেম্বলাৰ ভাষা
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন
সহযোগী নিয়ম,সহযোগী নিয়ম
অপারেটরদের সহযোগী নিয়ম,অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম
সহযোগী অপারেশন,এছ&#39;চিয়েটিভ অপাৰেচন
সাহচর্য,সংগীত্ব
ধরে নেওয়া গড়,ধৰি লোৱা গড়
অনুমান সম্ভাব্যতা বন্টন,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
"কল্পনা করা, স্বীকার করা,","কল্পনা কৰা, স্বীকাৰ কৰা"
জ্যোতিষশাস্ত্র,জ্যোতিষ বিজ্ঞান
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা
জ্যোতির্বিদ*,জ্যোতিৰ্বিজ্ঞানী*
জ্যোতির্বিদ্যা ঘড়ি,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
জ্যোতির্বিদ্যা,জ্যোতিৰ্বিজ্ঞান
অপ্রতিসম বক্ররেখা,অসমতাপূৰ্ণ বক্ৰ
অসমতা,বিষমতা
অ্যাসিম্পোটিক,এছিম্পটটিক
উত্তেজক,গুৰুতৰ কৰি তোলা
প্রগতিশীল অনুমানকারী,প্ৰগতিশীল অনুমানক
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক
বিপরীতমুখী আচরণ,ৰেট্ৰ&#39;গ্ৰেড আচৰণ
আক্রমনাত্মক বিতরণ ফাংশন,আক্ৰমণাত্মক বিতৰণ ফলন
ঊর্ধ্বগামী বিস্তার,ওপৰলৈ বিয়পি পৰা
বায়ুমণ্ডলীয় চাপ,বায়ুমণ্ডলীয় চাপ
"এলোমেলোভাবে,",যাদৃচ্ছিকভাৱে
সম্পত্তি*,গুণ*
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,বৈশিষ্ট্য-নমুনা-ব্যৱস্থা
অগমেন্টেড ম্যাট্রিক্স,বৰ্ধিত মেট্ৰিক্স
স্বয়ংক্রিয় সম্পর্ক সহগ,স্ব-সম্বন্ধ সহগ
স্বয়ংক্রিয় সম্পর্ক ফাংশন,স্বয়ংসম্বন্ধ কাৰ্য্য
সহবাস,সহাৱস্থান
স্বয়ংক্রিয় কম্পিউটার,স্বয়ংক্ৰিয় কম্পিউটাৰ
অটোরিগ্রেশন,অটোৰিগ্ৰেছন
সহায়ক সমীকরণ,সহায়ক সমীকৰণ
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ)
"axiom, axiom","স্বতন্ত্ৰ, স্বতন্ত্ৰ"
স্বতঃসিদ্ধ পদ্ধতি,স্বতন্ত্ৰ পদ্ধতি
সম্ভাব্যতা স্বতঃসিদ্ধ,সম্ভাৱনা স্বতন্ত্ৰতা
অক্ষ,অক্ষ
ভুজক্ষ,ভূজাক্ষ
পৃথিবী অক্ষ,পৃথিৱীৰ অক্ষ
ঘূর্ণন অক্ষ,ঘূৰ্ণন অক্ষ
ঘূর্ণন অক্ষ,ঘূৰ্ণন অক্ষ
স্পিন অক্ষ,স্পিন অক্ষ
পোস্ট প্রতিস্থাপন,পোষ্ট সলনি কৰা
পরে,পাছত
ফিরে সন্নিবেশ সূত্র,পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
সুষম নকশা,সুষম ডিজাইন
ব্যালেন্স শীট,বেলেন্স শ্বীট
মিসাইল,মিছাইল
"ব্যালিস্টিক, অস্ত্র","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত","স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
ভিত্তি কোণ,ভিত্তি কোণ
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি","লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি"
"মৌলিক, মৌলিক,","মূল, মৌলিক"
ভিত্তি সুসংগত সমাধান,ভিত্তি সুসংহত সমাধান
ভিত্তি সমাধান,ভিত্তি দ্ৰৱণ
ভিত্তি পরিবর্তনশীল,ভিত্তি চলক
ভিত্তি,ভেঁটি
ভিত্তি উপাদান,ভিত্তি উপাদান
বেস ম্যাট্রিক্স,ভিত্তি মেট্ৰিক্স
ভেক্টর স্থানের ভিত্তি,ভেক্টৰ স্থানৰ ভিত্তি
উপ-জনসংখ্যা ভিত্তিতে,উপজনসংখ্যাৰ ভিত্তিত
নীতিহীন,অসাধু
বেজ-রুল,bez-নিয়ম
bez-তত্ত্ব,bez- উপপাদ্য
bernoulli-বন্টন,bernoulli-বিতৰণ
বার্নোলি সংখ্যা,বাৰ্নৌলিৰ সংখ্যা
Bernoulli সম্ভাব্যতা ফাংশন,বাৰ্নৌলি সম্ভাৱনা ফলন
বার্নোলি-সমীকরণ,বাৰ্নৌলি-সমীকৰণ
বেরি ফাংশন,জামুৰ কাৰ্য্য
সেরা আনুগত্য,শ্ৰেষ্ঠ আঠাযুক্ততা
সেরা আনুগত্য লাইন,শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা
সেরা সমাধান,উত্তম সমাধান
সেরা টিপস,শ্ৰেষ্ঠ টিপছ
বিটা বিতরণ,বিটা বিতৰণ
"পক্ষপাত, পক্ষপাত","bias, পক্ষপাতিত্ব"
পক্ষপাতমূলক মূল্যায়ন,পক্ষপাতমূলক মূল্যায়ন
দ্বিপদ সমীকরণ,দ্বিপদ সমীকৰণ
একক আবরণ,একক কভাৰ
একক কভার মানচিত্র,একক কভাৰ মেপ
একক কভার ম্যাপিং,একক কভাৰ মেপিং
দ্বিঘাত দ্বিঘাত,দ্বিঘাত দ্বিঘাত
বাইলিনিয়ার ফাংশন,দ্বিৰৈখিক ফলন
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত","দ্বি-চলক, বাইনাৰী, দ্বৈত"
"বাইনারি কোড, বাইনারি কোড","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক","বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক"
বাইনারি এনকোডিং,বাইনাৰী এনকোডিং
বাইনারি কম্পিউটার,বাইনাৰী কম্পিউটাৰ
বাইনারি সংখ্যা,বাইনাৰী সংখ্যা
বাইনারি অপারেশন,বাইনাৰী অপাৰেচন
বাইনারি পদ্ধতি,বাইনাৰী পদ্ধতি
বাইনারি পরিবর্তনশীল,বাইনাৰী চলক
দ্বিপদ সহগ,দ্বিপদ সহগ
দ্বিপদ ডিস্ট্রিবিউশন,দ্বিপদ বিতৰণ
দ্বিপদ সমীকরণ,দ্বিপদ সমীকৰণ
দ্বিপদ প্রকরণ,দ্বিপদ ভ্যাৰিয়েন্স
দ্বিপদ অভিব্যক্তি,দ্বিপদ অভিব্যক্তি
দ্বিপদী র্যান্ডম পরিবর্তনশীল,দ্বিপদ ৰেণ্ডম চলক
দ্বিপদ উপপাদ্য,দ্বিপদ উপপাদ্য
"অর্ধেক, বিভাজন","আধা, bifurcation"
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি","bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি"
অর্ধেক দ্বিখণ্ডক,হাফ বাইছেক্টৰ
দ্বিপদ,"দ্বিপদ, দ্বৈত"
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক","ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক"
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,দ্বিচলকীয় সম্পৰ্ক সহগ
দ্বিমুখী বন্টন,দ্বিচলকীয় বিতৰণ
bivariate স্বাভাবিক-বন্টন,দ্বিচলকীয় স্বাভাৱিক-বিতৰণ
bivector,বাইভেক্টৰ
বোল্টম্যান সমীকরণ,বোল্টমেন সমীকৰণ
বুলিয়ান বীজগণিত*,বুলিয়ান বীজগণিত*
বোস-আইনস্টাইন পরিসংখ্যান,বস-আইনষ্টাইন পৰিসংখ্যা
সীমাবদ্ধতা সীমাবদ্ধতা,সীমাবদ্ধতা নিষেধাজ্ঞা
সীমানা স্তর,সীমা স্তৰ
সীমান,সীমাৰেখা
সীমা মান,সীমা মূল্য
সীমানা মান সমস্যা,সীমা মূল্যৰ সমস্যা
"আবদ্ধ ফাংশন আবদ্ধ ফল,",সীমাবদ্ধ ফলন সীমাবদ্ধ ফল
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,","সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল"
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড
"আবদ্ধ সেট আবদ্ধ সেট,",সীমাবদ্ধ ছেট সীমাবদ্ধ গোট
ব্রাউনি গতি,ব্ৰাউনি গতি
হিসাব করতে,গণনা কৰা
গণনা,গণনা কৰা
"ক্যালকুলেটর, ক্যালকুলেটর","কেলকুলেটৰ, কেলকুলেটৰ"
হিসাব*,গণনা*
গণনামূলক কর্ম পদ্ধতি,গণনামূলক ক্ৰিয়া পদ্ধতি
"ক্যালকুলেটর, ক্যালকুলেটর","কেলকুলেটৰ, কেলকুলেটৰ"
"ক্যালকুলাস, ক্যালকুলাস","কেলকুলাছ, কেলকুলাছ"
প্রকরণ ক্যালকুলাস,ভ্যাৰিয়েন্স কেলকুলাছ
ক্যালোরি,কেলৰি
বিধি বাতিল করা,বাতিল নিয়ম
ক্যানোনিকাল সমীকরণ,কেননিক সমীকৰণ
ক্যানোনিকাল ফর্ম,কেননিক ৰূপ
"ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স","কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স"
ক্যান্টর সেট,কেন্টৰ ছেট
ক্যান্টর ত্রিভুজাকার সেট,cantor ত্ৰিকোণীয় ছেট
সীমাবদ্ধ পরিবহন সমস্যা,বাধ্যতামূলক পৰিবহণ সমস্যা
ক্ষমতা,সক্ষমতা
কৈশিক বল,কেপিলাৰী বল
"গণনা সংখ্যা, কার্ডিনাল সংখ্যা","গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা"
কার্টেসিয়ান অক্ষ,কাৰ্টেচিয়ান অক্ষ
কার্টেসিয়ান স্থানাঙ্ক,কাৰ্টেছিয়ান স্থানাংক
কার্টিজিয়ান পণ্য,কাৰ্টেছিয়ান উৎপাদন
সেটের কার্টেসিয়ান গুন,সমষ্টিৰ কাৰ্টেছিয়ান গুণন
"কেস স্টাডি, কেস স্টাডি","কেছ ষ্টডি, কেছ ষ্টডি"
বিপর্যয়মূলক বক্তৃতা,দুৰ্যোগপূৰ্ণ ভাষণ
ক্যাটিনারি,catinary
কচি বন্টন,কাউচি বিতৰণ
কৌশির সূত্র,কৌশীৰ সূত্ৰ
কচি-গুর্সা-তত্ত্ব,কৌশী-গুৰ্ষ-উপাপাদ্য
কৌশি-রিম্যান-বান,কৌছি-ৰাইমান-বান
কচি সিকোয়েন্স,ক&#39;চি ক্ৰম
কৌশি অবিচ্ছেদ্য,কৌশি অবিচ্ছেদ্য
কৌশি প্রধান-মূল্য,কৌশী মূল-মূল্য
কচি অবশিষ্ট উপপাদ্য,ক’চি ৰেমেইণ্ডাৰ উপপাদ্য
ক্যালে-হ্যামিল্টন-উপাত্ত,কেলে-হেমিল্টন-উপাপাদ্য
স্বর্গীয় শরীরের,আকাশী দেহ
জ্যোতির্বিদ্যা পরিমাপ,জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ
স্বর্গীয় বলবিদ্যা,আকাশী যান্ত্ৰিকতা
স্বর্গীয় শরীরের,আকাশী দেহ
সেল ফ্রিকোয়েন্সি,কোষ কম্পাঙ্ক
"আদমশুমারি, আদমশুমারি","লোকপিয়ল, লোকপিয়ল"
শতাংশ,শতাংশ
সেন্টিমিটার,চেন্টিমিটাৰ
সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি,চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি
"কেন্দ্রীয়, কেন্দ্রীভূত","কেন্দ্ৰীয়, সমকেন্দ্ৰিক"
কেন্দ্রীয় অক্ষ,কেন্দ্ৰীয় অক্ষ
কেন্দ্রীয় ফাঁক,কেন্দ্ৰীয় ব্যৱধান
কেন্দ্রীয় পার্থক্য সূত্র,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
কেন্দ্রীয় ডিফারেনশিয়াল টেবিল,কেন্দ্ৰীয় অৱভেদ্য টেবুল
কেন্দ্রীয় সীমা উপপাদ্য,কেন্দ্ৰীয় সীমা উপপাদ্য
কেন্দ্রীয় মুহূর্ত,কেন্দ্ৰীয় মুহূৰ্ত
কেন্দ্রীয় সম্পদ ইউনিট,কেন্দ্ৰীয় সম্পদ একক
কেন্দ্রীয় প্রবৃত্তি,কেন্দ্ৰীয় প্ৰবৃত্তি
কেন্দ্র*,কেন্দ্ৰ*
অভিকর্ষের কেন্দ্র,মাধ্যাকৰ্ষণ কেন্দ্ৰ
গ্রুপ কেন্দ্র,গ্ৰুপ চেণ্টাৰ
ভর কেন্দ্র,ভৰ কেন্দ্ৰ
প্রতিসাম্য কেন্দ্র,প্ৰতিসমতাৰ কেন্দ্ৰ
অপকেন্দ্র বল,কেন্দ্ৰপৃথক বল
কেন্দ্রমুখী বল,কেন্দ্ৰিক বল
"কেন্দ্রমুখী মেরিডিয়ান,",কেন্দ্ৰিক মেৰিডিয়ান
নিশ্চিততা,নিশ্চয়তা
সিজিএস পদ্ধতি,cgs পদ্ধতি
সিজিএস ইউনিট,cgs ইউনিট
পার্থক্যের চেইন নিয়ম,পাৰ্থক্যৰ শৃংখল নিয়ম
"ভাগ্যে, ভাগ্যক্রমে",কেনেবাকৈ
এলোমেলো পদক্ষেপ,random move
অক্ষ স্থানান্তর,অক্ষৰ স্থানান্তৰ
"ভিত্তি পরিবর্তন পয়ধর-পরিবর্তন,",ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন
স্থানান্তর,ক্ৰমবিন্যাস
বৈশিষ্ট্য সহগ,বৈশিষ্ট্য সহগ
চরিত্রগত নির্ধারক,বৈশিষ্ট্য নিৰ্ণায়ক
চরিত্রগত সমীকরণ,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
"চারিত্রিক ফাংশন, চরিত্রগত ফাংশন","বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য"
লগারিদমের পূর্ণসংখ্যা,লগাৰিদমৰ পূৰ্ণসংখ্যা
"চরিত্রগত বহুপদ,",বৈশিষ্ট্যপূৰ্ণ বহুপদ
বৈশিষ্ট্যগত মান,বৈশিষ্ট্যপূৰ্ণ মূল্য
চরিত্রগত ভেক্টর,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
চরিত্র সম্প্রদায়,চৰিত্ৰ সম্প্ৰদায়
"চার্ট, চার্ট,","লেখচিত্ৰ, লেখচিত্ৰ"
চি-স্কোয়ার বিতরণ,কাই-স্কেয়াৰ বিতৰণ
চি-বর্গাকার সূত্র,কাই-বৰ্গ সূত্ৰ
চি-স্কয়ার পরীক্ষা,কাই-স্কেয়াৰ পৰীক্ষা
জ্যা*,কৰ্ড*
জ্যা বিভাজন পদ্ধতি,কৰ্ড বিভাজন পদ্ধতি
লিখিত বার্তা,লিখিত বাৰ্তা
"শূন্য, সাইফার","শূন্য, চাইফাৰ"
বৃত্ত*,বৃত্ত*
অভিসারী বৃত্ত,অভিসৰণ বৃত্ত
সার্কিট ম্যাট্রিক্স,বৰ্তনী মেট্ৰিক্স
