Assamese,Punjabi
বায়ু শ্বাসযন্ত্ৰ,ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ
এয়াৰ কণ্ডিচনাৰ,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ,ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ
বিমান,ਜਹਾਜ਼
প্ৰান্তিককৰণ,ਅਲਾਈਨਮੈਂਟ
প্ৰান্তিককৰণৰ ভুল,ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ
লাইভ চাৰ্কিট,ਲਾਈਵ ਸਰਕਟ
সম্পূৰ্ণ কাঁচৰ নলী,ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ
গোটেই ধাতুৰ নলী,ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ
ঠিক কৰা,ਠੀਕ ਕਰਨ ਲਈ
"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)","ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)"
মিশ্ৰত্ৱন,ਮਿਸ਼ਰਤਵਨ
সৰ্বব্যাপী মাধ্যম,ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ
omni এন্টেনা,ਓਮਨੀ ਐਂਟੀਨਾ
আলমানাক,ਅਲਮੈਨਕ
আলফা,ਅਲਫ਼ਾ
আলফা-কাৰ্য্যকলাপ,ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ
আলফানিউমেৰিক,ਅੱਖਰ ਅੰਕੀ
আলফা ৰশ্মি,ਅਲਫ਼ਾ ਰੇ
সলা,ਬਦਲੋ
"বিকল্প, বিকল্প","ਬਦਲਵਾਂ, ਬਦਲਵਾਂ"
অলটাৰেটৰ,ਅਲਟਰਨੇਟਰ
উচ্চতামাপক,ਅਲਟੀਮੀਟਰ
উচ্চতামাপক,ਅਲਟੀਮੀਟਰ
উচ্চতা মাপকাঠী,ਅਲਟਾਈਮੇਟਰੀ
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ"
গাণিতিক যুক্তি একক (ALU),ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU)
amaget নিয়ম,amaget ਨਿਯਮ
পৰিৱেশ,ਵਾਤਾਵਰਣ
amicron,amicron
এমিটাৰ,ammeter
এম্পিয়াৰ,ਐਂਪੀਅਰ
এম্পিয়াৰ-আইন,ਐਂਪੀਅਰ-ਲਾਅ
উভচৰ আয়ন,amphibian ion
এম্প্লিফিকেশন,ਵਾਧਾ
এম্প্লিফায়াৰ,ਐਂਪਲੀਫਾਇਰ
"কোণ, মাত্ৰা","ਕੋਣ, ਮਾਪ"
ক. এম ইউ. (পাৰমাণৱিক ভৰ একক),a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
উপযুক্ত,ਅਨੁਕੂਲ
উপমা,ਸਮਾਨਤਾ
বিশ্লেষক,ਵਿਸ਼ਲੇਸ਼ਕ
বিশ্লেষণ,ਵਿਸ਼ਲੇਸ਼ਣ
বিশ্লেষণাত্মক,ਵਿਸ਼ਲੇਸ਼ਣੀ
নন-পইন্ট,ਗੈਰ-ਪੁਆਇੰਟ
অস্বাভাৱিক,ਅਸਧਾਰਨ
আৰু দুৱাৰ,ਅਤੇ ਦਰਵਾਜ਼ਾ
অ-ধ্বনিযুক্ত,ਗੈਰ-ਧੁਨੀ
বিষম স্থিতিস্থাপকতা,ਅਸਧਾਰਨ ਲਚਕਤਾ
জলহীন,ਨਿਹਾਈਡ੍ਰਸ
কোণ,ਕੋਣ
angstrom একক,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
কৌণিক,ਕੋਣੀ
প্ৰট্ৰেক্টৰ vernier,protractor vernier
বিতৰ্কহীন,ਵਿਵਾਦਪੂਰਨ
অসন্মানজনক,ਬੇਇੱਜ਼ਤੀ
ৰঙীন চুম্বকীয়কৰণ,ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ
শিথিলতা,ਢਿੱਲੀ
এনিয়ন,anion
অসমতাপূৰ্ণ,ਅਸਮਿਤ
সমতলীয়,ਆਈਸੋਟ੍ਰੋਪਿਕ
সমচক্ৰীয়তা,isotropism
মচি পেলোৱা,ਮਿਟਾਉਣਾ
ষড়যন্ত্ৰকাৰী,ਸਾਜ਼ਿਸ਼ਕਰਤਾ
এনোড,ਐਨੋਡ
এনোডাইজেচন,anodization
অসামঞ্জস্যপূৰ্ণ,ਅਸੰਗਤ
অপটিকেল চিষ্টেম,ਆਪਟੀਕਲ ਸਿਸਟਮ
এন্টেনা,ਐਂਟੀਨਾ
এন্টিবেৰিয়ান,ਐਂਟੀਬੇਰੀਅਨ
এন্টি-বণ্ডিং বৈশিষ্ট্য,ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ
কাউণ্টাৰ বণ্ড,ਵਿਰੋਧੀ ਬਾਂਡ
ৰিভাৰ্ছ পাৱাৰ,ਉਲਟ ਸ਼ਕਤੀ
ডাইমেগনেটিক,ਡਾਇਮੈਗਨੈਟਿਕ
ডাইমেগনেটিক পদাৰ্থ,ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ
এন্টি-ইনফ্লেমেটৰী,ਸਾੜ ਵਿਰੋਧੀ
এন্টিগ্ৰেভিটি,ਐਂਟੀਗ੍ਰੈਵਿਟੀ
এন্টিলামডা কণা,antilamda ਕਣ
এলিলেপ্টন,ਐਲੇਲੈਪਟਨ
ডাইমেগনেটিক,ਡਾਇਮੈਗਨੈਟਿਕ
এন্টিমেটাৰ,ਐਂਟੀਮੈਟਰ
এন্টি মিছাইল,ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ
এন্টিনিউট্ৰন,antineutron
স্পন্দনশীল,pulsating
এন্টিনিউক্লিয়ন,antinucleon
এন্টিপাৰটিকেল,ਵਿਰੋਧੀ ਕਣ
এন্টিপ্ৰ&#39;টন,ਐਂਟੀਪ੍ਰੋਟੋਨ
এন্টিৰিফ্লেক্টিভ,ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ
এন্টিসিমেট্ৰিক,ਵਿਰੋਧੀ ਸਮਰੂਪ
non recurring,ਗੈਰ-ਆਵਰਤੀ
এনাক্ৰ&#39;নিজম,anachronism
ছিদ্ৰযুক্ত স্কেনিং ডিস্ক,perforated ਸਕੈਨਿੰਗ ਡਿਸਕ
দ্বাৰক,ਦੁਆਰਕ
"ওপৰ, ওপৰ, সন্মুখ","ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ"
"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য","ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ"
উদাসীন জৰী,ਉਦਾਸੀਨ ਕਿਨਾਰੀ
অকৰুণ,ਗੈਰ ਤਰਸਯੋਗ
অ-অক্ষমতা,ਗੈਰ-ਅਯੋਗਤਾ
অতি ৰংহীন,ਬਹੁਤ ਅਕ੍ਰੋਮੈਟਿਕ
"ভূমি-উচ্চ, apogee","ਜ਼ਮੀਨ-ਉੱਚਾ, apogee"
"অমেৰু, বৃত্তাকাৰ","ਗੈਰ-ਧਰੁਵੀ, ਚੱਕਰੀ"
পেৰাপোলাৰিটি,parapolarity
সঁজুলি,ਡਿਵਾਈਸ
"ভাৰ্চুৱেল, দৃশ্যমান","ਵਰਚੁਅਲ, ਵਿਜ਼ੂਅਲ"
দৃশ্যমান সূৰ্য্য,ਦਿਖਾਈ ਦੇਣ ਵਾਲਾ ਸੂਰਜ
দৃশ্যমান সময়,ਵਿਜ਼ੂਅਲ ਸਮਾਂ
উদীয়মান ৰূপ,ਉਭਰਦੀ ਦਿੱਖ
দৰ্খাস্ত,ਐਪਲੀਕੇਸ਼ਨ
প্ৰযোজ্যতা,ਲਾਗੂ ਹੋਣ
প্ৰয়োগ কৰা হৈছে,ਲਾਗੂ ਕੀਤਾ
পৰ্যবেক্ষণযোগ্য,ਦੇਖਣਯੋਗ
পদ্ধতি,ਪਹੁੰਚ
"ওচৰত, প্ৰায়","ਨੇੜੇ, ਲਗਭਗ"
আনুমানিককৰণ,ਲਗਭਗ
বাষ্পৰ চাপ,ਭਾਫ਼ ਦਾ ਦਬਾਅ
স্বেচ্ছামূলক,ਸਵੈ-ਇੱਛਤ
"চাপ চুলা, চাপ চুলা","ਚਾਪ ਭੱਠੀ, ਚਾਪ ਭੱਠੀ"
আৰ্কিমিডিছৰ নিয়ম,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
স্থাপত্যৰ ধ্বনিবিজ্ঞান,ਆਰਕੀਟੈਕਚਰਲ ਧੁਨੀ ਵਿਗਿਆਨ
চাপ লেম্প,ਚਾਪ ਲੈਂਪ
চাপ-বৰ্ণালী,ਚਾਪ-ਸਪੈਕਟ੍ਰਮ
"এলেকা, এলেকা","ਖੇਤਰ, ਖੇਤਰ"
"আঞ্চলিক, আঞ্চলিক","ਖੇਤਰੀ, ਖੇਤਰੀ"
"বাহু, বাহু, শাখা","ਬਾਂਹ, ਬਾਂਹ, ਸ਼ਾਖਾ"
অপেশাদার,ਸ਼ੁਕੀਨ
"এৰে, এৰে","ਐਰੇ, ਐਰੇ"
ৰিচিভাৰ,ਪ੍ਰਾਪਤਕਰਤਾ
উচ্চাৰণৰ স্পষ্টতা,ਉਚਾਰਨ ਸਪਸ਼ਟਤਾ
কৃত্ৰিম,ਸਿੰਥੈਟਿਕ
কৃত্ৰিম ৰূপান্তৰ,ਨਕਲੀ ਤਬਦੀਲੀ
আৰোহী,ਚੜ੍ਹਦਾ
আৰোহণ,ਚੜ੍ਹਾਈ
বগাই যোৱা,ਚੜ੍ਹਨਾ
আগোলি,ਅਗੋਲੀ
একত্ৰীকৰণ,ਏਕੀਕਰਨ
set of,ਦਾ ਸੈੱਟ
"একত্ৰিত কৰা, একত্ৰিত কৰা","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
নিখুঁত অনুমান,ਸ਼ੁੱਧਤਾ ਅਨੁਮਾਨ
নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ,ਨਿਰਧਾਰਿਤ (ਕੁਆਂਟਮ ਸੰਖਿਆਵਾਂ ਦੀ) ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ
"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত","ਸੰਬੰਧਿਤ, ਸਹਿਯੋਗੀ, ਸੰਯੁਕਤ"
স্বৰধ্বনি,ਸਵਰ ਆਵਾਜ਼
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
এষ্টেনিক,ਅਸਥਨਿਕ
"বিৰতি, দৃষ্টিশক্তি","ਪਰਹੇਜ਼, ਅਜੀਬਤਾ"
মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ,ਪੁਲਾੜ ਯਾਤਰਾ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
মহাকাশচাৰী,ਪੁਲਾੜ ਯਾਤਰੀ
জ্যোতিৰ্বিজ্ঞানী,ਖਗੋਲ ਵਿਗਿਆਨੀ
আকাশী,ਆਕਾਸ਼ੀ
জ্যোতিৰ্বিজ্ঞান,ਖਗੋਲ ਵਿਗਿਆਨ
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
অসমতাপূৰ্ণ,ਅਸਮਿਤ
এছিম্পটটিক,asymptotic
গুৰুতৰ কৰি তোলা,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
এচিনক্ৰ&#39;নাছ,ਅਸਿੰਕ੍ਰੋਨਸ
"বায়ুমণ্ডল, বায়ুমণ্ডল","ਮਾਹੌਲ, ਮਾਹੌਲ"
বায়ুমণ্ডলীয়,ਵਾਯੂਮੰਡਲ
বতাহৰ অস্থিৰতা,ਹਵਾ ਦੀ ਗੜਬੜ
পাৰমাণৱিক,ਪ੍ਰਮਾਣੂ
পাৰমাণৱিক,ਪਰਮਾਣੂ
পাৰমাণৱিকতা,ਪਰਮਾਣੂ
পাৰমাণৱিক ভৰ,ਪ੍ਰਮਾਣੂ ਪੁੰਜ
পাৰমাণৱিক সংখ্যা,ਪਰਮਾਣੂ ਨੰਬਰ
"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল","ਪ੍ਰਮਾਣੂ ਰਿਐਕਟਰ, ਪ੍ਰਮਾਣੂ ਢੇਰ"
পাৰমাণৱিক,ਪਰਮਾਣੂ
কণা,ਕਣ
কণা,ਕਣ
"attenuation, ক্ষীণকৰণ",ਧਿਆਨ
"attenuating, ক্ষীণ কৰা","ਘਟਾਓਣਾ, ਘੱਟ ਕਰਨਾ"
আকৰ্ষণ,ਸੁਹਜ
আকৰ্ষণৰ বল,ਖਿੱਚ ਦੀ ਤਾਕਤ
শ্ৰৱণ ক্ষমতা,ਸੁਣਨਯੋਗਤਾ
অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
শ্ৰৱণযোগ্য,ਸੁਣਨਯੋਗ
অডিঅ&#39; জেনেৰেটৰ,ਆਡੀਓ ਜਨਰੇਟਰ
শ্ৰৱণ ক্ষমতা গ্ৰাফ,ਸੁਣਨਯੋਗਤਾ ਗ੍ਰਾਫ
শ্ৰৱণ বিজ্ঞান,ਸੁਣਨ ਵਿਗਿਆਨ
অডিঅ&#39;মিটাৰ,ਆਡੀਓਮੀਟਰ
শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক,ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ ਔਸਿਲੇਟਰ
শব্দ সংকেত,ਧੁਨੀ ਸੰਕੇਤ
দৃশ্য-শ্ৰাব্য,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ
"অডিটৰিয়াম, অডিটৰিয়াম","ਆਡੀਟੋਰੀਅਮ, ਆਡੀਟੋਰੀਅਮ"
OZ প্ৰভাৱ,OZ ਪ੍ਰਭਾਵ
প্ৰচাৰ,ਤਰੱਕੀ
এনহান্সাৰ,ਵਧਾਉਣ ਵਾਲਾ
মেৰু শিখা,ਧਰੁਵੀ ਲਾਟ
দক্ষিণ মেৰু শিখা,ਦੱਖਣੀ ਧਰੁਵੀ ਲਾਟ
উত্তৰ মেৰু শিখা,ਉੱਤਰੀ ਧਰੁਵੀ ਲਾਟ
স্বয়ংক্ৰিয় সতৰ্কবাণী,ਆਟੋਮੈਟਿਕ ਚੇਤਾਵਨੀ
অটো সমান্তৰালকাৰী,ਆਟੋ ਸਮਾਨੰਤਰ
"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়","ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ"
"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ","ਆਟੋਮੇਸ਼ਨ, ਆਟੋਮੇਸ਼ਨ"
"সহায়ক, সমবায়, অতিৰিক্ত","ਸਹਾਇਕ, ਸਹਿਕਾਰੀ, ਵਾਧੂ"
"অৱদাভা, হিমস্খলন","ਅਵਦਾਵਾ, ਅਵਦਾਵਾ"
"mean, mean","ਮਤਲਬ, ਮਤਲਬ"
পৰিৱৰণ,ਪਰਿਵਾਰ
অক্ষীয়,ਧੁਰੀ
অক্ষ,ਧੁਰਾ
এজিমুথ,ਅਜ਼ੀਮਥ
এজিমুথ,ਅਜ਼ੀਮਥ
পিছলৈ,ਵਾਪਸ
"পটভূমি,পটভূমি","ਪਿਛੋਕੜ, ਪਿਛੋਕੜ"
"পিছপৰা, পিছপৰা","ਪਿਛਾਂਹ, ਪਿਛੇ"
ঘুৰা,ਵਾਪਸ ਭੇਜਣ ਦਾ ਸਮਾਂ
বেক ভল্টেজ পালছাৰ,ਵਾਪਸ ਵੋਲਟੇਜ ਪਲਸਰ
সম্পৰ্কৰ পিছৰ,ਪੋਸਟ-ਰਿਸ਼ਤਾ
ৰিইম্বৰ্চেমেণ্ট,ਅਦਾਇਗੀ
এন্টি ভল্টেজ,ਵਿਰੋਧੀ ਵੋਲਟੇਜ
পশ্চাৎ বিক্ষিপ্ততা,ਪਿਛਲਾ ਖਿੰਡਾ
অন্তৰ্স্থলীৰ তৰংগ,ਵਿਚਕਾਰਲੀ ਲਹਿਰ
ইনচুলেটৰ,ਇੰਸੂਲੇਟਰ
পেৰাচুট জাম্প,ਪੈਰਾਸ਼ੂਟ ਛਾਲ
উত্তাপন কৰা,ਹੀਟਿੰਗ
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
বেলেন্সাৰ,ਸੰਤੁਲਨ
ভাৰসাম্যতা বজাই ৰখা,ਸੰਤੁਲਨ
গ্ল&#39;বুল,ਗਲੋਬਿਊਲ
"বেলিষ্টিক, বেলিষ্টিক","ਬੈਲਿਸਟਿਕ, ਬੈਲਿਸਟਿਕ"
"প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ","ਪ੍ਰੋਜੈਕਸ਼ਨ ਗੈਲਵੈਨੋਮੀਟਰ, ਪ੍ਰੋਜੈਕਸ਼ਨ ਗੈਲਵੈਨੋਮੀਟਰ"
মিছাইল,ਮਿਜ਼ਾਈਲ
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
প্ৰক্ষেপণ,ਪ੍ਰੋਜੈਕਸ਼ਨ
মুক্ত ট্ৰেজেক্টৰী,ਮੁਫਤ ਟ੍ਰੈਜੈਕਟਰੀ
"বেলুন, বেলুন","ਗੁਬਾਰਾ, ਗੁਬਾਰਾ"
