Odiya,Assamese
ଆଡର୍,adder
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","যোগফল, যোগ, যোগফল (c.), যোগ (v.)"
ଯୋଗର ସୂତ୍ର,যোগৰ সূত্ৰ
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,জটিল সংখ্যাৰ যোগফল
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,ফলনৰ যোগফল
ମାଟ୍ରିକ୍ସର ରାଶି,মেট্ৰিক্সৰ যোগফল
ବହୁଜନର ସମଷ୍ଟି |,বহুপদৰ যোগফল
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,সম্ভাৱনাৰ যোগফল
ଭେକ୍ଟରର ରାଶି,ভেক্টৰৰ যোগফল
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,","যোগ উপপাদ্য, বেৰী তত্ত্ব"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,যোগকৰণ গোট
ଯୋଗୀ ଓଲଟା |,যোগকৰণৰ বিপৰীত
ଯୋଗନୀୟତା |,যোগযোগ্যতা
ଯୋଗନୀୟତା |,যোগযোগ্যতা
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,সংলগ্নতা মেট্ৰিক্স
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","কাষৰীয়া, কাষৰীয়া, কাষৰীয়া"
ସଂଲଗ୍ନ କୋଣ,কাষৰীয়া কোণ
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,কাষৰীয়া শিখৰ
ସହଯୋଗ କରିବାକୁ,to associate
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",সংযুক্ত আবৃত
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,সাধাৰণ নিৰ্ণায়ক
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,সংযুক্ত অৱভেদ্য সমীকৰণ
ସଂଲଗ୍ନ ସମୀକରଣ,সংলগ্ন সমীকৰণ
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,মেট্ৰিক্স সহাৱস্থান
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ଗ୍ରହଣୀୟ ଅନୁମାନ,গ্ৰহণযোগ্য অনুমান
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,বায়ুগতিবিদ্যা বল
ଏରୋଡାଇନାମିକ୍ସ |,বায়ুগতিবিদ্যা
ଏକମାତ୍ର ଜ୍ୟାମିତି |,সমজাতীয় জ্যামিতি
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,সমজাতীয় মেপিং
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,সমজাতীয় ৰূপান্তৰ
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,এগ্ৰিগেট ভেৰিয়েবল
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |","বীজযুক্ত বন্ধ, বীজযুক্ত"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,বীজগণিতীয় সমীকৰণ
ବୀଜ ବର୍ଣ୍ଣନା,বীজগণিতীয় প্ৰকাশ
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,বীজগণিতীয় একাকাৰীতা
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,বীজগণিতীয় ফলন
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,বীজগণিতীয় জ্যামিতি
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,বীজগণিতীয় বহুত্ব
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,বীজগণিতীয় ব্যৱস্থা
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,সকলো-পূৰ্ণসংখ্যা সমস্যা
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",নিযুক্তিৰ সমস্যা watt প্ৰশ্ন
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,বৰ্ণানুক্ৰমিক সংকেত
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,বৰ্ণানুক্ৰমিক আখৰ
ବିକଳ୍ପ କୋଣ,বিকল্প কোণ
"ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ,",বিকল্প সমজাতীয় বিকল্প ৰূপ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ |,বিকল্প গোট
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,বিকল্প মেট্ৰিক্স
ବିକଳ୍ପ କ୍ରମ |,বিকল্প শৃংখলা
ବିକଳ୍ପ ଅନୁମାନ,বিকল্প অনুমান
ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |,বিকল্প অনুকূল
ବିକଳ୍ପ ଫଳାଫଳ |,বিকল্প ফলাফল
analog-digit କନଭର୍ଟର |,এনালগ-ডিজিট ৰূপান্তৰক
"ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର,",এনালগ কম্পিউটাৰ
ବିଶ୍ଳେଷଣ |,বিশ্লেষণ
କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |,সহাৱস্থান বিশ্লেষণ
ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |,গণনা-তথ্য বিশ্লেষণ
ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |,ভ্যাৰিয়েন্স বিশ্লেষণ
ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |,বিশ্লেষণাত্মক জ্যামিতি
ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ,বিশ্লেষণাত্মক কাৰ্য্য
କୋଣ,কোণ
ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |,স্পৰ্শক কোণ
ବିଘ୍ନ କୋଣ |,বিক্ষেপণ কোণ
ଉଦାସୀନତା କୋଣ,ডিপ্ৰেছন এংগেল
ବିଘ୍ନ କୋଣ |,বিচ্যুতি কোণ
ବିଭାଜନ କୋଣ |,বিবৰ্তন কোণ
ଉଚ୍ଚତା କୋଣ,উচ্চতা কোণ
ଘଟଣାର କୋଣ,প্ৰাদুৰ্ভাৱৰ কোণ
ପ୍ରୋଜେକ୍ଟର କୋଣ,প্ৰক্ষেপণৰ কোণ
ପ୍ରତିଫଳନ କୋଣ,প্ৰতিফলনৰ কোণ
ପ୍ରତିଫଳନ କୋଣ,বিবৰ্তনৰ কোণ
ଘୂର୍ଣ୍ଣନ କୋଣ,ঘূৰ্ণন কোণ
ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |,প্ৰতিফলনৰ নিৰপেক্ষ কোণ
କୋଣାର୍କ ତ୍ୱରଣ |,কৌণিক ত্বৰণ
କୋଣାର୍କ ବେଗ |,কৌণিক বেগ
କୋଣାର୍କ ଗତି,কৌণিক গতি
କୋଣାର୍କ ବେଗ |,কৌণিক বেগ
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,ৰিং ফিংগাৰ
ଉତ୍ତର,উত্তৰদিশ
କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |,কাউণ্টাৰ ডেৰাইভেটিভ
ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,সমমিতি ফলন
"ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |","আবৃত, প্ৰযোজ্য, প্ৰযোজ্য"
"ଆବେଦନ ପ୍ରୟୋଗ,",আবেদন আবেদন
ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,প্ৰয়োগ কৰা জ্যামিতি
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,প্ৰয়োগ কৰা গণিত
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,প্ৰয়োগ কৰা পৰিসংখ্যা
"ପ୍ରାୟ, ପ୍ରାୟ","আনুমানিক, আনুমানিক"
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,প্ৰায় অবিৰত ফলন
"ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |","মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি"
ଆନୁମାନିକ ସମାଧାନ,আনুমানিক সমাধান
ଆନୁମାନିକ ସମସ୍ୟା,আনুমানিক সমস্যা
ଆନୁମାନିକ ସମ୍ପତ୍ତି,আনুমানিক বৈশিষ্ট্য
ଦକ୍ଷତା ପରୀକ୍ଷା,যোগ্যতা পৰীক্ষা
ଆର୍ଗନ୍ ଚିତ୍ର,আৰ্গন ডায়েগ্ৰাম
ସ୍ବେଚ୍ଛାକୃତ,স্বেচ্ছামূলক
"ଅନିୟମିତ, ଅନିୟମିତ |","random, যাদৃচ্ছিক"
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,ইচ্ছাকৃত ধ্ৰুৱক
ମାଗଣା ଉପାଦାନ |,মুক্ত মৌল
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,ইচ্ছাকৃত বিন্দু
ଆର୍କିମିଡେଙ୍କ ନିୟମ |,আৰ্কিমিডিছৰ নিয়ম
ଆର୍କିମିଡିସ୍ ନିୟମ |,আৰ্কিমিডিছৰ নিয়ম
"ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |","চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য"
ବୃତ୍ତାକାର,বৃত্ত চাপ
ଓଲଟା ସାଇନ ବଣ୍ଟନ |,বিপৰীত চাইন বিতৰণ
ଓଲଟା ସାଇନ ରୂପାନ୍ତର |,বিপৰীত চাইন ৰূপান্তৰ
"କ୍ଷେତ୍ର, କ୍ଷେତ୍ର","এলেকা, এলেকা"
ଆ regional ୍ଚଳିକ ସଂରଚନା,আঞ্চলিক সংৰূপ
ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |,এটা জটিল সংখ্যাৰ কোণ
ଗାଣିତିକ ଅର୍ଥ |,গাণিতিক গড়
ଡିଜିଟାଲ୍ ଅପରେସନ୍,ডিজিটেল অপাৰেচন
ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |,ডিজিটেল ইউনিট
"ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା","কনফিগাৰেচন, ব্যৱস্থা"
"ଆରେ, ଆରେ","এৰে, এৰে"
କୃତ୍ରିମ ଉପଗ୍ରହ |,কৃত্ৰিম উপগ্ৰহ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,কৃত্ৰিম চলক
ଚ imb ିବାକୁ,বগাবলৈ
ଆରୋହଣ,আৰোহী
ତୀବ୍ରତାର କ୍ରମ,মাত্ৰাৰ আৰোহী ক্ৰম
ଆରୋହଣ ଗ୍ରେଡ୍,আৰোহী গ্ৰেড
ଏକତ୍ରକାରୀ ଭାଷା |,এছেম্বলাৰ ভাষা
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ,",নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন
ସହଯୋଗୀ ନିୟମ |,সহযোগী নিয়ম
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,এছ&#39;চিয়েটিভ অপাৰেচন
ସାଥୀତା,সংগীত্ব
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ধৰি লোৱা গড়
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
"କଳ୍ପିତ, ସ୍ୱୀକାର,","কল্পনা কৰা, স্বীকাৰ কৰা"
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,জ্যোতিষ বিজ্ঞান
"ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର,",মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *,জ্যোতিৰ্বিজ্ঞানী*
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,জ্যোতিৰ্বিজ্ঞান
ଅସୀମିତ ବକ୍ର,অসমতাপূৰ্ণ বক্ৰ
ଅସୀମତା |,বিষমতা
ଅସ୍ମିପଟୋଟିକ୍ |,এছিম্পটটিক
ବୃଦ୍ଧି,গুৰুতৰ কৰি তোলা
ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |,প্ৰগতিশীল অনুমানক
ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |,ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক
ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |,ৰেট্ৰ&#39;গ্ৰেড আচৰণ
ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,আক্ৰমণাত্মক বিতৰণ ফলন
ଉପର ବିସ୍ତାର,ওপৰলৈ বিয়পি পৰা
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,বায়ুমণ্ডলীয় চাপ
"ଅନିୟମିତ ଭାବରେ,",যাদৃচ্ছিকভাৱে
ସମ୍ପତ୍ତି *,গুণ*
ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |,বৈশিষ্ট্য-নমুনা-ব্যৱস্থা
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,বৰ্ধিত মেট্ৰিক্স
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,স্ব-সম্বন্ধ সহগ
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,স্বয়ংসম্বন্ধ কাৰ্য্য
କୋଭାରିଆନ୍ସ |,সহাৱস্থান
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,স্বয়ংক্ৰিয় কম্পিউটাৰ
ଆତ୍ମସମ୍ମାନ,অটোৰিগ্ৰেছন
ସହାୟକ ସମୀକରଣ,সহায়ক সমীকৰণ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର),গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ)
"axiom, axiom","স্বতন্ত্ৰ, স্বতন্ত্ৰ"
axiom ପଦ୍ଧତି |,স্বতন্ত্ৰ পদ্ধতি
ସମ୍ଭାବ୍ୟତା axiom |,সম্ভাৱনা স্বতন্ত্ৰতা
ଅକ୍ଷ,অক্ষ
ଭୁଜାକ୍,ভূজাক্ষ
ପୃଥିବୀ ଅକ୍ଷ,পৃথিৱীৰ অক্ষ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,ঘূৰ্ণন অক্ষ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,ঘূৰ্ণন অক্ষ
ସ୍ପିନ୍ ଅକ୍ଷ,স্পিন অক্ষ
ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ,পোষ্ট সলনি কৰা
ପରେ,পাছত
ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |,পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ
"ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,সুষম ডিজাইন
ତୂଳନା ପତ୍ର,বেলেন্স শ্বীট
କ୍ଷେପଣାସ୍ତ୍ର,মিছাইল
"ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
"ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |","স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত"
"ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
ମୂଳ କୋଣ,ভিত্তি কোণ
"ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |","লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি"
"ମ basic ଳିକ, ମ basic ଳିକ,","মূল, মৌলিক"
ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |,ভিত্তি সুসংহত সমাধান
ମୂଳ ସମାଧାନ |,ভিত্তি দ্ৰৱণ
ବେସ୍ ଭେରିଏବଲ୍ |,ভিত্তি চলক
ଆଧାର,ভেঁটি
ମୂଳ ଉପାଦାନ |,ভিত্তি উপাদান
ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,ভিত্তি মেট্ৰিক্স
ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,ভেক্টৰ স্থানৰ ভিত্তি
ଜନସଂଖ୍ୟା ଆଧାର |,উপজনসংখ্যাৰ ভিত্তিত
ଅସାଧୁ,অসাধু
bez-rule,bez-নিয়ম
ବେଜ୍-ଥିଓରେମ୍ |,bez- উপপাদ্য
bernoulli- ବଣ୍ଟନ |,bernoulli-বিতৰণ
ବର୍ନୁଲି ସଂଖ୍ୟା |,বাৰ্নৌলিৰ সংখ্যা
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,বাৰ্নৌলি সম্ভাৱনা ফলন
ବର୍ନୁଲି-ସମୀକରଣ |,বাৰ্নৌলি-সমীকৰণ
ବେରୀ କାର୍ଯ୍ୟ,জামুৰ কাৰ্য্য
ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |,শ্ৰেষ্ঠ আঠাযুক্ততা
ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |,শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা
ସର୍ବୋତ୍ତମ ସମାଧାନ |,উত্তম সমাধান
ସର୍ବୋତ୍ତମ ଟିପ୍ସ |,শ্ৰেষ্ঠ টিপছ
ବିଟା ବଣ୍ଟନ |,বিটা বিতৰণ
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","bias, পক্ষপাতিত্ব"
ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |,পক্ষপাতমূলক মূল্যায়ন
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,দ্বিপদ সমীকৰণ
ଏକକ କଭର |,একক কভাৰ
ଏକକ କଭର ମାନଚିତ୍ର,একক কভাৰ মেপ
ଏକକ କଭର ମ୍ୟାପିଂ |,একক কভাৰ মেপিং
ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |,দ্বিঘাত দ্বিঘাত
ବିଲିନାର୍ ଫଙ୍କସନ୍,দ্বিৰৈখিক ফলন
bilinear hermitian homogeneity |,দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা
"ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |","দ্বি-চলক, বাইনাৰী, দ্বৈত"
"ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
"ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |","বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক"
ବାଇନାରୀ ଏନକୋଡିଂ |,বাইনাৰী এনকোডিং
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,বাইনাৰী কম্পিউটাৰ
ବାଇନାରୀ ସଂଖ୍ୟା,বাইনাৰী সংখ্যা
ବାଇନାରୀ ଅପରେସନ୍ |,বাইনাৰী অপাৰেচন
ବାଇନାରୀ ପଦ୍ଧତି |,বাইনাৰী পদ্ধতি
ବାଇନାରୀ ଭେରିଏବଲ୍ |,বাইনাৰী চলক
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,দ্বিপদ সহগ
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,দ্বিপদ বিতৰণ
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,দ্বিপদ সমীকৰণ
ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |,দ্বিপদ ভ্যাৰিয়েন্স
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,দ্বিপদ অভিব্যক্তি
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,দ্বিপদ ৰেণ্ডম চলক
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,দ্বিপদ উপপাদ্য
"ଅଧା, ବିଫୁର୍କେସନ୍ |","আধা, bifurcation"
"ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |","bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি"
ଅଧା ବିସେକ୍ଟର |,হাফ বাইছেক্টৰ
ଦ୍ୱିପାକ୍ଷିକ |,"দ্বিপদ, দ্বৈত"
"ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |","ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক"
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |,দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,দ্বিচলকীয় সম্পৰ্ক সহগ
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,দ্বিচলকীয় বিতৰণ
ସାଧାରଣ ବଣ୍ଟନ,দ্বিচলকীয় স্বাভাৱিক-বিতৰণ
ବିଭେକ୍ଟର୍ |,বাইভেক্টৰ
ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |,বোল্টমেন সমীকৰণ
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *,বুলিয়ান বীজগণিত*
ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,বস-আইনষ্টাইন পৰিসংখ্যা
ସୀମିତତା ପ୍ରତିବନ୍ଧକ |,সীমাবদ্ধতা নিষেধাজ্ঞা
ସୀମା ସ୍ତର |,সীমা স্তৰ
ସୀମା ରେଖା |,সীমাৰেখা
ସୀମା ମୂଲ୍ୟ,সীমা মূল্য
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,সীমা মূল্যৰ সমস্যা
"ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ,",সীমাবদ্ধ ফলন সীমাবদ্ধ ফল
