Assamese,Punjabi
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
ৰোগৰ বিজ্ঞান,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
বনানীকৰণ,ਜੰਗਲਾਤ
১.আন্দোলন ২.অস্থিৰতা,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
আগমাৰ্ক,ਐਗਮਾਰਕ
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
কৃষি ক্লিনিক,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
কৃষি বিপণন,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
কৃষি প্ৰযুক্তি,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
কৃষি বনজ,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
কৃষি জৈৱ বৈচিত্ৰ্য,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
কৃষি জৈৱিক দোষ,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
কৃষি জীৱবিজ্ঞান,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
কৃষি-জলবায়ু বৈচিত্ৰ্য,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
কৃষি জলবায়ু মণ্ডল সৃষ্টি,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
কৃষি বনানীকৰণ,ਖੇਤੀ ਜੰਗਲਾਤ
কৃষি বিজ্ঞান,ਖੇਤੀ ਵਿਗਿਆਨ
কৃষিভিত্তিক,ਖੇਤੀ ਵਿਗਿਆਨਕ
কৃষি পশুপালন,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
শস্য প্ৰক্ৰিয়াকৰণ,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
ঘাঁহ বিজ্ঞান,ਘਾਹ ਵਿਗਿਆਨ
শস্যৰ প্ৰকাৰ,ਫਸਲ ਦੀ ਕਿਸਮ
এপিফাইট,epiphyte
আইকিওচি মাটি,aikiochi ਮਿੱਟੀ
ৰঙৰ অন্ধতা,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
আলফিছল,alfisol
শেলাই,ਐਲਗੀ
শেলাইৰ ৰোগ,ਐਲਗੀ ਰੋਗ
ক্ষাৰকীয় পানী,ਖਾਰੀ ਪਾਣੀ
ক্ষাৰকীয়,ਖਾਰੀ
বিকল্প,ਵਿਕਲਪਕ
allelo ৰসায়ন বিজ্ঞান,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
এলিল,ਐਲੀਲ
এলেল&#39;পেথী,ਐਲੇਲੋਪੈਥੀ
ভেঠী শস্য,ਵੇਥੀ ਦੀ ਫਸਲ
consummation,ਸੰਪੂਰਨਤਾ
নিষেচন কৰা,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
multiploidy,multiploidy
১/ পেৰাজাইগোচিটি,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
বিকল্প ভূমি ব্যৱহাৰ,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
পৰিৱেশ,ਵਾਤਾਵਰਣ
সংস্কাৰক,ਸੁਧਾਰਕ
মাইট’ছিছ,ਮਾਈਟੋਸਿਸ
আমিনন,ਆਮੀਨ
এমোনিয়ন,ਐਮੋਨੀਅਨ
amniferous,amniferous
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
উভচৰ মিশ্ৰণ,amphibian ਮਿਸ਼ਰਣ
এম্ফোটেৰিক,ਐਮਫੋਟੇਰਿਕ
ষ্টকপাইলিং,ਭੰਡਾਰ
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
হেপ্লয়ড,ਹੈਪਲੋਇਡ
কৌণিক ৰোপণ,ਕੋਣੀ ਲਾਉਣਾ
পশুপালন,ਪਸ਼ੂ ਪਾਲਣ
পশুৰ মল-মূত্ৰ,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
জীৱন্ত শক্তি,ਜੀਵਤ ਊਰਜਾ
অস্বাভাৱিক,ਅਸਧਾਰਨ
এবছৰীয়া উদ্ভিদ,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
বছেৰেকীয়া,ਸਾਲਾਨਾ
1. আনন্দ 2. উজ্জ্বলতা,1. ਅਨੰਦ 2. ਚਮਕ
এন্থ্ৰেক্স,ਐਂਥ੍ਰੈਕਸ
মানৱজনিত কাৰকসমূহ,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
জীয়াই থকা,ਬਚਾਅ
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
repulsive,ਘਿਣਾਉਣੀ
এন্টিঅক্সিডেন্ট,ਐਂਟੀਆਕਸੀਡੈਂਟ
এন্টিটক্সিন,ਐਂਟੀਟੌਕਸਿਨ
ৰিং ফিংগাৰ,ਰਿੰਗ ਉਂਗਲ
১.এফিড ২.মহু ৩.চেপা,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
শীৰ্ষ কলি,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
শীৰ্ষ ফলপ্ৰসূতা,ਸਿਖਰ ਪ੍ਰਭਾਵ
মৌমাখি ৰখা,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
অযৌনতা,ਅਲੌਕਿਕਤਾ
এপ&#39;প্টোছিছ,apoptosis
appendages,ਜੋੜ
appetizer,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
প্ৰয়োগ কৰা হৈছে,ਲਾਗੂ ਕੀਤਾ
জলজ অপতৃণ,ਜਲਜੀ ਬੂਟੀ
১.গছ ২.গছৰ বাসিন্দা,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
শাখা-প্ৰশাখা,ਬ੍ਰਾਂਚਿੰਗ
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
জ&#39;ন নম্বৰ,ਜ਼ੋਨ ਨੰਬਰ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ਖੇਤਰ 2. ਖੇਤਰ
শুকান পৰিৱেশ তন্ত্ৰ,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
কুটিলডন,cotyledon
সৌৰভ,ਸੌਰਭ
সুগন্ধিযুক্ত উদ্ভিদ,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
সুগন্ধি চাউল,ਸੁਗੰਧਿਤ ਚੌਲ
ইক্ষু পুষ্পন,ਇਕੁ ਪੁਸ਼ਪੰ ॥
বীজাণুমুক্ত,ਅਸੈਪਟਿਕ
১.এচেপ্টিক ২.এচেপ্টিক,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
অযৌন প্ৰজনন,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
আকাৰ,ਆਕਾਰ
সম্পত্তি,ਸੰਪਤੀ
১/ আত্মসাৎ ২. আত্মসাৎ,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
১.সংঘ ২.সংঘ,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. স্তম্ভ 2. astringency,1. ਕਾਲਮ 2. astringency
হেটেৰ&#39;জাইগোচিটি,heterozygosity
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
কণা,ਕਣ
1. অনিশ্চয়তা 2. বিকলতা,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
self pairing,ਸਵੈ ਜੋੜਾ
অটোলাইছিছ,autolysis
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
self multiplexed,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
অক্সিন,auxin
১/ জোকাৰি যোৱা ২. টোড,1. ਹਿਲਾ 2. ਟੌਡ
পেনাল ভাইৰাছ,ਸਜ਼ਾ ਵਾਇਰਸ
১.বেচিলাছ ২.বেচিলাছ,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
বাগাছ,ਬੈਗਾਸ
বেলেন্স শ্বীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
সুষম সাৰৰ ব্যৱহাৰ,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
বাৰ গ্ৰাফ,ਬਾਰ ਗ੍ਰਾਫ
বাকলি,ਸੱਕ
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. ভিত্তি 2. ভিত্তি 3. কুপাং,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
১.তালা ২.বেচিন,1. ਤਾਲਾ 2. ਬੇਸਿਨ
তালাবিছাৰী,ਤਾਲਾਬੀਸਰੀ
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
উপসাগৰীয় বাৰিষা,ਖਾੜੀ ਮਾਨਸੂਨ
ফলৰ উদ্ভিদ,ਫਲ ਪੌਦਾ
বিছনা,ਬਿਸਤਰਾ
বিচনা উদ্ভিদ,ਬੈੱਡ ਪੌਦਾ
বিচনা চাদৰ,ਬਿਸਤਰਾ
বুটমাহৰ গুড়,ਚੁਕੰਦਰ ਗੁੜ
bellows,ਘੰਟੀ
১.ষ্ট্ৰিপ ২.ভূখণ্ড,1. ਪੱਟੀ 2. ਭੂਮੀ
লাভ-খৰচ বিশ্লেষণ,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
আকাংক্ষিত (Sampling),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
দ্বিবাৰ্ষিক উদ্ভিদ,ਦੋ-ਸਾਲਾ ਪੌਦੇ
দ্বিপদ,ਬਾਇਨੋਮੀਅਲ
বায়&#39;ফেক্টৰ,ਬਾਇਓਫੈਕਟਰ
জৈৱিক জলবায়ু,ਜੈਵਿਕ ਜਲਵਾਯੂ
জৈৱ শক্তি,ਬਾਇਓ ਊਰਜਾ
প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
জৈৱমণ্ডল,ਜੀਵ-ਮੰਡਲ
জৈৱিক,ਬਾਇਓਟਿਕ
প্ৰাণীজগত,ਜੀਵ-ਜੰਤੂ
ডিভিলিংগি,ਡਿਵਿਲਿੰਗੀ
ধাৱলান,ਧਵਲਨ
১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
মিশ্ৰণ,ਮਿਲਾਉਣਾ
১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.,1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
নীলা বিপ্লৱ,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
প্লেনাৰ হিটিং চেম্বাৰ,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
সমতল উত্তাপন প্ৰযুক্তি,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
ব্ৰাণ,ਬਰੈਨ
শাখা-প্ৰশাখা,ਬ੍ਰਾਂਚਿੰਗ
১.ডাল ২.উপশাখা,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
বংশবৃদ্ধি,ਨਸਲ
প্ৰজনন,ਪ੍ਰਜਨਨ
আগতীয়াকৈ অংকুৰণৰ চিকিৎসা,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
১. পোৱালি ২. কণী ৩. ভ্ৰূণ,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
budding,ਉਭਰਦਾ
বাজেট,ਬਜਟ
১.এম্ফোটেৰিক ২.বাফাৰ,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
মিঠা আলু,ਮਿਠਾ ਆਲੂ
বান্ট (ৰোগ),ਬੰਟ (ਰੋਗ)
1. উপ-উৎপাদন 2. উপ-উৎপাদন,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
তেলৰ কেক,ਤੇਲ ਕੇਕ
১.চূণ ২.কেলচিয়াম,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
calcion,ਕੈਲਸੀਓਨ
ফছফেট আঁতৰোৱা,ਫਾਸਫੇਟ ਹਟਾਉਣ
১.কিনাটা ২.কালাটা,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
১.কেলাছ ২.ৰশ্মি,1. ਕੈਲਸ 2. ਕਿਰਨ
1. ফুলৰ গুটি 2. calyx,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
বাহ্যিক শেষ,ਬਾਹਰੀ ਅੰਤ
এধা,ਏਡਾ
কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
কেনিং,ਕੈਨਿੰਗ
আকাশ,ਅਸਮਾਨ
বিত্ত,ਵਿੱਤ
পৰগাছা (ডুমুৰৰ),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
১.কেপচুল ২.কেপচুল ৩.কেপচুল,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
কাৰ্বনাইজড,ਕਾਰਬਨਾਈਜ਼ਡ
কাৰ্বনেন,ਕਾਰਬਨਾਨ
carapace,carapace
এপাত হাতৰ অলংকাৰ,ਬਰੇਸਲੈੱਟ
1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
কেটাবলিজম,catabolism
প্ৰৰোচনা,ਪ੍ਰੇਰਣਾ
1. পোক 2. পোক,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
গ ঘ. এন. ক. সংগ্ৰহ,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
পৰিসৰ,ਸੀਮਾ
১.কোষ ২.কোষ,1. ਸੈੱਲ 2. ਸੈੱਲ
কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. বিন্দু 2. ফোকাচ,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
কেন্দ্ৰচালিতকৰণ,centrifugation
কেন্দ্ৰচালিত কৰক,ਸੈਂਟਰਿਫਿਊਜ
তাৰকা কেন্দ্ৰ,ਸਟਾਰ ਸੈਂਟਰ
এপিজেনেটিক,epigenetic
কেন্দ্ৰজা,ਕੇਂਦਰਜਾ
loom,ਲੂਮ
১/ শস্যৰ বীজ ২. ছিৰিয়েল,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
প্ৰমাণিত বীজ,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
১.নিভাগ ২.কৈলাজা,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
চাইম&#39;গ্ৰাফী,ਕਾਇਮੋਗ੍ਰਾਫੀ
১.কিয়াজমা ২.ব্যস্ত,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
ছুপাৰকুলিং ঘন্টা,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
হিম ক্ষতি,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
১/ ভিচিৰোটাকি ২.চিমেৰা,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
সেউজীয়া দাইল,ਹਰਾ ਦਲੀਆ
১.পাতল ২.সেউজীয়া,1. ਪੱਤੇ 2. ਹਰੇ
চাইন&#39;ছিছ,ਸਾਇਨੋਸਿਸ
জৈৱিক বিতৰণ বিজ্ঞান,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
ক্ৰ&#39;মেটিন,chromatin
ক্ৰ&#39;মাট&#39;গ্ৰাফী,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ক্ৰ&#39;মেটিনেচন,chromatinlation
অলিন্দৰ বিন্দু,ਅਟਲ ਬਿੰਦੂ
ক্ৰ&#39;মেট&#39;জেনেছিছ,chromatogenesis
১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
১.ক্ৰম’জম ২.ক্ৰম’জম,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
ট্যাগ এর সাথে ছবি &#39;citrange&#39;:,citrange
পতন উৎসৱ,ਪਤਝੜ ਤਿਉਹਾਰ
শ্ৰেণীবিভাজন,ਵਰਗੀਕਰਨ
১.মাটি ২.মাটি,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
স্থায়ী পৰগাছা,ਲਗਾਤਾਰ ਪਰਾਗਣ
ক্ৰুচিফেৰাছ ফল,cruciferous ਫਲ
জলবায়ু,ਜਲਵਾਯੂ
জলবায়ুবিজ্ঞান,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
shear,ਕੱਟਣਾ
গোট (মাটি),ਗੰਢ (ਮਿੱਟੀ)
ক্ল&#39;ন,ਕਲੋਨ
১.ডাৱৰ ২.ডাৱৰ,1. ਬੱਦਲ 2. ਬੱਦਲ
ক্লাম্প,ਝੁੰਡ
মুঠি,ਝੁੰਡ
১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
১.আৱৰণ ২.চামৰাৰ টুকুৰা,1. ਕਵਰ 2. ਚਮੜਾ
কয়া,ਕੋਯਾ
১/ কো-এনজাইম ২.কো-এনজাইম,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
সংহতি,ਤਾਲਮੇਲ
১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
মুলংকুৰ চোলা,ਮੁਲੰਕੁਰ ਚੋਲਾ
,
কলয়ড (মাটি),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
১.স্তম্ভ ২.কলমেলা,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
কমিউনিয়ন,ਸਾਂਝ
