Bengali,Telugu
অভিযোগ,నిందించండి
অভিযুক্ত,ఆరోపణలు
অর্জন,సాధన
স্বীকৃতি,గుర్తింపు
স্বীকৃতি বকেয়া,రసీదు గడువు
পরিচিত,పరిచయము
অধিগ্রহণ,సముపార్జన
খালাস,సముపార్జన
আইন,చట్టం
অভিনয় ভাতা,నటన భత్యం
কর্ম,చర్య
অ্যাকশন প্ল্যান,కార్య ప్రణాళిక
সক্রিয়,క్రియాశీల
সক্রিয়ভাবে,చురుకుగా
কর্মী,కార్యకర్త
Of শ্বরের আইন,దైవఘటన
অসদাচরণের আইন,దుష్ప్రవర్తన చర్య
কমিশন ও বাদ দেওয়া আইন,కమీషన్ మరియు కమీషన్
আসল,అసలు
বাস্তব,వాస్తవాలు
অভিযোজন,అనుసరణ
সংযোজন,అదనంగా
অতিরিক্ত চার্জ,అదనపు ఛార్జ్
অতিরিক্ত তহবিল,అదనపు ఫండ్
অতিরিক্ত অনুদান,అదనపు గ్రాంట్
অতিরিক্ত তথ্য,అదనపు సమాచారం
অতিরিক্ত বেতন,అదనపు వేతనం
সংযোজন এবং পরিবর্তন,అదనంగా మరియు మార్పు
ঠিকানা,చిరునామా
ঠিকানা,చిరునామా
স্বাগত ঠিকানা,స్వాగత చిరునామా
পর্যাপ্ত,తగినంత
মেনে চলুন,కట్టుబడి
অ্যাডহক,తాత్కాలిక హాక్
অ্যাডহক দাবি,తాత్కాలిక దావా
তদর্থক কমিটি,తాత్కాలిక కమిటీ
অ্যাডহক বৃদ্ধি,తాత్కాలిక పెరుగుదల
অ্যাডহক পেমেন্ট,తాత్కాలిక చెల్లింపు
সংলগ্ন,ప్రక్కనే
সংলগ্ন (= সংহত),ప్రక్కనే (= పరస్పర)
স্থগিতাদেশ,వాయిదా
স্থগিতের গতি,వాయిదా చలన
রায়,అనుబంధం
বিচারক,తీర్పు
বিচার,తీర్పు
বিচারক,న్యాయాధికారి
সামঞ্জস্য,సర్దుబాటు
প্রশাসনিক,నిర్వహించండి
শপথ পরিচালনা করুন,ప్రమాణం చేయండి
প্রশাসন,పరిపాలన
বিচার প্রশাসন,న్యాయం యొక్క పరిపాలన
প্রশাসনিক,పరిపాలనా
প্রশাসনিক ক্রিয়া,పరిపాలనా చర్య
প্রশাসনিক মূল্যায়ন,అడ్మినిస్ట్రేటివ్ అప్రైసల్
প্রশাসনিক অনুমোদন,పరిపాలనా ఆమోదం
প্রশাসনিক কর্তৃপক্ষ,పరిపాలనా అధికారం
প্রশাসনিক নিয়ন্ত্রণ,పరిపాలనా నియంత్రణ
প্রশাসনিক সিদ্ধান্ত,పరిపాలనా నిర్ణయం
প্রশাসনিক দপ্তর,పరిపాలనా విభాగం
প্রশাসনিক মাথা,అడ్మినిస్ట్రేటివ్ హెడ్
প্রশাসনিক সদর দফতর,పరిపాలనా ప్రధాన కార్యాలయం
প্রশাসনিক ব্যবস্থা,పరిపాలనా చర్యలు
প্রশাসনিক শক্তি,పరిపాలనా శక్తి
প্রশাসনিক অনুমোদন,పరిపాలనా అనుమతి
প্রশাসনিক কৌশল,పరిపాలనా సాంకేతికత
প্রশাসনিক ট্রাইব্যুনাল,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
প্রবেশযোগ্যতা,ప్రవేశం
স্বীকৃত ব্যয়,ఆమోదయోగ్యమైన వ్యయం
স্বীকার করুন,అంగీకరించండి
ভর্তি কার্ড,అడ్మిట్ కార్డ్
ভর্তি,అంగీకరించారు
উপদেশ,సలహా
গ্রহণ,దత్తత తీసుకున్న వ్యక్తి
গ্রহণকারী,దత్తత
গ্রহণ,దత్తత
প্রাপ্তবয়স্ক,వయోజన
ভেজাল,కల్తీ
ব্যভিচার,వ్యభిచారం
প্রাপ্তবয়স্ক ভোটাধিকার,వయోజన ఫ్రాంచైజ్
বিজ্ঞাপন ভ্যালোরেম ডিউটি,ప్రకటన విలువ
অগ্রিম,అడ్వాన్స్
আগাম বুকিং,అడ్వాన్స్ బుకింగ్
অগ্রিম অনুলিপি,ముందస్తు కాపీ
অগ্রিম বৃদ্ধি,ముందస్తు పెరుగుదల
অগ্রিম প্রদান,ముందస్తు చెల్లింపు
প্রতিকূল এন্ট্রি,ప్రతికూల ప్రవేశం
বিরূপ মন্তব্য,ప్రతికూల వ్యాఖ్యలు
প্রতিকূল প্রতিবেদন,ప్రతికూల నివేదిక
বিজ্ঞাপন,ప్రకటన
পরামর্শ,సలహా
অর্থ প্রদানের পরামর্শ,చెల్లింపు సలహా
উপদেষ্টা কমিটি,సలహా సమితి
উপদেষ্টা পরিষদ,సలహా మండలి
অ্যাডভোকেট,న్యాయవాది
বিষয়,వ్యవహారాలు
হলফনামা,అఫిడవిట్
অধিভুক্তি,అనుబంధం
নিশ্চিতকরণ,ధృవీకరణ
ইতিবাচক,ధృవీకరించేది
সামর্থ্য,స్థోమత
উপরোক্ত,పైన పేర్కొన్నది
নতুন করে,అఫ్రెష్
বিরুদ্ধে,వ్యతిరేకంగా
বয়স,వయస్సు
বয়স শংসাপত্র,వయస్సు ధృవీకరణ పత్రం
ভোটাধিকার জন্য বয়স,ఓటు హక్కు కోసం వయస్సు
বয়স সীমা,వయో పరిమితి
এজেন্সি,ఏజెన్సీ
আলোচ্যসূচি,ఎజెండా
অবসর বয়স,పదవీ విరమణ వయస్సు
তদারকির বয়স,పర్యవేక్షణ వయస్సు
সমষ্টি,సమూహనం
আক্রান্ত,బాధపడ్డాడు
আন্দোলন,ఆందోళన
এজিএম,AGM
চুক্তি,ఒప్పందం
চুক্তি ফর্ম,ఒప్పంద ఫారం
কৃষি,వ్యవసాయం
শস্য উৎপাদন কেন্দ্র,అగ్రో-ఇండస్ట్రీ
সাহায্য,సహాయం
অ্যালার্ম,అలారం
সতর্কতা,అప్రమత్తత
ওরফে,అలియాస్
অভিযোগ,ఆరోపణ
আনুগত্য,విధేయత
জোট,కూటమి
মিত্র পরিষেবা,అనుబంధ సేవలు
সমস্ত অন্তর্ভুক্ত ব্যয়,అన్ని కలుపుకొని ఖర్చు
সমস্ত ভারত পরিষেবা,ఆల్ ఇండియా సర్వీసెస్
বরাদ্দ,కేటాయింపు
বরাদ্দ,కేటాయింపు
বরাদ্দ চিঠি,కేటాయింపు లేఖ
বরাদ্দ,కేటాయింపు
অনুমোদিত,అనుమతించదగినది
অনুমোদিত ব্যয়,అనుమతించదగిన ఖర్చులు
একটি আপিলের অনুমতি দিন,అప్పీల్‌ను అనుమతించండి
ভাতা,భత్యం
সমস্ত অধিকার সংরক্ষিত,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
বর্ণমালা অর্ডার,అక్షర క్రమం
বিক্ষোভ,వాగ్వాదం
বিকল্প,ప్రత్యామ్నాయ
বিকল্প,ప్రత్యామ్నాయం
সংমিশ্রণ,సమ్మేళనం
সংশোধিত খসড়া,సవరించిన చిత్తుప్రతి
সংশোধন,సవరణ
সুযোগ,సౌకర్యం
মায়াময়,స్నేహపూర్వక
গোলাবারুদ,మందుగుండు సామగ్రి
Debt ণের or ণদান,రుణ రుణమాఫీ
পরিমাণ,మొత్తం
পেনশন পরিমাণ,పెన్షన్ మొత్తం
সাদৃশ্য পোস্ট,సారూప్య పోస్ట్
বিশ্লেষণ,విశ్లేషణ
বিশ্লেষণাত্মক অধ্যয়ন,విశ్లేషణాత్మక అధ్యయనం
পূর্বপুরুষ,పూర్వీకుడు
আনুষঙ্গিক শিল্প,సహాయక పరిశ్రమ
শত্রুতা,శత్రుత్వం
সংযুক্তি,అనుబంధం
বার্ষিকী,వార్షికోత్సవం
ঘোষণা,ప్రకటన
বিরক্তি,కోపం
বার্ষিক আর্থিক বিবৃতি,వార్షిక ఆర్థిక ప్రకటన
বার্ষিক প্রতিবেদন,వార్షిక నివేదిక
বার্ষিকী,యాన్యుటీ
বেনামে,అనామక
বেনামে অভিযোগ,అనామక ఫిర్యాదు
উত্তরযোগ্যতা,జవాబుదారీతనం
উত্তরপত্র,జవాబు పత్రం
বিরোধী,విరోధి
পূর্বসূরি,పూర్వజన్మలు
প্রত্যাশিত ব্যয়,Bean హించిన ఖర్చు
প্রত্যাশিত আয়,Ntic హించిన ఆదాయం
অগ্রজ্ঞান,Ntic హించడం
প্রত্যাশিত জামিন,ముందస్తు బెయిల్
দুর্নীতি দমন ব্যবস্থা,అవినీతి నిరోధక కొలత
অ্যান্টি-ডাম্পিং,యాంటీ డంపింగ్
প্রাচীন,పురాతన
বর্ণবাদ,వర్ణవివక్ష
উদাসীনতা,ఉదాసీనత
অ্যাপেক্স বডি,అపెక్స్ బాడీ
ক্ষমা প্রার্থনা,క్షమాపణ
আবেদন,అప్పీల్
চেহারা,స్వరూపం
সন্তুষ্টি,సంతృప్తి
আপিল ট্রাইব্যুনাল,అప్పీలేట్ ట్రిబ్యునల్
পরিশিষ্ট,అపెండిక్స్
যন্ত্রপাতি,ఉపకరణం
প্রযোজ্য,వర్తిస్తుంది
প্রার্থী,దరఖాస్తుదారు
আবেদন,అప్లికేషన్
আবেদনপত্র,దరఖాస్తు ఫారం
প্রয়োগ,అనువర్తిత
প্রয়োগ করুন,వర్తించండి
নিয়োগ,నియామకం
কর্তৃপক্ষ নিয়োগ,నియమించే అధికారాన్ని
অ্যাপয়েন্টমেন্ট,నియామకం
নিয়োগপত্র,నియామక పత్రం
মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি,నియామకాల కమిటీ క్యాబినెట్
মজুরির অংশ,వేతనాల విభజన
মূল্যায়ন,అంచనా
মূল্যায়নকারী,మదింపుదారు
প্রশংসা,ప్రశంసతో
আশঙ্কা,దిగులు
শিক্ষানবিশ,అప్రెంటిస్
পদ্ধতির,విధానం
যথাযথ,తగినది
যথাযথ ব্যবস্থা,తగిన చర్య
উপযুক্ত মাথা,తగిన తల
বরাদ্দ,కేటాయింపు
অনুমোদন,ఆమోదం
আনুমানিক,సుమారు
বুদ্ধিমত্তার পরীক্ষা,ఆప్టిట్యూడ్ పరీక్ష
ইচ্ছামত,ఏకపక్ష
সালিশ,మధ్యవర్తిత్వం
সালিশ,మధ్యవర్తిత్వ
আরবিট্রেশন ট্রাইব্যুনাল,మధ్యవర్తిత్వ ట్రిబ్యునల్
সালিস,మధ్యవర్తి
আর্কিটেকচার,వాస్తుశిల్పం
সংরক্ষণাগার,ఆర్కైవ్స్
অঞ্চল,ప్రాంతం
অঞ্চল সদর দফতর,ఏరియా ప్రధాన కార్యాలయం
যুক্তি,వాదన
উত্থিত,తలెత్తండి
সশস্ত্র বাহিনী,సాయుధ దళాలు
ব্যবস্থা,అమరిక
বকেয়া,బకాయి
বকেয়া বিবৃতি,రాక ప్రకటన
আগমনের প্রতিবেদন,రాక నివేదిక
অহংকার,అహంకారం
আর্সেনাল,ఆర్సెనల్
নিবন্ধ,వ్యాసం
সমিতির নিবন্ধ,అసోసియేషన్ వ్యాసాలు
নিবন্ধ,వ్యాసాలు
উর্দ্ধক্রমানুসারে,ఆరోహణ క్రమం
নিরূপণ করা,నిర్ధారించడం
যেমনটি যেখানে,ఎక్కడ ఉందో
দিক,కారక
Aspersion,ఆస్పర్షన్
হত্যাকাণ্ড,హత్య
হামলা,దాడి
একত্রিত করা,సమీకరించటం
সমাবেশ,అసెంబ్లీ
সম্মতি,అస్సెంట్
জাহির করা,నొక్కి చెప్పండి
মূল্যায়নকারী,మదింపుదారుడు
মূল্যায়ন,అంచనా
মূল্যায়ন বছর,అసెస్‌మెంట్ ఇయర్
মূল্যায়নকারী,మదింపుదారు
সম্পদ,ఆస్తులు
Assignee,కేటాయించిన
অ্যাসাইনমেন্ট,అసైన్‌మెంట్
নিয়োগকারী,అసైనర్
সহায়তা,సహాయం
সহযোগী,అసోసియేట్
সংঘ,అసోసియేషన్
চার্জ অনুমান,ఛార్జ్ యొక్క umption హ
আশ্বাস,హామీ
আশ্বাস সংস্থা,అస్యూరెన్స్ కంపెనీ
আশ্বাস,భరోసా
ছাড় এ,డిస్కౌంట్ వద్ద
পারমাণবিক শক্তি,అణు శక్తి
সমমূল্যে,పార్ వద్ద
প্রিমিয়ামে,ప్రీమియం వద్ద
সংযুক্ত,అటాచ్
সংযুক্ত অফিস,జతచేయబడిన కార్యాలయం
সংযুক্তি,అటాచ్మెంట్
সংযুক্তি আদেশ,అటాచ్మెంట్ ఆర్డర్
অর্জন,సాధించడం
চেষ্টা,ప్రయత్నం
উপস্থিতি,హాజరు
উপস্থিতি নিবন্ধ,హాజరు రిజిస్టర్
উপস্থিতি স্লিপ,హాజరు స్లిప్
মনোযোগ,శ్రద్ధ
সত্যতা,ధృవీకరణ
সত্যায়িত অনুলিপি,ధృవీకరించబడిన కాపీ
মনোভাব,వైఖరి
আকর্ষণীয় বেতন,ఆకర్షణీయమైన జీతం
নিলাম,వేలం
নিলামকারী,వేలంపాట
নিলাম বিক্রয়,వేలం అమ్మకం
শ্রোতা,ప్రేక్షకులు
অডিও-ভিজ্যুয়াল ডিসপ্লে,ఆడియో-విజువల్ డిస్ప్లే
অডিও-ভিজ্যুয়াল প্রচার,ఆడియో-విజువల్ పబ్లిసిటీ
নিরীক্ষা,ఆడిట్
নিরীক্ষিত অ্যাকাউন্ট,ఆడిట్ చేసిన ఖాతాలు
নিরীক্ষিত ব্যালেন্স শীট,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
নিরীক্ষণ,ఆడిటింగ్
নিরীক্ষা আপত্তি,ఆడిట్ అభ్యంతరం
নিরীক্ষকের প্রতিবেদন,ఆడిటర్ నివేదిక
অডিটোরিয়াম,ఆడిటోరియం
অডিট অনুচ্ছেদ,ఆడిట్ పేరా
অডিট রিপোর্ট,ఆర్థిక లెక్కల నివేదిక
কঠোরতা,కాఠిన్యం
কঠোরতা ব্যবস্থা,పొదుపు చర్యలు
খাঁটি,ప్రామాణికమైన
অনুমোদিত প্রতিনিধি,అధీకృత ప్రతినిధి
কর্তৃত্বমূলক,అధికారిక
কর্তৃপক্ষ,అధికారం
কর্তৃপক্ষের চিঠি,అధికారం లేఖ
অনুমোদিত,అధికారం
স্বীকৃত মূলধন,అధీకృత మూలధనం
স্বয়ংক্রিয়,ఆటోమేటిక్
স্বায়ত্তশাসিত,స్వయంప్రతిపత్తి
স্বায়ত্তশাসিত শরীর,అటానమస్ బాడీ
স্বায়ত্তশাসন,స్వయంప్రతిపత్తి
সহায়ক,సహాయక
উপলব্ধ,అందుబాటులో ఉంది
গড়,సగటు
গড় ছুটি,సగటు సెలవు
বিপর্যয়,విరక్తి
এড়ানো,అవర్ట్
এড়াতে,నివారించండి
কর এড়ানো,పన్నును నివారించడం
অপেক্ষা করছি,వేచి ఉంది
পুরষ্কার,అవార్డు
পুরষ্কার কর্তৃপক্ষ,అథారిటీ అవార్డు
সচেতনতা,అవగాహన
ব্যাকডেটেড,బ్యాక్‌డేటెడ్
পটভূমি,నేపథ్య
জমা কাজ,బ్యాక్ లాగ్
ফিরে,బ్యాక్ అవుట్
পিছনে রেফারেন্স,వెనుక సూచన
ব্যাক আপ,బ్యాకప్
পশ্চাদপদ শ্রেণি,వెనుకబడిన తరగతులు
পশ্চাদপদ উপজাতি,వెనుకబడిన తెగ
খারাপ দর কষাকষি,చెడు బేరం
খারাপ আচরণ,చెడు ప్రవర్తన
খারাপ চরিত্র,చెడ్డ పాత్ర
খারাপ জলবায়ু ভাতা,చెడు వాతావరణ భత్యం
খারাপ আচরণ,చెడు ప్రవర్తన
খারাপ ঋণ,చెడు రుణం
লাগেজ,సామాను
জামিন,బెయిల్
ভারসাম্য,సంతులనం
ভারসাম্য নামা,బ్యాలెన్స్ తగ్గింది
ভারসাম্য এগিয়ে আনা,బ్యాలెన్స్ ముందుకు తెచ్చింది
সুষম বাজেট,సమతుల్య బడ్జెట్
ব্যালেন্স শীট,బ్యాలెన్స్ షీట్
ব্যালট,బ్యాలెట్
ব্যালট বাক্স,వోట్లు వేసే డబ్బా
ভোট পত্র,బ్యాలెట్ పేపర్
নিষেধাজ্ঞা,నిషేధం
ব্যাংক,బ్యాంక్
ব্যাংক হিসাব,బ్యాంకు ఖాతా
ব্যাংক ভারসাম্য,బ్యాంక్ బ్యాలెన్స్
ব্যাংক চার্জ,బ్యాంకు చార్జీలు
ব্যাংক গ্যারান্টি,బ్యాంకు హామీ
ব্যাংক ছুটির দিন,బ్యాంకు సెలవు
ব্যাংকিং সুবিধা,బ్యాంకింగ్ సౌకర్యం
ব্যাংকিং সময়,బ్యాంకింగ్ గంటలు
ব্যাংকিং লেনদেন,బ్యాంకింగ్ లావాదేవీ
ব্যাংক হার,బ్యాంక్ రేటు
ব্যাংক পুনর্মিলন,బ్యాంకు సయోధ్య
দেউলিয়া,దివాళా
ব্যাংক সুরক্ষা,బ్యాంక్ భద్రత
ব্যাংক দলিল,బ్యాంకు వాజ్ఞ్మూలము
বনভোজন,విందు
বার কাউন্সিল,బార్ కౌన్సిల్
দর কষাকষি,బేరం
দর কষাকষি,బేరసారాలు
অনুর্বর জমি,బంజరు భూమి
বার্টার,బార్టర్
বেস,బేస్
ভিত্তিহীন,నిరాధారమైన
বেসমেন্ট,బేస్మెంట్
ভিত্তিবছর,బేస్ ఇయర్
বেসিক,ప్రాథమిక
মূলত,సాధారణంగా
বেসিক বুদ্ধি,ప్రాథమిక మేధస్సు
মূল বেতন,ప్రాథమిక వేతనం
বেতনের প্রাথমিক স্কেল,ప్రాథమిక స్థాయి వేతనం
মৌলিক প্রশিক্ষণ,ప్రాథమిక శిక్షణ
ভিত্তি,ఆధారంగా
ব্যাচ,బ్యాచ్
ব্যাচ নাম্বার,బ్యాచ్ సంఖ్య
বহনকারী চেক,బేరర్ చెక్
উদ্ধৃত করার আগে,ఉదహరించడానికి ముందు
আচরণ,ప్రవర్తన
বিশ্বাস,నమ్మకం
নীচে নীচে,పార్ క్రింద
এজলাস,బెంచ్
মাপকাঠি,బెంచ్ మార్క్
উপকারী,ప్రయోజనకరమైనది
মৃত ব্যক্তির সম্পত্তির উত্তরাধিকারী,లబ్ధిదారుడు
উপকার,ప్రయోజనం
দ্বিধার সুবিধা,సందేహం యొక్క ప్రయోజనం
দানশীলতা,బెనెవోలెన్స్
দানশীল তহবিল,బెనెవోలెంట్ ఫండ్
উইল,Bequeath
উইল,బీక్వెస్ట్
শোক,మరణించారు
সেরা প্রচেষ্টা,ఉత్తమ ప్రయత్నాలు
উন্নততা,మంచి
পক্ষপাত,బయాస్
পক্ষপাতদুষ্ট মতামত,పక్షపాత అభిప్రాయం
গ্রন্থপঞ্জি,గ్రంథ పట్టిక
দ্বিবার্ষিক,ద్వైవార్షిక
দ্বিখণ্ডিত,విభజన
বিগামি,బిగామి
দ্বিপক্ষীয়,ద్వైపాక్షిక
দ্বিভাষিক,ద్విభాషా
দ্বিখণ্ডিত,ద్విమకరణ
বিল,బిల్లు
বিনিময় বিল,మార్పిడికి సంభంధించిన బిల్లు
দ্বিখণ্ডিত প্রতিবেদন,బిమోంత్లీ రిపోర్ట్
বাঁধাই,బైండింగ్
বায়োডাটা,బయోడేటా
দ্বিপক্ষীয়,బైపార్టైట్
দ্বিপক্ষীয় চুক্তি,ద్వైపాక్షిక ఒప్పందం
জন্ম বার্ষিকী,జనన వార్షికోత్సవం
জন্ম সনদ,జనన ధృవీకరణ పత్రం
জন্ম নিয়ন্ত্রণ,జనన నియంత్రణ
জন্ম তারিখ,పుట్టిన తేదీ
জন্মের জায়গা,పుట్టిన ప్రదేశం
জন্ম হার,జనన రేటు
দ্বিপক্ষীয়,వారం వారం
কালো অর্থনীতি,బ్లాక్ ఎకానమీ
কালো তালিকা,బ్లాక్ జాబితా
ব্ল্যাকমেল,బ్లాక్ మెయిల్
কালোবাজার,చీకటి వ్యాపారం
দোষ,నింద
ফাঁকা চেক,ఖాళీ చెక్
কম্বল ডিল,దుప్పటి ఒప్పందం
কম্বল আদেশ,దుప్పటి క్రమము
বিস্ফোরণ,పేలుడు
মিশ্রণ,బ్లెండింగ్
ব্লক,బ్లాక్
অবরোধ,దిగ్బంధనం
অবরুদ্ধ মূলধন,నిరోధించబడిన మూలధనం
ব্লক লেটার,పెద్ద అక్షరం
রক্তদান,రక్త దానం
রক্ত সম্পর্ক,రక్త సంబంధాలు
নীল কলার কাজ,బ్లూ కాలర్ ఉద్యోగం
ব্লুপ্রিন্ট,బ్లూప్రింట్
ব্লাফ,బుకాయింపు
বোর্ড,బోర్డు
বোর্ডিং এবং থাকার ব্যবস্থা,బోర్డింగ్ మరియు బస
পরিচালনা পর্ষদ,బోర్డు డైరెక్టర్లు
রাজস্ব বোর্ড,రెవెన్యూ బోర్డ్
দেহ,శరీరం
দেহরক্ষী,బాడీగార్డ్
বোগাস ভাউচার,బోగస్ వోచర్
সদিচ্ছা,బోనఫైడ్స్
বন্ধন,బాండ్
চুক্তিভুক্ত শ্রমিক,బంధిత శ్రమ
বোনাস,ఉపరి లాభ బహుమానము
বুকিং অফিস,నమోదు కార్యాలయం
বই-রক্ষক,పుస్తక కీపర్
বই-রক্ষণাবেক্ষণ,బుక్ కీపింగ్
পুস্তিকা,బుక్‌లెట్
রেফারেন্স বই,రిఫరెన్స్ పుస్తకం
বই মান,పుస్తకం విలువ
বুথ,బూత్
বুথ ক্যাপচারিং,బూత్ సంగ్రహించడం
সীমান্ত ভাতা,సరిహద్దు భత్యం
বর্ডার লাইন,సరిహద్దు రేఖ
Or ণগ্রহীতা,రుణగ్రహీత
Orrow ণ ক্ষমতা,రుణాలు తీసుకునే శక్తి
বস,బాస్
বাধা,అడ్డంకి
বন্ধনী,బ్రాకెట్
সীমানা,సరిహద్దు
বয়কট,బహిష్కరణ
মেধা পাচার,మెదడు కాలువ
শাখা কার্যালয়,శాఖ కార్యాలయం
লঙ্ঘন,మించే
চুক্তি লঙ্ঘন,ఒప్పందం ఉల్లంఘన
আত্মবিশ্বাস লঙ্ঘন,విశ్వాసం ఉల్లంఘన
চুক্তি লঙ্ঘন,ఒప్పంద ఉల్లంఘన
শৃঙ্খলা লঙ্ঘন,క్రమశిక్షణ ఉల్లంఘన
আইন লঙ্ঘন,చట్ట ఉల్లంఘన
শান্তি লঙ্ঘন,శాంతి ఉల్లంఘన
অধিকার লঙ্ঘন,ప్రత్యేక హక్కు ఉల్లంఘన
প্রতিশ্রুতি লঙ্ঘন,వాగ్దానం ఉల్లంఘన
নিয়ম লঙ্ঘন,నియమం ఉల్లంఘన
বিশ্বাস ভঙ্গ,అవిశ్వాసం
বিরতি,విచ్ఛిన్నం
ভাঙ্গা,విచ్ఛిన్నం
পরিষেবা বিরতি,సేవలో విరామం
বিচ্ছিন্ন,విడిపోవటం
প্রজনন,జాతి
ঘুষ,లంచం
সংক্ষিপ্ত,క్లుప్తంగా
সারসংক্ষেপ,బ్రీఫింగ్
সংক্ষিপ্ত পুনঃসূচনা,సంక్షిప్త పున ume ప్రారంభం
উজ্জ্বল রেকর্ড,తెలివైన రికార్డు
নোটিশ আনুন,నోటీసులోకి తీసుకురండి
সম্প্রচার,ప్రసార
ব্রডশিট,బ్రాడ్‌షీట్
ব্রোশিওর,బ్రోచర్
দালালি,బ్రోకరేజ్
এগিয়ে আনা (বি/এফ),ముందుకు తెచ్చింది (బి/ఎఫ్)
বাজেট বরাদ্দ,బడ్జెట్ కేటాయింపు
বুগেটারি নিয়ন্ত্রণ,బగెటరీ కంట్రోల్
বাজেটের অনুমান,బడ్జెట్ అంచనా
বাজেট বিধান,బడ్జెట్ నిబంధన
বিল্ডিং,కట్టడం
স্তূপ,చాలా మొత్తం
বাল্ক ক্রয়,బల్క్ కొనుగోలు
বুলেটিন,బులెటిన్
বাম্পার ফসল,బంపర్ పంట
শূন্যপদ গুচ্ছ,ఖాళీల బంచ్
বাংগল,బంగ్లింగ్
আমলাতন্ত্র,బ్యూరోక్రసీ
আমলা,బ్యూరోక్రాట్
ব্যবসায়িক শ্রেণী,వ్యాపార తరగతి
ব্যবসায়ের সময় (= ব্যবসায়ের ঘন্টা),వ్యాపార గంటలు (= వ్యాపారం యొక్క గంటలు)
ব্যবসায়ী,వ్యాపారవేత్త
কিনুন,కొనండి
ক্রেতা,కొనుగోలుదారు
বাই নির্বাচন (= নির্বাচনের মাধ্যমে),బై ఎన్నిక (= ఎన్నికల ద్వారా)
হাতের দ্বারা,చేతి ద్వారా
পোস্ট দ্বারা,పోస్ట్ ద్వారా
কেবিন লাগেজ,క్యాబిన్ సామాను
মন্ত্রিসভা,క్యాబినెట్
ক্যাডার,కేడర్
বিপর্যয়,విపత్తు
গণনা,లెక్కింపు
ক্যালেন্ডার বছর,క్యాలెండర్ సంవత్సరం
প্রচার,ప్రచారం
ক্যাম্পাস,క్యాంపస్
ক্যাম্পাসের সাক্ষাত্কার,క్యాంపస్ ఇంటర్వ్యూ
বাতিল,రద్దు చేయండి
বাতিল,రద్దు
প্রার্থী,అభ్యర్థి
প্রার্থিতা,అభ్యర్థిత్వం
ক্যানভাসিং,కాన్వాసింగ్
ক্ষমতা,సామర్ధ్యం
সক্ষম,సామర్థ్యం
ক্ষমতা,సామర్థ్యం
মূলধন,రాజధాని
মূলধন ব্যয়,మూలధన వ్యయం
মৃত্যুদণ্ড,మరణశిక్షను
