Hindi,Assamese
अंकगणितीय आंकडा,গাণিতিক তথ্য
अंकगणितीय अनुदेश,গাণিতিক নিৰ্দেশনা
गणितीय एवं तार्किक इकाई (ए. एल. यू.),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ए आर पी ए नेट (आरपानेट),ARPA নেট (RPNet)
सरणी,এৰে
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
सरणी कंप्यूटर,এৰে কম্পিউটাৰ
सरणी अवयव,এৰে উপাদান
सरणी नाम,এৰেৰ নাম
सरणी प्रकर्मक,এৰে প্ৰচেছৰ
एरो कुंजी,কাঁড় চিহ্ন
संधि,সন্ধি
संधि बिन्दु,জংচন পইণ্ট
कृत्रिम संहनन,কৃত্ৰিম সংকোচন
कृत्रिम नियंत्रण,কৃত্ৰিম নিয়ন্ত্ৰণ
कृत्रिम बोध,কৃত্ৰিম ইন্দ্ৰিয়
आरोहक,মাউন্ট
आरोही छंटाई,আৰোহী সজাই পৰাই তোলা
आस्की वर्णक्रम,ascii বৰ্ণমালা
आस्की नियंत्रण संप्रतीक,ascii নিয়ন্ত্ৰণ চিহ্ন
आस्की संचिका,ascii ফাইল
आस्की फॉन्ट,ascii ফন্ট
आस्की अंतरण,ASCII স্থানান্তৰ
अभिमुखता अनुपात,এস্পেক্ট ৰেচিঅ&#39;
"1. ऐस्पी ,2. ए एस पी आई","১.এছপি, ২. এ এছ পি আই"
ए एस आर कालद,এ এছ আৰ কালাদ
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. कोडांतरक ,2. स्मरांतरक","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. कोडांतरण ,2. स्मरांतरण","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
निश्चयन,সংকল্প
"1. निर्दिष्ट कार्य ,2. नियतन","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
साहचर्य,সংগীত্ব
साहचर्य पता,সহযোগী ঠিকনা
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
तारक (*का चिन्ह),তাৰকা চিহ্ন (* চিহ্ন)
असम्मित,অসমতাপূৰ্ণ
"1. अतुल्यकालिक ,2. अतुल्यकाली","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
अतुल्यकालिक अंतरण,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
अतुल्यकालिक अंतरण विधा (ए टी एम),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. एटम ,2. परमाण","১.পৰমাণু, ২. পৰমণ"
संलग्न प्रलेख,সংলগ্ন নথিপত্ৰ
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. संलग्नक ,2. संबंद्ध","১.আৱৰণ, ২. সংযুক্ত"
"1. गुण ,2. विशेषता","১.গুণ, ২. বৈশিষ্ট্য"
श्रव्य,শ্ৰৱণযোগ্য
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
लेखा सत्यापन,একাউণ্ট পৰীক্ষণ
संवर्धन,প্ৰচাৰ
प्रमाणन प्रोटोकॉल,প্ৰমাণীকৰণ প্ৰট&#39;কল
संलेखन पद्धति,লেখক পদ্ধতি
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
स्वत: सार,অটো বিমূৰ্ত
"1. स्वतः बूटिंग ,2. स्व बूटन","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ऑटोकैड (एक कंप्यूटर भाषा),AutoCAD (এটা কম্পিউটাৰ ভাষা)
स्वत: लॉग-ऑन,স্বয়ংক্ৰিয় লগ-অন
ऑटोमेटा,automata
आटोमेटा सिद्धांत,automata তত্ত্ব
स्वत: अभिकलन,স্বয়ংক্ৰিয় গণনা
स्वत: आंकड़ा प्रक्रमण,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
स्वत: त्रुटि संशोधन,স্বয়ংক্ৰিয় ভুল সংশোধন
स्वत: फलन,অটো ফাংচন
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
स्वत: संग्रह आह्वान,অটো-সংগ্ৰহ কল
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
स्वत: नेमका,অটো ৰুটিন
स्वत: सिस्टम पुन: प्राप्ति,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
स्वचालन,অটোমেচন
"1. आटोप्ले ,2. स्वत: चलन","1. অটোপ্লে, 2. অটো ৱাক"
स्वरक्षण,কণ্ঠদান
सहायक,সহায়ক
सहायक स्मृति,সহায়ক স্মৃতিশক্তি
सहायक भंडारण,সহায়ক সংৰক্ষণ
उपलब्ध लिस्ट,উপলব্ধ তালিকা
उपलब्ध समय,উপলব্ধ সময়
औसत,গড়
ए डब्ल्यू के (एक कंप्यूटर समादेश),AWK (এটা কম্পিউটাৰ কমাণ্ড)
पश्चांत,পাছত
पश्चांत प्रक्रमक,পোষ্ট প্ৰচেছৰ
पश्च फलन विलोपन,পশ্চাৎ কাৰ্য্য বিলোপন
पृष्ठभूमि प्रक्रमण,পটভূমি প্ৰক্ৰিয়াকৰণ
सहायक भंडार,আনুষংগিক দোকানসমূহ
पश्च पैचीकरण,বেক পেচিং
"1. पश्चीयन ,2. बैकस्पेस","১.পশ্চিম, ২. বেকস্পেচ"
पश्चपथन,পিছুৱাই যোৱা
"1. बैक-अप ,2. पूर्तिकर","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
पश्च त्रुटि सुधार,পিছলৈ ভুল সংশোধন
(आय-व्यय) तुलन पत्र,(আয়-ব্যয়) বেলেন্স শ্বীট
पट्टी,পট্টি
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
बैंकर एल्गोरिथ्म,বেংকাৰৰ এলগৰিদম
"1.बार कूट ,2. बार कोड","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
बार कोड स्कैनर,বাৰক&#39;ড স্ক্যানাৰ
बार ग्राफ,বাৰ গ্ৰাফ
आधार पता,ভিত্তি ঠিকনা
आधार बैंड,বেচ বেণ্ড
आधार संख्या,আধাৰ নম্বৰ
आधार सारणी,ভিত্তি টেবুল
बेसिक (एक कंप्यूटर भाषा),মূল (এটা কম্পিউটাৰ ভাষা)
"1. मूल नियंत्रण ,2. आधार नियंत्रण","1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
"1. मूल निवेश ,2. आधारी निवेश","১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
आधारभूत अनुदेश,মূল নিৰ্দেশনা
आधारी निर्गम,ভিত্তি বিষয়
मूल चरण,মূল পৰ্যায়
"1. बैच ,2. समूह ,3. प्रचय","১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
"1. बैच फाइल ,2. बैच संचिका","1. বেচ ফাইল, 2. বেচ ফাইল"
बैच स्थिति,বেচৰ অৱস্থা
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण","১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
"1. बैच तंत्र ,2. प्रचय तंत्र","1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
बॉड,baud
बॉड दर,বড হাৰ
किरण पुंज,ৰশ্মি ৰশ্মি
"1. निर्देशमानक ,2. बैचमार्क","1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
द्विदिश संचार,দ্বিমুখী যোগাযোগ
विदिश कड़ी,প্ৰত্যক্ষ সংযোগ
द्विआधारी कूट,বাইনাৰী ক&#39;ড
द्विआधारी अंक,বাইনাৰী অংক
द्विआधारी निवेश निर्गम तंत्र (बायोस),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
द्विआधारी संख्या,বাইনাৰী সংখ্যা
द्विआधारी संकारक,বাইনাৰী অপাৰেটৰ
द्विआधारी संबंध,বাইনাৰী সম্পৰ্ক
द्विआधारी खोज,বাইনাৰী সন্ধান
द्विआधारी अन्वेषण तरु (बी एस टी),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण","1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
द्विआधारी तरु,বাইনাৰী গছ
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी","১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श","১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
जन्म मरण प्रक्रम,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. द्वयंक ,2. बिट","১.ডুয়েক, ২. বিট"
बिट दोष,বিট দোষ
बिट प्रतिचित्र,বিট মেপ
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)","1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
"1. बिट आव्यूह ,2. बिट सारणी","1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
बिट प्रतिरूप,বিট পেটাৰ্ণ
बिट स्थिति,বিটৰ অৱস্থান
"1. बिट रेट ,2. बिट दर","1. বিট হাৰ, 2. বিট হাৰ"
अंध पेटी परीक्षण,চকুত পটি পৰীক্ষা কৰা
टिमटिमाना,shimmer
ब्लॉक,অৱৰুদ্ধ কৰা
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति","1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি"
खंडक जांच,ব্লক প্ৰ&#39;ব
खंड प्रतिलिपि,ভলিউম কপি
खंडक आरेख,ব্লক ডায়াগ্ৰাম
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम","1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক"
बोर्ड,ব’ৰ্ড
पृष्ठ स्मृति,পৃষ্ঠাৰ স্মৃতিশক্তি
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय संबंध,বুলিয়ান সম্পৰ্ক
बूट विभाजन,বুট বিভাজন
बूट स्ट्रैपिंग,বুট ষ্ট্ৰেপিং
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,1.বুটষ্ট্ৰেপ লোডাৰ
"1.ब्रिज, 2. सेतु","১.দলং, ২.দলং"
ब्राडबैंड नेटवर्क,ব্ৰডবেণ্ড নেটৱৰ্ক
प्रसारण,সম্প্ৰচাৰ
प्रसारण रेडियो,সম্প্ৰচাৰ ৰেডিঅ&#39;
(नेट) विचरण,(নেট) ভ্যাৰিয়েন্স
(नेट) विचरक,(নেট) ভিকাৰ
बी-तरु,বি-ট্ৰু
"1.बुदबुद स्मृति, 2.बबल मेमोरी","1.বাবল মেমৰি, 2.বাবল মেমৰি"
बुदबुद छंटाी,বুদবুদ সজাই পৰাই তোলা
"1.बाल्टी, 2.बकेट","১.বাল্টি, ২.বাল্টি"
"1.बंधुता तंत्र, 2.बडी तंत्र","১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা"
बजट प्रभावी नियंत्रण,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
बफर,বাফাৰ
दोष,অভাৱ
बस,বাছ
"1.अष्ट वयंक,2. बािट (आठ बिट)","১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)"
बािट कोड,বাইট ক&#39;ড
सी (कंप्यूटर भाषा),C (কম্পিউটাৰ ভাষা)
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)","1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)"
"1.कैश,2. द्रुतिका,3.द्रुत","১.নগদ ধন, ২. বেগাই"
"1.कैश बफर, 2.द्रुतस्मृति बफर","1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ"
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति","1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি"
परिकलन,গণনা কৰা
"1.कैलकुलेटर, 2.परिकलक","১.কেলকুলেটৰ, ২.কেলকুলেটৰ"
"1.कैलकुलेटर चिप,2. परिकलक चिप","1.কেলকুলেটৰ চিপ, 2. কেলকুলেটৰ চিপ"
आह्वान,আমন্ত্ৰণ কৰক
नाम आह्वान,নাম কল
संदर्भ आह्वान,ৰেফাৰেন্স কল
मान आह्वान,সন্মানীয় আহ্বান
चर आह्वान,ভেৰিয়েবল কল
आहवान गेट,আমন্ত্ৰণ গেট
"1.निरस्त करना, 2.रद्द करना","1. বাতিল কৰক, 2. বাতিল কৰক"
निरसन बटन,বাতিল বুটাম
"1.विहित,2. कैनॉनिकल","১.নিৰ্দিষ্ট কৰা, ২. কেননিক"
विहित रूप,কেননিক ৰূপ
क्षमता,সক্ষমতা
क्षमता सूची,ক্ষমতা তালিকা
"1.क्षमता,2. धारिता","১.সামৰ্থ্য, ২. ধৰি ৰখা"
कैप्स लॉक कुंजी,caps লক চাবি
"1.कार्ड,2. पत्रक","১.কাৰ্ড, ২. চাদৰ"
कार्ड पाठक,কাৰ্ড ৰিডাৰ
प्रमुखता,প্ৰাধান্য
वाहक,বাহক
वाहक बैंड,বাহক বেণ্ড
वाहक भार,বাহক বোজা
वाहक संकेत,বাহক সংকেত
वाहक तरंग,বাহক তৰংগ
हासिल,লাভ কৰা হৈছে
हासिल अंक,স্ক’ৰ লাভ কৰা হৈছে
हासिल ध्वज,অৰ্জন কৰা পতাকা
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका","1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক"
"1.कास्केड, 2.सोपानी","1. কেছকেড, 2. কেছকেড"
केस,ঘটনা
कैथोड-रे-टयूब (सी आर टी),কেথ&#39;ড-ৰে-টিউব (CRT)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব
सी डी रॉम डिस्क ड्रािव,cd rom ডিস্ক ড্ৰাইভ
सेल,কোষ
सेल एनीमेशन,কোষ এনিমেচন
सेल्युलर फोन,চেলুলাৰ ফোন
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी","১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি"
केद्रीय प्रक्रमण एकक (सी पी यू),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
केंद्रीकृत तंत्र,কেন্দ্ৰীভূত ব্যৱস্থা
प्रमाणीकृत टेप,প্ৰমাণীকৃত টেপ
श्रृंखला,শিকলি
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री","1.series ডাটা, 2.series বিষয়বস্তু"
श्रृंखला कड़ी,শৃংখল সংযোগ
श्रृंखलन,চেইনিং
"1.प्रणाल, 2.चैनल","১.চেনেল, ২.চেনেল"
