Malayalam,Hindi
അക്ഷീയ മോഡ്,अक्षीय विधा
അക്ഷീയ അനുപാതം,अक्षीय अनुपात
ആന്റിന,ऐन्टेना
ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്,पश्च विद्युत वाहक बल
പിൻ പ്രദേശം,पश्च क्षेत्र
തിരികെ ചിതറിക്കിടക്കുക,पश्च प्रकीर्णन
പശ്ചാത്തല ചാർജ്,पृष्ठभूमि आवेश
സൈഡ് ശബ്ദം,पार्श्व रव
പിന്നോക്കാവസ്ഥ,पश्चगमन
പിൻഭാഗത്തെ വികിരണം,पश्चपालि विकिरण
ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്,बैकवार्ड डायोड/पश्च डायोड
ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ,पश्चगामी तरंग दोलक
"തടസ്സം, തടസ്സം","बाधिका, व्यारोध"
തടസ്സം,बाधिका
സമതുലിതമായ പാലം,संतुलित सेतु
സമതുലിതമായ മോഡുലേറ്റർ,संतुलित विमॉडुलक
സമതുലിതമായ മോഡുലേറ്റർ,संतुलित मॉडुलक
സമതുലിതമായ സർക്യൂട്ട്,संतुलित परिपथ
സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ,संतुलित ढाल संसूचक
നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം,धारा स्थिरक प्रतिरोध
ബൊലോമീറ്റർ,बोलोमीटर
ബോലോമീറ്റർ പാലം,बोलोमीटर सेतु
ബലൂണ്,बलून
ബനാന ജാക്ക്,बनाना जैक
ബനാന പ്ലഗ്,बनाना प्लग
"ബാൻഡ്, ബാൻഡേജ്","बैंड, पट्टी"
ബാൻഡ് ഡ്രൈവർ,बैंड चालक
ബാൻഡ് ഊർജ്ജം,बैंड ऊर्जा
ബാൻഡ് വിടവ്,बैंड अंतराल
ബാഡ്പാർക്ക് ആംപ്ലിഫയർ,बैडपारक प्रवर्धक
ബാൻഡ് പാസ് ഫിൽട്ടർ,बैंड पारक फिल्टर
ബോഡ് റേറ്റ് ജനറേറ്റർ,बॉड दर जनित्र
ബാൻഡ് ഡിസ്പെർഷൻ,बैंडफैलाव
ബാൻഡ് റെസിസ്റ്റർ,बैंड रोधक
ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ,बैंड विरामक फिल्टर
ബാൻഡ് വിപുലീകരണം,बैंड विस्तार
ബാൻഡ് റിമൂവർ ഫിൽട്ടർ,बैंड वर्जक फिल्टर
ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ,बैंड विस्तार विक्षेपण गुणक
ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ,बैंड विस्तार दूरी गुणक
"ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ","पुंज संधारित्र, बैंक संधारित्र"
"ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്","बारकर कूट, बारकर कोड"
barravaugen മാനദണ്ഡം,बार्रवाउजेन कसौटी
ബാരേറ്റർ,बैरेटर
തടസ്സം,रोध
ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ,रोध संधारित्र
തടസ്സം ഊർജ്ജം,रोधिका उर्जा
റെസിസ്റ്റർ വോൾട്ടേജ്,रोधी वोल्टता
ബാർട്ട്ലെറ്റ് വിൻഡോ,बार्टलेट विंडो
"അടിസ്ഥാനം, അടിസ്ഥാനം","आधार, बेस"
അടിസ്ഥാന ബാൻഡ്,आधार बैंड
അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ,आधार बैंड संचरण
അടിസ്ഥാന ചാർജ്,आधार आवेश
അടിസ്ഥാന കറന്റ്,आधार धारा
അടിസ്ഥാന നിലവിലെ ഉറവിടം,आधार धारा स्रोत
അടിസ്ഥാന കത്രിക,आधार कर्तन
ആധാർ മദൻ,आधार मादन
അടിസ്ഥാന എമിറ്റർ ഫീഡ്,आधार उत्सर्जक संभरण
അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ,आधार उत्सर्जक संधि
അടിസ്ഥാന കുത്തിവയ്പ്പ്,आधार अंतःक्षेपण
ഗ്രൗണ്ട് ലൈൻ,आधार रेखा
അടിസ്ഥാന പ്രതിരോധം,आधार प्रतिरोध
അടിസ്ഥാന ഉറവിടം,आधार स्रोत
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,आधार विस्तारण प्रतिरोध
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,आधार विस्तारण प्रतिरोध
അടിസ്ഥാന കനം,आधार मोटाई
അടിസ്ഥാന പ്രവേശനം,आधार अभिगमन
"ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ","आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन"
അടിസ്ഥാന കളക്ടർ ഉടമ്പടി,आधार संग्राहक संधि
മണം,बास
ബാസ് ആവൃത്തി,बास आवृत्ति
ബാറ്ററി,बैटरी
ബൗഡ്,बॉड
ബാഡ് നിരക്ക്,बॉड रेट
ബോഡ് റേറ്റ് ജനറേറ്റർ,बॉड दर जनित्र
ബോഡോ കോഡ്,बोदो कोड
"സിഗ്നൽ, ബീക്കൺ","संकेत देना, बीकन"
"മാണിക, ബീഡ്","मणिका, बीड"
മാനിക് കപ്പാസിറ്റർ,मणिक संधारित्र
മണികർത്താപി റെസിസ്റ്ററുകൾ,मणिकातापी प्रतिरोधक
"ബീം ആന്റിന, ബീം ആന്റിന","किरणपुंज ऐन्टेना, बीम ऐन्टेना"
ബീം ഡിറ്റക്ടർ,किरणपुंज खोजी
ബീം പവർ ഹോസ്,किरणपुंज शक्ति नली
ബീം സ്വിച്ചിംഗ് നോസിലുകൾ,किरणपुंज स्विचन नलिका
ബീം വികാസം,किरणपुंज विस्तार
അടി ആവൃത്തി,विस्पंद आवृत्ति
ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ,विस्पन्द-आवृत्ति दोलक
പൾസ് ഓസിലേറ്റർ,विस्पंद दोलक
മണി,बेल
വളയുന്ന നഷ്ടം,बंकन हानि
ബെസൽ ഫിൽട്ടർ,बेसेल फिल्टर
ബീറ്റ,बीटा
b-h വക്രം,बी-एच वक्र
"പക്ഷപാതം, പക്ഷപാതം","अभिनति, बायस"
ബയസ് കറന്റ്,बायस धारा
പക്ഷപാത പ്രതിരോധം,बायस-प्रतिरोधक
ഇരട്ട ആന്റിന,द्विशंकु ऐन्टेना
ദ്വിദിശ ലോഡ് കറന്റ്,द्विदिशी लोड धारा
ദ്വിദിശ ആന്റിന,द्विदैशिक ऐन्टेना
ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്,द्विदैशिक प्रकाश उत्सर्जक डायोड
ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ,द्विदिक् थाइरिस्टर
bi FET സാങ്കേതികവിദ്യ,द्वि FET तकनीक
ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ,द्विसूत्री ट्रांसफार्मर
ഇരട്ട സംയോജനം,द्विसूत्री आआवलन
ഉഭയകക്ഷി സർക്യൂട്ട്,द्विपार्श्विक परिपथ
ബൈനറി,द्विआधारी
ബൈനറി തുക,द्विआधारी योग
ബൈനറി സർക്യൂട്ട്,द्विआधारी परिपथ
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,द्वि-आधारी कोडित दशमलव
ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം,द्वि-आधारी कोडित दशमलव प्रणाली
ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ,द्विआधारी द्विपरिवर्तक संधारित्र
ബൈനറി കാൽക്കുലേറ്റർ,द्विआधारी गणक
ബൈനറി കാൽക്കുലേറ്റർ,द्विआधारी गणित्र
ബൈനറി ഡീകോഡർ,द्विआधारी कूट वाचक
ബൈനറി ഗോവണി,द्विआधारी सीढ़ी
ബൈനറി പാത്തോമീറ്റർ,द्विआधारी पथमापी
ബൈനറി അവസ്ഥ,द्विआधारी अवस्था
ബൈനറി-ഡെസിമൽ ഡീകോഡർ,द्विआधारी-दशमिक विकोडक
ബൈനറി ലോഡ്,द्विआधारी भार
ബൈനറി വാക്കുകൾ,द्विआधारी शब्द
ബൈപോളാർ,द्विध्रुवी
ബൈപോളാർ കപ്പാസിറ്റർ,द्विध्रुवी संधारित्र
ബൈപോളാർ ഉപകരണം,द्विध्रुवी युक्ति
ബൈപോളാർ ഉറവിടം,द्विध्रुवी स्रोत
ബൈപോളാർ ട്രാൻസിസ്റ്റർ,द्विध्रुवी ट्राजिस्टर
ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ,द्विध्रुवी संधि ट्रांजिस्टर
ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ,द्विघाती फिल्टर
ഇരട്ട സ്ഥാനം,द्विस्थितिक
രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ,द्विस्थितिक बहुकंपित्र
ദ്വിദിശ റിലേ,द्विस्थितिक रिले
രണ്ട്-ഘട്ട സംസ്ഥാനം,द्विस्थितिक अवस्था
രണ്ട്-സ്ഥാന ട്രിഗർ,द्विस्थितिक ट्रिगर
ബിറ്റ് പിശക്,बिट त्रुटि
ബിറ്റ് പിശക് നിരക്ക്,बिट त्रुटि दर
ബിറ്റ് പിശക്,बिट त्रुटि
ബിറ്റ്കാൽ പിശക്,बिटकाल त्रुटि
അന്ധമായ പെട്ടി,अंध पेटी
ഘനീഭവിച്ച പൾസ്,समाच्छादी स्पंद
സ്രഷ്ടാവ്,स्रावक
സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ,स्रावी प्रतिरोधक
അന്ധത,अंधगति
സെഗ്മെന്റ് ഡയഗ്രം,खंड आरेख
തടസ്സം തടയൽ,अवरूद्ध प्रतिबाधा
ശകലം കൈമാറ്റം,खंडक स्थानांतरण
തടസ്സപ്പെടുത്തുക,अवरोधन
തടയൽ കപ്പാസിറ്റർ,अवरोधी संधारित्र
റെസിസ്റ്റർ കപ്പാസിറ്റർ,अवरोधी संधारित्र
തടയുന്ന ഓസിലേറ്റർ,अवरोधी दोलक
തടയുന്ന ഓസിലേറ്റർ,अवरोधी दोलक
റെസിസ്റ്റർ വോൾട്ടേജ്,अवरोधी वोल्टता
ഊതുന്നയാൾ,ब्लोवर
ബോഡ് ഡയഗ്രം,बोडे आरेख
വോൾട്ട്സ്മാൻ ബന്ധം,वोल्ट्जमान संबंध
വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം,वोल्ट्जमान स्थिंराक
ബോണ്ട്,बंध
ബന്ധിത സ്ട്രെയിൻ ഗേജ്,आबद्ध विकृति प्रमापी
സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ,स्वोत्थानी प्रवर्धक
ബൂളിയൻ ബീജഗണിതം,बूलीय बीजगणित
ബൂളിയൻ സമവാക്യം,बूलीय समीकरण
ബൂട്ട് സ്ട്രാപ്പൺ,"बूट स्ट्रैपन, स्वोत्थान"
ബൂത്തിന്റെ അൽഗോരിതം,बूथ्स आल्गोरिदम
ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്,बूटस्ट्रैप प्रसर्प परिपथ
bosscutts ഭരണം,बॉसकर्ट्स नियम
ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്,बोस-चौधरी होकिनहाम (बी.सी.एच) कोड
"ചാടുക, ചാടുക","झंप, उछाल"
ബന്ധിത ഇലക്ട്രോൺ,परिबद्ध इलेक्ट्रॉन
ബ്രാഗ് റിഫ്ലക്ടർ,ब्रैग परावर्तक
ഇഴചേർന്ന വയർ,गुंफित तार
ശാഖ,शाखा
ശാഖകൾ,शाखन
പരീക്ഷണ ബോർഡ്,प्रयोग पट्ट
ബ്രേക്ക് സോൺ,भंजन क्षेत्र
ബ്രേക്കിംഗ് വോൾട്ടേജ്,भंजन वोल्टता
ബ്രേക്ക്ഡൗൺ ഡയോഡ്,भंजन डायोड
ഒടിവ് പരിഹരിക്കൽ,भंजन संनिर्धारण
ബ്രേക്കിംഗ് വോൾട്ടേജ്,भंजन वोल्टता
പാലം,सेतु
പാലം റക്റ്റിഫയർ,सेतु दिष्टकारी
വിശാലമായ ബാൻഡ്,विस्तृत बैंड
ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്,प्रसारण बैंड
ആസ്ട്രൽ അറേ,निरक्षीय व्यूह
പ്രക്ഷേപണം,प्रसारण
ബ്രോഡ്കാസ്റ്റ് ആന്റിന,प्रसारण ऐन्टेना
ബ്രോഡ്കാസ്റ്റ് റിസീവർ,प्रसारण ग्राही
ഫ്രീക്വൻസി ബ്രോഡ്കാസ്റ്റ് റിസീവർ,आवृत्ति प्रसारण अभिग्राही
പ്രക്ഷേപണം ട്രാൻസ്മിറ്റർ,प्रसारण प्रेषित्र
ബൂസ്റ്റർ ആന്റിന,बूस्टर ऐन्टेना
ബസ് ആന്റിന,बूस ऐन्टेना
ബ്രഷ് നിമജ്ജനം,ब्रश विसर्जन
ബബ്ലിംഗും ഗേറ്റും,बुदबूदु AND गेट
ബുദ്ബുദു അല്ലെങ്കിൽ ഗേറ്റ്,बुदबूदु OR गेट
ബബ്ലി മെമ്മറി,बुदबूदु स्मृति
വോൾട്ടേജ് നഷ്ടപരിഹാരം,प्रतिकारी वोल्टता
ബഫർ,बफर
ബഫർ ആംപ്ലിഫയർ,बफर प्रवर्धक
ബഫർ സർക്യൂട്ട്,बफर परिपथ
ബഫർ ഓപ്പറേറ്റർ,बफर परिचालक
ബഫർ രജിസ്റ്റർ,बफर पंजी
ബൾബ്,बल्व
ജനസംഖ്യാ പ്രഭാവം,समष्टि प्रभाव
മാക്രോ അർദ്ധചാലക ഉപകരണം,समष्टि अर्धचालक युक्ति
കുല,गुच्छक
മുങ്ങിയ കൈമാറ്റം,निमज्जित विनिमय
മുങ്ങിയ പാളി,निमज्जित परत
മുങ്ങിയ കോൺടാക്റ്റ്,निमज्जित संपर्क
സ്ഫോടന ആംപ്ലിഫയർ,प्रस्फोट प्रवर्धक
സ്ഫോടന കവർ,प्रस्फोटी समाच्छादी
സ്ഫോടനം വെടിവയ്പ്പ്,प्रस्फोट फायरन
സ്ഫോടനം ഡോർ ആംപ്ലിഫയർ,प्रस्फोटी द्वार प्रवर्धक
ബർസ്റ്റ് മോഡ്,प्रस्फोटी विधा
സ്ഫോടനം സെപ്പറേറ്റർ,प्रस्फोटी पृथक्कारक
സ്ഫോടന സിഗ്നൽ,प्रस्फोटी संकेत
ബർസ്റ്റ് പിശക് തിരുത്തൽ കോഡ്,प्रस्फोट त्रुटि संशोधक कोड
മതി,बस
ബസ് ബാർ,बस बार
ബസ് സംഘടന,बस संगठन
ബസ് സ്റ്റാൻഡേർഡ്,बस मानक
വെറും നൈമിഷികം,बस क्षणिक
വെണ്ണ മൂല്യമുള്ള ഫിൽട്ടർ,बटर वर्थ फिल्टर
bnc വയർ,बीएनसी तार
BNC ജോയിന്റർ,बीएनसी जोड़क
വഴിയിൽ,"उपपथ, उपमार्ग"
ബൈപാസ് കപ്പാസിറ്റർ,उपमार्गी संधारित्र
ബൈറ്റ്,बाइट
വി ബാൻഡ്,V बैंड
സി ബാൻഡ് ആന്റിന,C बैंड ऐन्टेना
വയർ,तार
വയർ റൂട്ടിംഗ്,तार मार्ग निर्धारण
ടെലിഗ്രാഫ് ടെലിവിഷൻ,तार टेलिविजन
കാഷെ മെമ്മറി,कैश स्मृति
സിസിം ഫ്രീക്വൻസി സ്റ്റാൻഡേർഡ്,सिसिमय आवृत्ति मानक
കാൽക്കുലേറ്റർ,परिकलित्र
കാലിബ്രേഷൻ,अंशशोधन
കോൾ വിലാസം,कॉल ऐड्रेस
കോൾപിറ്റ് ഓസിലേറ്റർ,कॉलपिट दोलित्र
ക്യാം കോർഡറുകൾ,कैम कोर्डर
ക്യാമറ,कैमरा
ക്യാമറ ഹോസ്,कैमरा नली
കാൻഡല,केंडेला
മെഴുകുതിരി ശക്തി,कैंडल शक्ति
കാന്റിലിവർ സ്ട്രെയിൻ ഗേജ്,कैन्टीलिवर विकृति प्रमापी
പിടിക്കുന്നു,धारिता
കപ്പാസിറ്റൻസ് രക്തസമ്മർദ്ദം ട്രാൻസ്ഡ്യൂസർ,धारिता रक्तचाप ट्रान्सड्यूसर
ഹോൾഡിംഗ് ഡിസ്ട്രിബ്യൂട്ടർ,धारिता वितरक
ഉടമ്പടി നിലനിർത്തൽ,संधि धारिता
കപ്പാസിറ്റൻസ് ഗേജ്,धारिता मापी
പിടിക്കുന്ന കളക്ടർ,धारिता उद्ग्राही
കപ്പാസിറ്റൻസ് പ്രതിപ്രവർത്തനം,धारिता प्रतिघात
"കപ്പാസിറ്റീവ് എനർജി കൺവെർട്ടർ, ട്രാൻസ്ഡ്യൂസർ","संधारी ऊर्जा परिवर्तित्र, ट्रासड्यूसर"
കപ്പാസിറ്റർ,संधारित्र
കപ്പാസിറ്റർ ബാങ്ക്,संधारित्र बैंक
കപ്പാസിറ്റർ ഫിൽട്ടർ,संधारित्र फिल्टर
കപ്പാസിറ്റർ ഇൻപുട്ട് ഫിൽട്ടർ,संधारित्र निवेश फिल्टर
വിഞ്ച് മോട്ടോർ,चर्खी मोटर
പുള്ളി സെർവോ ബോഡി,चर्खी सर्वो निकाय
ചാർക്കി,चर्खी
പിടിക്കുക,प्रग्रहण
ക്യാപ്‌ചർ വിഭാഗം,प्रग्रहण परिच्छेद
ക്യാപ്‌ചർ പ്രഭാവം,प्रग्रहण प्रभाव
കാരിയർ ശബ്ദ അനുപാതം,वाहक रव अनुपात
കാർ റേഡിയോ,कार रेडियो
കാർബൺ റെസിസ്റ്റർ,कार्बन प्रतिरोधक
കാർഡ് റീഡർ,कार्ड वाचक
കാർഡിയോയിഡ് ഡയഗ്രം,कार्डिऑड आरेख
വണ്ടി,कैरेज
വണ്ടി മടക്കം,कैरेज वापसी
വാഹകൻ,वाहक
കാരിയർ ആശയവിനിമയം,वाहक संचार
കാരിയർ ഏകാഗ്രത,वाहक संकेंद्रण
കാരിയർ ആവൃത്തി,वाहक आवृत्ति
കാരിയർ പുനരുൽപാദനം,वाहक जनन
കാരിയർ ലെവൽ,वाहक स्तर
കാരിയർ ജീവിതം,वाहक आयुकाल
കാരിയർ മൊബിലിറ്റി,वाहक गतिशीलता
കാരിയർ ഗുണനം,वाहक गुणन
കാരിയർ ശബ്ദ നില,वाहक रव स्तर
കാരിയർ ശ്രേണി,वाहक परास
കാരിയർ വീണ്ടെടുക്കൽ സർക്യൂട്ട്,वाहक पुनर्प्राप्ति परिपथ
കാരിയർ വീണ്ടും ചേർക്കൽ,वाहक पुनर्निवेशन
ചാലക വിസരണം,वाहकीय प्रकीर्णन
കാരിയർ അടിച്ചമർത്തൽ,वाहक संदमन
കാരിയർ കൂട്ടിൽ,वाहक पिंजरन
കാരിയർ വേഗത,वाहक वेग
കൈ കട്ട്,हस्तगत बिट
പതാക നടത്തി,हस्तगत ध्वज
"കൈവശരേഖ, കൈവശാവകാശ രജിസ്റ്റർ","हस्तगत रजिस्टर, हस्तगत पंजी"
പോർട്ടബിൾ ജനറേറ്റർ,सुवाह्य जनित्र
കാർസൺ നിയമം,कार्सन-नियम
കാട്രിഡ്ജ് ഫ്യൂസ്,कार्ट्रिज फ्यूज
കാട്രിഡ്ജ് ടേപ്പ്,कार्ट्रिज टेप
കാരി ഫോസ്റ്റർ പാലം,कैरी फोस्टर सेतु
സ്റ്റെപ്പ് ആംപ്ലിഫയർ,सोपानी प्रवर्धक
ഗ്രേഡേഷൻ,सोपानन
കാസ്കേഡ് ആംപ്ലിഫയർ,कैसकेड प्रवर्धक
"കാസ്‌കോഡ് ആംപ്ലിഫയർ, സ്റ്റെപ്പ് ആംപ്ലിഫയർ","कैसकोड प्रवर्धक, सोपानी प्रवर्धक"
കാസറ്റ്,कैसेट
പ്രേരണ,उत्प्रेरण
ക്യാപ്റ്റീവ് കോട്ടർ,प्रग्राही कोटर
കാഥോഡ്,कैथोड
കാഥോഡ് ട്രെയിലിംഗ്,कैथोड अनुगामी
കാഥോഡ് ട്രെയിലിംഗ് ആംപ്ലിഫയർ,कैथोड अनुगामी प्रवर्धक
കാഥോഡ് ലുമിനൻസ്,कैथोड संदीप्ति
കാഥോഡ് മെറ്റീരിയൽ,कैथोड सामग्री
കാഥോഡ് റേ ഓസിലോസ്കോപ്പ്,कैथोड किरण दोलनदर्शी
കാഥോഡ് റേ ട്യൂബ്,कैथोड किरण नलिका
കാഥോഡ് കണിക നിക്ഷേപം,कैथोड कण क्षेपण
കാഥോഡ് ലുമിനൻസ്,कैथोड संदीप्ति
കയർ ഫിൽട്ടർ,कौयर फिल्टर
കവർ ഫിൽട്ടർ,कावेर फिल्टर
കോടോർ,कोटर
ആന്ട്രൽ റേഡിയേഷൻ,कोटरीय विकिरण
cotter resonator,कोटर अनुनादी
ഫാറ്റ് ചാർജ് കപ്പിൾഡ് ഉപകരണം (CCD),फेट आवेश युग्मित युक्ति(सी सी डी)
സിഡി റോം,सी.डी.रोम
സിഡി റോം ഡ്രൈവ്,सी. डी. रोम ड्राइव
സെൽ (ബാറ്ററി),सेल (बैटरी)
കേന്ദ്ര വിഭവ ഘടകം,केंद्रीय संसाधन तत्व
കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്,केंद्रीय संसाधन इकाई
സെൻട്രൽ പ്രൊസസർ,केंद्रीय संसाधित्र
ശരാശരി സ്കെയിൽ,मध्यमान
മിഡ് ഫ്രീക്വൻസി,मध्य आवृत्ति
