English,Odiya
Base exchange,ଆଧାର ବିନିମୟ |
Base line ,ଆଧାର ରେଖା |
Basement,ବେସମେଣ୍ଟ୍ |
Basement wall,ବେସମେଣ୍ଟ କାନ୍ଥ |
Base plate,ବେସ୍ ପ୍ଲେଟ୍ |
"Base plate, adjustable","ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |"
Base saturation,ମୂଳ ପରିପୃଷ୍ଠା |
Basoid,ବାସୋଏଡ୍ |
Bat,ବ୍ୟାଟ୍
Bath and W.C.,ସ୍ନାନ ଏବଂ WC
Batter peg,ବାଟା ପେଗ୍ |
Batter pier,ବାଟା ପାଇର୍ |
Batter rule,ବ୍ୟାଟର ନିୟମ |
Baulk (balk),ବାଲ୍କ (ବାଲ୍କ)
Bay,ବାଇ
Bearer,ଧାରକ
Bearing capacity,ବହନ କରିବାର କ୍ଷମତା |
Bearing pile,ଗଦା ବହନ କରିବା |
Bearing stratum,ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |
Bed,ଶଯ୍ୟା
Bedding plane,ବିଛଣା ବିମାନ |
Bed joint,ଶଯ୍ୟା ଗଣ୍ଠି |
Bed rock,ବେଡ୍ ପଥର |
Bed room,ବେଡ୍ ରୁମ୍ |
Beeswax,ମହୁମାଛି
Bell box,ବେଲ୍ ବାକ୍ସ |
Belling bucket,ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |
Bellofram,ବେଲୋଫ୍ରାମ୍ |
Benched foundation,ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |
Benching,ବେଞ୍ଚିଂ
Bench mark,ବେଞ୍ଚ ମାର୍କ |
Benefit cost analysis,ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
Berm,ବରମ
Bevelled closure,ବେଭେଲଡ୍ ବନ୍ଦ |
"B-horizon,""B-","ବି-ରାଶି, &quot;B-"
Biat,ବିଟ୍ |
Binder,ବାଇଣ୍ଡର୍ |
Binding material,ବାନ୍ଧିବା ସାମଗ୍ରୀ |
Biot's theory,ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |
Bitumen,ବିଟୁମେନ |
Black cotton soil,କଳା ସୂତା ମାଟି |
Black earth ,କଳା ପୃଥିବୀ |
Black turf soil,କଳା ଟର୍ଫ ମାଟି |
Blade,ବ୍ଲେଡ୍ |
Blast furnace slag cement,ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |
Blocky structure,ଅବରୋଧ ସଂରଚନା |
Bogie resistance,ବଗି ପ୍ରତିରୋଧ |
Bog-iron ore,ବଗ୍-ଲୁହାପଥର |
Bond,ବନ୍ଧ
Bonded member,ବନ୍ଧିତ ସଦସ୍ୟ |
Bonded post tensioning,ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |
Bond stone,ବନ୍ଧ ପଥର |
Bound water,ସୀମା ଜଳ |
Box gutter,ବାକ୍ସ ଗୁଟର୍ |
Brace,ବନ୍ଧନୀ
Brick-on-edge,ଇଟା-ଧାର
Bridle,ବ୍ରିଡଲ୍ |
Brightness,ଉଜ୍ଜ୍ୱଳତା |
Brown soil,ବାଦାମୀ ମାଟି |
Building,ବିଲଡିଂ
Building surveyor,ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |
Buffer,ବଫର୍ |
Buffer curve,ବଫର୍ ବକ୍ର
Buffering,ବଫରିଂ |
Buffering capacity,ବଫରିଂ କ୍ଷମତା |
Bunder,ବଣ୍ଡର୍ |
Buttress,ଦୁର୍ଗ
C-horizon,ସି-ରାଶି
Cable,କେବୁଲ୍ |
Cable moulding,କେବୁଲ୍ ମୋଲିଡିଂ |
Cabling,କ୍ୟାବଲିଂ |
Cabin,କ୍ୟାବିନ
Cabin hook,କ୍ୟାବିନ ହୁକ୍ |
Cabinet,କ୍ୟାବିନେଟ୍
Cabolt's quit,କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ
Cafeteria,କାଫେରିଆ |
Cage,କେଜ୍ |
Cage construction,କେଜ୍ ନିର୍ମାଣ
Cain's formula,କ ain ନଙ୍କ ସୂତ୍ର |
Caisson,କେସନ୍ |
Caisson disease,କେସନ୍ ରୋଗ |
Caisson foundation,କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |
Caisson pile,କେସନ୍ ଗଦା |
Calcareous brick,କାଲ୍କେରିସ୍ ଇଟା |
Calcareous clay,କାଲକେୟାର ମାଟି |
Calcareous crust,କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |
Calcification,ଗଣନା
Calcination,ଗଣନା
Calcine ,କାଲସିନ୍
Calcite,କାଲସିଟ୍ |
Calcium-aluminate cement,କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |
Calcium-silicate brick,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |
Calcium-silicate hydrate,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |
Caliche,କାଲିଚେ |
California bearing ratio,କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |
Caliper,କାଲିପର୍ |
Calorimeter,କ୍ୟାଲୋରିମିଟର |
Camber,କ୍ୟାମ୍ବର |
Canal,କେନାଲ |
Canopy,କାନୋପି |
Cantilever footing,କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |
Cap,କ୍ୟାପ୍
Capacity,ସାମର୍ଥ୍ୟ |
Capacity of ail track,ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |
Cap cable,କ୍ୟାପ୍ କେବୁଲ୍ |
Capillarity,କ୍ଷମତା
Capillary break,କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |
Capillary flow,କ୍ୟାପିଲାରୀ ପ୍ରବାହ |
Capillary moisture or capillary water,କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |
Capillary pore space,କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |
Capillary porosity,କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |
Capillary space,କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |
Capture velocity,ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |
Carbonation,କାର୍ବନେସନ୍ |
Carbon black,କାର୍ବନ କଳା
Castble refractory,କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |
Cast-in-place or cast-in-situ,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |
Cast-in-place pile,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |
Castor,କାଷ୍ଟର |
Cast stone,ପଥର ପକାନ୍ତୁ |
Catalyst,ଅନୁକ୍ରମଣିକା
Catena,କ୍ୟାଟେନା |
Cat face,ବିଲେଇ ମୁହଁ |
Cat head,ବିଲେଇ ମୁଣ୍ଡ
Cation,କେସନ୍
Cat walk,ବିଲେଇ ଚାଲିବା |
Cavitation damage,କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |
Celite,ସେଲିଟ୍
Cellular concrete,ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |
Cellular construction,ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ
Cement,ସିମେଣ୍ଟ |
"Cement, bituminous","ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |"
"Cement, high strength","ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |"
"Cement, hydraulic","ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |"
"Cement, low heat","ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |"
"Cement, masonary","ସିମେଣ୍ଟ, ରାଜକୋଷ |"
"Cement, natural","ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |"
"Cement, portland","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |"
"Cement, portland blast furnace slag","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |"
"Cement, portland pozzolan","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |"
"Cement, slag","ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |"
"Cement, sulphate resistant","ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |"
"Cement, super sulphated","ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |"
"Cement, white","ସିମେଣ୍ଟ, ଧଳା |"
Cement-aggregate ratio,ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |
Cement content,ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |
Cement gel,ସିମେଣ୍ଟ ଜେଲ୍ |
Cement gun,ସିମେଣ୍ଟ ବନ୍ଧୁକ |
Cement kiln,ସିମେଣ୍ଟ କିଲ୍ |
Cement paint,ସିମେଣ୍ଟ ରଙ୍ଗ |
Cement plaster,ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |
Cement rock,ସିମେଣ୍ଟ ପଥର |
Cement slurry,ସିମେଣ୍ଟ ସ୍ଲୁରି |
Cement storage,ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |
Cementation process,ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |
Centering,କେନ୍ଦ୍ରକରଣ |
Centering and shuttering,ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |
Central mixed concrete,କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |
Central mixer,କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |
Centrifugal fan,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |
Chalk,ଚକ
Chamfer,ଚାମ୍ଫର୍ |
Chamfer strip,ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |
Channel beam,ଚ୍ୟାନେଲ୍ ବିମ୍ |
Characteristic load,ଚରିତ୍ରଗତ ଭାର |
Characteristic strength,ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |
Charge off,ଚାର୍ଜ ଅଫ୍ |
Charging,ଚାର୍ଜିଂ
Checking,ଯା cking ୍ଚ
Chemical bond,ରାସାୟନିକ ବନ୍ଧ |
Chernozem,ଚେର୍ନୋଜେମ୍ |
Chestnut soil,ଛାତି ମାଟି |
Chimney gutter,ଚିମନି ଗୁଟର |
Chip board,ଚିପ୍ ବୋର୍ଡ |
Chipping,ଚିପିଙ୍ଗ୍ |
Chips,ଚିପ୍ସ |
Chute,ଚୁଟ୍
Class (of concrete),କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର)
Clay,ମାଟି
Clay content,ମାଟି ବିଷୟବସ୍ତୁ |
Clay pan,ମାଟି ପ୍ୟାନ |
Cleanout,ପରିଷ୍କାର
Clean up,ସଫା କର
Cleat,ସଫା କର |
Clinker,କ୍ଲିଙ୍କର୍ |
Clip,କ୍ଲିପ୍
Coagulation,ଜମାଟ ବାନ୍ଧିବା |
Coarse aggregate,କଠିନ ଏଗ୍ରିଗେଟ୍ |
Coarse grained soil,କଠିନ ଶସ୍ୟ ମାଟି |
Coat,କୋଟ
Coffer dam,କଫର୍ ଡ୍ୟାମ୍ |
Cohesion,ମିଳନ
Colloid,କୋଲଏଡ୍ |
Colloidal moisture equivalent ratio,କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |
Colloidal system,କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |
Colluvial soil,ମିଳିତ ମାଟି |
Column,ସ୍ତମ୍ଭ
Combed finish,କମ୍ବିଂ ଶେଷ
Combined footing,ମିଳିତ ପଦଚିହ୍ନ |
Combined water,ମିଶ୍ରିତ ଜଳ |
Common room,ସାଧାରଣ କୋଠରୀ |
Completion certificate,ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର
Component square,ଉପାଦାନ ବର୍ଗ
Concrete,କଂକ୍ରିଟ୍ |
Concretion,ସଂକଳନ
Consolidated rate/flat rate,ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |
Contaminants,ପ୍ରଦୂଷକ
Cooking alcove,ଆଲକୋଭ୍ ରାନ୍ଧିବା |
Coping,ମୁକାବିଲା
Corbel,କରବେଲ |
Cornice,କର୍ନିସ୍ |
Coupler,ଦମ୍ପତି
"Coupler, double","ଦମ୍ପତି, ଦୁଇଥର |"
"Coupler, putlog","ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |"
"Coupler, swivel","ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |"
Course,ପାଠ୍ୟକ୍ରମ
Coursed random rubble masonry,ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |
Covered area,ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |
Creep,କ୍ରିପ୍
Creep coefficient,କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
Crotovine,କ୍ରୋଟୋଭାଇନ୍ |
Crow foot,କାଉ ପାଦ |
Crumb structure,ଖଣ୍ଡ ଗଠନ |
Curb,ବନ୍ଦ କର |
Current,ସାମ୍ପ୍ରତିକ
Curve resistance,ବକ୍ର ପ୍ରତିରୋଧ
Damp proof course,ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |
Date of completion,ସମାପ୍ତ ତାରିଖ
Dead load,ମୃତ ଭାର
Dead water,ମୃତ ଜଳ |
Decibel,ଡେସିବେଲ୍ |
Deflocculation,ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |
Degree of aeration or air space ratio,ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |
Degree of aggregation,ଏକୀକରଣର ଡିଗ୍ରୀ |
Degree of dispersion,ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |
Degree of saturation,ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |
Density,ଘନତା
Desert pavement,ମରୁଭୂମି ରାସ୍ତା
Desert soil,ମରୁଭୂମି ମାଟି |
Details,ବିବରଣୀ
Development period,ବିକାଶ ଅବଧି
D-horizon,ଡି-ରାଶି
Diagonal bond,ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |
Diagram,ଚିତ୍ର
Digital dock,ଡିଜିଟାଲ୍ ଡକ୍ |
Differential water rate,ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |
Dilution ventilation,ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |
Diluvium,ଦିଲୁଭିୟମ୍
Dining room,ଭୋଜନ ଗୃହ
Direction peg,ଦିଗ ପେଗ୍ |
Dispersion,ବିଚ୍ଛେଦ |
Distemper,ବିଭ୍ରାନ୍ତକାରୀ |
Dock,ଡକ୍ |
Door,ଦ୍ୱାର
Dormer,ଛାତ୍ରାବାସ
Dormer check,ଛାତ୍ରାବାସ ଯାଞ୍ଚ |
Double flemish bond,ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |
Double layer,ଡବଲ୍ ସ୍ତର |
Dowel,ଡୋଭେଲ୍ |
Drawing board,ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |
Drawing room,ଚିତ୍ରାଙ୍କନ କକ୍ଷ |
Drift,ଡ୍ରାଇଫ୍
Dry bulb temperature,ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |
Dry dock,ଶୁଖିଲା ଡକ୍ |
Dry rubber masonry,ଶୁଖିଲା ରବର ନିର୍ମାଣ
Dutch bond,ଡଚ୍ ବନ୍ଧନ |
Dwarf wall,ବାଣ୍ଡ କାନ୍ଥ |
Dwelling unit,ବାସସ୍ଥାନ ଏକକ
Eave,ଇଭ୍
Eaves gutter,ଗୁପ୍ତାଙ୍ଗ
Economic feasibility,ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |
Ectodynamorphic soil,ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |
Eddy,ଏଡି
Effective size,ପ୍ରଭାବଶାଳୀ ଆକାର |
Efflorescence,ଇଫ୍ଲୋରସେନ୍ସ |
Effluent,ପ୍ରଭାବଶାଳୀ |
Elevation,ଉଚ୍ଚତା
Eluviation,ବହିଷ୍କାର
Eluvium,ଇଲୁଭିୟମ୍ |
Endodynamorphic soil,ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |
Engineering feasibility,ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |
English bond,ଇଂରାଜୀ ବନ୍ଧନ |
English garden wall bond,ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
"E.P.M. (equivalent per million),""","ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;"
Equivalent weight,ସମାନ ଓଜନ
Erg,Erg
Exchangeable,ଅଦଳବଦଳଯୋଗ୍ୟ |
Exchangeable acidity,ଅଦଳବଦଳ ଅମ୍ଳତା |
Exchangeable sodium percentage (ESP),ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP)
E. S P.,E. S P.
Exchange acidity,ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |
Exchange complex,ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |
Exhaust,ନିଷ୍କାସନ
Exposed finish,ପ୍ରକାଶିତ ସମାପ୍ତ
Eye,ଆଖି
Eye brow,ଆଖି ବ୍ରୋ
Facing,ସାମ୍ନା କରିବା |
Facing bond,ବନ୍ଧନର ସମ୍ମୁଖୀନ |
Factor of safety,ନିରାପତ୍ତା କାରକ
Fall,ପତନ
Facia,ଫେସିଆ |
Facia board,ଫେସିଆ ବୋର୍ଡ |
Fault,ତ୍ରୁଟି
Field moisture,କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |
Final moisture equivalent,ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |
Fillet (of mortar),ଫିଲେଟ୍ (ମୋର୍ଟାର)
Finial,ଅନ୍ତିମ
Final measurement,ଅନ୍ତିମ ମାପ |
Final paymentq,ଅନ୍ତିମ ଦେୟ
Final pre stress,ଅନ୍ତିମ ପୂର୍ବ ଚାପ |
Final tension,ଅନ୍ତିମ ଟେନସନ |
Financial feasibility,ଆର୍ଥିକ ସମ୍ଭାବନା |
Fine aggregate,ଭଲ ଏଗ୍ରିଗେଟ୍ |
Fissured rock,ଖଣ୍ଡ ଖଣ୍ଡ |
Flag stone,ପତାକା ପଥର |
Flemish bond,ଫ୍ଲେମିସ୍ ବନ୍ଧନ |
Flashing,ଫ୍ଲାସ୍
Flashy stream,ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |
Flat roof,ଫ୍ଲାଟ ଛାତ |
Fleche,ଫ୍ଲେଚେ
Flemish garden wall bond,ଫ୍ଲେମିସ୍ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
Flint,ଫ୍ଲିଣ୍ଟ |
Flint wall,ଫ୍ଲିଣ୍ଟ କାନ୍ଥ |
Floating floor,ଭାସମାନ ଚଟାଣ |
Flocculation,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ |
Flocculation limit,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ସୀମା |
Flocculation ratio,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ଅନୁପାତ |
Floccules,ଫ୍ଲୋକ୍ୟୁଲ୍ସ |
Floor,ଚଟାଣ
Floor seal,ଚଟାଣ ସିଲ୍ |
Flow,ପ୍ରବାହ
Fluctuation,ଅସ୍ଥିରତା |
Footing,ଫୁଟିଂ
Foundation,ଫାଉଣ୍ଡେସନ୍
Free fall barrow topping mixer,ମାଗଣା ପତନ ବାରୋ ଟପିଙ୍ଗ୍ ମିକ୍ସର୍ |
Free fall mixer (drum type),ମାଗଣା ପତନ ମିକ୍ସର୍ (ଡ୍ରମ୍ ପ୍ରକାର)
Free stone,ମାଗଣା ପଥର |
Freshet,ଫ୍ରେଶେଟ୍ |
Friction pile,ଘର୍ଷଣ ଗଦା |
Frog,ବେଙ୍ଗ
Gable,ଗେବୁଲ୍ |
Gablet,ଗାବଲେଟ୍ |
Gambrel roof,ଗାମ୍ବ୍ରେଲ୍ ଛାତ |
Gauge,ଗେଜ୍
Gauging section,ଗଗିଂ ବିଭାଗ |
Gauging station,ଗଗିଂ ଷ୍ଟେସନ୍ |
General location plan,ସାଧାରଣ ଅବସ୍ଥାନ ଯୋଜନା |
General ventilation,ସାଧାରଣ ଭେଣ୍ଟିଲେସନ୍ |
G horizon or gley horizon,ଜି ରାଶି କିମ୍ବା ଗଲି ରାଶି |
Glacial till,ଗ୍ଲାସିଆଲ୍ ପର୍ଯ୍ୟନ୍ତ
Gneiss,ଗ୍ନିସ୍ |
Goods yard,ଦ୍ରବ୍ୟ ପ୍ରାଙ୍ଗଣ
Gradient resistance,ଗ୍ରେଡିଏଣ୍ଟ୍ ପ୍ରତିରୋଧ |
Granite,ଗ୍ରାନାଇଟ୍ |
Granular structure,ଗ୍ରାନୁଲାର୍ ଗଠନ |
Granulation,ଗ୍ରାନୁଲେସନ୍ |
Granule,ଗ୍ରାନୁଲ୍ |
Gravitational water free water,ମାଧ୍ୟାକର୍ଷଣ ଜଳ ମୁକ୍ତ ଜଳ |
Gravitational yard,ମାଧ୍ୟାକର୍ଷଣ ପ୍ରାଙ୍ଗଣ |
Great soil group,ମହାନ ମାଟି ଗୋଷ୍ଠୀ |
Grillage foundation,ଗ୍ରିଲେଜ୍ ଫାଉଣ୍ଡେସନ୍ |
Ground hand moulding,ଗ୍ରାଉଣ୍ଡ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |
Grouped dock,ଗ୍ରୁପ୍ ଡକ୍ |
Group housing,ଗୋଷ୍ଠୀ ଗୃହ
Guest room,ଅତିଥି ଗୃହ
Gutter,ଗୁଟର୍ |
Gutter bearer,ଗୁଟର ଧାରକ |
Gutter check,ଗୁଟର ଯାଞ୍ଚ |
Hammer dressing,ହାମର ଡ୍ରେସିଂ |
Harbour,ହାରବର୍
Harbour of refuge,ଆଶ୍ରୟସ୍ଥଳ
Hard pan,ହାର୍ଡ ପ୍ୟାନ |
Header,ହେଡର୍
Header bond,ହେଡର୍ ବଣ୍ଡ୍ |
Header course,ହେଡର୍ ପାଠ୍ୟକ୍ରମ
Head gate structure,ହେଡ୍ ଗେଟ୍ ଗଠନ |
Head of canal,କେନାଲର ମୁଖ୍ୟ |
Head regulator,ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |
Herring bone bond,ହେରିଙ୍ଗ ହାଡ ବନ୍ଧନ |
Hearting,ହୃଦୟ
Heat of wetting,ଓଦା ଗରମ |
High alumina cement,ଉଚ୍ଚ ଆଲୁମିନା ସିମେଣ୍ଟ |
Hip,ହିପ୍
Hip capping,ହିପ୍ କ୍ୟାପିଙ୍ଗ୍ |
Hipped end,ହିପ୍ ଶେଷ
Hood,ହୁଡ୍ |
Hood moulding,ହୁଡ୍ ମୋଲିଡିଂ |
Hook's law,ହୁକର ନିୟମ |
Hoop iron,ଲୁହା ହୁପ୍ |
Horizon,ରାଶି
Humidification,ଆର୍ଦ୍ରତା
"Humidity, absolute","ଆର୍ଦ୍ରତା, ସଂପୂର୍ଣ୍ଣ |"
"Humidity, relative","ଆର୍ଦ୍ରତା, ଆପେକ୍ଷିକ |"
Hump yard,ହମ୍ପ୍ ୟାର୍ଡ |
Hydraulic pressure,ହାଇଡ୍ରୋଲିକ୍ ଚାପ |
Hydration,ହାଇଡ୍ରେସନ୍ |
Hydrolysis,ହାଇଡ୍ରୋଲାଇସିସ୍ |
Hydrolytic acidity,ହାଇଡ୍ରୋଲାଇଟିକ୍ ଅମ୍ଳତା |
