Tamil,Gujarati
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
சீரான வடிவமைப்பு,સંતુલિત ડિઝાઇન
இருப்பு தாள்,સરવૈયા
ஏவுகணை,મિસાઇલ
"பந்துவீச்சு, ஆயுதம்","બેલિસ્ટિક્સ, હથિયાર"
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை","આધાર, આધાર, આધાર, આધાર, આધાર"
அடிப்படை கோணம்,આધાર કોણ
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"அடிப்படை, அடிப்படை,","મૂળભૂત, મૂળભૂત"
அடிப்படை ஒத்திசைவான தீர்வு,આધાર સુસંગત ઉકેલ
அடிப்படை தீர்வு,આધાર ઉકેલ
அடிப்படை மாறி,આધાર ચલ
அடித்தளம்,પાયો
அடிப்படை உறுப்பு,આધાર તત્વ
அடிப்படை அணி,આધાર મેટ્રિક્સ
திசையன் இடத்தின் அடிப்படை,વેક્ટર જગ્યાનો આધાર
துணை மக்கள்தொகை அடிப்படையில்,પેટા-વસ્તીનો આધાર
நேர்மையற்ற,અનૈતિક
bez-விதி,bez-નિયમ
bez-theorem,bez-પ્રમેય
பெர்னோலி-விநியோகம்,bernoulli-વિતરણ
பெர்னோலி எண்கள்,બર્નોલી નંબરો
பெர்னோலி நிகழ்தகவு செயல்பாடு,Bernoulli સંભાવના કાર્ય
பெர்னோலி-சமன்பாடு,બર્નોલી-સમીકરણ
பெர்ரி செயல்பாடு,બેરી કાર્ય
சிறந்த ஒட்டுதல்,શ્રેષ્ઠ સંલગ્નતા
சிறந்த ஒட்டுதல் வரி,શ્રેષ્ઠ સંલગ્નતા રેખા
சிறந்த தீர்வு,શ્રેષ્ઠ ઉકેલ
சிறந்த குறிப்புகள்,શ્રેષ્ઠ ટીપ્સ
பீட்டா விநியோகம்,બીટા વિતરણ
"சார்பு, சார்பு","પૂર્વગ્રહ, પૂર્વગ્રહ"
பாரபட்சமான மதிப்பீடு,પક્ષપાતી આકારણી
ஈருறுப்புச் சமன்பாடு,દ્વિપદી સમીકરણ
ஒற்றை கவர்,એક કવર
ஒற்றை அட்டை வரைபடம்,એક કવર નકશો
ஒற்றை அட்டை மேப்பிங்,સિંગલ કવર મેપિંગ
இருபடி இருபடி,ચતુર્ભુજ ચતુર્ભુજ
இருமுனை செயல்பாடு,દ્વિરેખીય કાર્ય
பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு,દ્વિરેખીય સંન્યાસી એકરૂપતા
"இருமாறு, இருமை, இரட்டை","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"பைனரி குறியீடு, பைனரி குறியீடு","બાઈનરી કોડ, બાઈનરી કોડ"
"பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
பைனரி குறியாக்கம்,બાઈનરી એન્કોડિંગ
பைனரி கணினி,દ્વિસંગી કમ્પ્યુટર
பைனரி எண்கள்,દ્વિસંગી સંખ્યાઓ
பைனரி செயல்பாடு,દ્વિસંગી કામગીરી
பைனரி முறை,દ્વિસંગી પદ્ધતિ
பைனரி மாறி,દ્વિસંગી ચલ
ஈருறுப்புக் குணகம்,દ્વિપદી ગુણાંક
இருவகைப் பரவல்,દ્વિપદી વિતરણ
ஈருறுப்புச் சமன்பாடு,દ્વિપદી સમીકરણ
இருவகை மாறுபாடு,દ્વિપદી ભિન્નતા
இருமொழி வெளிப்பாடு,દ્વિપદી અભિવ્યક્તિ
ஈருறுப்பு சீரற்ற மாறி,દ્વિપદી રેન્ડમ ચલ
ஈருறுப்பு தேற்றம்,દ્વિપદી પ્રમેય
"பாதி, பிளவு","અર્ધ, વિભાજન"
"இரு பிரிவு முறை, அரைப்பிரிவு முறை","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
அரை இருசமவெட்டி,અડધા દ્વિભાજક
இருவகை,દ્વિપદી
"ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
ஈருறுப்பு இருவகைப் பரவல் இருவகை,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
இருவகை தொடர்பு குணகம்,દ્વિવિધ સહસંબંધ ગુણાંક
இருவகை விநியோகம்,દ્વિવિધ વિતરણ
இருவகை இயல்பான-விநியோகம்,બાયવેરિયેટ સામાન્ય-વિતરણ
பைவெக்டர்,બાઇવેક્ટર
போல்ட்மேன் சமன்பாடு,બોલ્ટમેન સમીકરણ
பூலியன் இயற்கணிதம்*,બુલિયન બીજગણિત*
போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
வரம்பு கட்டுப்பாடுகள்,મર્યાદા પ્રતિબંધો
எல்லை நிலை,સીમા સ્તર
எல்லைக் கோடு,સીમા રેખા
வரம்பு மதிப்பு,મર્યાદા મૂલ્ય
எல்லை மதிப்பு பிரச்சனை,સીમા મૂલ્યની સમસ્યા
"எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
"எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை,","બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
"எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்,",સીમિત પ્રદેશ સીમિત પ્રદેશ
"எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு,",બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
பிரவுனி இயக்கம்,બ્રાઉની ગતિ
கணக்கெடுக்க,ગણતરી કરવી
கணக்கீடு,ગણતરી
"கால்குலேட்டர், கால்குலேட்டர்","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
கணக்கீடு*,ગણતરી*
கணக்கீட்டு நடவடிக்கை முறை,કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ
"கால்குலேட்டர், கால்குலேட்டர்","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
"கால்குலஸ், கால்குலஸ்","કલન, કલન"
மாறுபாடு கணக்கீடு,વિભિન્ન કલન
கலோரிகள்,કેલરી
ரத்து விதி,નિયમ રદ કરો
நியமன சமன்பாடு,પ્રામાણિક સમીકરણ
நியமன வடிவம்,પ્રમાણભૂત સ્વરૂપ
"கேனானிகல் மேட்ரிக்ஸ், கே கேனானிகல் மேட்ரிக்ஸ்","કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ"
கேண்டர் தொகுப்பு,કેન્ટર સેટ
கேண்டார் முக்கோண தொகுப்பு,કેન્ટર ત્રિકોણાકાર સમૂહ
கட்டுப்படுத்தப்பட்ட போக்குவரத்து பிரச்சனை,પ્રતિબંધિત પરિવહન સમસ્યા
திறன்,ક્ષમતા
தந்துகி விசை,રુધિરકેશિકા બળ
"எண்ணிக்கை எண், கார்டினல் எண்","કાઉન્ટ નંબર, કાર્ડિનલ નંબર"
கார்ட்டீசியன் அச்சு,કાર્ટેશિયન અક્ષ
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,કાર્ટેશિયન કોઓર્ડિનેટ્સ
கார்ட்டீசியன் தயாரிப்பு,કાર્ટેશિયન ઉત્પાદન
தொகுப்புகளின் கார்ட்டீசியன் பெருக்கல்,સમૂહોનું કાર્ટેશિયન ગુણાકાર
"வழக்கு ஆய்வு, வழக்கு ஆய்வு","કેસ સ્ટડી, કેસ સ્ટડી"
பேரழிவு பேச்சு,આપત્તિજનક ભાષણ
பூனைக்குரிய,કેટિનરી
காச்சி விநியோகம்,કોચી વિતરણ
கௌசியின் சூத்திரம்,કૌશીનું સૂત્ર
கௌசி-குர்சா-தேற்றம்,કૌશી-ગુર્સા-પ્રમેય
கௌஷி-ரீமான்-பான்,કૌશી-રીમેન-બાન
கௌச்சி வரிசை,કોચી ક્રમ
கௌஷி ஒருங்கிணைந்த,કૌશી અભિન્ન
கௌசி முக்கிய மதிப்பு,કૌશી મુખ્ય-મૂલ્ય
கௌச்சி எஞ்சிய தேற்றம்,કોચી શેષ પ્રમેય
கால்-ஹாமில்டன்-தேற்றம்,કેલે-હેમિલ્ટન-પ્રમેય
வானுலக,અવકાશી પદાર્થ
வானியல் அளவீடு,ખગોળશાસ્ત્રીય માપન
வான இயக்கவியல்,અવકાશી મિકેનિક્સ
வானுலக,અવકાશી પદાર્થ
செல் அலைவரிசை,સેલ આવર્તન
"மக்கள் தொகை கணக்கெடுப்பு, மக்கள் தொகை கணக்கெடுப்பு","વસ્તી ગણતરી, વસ્તી ગણતરી"
சதவீதம்,ટકાવારી
சென்டிமீட்டர்,સેન્ટીમીટર
சென்டிமீட்டர்-கிராம்-இரண்டாம் முறை,સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ
"மைய, மையமான","કેન્દ્રિય, કેન્દ્રિત"
மைய அச்சு,કેન્દ્રીય અક્ષ
மத்திய இடைவெளி,કેન્દ્રીય અંતર
மைய வேறுபாடு சூத்திரம்,કેન્દ્રીય તફાવત સૂત્ર
மைய வேறுபாடு அட்டவணை,કેન્દ્રીય વિભેદક કોષ્ટક
மத்திய வரம்பு தேற்றம்,કેન્દ્રીય મર્યાદા પ્રમેય
மைய தருணம்,કેન્દ્રીય ક્ષણ
மத்திய வள அலகு,કેન્દ્રીય સંસાધન એકમ
மைய உள்ளுணர்வு,કેન્દ્રીય વૃત્તિ
மையம்*,કેન્દ્ર*
ஈர்ப்பு மையம்,ગુરુત્વાકર્ષણ કેન્દ્ર
குழு மையம்,જૂથ કેન્દ્ર
வெகுஜன மையம்,સમૂહ કેન્દ્ર
சமச்சீர் மையம்,સમપ્રમાણતાનું કેન્દ્ર
மையவிலக்கு விசை,કેન્દ્રત્યાગી બળ
மையவிலக்கு விசை,કેન્દ્રબિંદુ બળ
"மையநோக்கு நடுக்கோடு,",કેન્દ્રિય મેરીડીયન
உறுதி,નિશ્ચિતતા
cgs முறை,cgs પદ્ધતિ
cgs அலகு,સીજીએસ એકમ
வேறுபாட்டின் சங்கிலி விதி,ભિન્નતાનો સાંકળ નિયમ
ஒருவேளை,તક દ્વારા
சீரற்ற நகர்வு,રેન્ડમ ચાલ
அச்சு மாற்றம்,અક્ષ શિફ્ટ
"அடிப்படை மாற்றம் பயதார்-மாற்றம்,",આધાર પરિવર્તન પાયધર-પરિવર્તન
வரிசைமாற்றம்,ક્રમચય
பண்பு குணகம்,લાક્ષણિક ગુણાંક
பண்பு நிர்ணயம்,લાક્ષણિકતા નિર્ણાયક
சிறப்பியல்பு சமன்பாடு,લાક્ષણિક સમીકરણ
"பண்பு செயல்பாடு, பண்பு செயல்பாடு","લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય"
மடக்கையின் முழு எண்,લઘુગણકનું પૂર્ણાંક
"பண்பு பல்லுறுப்புக்கோவை,",લાક્ષણિક બહુપદી
பண்பு மதிப்பு,લાક્ષણિક મૂલ્ય
பண்பு திசையன்,લાક્ષણિક વેક્ટર
பாத்திர சமூகம்,પાત્ર સમુદાય
"விளக்கப்படங்கள், விளக்கப்படங்கள்,","ચાર્ટ, ચાર્ટ"
சி-சதுர விநியோகம்,ચી-સ્ક્વેર વિતરણ
சி-சதுர சூத்திரம்,ચી-સ્ક્વેર ફોર્મ્યુલા
சி-சதுர சோதனை,ચી-સ્ક્વેર ટેસ્ટ
நாண்*,તાર*
நாண் பிரிக்கும் முறை,તાર વિભાજન પદ્ધતિ
எழுதப்பட்ட செய்தி,લેખિત સંદેશ
"பூஜ்யம், மறைக்குறியீடு","શૂન્ય, સાઇફર"
வட்டம்*,વર્તુળ*
ஒன்றிணைப்பு வட்டம்,કન્વર્જન્સ વર્તુળ
சுற்று அணி,સર્કિટ મેટ્રિક્સ
"வட்ட, வட்ட,","પરિપત્ર, પરિપત્ર"
வட்ட அறிகுறிகள்,પરિપત્ર એસિમ્પ્ટોટ્સ
வட்ட குழாய்,ગોળાકાર કોન્ડ્યુલાઇન
வட்ட இயக்கம்,પરિપત્ર ગતિ
சுற்று மையம்,પરિઘ કેન્દ્ર
ஓய்வு பெற்ற*,નિવૃત્ત*
"சுற்றி வர, சுற்றி வர","પ્રદક્ષિણા કરવી, આસપાસ દોરવું"
கடந்த,ભૂતકાળ
சுற்றத்தார்,ઘેરાયેલું
புகழ்பெற்ற கார்ப்பரேட்,પ્રખ્યાત કોર્પોરેટ
உன்னதமான இயக்கவியல்,ક્લાસિક ગતિશીલતા
உன்னதமான தேர்வுமுறை,ક્લાસિક ઓપ્ટિમાઇઝેશન
நாள்பட்ட நிதி பிரச்சனை,ક્રોનિક નાણાકીય સમસ્યા
கிளாசிக்கல் புள்ளியியல் இயக்கவியல்,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
பிழைகளின் வகைப்பாடு,ભૂલોનું વર્ગીકરણ
வகுப்பு இடைவெளி,વર્ગ અંતરાલ
வகுப்பு இடைவெளி அலகு,વર્ગ અંતરાલ એકમ
வகுப்பு வரம்பு,વર્ગ મર્યાદા
கடிகாரகடிகாரச்சுற்று,ઘડિયાળની દિશામાં
மூடப்பட்டது,બંધ
"மூடப்பட்டது, மூடப்பட்டது","બંધ, બંધ"
மூடிய அடுக்கு கவர்,બંધ સ્તર આવરણ
மூடிய கன சதுரம்,બંધ સમઘન
"மூடிய வளைவு, மூடிய வளைவு","બંધ વળાંક, બંધ વળાંક"
மூடப்பட்ட மாகாணம்,બંધ પ્રાંત
