Marathi,Assamese
गर्भाधान,নিষেচন কৰা
1. सापेक्षता 2. अॅलोमेट्री,১.আপেক্ষিকতা ২.এলোমেট্ৰি
मल्टिप्लॉइडी,multiploidy
1. पॅराझिगोसिटी,১/ পেৰাজাইগোচিটি
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
पर्यायी जमिनीचा वापर,বিকল্প ভূমি ব্যৱহাৰ
वातावरण,পৰিৱেশ
सुधारक,সংস্কাৰক
मायटोसिस,মাইট’ছিছ
आमीनान,আমিনন
अमोनियन,এমোনিয়ন
amniferous,amniferous
1. अप्रभावी रूप 2. अरुपी,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
उभयचर मिश्रण,উভচৰ মিশ্ৰণ
एम्फोटेरिक,এম্ফোটেৰিক
साठा करणे,ষ্টকপাইলিং
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
हॅप्लॉइड,হেপ্লয়ড
टोकदार लागवड,কৌণিক ৰোপণ
पशुसंवर्धन,পশুপালন
प्राण्यांचे मलमूत्र,পশুৰ মল-মূত্ৰ
जिवंत ऊर्जा,জীৱন্ত শক্তি
विसंगत,অস্বাভাৱিক
एक वर्ष जुनी वनस्पती,এবছৰীয়া উদ্ভিদ
वार्षिक,বছেৰেকীয়া
1. परमानंद 2. तेज,1. আনন্দ 2. উজ্জ্বলতা
ऍन्थ्रॅक्स,এন্থ্ৰেক্স
मानववंशजन्य घटक,মানৱজনিত কাৰকসমূহ
जगणे,জীয়াই থকা
1. प्रतिजैविक 2. प्रतिजैविक,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
तिरस्करणीय,repulsive
अँटिऑक्सिडंट,এন্টিঅক্সিডেন্ট
अँटीटॉक्सिन,এন্টিটক্সিন
अनामिका,ৰিং ফিংগাৰ
1. ऍफिड 2. महू 3. चेपा,১.এফিড ২.মহু ৩.চেপা
शीर्ष अंकुर,শীৰ্ষ কলি
शिखर प्रभावीता,শীৰ্ষ ফলপ্ৰসূতা
मधमाशी पालन,মৌমাখি ৰখা
लैंगिकता,অযৌনতা
apoptosis,এপ&#39;প্টোছিছ
परिशिष्ट,appendages
भूक वाढवणारे,appetizer
लागू,প্ৰয়োগ কৰা হৈছে
जलीय तण,জলজ অপতৃণ
1. झाड 2. वृक्षवासी,১.গছ ২.গছৰ বাসিন্দা
शाखा,শাখা-প্ৰশাখা
प्रोटोबोटॅनिकल रेकॉर्ड,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
झोन क्रमांक,জ&#39;ন নম্বৰ
1. क्षेत्रफळ 2. क्षेत्रफळ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
कोरडे इकोसिस्टम,শুকান পৰিৱেশ তন্ত্ৰ
cotyledon,কুটিলডন
सौरभ,সৌৰভ
सुगंधी वनस्पती,সুগন্ধিযুক্ত উদ্ভিদ
सुवासिक तांदूळ,সুগন্ধি চাউল
इक्षु पुष्पन,ইক্ষু পুষ্পন
ऍसेप्टिक,বীজাণুমুক্ত
1. ऍसेप्टिक 2. ऍसेप्टिक,১.এচেপ্টিক ২.এচেপ্টিক
अलैंगिक पुनरुत्पादन,অযৌন প্ৰজনন
आकार,আকাৰ
मालमत्ता,সম্পত্তি
1. आत्मसात करणे 2. आत्मसात करणे,১/ আত্মসাৎ ২. আত্মসাৎ
1. संघटना 2. संघटना,১.সংঘ ২.সংঘ
1. स्तंभ 2. तुरटपणा,1. স্তম্ভ 2. astringency
heterozygosity,হেটেৰ&#39;জাইগোচিটি
1. पूर्वज 2. Atavism,১.পূৰ্বপুৰুষ ২.আটাভিজম
कण,কণা
1. पुष्टीकरण 2. कमजोरी,1. অনিশ্চয়তা 2. বিকলতা
स्वत: ची जोडणी,self pairing
ऑटोलिसिस,অটোলাইছিছ
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
स्वत: मल्टिप्लेक्स,self multiplexed
ऑक्सिन,অক্সিন
1. हादरले 2. टॉड,১/ জোকাৰি যোৱা ২. টোড
दंडात्मक व्हायरस,পেনাল ভাইৰাছ
1. बॅसिलस 2. बॅसिलस,১.বেচিলাছ ২.বেচিলাছ
1. जीवाणू 2. जीवाणू,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
जिवाणू विष,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
बॅगासे,বাগাছ
ताळेबंद,বেলেন্স শ্বীট
संतुलित खतांचा वापर,সুষম সাৰৰ ব্যৱহাৰ
बार आलेख,বাৰ গ্ৰাফ
झाडाची साल,বাকলি
1. बॅरोमीटर 2. बॅरोमीटर,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. बजर 2. जड 3. वांझ,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. बेस 2. बेस 3. कपंग,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. तळा 2. खोरे,১.তালা ২.বেচিন
तलाबिसरी,তালাবিছাৰী
1. बेसिस्टर्नम 2. रूट धारक,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
गल्फ मान्सून,উপসাগৰীয় বাৰিষা
फळ वनस्पती,ফলৰ উদ্ভিদ
पलंग,বিছনা
बेड प्लांट,বিচনা উদ্ভিদ
बेडिंग,বিচনা চাদৰ
बीट मोलॅसेस,বুটমাহৰ গুড়
घुंगरू,bellows
1. पट्टी 2. भूप्रदेश,১.ষ্ট্ৰিপ ২.ভূখণ্ড
नफा-खर्च विश्लेषण,লাভ-খৰচ বিশ্লেষণ
इच्छुक (नमुना),আকাংক্ষিত (Sampling)
द्विवार्षिक वनस्पती,দ্বিবাৰ্ষিক উদ্ভিদ
द्विपद,দ্বিপদ
बायोफॅक्टर,বায়&#39;ফেক্টৰ
जैविक हवामान,জৈৱিক জলবায়ু
जैव ऊर्जा,জৈৱ শক্তি
प्राणी पर्यावरणशास्त्र,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
बायोस्फीअर,জৈৱমণ্ডল
जैविक,জৈৱিক
प्राणी,প্ৰাণীজগত
दिविलिंगी,ডিভিলিংগি
धवलन,ধাৱলান
1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
मिश्रण,মিশ্ৰণ
1. अंगमारी (रोग) 2. अनिष्ट (रोग),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. फोड 2. फोड 3. उद्रेक 4. फोड,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
निळी क्रांती,নীলা বিপ্লৱ
प्लॅनर हीटिंग चेंबर,প্লেনাৰ হিটিং চেম্বাৰ
प्लॅनर हीटिंग तंत्रज्ञान,সমতল উত্তাপন প্ৰযুক্তি
कोंडा,ব্ৰাণ
शाखा,শাখা-প্ৰশাখা
1. डहाळी 2. उपशाखा,১.ডাল ২.উপশাখা
जाती,বংশবৃদ্ধি
पुनरुत्पादन,প্ৰজনন
लवकर उगवण उपचार,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. शावक 2. अंडी 3. गर्भ,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
होतकरू,budding
बजेट,বাজেট
1.अॅम्फोटेरिक 2. बफर,১.এম্ফোটেৰিক ২.বাফাৰ
रताळे,মিঠা আলু
बंट (रोग),বান্ট (ৰোগ)
1. उप-उत्पादन 2. उप-उत्पादन,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ओलावा तपशील वक्र,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
तेल केक,তেলৰ কেক
1. चुना 2. कॅल्शियम,১.চূণ ২.কেলচিয়াম
कॅल्शिअन,calcion
फॉस्फेट काढणे,ফছফেট আঁতৰোৱা
1. किनटा 2. कॅलाटा,১.কিনাটা ২.কালাটা
1.कॉलस 2. किरण,১.কেলাছ ২.ৰশ্মি
1. सेपल्स 2. कॅलिक्स,1. ফুলৰ গুটি 2. calyx
बाह्य टोक,বাহ্যিক শেষ
इधा,এধা
कॅन्कर (जीवाणूजन्य रोग),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
कॅनिंग,কেনিং
आकाश,আকাশ
वित्त,বিত্ত
परागकण (अंजीराचे),পৰগাছা (ডুমুৰৰ)
1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल,১.কেপচুল ২.কেপচুল ৩.কেপচুল
कार्बनयुक्त,কাৰ্বনাইজড
कार्बनन,কাৰ্বনেন
कॅरॅपेस,carapace
ब्रेसलेट,এপাত হাতৰ অলংকাৰ
1. कास्टिंग (लोह) 2. क्षिती (कीटक),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
अपचय,কেটাবলিজম
प्रलोभन,প্ৰৰোচনা
1. सुरवंट 2. सुरवंट,1. পোক 2. পোক
c d. एन. a संकलन,গ ঘ. এন. ক. সংগ্ৰহ
श्रेणी,পৰিসৰ
1. सेल 2. सेल,১.কোষ ২.কোষ
मध्यवर्ती फ्रंट सिस्टम,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. पॉइंट 2. फोकस,1. বিন্দু 2. ফোকাচ
केंद्रापसारक,কেন্দ্ৰচালিতকৰণ
अपकेंद्रित्र,কেন্দ্ৰচালিত কৰক
तारा केंद्र,তাৰকা কেন্দ্ৰ
epigenetic,এপিজেনেটিক
केंद्रजा,কেন্দ্ৰজা
यंत्रमाग,loom
1. तृणधान्ये 2. मालिका,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. प्रमाणन 2. प्रमाणन,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
प्रमाणित बियाणे,প্ৰমাণিত বীজ
1. पेंढा 2. कुट्टी 3. शलक सहपात्रा,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. निभाग 2. कैलाजा,১.নিভাগ ২.কৈলাজা
किमोग्राफी,চাইম&#39;গ্ৰাফী
1. कियाज्मा 2. व्यस्त,১.কিয়াজমা ২.ব্যস্ত
सुपर कूलिंग तास,ছুপাৰকুলিং ঘন্টা
दंव नुकसान,হিম ক্ষতি
1. विचिरोटकी 2. चिमेरा,১/ ভিচিৰোটাকি ২.চিমেৰা
हिरवी लापशी,সেউজীয়া দাইল
1. पर्णसंभार 2. हिरवा,১.পাতল ২.সেউজীয়া
सायनोसिस,চাইন&#39;ছিছ
जैविक वितरण विज्ञान,জৈৱিক বিতৰণ বিজ্ঞান
1. क्रोमेटिड्स 2. अर्धा गुणसूत्र,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
क्रोमॅटिन,ক্ৰ&#39;মেটিন
क्रोमॅटोग्राफी,ক্ৰ&#39;মাট&#39;গ্ৰাফী
क्रोमॅटिनलेशन,ক্ৰ&#39;মেটিনেচন
अलिंद बिंदू,অলিন্দৰ বিন্দু
क्रोमेटोजेनेसिस,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. गुणसूत्र 2. गुणसूत्र,১.ক্ৰম’জম ২.ক্ৰম’জম
1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
सायरेंज,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
गडी बाद होण्याचा क्रम,পতন উৎসৱ
वर्गीकरण,শ্ৰেণীবিভাজন
1. चिकणमाती 2. चिकणमाती,১.মাটি ২.মাটি
1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
सतत परागण,স্থায়ী পৰগাছা
क्रूसिफेरस फळ,ক্ৰুচিফেৰাছ ফল
हवामान,জলবায়ু
हवामानशास्त्र,জলবায়ুবিজ্ঞান
कातरणे,shear
ढेकूळ (चिकणमाती),গোট (মাটি)
क्लोन,ক্ল&#39;ন
1.ढग 2.ढग,১.ডাৱৰ ২.ডাৱৰ
गठ्ठा,ক্লাম্প
घड,মুঠি
1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. कव्हर 2. लेदररेट,১.আৱৰণ ২.চামৰাৰ টুকুৰা
कोया,কয়া
1. कोएन्झाइम 2. को-एंझाइम,১/ কো-এনজাইম ২.কো-এনজাইম
एकसंधता,সংহতি
1. फायबर (ज्युट ज्यूट) 2. नारळ भरड,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
मुलंकुर चोळ,মুলংকুৰ চোলা
,
कोलोइड (माती),কলয়ড (মাটি)
1.स्तंभ 2.columella,১.স্তম্ভ ২.কলমেলা
1. दंड 2. स्तंभ 3. स्तंभ,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
सहभागिता,কমিউনিয়ন
व्यावसायिक बँक,বাণিজ্যিক বেংক
1. वस्तू 2. व्यापारी माल,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
समुदाय,সমুদায়
कॉम्पॅक्शन (मातीचे),সংকোচন (মাটিৰ)
1. सुसंगतता 2. सुसंगतता,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
सुसंगतता,সামঞ্জস্যতা
1. भरपाई 2. भरपाई,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
स्पर्धात्मक संवाद,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
पूरक पीक,শস্যৰ পৰিপূৰক
1.संमिश्र 2.जटिल,১.সংমিশ্ৰিত ২.জটিল
घटक,সমষ্টিবাসী
रचना,সুৰ-ৰচনা
कंपोस्ट,পচন সাৰ
चक्रवाढ व्याज,যৌগিক আগ্ৰহ
गणना,গণনা
1. संगणक 2. संगणक,1. কম্পিউটাৰ 2. কম্পিউটাৰ
1. एकाग्रता 2. एकाग्रता,১/ ঘনত্ব ২. ঘনত্ব
1. अनुकूलक 2. पुनरुज्जीवन करणारा,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
वाहकता,পৰিবাহীতা
1. कॉन्फिगरेशन 2. कॉन्फिगरेशन,1. বিন্যাস 2. বিন্যাস
1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
1. एकत्रीकरण 2. संकरीकरण,১.সংহতি ২.সংকৰকৰণ
संयुग्मन,সংযোজন
1. जोडणारा 2. संयोजी,1. যোগকৰণ 2. সংযোগী
संरक्षण,সুৰক্ষা
एकत्रीकरण,একত্ৰীকৰণ
1.घटक 2. घटक,১.উপাদান ২.উপাদান
ग्राहक,গ্ৰাহক
वापर,সেৱন
दूषित होणे,দূষণ কৰা
समोच्च लागवड,কনট্যুৰ ৰোপণ
समोच्च रेखा,কনট্যুৰ ৰেখা
1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
नियंत्रित वातावरणीय संचयन,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
सहकारी बँक,সমবায় বেংক
सहकारी संस्था सदस्य,সমবায় সমিতিৰ সদস্য
गुलमावन,গুলমাৱন
चौकोनी तुकडे,ঘনকীয়
1. दालपुंज 2. कोरोला,১.দলপুঞ্জ ২.কৰোলা
1. कॉर्टेक्स 2. कॉर्टेक्स,১.কৰ্টেক্স ২.কৰ্টেক্স
खर्च,খৰচ
cotyledon,কুটিলডন
क्रेडिट समिती,ক্ৰেডিট কমিটি
1. कर्ज देणे 2. क्रेडिट,১/ ঋণ দিয়া ২.ক্ৰেডিট
1. सावकार 2. कर्जदार,১/ ঋণদাতা ২.পাওনাদাৰ
1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर,1. শিখৰ 2. শিখৰ 3. শিখৰ
मागे घेणे,প্ৰত্যাহাৰ
समस्या,বিপদ
चाचणी,পৰীক্ষা
गंभीर,জটিল অৱস্থা
पीक विमा,শস্যৰ বীমা
पीक कर्ज,শস্যৰ ঋণ
1. पीक 2. पीक,১.শস্য ২.শস্য
लागवड क्षेत्र,খেতি কৰা অঞ্চল
क्रॉस विसंगत,ক্ৰছ অসঙ্গতিপূৰ্ণ
1. मुकुट 2. शिखर (वनस्पती),1. মুকুট 2. শিখৰ (উদ্ভিদ)
मऊ कण,কোমল কণা
कवच,খোলা
1. क्रिप्टोगाम 2. नॉन-फ्लोरिफॉर्म,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
छाटणी (फळ),ছাঁটনি (ফল)
पेन,কলম
वाणाची विविधता,জাত জাত
1. कर्षण 2. शेती 3. शेती,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
1. शेतकरी 2. शेती करणारा,১/ কৃষক ২/ খেতিয়ক
1. मशागत 2. मशागत 3. संगोपन,১.খেতি ২.খেতি ৩.পালন
1. संसाधन 2. तयारी,১.সম্পদ ২.প্ৰস্তুতি
1.कुंतलन 2.कुंचोन,১.কুন্তলন ২.কুঞ্চন
पवित्रा,মুদ্ৰা
1. एपिडर्मिस 2. क्यूटिकल,১.এপিডাৰ্মিছ ২.কিউটিকল
1. पेन 2. कटिंग 3. कटिंग 4. कटिंग 5. कटिंग,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
1. वर्म कॉर्पस 2. सिस्ट 3. सिस्ट 4. विकृत ढेकूळ 5. निओप्लाझम,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
सायटोक्रोम,চাইট&#39;ক্ৰ&#39;ম
सेल जोडणी,কোষ সংযোজন
सेल पुनरुत्पादन,কোষৰ প্ৰজনন
सेल आनुवंशिकी,কোষৰ জিনীয় বিজ্ঞান
सायटोप्लाज्मिक विभागणी,চাইট’প্লাজমিক বিভাজন
सेल जीवशास्त्र,কোষ জীৱবিজ্ঞান
सेल lysis,কোষৰ লাইছিছ
1. सायटोमेर 2. सेल सेगमेंटेशन,১) চাইট’মিৰ ২) কোষৰ বিভাজন
सायटोप्लाझम,চাইট’প্লাজম
1. दुग्धव्यवसाय 2. दुग्धव्यवसाय,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
डेअरी उद्योग,দুগ্ধ উদ্যোগ
1. धरण 2. ब्रीडर,১.বান্ধ ২.প্ৰজননকাৰী
दिवस निरपेक्ष वनस्पती,দিন নিৰপেক্ষ উদ্ভিদ
फुलांच्या नंतर दिवस,ফুল ফুলাৰ পিছদিনা
पूर्ण फुलांच्या नंतरचा दिवस,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
अकार्यक्षमता,অদক্ষতা
decalcification,ডিকেলচিফিকেশন
1. डिस्लॉज 2. डिस्लॉज,1. dislodge 2. dislodge কৰা
क्षय,পচি যোৱা
पर्णपाती,পৰ্ণপাতী
1. दशांश 2. दशांश,১.দশমিক ২.দশমিক
कनिष्ठता,হীনমন্যতা
अनुरन (माती),অনুৰণ (মাটি)
विपुष्पन,বিপুষ্পন
बिलिंग,বিলিং
जंगलतोड,বনাঞ্চল ধ্বংস কৰা
बदनामी,বদনাম
ऱ्हास,অৱক্ষয়
भाग दिवस,অংশ দিন
1. प्रमाण 2. भाग,১.পৰিমাণ ২.অংশ
विघटन,ডিহিচেন্স
भुसा काढणे,খোলা আঁতৰোৱা
भुसा काढणे,খোলা আঁতৰোৱা
निर्जलीकरण,পানীলগা
निर्जल,জলহীন
मागणी,দাবী কৰা
1. विकृतीकरण 2. गुणाकार,১.ডিনেচাৰেচন ২.গুণন
निंदा,ডেনুডেচন
1. ठेव (माती) 2. ठेव (अर्थशास्त्र),1. জমা (মাটি) 2. জমা (অৰ্থনীতি)
ठेव,জমা
1. घसारा 2. घसारा,১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস
डिसेलिनेशन,ডিচেলাইনেচন
1. पाणी कोरडे होणे 2. निर्जलीकरण,১/ পানী শুকুৱাই লোৱা ২/ পানীলগা
1. डिझाइन 2. डिझाइन,1. ডিজাইন 2. ডিজাইন
कोरडे,শুকান
कर्नल काढणे,কাৰ্ণেল আঁতৰোৱা
डी-इंटरकलेशन,ডি-ইণ্টাৰকেলেচন
संयुग्मन,সংযোজন
1. नर मांजरी उतारा (मका) 2. बल्लार उतारा,১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন
बल्लार किंवा कुंदन कटिंग,বল্লাৰ বা কুন্দন কাটিব পৰা
निर्धारक,নিৰ্ণায়ক
अवमूल्यन,বিমুদ্ৰাকৰণ
वनस्पती काढून टाकणे,ডি-ভেজিটেট
विचलन,বিচ্যুতি
दुप्पट,দুণ্ডণ
निदान,নিদান
भिन्न परिपक्वता,ভিন্ন পৰিপক্কতা
दुभाजक,bifurcation
1. डायकोटीलेडॉन 2. डायकोटीलेडॉन (बियाणे),1. দ্বিবিষাক্ত (বীজ)
पाठीचा आजार,পিঠিৰ ৰোগ
1. प्रसार 2. प्रसार,১.প্ৰসাৰণ ২.প্ৰসাৰণ
पचनक्षमता,হজম ক্ষমতা
dihybrid,ডাইহাইব্ৰিড
1. धरण 2. नाला 3. कुटुंब,১.বান্ধ ২.নলা ৩.পৰিয়াল
अल्प,সামান্য
1. एकपत्नी 2. एकपत्नी,১.একপত্নী ২.একপত্নী
