Hindi,Tamil
वीथी सस्यन,சந்து பயிர்
परनिषेक-फलता,ஒதுக்கீடு
परनिषेचन,Allocamy
"सापेक्षमिति, ऐलोमैट्री",அலோமெட்ரி
परबहुगुणित,அலோபோலிப்ளோயிட்
"परयुग्मन, अपायुग्लन",அலோசினாப்சிஸ் (அலோசின்டெசிஸ்)
"एकातंर वर्ष फलन, एकांतरित फलन",மாற்று தாங்கி
वैकल्पिक भूमि उपयोग,மாற்று நில பயன்பாடு
परिवेश,சுற்றுப்புறம்
सुधारक,அமெலியோரண்ட்
असूत्रीविभाजन,அமிடோசிஸ்
ऐमीनन,வெடிமருந்து
अमोनियन,அம்மோனிகேஃபிகேஷன்
अमोनीकारक,அம்மோனியர்
" अप्रभावी रूप, , अरूपी",அமார்
उभय मिश्रण,ஆம்பிமிக்ஸிஸ்
उभयधर्मी,ஆம்போடெரிக்
उपचय,அனபோலிசம்
"अवायुजीव, अनॉक्सी जीव",காற்றில்லா
असुगुणित,அனூப்ளோயிட்
कोणीय रोपण,கோண நடவு
पशुपालन,கால்நடை வளர்ப்பு
पशु उच्छिष्ट,விலங்கு மறுப்பு
सजीव ऊर्जा,ஆற்றல் உயிரின
असमगुणित,அனிசோப்ளோயிட்
एकवर्षीय पादप,ஆண்டு ஆலை
वार्षिक,ஆண்டு
"परागोद्भव, प्रफुल्लन",ஆன்டெஸிஸ்
ऐन्थ्रेक्स,ஆந்த்ராக்ஸ்
मानवजनिक कारक,மானுடவியல் காரணி
प्रतिजीविता,ஆண்டிபியோசிஸ்
"प्रतिजैविक, ऐन्टीबायोटिक",நுண்ணுயிர்க்கொல்லி
प्रतिकारक,மாற்று
प्रतिऑक्सीकारक,ஆக்ஸிஜனேற்றிகள்
प्रतिआविष,ஆன்டிடாக்சின்
वलयिका,ANNULUS
"ऐफिड, माहू, चेपा",அஃபிட்
शीर्ष कलिका,அபிகல் மொட்டு
शिखाग्र प्रभाविता,நுனி ஆதிக்கம்
मधुमक्खी पालन,Apulcalure (தேனீ வைத்திருத்தல்)
असंगजनन,Apomixis
एपोप्टोसिस,அப்போப்டொசிஸ்
उपांग,இணைப்பு
क्षुधावर्धक,பசி
अनुप्रयुक्त,பயன்படுத்தப்பட்டது
जलीय खरपतवार,நீர்வாழ் களை
"वृक्षीय, वृक्षवासी",ஆர்போரியல்
प्रशाखायन,ஆர்பரைசேஷன்
आद्य वानस्पतिक अभिलेख,தொல்பொருள்-பொட்டானியல் பதிவுகள்
क्षेत्रांकड़,பகுதி புள்ளிவிவரங்கள்
"क्षेत्र, क्षेत्रफल",பகுதி
शुष्क पारितंत्र,வறண்ட சுற்றுச்சூழல் அமைப்பு
"बीजचोल, बीजोपांग",Aril
"सौरभ, सुवास",நறுமணம்
सुगंधी पादप,நறுமண ஆலை
सुगंधित चावल,நறுமண அரிசி
इक्षु पुष्पन,அம்பு
अपूति,அசெப்ஸிஸ்
"अपूतित, अज़र्म",அசெப்டிக்
अलैंगिक प्रवर्धन,ஓரினச்சேர்க்கை பரப்புதல்
"आमाप, परख",மதிப்பீடு
परिसंपत्ति,சொத்துக்கள்
"स्वांगीकरण, आत्मसात्करण",ஒருங்கிணைப்பு
" साहचर्य , संघ",தொடர்பு
"स्तंभक, कषाय",ஆஸ்ட்ரிஜென்ட்
असूत्रयुग्मन,அசினாப்சிஸ்
"पूर्वजता, ऐटाविज्म",அடாவிசம்
कणित्र,அணுசக்தி
"अपुष्टि, क्षीणता",அட்ராபி
स्वयुग्मन,தன்னியக்க
स्वलयन,ஆட்டோலிசிஸ்
"स्वतः उपचयन, स्वतः ऑक्सीकरण",ஆட்டோஆக்ஸிஜனேற்றம்
स्वबहुगुणित,ஆட்டோபோலிப்ளோயிட்
ऑक्सिन,ஆக்சின்கள்
"शूक, तूड़",Awn (முறுக்கு)
बादाम,பாதம் கொட்டை
धीकुवार,கற்றாழை
"चौलाई, रामदाना",அமராந்தஸ்
अजवाइन,அம்மி
"अंजन घास, धामन घास",அஞ்சன் புல்
एंथूरियम,அந்தூரியம்
आंवला,"அன்லா, இந்திய நெல்லிக்காய்"
सेब,ஆப்பிள்
खुबानी,பாதாமி
"मोगरा, बेला",ஆர்பியன் மல்லிகை
सुपारी,அரேகா நட்டு
अर्जुन,அர்ஜுன்
हींग,Asfoetida
पेठा,சாம்பல் பூசணிக்காய்
अशोक,அசோகா மரம்
दूधी,ஆஷ்த்மா களை (யூபோர்பியா)
सतावर,அஸ்பாரகஸ்
अवोकाडो,வெண்ணெய்
"रिजक्रा, लूसर्न",அல்பால்ஃபா (லூசர்ன்)
चींटी,எறும்புகள்
"तेला, माहू",அஃபிட்ஸ்
सैनिक कीट,இராணுவ புழு
कृषि अर्थशास्त्री,விவசாய பொருளாதார நிபுணர்
कृषि प्रसार विज्ञानी,வேளாண் நீட்டிப்பு
कृषि वैज्ञानिक,விவசாய விஞ்ஞானி
कृषि अभियंता,விவசாய பொறியாளர்
कृषि जीवविज्ञानी,வேளாண் நிபுணர்
सस्य विज्ञानी,வேளாண் விஞ்ஞானி
कृषि भौतिकीविद्,வேளாண் இயற்பியல்
" प्राणि प्रजनक , पशु प्रजनक",விலங்கு வளர்ப்பாளர்
दंड विषाणु,பேசிலஸ் வைரஸ்
"दंडाणु, बैसिलस",பேசிலஸ்
"जीवाणु, बैक्टीरिया",பாக்டீரியா
जीवविष,பாக்டீரியோடாக்சின்
खोई,கரும்பு சக்கை
"तुलन-पत्र, चिट्ठा",இருப்புநிலை
संतुलित निषेचन,சீரான கருத்தரித்தல்
दंड आरेख,பார் வரைபடம்
छाल,பட்டை
"वायुदाबमापी, बैरोमीटर",காற்றழுத்தமானி
"बजर, अकृष्य, बांझ",தரிசு
"आधार, बेस, कपांग",அடித்தளம்
"थाला, द्रोणी",பேசின்
तलाभिसारी,பாசிபெட்டல்
"बेसिस्टर्नम, मूलाधारक",பாஸ்கிஸ்டெர்னம்
खाड़ी मानसून,விரிகுடா பருவமழை
फलदायी पौधा,தாங்கும் ஆலை
क्यारी,படுக்கை
क्यारी - पौधा,படுக்கை
क्यारी बनाना,படுக்கை
चुंकदर शीरा,பீட் மோலாஸ்கள்
धौंकनी,பெல்லோஸ்
"पट्टी, इलाका",பெல்ட்
लाभ-लागत विश्लेषण,நன்மை-செலவு பகுப்பாய்வு
अभिनत (प्रतिचयन),சார்புடைய (மாதிரி)
द्विवर्षीय पादप,இருபது ஆண்டு
द्विपद,இரும
जैवकारक,உயிரி கையேடு
जीव जलवायु,பயோக்ளைமேட்
जैव ऊर्जा,பயோஎனெர்ஜி
जीव पारिस्थितिकी,பயோனமிக்ஸ்
"जैव-प्रक्रियापात्र, बायो रिएक्टर",உயிரியக்கவியல்
जीव-मंडल,உயிர்க்கோளம்
जैविक,உயிரியல்
जीव प्रारूप,உயிரியல் வகை
द्विलिंगी,இருபால்
धवलन,பிளான்சிங்
"प्रध्वसं (रोग), झोंका रोग",குண்டு வெடிப்பு
सम्मिश्रण,கலவை
"अंगमारी (रोग), ब्लाइट (रोग)",ப்ளைட்
"छाला, फफोला, उद्वर्त, ब्लिस्टर",கொப்புளம்
नीली क्रांति,நீல புரட்சி
तलीय ताप चैंबर,கீழே வெப்ப அறை
तलीय ताप तकनीक,கீழே வெப்ப நுட்பம்
चोकर,பிரான்
शाखन,கிளைகள்
"टहनी, उपशाखा",கிளை
नस्ल,இனம்
"प्रजनन, अभिजनन",இனப்பெருக்க
शीघ्र अंकुरण उपचार,கரைந்து
"शाव, अंड, भ्रूण",அடைகாக்கும்
कलिकायन,வளரும்
बजट,பட்ஜெட்
"उभयप्रतिरोधी, बफर",இடையக
शल्ककंद,விளக்கை
"बंट (रोग), चोट",பன்ட்
"उपजात, उपोत्पाद",துணை தயாரிப்பு
"बबूल, कीकर",பாபுல் அகாசியா
बेबी कॉर्न,குழந்தை சோளம்
बेल,பேல்
लाजालु,பெயில்
गुलमेंहदी,பால்சம்
बांस,மூங்கில்
केला,வாழை
बरगद,ஆலமரம்
जौ,பார்லி
सावां,பார்ன்யார்ட் மில்லட்
तुलसी,துளசி
रुद्राक्ष,பாஸ்டர்ட் சிடார்
बहेड़ा,பாஸ்டர்ட் மைரோபாலன்
कचनार,ப au ஹினியா
कैफल,பே பெர்ரி
सेम,பீன்
चुकंदर,பீட்
बेलाडोना,பெல்லடோனா
बेर,பெர்
बरसीम,பெர்சீம்
पान,பெட்டல்
बिलिंबी,பிலிம்பி
करेला,பாகற்காய்
उड़द,கருப்பு கிராம்
मकोय,கருப்பு நைட்ஷேட்
बोगेनविलिया,Bougainvillea
बोटल ब्रश,பாட்டில் தூரிகை
लौकी,சுரைக்காய்
"चीकदी, पापरी",பெட்டி மரம்
ब्रेड फ्रूट,ரொட்டி பழம்
डेला,பிரைடல் க்ரீப்பர்
बैंगन,பிரிஞ்சல்
"बाकला, चौड़ी बीन",பிராட் பீன்
ब्रोकोली,ப்ரோக்கோலி
ब्रुसेल्स स्प्राउट,பிரஸ்ஸலின் முளை
कुटू,பக்வீட்
"पलाश लता, किंशुक",பியூட்டியா
घूंस,பாண்டிகூட்
भालू,தாங்க
भृंग,வண்டு
फफोला भृंग,கொப்புளம் வண்டு
नील गाय,நீல காளை
कपास की सूंड़ी,போல் புழு
तितली,பட்டாம்பூச்சி
जीवाणु विज्ञानी,பாக்டீரியாலஜிஸ்ட்
जैव रसायनविद्,உயிர் வேதியியலாளர்
जीव विज्ञानी,உயிரியலாளர்
जैव प्रौद्योगिकीविद्,பயோடெக்னாலஜிஸ்ட்
वनस्पतिविद्,தாவரவியலாளர்
c नमी विशिष्टता वक्र,சி ஈரப்பதம் சிறப்பியல்பு வளைவு
खली,கேக்
"चूनेदार, कैल्सियमी",கணக்கீட்டு
कैल्सीयन,கணக்கீடு
फॉस्फेट का निस्तापन,பாஸ்பேட் கணக்கீடு
"किणता, कैलसता",காலோசிட்டி
"कैलस, किण",கால்சஸ்
"बाह्यदल पुंज, कैलिक्स",கலிக்ஸ்
बाह्यदल अंत,கலிக்ஸ்-எண்ட்
एधा,காம்பியம்
कैंकर (जीवाणु रोग),புற்றுநோய்
डिब्बाबंदी,கேனிங்
वितान,விதானம்
पूंजी,மூலதனம்
परागण (अंजीर का),கேப்ரிஃபிகேஷன்
"संपुट, संपुटिका, कैप्सूल",காப்ஸ்யூல்
कार्बोनीकृत,கார்பனேற்றப்பட்ட
कार्बनन,கார்பனாக்கல்
अंडप,கார்பல்
मणिबंध,கார்பஸ்
" ढलाई (लोहे की) , क्षिप्ति (कीट)",வார்ப்பு
अपचय,வினையூக்கம்
उत्प्रेरण,வினையூக்கம்
"इल्ली, सूंडी",கம்பளிப்பூச்சி
C- डीएनए संग्रह,சி-டி.என்.ஏ நூலகம்
सीमा,உச்சவரம்பு
"कोशिका, कोष्ठिका",செல்
केंद्रीय अग्रलेख प्रणाली,மத்திய தலைவர் அமைப்பு
"सबिंदु, सकेंद्र",மையமாக
अपकेंद्रण,மையவிலக்கு
अपकेंद्रित,மையவிலக்கு
तारककेंद्र,சென்ட்ரியோல்
केंद्रजनिक,சென்ட்ரோஜெனிக்
केंद्रजा,சென்ட்ரெஸ்ஜெனஸ்
लूम,செர்கஸ்
"धान्य, सीरियल",தானியங்கள்
"प्रमाणीकरण, प्रमाणन",சான்றிதழ்
प्रमाणित बीज,சான்றளிக்கப்பட்ட விதை
"भूसा, कुट्टी, शल्क सहपत्र",சஃப்
"निभाग, कैलाजा",சலாசா
रसानुवर्तन,வேதியியல்
"काएज्मा, व्यत्यस्त",சியாஸ்மா
द्रुतशीतन घंटे,குளிர்ச்சியான நேரம்
शीतज क्षति,குளிர்ச்சியான காயம்
"विचित्रोतकी, किमेरा",சிமேரா
हरित दली,குளோராந்தி
"पर्णहरित, हरितक",குளோரோபில்
हरिमाहीनता,குளோரோசிஸ்
जीव वितरण विज्ञान,குளோரோலஜி
"क्रोमैटिड, अर्धगुणसूत्र",குரோமாடிட்
क्रोमैटिन,குரோமாடின்
वर्णलेखन,குரோமடோகிராபி
क्रोमोटिनलयन,குரோமாடோலிசிஸ்
परिसूत्र बिंदु,குரோமோசென்ட்ரே
वर्णजनन,குரோமோஜெனெஸிஸ்
"क्रोमोप्रोटीन, वर्णकप्रोटीन",குரோமோபுரோட்டீன்
"गुणसूत्र, क्रोमोसोम",குரோமோசோம்
"चिरकाली, दीर्घकाली, जीर्ण, पुराना",நாள்பட்ட
सिट्रेंज,சிட்ரேஞ்ச்
पर्णाभपर्व,கிளாடோட்
वर्गीकरण,வகைப்பாடு
"मृत्तिका, चिकनी मिट्टी",களிமண்
"निर्मलन, मार्जन, सफाई, शोधन",சுத்தம்
"अनुन्मील्य परागण, स्वपरागण",கிளீஸ்டோகாமி
क्रांतिक श्वसनी फल,க்ளைமாக்டெரிக் பழம்
जलवायु,காலநிலை
जलवायु विज्ञान,காலநிலைவியல்
कतरनी,கிளிப்பர்
ढेला (मिट्टी का),துணி
"क्लोन, कृन्तक",குளோன்
"मेघ, बादल",மேகம்
"पुंज (क्लंप, संपुंजन)",கொத்து
गुच्छ,கொத்து
"स्थूल, मोटा, कच्चा, अपरिष्कृत",கரடுமுரடான
"आवरण (बीज़), चर्मावरण",கோட்டை (விதை)
कोया,COCOON
"कोएन्जाइम, सह-प्रकिण्व",கோஎன்சைம்
संसंजन,ஒத்திசைவு
" रेशा (जूट पटसन) , नारियल जटा",Coir
मूलांकुर चोल,கோல்ரோஹிசா
"स्तंभमूलसंधि, कॉलर, ग्रीवा",காலர்
कोलॉइड (मृदा),கூழ் (மண்)
"स्तंभिका, कॉलुमेला",கொலுமெல்லா
"दंड, स्तंभ, कॉलम",நெடுவரிசை
सहभोजिता,துவக்கவாதம்
वाणिज्यिक बैंक,வணிக வங்கி
"जिंस, पण्य वस्तु",பொருள்
समुदाय,சமூக
"संहनन, (मृदा का)",சுருக்கம் (மண்ணின்)
"सुसंगति, संगतता",பொருந்தக்கூடிய தன்மை
सुसंगतता,பொருந்தக்கூடிய தன்மை
"क्षतिपूर्ति, मुआवजा",இழப்பீடு
स्पर्धी अन्योन्यक्रिया,போட்டி தொடர்பு
पूरक सस्य,நிரப்பு பயிர்
"सम्मिश्र, जटिल",சிக்கலான
घटक,கூறு
संघटन,கலவை
कंपोस्ट,உரம்
चक्रवृद्धि ब्याज,கூட்டு வட்டி
अभिकलन,கணக்கீடு
"अभिकलित्र, कंप्यूटर",கணினி
"सांद्रण, संकेद्रण",செறிவு
"अनुकूलक, पुनरुद्धारक",கண்டிஷனர்
चालकता,நடத்தை
"विन्यास, संरूपण",உள்ளமைவு
"अनुरूपता, समविन्यास, समरूपता",ஏற்ப
"समाकुलन, संकरण",குழப்பம்
संयुग्मन,இணைவு
"योजी, संयोजी",இணைப்பு
सरंक्षण,பாதுகாப்பு
चकबंदी,ஒருங்கிணைப்பு
"संघटक, अवयव",தொகுதிகள்
उपभोक्ता,நுகர்வோர்
उपभोग,நுகர்வு
संदूषण,மாசுபாடு
समोच्च रोपण,விளிம்பு நடவு
समोच्च रेखा,விளிம்பு
"संविदा कृषि, ठेका कृषि, अनुबंधित खेती",ஒப்பந்த விவசாயம்
नियंत्रित भंडारण,கட்டுப்படுத்தப்பட்ட சேமிப்பு
सहकारी बैंक,கூட்டுறவு வங்கி
सहकारी संस्था सदस्य,கூட்டுறவு
गुल्मवन,காப்பிஸ்
घनकंद,கோர்ம்
"दलपुंज, कोरोला",கொரோலா
"वल्कल, कॉर्टेक्स",கோர்டெக்ஸ்
लागत,செலவு
बीजपत्र,கோட்டிலிடன் (விதை)
ऋण समिति,கடன் சங்கம்
"उधार, साख",கடன்
"ऋणदाता, लेनदार",கடன் வழங்குபவர்
"शिखा, शीर्ष, शिखर",முகடு
व्याकुंचन,நொறுக்குதல்
संकट,நெருக்கடி
कसौटी,அளவுகோல்
"क्रांतिक, विकट, नाजुक",விமர்சன
फसल बीमा,பயிர் காப்பீடு
फसल ऋण,பயிர் கடன்
"सस्य, फसल",பயிர்
सस्यन क्षेत्र,பயிர் பகுதி
पार-असंगत,குறுக்கு இணக்கமானது
"मुकुट, शिखर (पादप)",கிரீடம் (ஆலை)
मृदुकण,நொறுக்கு
पपड़ी,மேல் ஓடு
"क्रिप्टोगैम, अपुष्पीपादप",கிரிப்டோகாம்
छांटन (फल),குல் (பழங்கள்)
"कल्म, वेणुकाण्ड",அடிம்
कृष्य किस्म,சாகுபடி
"कर्षण, कृषि, खेती",சாகுபடி
" किसान , कल्टीवेटर (यंत्र)",பயிரிடுபவர்
" संवर्ध , संवर्धन , पालन",கலாச்சாரம்
" संसाधन , तैयार करना",குணப்படுத்துதல்
"कुंतलन, कुंचन",கர்லிங்
मुद्रा,நாணய
"उपत्वचा, क्यूटिकल",வெட்டு
" कलम , कटाई, काटना , कटाग्र, कटावा",கட்டிங்
" कृमि कोष, सिस्ट, पुटी , विकृत गुल्म, रसौली",நீர்க்கட்டி
साइटोक्रोम,சைட்டோக்ரோம்
कोशिका युग्मन,சைட்டோகாமி
कोशिका जनन,சைட்டோஜெனெஸிஸ்
कोशिका आनुवंशिकी,சைட்டோஜெனெடிக்ஸ்
कोशिका द्रव्य विभाजन,சைட்டோகினேசிஸ்
कोशिका विज्ञान,சைட்டாலஜி
कोशिकाविघटन,சைட்டோலிசிஸ்
"साइटोमियर, कोशिका खंड",சைட்டோமியர்
कोशिका द्रव्य,சைட்டோபிளாசம்
बंदगोभी,முட்டைக்கோஸ்
नागफनी,கற்றாழை
ज़रगुल,காலெண்டுலா
"गिल्ली डंडा, गेहूं का मामा",கேனரி புல் (ஃபாலரிஸ்)
कैना,கன்னா
करीर,கபாரிஸ்
शिमला मिर्च,கேப்சிகம்
कमरख,காரம்போலா
पुसुर,கராபா
इलाइची,ஏலக்காய்
कार्नेशन,கார்னேஷன்
गाजर,கேரட்
काजू,முந்திரிப்பருப்பு
अमलतास,காசியா
अरंडी,ஆமணக்கு
फूलगोभी,காலிஃபிளவர்
सेलेरी,செலரி
चम्पा,SAMPAC
बथुआ,செனோபடியம்
चेरी टमाटर,செர்ரி தக்காளி
चेरी,செர்ரி
चना,"சுண்டல், கிராம்"
मिर्च,மிளகாய்
काकड़ा,சீனா டர்பெண்டைன் மரம்
लौकू,சவ் சவ்
गुलदाउदी,கிரிஸான்தமம்
चिचोड़ा,"சூஃபா, பூமி பாதாம்"
"चिकोरी, कारनी",சிகோரி
दालचीनी,இலவங்கப்பட்டை
सिट्रोन,சிட்ரான்
गंजनी,சிட்ரோனெல்லா புல்
मालती,மல்லிகை ஏறும்
लौंग,கிராம்பு
ग्वार बीन,கிளஸ்டர் பீன்
कहवा,கோகோ
नारियल,தேங்காய்
कॉफी,கொட்டைவடி நீர்
पत्थरचूर,கோலியஸ்
अरबी,கொலோகாசியா
इंद्रायन,"கொலோசிந்த், கசப்பான ஆப்பிள்"
जंगली पालक,பொதுவான பர்ஸ்லேன்
धनिया,கொத்தமல்லி
कपास,பருத்தி
लोबिया,கவ்பியா
कबाब-चीनी,கியூப்
खीरा,வெள்ளரி
कद्दूवर्गीय,கிகர்பிட்ஸ்
जीरा,சீரகம்
करी पत्ता,கறி இலை
शरीफा,கஸ்டார்ட் ஆப்பிள்
पुटिका वेधक,காப்ஸ்யூல் துளைப்பான்
इल्ली,கம்பளிப்பூச்சி
सिट्रस साएला,சிட்ரஸ் சைலா
झींगर,மட்டைப்பந்து
कौआ,காகம்
कटुआ,புழு வெட்டு
"डेरी, दुग्धशाला",பால்
डेरी उद्योग,பால்
" बांध , प्रजननी",அணை
दिवस निरपेक्ष पादप,நாள்-நடுநிலை
पुष्पन के बाद के दिवस,பூக்கும் சில நாட்கள்
पूर्ण पुष्पन के बाद के दिवस,முழு பூக்கும் சில நாட்கள்
निष्पुष्पन,டிப்ளஸமிங்
विकैल्सीकरण,Decalcification
"निथारना, निस्तारना",Decant
क्षय,சிதைவு
पर्णपाती,இலையுதிர்
"दशमिक, दशमलव",தசம
न्यूनता,குறைபாடு
"अनूर्णन (मृदा), वि-उर्णन",மண் (மண்)
विपुष्पन,அழிவு
विपत्रण,நீக்குதல்
वनोन्मूलन,காடழிப்பு
"अपह्रासन, अपकर्षण",சிதைவு
निम्नीकरण,சீரழிவு
अंश दिवस,பட்டம் நாட்கள்
"मात्रा, अंश",பட்டம்
स्फुटन,விலகல்
भूसी हटाना,Dehulling
भूसी हटाना,நீக்குதல்
निर्जलीकरण,நீரிழப்பு
निर्जलकारित्र,ஹைட்ரேட்டர்
मांग,தேவை
"विकृतीकरण, गुणनाशन",குறைப்பு
अनाच्छादन,மறுப்பு
"निक्षेप (मृदा), जमा (अर्थशास्त्र)",வைப்பு
निक्षेपण,படிவு
" मूल्यह्रास , अवमूल्यन विलवणीकरण",தேய்மானம் அழிவு
"जल शुष्कन, निर्जलीकरण",வறட்சி
"अभिकल्पना, डिजाइन",வடிவமைப்பு
शुष्कित्र,டெசிகேட்டர்
गुठली निकालना,அழித்தல்
वि-अंतः भूस्तारीकरण,Decuckering
वियुग्मन,தேசனாப்சிஸ்
"नर मंजरी निकालना (मक्का), बल्लर निकालना",டிடாஸல்
बल्लर या फुंदन को काटना,டிடாசெலிங்
निर्धारक,தீர்மானிக்கும்
अवमूल्यन,மதிப்புக் குறைப்பு
वनस्पतिरहित करना,Devegetation
विचलन,விலகல்
द्विक,டயட்
निदान,நோயறிதல்
भिन्नकाल पक्वता,டைக்கோகாமி
द्विभाजन,இருவகை
"द्विबीजपत्री, डाइकोटिलेड़न (बीज)",டைகோடைலெடன் (விதை)
पश्चमारी (रोग),திரும்பவும் (நோய்)
"विसरण, विसार",பரவல்
पाचनीयता,செரிமானம்
द्विसंकर,Dihibrid
"बांध, नाली, परिवाह",டைக் (டைக்)
तनु,நீர்த்த
"एकलिंगाश्रयी, पृथक् लिंगी",Dioecious
द्विगुणित,டிப்ளாய்டு
"द्विगुणित, डिप्लॉइड",டிப்ளாய்டு
द्विसूत्र,டிப்ளோனெமா
"निष्कलिकायन, कलिका निकालना",நீக்குதல்
"तवेदार हल चलाना, चक्काकरण",டிஸ்கிங்
छूट,தள்ளுபடி
रोगाणुनाशन,கிருமிநாசினி
"परिक्षेपण, प्रकीर्णन",சிதறல்
" प्रकीर्णन , प्रसरण",பரப்புதல்
विविधीकरण,பல்வகைப்படுத்தல்
विविधीकृत कृषि,பன்முகப்படுத்தப்பட்ட விவசாயம்
डीएनए सोपान,டி.என்.ஏ ஏணி
डीएनए ग्राही,டி.என்.ஏ ஏற்பி
गोदी-भाड़ा,கப்பல்துறை
प्रभावी,ஆதிக்கம் செலுத்தும்
प्रसुप्ति,செயலற்ற தன்மை
"मात्रा, खुराक, डोज",டோஸ்
दोहरा सिग्माभ वक्र,இரட்டை சிக்மாய்டு வளைவு
"झोंका, खिंचाव",வரைவு (வரைவு)
"निकास नाली, अपवाहिका",வடிகால்
जलनिकास,வடிகால்
कर्षण,வரை
" दवा पिलाना , दवाई से तर करना",நனைத்தல்
प्रसाधन (बीज),ஆடை (விதை)
"बरमा, उथली भूल, ड्रिल, वपित्र",துரப்பணம் (n.)
"सूराख करना, बेधन, बरमाना",துளையிடுதல் (Ag. Engg)
"वेधना, ड्रिल से बोना, ड्रिल से डालना",துளையிடுதல் (வேளாண்)
बूंद-बूंद सिंचाई,சொட்டு நீர் பாசனம்
