Tamil,Odiya
அலோஸ்டெரிக் தடுப்பு,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
அலோடெட்ராப்ளோயிட்,Allototreplid
அல்னஸ்,Alnus
கற்றாழை,ଆଲୋ
அச்சுடன்,ଆକ୍ସନ୍ ସହିତ |
ஆல்பா-ஆன்டிட்ரிப்சின்,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
ஆல்பா-லாக்டல்புமின்,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
ஆல்பைன் காலநிலை நிலை,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
ஆல்பைன் புல்வெளி,ଆଲପାଇନ୍ ମଟର |
ஆல்பைன் மண்டலம்,ଆଲପାଇନ୍ ଜୋନ୍
ஆல்ஸ்டோனியா,ଆଲଷ୍ଟୋନିଆ
ஆல்டர்னேரியா,ସର୍ବୋଚ୍ଚame
மாற்று,ବିକଳ୍ପ
தலைமுறையின் மாற்று,ପି generation ଼ିର ବିକଳ୍ପ
உயர நோய்,ଉଚ୍ଚତା ରୋଗ
உயரம்,ଉଚ୍ଚତା
அல்வியோலர் குழாய்,ଆଲଭୋଲାର୍ ନଳୀ |
Alytes,Aytes
அல்சீமர் நோய்,ଅଲଜାଇମର ରୋଗ |
AMACRINE CELL,ଆମାକରାଇନ୍ ସେଲ୍ |
அமராந்தேசி,ଅମରନ୍ତାସିଦା |
அமராந்தஸ்,ଅମରାନ୍ତିନ |
சுற்றுப்புற ஆஸ்மோடிக் செறிவு,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
அம்ப்ஸ்டோமா,ଅମ୍ବିଷ୍ଟୋମା |
அமைடு,ବନ୍ଧୁତ୍ୱ
அமினோ அமிலம்,ଆମିନୋ ଏସିଡ୍ |
அமினோ அமில ஏற்பி,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்,AminoicaL t rna syntHetase |
அமினோஅசிலேஷன்,ଆମିନୋଫାଇସନ୍ |
அமிடோசிஸ்,ଅମିତୋସାଇସ୍ |
அம்மோனியா,ଆମୋନିଆ
அம்மோனிகேஃபிகேஷன்,ଆମୋନିଫିକେଟ୍
அம்மோனோடெலிசம்,ଆମାମୋଟେଲ୍ଜିମ୍ |
அம்னோசென்டெசிஸ்,ଆମନିଓସେଣ୍ଟେସିସ୍ |
அம்னோசென்டெசிஸ் நுட்பம்,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
அம்னியோசைட்,ଆମନିଓକେଟ୍ |
அம்னியன்,ଆମନିଅନ୍
அம்னோடிக் திரவம்,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
அம்னோடிக் சவ்வு,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
அம்னோடிக் சாக்,ଆମନିଓଟିକ୍ ଥଳି |
அமீபா,ଆମୋବା
அமீபோசைட்,ଆମୋବାଇଟିଟ୍ |
அமீபாய்டு,ଆମୋବିଏଡ୍
அமீபாய்டு லிம்போசைட்,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
அமீபாய்டு இயக்கம்,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
உருவமற்ற,ଆମୋରଫସ୍ |
தொகை,ପରିମାଣ
ஆம்பெடமைன்,ଆମ୍ଫେଟାମାଇନ୍ |
ஆம்பிபியா,ଆମ୍ଫିବିଆ
ஆம்பிபியன்,ଆମ୍ଫିବିଆନ୍
ஆம்பிபியன்,ଆମ୍ଫିବିଆନ୍
ஆம்பியோக்ஸஸ்,ଆମ୍ଫାଇଓକ୍ସସ୍ |
ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
ஆம்பிபாதிக்,ଆମ୍ଫିସିଚିକ୍ |
ஆம்பிபாதிக் லிப்பிட்,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
ஆம்பிசர்கா,ଆମ୍ଫାଇସାର୍କା |
ஆம்பிசிலின்,Ampicilillin
ஆம்புல்லா,ଅମପୁଲାଲା |
ஆம்பல்லரி சுரப்பி,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
அமிக்டால்,ଆମିଜିଡାଲ୍ |
அமிக்டேல்,ଆମିଗଡାଲେ |
அமிக்டலின்,ଆମିଗାଡାଲିନ୍ |
அமிலேஸ்,ଆମିଲେଜ୍
அமிலோபிளாஸ்ட்,ଆମିଏଲପ୍ଲାଷ୍ଟ |
அனபீனா,ଅବାନା
அனபாஸ்,ଅରବା
அனபோலிக் பாதைகள்,ଆନାବୋଲିକ୍ ପଥ |
அனபோலிசம்,ଆନାବୋଲିଜିମ୍ |
அனகார்டியாசி,ଆନାଚାର୍ଡସିଆନା |
இரத்த சோகை,ରକ୍ତଦାତା
காற்றில்லா,ଆନାରୋବେ |
காற்றில்லா எரிபொருள்,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
காற்றில்லா சுவாசம்,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
காற்றில்லா கசடு டைஜெஸ்டர்,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
காற்றில்லா,ଆନାରକୋବର |
அனைமா,ଆନିମା
குத,ଆନାଲ୍
குத,ଆନାଲ୍
குத துளை,ଆନାଲ୍ ଆପେଚର |
குத செர்சி,ଆନାଲ୍ ccor
குத லூப்,ଆନାଲ୍ ଲୁପ୍ |
குத பாணி,ଆନାଲ୍ ଶ style ଳୀ
ஒப்பீட்டு,ଅନୁରୂପ
ஒப்பீட்டு,ଅନୁରୂପ
ஒப்புமை,ଆନାଲୋଜି
ஒப்புமை,ଆନାଲୋଜି
பகுப்பாய்வு,ବିଶ୍ଳେଷଣ |
அனாபேஸ்,ଅଯାସୀ
உடற்கூறியல் தடை,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
உடற்கூறியல் அம்சம்,ଆନାଟୋମିକାଲ୍ ଦିଗ |
உடற்கூறியல் நிபுணர்,Anatomist-
உடற்கூறியல்,ଆନାଟୋମି |
மூதாதையர் வழித்தோன்றல் வரிசை,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
மூதாதையர் பரம்பரை,ପ ancest ତୃକ ରେଖା |
மூதாதையர் வரிசை,ପ ancest ତୃକ କ୍ରମ |
அன்சிலோஸ்டோமா,ଏକସେଲୋସୋମା |
ஆண்ட்ரோசியம்,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
ஆண்ட்ரோஜன்,ଆଣ୍ଡ୍ରୋଜେନ |
இரத்த சோகை,ରକ୍ତଦାତା
அனிமோன்,ଆନିମୋନ୍ |
அனூப்ளோயிட்,ଆନୁପ୍ଲଏଡ୍ |
அனூப்ளோயிடி,ଆନୁପ୍ଲୋଡି
ஆஞ்சினா,ଆଞ୍ଜିନା
ஆஞ்சியோகிராம்,ଆଞ୍ଜିୟରମ୍ |
ஆஞ்சியோகிராஃப்,ଆଙ୍ଗିଓଗ୍ରାଗ୍
ஆஞ்சியோகிராஃபி,ଆଙ୍ଗିଓଗ୍ରାଫି |
ஆஞ்சியோபிளாஸ்டி,An anivoplasty
ஆஞ்சியோஸ்பெர்ம்,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
ஆஞ்சியோடென்சின்,Anigiotensin |
ஆஞ்சியோடென்சினோஜென்,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
ஆங்லர் மீன்,ଅଙ୍ଗର ମାଛ |
அங்குயினா,ଆଞ୍ଜୁଆନା
ஆங்குயிஸ்,ଆଙ୍ଗୁଠି
விலங்கு,ପଶୁ
விலங்கு,ପଶୁ
விலங்கு சாணம்,ପଶୁ ଗୋବର
கால்நடை வளர்ப்பு,ପଶୁ କୁମ୍ଭାରୀ
விலங்கு காரியோடைப்பிங்,ପଶୁ କାରିଟାଇପିଂ |
விலங்கு இராச்சியம்,ପଶୁ ରାଜ୍ୟ
விலங்கு திசு,ପଶୁ ଟିସୁ |
விலங்கு,ପଶୁ
அனியன்,ଆନାୟଣ
அனிசோட்ரோபிக் பேண்ட்,ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |
அனீலிங்,ଆନାଲିଟିଂ
Annelid,Annleled
அன்னெலிடா,ଆଙ୍କିଲଦା |
ஆண்டு வளையம்,ବାର୍ଷିକ ରିଙ୍ଗ |
வருடாந்திர,ପୁର୍ଣ୍ଣିକ
Annule,ନିନ୍ଦା
ஒழுங்கற்ற வகை,ଆନୋମାଲିୟ ପ୍ରକାର |
அனோபீல்ஸ்,ଅଧପତ୍ର
எறும்பு உண்பவர்,ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ
விரோதமான,ବିରୋଧୀ |
அண்டார்டிக்,ଅପବିତ୍ର
ஆண்டெனா,ଆଣ୍ଟେନା |
ஆண்டெனா காம்ப்ளக்ஸ்,ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |
ஆண்டெனல் சுரப்பி,ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |
முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு,ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |
முன்புற ஹைப்போபிஸிஸ்,ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |
முன்புற தலையீட்டு சல்கஸ்,ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |
மகரந்தம்,ଅଙ୍କନ
மகரந்த கலாச்சாரம்,ଆନାଥନ୍ ସଂସ୍କୃତି
Anteridium,ଆନିଚାଇଡିୟମ୍ |
ஆந்தமாசி,ଆନ୍ଥ୍ରୋଜଏଡ୍ |
அந்தோசெரோஸ்,ଆନ୍ଥୋକେସୋସ୍ |
அந்தோசெரோடோப்சிடா,ଆନ୍ଫୋସିଆରୋଟୋସିଡା |
ஆந்த்ராக்ஸ்,ଆନ୍ଥ୍ରାକ୍ସ |
மானுடவியல் அழிவு,ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |
மானுடவியல்,ଆନ୍ଥ୍ରୋପୋଲୋଜି |
பாக்டீரியா எதிர்ப்பு,ଆଣ୍ଟିବଜାର କଟୁ
ஆண்டிபயாடிக் பென்சிலின்,ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |
ஆண்டிபயாடிக் எதிர்ப்பு,ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |
நுண்மணி,ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ)
ஆன்டிபாடி,ଆଣ୍ଟିବଡି |
ஆன்டிபாடி ஜோடி,ଆଣ୍ଟିବଡି ଦମ୍ପତି |
ஆன்டிபாடி மத்தியஸ்த நோய் எதிர்ப்பு சக்தி,ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |
