Hindi,Assamese
निरपेक्ष यथार्थता,নিৰপেক্ষ বাস্তৱতা
निरपेक्ष पता,নিৰপেক্ষ ঠিকনা
भूसापेक्ष तुंगतामापी,ভূ-আপেক্ষিক উচ্চতামাপক
भूसापेक्ष तुंगता,ভূতাত্ত্বিক উচ্চতা
निरपेक्ष ऐम्पियर,নিৰপেক্ষ এম্পিয়াৰ
परम क्वथनांक,নিৰপেক্ষ উতলাংক
निरपेक्ष तेजमापीय दीप्ति,নিৰপেক্ষ আলোকসজ্জা
निरपेक्ष धारिता,নিৰপেক্ষ ধাৰণক্ষমতা
निरपेक्ष ऊँचाई,নিৰপেক্ষ উচ্চতা
निरपेक्ष वर्णाक,নিৰপেক্ষ ৰঞ্জক পদাৰ্থ
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস"
निरपेक्ष कूलॉम,নিৰপেক্ষ coulomb
पूर्ण अंधकार,সম্পূৰ্ণ অন্ধকাৰ
निरपेक्ष कालनिर्धारण,নিৰপেক্ষ সময়সূচী
निरपेक्ष घनत्व*,নিৰপেক্ষ ঘনত্ব*
निरपेक्ष अपवहन,নিৰপেক্ষ নিষ্কাশন
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক)
निरपेक्ष दक्षता,নিৰপেক্ষ দক্ষতা
निरपेक्ष विद्युतमापी,নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক
निरपेक्ष आर्द्रता,নিৰপেক্ষ আৰ্দ্ৰতা
निरपेक्ष आपतन,নিৰপেক্ষ প্ৰাদুৰ্ভাৱ
निरपेक्ष अपवर्तनांक,নিৰপেক্ষ বিবৰ্তন সূচকাংক
निरपेक्ष अस्‍थायित्व,নিৰপেক্ষ অস্থিৰতা
निरपेक्ष अस्‍थायित्व,নিৰপেক্ষ অস্থিৰতা
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता","নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা"
शैथिल्य की निरपेक्ष सीमा,এষ্টেনিয়াৰ নিৰপেক্ষ সীমা
निरपेक्ष ज्योतिर्मयता देहली,নিৰপেক্ষ আলোকসজ্জা sill
निरपेक्ष ज्योति वक्र,নিৰপেক্ষ পোহৰৰ বক্ৰ
निरपेक्ष कांतिमान,নিৰপেক্ষ পৰিমাণ
निरपेक्ष दाबांतरमापी,নিৰপেক্ষ বেৰ&#39;মিটাৰ
परम उच्चिष्ठ,পৰম পৰম
निरपेक्ष चरम सीमांक,নিৰপেক্ষ চৰম
परम निम्निष्ठ,নিৰপেক্ষ সৰ্বনিম্ন
निरपेक्ष संवेग,নিৰপেক্ষ গতিবেগ
निरपेक्ष गति,নিৰপেক্ষ গতি
निरपेक्ष संगीत,নিৰপেক্ষ সংগীত
निरपेक्ष प्रेक्षण,নিৰপেক্ষ পৰ্যবেক্ষণ
निरपेक्ष ओम,নিৰপেক্ষ ওম
निरपेक्ष दिगविन्यास,নিৰপেক্ষ অভিমুখীতা
निरपेक्ष विद्युत्-शीलता,নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা
निरपेक्ष तारत्व,নিৰপেক্ষ মাধ্যাকৰ্ষণ
निरपेक्ष दाब,নিৰপেক্ষ চাপ
निरपेक्ष गुणधर्म,নিৰপেক্ষ সম্পত্তি
निरपेक्ष अदिश,নিৰপেক্ষ স্কেলাৰ
ताप का परम मापक्रम*,উষ্ণতাৰ চূড়ান্ত স্কেল*
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता","নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা"
निरपेक्ष प्रतिबल,নিৰপেক্ষ চাপ
निरपेक्ष सममिति,নিৰপেক্ষ প্ৰতিসমতা
निरपेक्ष गति-निकाय,নিৰপেক্ষ গতি শৰীৰ
निरपेक्ष मात्रक पद्धति,নিৰপেক্ষ একক ব্যৱস্থা
परम ताप,নিৰপেক্ষ উষ্ণতা
निरपेक्ष काल,নিৰপেক্ষ সময়
निरपेक्ष मात्रक,নিৰপেক্ষ এককসমূহ
निरपेक्ष मान,নিৰপেক্ষ মূল্য
पूर्णाक अभिकलित्र,পূৰ্ণসংখ্যা কেলকুলেটৰ
निरपेक्ष वेग,নিৰপেক্ষ বেগ
निरपेक्ष श्यानता,নিৰপেক্ষ আঠালতীয়াতা
निरपेक्ष भार,নিৰপেক্ষ ওজন
परम शून्य*,নিৰপেক্ষ শূন্য*
शून्य का निरपेक्ष भाजक,শূন্যৰ নিৰপেক্ষ হজক
अवशोषण करना,শুহি লোৱা
अवशोषणांक*,শোষণ সূচকাংক*
अवशोषित ऊर्जा,শোষিত শক্তি
"अवशोषक, अवशोषी","শোষক, শোষক"
अवशोषी माध्यम*,শোষক মাধ্যম*
अवशोषण सामर्थ्य,শোষণ ক্ষমতা
अवशोषणांश,শোষণ ক্ষমতা
अवशोषणमापी*,শোষণমাপক*
अवशोषणामिति*,শোষণমিতি*
अवशोषण,শোষণ
अवशोषण - बैन्ड*,শোষণ - বেণ্ড*
अवशोषण परिपथ,শোষণ বৰ্তনী
अवशोषण-गुणांक,শোষণ সহগ
अवशोषण-स्तम्भ,শোষণ স্তম্ভ
अवशोषण-स्थिरांक,শোষণ ধ্ৰুৱক
अवशोषण सांतत्यक,শোষণ ধাৰাবাহিকতা
अवशोषण-परिक्षेत्र,শোষণ অঞ্চল
अवशोषण-धारा,শোষণ কাৰেণ্ট
अवशोषण वक्र*,শোষণ বক্ৰ*
अवशोषण भंग,শোষণ ভাঙন
अवशोषण कोर,শোষণ কোৰ
अवशोषण गुणक,শোষণ কাৰক
अवशोषण फिल्टर,শোষণ ফিল্টাৰ
अवशोषण ज्वाला प्रकाशमिति*,শোষণ শিখা ফটোমেট্ৰি*
अवशोषण आर्द्रतामापी,শোষণ হাইগ্ৰ’মিটাৰ
अवशोषण घातांक,শোষণ ঘাত
अवशोषण सीमांत,শোষণ প্ৰান্তীয়
अवशोषण रेखा,শোষণ ৰেখা
अवशोषणजन्य हानि,শোষণ ক্ষতি
अवशोषण माडुलन,শোষণ মডুলেচন
प्रकाश अवशोषण,পোহৰ শোষণ
विकिरण ऊर्जा का अवशोषण,বিকিৰণ শক্তি শোষণ কৰা
अवशोषण शिखर,শোষণ শিখৰ
अवशोषण प्रकाशमिति,শোষণ আলোকমিতি
अवशोषण अनुपात,শোষণ অনুপাত
अवशोषण श्रेणी*,শোষণ পৰিসৰ*
अवशोषण स्पेक्ट्रम प्रकाशमिति*,শোষণ বৰ্ণালী আলোকমিতি*
अवशोषण स्पेक्ट्रम*,শোষণ বৰ্ণালী*
"अवशोषण नली, अवशोषण नाल","শোষণ নলী, শোষণ নলী"
अवशोषण तरगमापी,শোষণ হাইগ্ৰ’মিটাৰ
अवशोषी*,শোষক*
अवशोषी क्षीणकारी,শোষক বাষ্পীভৱনকাৰী
अवशोषण नियम*,শোষণ নিয়ম*
अवशोषण माध्यम,শোষণ মাধ্যম
"अवशोषण क्षमता, अवशोषकता*","শোষণ ক্ষমতা, শোষণ ক্ষমতা*"
अवशोषकता*,শোষণ ক্ষমতা*
स्टूडिओ सज्जा,ষ্টুডিঅ&#39; সজ্জা
बाहुल्य अनुपात,বহুগুণতা অনুপাত
ऐबवोल्ट,abvolt
ऐबवाट,বিষয়ে
त्वरित करना,ত্বৰান্বিত কৰক
त्वरण-विराम दूरी,ত্বৰণ-বন্ধ দূৰত্ব
त्वरित,খৰধৰকৈ উঠিল
त्वरित कालप्रभावन परीक्षण,দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা
त्वरित प्रवाह,দ্ৰুত প্ৰবাহ
त्वरित गति,দ্ৰুত গতি
त्वरित निकाय,দ্ৰুত শৰীৰ
त्वरक तुला,ত্বৰণকাৰী ওজনকাৰী
त्वरक इलैक्ट्रोड*,ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*
त्वरक काल*,ত্বৰক সময়*
त्वरक प्रावस्था,ত্বৰণকাৰী পৰ্যায়
त्वरक दर,ত্বৰণকাৰীৰ হাৰ
त्वरक वोल्टता*,এক্সিলেটৰ ভোল্টেজ*
त्वरण,বেগ বৃদ্ধি
त्वरणिक अपदहन,ত্বৰান্বিত দহন
त्वरण गुणांक,ত্বৰণ সহগ
त्वरण घटक,ত্বৰণ উপাদান
गुरूत्वीय त्वरण,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
त्वरण गुणक,ত্বৰণ কাৰক
त्वरणिक प्रतिभरण,ত্বৰিত চাৰ্জ
गुरूत्व त्वरण,মাধ্যাকৰ্ষণৰ ত্বৰণ
त्वरण विभव,ত্বৰণ বিভৱ
त्वरण-नियम,ত্বৰণ আইন
त्वरण-प्रक्रम,ত্বৰণ প্ৰক্ৰিয়া
त्वरण प्रेदश,ত্বৰণ অঞ্চল
त्वरण प्रविधी,ত্বৰণ পদ্ধতি
"त्वरण सहिष्णुता, त्वरण सहनसीमा","ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা"
त्वरण-सदिश,ত্বৰণ ভেক্টৰ
त्वरण-वोल्टता,ত্বৰণ-ভোল্টেজ
त्वरण तरंग,ত্বৰণ তৰংগ
त्वरक,ত্বৰণকাৰী
"त्वरित्र, त्वरक*","accelerate, ত্বৰণকাৰী*"
त्वरक समीकरण,ত্বৰক সমীকৰণ
त्वरणलेखी*,ত্বৰণকাৰী*
त्वरणमापी,এক্সিলেৰমিটাৰ
त्वरणमापीय सुमेलन,এক্সিলেৰমিটাৰ মিলন
प्राक्प्रबलक,প্ৰিষ্ট্ৰেছাৰ
मान्य वर्ण,বৈধ আখৰ
स्वीकरण-कोण,গ্ৰহণযোগ্যতা কোণ
स्वीकरण-विनिर्देश,গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ
स्वीकारी परीक्षण,গ্ৰহণযোগ্য পৰীক্ষা
"ग्राही*, स्वीकारी","গ্ৰহণকাৰী*, গ্ৰহণকাৰী"
ग्राही परमाणु,ৰিচেপ্টৰ পৰমাণু
ग्राही आबंध,ৰিচেপ্টৰ বণ্ড
ग्राही परिपथ,ৰিচিভাৰ চাৰ্কিট
ग्राही स्तर,ৰিচেপ্টৰ স্তৰ
आदाता अणु,দাতা অণু
ग्राही गुणधर्म,ৰিচেপ্টৰ বৈশিষ্ট্য
ग्राही गुणधर्म तल,ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ
त्वरक नली,এক্সিলেটৰৰ নলী
"अभिगम, प्रतीक्षा, अभिगम्यता","প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ"
अभिगम भुज,প্ৰৱেশ ভূজ
अभिगम-तंत्र,অভিগম ব্যৱস্থাপ্ৰণালী
अभिगम काल,প্ৰৱেশ সময়
अभिगम्यता,অভিগম্যতা
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन","অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক"
अतिरिक्त प्रतिबन्ध,অতিৰিক্ত নিষেধাজ্ঞা
संयोगी संपात,কাকতালীয়
संयोगी संपात-संशोधन,আকস্মিক সংশোধন
आकस्मिक द्विजनन,আকস্মিক জৈৱজন্ম
आकस्मिक द्विअपवर्तन,আকস্মিক ডাইভাৰচন
आगन्तुक त्रुटि,দৰ্শকৰ ভুল
"आकस्मिक रोक, आकस्मिक जकड़","হঠাৎ বন্ধ, হঠাৎ বন্ধ"
आकस्मिक संचारण,আকস্মিক সংক্ৰমণ
आकस्मिक विचरण,ৰেণ্ডম ভ্যাৰিয়েন্স
समंजन,সমন্বয়
प्रतिस्थित,অৱস্থিত
संचित त्रुटि,সঞ্চিত ভুল
"संचय, संचयन","সঞ্চয়, সঞ্চয়"
ऊर्जा संचय,শক্তি সংৰক্ষণ
संचायक*,এক্যুলেটৰ*
यथार्थता,শুদ্ধতা
यथार्थ,বাস্তৱতা
यथार्थ उपकरण प्रेक्षण,বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ
यथार्थ परास चिह्नक,সঠিক ৰেঞ্জ মাৰ্কাৰ
यथार्थ क्रमवीक्षण,নিখুঁত স্কেনিং
अभ्यसन,অভ্যাস
त्वरक कोष्ठ*,ত্বৰক কোষ*
अवर्णक लेन्स*,ৰঙীন লেন্স*
अवर्णक*,অৰঙীন*
अवर्णक विश्लेषक,ৰঙীন বিশ্লেষক
आवृत्ति निरपेक्ष ऐन्टेना,ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা
अवर्णक आकृति,ৰঙীন আকৃতি
अवर्णक फ्रिंज,achromatic ফ্ৰিঞ্জ
अवर्णक लेन्स*,ৰঙীন লেন্স*
अवर्णक बिन्दु पथ,ৰঙীন বিন্দু পথ
अवर्णक अभिदृश्य लेन्स,ৰঙীন লেন্স
अवर्णक प्रिज़्म,ৰঙীন প্ৰিজম
अवर्णक दूरदर्शक,achromatic টেলিস্কোপ
अवर्णकता*,achromaticity*
अवर्णीकरण*,achromatization*
अवर्णकता*,achromaticity*
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी","ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য"
"एकॉर्न नली, बंजु नली","একৰ্ণ নলী, বঞ্জু নলী"
लघु वाल्व,ক্ষুদ্ৰ ভালভ
एकूफ़ोनी,প্ৰতিধ্বনি
ध्वानिक,একাউষ্টিক
ध्वानिक अवशोषकता,ধ্বনি শোষণ ক্ষমতা
ध्वानिक क्षीणन गुणांक,শব্দৰ ক্ষীণকৰণ সহগ
ध्वानिक क्षीणनांक,শব্দৰ ক্ষীণকৰণ
ध्वानिक चोर अलार्म,একাউষ্টিক চোৰ এলাৰ্ম
ध्वानिक धारिता,ধ্বনিযুক্ত ধাৰণক্ষমতা
श्रवण-केन्द्र,শ্ৰৱণ কেন্দ্ৰ
ध्वानिक स्पष्टकारी,ধ্বনিগত ব্যাখ্যা
ध्वानिक छदपट्ट,একাউষ্টিক কভাৰ
ध्वानिक अनुवृत्ति,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वानिक घटक,ধ্বনি উপাদান
ध्वानिक चालकता,ধ্বনি পৰিবাহীতা
ध्वानिक अवमंदन,একাউষ্টিক ডেম্পিং
ध्वानिक परिक्षेपण,ধ্বনিগত বিক্ষিপ্ততা
ध्वनि हासक,শব্দ হেকাৰ
ध्वानिक ऊर्जा*,ধ্বনি শক্তি*
ध्वनिक ऊर्जा समीकरण,ধ্বনি শক্তি সমীকৰণ
ध्वानिक समीकरण,ধ্বনি সমীকৰণ
ध्वानिक पुनर्निवेश,শব্দ পুনৰুদ্ধাৰ
क्लैडनी आकृतियाँ,ক্লেডনি আকৃতি
ध्वानिक फ़िल्टर,একাউষ্টিক ফিল্টাৰ
ध्वनि जनित्र,শব্দ উৎপাদক
ध्वानिक ग्रेटिंग,একাউষ্টিক গ্ৰেটিং
ध्वानिक प्रतिबाधा*,একাউষ্টিক ইম্পিডেন্স*
ध्वानिक जड़त्व,শব্দৰ জড়তা
ध्वानिक तीव्रता,শব্দৰ তীব্ৰতা
ध्वानिक व्यतिकरणमापी,শব্দৰ হস্তক্ষেপ মিটাৰ
ध्वानिक अतिक्रमण संसूचक,একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ
ध्वानिक लेन्स,একাউষ্টিক লেন্স
ध्वनि लाइन,শব্দ ৰেখা
ध्वानिक संहति,ধ্বনিযুক্ত ভৰ
ध्वानिक सामग्री,ধ্বনিগত পদাৰ্থ
ध्वानिक माध्य मुक्त पथ,শব্দৰ অৰ্থ মুক্ত পথ
ध्वानिक विधा,একাউষ্টিক মোড
ध्वानिक रव,শব্দৰ শব্দ
ध्वानिक ओम*,ধ্বনিযুক্ত ওম*
"ध्वानिक पैनल, ध्वानिक पट्ट","একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড"
ध्वानिक प्रावस्था स्थिरांक,ধ্বনি পৰ্যায় ধ্ৰুৱক
ध्वानिक उद्ग्राही,একাউষ্টিক ৰিচিভাৰ
ध्वानिक दाब,শব্দৰ চাপ
ध्वनि का समरूपता नियम,শব্দৰ প্ৰতিসমতা নিয়ম
ध्वानिक संचरणांक,শব্দ সংক্ৰমণ
ध्वानिक गुणधर्म,ধ্বনিগত ধৰ্ম
ध्वानिक चतुर्ध्रुवी,ধ্বনিযুক্ত চতুৰ্ভুজ
ध्वानिक विकिरक अवयव,ধ্বনি বিকিৰণ মৌল
ध्वनिक विकिरण,ধ্বনি বিকিৰণ
ध्वनि-विकिरक,শব্দ নিবাৰণ
ध्वानिक-विकिरणमापी,একাউষ্টিক ৰেডিঅ&#39;মিটাৰ
ध्वानिक प्रतिघात,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वानिक पारस्पर्य प्रमेय,ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য
ध्वानिक अपचयन गुणक,শব্দ হ্ৰাস কাৰক
ध्वानिक परावर्तन गुणांक,ধ্বনি প্ৰতিফলন সহগ
ध्वानिक अपवर्तन,ধ্বনি বিবৰ্তন
ध्वानिक प्रतिरोध,শব্দ প্ৰতিৰোধ ক্ষমতা
ध्वानिक अनुक्रियता,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वानिक प्रकीर्णन,ধ্বনিগত বিক্ষিপ্ততা
श्रवण-बिन्दु,শুনা বিন্দু
ध्वानिक दुर्नम्यता,শব্দৰ কঠিনতা
ध्वानिक तंत्र,শব্দ ব্যৱস্থা
ध्वानिक तापमापी,একাউষ্টিক থাৰ্মোমিটাৰ
ध्वानिक-वेग,শব্দৰ বেগ
ध्वनि तरंग,শব্দ তৰংগ
ध्वानिक,একাউষ্টিক
ध्वनि अवशोषण गुणांक,শব্দ শোষণ সহগ
ध्वनि अवशोषण घटक,শব্দ শোষণ উপাদান
ध्वानिक परिपथ,একাউষ্টিক বৰ্তনী
ध्वानिक अनुवृत्ति,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वानिक विलंब लाइन,শব্দ বিলম্ব ৰেখা
ध्वानिक विरूपण,ধ্বনিগত বিকৃতি
ध्वानिक और्जिकी,একাউষ্টিক একাউষ্টিক
ध्वानिक फ़िल्टर,একাউষ্টিক ফিল্টাৰ
ध्वानिक प्रतिबाधा*,একাউষ্টিক ইম্পিডেন্স*
ध्वनि-भ्रामिका,ফ&#39;ন&#39;গ্ৰাফ
ध्वानिक ओम*,ধ্বনিযুক্ত ওম*
ध्वानिक कला नियतांक,ধ্বনি ধ্ৰুৱক
ध्वानिक फ़ोनान,একাউষ্টিক ফ&#39;নন
ध्वानिक संचरण नियतांक,ধ্বনি সংবহন ধ্ৰুৱক
ध्वनि परिवर्तन गुणांक,শব্দ পৰিৱৰ্তন সহগ
ध्वानिक प्रतिरोध,শব্দ প্ৰতিৰোধ ক্ষমতা
ध्वानिक दुर्नम्यता,শব্দৰ কঠিনতা
ध्वनि-मात्रक,শব্দ একক
ध्वनिरूद्ध,শব্দ নিবাৰণ
ध्वानिक पार्श्व रेखा,একাউষ্টিক চাইড লাইন
"ध्वानिकी, ध्वानिकता","শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান"
ध्वनिमापी,শব্দ মিটাৰ
ध्वनि दाब,শব্দৰ চাপ
अर्जन रेडार,অধিগ্ৰহণ ৰাডাৰ
प्रकाश रसोक्रिय विकिरण,সালোক সংশ্লেষণ বিকিৰণ
ऐक्टिनियम उत्सर्जन,এক্টিনিয়াম নিৰ্গমন
ऐक्टिनो-यूरेनियम,এক্টিনো-ইউৰেনিয়াম
ऐक्टिनो-यूरेनियम श्रेणी,এক্টিনো-ইউৰেনিয়াম শৃংখলা
विकिरण-विद्युत्,ৰেডিঅ&#39;ইলেক্ট্ৰিক
"ऐक्टिनोमीटर, प्रकाशरसोक्रियामापी","এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ"
"क्रिया, कर्म","কাৰ্য্য, কাৰ্য্য"
क्रिया और प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
क्रिया स्थिरांक,ক্ৰিয়া ধ্ৰুৱক
प्रभाव क्षेत्र,প্ৰভাৱৰ ক্ষেত্ৰ
"सक्रियित, सक्रियकृत","সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে"
सक्रियित विसरण,সক্ৰিয় প্ৰসাৰণ
"साक्रियकृत तंतु, सक्रियित तंतु","সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ"
सक्रियण प्रभाव,সক্ৰিয়কৰণ প্ৰভাৱ
सक्रियण प्रभाव,সক্ৰিয়কৰণ প্ৰভাৱ
सक्रियण-विश्लेषण,সক্ৰিয়কৰণ বিশ্লেষণ
सक्रियता केन्द्र,কাৰ্য্যকলাপ কেন্দ্ৰ
सक्रियण-परिक्षत्र,সক্ৰিয়কৰণ পৰীক্ষক
सक्रियण ऊर्जा,সক্ৰিয়কৰণ শক্তি
सक्रियण ऐन्ट्रॉपी,সক্ৰিয়কৰণ এণ্ট্ৰপি
सक्रियण अधिवोल्टता,সক্ৰিয়কৰণ অতিভোল্টেজ
सक्रियण दर,সক্ৰিয়কৰণৰ হাৰ
"सक्रियकारक, सक्रियक","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
सक्रियक परमाणु,সক্ৰিয়কৰ্তা পৰমাণু
त्वरक-सक्रियक,ত্বৰণকাৰী
सक्रिय अवशोषण,সক্ৰিয় শোষণ
सक्रिय एरियल,সক্ৰিয় আকাশী
विकिरण ख़तरा क्षेत्र,বিকিৰণৰ বিপদজনক অঞ্চল
सक्रिय युक्ति,সক্ৰিয় ডিভাইচ
सक्रिय अभिलक्ष्यन,সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ
सक्रिय हाइड्रोजन*,সক্ৰিয় হাইড্ৰজেন*
सक्रिय जालक,সক্ৰিয় জাল
"सक्रिय लाइन, सक्रिय रेखा",সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা
सक्रिय पाश,সক্ৰিয় লুপ
सक्रिय संहति*,সক্ৰিয় ক&#39;ড*
सक्रिय सामग्री,সক্ৰিয় উপাদান
सक्रिय अणु,সক্ৰিয় অণু
सक्रिय जाल,সক্ৰিয় জাল
सक्रिय पुनरवशोषण,সক্ৰিয় পুনৰ শোষণ
सक्रिय क्षेत्र,সক্ৰিয় অঞ্চল
सक्रिय नियमन,সক্ৰিয় নিয়ন্ত্ৰণ
सक्रिय उपग्रह,সক্ৰিয় উপগ্ৰহ
सक्रिय कलंकीय सौर ज्वाला,সক্ৰিয় বিভাজনশীল সৌৰ শিখা
सक्रिय सूक्ष्मात्रिक पदार्थ,সক্ৰিয় অণুপুষ্টিকৰ উপাদান
सक्रिय अनुवर्तन तंत्र,সক্ৰিয় অনুসৰণ ব্যৱস্থা
सक्रिय ट्रांसडयूसर,সক্ৰিয় ট্ৰেন্সডুচাৰ
सक्रिय उदग्रहण,সক্ৰিয় গ্ৰহণ
सक्रियता गुणांक*,কাৰ্য্যকলাপ সহগ*
सक्रियता सूचकांक,কাৰ্য্যকলাপ সূচকাংক
सक्रियता -अनुपात,কাৰ্য্যকলাপৰ অনুপাত
सक्रियता सदिश,কাৰ্য্যকলাপ ভেক্টৰ
वास्तविक मानीटर,প্ৰকৃত মনিটৰ
वास्तविक प्रतिबल,প্ৰকৃত মানসিক চাপ
"चालू करना, प्रवृत्त करना",ট্ৰিগাৰ কৰা
प्रवर्तक,উৎপত্তিকাৰী
प्रवर्तक,উৎপত্তিকাৰী
सुतीक्ष्णतामापी,acuityometer
श्रवण सुतीक्ष्णता,শ্ৰৱণ ক্ষমতা
फोटोतीक्ष्णता मान,ফটো তীক্ষ্ণতা মূল্য
न्यूनकोण,তীব্ৰ কোণ
क्षिप्र उद्भासन,ফুচফুচাই কোৱা
न्यूनकोण त्रिभुज,তীব্ৰ ত্ৰিভুজ
अचक्रीय,অচক্ৰীয়
अनुकूलन प्रयुक्ति,অনুকূলন প্ৰয়োগ
अनुकूलित अवस्था,অনুকূলিত অৱস্থা
अनुकूली नियंत्रण तंत्र,অভিযোজিত নিয়ন্ত্ৰণ ব্যৱস্থা
अनुकूलनमापी,এডাপ্টোমিটাৰ
एडकॉक एन्टेना,এডকক এন্টেনা
"योग करना, जोड़ना",সামৰণিত
संकलन काल,সংকলনৰ সময়
