Bengali,Odiya
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
সংযুক্ত সমীকরণ,ସଂଲଗ୍ନ ସମୀକରଣ
সমগোত্রীয় ম্যাট্রিক্স,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ম্যাট্রিক্স সমন্বয়,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
সমগোত্রীয় ম্যাট্রিক্স,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
গ্রহণযোগ্য অনুমান,ଗ୍ରହଣୀୟ ଅନୁମାନ
এরোডাইনামিক বল,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
বায়ুগতিবিদ্যা,ଏରୋଡାଇନାମିକ୍ସ |
সমজাতীয় জ্যামিতি,ଏକମାତ୍ର ଜ୍ୟାମିତି |
সমজাতীয় ম্যাপিং,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
একজাতীয় রূপান্তর,ଏକମାତ୍ର ପରିବର୍ତ୍ତନ
সামগ্রিক পরিবর্তনশীল,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା"
"seedy বন্ধ, বীজাণু","ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |"
বীজগণিত সমীকরণ,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
বীজগাণিতিক এক্সপ্রেশন,ବୀଜ ବର୍ଣ୍ଣନା
বীজগণিতের একজাতীয়তা,ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |
বীজগণিতের ফাংশন,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
বীজগণিত জ্যামিতি,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
বীজগণিত বহুত্ব,ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |
বীজগণিত ব্যবস্থা,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
সমস্ত পূর্ণসংখ্যা সমস্যা,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ
বর্ণানুক্রমিক স্বরলিপি,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
বর্ণানুক্রমিক অক্ষর,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
বিকল্প কোণ,ବିକଳ୍ପ କୋଣ
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ
বিকল্প গোষ্ঠী,ବିକଳ୍ପ ଗୋଷ୍ଠୀ |
বিকল্প ম্যাট্রিক্স,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
বিকল্প সিরিজ,ବିକଳ୍ପ କ୍ରମ |
বিকল্প অনুমান,ବିକଳ୍ପ ଅନୁମାନ
বিকল্প সর্বোত্তম,ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |
বিকল্প ফলাফল,ବିକଳ୍ପ ଫଳାଫଳ |
এনালগ-ডিজিট কনভার্টার,analog-digit କନଭର୍ଟର |
"এনালগ কম্পিউটার,",ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର
বিশ্লেষণ,ବିଶ୍ଳେଷଣ |
সহভক্তি বিশ্লেষণ,କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |
গণনা-ডেটা বিশ্লেষণ,ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |
বৈচিত্র্য বিশ্লেষণ,ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |
বিশ্লেষণাত্মক জ্যামিতি,ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |
বিশ্লেষণাত্মক ফাংশন,ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ
কোণ,କୋଣ
স্পর্শক কোণ,ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |
বিচ্যুতি কোণ,ବିଘ୍ନ କୋଣ |
বিষণ্নতা কোণ,ଉଦାସୀନତା କୋଣ
বিচ্যুতি কোণ,ବିଘ୍ନ କୋଣ |
বিবর্তন কোণ,ବିଭାଜନ କୋଣ |
উচ্চতা কোণ,ଉଚ୍ଚତା କୋଣ
ঘটনার কোণ,ଘଟଣାର କୋଣ
অভিক্ষেপ কোণ,ପ୍ରୋଜେକ୍ଟର କୋଣ
প্রতিফলন কোণ,ପ୍ରତିଫଳନ କୋଣ
প্রতিসরণ কোণ,ପ୍ରତିଫଳନ କୋଣ
ঘূর্ণন কোণ,ଘୂର୍ଣ୍ଣନ କୋଣ
প্রতিফলনের পরম কোণ,ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |
কৌণিক ত্বরণ,କୋଣାର୍କ ତ୍ୱରଣ |
কৌণিক বেগ,କୋଣାର୍କ ବେଗ |
কৌণিক গতি,କୋଣାର୍କ ଗତି
কৌণিক বেগ,କୋଣାର୍କ ବେଗ |
অনামিকা আঙুল,ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |
উত্তর,ଉତ୍ତର
কাউন্টার ডেরিভেটিভ,କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |
আইসোমেট্রিক ফাংশন,ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য","ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |"
"আবেদনের আবেদন,",ଆବେଦନ ପ୍ରୟୋଗ
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |
প্রয়োগ করা জ্যামিতি,ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |
ফলিত গণিত,ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |
ফলিত পরিসংখ্যান,ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |
"প্রায়, প্রায়","ପ୍ରାୟ, ପ୍ରାୟ"
প্রায় একটানা ফাংশন,ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি","ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |"
আনুমানিক সমাধান,ଆନୁମାନିକ ସମାଧାନ
আনুমানিক সমস্যা,ଆନୁମାନିକ ସମସ୍ୟା
আনুমানিক সম্পত্তি,ଆନୁମାନିକ ସମ୍ପତ୍ତି
বুদ্ধিমত্তার পরীক্ষা,ଦକ୍ଷତା ପରୀକ୍ଷା
আর্গন ডায়াগ্রাম,ଆର୍ଗନ୍ ଚିତ୍ର
স্বেচ্ছায়,ସ୍ବେଚ୍ଛାକୃତ
"এলোমেলো, এলোমেলো","ଅନିୟମିତ, ଅନିୟମିତ |"
নির্বিচারে ধ্রুবক,ଇଚ୍ଛାଧୀନ ସ୍ଥିର |
বিনামূল্যে উপাদান,ମାଗଣା ଉପାଦାନ |
নির্বিচারে পয়েন্ট,ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |
আর্কিমিডের আইন,ଆର୍କିମିଡେଙ୍କ ନିୟମ |
আর্কিমিডিসের আইন,ଆର୍କିମିଡିସ୍ ନିୟମ |
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য","ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |"
বৃত্ত চাপ,ବୃତ୍ତାକାର
ইনভার্স সাইন ডিস্ট্রিবিউশন,ଓଲଟା ସାଇନ ବଣ୍ଟନ |
বিপরীত সাইন রূপান্তর,ଓଲଟା ସାଇନ ରୂପାନ୍ତର |
"এলাকা, এলাকা","କ୍ଷେତ୍ର, କ୍ଷେତ୍ର"
আঞ্চলিক কনফিগারেশন,ଆ regional ୍ଚଳିକ ସଂରଚନା
একটি জটিল সংখ্যার কোণ,ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |
গাণিতিক গড়,ଗାଣିତିକ ଅର୍ଥ |
ডিজিটাল অপারেশন,ଡିଜିଟାଲ୍ ଅପରେସନ୍
ডিজিটাল ইউনিট,ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |
"কনফিগারেশন, বিন্যাস","ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା"
"অ্যারে, অ্যারে","ଆରେ, ଆରେ"
কৃত্রিম উপগ্রহ,କୃତ୍ରିମ ଉପଗ୍ରହ |
কৃত্রিম পরিবর্তনশীল,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
আরোহন করা,ଚ imb ିବାକୁ
আরোহী,ଆରୋହଣ
মাত্রার আরোহী ক্রম,ତୀବ୍ରତାର କ୍ରମ
আরোহী গ্রেড,ଆରୋହଣ ଗ୍ରେଡ୍
সংযোজনকারী ভাষা,ଏକତ୍ରକାରୀ ଭାଷା |
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ
সহযোগী নিয়ম,ସହଯୋଗୀ ନିୟମ |
অপারেটরদের সহযোগী নিয়ম,ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |
সহযোগী অপারেশন,ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |
সাহচর্য,ସାଥୀତା
ধরে নেওয়া গড়,ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |
অনুমান সম্ভাব্যতা বন্টন,ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |
"কল্পনা করা, স্বীকার করা,","କଳ୍ପିତ, ସ୍ୱୀକାର"
জ্যোতিষশাস্ত্র,ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର
জ্যোতির্বিদ*,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *
জ্যোতির্বিদ্যা ঘড়ি,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |
জ্যোতির্বিদ্যা,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
অপ্রতিসম বক্ররেখা,ଅସୀମିତ ବକ୍ର
অসমতা,ଅସୀମତା |
অ্যাসিম্পোটিক,ଅସ୍ମିପଟୋଟିକ୍ |
উত্তেজক,ବୃଦ୍ଧି
প্রগতিশীল অনুমানকারী,ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |
বিপরীতমুখী আচরণ,ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |
আক্রমনাত্মক বিতরণ ফাংশন,ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |
ঊর্ধ্বগামী বিস্তার,ଉପର ବିସ୍ତାର
বায়ুমণ্ডলীয় চাপ,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
"এলোমেলোভাবে,",ଅନିୟମିତ ଭାବରେ
সম্পত্তি*,ସମ୍ପତ୍ତି *
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |
অগমেন্টেড ম্যাট্রিক্স,ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ
স্বয়ংক্রিয় সম্পর্ক সহগ,ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍
সহবাস,କୋଭାରିଆନ୍ସ |
স্বয়ংক্রিয় কম্পিউটার,ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |
অটোরিগ্রেশন,ଆତ୍ମସମ୍ମାନ
সহায়ক সমীকরণ,ସହାୟକ ସମୀକରଣ
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର)
"axiom, axiom","axiom, axiom"
স্বতঃসিদ্ধ পদ্ধতি,axiom ପଦ୍ଧତି |
সম্ভাব্যতা স্বতঃসিদ্ধ,ସମ୍ଭାବ୍ୟତା axiom |
অক্ষ,ଅକ୍ଷ
ভুজক্ষ,ଭୁଜାକ୍
পৃথিবী অক্ষ,ପୃଥିବୀ ଅକ୍ଷ
ঘূর্ণন অক্ষ,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
ঘূর্ণন অক্ষ,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
স্পিন অক্ষ,ସ୍ପିନ୍ ଅକ୍ଷ
পোস্ট প্রতিস্থাপন,ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ
পরে,ପରେ
ফিরে সন্নিবেশ সূত্র,ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |"
সুষম নকশা,ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |
ব্যালেন্স শীট,ତୂଳନା ପତ୍ର
মিসাইল,କ୍ଷେପଣାସ୍ତ୍ର
"ব্যালিস্টিক, অস্ত্র","ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |"
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত","ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |"
ভিত্তি কোণ,ମୂଳ କୋଣ
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি","ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |"
"মৌলিক, মৌলিক,","ମ basic ଳିକ, ମ basic ଳିକ"
ভিত্তি সুসংগত সমাধান,ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |
ভিত্তি সমাধান,ମୂଳ ସମାଧାନ |
ভিত্তি পরিবর্তনশীল,ବେସ୍ ଭେରିଏବଲ୍ |
ভিত্তি,ଆଧାର
ভিত্তি উপাদান,ମୂଳ ଉପାଦାନ |
বেস ম্যাট্রিক্স,ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ভেক্টর স্থানের ভিত্তি,ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |
উপ-জনসংখ্যা ভিত্তিতে,ଜନସଂଖ୍ୟା ଆଧାର |
নীতিহীন,ଅସାଧୁ
বেজ-রুল,bez-rule
bez-তত্ত্ব,ବେଜ୍-ଥିଓରେମ୍ |
bernoulli-বন্টন,bernoulli- ବଣ୍ଟନ |
বার্নোলি সংখ্যা,ବର୍ନୁଲି ସଂଖ୍ୟା |
Bernoulli সম্ভাব্যতা ফাংশন,ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |
বার্নোলি-সমীকরণ,ବର୍ନୁଲି-ସମୀକରଣ |
বেরি ফাংশন,ବେରୀ କାର୍ଯ୍ୟ
সেরা আনুগত্য,ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |
সেরা আনুগত্য লাইন,ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |
সেরা সমাধান,ସର୍ବୋତ୍ତମ ସମାଧାନ |
সেরা টিপস,ସର୍ବୋତ୍ତମ ଟିପ୍ସ |
বিটা বিতরণ,ବିଟା ବଣ୍ଟନ |
"পক্ষপাত, পক্ষপাত","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
পক্ষপাতমূলক মূল্যায়ন,ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |
দ্বিপদ সমীকরণ,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
একক আবরণ,ଏକକ କଭର |
একক কভার মানচিত্র,ଏକକ କଭର ମାନଚିତ୍ର
একক কভার ম্যাপিং,ଏକକ କଭର ମ୍ୟାପିଂ |
দ্বিঘাত দ্বিঘাত,ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |
বাইলিনিয়ার ফাংশন,ବିଲିନାର୍ ଫଙ୍କସନ୍
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,bilinear hermitian homogeneity |
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত","ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |"
"বাইনারি কোড, বাইনারি কোড","ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |"
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক","ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |"
বাইনারি এনকোডিং,ବାଇନାରୀ ଏନକୋଡିଂ |
বাইনারি কম্পিউটার,ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |
বাইনারি সংখ্যা,ବାଇନାରୀ ସଂଖ୍ୟା
বাইনারি অপারেশন,ବାଇନାରୀ ଅପରେସନ୍ |
বাইনারি পদ্ধতি,ବାଇନାରୀ ପଦ୍ଧତି |
বাইনারি পরিবর্তনশীল,ବାଇନାରୀ ଭେରିଏବଲ୍ |
দ্বিপদ সহগ,ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |
দ্বিপদ ডিস্ট্রিবিউশন,ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
দ্বিপদ সমীকরণ,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
দ্বিপদ প্রকরণ,ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |
দ্বিপদ অভিব্যক্তি,ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
দ্বিপদ উপপাদ্য,ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |
"অর্ধেক, বিভাজন","ଅଧା, ବିଫୁର୍କେସନ୍ |"
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি","ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |"
অর্ধেক দ্বিখণ্ডক,ଅଧା ବିସେକ୍ଟର |
দ্বিপদ,ଦ୍ୱିପାକ୍ଷିକ |
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক","ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |"
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |
দ্বিমুখী বন্টন,ବିଭାରିଏଟ୍ ବଣ୍ଟନ |
bivariate স্বাভাবিক-বন্টন,ସାଧାରଣ ବଣ୍ଟନ
bivector,ବିଭେକ୍ଟର୍ |
বোল্টম্যান সমীকরণ,ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |
বুলিয়ান বীজগণিত*,ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *
বোস-আইনস্টাইন পরিসংখ্যান,ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |
সীমাবদ্ধতা সীমাবদ্ধতা,ସୀମିତତା ପ୍ରତିବନ୍ଧକ |
সীমানা স্তর,ସୀମା ସ୍ତର |
সীমান,ସୀମା ରେଖା |
সীমা মান,ସୀମା ମୂଲ୍ୟ
সীমানা মান সমস্যা,ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |
"আবদ্ধ ফাংশন আবদ্ধ ফল,",ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,","ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍"
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ
"আবদ্ধ সেট আবদ্ধ সেট,",ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍
ব্রাউনি গতি,ବ୍ରାଉନି ଗତି |
হিসাব করতে,ଗଣନା କରିବାକୁ
গণনা,ଗଣନା
"ক্যালকুলেটর, ক্যালকুলেটর","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
হিসাব*,ଗଣନା *
গণনামূলক কর্ম পদ্ধতি,ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |
"ক্যালকুলেটর, ক্যালকুলেটর","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
"ক্যালকুলাস, ক্যালকুলাস","କାଲକୁଲସ୍, କାଲ୍କୁଲସ୍"
