Bengali,Assamese
সিমেন্টের ভাটা,চিমেণ্টৰ ভঁৰাল
সিমেন্ট পেইন্ট,চিমেণ্টৰ ৰং
সিমেন্ট প্লাস্টার,চিমেণ্টৰ প্লাষ্টাৰ
সিমেন্ট শিলা,চিমেণ্টৰ শিল
সিমেন্ট স্লারি,চিমেণ্টৰ গোন্ধ
সিমেন্ট স্টোরেজ,চিমেণ্ট সংৰক্ষণ
সিমেন্টেশন প্রক্রিয়া,চিমেণ্টেচন প্ৰক্ৰিয়া
কেন্দ্রীভূত করা,কেন্দ্ৰীকৰণ
সেন্টারিং এবং শাটারিং,চেণ্টাৰিং আৰু শ্বাটাৰিং
কেন্দ্রীয় মিশ্র কংক্রিট,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
কেন্দ্রীয় মিশুক,কেন্দ্ৰীয় মিক্সাৰ
কেন্দ্রাতিগ পাখা,কেন্দ্ৰপৃথক ফেন
চক,চক
চেম্ফার,চেমফাৰ
চেম্ফার ফালা,চেমফাৰ ষ্ট্ৰিপ
চ্যানেল বিম,চেনেল বিম
চরিত্রগত লোড,বৈশিষ্ট্যপূৰ্ণ বোজা
চারিত্রিক শক্তি,বৈশিষ্ট্যপূৰ্ণ শক্তি
বন্ধ চার্জ,চাৰ্জ অফ কৰক
চার্জিং,চাৰ্জিং
চেক করা হচ্ছে,পৰীক্ষা কৰি আছে
রাসায়নিক বন্ধন,ৰাসায়নিক বন্ধন
চেরনোজেম,চেৰনোজেম
চেস্টনাট মাটি,চেষ্টনাটৰ মাটি
চিমনি নর্দমা,চিমনিৰ নালা
চিপ বোর্ড,চিপ বৰ্ড
চিপিং,চিপিং
চিপস,চিপছ
চুট,চুটে
শ্রেণী (কংক্রিটের),শ্ৰেণী (কংক্ৰিটৰ)
কাদামাটি,বোকা মাটি
কাদামাটি বিষয়বস্তু,মাটিৰ পৰিমাণ
মাটির প্যান,মাটিৰ কেৰাহী
পরিস্কার করা,ক্লিনআউট
পরিষ্কার কর,চাফ-চিকুণ কৰক
ক্লিট,ক্লিট কৰক
ক্লিঙ্কার,ক্লিংকাৰ
ক্লিপ,ক্লিপ
জমাট বাঁধা,জমা হোৱা
মোটা সমষ্টি,মোটা গোটা পদাৰ্থ
মোটা দানাদার মাটি,মোটা দানাযুক্ত মাটি
কোট,কোট
কফার বাঁধ,কফাৰ বান্ধ
সংহতি,সংহতি
কলয়েড,কলয়ড
কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
কলয়েডাল সিস্টেম,কলয়ডাল ব্যৱস্থা
কোলুভিয়াল মাটি,কলুভিয়াল মাটি
কলাম,স্তম্ভ
কম্বড ফিনিস,কম্বড ফিনিচিং
সম্মিলিত পাদদেশ,সংযুক্ত ফুটিং
মিলিত জল,সংযুক্ত পানী
বৈঠকখানা,কমন ৰুম
সমাপনী সনদ,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
উপাদান বর্গক্ষেত্র,উপাদান বৰ্গ
কংক্রিট,কংক্ৰিট
কংক্রিশন,কংক্ৰিচন
একত্রিত হার/সমতল হার,একত্ৰিত হাৰ/ফ্লেট হাৰ
দূষক,দূষক পদাৰ্থ
আলকোভ রান্না করা,ৰন্ধা-বঢ়াৰ এলকোভ
মোকাবিলা করা,মোকাবিলা কৰা
করবেল,কৰ্বেল
কার্নিস,কৰ্নিচ
কাপলার,কাপলাৰ
"যুগল, দ্বিগুণ","কাপলাৰ, ডাবল"
"কাপলার, পুটলগ","কাপলাৰ, পুটলগ"
"কাপলার, সুইভেল","কাপলাৰ, চুইভেল"
কোর্স,ধাৰা
র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
ঢাকা এলাকা,আবৃত অঞ্চল
হামাগুড়ি,অধম
ক্রীপ সহগ,ক্ৰিপ সহগ
ক্রোটোভাইন,ক্ৰ&#39;ট&#39;ভাইন
কাকের পা,কাউৰী ভৰি
চূর্ণবিচূর্ণ গঠন,ক্ৰাম গঠন
প্রতিবন্ধক,প্ৰতিবন্ধক
কারেন্ট,সোঁত
বক্ররেখা প্রতিরোধের,বক্ৰ প্ৰতিৰোধ ক্ষমতা
স্যাঁতসেঁতে প্রুফ কোর্স,ডেম্প প্ৰুফ কোৰ্চ
সমাপ্তির তারিখ,সম্পূৰ্ণ হোৱাৰ তাৰিখ
মৃত লোড,ডেড লোড
মরা জল,মৰা পানী
ডেসিবেল,ডেচিবেল
ডিফ্লোকুলেশন,ডিফ্ল’কুলেচন
বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
সমষ্টির ডিগ্রি,একত্ৰীকৰণৰ মাত্ৰা
বিচ্ছুরণ ডিগ্রী,বিক্ষিপ্ততাৰ মাত্ৰা
স্যাচুরেশন ডিগ্রী,চেচুৰেচনৰ ডিগ্ৰী
ঘনত্ব,ঘনত্ব
মরুভূমির ফুটপাথ,মৰুভূমিৰ ফুটপাথ
মরুভূমির মাটি,মৰুভূমিৰ মাটি
বিস্তারিত,সবিশেষ
উন্নয়নের সময়কাল,উন্নয়নৰ সময়ছোৱা
ডি-দিগন্ত,ডি-দিগন্ত
তির্যক বন্ধন,তিৰ্যক বন্ধন
ডায়াগ্রাম,ডায়াগ্ৰাম
ডিজিটাল ডক,ডিজিটেল ডক
পার্থক্য জলের হার,ভিন্নতামূলক পানীৰ হাৰ
পাতলা বায়ুচলাচল,পাতল কৰা ভেণ্টিলেচন
ডিলুভিয়াম,ডিলুভিয়াম
খাবার কক্ষ,খোৱাঘৰ
দিকনির্দেশনা পেগ,দিশৰ পেগ
বিচ্ছুরণ,বিক্ষিপ্ততা
ডিস্টেম্পার,ডিষ্টেম্পাৰ
ডক,ডক
দরজা,দুৱাৰ
ডর্মার,ডৰ্মাৰ
ডর্মার চেক,ডৰ্মাৰ চেক
ডাবল ফ্লেমিশ বন্ড,ডাবল ফ্লেমিছ বণ্ড
ডবল লেয়ার,ডাবল লেয়াৰ
দোয়েল,ডৱেল
অঙ্কন বোর্ড,অংকন বৰ্ড
বৈঠকখানা,ড্ৰয়িং ৰুম
প্রবাহ,ড্ৰিফ্ট
শুকনো বাল্বের তাপমাত্রা,শুকান বাল্বৰ উষ্ণতা
শুকনো ডক,শুকান ডক
শুকনো রাবার রাজমিস্ত্রি,শুকান ৰবৰৰ শিলৰ কাম
ডাচ বন্ড,ডাচ বণ্ড
বামন প্রাচীর,বামন দেৱাল
বাস ইউনিট,বাসস্থানৰ ইউনিট
ইভ,ইভ
ইভস নর্দমা,ইভছ নালা
অর্থনৈতিক সম্ভাব্যতা,অৰ্থনৈতিক সম্ভাৱনীয়তা
এক্টোডাইনামরফিক মাটি,বহিঃগতিশীল মাটি
এডি,এডি
কার্যকরী আকার,ফলপ্ৰসূ আকাৰ
প্রস্ফুটিত,ফুলৰ ফুলনি
বর্জ্য,এফ্লুৱেণ্ট
উচ্চতা,উচ্চতা
ইলুভিয়েশন,এলুভিয়েচন
এলুভিয়াম,এলুভিয়াম
এন্ডোডাইনামরফিক মাটি,এণ্ডোডাইনামৰ্ফিক মাটি
ইঞ্জিনিয়ারিং সম্ভাব্যতা,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
ইংরেজি বন্ড,ইংৰাজী বণ্ড
ইংরেজি বাগান প্রাচীর বন্ধন,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
"EPM (প্রতি মিলিয়নের সমতুল্য),&quot;","ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
সমান ওজন,সমতুল্য ওজন
অর্গ,Erg
বিনিময়যোগ্য,বিনিময়যোগ্য
বিনিময়যোগ্য অম্লতা,বিনিময়যোগ্য এচিডিটি
বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP),বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
ই এস পি,ই এছ পি.
এক্সচেঞ্জ অ্যাসিডিটি,বিনিময় এচিডিটি
এক্সচেঞ্জ কমপ্লেক্স,এক্সচেঞ্জ কমপ্লেক্স
নিষ্কাশন,নিষ্কাশন
উন্মুক্ত ফিনিস,উন্মুক্ত ফিনিচিং
আই,নয়ন
ভুরু,চকুৰ ভ্ৰূ
সম্মুখ,মুখামুখি
বন্ড সম্মুখীন,বন্ধনৰ সন্মুখীন হোৱা
নিরাপত্তার ফ্যাক্টর,সুৰক্ষাৰ কাৰক
পতন,পৰি যোৱা
ফেসিয়া,ফেচিয়া
ফেসিয়া বোর্ড,ফেচিয়া বৰ্ড
দোষ,দোষ
মাঠের আর্দ্রতা,পথাৰ আৰ্দ্ৰতা
চূড়ান্ত আর্দ্রতা সমতুল্য,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
ফিলেট (মর্টার),ফিলেট (মৰ্টাৰৰ)
চূড়ান্ত,চূড়ান্ত
চূড়ান্ত পরিমাপ,চূড়ান্ত জোখ-মাখ
চূড়ান্ত অর্থপ্রদান,চূড়ান্ত পেমেণ্টq
চূড়ান্ত প্রাক চাপ,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
চূড়ান্ত উত্তেজনা,চূড়ান্ত উত্তেজনা
আর্থিক সম্ভাব্যতা,আৰ্থিক সম্ভাৱনীয়তা
সূক্ষ্ম সমষ্টি,মিহি গোটা পদাৰ্থ
ফিসার্ড শিলা,ছিন্নভিন্ন শিল
পতাকা পাথর,পতাকা শিল
ফ্লেমিশ বন্ড,ফ্লেমিছ বন্ধন
ঝলকানি,ফিচফিচাই থকা
চটকদার স্রোত,ঝলমলীয়া ধাৰা
সমতল ছাদ,সমতল চাল
ফ্লেচে,ফ্লেচে
ফ্লেমিশ গার্ডেন ওয়াল বন্ড,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
চকমকি,ফ্লিন্ট
চকমকি দেয়াল,ফ্লিণ্টৰ দেৱাল
ভাসমান মেঝে,ভাসমান মজিয়া
ফ্লোকুলেশন,ফ্লকুলেচন
ফ্লোকুলেশন সীমা,ফ্লকুলেচন সীমা
ফ্লোকুলেশন অনুপাত,ফ্লকুলেচন অনুপাত
ফ্লোকুলস,ফ্লকুলেছ
মেঝে,মজিয়া
মেঝে সিল,মজিয়াৰ ছীল
প্রবাহ,বৈ অহা
ওঠানামা,উঠা-নমা
ফুটিং,ফুটিং
ফাউন্ডেশন,ভেঁটি
ফ্রি ফল ব্যারো টপিং মিক্সার,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
ফ্রি ফল মিক্সার (ড্রাম টাইপ),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
বিনামূল্যে পাথর,মুক্ত শিল
ফ্রেশেট,ফ্ৰেছেট
ঘর্ষণ গাদা,ঘৰ্ষণৰ স্তূপ
ব্যাঙ,ভেকুলী
গ্যাবল,গেবল
গ্যাবলেট,গেবলেট
গ্যাম্বেলের ছাদ,গাম্ব্ৰেলৰ চাল
গেজ,জোখ লোৱা
পরিমাপক বিভাগ,গেজিং অংশ
গেজিং স্টেশন,গেজিং ষ্টেচন
সাধারণ অবস্থান পরিকল্পনা,সাধাৰণ স্থান পৰিকল্পনা
সাধারণ বায়ুচলাচল,সাধাৰণ বায়ু চলাচল
G দিগন্ত বা gley দিগন্ত,G দিগন্ত বা গ্লে দিগন্ত
হিমবাহ পর্যন্ত,হিমবাহৰ টিল
জিনিস,গ্নেইছ
গুডস ইয়ার্ড,সামগ্ৰীৰ চোতাল
গ্রেডিয়েন্ট প্রতিরোধ,গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স
গ্রানাইট,গ্ৰেনাইট
দানাদার গঠন,দানাদাৰ গঠন
দানাদার,গ্ৰেনুলেচন
কণিকা,গ্ৰেনুল
মহাকর্ষীয় জল মুক্ত জল,মহাকৰ্ষণীয় পানীমুক্ত পানী
গ্র্যাভিটেশনাল ইয়ার্ড,মহাকৰ্ষণীয় চোতাল
মহান মাটি গ্রুপ,মহান মাটিৰ গোট
গ্রিলেজ ফাউন্ডেশন,গ্ৰীলেজ ফাউণ্ডেচন
স্থল হাত ছাঁচনির্মাণ,গ্ৰাউণ্ড হেণ্ড মল্ডিং
দলবদ্ধ ডক,গ্ৰুপ কৰা ডক
গ্রুপ হাউজিং,গ্ৰুপ হাউছিং
অতিথি কক্ষ,অতিথিশালা
নর্দমা,নালা
নর্দমা বহনকারী,নালা বাহক
গটার চেক,নালা পৰীক্ষা
হাতুড়ি ড্রেসিং,হাতুৰীৰে ড্ৰেছিং
হারবার,বন্দৰ
আশ্রয়ের পোতাশ্রয়,আশ্ৰয়ৰ বন্দৰ
শক্ত প্যান,কঠিন কেৰাহী
হেডার,হেডাৰ
হেডার বন্ড,হেডাৰ বণ্ড
হেডার কোর্স,হেডাৰ পাঠ্যক্ৰম
হেড গেটের গঠন,হেড গেটৰ গঠন
খালের প্রধান,খালৰ মূৰ
হেড রেগুলেটর,হেড ৰেগুলেটৰ
হেরিং হাড়ের বন্ধন,হেৰিং হাড়ৰ বন্ধন
হার্টিং,হৃদয়স্পৰ্শী
ভিজানোর তাপ,তিয়াই থোৱাৰ তাপ
উচ্চ অ্যালুমিনা সিমেন্ট,উচ্চ এলুমিনা চিমেণ্ট
নিতম্ব,কঁকাল
হিপ ক্যাপিং,হিপ কেপিং
নিতম্বের শেষ,হিপড এণ্ড
ঘোমটা,ডকাইত
হুড ছাঁচনির্মাণ,হুড মল্ডিং
হুকের আইন,হুক’ৰ আইন
হুপ লোহা,হুপ লোহা
দিগন্ত,দিগন্ত
আর্দ্রতা,আৰ্দ্ৰকৰণ
"আর্দ্রতা, পরম","আৰ্দ্ৰতা, নিৰপেক্ষ"
"আর্দ্রতা, আপেক্ষিক","আৰ্দ্ৰতা, আপেক্ষিক"
হাম্প ইয়ার্ড,হাম্প চোতাল
জলবাহী চাপ,হাইড্ৰলিক চাপ
হাইড্রেশন,জলসিঞ্চন
হাইড্রোলাইসিস,হাইড্ৰ’লাইছিছ
হাইড্রোলাইটিক অ্যাসিডিটি,হাইড্ৰ’লাইটিক এচিডিটি
হাইড্রোমরফিক মাটি,জলৰূপী মাটি
হাইড্রোফিলিক কলয়েড,হাইড্ৰফিলিক কলয়ড
হাইড্রোফোবিক কলয়েড,হাইড্ৰ’ফ’বিক কলয়ড
হাইড্রোস্ট্যাটিক চাপ অনুপাত,হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত
হাইগ্রোস্ক্যাপটিক সহগ,হাইগ্ৰ’স্কেপ্টিক সহগ
হাইগ্রোস্কোপিক আর্দ্রতা,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
হাইড্রোস্কোপিসিটি,হাইড্ৰস্কোপিচিটি
হাইগ্রোস্কোপিক আর্দ্রতা,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
হাইপারবারিক চেম্বার,হাইপাৰবেৰিক চেম্বাৰ
হাইপারস্ট্যাটিক ফ্রেম,হাইপাৰষ্টেটিক ফ্ৰেম
হাইপসোমিটার,হাইপছ’মিটাৰ
আলোকসজ্জা,আলোকসজ্জা
ইমবিবেশন আর্দ্রতা,ইম্বিবেচন আৰ্দ্ৰতা
অপরিণত মাটি,অপৰিপক্ক মাটি
জব্দ ডক,জব্দ কৰা ডক
ভূমি রাজস্ব বৃদ্ধি,ভূমিৰ ৰাজহ বৃদ্ধি
স্বাধীন ভারা,স্বতন্ত্ৰ মৰাপাট
নিমজ্জিত,কঠিন
প্রাথমিক prestress,প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ
প্রাথমিক উত্তেজনা,প্ৰাৰম্ভিক উত্তেজনা
অভ্যন্তরীণ জলপথ বন্দর,অভ্যন্তৰীণ জলপথ বন্দৰ
অন্তরক বোর্ড,ইনচুলেটিং বৰ্ড
মধ্যবর্তী বন্দর,মধ্যৱৰ্তী বন্দৰ
