Assamese,Hindi
"1. এনালগ মডেম, 2. এনালগ মডেম","1. एनालॉग मोडेम, 2. अनुरुप मोडेम"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,अनुरुप से अंकीय रुपांतरक
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
শেষ বৰ্তনী,एंड परिपथ
শেষৰ গেট আৰু গেট,एंड गेट और द्वार
অপাৰেচন শেষ নহয় (বৰ্জন),एंड नॉट संक्रिया (अपवर्जन)
"১.এনিমেচন, ২.কম্পন","1. एनीमेशन, 2.  सजीवन"
দ্ৰষ্টব্য,टिप्पण
অসামঞ্জস্যতা,असंगता
পূৰ্ৱবৰ্তী,पूर्ववर्ती
প্ৰত্যাশিত পেজিং,प्रत्याशामूलक पृष्ठन
প্ৰতি-সমমিতিক,प्रति-सममित
এন্টিভাইৰেল প্ৰগ্ৰেম,विषाणुरोधी क्रमादेश
"১.এপলেট, ২. দৰ্খাস্ত","1. एपलेट, 2. अनुप्रयोगिका"
এপ্লিকেচন ডেভেলপাৰ,अनुप्रयोग विकासक
এপ্লিকেচন প্ৰগ্ৰেমিং,अनुप्रयोग प्रोग्रामन
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)","1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ, 2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
এপ্লিকেচন চফ্টৱেৰ,अनुप्रयोग सॉफ्टवेयर
আবেদন ভাষা,अनुप्रयोगी भाषा
আনুমানিক নীতি,सन्निकटण सिद्धांत
গাঁঠনি,संरचना
ক্ষেত্ৰ স্থানান্তৰ,क्षेत्र अंतरण
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ","1. प्राचर, स्वतंत्रचर, 2. कोणांक"
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক","1. अंकगणितीय एवं तर्क एकक, 2. अंकगणितीय एवं तर्क इकाई"
গাণিতিক পৰীক্ষা,अंकगणितीय जांच
গাণিতিক ধ্ৰুৱক,अंकगणितीय अचर
গাণিতিক তথ্য,अंकगणितीय आंकडा
গাণিতিক নিৰ্দেশনা,अंकगणितीय अनुदेश
গাণিতিক আৰু যুক্তিসংগত একক (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPA নেট (RPNet),ए आर पी ए नेट (आरपानेट)
এৰে,सरणी
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি","1. सरणी कैशे, 2. सरणी द्रुतिका, 3. सरणी द्रुतस्मृति"
এৰে কম্পিউটাৰ,सरणी कंप्यूटर
এৰে উপাদান,सरणी अवयव
এৰেৰ নাম,सरणी नाम
এৰে প্ৰচেছৰ,सरणी प्रकर्मक
কাঁড় চিহ্ন,एरो कुंजी
সন্ধি,संधि
জংচন পইণ্ট,संधि बिन्दु
কৃত্ৰিম সংকোচন,कृत्रिम संहनन
কৃত্ৰিম নিয়ন্ত্ৰণ,कृत्रिम नियंत्रण
কৃত্ৰিম ইন্দ্ৰিয়,कृत्रिम बोध
মাউন্ট,आरोहक
আৰোহী সজাই পৰাই তোলা,आरोही छंटाई
ascii বৰ্ণমালা,आस्की वर्णक्रम
ascii নিয়ন্ত্ৰণ চিহ্ন,आस्की नियंत्रण संप्रतीक
ascii ফাইল,आस्की संचिका
ascii ফন্ট,आस्की फॉन्ट
ASCII স্থানান্তৰ,आस्की अंतरण
এস্পেক্ট ৰেচিঅ&#39;,अभिमुखता अनुपात
"১.এছপি, ২. এ এছ পি আই","1. ऐस्पी, 2. ए एस पी आई"
এ এছ আৰ কালাদ,ए एस आर कालद
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা","1. स्मरांतरण, 2. कोडांतरण, 3. कोडांतर करना"
"১.সমাবেশকাৰী, ২. স্মাৰক","1. कोडांतरक, 2. स्मरांतरक"
"1. একত্ৰিত কৰা, ২. স্মৃতি","1. कोडांतरण, 2. स्मरांतरण"
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা","1. स्मरांतरण भाषा, 2. कोडांतरण भाषा"
সংকল্প,निश्चयन
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন","1. निर्दिष्ट कार्य, 2. नियतन"
সংগীত্ব,साहचर्य
সহযোগী ঠিকনা,साहचर्य पता
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি","1. साहचर्य स्मृति, 2. साहचर्य मेमोरी"
তাৰকা চিহ্ন (* চিহ্ন),तारक (*का चिन्ह)
অসমতাপূৰ্ণ,असम्मित
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ","1. अतुल्यकालिक, 2. अतुल्यकाली"
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,अतुल्यकालिक अंतरण
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम)
"১.পৰমাণু, ২. পৰমণ","1. एटम, 2. परमाण"
সংলগ্ন নথিপত্ৰ,संलग्न प्रलेख
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল","1. संलग्न संचिका/मिसिल, 2. संलग्न फाइल"
"১.আৱৰণ, ২. সংযুক্ত","1. संलग्नक, 2. संबंद्ध"
"১.গুণ, ২. বৈশিষ্ট্য","1. गुण, 2. विशेषता"
শ্ৰৱণযোগ্য,श्रव्य
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং","1. लेखा परीक्षा क्रमादेशन, 2. लेखा परीक्षा प्रोग्रामन"
একাউণ্ট পৰীক্ষণ,लेखा सत्यापन
প্ৰচাৰ,संवर्धन
প্ৰমাণীকৰণ প্ৰট&#39;কল,प्रमाणन प्रोटोकॉल
লেখক পদ্ধতি,संलेखन पद्धति
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ","1. प्राधिकरण, 2. अधिकृति, 3. अधिकरण"
অটো বিমূৰ্ত,स्वत: सार
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট","1. स्वतः बूटिंग, 2. स्व बूटन"
AutoCAD (এটা কম্পিউটাৰ ভাষা),ऑटोकैड (एक कंप्यूटर भाषा)
স্বয়ংক্ৰিয় লগ-অন,स्वत: लॉग-ऑन
automata,ऑटोमेटा
automata তত্ত্ব,आटोमेटा सिद्धांत
স্বয়ংক্ৰিয় গণনা,स्वत: अभिकलन
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,स्वत: आंकड़ा प्रक्रमण
স্বয়ংক্ৰিয় ভুল সংশোধন,स्वत: त्रुटि संशोधन
অটো ফাংচন,स्वत: फलन
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ","1.  स्वत: सूचकीकरण, 2. स्वत: सूचीकरण"
অটো-সংগ্ৰহ কল,स्वत: संग्रह आह्वान
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং","1. स्वत: क्रमादेशन, 2. स्वत: प्रोग्रामन"
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম","1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
অটো ৰুটিন,स्वत: नेमका
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,स्वत: सिस्टम पुन: प्राप्ति
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM","1. स्वत: टेलर मशीन्अ (ए टी एम), 2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
অটোমেচন,स्वचालन
"1. অটোপ্লে , 2. অটো ৱাক","1. आटोप्ले, 2. स्वत: चलन"
কণ্ঠদান,स्वरक्षण
সহায়ক,सहायक
সহায়ক স্মৃতিশক্তি,सहायक स्मृति
সহায়ক সংৰক্ষণ,सहायक भंडारण
উপলব্ধ তালিকা,उपलब्ध लिस्ट
উপলব্ধ সময়,उपलब्ध समय
গড়,औसत
AWK (এটা কম্পিউটাৰ কমাণ্ড),ए डब्ल्यू के (एक कंप्यूटर समादेश)
পাছত,पश्चांत
পোষ্ট প্ৰচেছৰ,पश्चांत प्रक्रमक
পশ্চাৎ কাৰ্য্য বিলোপন,पश्च फलन विलोपन
পটভূমি প্ৰক্ৰিয়াকৰণ,पृष्ठभूमि प्रक्रमण
আনুষংগিক দোকানসমূহ,सहायक भंडार
বেক পেচিং,पश्च पैचीकरण
"১.পশ্চিম, ২. বেকস্পেচ","1. पश्चीयन, 2. बैकस्पेस"
পিছুৱাই যোৱা,पश्चपथन
"1. বেক-আপ , 2. ৰিইম্বৰ্চেমেণ্ট","1. बैक-अप, 2. पूर्तिकर"
"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি","1. पूर्तिकर स्मृति, 2. बैक-अप मेमोरी"
পিছলৈ ভুল সংশোধন,पश्च त्रुटि सुधार
(আয়-ব্যয়) বেলেন্স শ্বীট,(आय-व्यय) तुलन पत्र
পট্টি,पट्टी
"১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা","1. बैंड चौड़आई, 2. बैंड विड्थ/क्षमता"
বেংকাৰৰ এলগৰিদম,बैंकर एल्गोरिथ्म
"1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড","1.बार कूट, 2. बार कोड"
বাৰক&#39;ড স্ক্যানাৰ,बार कोड स्कैनर
বাৰ গ্ৰাফ,बार ग्राफ
ভিত্তি ঠিকনা,आधार पता
বেচ বেণ্ড,आधार बैंड
আধাৰ নম্বৰ,आधार संख्या
ভিত্তি টেবুল,आधार सारणी
মূল (এটা কম্পিউটাৰ ভাষা),बेसिक (एक कंप्यूटर भाषा)
"1. মূল নিয়ন্ত্ৰণ , 2. ভিত্তি নিয়ন্ত্ৰণ","1. मूल नियंत्रण, 2. आधार नियंत्रण"
"১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ","1. मूल निवेश, 2. आधारी निवेश"
মূল নিৰ্দেশনা,आधारभूत अनुदेश
ভিত্তি বিষয়,आधारी निर्गम
মূল পৰ্যায়,मूल चरण
"১.বেচ, ২. গোট, ৩. বিপৰ্যয়","1. बैच, 2. समूह, 3. प्रचय"
"1. বেচ ফাইল, 2. বেচ ফাইল","1. बैच फाइल, 2. बैच संचिका"
বেচৰ অৱস্থা,बैच स्थिति
"১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং","1. बैच प्रक्रमण, 2. समूह प्रक्रमण"
"1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা","1. बैच तंत्र, 2. प्रचय तंत्र"
baud,बॉड
বড হাৰ,बॉड दर
ৰশ্মি ৰশ্মি,किरण पुंज
"1. নিৰ্দেশনা , 2. বেচ মাৰ্ক","1. निर्देशमानक, 2. बैचमार्क"
দ্বিমুখী যোগাযোগ,द्विदिश संचार
প্ৰত্যক্ষ সংযোগ,विदिश कड़ी
বাইনাৰী ক&#39;ড,द्विआधारी कूट
বাইনাৰী অংক,द्विआधारी अंक
বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस)
বাইনাৰী সংখ্যা,द्विआधारी संख्या
বাইনাৰী অপাৰেটৰ,द्विआधारी संकारक
বাইনাৰী সম্পৰ্ক,द्विआधारी संबंध
বাইনাৰী সন্ধান,द्विआधारी खोज
বাইনাৰী অন্বেষণ বৃক্ষ (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
"1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ","1. द्विआधारी ट्रांसफर तरु, 2. द्विआधारी अंतरण"
বাইনাৰী গছ,द्विआधारी तरु
"১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী","1. द्विध्रुवी स्मृति, 2. द्विध्रुवी मेमोरी"
"১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি","1. जन्म मरण मॉडल, 2. जन्म मरण निदर्श"
জন্ম মৃত্যু প্ৰক্ৰিয়া,जन्म मरण प्रक्रम
"১.ডুয়েক, ২. বিট","1. द्वयंक, 2. बिट"
বিট দোষ,बिट दोष
বিট মেপ,बिट प्रतिचित्र
"1. বিট , 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)","1. बिट, 2. प्रतिचित्र, 3. पिक्सेल (बी एम पी)"
"1. বিট মেট্ৰিক্স, 2. বিট টেবুল","1. बिट आव्यूह, 2. बिट सारणी"
বিট পেটাৰ্ণ,बिट प्रतिरूप
বিটৰ অৱস্থান,बिट स्थिति
"1. বিট হাৰ, 2. বিট হাৰ","1. बिट रेट, 2. बिट दर"
চকুত পটি পৰীক্ষা কৰা,अंध पेटी परीक्षण
shimmer,टिमटिमाना
অৱৰুদ্ধ কৰা,ब्लॉक
"1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি","1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
ব্লক প্ৰ&#39;ব,खंडक जांच
ভলিউম কপি,खंड प्रतिलिपि
ব্লক ডায়াগ্ৰাম,खंडक आरेख
"1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক","1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
ব’ৰ্ড,बोर्ड
পৃষ্ঠাৰ স্মৃতিশক্তি,पृष्ठ स्मृति
বুলিয়ান বীজগণিত,बूलीय बीजगणित
বুলিয়ান সম্পৰ্ক,बूलीय संबंध
বুট বিভাজন,बूट विभाजन
বুট ষ্ট্ৰেপিং,बूट स्ट्रैपिंग
1.বুটষ্ট্ৰেপ লোডাৰ,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
"১.দলং, ২.দলং","1.ब्रिज, 2. सेतु"
ব্ৰডবেণ্ড নেটৱৰ্ক,ब्राडबैंड नेटवर्क
সম্প্ৰচাৰ,प्रसारण
সম্প্ৰচাৰ ৰেডিঅ&#39;,प्रसारण रेडियो
(নেট) ভ্যাৰিয়েন্স,(नेट) विचरण
(নেট) ভিকাৰ,(नेट) विचरक
বি-ট্ৰু,बी-तरु
"1.বাবল মেমৰি, 2.বাবল মেমৰি","1.बुदबुद स्मृति, 2.बबल मेमोरी"
বুদবুদ সজাই পৰাই তোলা,बुदबुद छंटाी
"১.বাল্টি, ২.বাল্টি","1.बाल्टी, 2.बकेट"
"১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা","1.बंधुता तंत्र, 2.बडी तंत्र"
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,बजट प्रभावी नियंत्रण
বাফাৰ,बफर
অভাৱ,दोष
বাছ,बस
"১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)","1.अष्ट वयंक, 2. बािट (आठ बिट)"
বাইট ক&#39;ড,बािट कोड
C (কম্পিউটাৰ ভাষা),सी (कंप्यूटर भाषा)
"1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)","1.सी प्लस प्लस, 2.C++(कंप्यूटर भाषा)"
"১.নগদ ধন, ২. বেগাই","1.कैश, 2. द्रुतिका, 3.द्रुत"
"1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ","1.कैश बफर, 2.द्रुतस्मृति बफर"
"1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি","1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
গণনা কৰা,परिकलन
"১.কেলকুলেটৰ, ২.কেলকুলেটৰ","1.कैलकुलेटर, 2.परिकलक"
"1.কেলকুলেটৰ চিপ,2. কেলকুলেটৰ চিপ","1.कैलकुलेटर चिप, 2. परिकलक चिप"
আমন্ত্ৰণ কৰক,आह्वान
নাম কল,नाम आह्वान
ৰেফাৰেন্স কল,संदर्भ आह्वान
সন্মানীয় আহ্বান,मान आह्वान
ভেৰিয়েবল কল,चर आह्वान
আমন্ত্ৰণ গেট,आहवान गेट
"1. বাতিল কৰক, 2. বাতিল কৰক","1.निरस्त करना, 2.रद्द करना"
বাতিল বুটাম,निरसन बटन
"১.নিৰ্দিষ্ট কৰা, ২. কেননিক","1.विहित, 2. कैनॉनिकल"
কেননিক ৰূপ,विहित रूप
সক্ষমতা,क्षमता
ক্ষমতা তালিকা,क्षमता सूची
"১.সামৰ্থ্য, ২. ধৰি ৰখা","1.क्षमता, 2. धारिता"
caps লক চাবি,कैप्स लॉक कुंजी
"১.কাৰ্ড, ২. চাদৰ","1.कार्ड, 2. पत्रक"
কাৰ্ড ৰিডাৰ,कार्ड पाठक
প্ৰাধান্য,प्रमुखता
বাহক,वाहक
বাহক বেণ্ড,वाहक बैंड
বাহক বোজা,वाहक भार
বাহক সংকেত,वाहक संकेत
বাহক তৰংগ,वाहक तरंग
লাভ কৰা হৈছে,हासिल
স্ক’ৰ লাভ কৰা হৈছে,हासिल अंक
অৰ্জন কৰা পতাকা,हासिल ध्वज
"1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক","1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
"1. কেছকেড, 2. কেছকেড","1.कास्केड, 2.सोपानी"
ঘটনা,केस
কেথ&#39;ড-ৰে-টিউব (CRT),कैथोड-रे-टयूब (सी आर टी)
কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব,कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
cd rom ডিস্ক ড্ৰাইভ,सी डी रॉम डिस्क ड्रािव
কোষ,सेल
কোষ এনিমেচন,सेल एनीमेशन
চেলুলাৰ ফোন,सेल्युलर फोन
"১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি","1.केंद्रीय स्मृति, 2. केंद्रीय मेमोरी"
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
কেন্দ্ৰীভূত ব্যৱস্থা,केंद्रीकृत तंत्र
প্ৰমাণীকৃত টেপ,प्रमाणीकृत टेप
শিকলি,श्रृंखला
"1.series ডাটা, 2.series বিষয়বস্তু","1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
শৃংখল সংযোগ,श्रृंखला कड़ी
চেইনিং,श्रृंखलन
"১.চেনেল, ২.চেনেল","1.प्रणाल, 2.चैनल"
