Odiya,Malayalam
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
ଅମ୍ଳତା |,അസിഡിറ്റി
ଏସିଡୋଫାଇଲ୍ |,അസിഡോഫൈൽ
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്
ଅମ୍ଳଯୁକ୍ତ |,അസിഡിഫൈഡ്
ଜଳଜଳ,ജലാശയം
ଅଧିଗ୍ରହଣ,കൈവശപ്പെടുത്തൽ
ଏକର,ഏക്കർ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ഏരിയ 2. ഏരിയ
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,അവസാന പോയിന്റ് ക്രോമസോം
ଆଗକୁ ଦେଖିବା,മുന്നോട്ട് നോക്കുന്ന
ଆକ୍ରୋସୋମ୍ |,അക്രോസോം
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,ആക്റ്റിനോമൈസെറ്റുകൾ
ସକ୍ରିୟ କୋର୍ |,സജീവ കോർ
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. ക്രോധം 2. തീവ്രം
ଅନୁକୂଳତା,പൊരുത്തപ്പെടുത്തൽ
କଷ୍ଟମାଇଜେସନ୍,ഇഷ്ടാനുസൃതമാക്കൽ
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. അഡീഷൻ 2. അഡീഷൻ
sebaceous,സെബാസിയസ്
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,ക്രമീകരിക്കൽ സമവാക്യം
ଆଡୋବ ମାଟି |,അഡോബ് മണ്ണ്
ବ୍ୟଭିଚାର,വ്യഭിചാരം
ଏକ୍ଟୋପିକ୍,എക്ടോപിക്
Isidiospore Isidium Spore |,ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,എയറോഡൈനാമിക് പ്രക്രിയ
ଭେଣ୍ଟ୍ରାଲ୍ |,വെൻട്രൽ
ବିମାନକୁ,വായുസഞ്ചാരത്തിനായി
1. ବାୟୁ 2. ଆକାଶୀ |,1. വായു 2. ആകാശി
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ
ଏରୋସୋଲ୍ |,എയറോസോൾ
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി
ରୋଗ ବିଜ୍ଞାନ,രോഗ ശാസ്ത്രം
ବୃକ୍ଷରୋପଣ,വനവൽക്കരണം
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത
ଆଗମାର୍କ |,അഗ്മാർക്ക്
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക
କୃଷି ଚିକିତ୍ସାଳୟ,കാർഷിക ക്ലിനിക്ക്
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ
କୃଷି ମାର୍କେଟିଂ |,കാർഷിക വിപണനം
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,കാർഷിക സാങ്കേതികവിദ്യ
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്
କୃଷି ଜଙ୍ଗଲ,കാർഷിക വനവൽക്കരണം
କୃଷି ଜ odi ବ ବିବିଧତା |,കാർഷിക ജൈവവൈവിധ്യം
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,കാർഷിക ജൈവ വൈകല്യങ്ങൾ
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,കാർഷിക ജീവശാസ്ത്രം
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ
କୃଷି ଜଙ୍ଗଲ,അഗ്രോഫോറസ്ട്രി
କୃଷି,കാർഷിക ശാസ്ത്രം
ଆଗ୍ରୋନୋମିକ୍,അഗ്രോണമിക്
କୃଷି ପାଳକ,കാർഷിക ഇടയൻ
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,വിള സംസ്കരണം
ଘାସ ବିଜ୍ଞାନ |,പുല്ല് ശാസ്ത്രം
ଫସଲ ପ୍ରକାର |,വിള തരം
ଏପିଫାଇଟ୍ |,എപ്പിഫൈറ്റ്
aikiochi ମାଟି |,aikiochi മണ്ണ്
ରଙ୍ଗ ଅନ୍ଧତା |,വർണ്ണാന്ധത
ଆଲଫିସୋଲ୍ |,ആൽഫിസോൾ
ଶାଗ,ആൽഗകൾ
ଆଲଗା ରୋଗ,ആൽഗ രോഗം
କ୍ଷାର ଜଳ |,ആൽക്കലി വെള്ളം
କ୍ଷାର,ആൽക്കലൈൻ
ବିକଳ୍ପ,ബദൽ
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,അല്ലെലോ രസതന്ത്രം
ଆଲେଲେ,അല്ലീൽ
ଆଲେଲୋପାଥି,അല്ലെലോപ്പതി
ଭେଟି ଫସଲ |,വേത്തി വിള
ସମାପ୍ତି,പൂർത്തീകരണം
ଫର୍ଟିଲାଇଜେସନ୍,ബീജസങ്കലനം
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. ആപേക്ഷികത 2. അലോമെട്രി
ମଲ୍ଟିପ୍ଲୋଡି,മൾട്ടിപ്ലോയിഡി
1. ପାରାଜାଇଗୋସିଟି |,1. പാരാസിഗോസിറ്റി
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,ബദൽ ഭൂമി ഉപയോഗം
ପରିବେଶ,പരിസ്ഥിതി
ସଂସ୍କାରକ,പരിഷ്കർത്താവ്
ମାଇଟୋସିସ୍,മൈറ്റോസിസ്
ଆମେନାନ୍,ആമീനൻ
ଆମୋନିଅନ୍ |,അമോണിയൻ
amniferous,അമ്നിഫെറസ്
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,ഉഭയജീവി മിശ്രിതം
ଆମ୍ଫୋଟେରିକ୍ |,ആംഫോട്ടെറിക്
ଷ୍ଟକପିଲିଂ |,സ്റ്റോക്ക്പൈലിംഗ്
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്
ହାପ୍ଲଏଡ୍ |,ഹാപ്ലോയിഡ്
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,കോണീയ നടീൽ
ପଶୁପାଳନ,മൃഗസംരക്ഷണം
ପଶୁ ନିର୍ଗମନ,മൃഗ വിസർജ്ജനം
ଜୀବନ୍ତ ଶକ୍ତି,ജീവനുള്ള ഊർജ്ജം
ଅସନ୍ତୁଷ୍ଟ |,അസാധാരണമായ
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,ഒരു വർഷം പഴക്കമുള്ള ചെടി
ବାର୍ଷିକ,വാർഷിക
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. പരമാനന്ദം 2. പ്രഭ
ଆନ୍ଥ୍ରାକ୍ସ,ആന്ത്രാക്സ്
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,നരവംശ ഘടകങ്ങൾ
ବଞ୍ଚିବା,അതിജീവനം
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്
ଘୃଣ୍ୟ,വെറുപ്പുളവാക്കുന്ന
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,ആന്റിഓക്‌സിഡന്റ്
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,ആന്റിടോക്സിൻ
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,മോതിര വിരൽ
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,1. മുഞ്ഞ 2. മാഹു 3. ചേപ
ଉପର ଗୁଣ୍ଡ |,മുകളിലെ മുകുളം
ଶିଖର ପ୍ରଭାବ,പീക്ക് ഫലപ്രാപ്തി
ମହୁମାଛି ପାଳନ,തേനീച്ച വളർത്തൽ
ସମଲିଙ୍ଗୀତା,അലൈംഗികത
ଆପୋପ୍ଟୋସିସ୍ |,അപ്പോപ്റ്റോസിസ്
ଅନୁକ୍ରମଣିକା,അനുബന്ധങ്ങൾ
ଭୋକ,വിശപ്പ്
ପ୍ରୟୋଗ ହୋଇଛି |,അപേക്ഷിച്ചു
ଜଳୀୟ ତୃଣ,ജല കള
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,1. മരം 2. വൃക്ഷ നിവാസി
ଶାଖା,ശാഖകൾ
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ
ଜୋନ୍ ସଂଖ୍ୟା,സോൺ നമ്പർ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ഏരിയ 2. ഏരിയ
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,വരണ്ട ആവാസവ്യവസ്ഥ
କୋଟିଲଡନ୍ |,കോട്ടിലിഡൺ
ସ aur ରଭ |,സൗരഭ്
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,ആരോമാറ്റിക് പ്ലാന്റ്
ସୁଗନ୍ଧିତ ଚାଉଳ |,സുഗന്ധമുള്ള അരി
ଇକଶୁ ପୁଷ୍ପନ୍ |,ഇക്ഷു പുഷ്പൻ
ଆସେପ୍ଟିକ୍ |,അസെപ്റ്റിക്
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,അലൈംഗിക പുനരുൽപാദനം
ଆକାର,വലിപ്പം
ସମ୍ପତ୍ତି,ആസ്തി
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,1. സ്വാംശീകരണം 2. സ്വാംശീകരണം
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,1. അസോസിയേഷൻ 2. അസോസിയേഷൻ
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. കോളം 2. ആസ്ട്രിംഗ്സി
ହେଟେରୋଜାଇଗୋସିଟି |,ഹെറ്ററോസൈഗോസിറ്റി
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,1. പൂർവ്വികൻ 2. അടവിസം
କଣିକା,കണം
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. സ്ഥിരീകരണം 2. വൈകല്യം
ଆତ୍ମ ଯୋଡି |,സ്വയം ജോടിയാക്കൽ
ଅଟୋଲାଇସିସ୍,ഓട്ടോലിസിസ്
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,സ്വയം മൾട്ടിപ്ലക്സ്
ଆକ୍ସିନ୍,ഓക്സിൻ
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,1. ഷൂക്ക് 2. പൂവൻ
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,ശിക്ഷാ വൈറസ്
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,1. ബാസിലസ് 2. ബാസിലസ്
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,1. ബാക്ടീരിയ 2. ബാക്ടീരിയ
ଜୀବାଣୁ ବିଷାକ୍ତ,ബാക്ടീരിയൽ വിഷം
ବାଗାସେ |,ബാഗാസ്
ତୂଳନା ପତ୍ର,ബാലൻസ് ഷീറ്റ്
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,സമീകൃത വളം ഉപയോഗം
ବାର୍ ଗ୍ରାଫ୍ |,ബാർ ഗ്രാഫ്
ଭୁକିବା |,കുര
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്
1. ତାଲା 2. ବେସିନ |,1. താല 2. തടം
ତଲାବିସାରି |,തലബിസാരി
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ
ଗଲ୍ଫ ମ so ସୁମୀ |,ഗൾഫ് മൺസൂൺ
ଫଳ ଉଦ୍ଭିଦ |,ഫലം പ്ലാന്റ്
ଶଯ୍ୟା,കിടക്ക
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,കിടക്ക പ്ലാന്റ്
ଶଯ୍ୟା,കിടക്കവിരി
ବିଲା ଗୁଣ୍ଡ |,ബീറ്റ്റൂട്ട് മോളാസസ്
ଘଣ୍ଟି,തുരുത്തി
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ലാഭ-ചെലവ് വിശകലനം
ଆଶାକର୍ମୀ (ନମୁନା),അഭിലാഷം (സാമ്പിൾ)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,ദ്വിവത്സര സസ്യങ്ങൾ
ଦ୍ୱିପାକ୍ଷିକ |,ദ്വിപദം
ବାୟୋଫାକ୍ଟର |,ബയോഫാക്ടർ
ଜ bi ବିକ ଜଳବାୟୁ |,ജൈവ കാലാവസ്ഥ
ଜ o ବ ଶକ୍ତି |,ജൈവ ഊർജ്ജം
ଜୀବଜନ୍ତୁ ପରିବେଶ |,ജന്തു പരിസ്ഥിതി
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ
ଜ bi ବ ଜୀବ |,ജൈവമണ്ഡലം
ବାୟୋଟିକ୍ |,ബയോട്ടിക്
ପ୍ରାଣୀ,ജന്തുജാലങ്ങൾ
ଡିଭିଲିଙ୍ଗୀ |,ദിവിലിംഗി
ଧାୱାଲାନ୍ |,ധവാലൻ
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം
ମିଶ୍ରଣ,മിശ്രണം
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം)
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ
ନୀଳ ବିପ୍ଳବ |,നീല വിപ്ലവം
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ
କଞ୍ଚା |,തവിട്
ଶାଖା,ശാഖകൾ
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,1. തടി 2. ഉപശാഖ
ପ୍ରଜାତି,ഇനം
ପ୍ରଜନନ,പുനരുൽപാദനം
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം
ଅଙ୍କୁରିତ |,വളർന്നുവരുന്ന
ବଜେଟ୍,ബജറ്റ്
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,1.ആംഫോട്ടറിക് 2. ബഫർ
ମିଠା ଆଳୁ,മധുരക്കിഴങ്ങ്
ବଣ୍ଟ (ରୋଗ),ബണ്ട് (രോഗം)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്
ତେଲ କେକ୍ |,എണ്ണ പിണ്ണാക്ക്
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,1. നാരങ്ങ 2. കാൽസ്യം
କାଲସିଅନ୍ |,calcion
ଫସଫେଟ୍ ଅପସାରଣ |,ഫോസ്ഫേറ്റ് നീക്കം
1. କିନାଟା 2. କାଲାଟା |,1. കിനാറ്റ 2. കാലാറ്റ
1. କଲସ୍ 2. କିରଣ,1.കല്ലസ് 2. കിരണം
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. വിദളങ്ങൾ 2. കാളിക്സ്
ବାହ୍ୟ ଶେଷ,പുറത്തെ അവസാനം
ଏଡା,എധ
କର୍କଟ (ଜୀବାଣୁ),കാൻസർ (ബാക്ടീരിയ രോഗം)
କ୍ୟାନିଂ |,കാനിംഗ്
ଆକାଶ,ആകാശം
ଅର୍ଥ,ധനകാര്യം
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),പരാഗണം (അത്തിപ്പഴം)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ
ଅଙ୍ଗାରକାମ୍ଳ |,കാർബണൈസ്ഡ്
ଅଙ୍ଗାରକାମ୍ଳ |,കാർബണൻ
କାରାପେସ୍ |,കാർപേസ്
ବ୍ରେସଲେଟ୍,വള
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി)
କାଟାବୋଲିଜିମ୍ |,കാറ്റബോളിസം
ପ୍ରେରଣା,പ്രേരണ
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ
c d। N. a। ସଂଗ୍ରହ,സി ഡി. എൻ. എ. സമാഹാരം
ପରିସର,പരിധി
1. କକ୍ଷ 2. କକ୍ଷ,1. സെൽ 2. സെൽ
କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |,സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം
1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |,1. പോയിന്റ് 2. ഫോക്കസ്
ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,അപകേന്ദ്രീകരണം
ସେଣ୍ଟ୍ରିଫୁଗ୍,സെൻട്രിഫ്യൂജ്
ତାରା କେନ୍ଦ୍ର |,നക്ഷത്ര കേന്ദ്രം
epigenetic,എപ്പിജെനെറ്റിക്
କେନ୍ଦୁ ra ର,കേന്ദ്രരാജ
ଲୁମ୍,തറി
1. ଶସ୍ୟ 2. କ୍ରମିକ |,1. ധാന്യം 2. സീരിയൽ
1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର,1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ
ପ୍ରମାଣିତ ବିହନ |,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |,1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര
1. ନିବାଗ 2. କ ail ଲାଜା |,1. നിഭാഗ് 2. കൈലജ
ଚିମୋଗ୍ରାଫି,കൈമോഗ്രഫി
1. କିଆଜମା 2. ବ୍ୟସ୍ତ,1. കിയാസ്മ 2. തിരക്കിലാണ്
ସୁପରକୋଲିଂ ଘଣ୍ଟା |,supercooling മണിക്കൂർ
ବରଫର କ୍ଷତି |,മഞ്ഞ് കേടുപാടുകൾ
1. ଭିଚିରୋଟାକି 2. ଚିମେରା |,1. വിചിരോതകി 2. ചിമേര
ସବୁଜ ପୋଖରୀ |,പച്ച കഞ്ഞി
1. ପତ୍ର 2. ସବୁଜ,1. ഇലകൾ 2. പച്ച
ସିଆନୋସିସ୍ |,സയനോസിസ്
ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |,ജൈവ വിതരണ ശാസ്ത്രം
1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |,1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ
କ୍ରୋମାଟିନ୍,ക്രോമാറ്റിൻ
କ୍ରୋମାଟୋଗ୍ରାଫି |,ക്രോമാറ്റോഗ്രാഫി
କ୍ରୋମାଟିନେସନ୍,ക്രോമാറ്റിലേഷൻ
atrial point,ഏട്രിയൽ പോയിന്റ്
କ୍ରୋମାଟୋଜେନେସିସ୍,ക്രോമാറ്റോജെനിസിസ്
1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |,1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ
1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |,1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ
1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |,1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട
citrange,സിട്രേഞ്ച്
ପତିତପାବନ ପର୍ବ |,ശരത്കാല ഉത്സവം
ବର୍ଗୀକରଣ,വർഗ്ഗീകരണം
1. ମାଟି 2. ମାଟି,1. കളിമണ്ണ് 2. കളിമണ്ണ്
1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |,1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം
ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |,സ്ഥിരമായ പരാഗണം
କ୍ରୁଶବିହୀନ ଫଳ |,ക്രൂസിഫറസ് ഫലം
ଜଳବାୟୁ,കാലാവസ്ഥ
ଜଳବାୟୁ,കാലാവസ്ഥാ ശാസ്ത്രം
କେଶ,കത്രിക
ଗୁଣ୍ଡ (ମାଟି),പിണ്ഡം (കളിമണ്ണ്)
କ୍ଲୋନ୍ |,ക്ലോൺ
1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |,1.മേഘങ്ങൾ 2.മേഘങ്ങൾ
ump ୁଲା |,കൂട്ടം
ଗୁଣ୍ଡ |,കുല
