Odiya,Malayalam
ନିଶା ବ୍ୟାଧି |,ആസക്തി നിഴൽ
ଆଡେନିନ୍,ആദൈൈൻ
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,Adenocortiopin
Adenehiopophisisisis,ആദിനോഹൈപഫിസിസ്
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,Adenosin diphosphate
ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |,Adenosine deaminase
ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP),അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |,Adenileat സൈക്ലെസ്
ଆଡେସିଭ୍ ଫୋର୍ସ |,പശ ശക്തി
ଆଡିପେଟ୍ କରନ୍ତୁ |,മുദവയ്ക്കുക
Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍),Adipocyte (FALE സെൽ)
ସିସ୍ୟୁଜ୍ ଟିସୁ |,അഡിപോസ് ടിഷ്യു
ଆଡନେଟ୍ |,ആരാധന
ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |,സമീപ കമ്മ്യൂണിറ്റി
ଆଡ୍ରେନାଲ୍,അഡ്രീനല്
ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |,അഡ്രീനൽ ഗ്രന്ഥി
ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth)
ଆଡସରବେଣ୍ଟ,ദുര്ധി പകര്
ଆଡେର୍ସନ୍,ദുര്ഗയോധം
ଉନ୍ନତ ମୂଲ୍ୟ |,വിപുലമായ കീടങ്ങൾ
ଲାଭଦାୟକ ଗଣିତ |,പ്രയോജനകരമായ മ്യൂട്ടേഷൻ
ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |,സാഹസികമായ
ଖରାପ ମୂଳ,സാഹസിക റൂട്ട്
ପ୍ରତିକୂଳ ପ୍ରଭାବ,പ്രതികൂല ഫലം
AED ଗୁଡିକ,Aedes
ସଂସ୍କୃତିର ଆରେସନ୍,സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം
ଆତଙ୍କିତାମା |,അരേഞ്ചമ
ବାୟୁ,ഏരിയൽ
ବାୟୁଏଟ୍ ମୂଳ |,Aierial റൂട്ട്
ଏରିଲ୍ ସୁଟ୍ |,ഏരിയൽ ഷൂട്ട്
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,എയ്റോബിക് ശ്വസനം
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,എയ്റോബിക് ശ്വസനം
ସ est ନ୍ଦର୍ଯ୍ୟ,സൗന്ദര്യശാസ്ത്രം
ବାୟେ,പകർച്ചവ്വാധം
ବାୟେ,പകർച്ചവ്വാധം
ବିଶଙ୍ଗ,അശ്രദ്ധ
ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |,അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി
ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |,പീഡിപ്പിച്ച അവയവം
ଆଗ ଶତ୍ରୁମାନଙ୍କର,വനനം
ଆଗାମୋପର୍ମୀ |,അഗമോസ്പർമി
ଅଗର,അഗറും
ଆଗ୍ରୋଜ୍,അഗരോസ്
ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |,അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്
ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |,അഗരോസ് പോളിമർ ജെൽ
ଆଗିଷ୍ଟ,അഗാധമായ
ଆଗେଭ୍,കൂരക്കം
ବୟସ ବଣ୍ଟନ |,പ്രായ വിതരണം
ବୟସ ପିରାମିଡ୍ |,പ്രായ പിരമിഡ്
Agglutination,നിര്മ്മിപ്പ
ସମୁଦାୟ,ആകെത്തുകയായുള്ള
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,ഫോളിക്കിളിന്റെ ആകെത്തുക
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,ഫോളിക്കിളിന്റെ ആകെത്തുക
ମିଳନ,അഗ്രഗേഷൻ
ଆକ୍ରମଣାତ୍ମକତା,ആക്രമശാസ്ത്രം
Agiitor ତନ୍ତ୍ର,അജിറ്ററ്റർ സിസ്റ്റം
ଆଗନାଥା,അഗ്നിനാഥ
ଆଗାଉଟି,അഗൗട്ടി
ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |,അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്
ଆଗ୍ରାନୁଲାର୍,അഗ്രനനുകാരി
ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |,അഗ്രമായനുലോസിടെ
କୃଷି,കൃഷിപ്പണി
Agroftry,അഗ്രോഫോറസ്ട്രി
Agrobacterium ମଧ୍ୟସ୍ଥି |,അഗ്രോബക്രിയം മധ്യസ്ഥത
Agrobacterium tumfacienss |,അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്
ଆଗ୍ରୋକେମିକାଲ୍ |,കാർഷിക
ଆଗ୍ରୋକେମିକାଲ୍ |,കാർഷിക
Agrovillatatic ଜୋନ୍ |,അഗ്രോക്ലിമീയ മേഖല
କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |,അഗ്രോണമിക് സ്വഭാവം
କିରେନୋନୋମ୍ବନ,അഗ്രോണമി
ଏଡଡ୍ସ,എയ്ഡ്സ്
ଏୟାର ବ୍ଲାଡର |,എയർ ബ്ളാഡര്
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,എയർകണ്ടീഷണർ
ବାୟୁ ପାସ୍ |,എയർ പാസേജ്
ବାୟୁ ପ୍ରଦୂଷଣ,വായു മലിനീകരണം
ଏୟାର ଥଳି,വ്ലാക്
ବାୟୁ ଶୂନ୍ୟ,വായു ശൂന്യത
ବାୟୁ ନିଶ୍ୱାସ ନେବା |,എയർ ശ്വസനം
ଅଲିନ୍ |,അനെയ്ൻ
ଆଲେରୀ ମାଂସପେଶୀ |,അലറി പേശി
ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |,അലാസ്കൻ ബ്ര rown ൺ ബിയർ
ଆଲବିନୋ |,ആൽബിനോ
ଆଲବୁଗୋ |,ആൽബൂഗോ
ଆଲବମିନ |,ആൽബമിൻ
ଆଲବମିନସ୍ ବିହନ |,ആൽബ്യൂമിനസ് വിത്ത്
ଆଲବୁମିନିରିଆ |,അൽബുമിനൂറിയ
ଆଲବର୍ନମ୍,ആൽബനം
ଆଲେଡା,അൽകെഡെ
ଆଲଡେହେଡି,Aldeheeede
ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |,ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം
ଆଲଡୋଷ୍ଟେରୋନ୍ |,ആൽഡോസ്റ്റെറോൺ
ଆଲେରୋନ୍ ସ୍ତର |,അലോറോൺ ലെയർ
ଆଲେରୋପ୍ଲେଷ୍ଟ |,അലൂറോപ്ലാസ്റ്റ്
Alfalfa,പയറുവർഗ്ഗങ്ങൾ
ଆଲଗାଲ୍ ଫୁଲ |,ആൽഗൽ പൂവ്
ଅପଗନ୍,അൾഗിൻ
ଏଲିଏନ୍ ଡିଏନ୍,അന്യഗ്രഹ ഡിഎൻഎ
ଏଲିଏନ୍ ପ୍ରଜାତି |,അന്യഗ്രഹ ജീവികൾ
ପରିଚାଳିତ,വിന്യാപകമായ
ପରିଚାଳିତ,വിന്യാപകമായ
ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |,അലിമെന്ററി കനാൽ
ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |,അലിമെന്ററി സിസ്റ്റം
ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |,അലിയാസം
ଆଲକାଲାଇଡ୍ |,ആൽക്കലോയിഡ്
କ୍ଷାରିକ |,ആൽക്കലൈൻ
ଅଲକାପଟୋନେର୍ଜିଆ,ആൽക്കപ്റ്റോറിയ
ଆଲାନ୍ସିଟ୍,Allantois
ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |,അല്ലെൽ ഫ്രീക്വൻസി
ଆହେଲେ |,അല്ലലേ
ଆଲୋଲେମୋମିକ୍ ଯୋଡି |,അല്ലോമോർഫിക് ജോഡി
ଆଲ୍ରେଜେନ |,അലർജി
ଆଲିଗେଟର୍ |,ചീങ്കണ്ണി
ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ,അല്ലിയം സിപ
ଆଲଗଲାମି |,അലോഗാമി
ଆଲିଗ୍ରାଫ୍ଟ |,അല്ലുഫ്രാഫ്റ്റ്
ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |,അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,Allopolyplogid
ଆଲିସ୍ମିକ ପ୍ରଭାବ,എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്
ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |,Allonteric enzyme
ଆଲିସ୍ଟର ଇନହିବିଟର୍ |,ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ
ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |,എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ
ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |,ഓസ്റ്റോസ്റ്റർ സൈറ്റ്
ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |,ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്
Allototreplid,അലോട്ട്ട്രലോയിഡ്
Alnus,അൽനസ്
ଆଲୋ,കറ്റാർ
ଆକ୍ସନ୍ ସହିତ |,ആക്സോണിനൊപ്പം
ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |,ആൽഫ-ആന്റിട്രിറ്റിപ്സ്
ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |,ആൽഫ-ലാക്റ്റൽബുമിൻ
ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |,ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ
ଆଲପାଇନ୍ ମଟର |,ആൽപൈൻ മെഡോ
ଆଲପାଇନ୍ ଜୋନ୍,ആൽപൈൻ സോൺ
ଆଲଷ୍ଟୋନିଆ,ആൽസ്റ്റോണിയ
ସର୍ବୋଚ୍ଚame,ആദരജോ
ବିକଳ୍ପ,ഏകാന്തരക്രമത്തിൽ
ପି generation ଼ିର ବିକଳ୍ପ,തലമുറയുടെ മാറിമാറ്റം
ଉଚ୍ଚତା ରୋଗ,ഉറ്റമകരമായ രോഗം
ଉଚ୍ଚତା,ഉയരം
ଆଲଭୋଲାର୍ ନଳୀ |,അൽവിയോളാർ നാളം
Aytes,അലിറ്റ്സ്
ଅଲଜାଇମର ରୋଗ |,അല്ഷിമേഴ്സ് രോഗം
ଆମାକରାଇନ୍ ସେଲ୍ |,അമാക്രീൻ സെൽ
ଅମରନ୍ତାସିଦା |,അമറാന്തം
ଅମରାନ୍ତିନ |,അമരന്തസ്
ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |,ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത
ଅମ୍ବିଷ୍ଟୋମା |,ആംബിസ്റ്റോമ
ବନ୍ଧୁତ୍ୱ,അറുമണ്ടിന്
ଆମିନୋ ଏସିଡ୍ |,അമിനോ അമ്ലം
ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |,അമിനോ ആസിഡ് സ്വീകാര്യത
AminoicaL t rna syntHetase |,അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്
ଆମିନୋଫାଇସନ୍ |,അമിപോസിലേഷൻ
ଅମିତୋସାଇସ୍ |,അമിറ്റോസിസ്
ଆମୋନିଆ,ക്ഷാരവായു
ଆମୋନିଫିକେଟ୍,അമ്മോണിഫിക്കേഷൻ
ଆମାମୋଟେଲ୍ଜିମ୍ |,അമോമോട്ടലിസം
ଆମନିଓସେଣ୍ଟେସିସ୍ |,അമ്നിയോസെന്റസിസ്
ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |,Amniocentess സാങ്കേതികത
ଆମନିଓକେଟ୍ |,Amniocyte
ଆମନିଅନ୍,Amnion
ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |,അമ്നിയോട്ടിക് ദ്രാവകം
ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |,അമ്നിയോട്ടിക് മെംബ്രൺ
ଆମନିଓଟିକ୍ ଥଳି |,അമ്നിയോട്ടിക് സഞ്ചി
ଆମୋବା,അമീബ
ଆମୋବାଇଟିଟ୍ |,Amoebocyte
ଆମୋବିଏଡ୍,Amoeboid
ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |,Amoeboid lymphocyte
ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |,അമോബോഡ് ചലനം
ଆମୋରଫସ୍ |,അക്കോറോഫസ്
ପରିମାଣ,സംഖ
ଆମ୍ଫେଟାମାଇନ୍ |,ആംഫെറ്റാമൈൻ
ଆମ୍ଫିବିଆ,ആംഫിബിയ
ଆମ୍ଫିବିଆନ୍,ആംഫിബിയൻ
ଆମ୍ଫିବିଆନ୍,ആംഫിബിയൻ
ଆମ୍ଫାଇଓକ୍ସସ୍ |,Amphioxus
ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |,ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്
ଆମ୍ଫିସିଚିକ୍ |,ഉംഫിപതിക്
ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |,ആംഫിപതിക് ലിപിഡ്
ଆମ୍ଫାଇସାର୍କା |,ആംഫിസാർക്ക
Ampicilillin,ആമ്പസില്ലിൻ
ଅମପୁଲାଲା |,അമ്പള്ളു
ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |,മുള്ളറി ഗ്രന്ഥി
ଆମିଜିଡାଲ୍ |,ആമിഗ്ഡാൽ
ଆମିଗଡାଲେ |,ആമിഗ്ഡേൽ
ଆମିଗାଡାଲିନ୍ |,ആമിഗ്ഡാലിൻ
ଆମିଲେଜ୍,അമിലേസ്
ଆମିଏଲପ୍ଲାଷ୍ଟ |,അമിലോപ്ലാസ്റ്റ്
ଅବାନା,അനാബെന
ଅରବା,അനബാസ്
ଆନାବୋଲିକ୍ ପଥ |,അനാബോളിക് പാത
ଆନାବୋଲିଜିମ୍ |,അനാബോളിസം
ଆନାଚାର୍ଡସିଆନା |,അനകാർഡിയേസി
ରକ୍ତଦାତା,വിളമിയ
ଆନାରୋବେ |,അയ്റോബ്
ଆନାରୋବିକ୍ ଇନ୍ଧନ |,അനാറോബിക് ഇന്ധനം
ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |,അനാറോബിക് ശ്വസനം
ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |,അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ
ଆନାରକୋବର |,Anaerobic
ଆନିମା,അനൈമ
ଆନାଲ୍,മലദ്വാരം
ଆନାଲ୍,മലദ്വാരം
ଆନାଲ୍ ଆପେଚର |,മലദ്വാരം
ଆନାଲ୍ ccor,അനൽ സെറി
ଆନାଲ୍ ଲୁପ୍ |,അനൽ ലൂപ്പ്
ଆନାଲ୍ ଶ style ଳୀ,അനൽ ശൈലി
ଅନୁରୂପ,അനസ്)
ଅନୁରୂପ,അനസ്)
ଆନାଲୋଜି,അനലോഗി
ଆନାଲୋଜି,അനലോഗി
ବିଶ୍ଳେଷଣ |,വിശകലനം
ଅଯାସୀ,അനാഫേസ്
ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |,Anatomic തടസ്സം
ଆନାଟୋମିକାଲ୍ ଦିଗ |,ശരീരഘടന
Anatomist-,അനാട്ടമിസ്റ്റ്
ଆନାଟୋମି |,ശരീരശാസ്തം
ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |,പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി
ପ ancest ତୃକ ରେଖା |,പൂർവ്വിക വംശജർ
ପ ancest ତୃକ କ୍ରମ |,പൂർവ്വാവസ്ഥ
ଏକସେଲୋସୋମା |,ആൻസിലോസ്റ്റമ
ଆଣ୍ଡ୍ରୋକିୟମ୍ |,ആൻഡ്രോസിയം
ଆଣ୍ଡ୍ରୋଜେନ |,ആൻഡ്രോജൻ
ରକ୍ତଦାତା,വിളമിയ
ଆନିମୋନ୍ |,അനെമോൺ
ଆନୁପ୍ଲଏଡ୍ |,Aneuplogode
ଆନୁପ୍ଲୋଡି,അനിയുപ്ലോയിഡി
ଆଞ୍ଜିନା,ആഞ്ചിന
ଆଞ୍ଜିୟରମ୍ |,ആൻജിയോഗ്രാം
ଆଙ୍ଗିଓଗ୍ରାଗ୍,ആഗിരിഗ്രാഫ്
ଆଙ୍ଗିଓଗ୍ରାଫି |,ആജീദർ
An anivoplasty,ആൻജിയോപ്ലാസ്റ്റി
ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ,അൻജിയോസ്പെർം
Anigiotensin |,ആൻജിയോടെൻസിൻ
ଆଙ୍ଗିଓଟେନିନୋଜେନ |,ആൻജിയോടെൻസിനോജെൻ
ଅଙ୍ଗର ମାଛ |,ആംഗ്ലർ മത്സ്യം
ଆଞ୍ଜୁଆନା,മുതൽക്കുള
ଆଙ୍ଗୁଠି,ഉള്ക്കൊണ്ടിൻ
ପଶୁ,ജന്തു
ପଶୁ,ജന്തു
ପଶୁ ଗୋବର,മൃഗം ചാണകം
ପଶୁ କୁମ୍ଭାରୀ,മൃഗസംരക്ഷണം
ପଶୁ କାରିଟାଇପିଂ |,അനിമൽ കരിയട്ടിപ്പിംഗ്
ପଶୁ ରାଜ୍ୟ,ജന്തു ലോകം
ପଶୁ ଟିସୁ |,മൃഗങ്ങളുടെ ടിഷ്യു
ପଶୁ,അദ്ധ്യാപകൻ
ଆନାୟଣ,അനിയോൺ
ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |,അനിസോട്രോപിക് ബാൻഡ്
ଆନାଲିଟିଂ,അനെലിലിംഗ്
Annleled,Anenelid
ଆଙ୍କିଲଦା |,അന്നലിഡ
ବାର୍ଷିକ ରିଙ୍ଗ |,വാർഷിക മോതിരം
ପୁର୍ଣ୍ଣିକ,റദ്ദാക്കിയത്
ନିନ୍ଦା,ചെറുമാനം
ଆନୋମାଲିୟ ପ୍ରକାର |,അപാകത തരം
ଅଧପତ୍ର,അനോഫെൽസ്
ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ,ഉറുമ്പുതീനി
ବିରୋଧୀ |,വിരുദ്ധ
ଅପବିତ୍ର,അന്റാർട്ടിക്ക്
ଆଣ୍ଟେନା |,ഏരിയെല്
ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |,ആന്റിന കോംപ്ലക്സ്
ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |,ആന്റിനൽ ഗ്രന്ഥി
ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |,ആന്റീരിയർ (വെൻട്രൽ) ഗ്രേ ഹോൺ
